{' Yes': -0.004563751, 'Yes': -5.56492, ' Generally': -7.484099, ' yes': -9.14964, ' ': -11.00072}
{' No': -0.025654484, 'No': -3.7141213, ' Generally': -7.472315, ' ': -8.990463, ' An': -9.537264}
{' No': -0.018242365, 'No': -4.063639, ' Generally': -7.8630733, ' ': -8.572256, '\n': -8.825724}
{' No': -0.08116467, 'No': -2.5659175, ' ': -7.563308, ' Generally': -8.020046, '\n': -9.726483}
{' No': -0.070097834, 'No': -2.7100742, ' ': -7.19473, '\n': -8.5737, ' Generally': -9.613495}
{' No': -0.080502875, 'No': -2.58863, ' ': -6.9192815, '\n': -7.18373, ' An': -8.640061}
{' No': -0.09443453, 'No': -2.456062, ' ': -6.185552, '\n': -6.457166, ' Ant': -8.198971}
{' No': -0.026989553, 'No': -3.650496, ' Generally': -8.491615, ' ': -8.644491, ' An': -8.7282715}
{' No': -0.038780935, 'No': -3.2951608, ' Ant': -8.080355, ' ': -8.229242, ' Generally': -8.470019}
{' No': -0.1493378, 'No': -2.046049, ' ': -5.9100986, '\n': -6.096215, ' An': -6.6440687}
{' No': -0.1226251, 'No': -2.2865694, ' ': -5.3045173, '\n': -5.866457, ' Bears': -6.136675}
{' No': -0.084331594, 'No': -2.5737686, ' Generally': -6.4509788, ' An': -6.8775525, ' ': -7.199392}
{' No': -0.10935167, 'No': -2.3158526, ' ': -6.459926, ' Bears': -6.7412214, ' Ant': -6.880433}
{' No': -0.007477133, 'No': -5.134487, ' ': -6.814272, '\n': -8.030788, ' no': -9.889197}
{' No': -0.0077347886, 'No': -5.121989, ' ': -6.994868, '\n': -7.2463593, ' no': -10.284357}
{' No': -0.08229578, 'No': -2.6316082, '\n': -5.4671545, ' ': -6.0783057, ' An': -8.844768}
{' No': -0.043235533, 'No': -3.2352579, ' ': -6.4263263, '\n': -7.0600176, ' Ant': -8.22622}
{' No': -0.12205496, 'No': -2.5405653, '\n': -3.5400045, ' ': -5.131639, ' An': -8.083825}
{' No': -0.1916173, 'No': -2.5003235, '\n': -2.5171769, ' ': -4.613771, ' Ant': -7.262472}
{' No': -0.012931902, 'No': -4.450548, ' ': -6.8824058, '\n': -9.396837, ' no': -10.348845}
{' No': -0.013342393, 'No': -4.3741918, ' ': -7.638783, '\n': -9.239664, ' Ant': -10.404673}
{' No': -0.2581585, 'No': -1.5797755, '\n': -4.4292817, ' ': -4.902084, ' An': -7.309581}
{' No': -0.21459873, 'No': -1.757884, '\n': -4.5127554, ' ': -4.8692007, ' Ant': -7.4667907}
{' No': -0.045861326, 'No': -3.2624328, ' ': -5.822528, ' no': -6.732431, ' An': -7.146032}
{' No': -0.0698135, 'No': -2.8153846, ' ': -5.7553773, ' no': -6.6959767, '\n': -6.814553}
{' No': -0.13188845, 'No': -2.134715, ' no': -6.1399035, ' ': -6.6925883, ' Generally': -8.091257}
{' No': -0.14164813, 'No': -2.0962589, ' no': -5.971969, ' ': -6.178738, '\n': -6.555331}
{' No': -0.087811954, 'No': -2.4834266, ' ': -7.7475863, ' no': -9.404176, 'no': -10.780787}
{' No': -0.17036842, 'No': -1.8589994, ' ': -7.706518, ' Generally': -9.079261, '\n': -9.710194}
{' No': -0.17127073, 'No': -1.858578, ' ': -6.8795624, '\n': -8.967138, ' Generally': -9.640041}
{' No': -0.18208848, 'No': -1.8093735, ' ': -6.662085, '\n': -7.8939333, ' Ant': -8.176996}
{' No': -0.044876613, 'No': -3.1393034, ' ': -8.072009, ' no': -9.074817, 'no': -10.33695}
{' No': -0.038069922, 'No': -3.3057604, ' ': -7.803087, ' no': -9.525783, ' Bears': -10.027212}
{'No': -0.6955149, ' No': -0.7012274, ' ': -6.745443, ' Generally': -7.2245684, ' An': -7.279614}
{' No': -0.42035446, 'No': -1.1396366, ' Ant': -4.3702674, ' Bears': -5.691066, ' ': -6.149259}
{' No': -0.10872095, 'No': -2.2913115, ' ': -7.3942404, ' no': -7.6345596, '\n': -8.374264}
{' No': -0.17114644, 'No': -1.9132671, ' Ant': -5.8014946, ' Bears': -6.1291246, ' Generally': -6.3073525}
{' No': -0.029141216, 'No': -4.2893815, ' no': -4.6989064, ' ': -5.3543324, '\n': -7.133834}
{' No': -0.024371644, 'No': -4.1919837, ' ': -5.5327015, ' no': -5.6180725, '\n': -6.9717307}
{' No': -0.11601334, 'No': -2.2798793, ' ': -5.84464, '\n': -5.979649, ' no': -6.623357}
{' No': -0.092438936, 'No': -2.537986, '\n': -5.2919264, ' ': -5.7845774, ' no': -7.0765753}
{' No': -0.21808551, 'No': -1.85864, '\n': -3.4420636, ' ': -5.1358757, ' no': -6.895001}
{' No': -0.28294718, 'No': -1.7715662, '\n': -2.725042, ' ': -4.8657956, ' no': -6.799603}
{' No': -0.033770323, 'No': -3.49956, ' ': -6.429978, ' no': -7.2314343, '\n': -7.6147447}
{' No': -0.044024467, 'No': -3.2156131, ' ': -6.6758904, '\n': -7.2025557, ' no': -7.720427}
{' No': -0.35544676, 'No': -1.400876, '\n': -3.228797, ' ': -4.920899, ' no': -5.681613}
{' No': -0.3482538, 'No': -1.3944192, '\n': -3.4913485, ' ': -4.8717036, ' no': -5.3781624}
{' No': -0.09449343, 'No': -3.1161473, ' no': -3.4773006, '\n': -5.002172, ' ': -5.2362094}
{' No': -0.13914573, 'No': -2.5617723, ' no': -3.3517826, '\n': -4.9180007, ' ': -5.307078}
{' No': -0.015674813, 'No': -4.5291104, '\n': -5.901205, ' ': -6.3480625, ' no': -8.995239}
{' No': -0.022528961, 'No': -4.3984942, '\n': -4.895015, ' ': -6.1305265, ' Ant': -9.109259}
{' No': -0.06959577, 'No': -2.9908164, '\n': -4.355936, ' ': -5.5957146, ' An': -8.98772}
{' No': -0.089558, 'No': -3.173447, '\n': -3.2681675, ' ': -5.252894, ' Ant': -8.672134}
{' No': -0.057358213, 'No': -3.1678414, '\n': -4.6929097, ' ': -5.591305, ' An': -8.561303}
{' No': -0.0627892, 'No': -3.2720554, '\n': -4.105508, ' ': -5.3640394, ' Ant': -6.854373}
{' No': -0.016291434, 'No': -4.5021043, ' ': -5.754746, '\n': -6.3740244, ' no': -9.792817}
{' No': -0.02590983, 'No': -4.068819, '\n': -5.326744, ' ': -5.7186923, ' Ant': -8.721428}
{' No': -0.051552635, 'No': -3.1893873, '\n': -5.3460793, ' ': -5.6317563, ' An': -8.2495985}
{' No': -0.05002355, 'No': -3.2513213, ' ': -5.358678, '\n': -5.3899927, ' Bears': -8.309867}
{' No': -0.043511536, 'No': -3.4670422, ' ': -5.331627, '\n': -5.4940367, ' no': -7.0213647}
{' No': -0.051962655, 'No': -3.3203456, '\n': -5.0260377, ' ': -5.429095, ' Ant': -6.551405}
{' Yes': -0.0069265505, 'Yes': -5.485251, ' Generally': -6.1935296, ' No': -8.755374, ' yes': -8.861064}
{' Yes': -0.030255698, ' Generally': -4.1210895, 'Yes': -5.154712, ' Bears': -5.6204786, ' On': -6.7169256}
{' Yes': -0.0865137, ' No': -3.066307, 'Yes': -4.170536, ' Generally': -4.5095882, 'No': -5.3257523}
{' Yes': -0.07993461, ' No': -3.357036, 'Yes': -4.34045, ' Bears': -4.4537425, ' Generally': -4.570308}
{' Yes': -0.35165808, ' No': -1.3866712, 'No': -3.745581, 'Yes': -4.2012367, ' ': -5.8443274}
{' No': -0.69488883, ' Yes': -1.0534209, ' Bears': -2.7960546, 'No': -2.8069913, 'Yes': -4.7259526}
{' Yes': -0.008267053, 'Yes': -5.6801744, ' Generally': -6.2384224, ' No': -6.3557134, ' A': -7.7150216}
{' Yes': -0.08118213, ' Bears': -3.4675803, ' Generally': -3.9602962, ' No': -4.24937, 'Yes': -5.047801}
{' No': -0.63746107, ' Yes': -1.0862775, 'No': -2.5642571, 'Yes': -4.5644994, ' Generally': -4.658764}
{' No': -0.5219755, ' Yes': -1.6020346, 'No': -2.4720964, ' Bears': -2.7049398, ' Generally': -4.395815}
{' Yes': -0.04725609, ' No': -3.9040446, 'Yes': -4.318145, ' Generally': -5.177249, 'No': -6.3229}
{' Yes': -0.066632405, ' No': -3.7747924, 'Yes': -3.863553, ' Bears': -4.778632, ' Generally': -5.650827}
{' Yes': -0.0037437624, 'Yes': -6.075277, ' ': -7.4987154, ' yes': -7.6621428, '\n': -8.698047}
{' Yes': -0.007707459, 'Yes': -5.5742636, ' yes': -7.055362, ' ': -7.2143927, ' Generally': -7.2780123}
{' No': -0.16529876, 'No': -2.5946162, ' Yes': -2.9045641, '\n': -4.838913, ' A': -5.223135}
{' No': -0.49271995, ' Yes': -1.2374996, 'No': -3.1144316, ' Bears': -3.3956892, ' ': -5.0934906}
{' No': -0.25465503, 'No': -2.3767712, '\n': -2.6797783, ' Yes': -3.440707, ' ': -3.8616765}
{' No': -0.2851417, 'No': -2.3551147, '\n': -2.5140655, ' Bears': -3.530831, ' ': -3.7979877}
{' No': -0.19772582, ' Yes': -1.8209919, 'No': -4.309653, ' ': -6.100546, 'Yes': -6.9525166}
{' Yes': -0.42899746, ' No': -1.1073669, 'No': -4.8899403, 'Yes': -5.5026627, ' Bears': -5.6501975}
{' No': -0.32266742, 'No': -1.4971803, '\n': -3.7447863, ' ': -4.134995, ' Yes': -4.9541407}
{' No': -0.33288878, 'No': -1.4272244, '\n': -4.161771, ' ': -4.4011354, ' Bears': -4.8332214}
{' Yes': -0.40804264, ' No': -1.258558, 'No': -4.2856116, ' ': -4.679443, ' A': -4.7463393}
{' Yes': -0.09705764, ' No': -3.0012496, 'Yes': -4.1565323, ' yes': -4.79502, ' Bears': -5.2128563}
{' Yes': -0.07552504, 'Yes': -3.378194, ' yes': -4.191938, ' No': -4.455242, ' A': -5.798103}
{' Yes': -0.104724735, 'Yes': -3.2583706, ' yes': -3.8487892, ' No': -4.283692, ' Bears': -4.309372}
{' No': -0.1369397, 'No': -2.2563264, ' Yes': -3.8550012, 'Yes': -7.2503333, ' ': -7.3266673}
{' No': -0.5299815, ' Yes': -1.4124869, 'No': -1.9868792, 'Yes': -4.405443, ' Generally': -4.8484135}
{' Yes': -0.14087214, ' No': -2.6384935, 'Yes': -3.1933832, 'No': -4.207885, ' ': -6.3981714}
{' No': -0.57369673, ' Yes': -1.3439089, 'No': -1.9333291, 'Yes': -4.065148, ' Bears': -4.9309525}
{' Yes': -0.06383633, ' No': -3.0154965, 'Yes': -4.652229, 'No': -6.387828, ' yes': -7.1200285}
{' Yes': -0.036714654, 'Yes': -4.1808453, ' No': -4.3485394, ' Bears': -5.6392345, ' Generally': -6.3019047}
{' No': -0.9819978, 'No': -1.0482858, ' Bears': -2.0695603, ' Yes': -2.3125205, 'Yes': -4.0862017}
{' No': -0.89016205, 'No': -1.0013967, ' Bears': -1.9573904, ' Yes': -3.356341, ' Generally': -4.0714}
{' No': -0.2561609, 'No': -2.212742, ' Yes': -2.299225, ' Bears': -5.2437344, 'Yes': -5.774355}
{' Yes': -0.36588186, ' No': -2.0404139, ' Bears': -2.2357566, 'Yes': -3.688853, 'No': -3.737809}
{' Yes': -0.05805862, ' yes': -3.1211002, 'Yes': -4.878344, ' ': -5.8453794, '\n': -7.1686907}
{' Yes': -0.037315737, ' yes': -3.6952267, 'Yes': -4.724533, ' ': -6.629322, '\n': -7.543914}
{' Yes': -0.13843863, ' No': -2.633863, 'Yes': -3.654176, 'No': -4.7060804, ' ': -4.9960093}
{' Yes': -0.08748826, ' No': -3.4371395, 'Yes': -3.5840569, ' yes': -5.1543045, 'No': -5.2598305}
{' Yes': -0.784783, ' No': -1.322621, '\n': -1.9996688, 'No': -2.8218138, 'Yes': -3.2651355}
{' Yes': -0.4816865, '\n': -1.9815147, ' No': -2.337285, 'Yes': -2.7671974, 'No': -3.3184955}
{' Yes': -0.025277425, 'Yes': -4.302213, ' No': -5.2802176, ' yes': -5.664956, ' ': -6.539779}
{' Yes': -0.02734374, 'Yes': -4.1494613, ' No': -5.1265984, ' yes': -5.7738094, ' ': -7.467099}
{' No': -0.43220124, 'No': -1.3740004, '\n': -2.6068761, ' ': -4.3823943, ' Yes': -4.8835006}
{' No': -0.38380912, 'No': -1.3331137, '\n': -3.4240522, ' ': -4.640933, ' Yes': -5.000986}
{' Yes': -0.52131015, ' No': -1.2142136, ' yes': -3.2912989, '\n': -3.8640234, 'No': -4.074441}
{' Yes': -0.14140403, ' yes': -2.5313327, 'Yes': -3.7828548, ' No': -4.4527316, '\n': -5.0065947}
{' Yes': -0.009793718, 'Yes': -5.418044, '\n': -6.1893854, ' ': -6.4873304, ' yes': -6.906026}
{' Yes': -0.020748427, ' No': -5.2253532, 'Yes': -5.3562202, '\n': -5.440359, ' ': -6.1332874}
{' No': -0.2774368, ' Yes': -1.8147389, 'No': -3.0128875, '\n': -4.1995273, ' ': -4.860725}
{' No': -0.58026105, ' Yes': -1.2295034, 'No': -2.927038, '\n': -3.395929, ' Bears': -3.3997}
{' Yes': -0.39534152, ' No': -1.4029595, '\n': -3.579839, 'Yes': -4.181619, 'No': -4.1869555}
{' No': -0.29191977, ' Yes': -2.1536694, 'No': -2.946783, ' Bears': -3.03746, '\n': -3.9338894}
{' Yes': -0.14010353, ' No': -2.2349577, ' ': -4.6212645, '\n': -4.9259996, 'Yes': -5.5182695}
{' Yes': -0.064482555, ' No': -3.408263, '\n': -4.723302, 'Yes': -5.0865507, ' ': -5.1089754}
{' No': -0.18782754, ' Yes': -2.3528588, 'No': -3.0541983, '\n': -4.120515, ' ': -4.759885}
{' No': -0.11642797, 'No': -2.7290835, ' Yes': -3.538011, ' ': -5.0539227, '\n': -5.2647715}
{' Yes': -0.027953738, 'Yes': -4.757238, ' ': -5.238897, ' yes': -5.286117, '\n': -5.5241237}
{' Yes': -0.034075547, 'Yes': -4.4970403, ' No': -4.8750844, ' yes': -5.0993276, ' ': -5.720735}
{' Yes': -0.004158641, 'Yes': -5.7802496, ' Generally': -7.828772, ' Absolutely': -8.586635, ' A': -8.653768}
{' Yes': -0.0112237455, 'Yes': -5.326375, ' Generally': -5.728457, ' Bears': -6.0943513, ' yes': -8.197347}
{' Yes': -0.01751967, 'Yes': -4.181044, ' Generally': -7.1394563, ' yes': -7.8989067, ' A': -8.0290165}
{' Yes': -0.032447424, 'Yes': -4.1130424, ' Bears': -4.722467, ' Generally': -5.51234, ' No': -6.947818}
{' Yes': -0.01878106, 'Yes': -4.089818, ' ': -7.3162374, ' yes': -8.077699, ' A': -8.147801}
{' Yes': -0.069140255, ' Bears': -3.4327512, 'Yes': -3.761292, ' No': -5.417212, ' Generally': -6.0748353}
{' Yes': -0.0055306437, 'Yes': -5.585137, ' A': -7.4123826, ' Generally': -7.501027, ' yes': -8.542209}
{' Yes': -0.031329904, ' Bears': -3.8910806, 'Yes': -5.129873, ' Generally': -5.779129, ' No': -7.8298564}
{' Yes': -0.03226076, 'Yes': -3.7835326, ' ': -6.011017, '\n': -6.223333, ' Generally': -6.3467174}
{' Yes': -0.07181133, 'Yes': -3.4665368, ' Bears': -3.8838017, ' Generally': -5.391807, ' No': -5.440761}
{' Yes': -0.013710692, 'Yes': -4.5077004, ' Generally': -6.9713216, ' yes': -7.531756, ' A': -7.9085402}
{' Yes': -0.031874992, 'Yes': -3.797046, ' Bears': -5.355584, ' yes': -6.6218233, ' Generally': -6.657529}
{' Yes': -0.004716331, 'Yes': -5.927287, ' ': -7.179019, ' yes': -7.6080327, ' A': -8.223191}
{' Yes': -0.008477, 'Yes': -5.659622, ' ': -6.9494095, ' No': -6.9714303, ' Bears': -7.018559}
{' Yes': -0.173467, ' No': -2.4454606, ' A': -3.837459, 'Yes': -3.9861727, '\n': -4.2722583}
{' Yes': -0.1459907, ' No': -2.8363917, ' Bears': -3.0854034, 'Yes': -4.208145, ' ': -5.2198105}
{' Yes': -0.14687636, '\n': -2.8855124, 'Yes': -3.2266972, ' ': -3.9182444, ' A': -4.6182623}
{' Yes': -0.4763386, '\n': -1.8766032, ' No': -2.498929, ' Bears': -2.9774334, 'Yes': -3.2814286}
{' Yes': -0.039684065, ' No': -3.5582387, 'Yes': -5.3183155, ' ': -5.647709, ' A': -6.9767284}
{' Yes': -0.13040061, ' No': -2.302615, ' Bears': -4.482722, 'Yes': -5.129428, 'No': -6.1032434}
{' Yes': -0.28530312, 'Yes': -2.420536, ' No': -2.9114606, '\n': -3.2768917, ' ': -3.607044}
{' No': -0.39776984, 'No': -1.5305977, ' Bears': -3.1419027, ' Yes': -3.4323483, '\n': -4.146909}
{' Yes': -0.022123279, 'Yes': -4.4381676, ' yes': -5.324316, ' ': -6.1548305, ' A': -6.277916}
{' Yes': -0.03238161, 'Yes': -4.100497, ' yes': -5.037336, ' Bears': -5.4552274, ' ': -6.0496693}
{' Yes': -0.1071463, 'Yes': -3.4879313, ' A': -3.6802053, ' No': -3.6975734, ' yes': -4.537904}
{' Yes': -0.16555883, ' Bears': -2.5353765, 'Yes': -3.14502, ' yes': -4.140008, ' No': -5.1356397}
{' Yes': -0.0567234, 'Yes': -3.619368, ' No': -3.7825553, 'No': -5.977476, ' yes': -6.6567516}
{' Yes': -0.114361085, ' No': -3.1203387, 'Yes': -3.1748412, 'No': -4.6901803, ' Bears': -5.1927724}
{' Yes': -0.04911571, 'Yes': -3.1048121, ' ': -6.894929, ' No': -7.197469, ' yes': -7.2477393}
{' Yes': -0.07152748, 'Yes': -2.8663957, ' Bears': -5.287901, ' No': -5.7028465, ' yes': -6.84091}
{' Yes': -0.06497733, ' No': -3.0383067, 'Yes': -4.4862285, 'No': -6.385761, ' yes': -7.198644}
{' Yes': -0.02867647, 'Yes': -4.252853, ' No': -5.1033697, ' Bears': -5.1556253, ' Generally': -7.2070727}
{' Yes': -1.285442, 'No': -1.3605686, ' No': -1.5176903, ' Bears': -1.9326053, 'Yes': -2.7158694}
{' Bears': -0.99881154, ' Yes': -1.0452306, ' No': -2.4751947, 'No': -2.6101415, 'Yes': -2.652376}
{' Yes': -0.040199727, 'Yes': -3.4096854, ' yes': -6.3415246, ' No': -6.6894956, ' ': -6.7623158}
{' Yes': -0.05699507, 'Yes': -3.258243, ' Bears': -4.467357, ' yes': -6.001289, ' Generally': -6.5266333}
{' Yes': -0.039437015, ' yes': -3.8270211, 'Yes': -4.503121, ' ': -5.7832093, '\n': -6.748352}
{' Yes': -0.038719036, ' yes': -3.864063, 'Yes': -4.4252486, ' ': -6.2335935, ' Bears': -6.9171467}
{' Yes': -0.06624187, 'Yes': -3.1683307, '\n': -5.244596, ' yes': -5.3001304, ' ': -5.379125}
{' Yes': -0.3485735, ' No': -1.678188, 'No': -3.5877872, 'Yes': -3.58801, '\n': -3.9597871}
{' Yes': -0.24252516, '\n': -2.2922287, 'Yes': -2.4818287, ' ': -4.184185, ' yes': -5.309824}
{' Yes': -0.799979, '\n': -1.4367721, ' No': -2.3551948, ' Bears': -2.5007198, 'Yes': -2.79905}
{' Yes': -0.030586395, 'Yes': -4.0294228, ' No': -5.142414, ' yes': -5.947563, ' ': -6.20969}
{' Yes': -0.028802956, 'Yes': -3.9981117, ' No': -5.201397, ' yes': -6.136989, ' ': -7.1128426}
{' Yes': -0.7097679, '\n': -1.8129878, ' No': -1.9634606, 'Yes': -2.2630515, 'No': -2.8002565}
{' No': -0.7129121, 'No': -1.5857415, ' Yes': -1.890473, '\n': -2.3907208, 'Yes': -3.3936694}
{' Yes': -0.07247566, ' yes': -3.3458707, 'Yes': -3.6432343, '\n': -5.5360136, ' ': -6.1473393}
{' Yes': -0.10130514, ' yes': -2.887619, 'Yes': -3.5389783, '\n': -5.3331404, ' ': -5.9315686}
{' Yes': -0.00953884, 'Yes': -5.276819, '\n': -6.1362934, ' ': -6.6554627, ' yes': -7.2414417}
{' Yes': -0.019188551, 'Yes': -5.0393696, '\n': -5.453968, ' Bears': -6.08634, ' ': -6.127133}
{' Yes': -0.053685, 'Yes': -4.1214547, '\n': -4.2461915, ' No': -4.604382, ' ': -4.9114785}
{' Yes': -0.36480916, ' No': -1.8405592, ' Bears': -2.8111916, '\n': -3.110098, ' ': -4.2518597}
{' Yes': -0.05727868, 'Yes': -3.9529083, '\n': -4.1039686, ' ': -4.790595, ' A': -5.0855813}
{' Yes': -0.19677837, ' Bears': -2.7425086, ' No': -3.0484517, '\n': -3.5779698, 'Yes': -3.903359}
{' Yes': -0.030880501, ' No': -4.5447736, ' ': -4.8764997, '\n': -5.2218785, 'Yes': -5.292338}
{' Yes': -0.21448578, ' No': -2.5273595, ' Bears': -2.6703193, '\n': -3.9779093, ' ': -4.375086}
{' Yes': -0.16167724, ' No': -2.4477909, 'Yes': -3.8140244, '\n': -3.925898, ' ': -4.3548994}
{' No': -0.18661788, ' Yes': -2.5438395, 'No': -2.9354386, ' Bears': -4.0674295, ' ': -4.704795}
{' Yes': -0.021132858, 'Yes': -4.6684623, ' yes': -5.469775, ' ': -5.6375284, '\n': -5.908357}
{' Yes': -0.030613681, 'Yes': -4.1384187, ' yes': -5.075616, ' ': -5.9127984, '\n': -5.9898753}
{' Yes': -0.0039249985, 'Yes': -5.59871, ' yes': -8.906127, ' Absolutely': -10.526927, ' ': -10.914923}
{' Yes': -0.0049838815, 'Yes': -5.390497, ' yes': -8.366568, ' ': -10.121693, ' No': -10.346777}
{' Yes': -0.014188607, 'Yes': -4.3217483, ' yes': -7.8342204, ' ': -8.588813, ' No': -9.657099}
{' Yes': -0.010537176, 'Yes': -4.619778, ' ': -8.345347, ' yes': -8.351064, ' No': -9.414757}
{' Yes': -0.02084732, 'Yes': -4.018318, ' ': -6.849451, '\n': -7.364105, ' yes': -7.845043}
{' Yes': -0.030107653, 'Yes': -3.7094402, ' No': -5.9681244, ' ': -6.6129036, '\n': -7.591425}
{' Yes': -0.006156984, 'Yes': -5.1770325, ' yes': -8.620127, ' An': -8.866083, ' ': -9.872999}
{' Yes': -0.008930947, 'Yes': -4.798619, ' yes': -8.324187, ' No': -8.411398, ' ': -9.579167}
{' Yes': -0.74311626, ' No': -0.9104747, 'No': -2.876234, 'Yes': -3.6636314, '\n': -4.034967}
{' Yes': -0.29557633, ' No': -1.7421151, 'Yes': -3.1580772, 'No': -3.7658386, ' ': -5.1058345}
{' Yes': -0.016659608, 'Yes': -4.2284036, ' yes': -7.2312083, ' ': -7.7899013, ' An': -8.654741}
{' Yes': -0.038573507, 'Yes': -3.5198793, ' No': -5.490451, ' Ant': -6.7822256, ' yes': -6.8820124}
{' Yes': -0.0046426747, 'Yes': -5.7902064, ' yes': -7.190271, ' ': -7.4577866, '\n': -8.716325}
{' Yes': -0.0043667136, 'Yes': -5.8563275, ' yes': -7.2960587, ' ': -7.740816, '\n': -8.209291}
{' Yes': -0.050167616, ' No': -3.7162783, 'Yes': -4.298653, '\n': -5.481882, ' ': -5.48474}
{' Yes': -0.013185656, 'Yes': -4.593491, ' ': -6.925945, ' yes': -7.0954266, ' No': -7.5284686}
{' Yes': -0.22531271, '\n': -2.239162, ' No': -3.3819842, 'Yes': -3.50629, ' ': -3.8074756}
{' No': -0.9011908, ' Yes': -1.0489511, '\n': -1.7708387, ' ': -3.6908903, 'No': -3.833579}
{' Yes': -0.0055022947, 'Yes': -5.5028696, ' ': -7.3887453, ' yes': -7.5902967, ' No': -8.900653}
{' Yes': -0.005446259, 'Yes': -5.6267614, ' No': -6.796071, ' ': -8.074841, ' yes': -8.102806}
{' No': -0.57817465, ' Yes': -1.5969411, 'No': -2.0173779, '\n': -3.153841, ' ': -3.6346493}
{' No': -0.21992323, 'No': -1.9740164, '\n': -3.8164313, ' ': -4.166714, ' Yes': -4.255508}
{' Yes': -0.022892907, 'Yes': -4.5495305, ' yes': -4.737565, ' ': -6.2585683, '\n': -7.358623}
{' Yes': -0.034135617, 'Yes': -4.1553917, ' yes': -4.2832108, ' ': -6.1931095, '\n': -7.0975423}
{' Yes': -0.064970076, 'Yes': -3.0985184, ' yes': -4.174427, ' ': -7.259529, 'yes': -7.5960894}
{' Yes': -0.08944184, 'Yes': -2.9838812, ' yes': -3.543917, '\n': -6.713959, ' Ant': -6.7666173}
{' Yes': -0.033777907, 'Yes': -3.8347633, ' No': -4.735308, ' yes': -6.4773216, 'No': -7.322066}
{' Yes': -0.05095296, 'Yes': -3.1409247, ' No': -5.381859, ' yes': -7.210258, 'No': -7.29668}
{' Yes': -0.0593365, 'Yes': -3.1793716, ' No': -4.5431795, ' ': -6.2373943, 'No': -6.3989244}
{' Yes': -0.059574217, 'Yes': -2.973442, ' No': -5.568228, ' yes': -6.9969034, ' ': -7.188638}
{' Yes': -0.022333292, 'Yes': -4.557501, ' No': -4.6434135, ' yes': -6.7963195, ' ': -7.97962}
{' Yes': -0.0147841545, 'Yes': -4.3583107, ' No': -7.1371613, ' yes': -7.150379, ' ': -8.729129}
{' No': -0.60328865, 'No': -1.0528011, ' Yes': -2.6146736, 'Yes': -4.1245265, ' An': -5.32708}
{' No': -1.0642, ' Yes': -1.1370646, 'No': -1.5355992, 'Yes': -2.5504746, ' Ant': -3.6481464}
{' Yes': -0.1732928, ' No': -2.2150905, 'Yes': -3.5023448, 'No': -4.370011, ' yes': -5.728694}
{' Yes': -0.042881336, 'Yes': -3.3590412, ' yes': -5.500332, ' Ant': -6.992933, ' No': -7.1224613}
{' Yes': -0.08224731, ' yes': -2.733149, 'Yes': -4.7559304, ' ': -5.7662263, '\n': -6.971143}
{' Yes': -0.08767876, ' yes': -2.660074, 'Yes': -4.6471667, ' ': -6.0936384, '\n': -6.9102645}
{' Yes': -0.04906043, 'Yes': -3.5245738, ' yes': -4.4025664, ' ': -5.894721, '\n': -5.9914484}
{' Yes': -0.056122117, 'Yes': -3.3292427, ' yes': -4.284222, '\n': -5.971346, ' ': -6.4354744}
{' Yes': -0.22400518, '\n': -2.4014935, 'Yes': -2.7345796, ' ': -4.1890407, ' No': -4.3355145}
{' Yes': -0.21145098, 'Yes': -2.6778455, '\n': -2.6940157, ' yes': -3.9293828, ' No': -4.0512204}
{' Yes': -0.019596878, 'Yes': -4.3348513, ' yes': -5.4170003, ' ': -6.923203, '\n': -7.8550096}
{' Yes': -0.01633542, 'Yes': -4.5224614, ' yes': -5.4760804, ' ': -7.8205338, ' No': -8.103443}
{' No': -1.111033, ' Yes': -1.1723143, '\n': -1.8258387, 'No': -2.264729, 'Yes': -2.8939319}
{' Yes': -0.7292226, ' No': -1.3129056, '\n': -2.6300576, 'Yes': -2.640795, 'No': -2.8434927}
{' Yes': -0.16284505, ' yes': -2.0686123, 'Yes': -4.1974273, '\n': -5.698315, ' ': -6.0061555}
{' Yes': -0.2582631, ' yes': -1.63938, 'Yes': -3.8251574, 'yes': -5.2854834, '\n': -5.537602}
{' Yes': -0.009301594, 'Yes': -5.4063463, '\n': -6.2465587, ' yes': -6.3249106, ' ': -7.112052}
{' Yes': -0.012395686, 'Yes': -5.348438, '\n': -5.554086, ' No': -6.6945868, ' yes': -6.7156997}
{' Yes': -0.04800373, '\n': -3.8524506, 'Yes': -3.99645, ' ': -5.36416, ' yes': -6.52098}
{' Yes': -0.062003903, '\n': -3.4596558, 'Yes': -4.269729, ' No': -4.724243, ' ': -5.4621725}
{' Yes': -0.053931504, 'Yes': -3.8526642, '\n': -3.930133, ' ': -5.0369825, ' yes': -6.354686}
{' Yes': -0.1742946, ' No': -2.4370356, '\n': -3.3926861, 'Yes': -4.0581274, ' ': -4.746419}
{' Yes': -0.017650943, '\n': -5.195999, ' ': -5.316574, 'Yes': -5.42367, ' No': -6.605413}
{' Yes': -0.029526489, ' No': -4.651103, '\n': -4.726706, 'Yes': -5.171078, ' ': -5.4936967}
{' Yes': -0.5831043, ' No': -1.145879, '\n': -2.842845, ' ': -3.6680574, 'Yes': -4.0001783}
{' No': -0.120671086, ' Yes': -3.0180023, 'No': -3.4049137, '\n': -4.2189717, ' ': -4.388201}
