{' No': -9.308281, ' ': -12.225896, ' Yes': -0.0017987726, ' yes': -10.136244, 'Yes': -6.40177}
{' No': -10.646553, ' ': -9.001774, ' Yes': -0.008428911, ' yes': -8.4248085, 'Yes': -4.829636}
{' No': -7.4371114, ' ': -8.526146, ' Yes': -0.0039220056, ' yes': -7.893162, 'Yes': -5.9080925}
{'\n': -9.317976, ' ': -8.063869, ' Yes': -0.007843259, ' yes': -8.558626, 'Yes': -4.944824}
{'\n': -8.645201, ' ': -7.537352, ' Yes': -0.014439231, ' yes': -5.4337964, 'Yes': -4.712086}
{' No': -10.180465, ' ': -9.760251, ' Yes': -0.0011172693, ' yes': -9.417547, 'Yes': -7.004247}
{' No': -8.233944, ' ': -8.966479, ' Yes': -0.004080534, ' yes': -9.317612, 'Yes': -5.640956}
{' No': -8.0107765, '\n': -8.391895, ' ': -8.376604, ' Yes': -0.0059169405, 'Yes': -5.292576}
{' No': -6.9944243, ' ': -9.004394, ' Yes': -0.0020289877, ' yes': -9.919606, 'Yes': -6.99405}
{'\n': -8.639155, ' ': -8.173404, ' Yes': -0.0077754552, ' yes': -9.552909, 'Yes': -4.9433894}
{'\n': -9.82176, ' ': -8.864035, ' Yes': -0.0020429061, ' yes': -9.2300625, 'Yes': -6.3721614}
{' No': -0.008447244, ' ': -11.025676, 'No': -4.780557, ' no': -13.818697, ' NO': -13.464291}
{' No': -0.035038073, ' ': -10.150282, 'No': -3.370218, ' no': -13.10677, ' NO': -12.286022}
{' No': -0.060147293, ' ': -9.4704895, 'No': -2.842452, ' no': -13.203784, ' NO': -11.957084}
{' No': -0.016779434, ' ': -11.133782, 'No': -4.097098, ' no': -13.768278, ' NO': -13.315214}
{' No': -0.0410852, '\n': -11.564829, ' ': -9.069445, 'No': -3.2161741, ' NO': -12.158175}
{' No': -0.03214972, '\n': -12.244895, ' ': -9.062432, 'No': -3.4578316, ' no': -12.069648}
{' No': -0.001702103, '\n': -11.931339, ' ': -10.2030945, 'No': -6.405667, ' no': -13.077504}
{' No': -0.010869314, '\n': -11.982263, ' ': -9.644771, 'No': -4.534423, ' NO': -13.003251}
{' No': -0.011785752, '\xa0': -12.854522, '\n': -10.015043, ' ': -9.005169, 'No': -4.4618855}
{' No': -0.0031145625, '\n': -12.703304, ' ': -10.264422, 'No': -5.786609, ' NO': -13.443037}
{' No': -0.012162163, '\xa0': -12.513005, '\n': -8.9156685, ' ': -8.107526, 'No': -4.453341}
{' No': -0.010834728, '\n': -9.430125, ' ': -8.637186, 'No': -4.556838, ' no': -11.407982}
{' No': -0.02399269, ' ': -9.810923, 'No': -3.7455313, ' no': -11.245783, ' NO': -12.119629}
{' No': -0.036047067, ' ': -11.212657, 'No': -3.341442, 'no': -13.404815, ' no': -13.054615}
{' No': -0.07080076, '\n': -11.27693, ' ': -9.192893, 'No': -2.6850755, ' no': -11.986051}
{' No': -0.010417073, ' ': -10.585254, 'No': -4.5731554, ' no': -11.988311, ' NO': -12.822105}
{' No': -0.086779155, '\n': -10.600608, ' ': -8.821737, 'No': -2.490147, ' Yes': -10.690189}
{' No': -0.06083396, '\n': -9.708051, ' ': -8.51767, 'No': -2.8376188, ' Yes': -9.083619}
{' No': -0.0028559412, '\n': -10.7056465, ' ': -8.730789, 'No': -5.9332643, ' no': -11.299309}
{' No': -0.019256847, '\n': -11.490504, ' ': -8.690838, 'No': -3.969965, ' no': -11.405794}
{' No': -0.017040707, '\n': -9.1470585, ' ': -8.195801, 'No': -4.104382, ' no': -12.319693}
{' No': -0.0052159717, '\n': -11.601922, ' ': -8.881198, 'No': -5.290599, ' no': -11.55165}
{' No': -0.013421287, '\n': -8.2391615, ' ': -7.6193933, 'No': -4.3776064, ' no': -11.622672}
{' No': -0.016998146, '\n': -8.303711, ' ': -7.487907, 'No': -4.14138, ' no': -9.055788}
{' No': -0.0012581645, '\n': -10.546472, ' ': -9.5386095, 'No': -6.764331, ' NO': -12.870785}
{' No': -0.008222938, '\n': -11.167051, ' ': -9.255156, 'No': -4.8192163, ' NO': -12.590181}
{' No': -0.011276188, '\n': -7.86606, ' ': -8.250382, 'No': -4.5508933, ' NO': -12.469404}
{' No': -0.0019360605, '\n': -11.309076, ' ': -9.228206, 'No': -6.3104105, ' NO': -12.52727}
{' No': -0.0109275235, '\n': -7.7012806, ' ': -8.051506, 'No': -4.5964184, ' NO': -12.68174}
{' No': -0.0037206097, '\n': -10.044326, ' ': -9.13465, 'No': -5.638555, ' NO': -13.282092}
{' No': -0.0055888435, ' ': -11.190571, 'No': -5.196594, ' Yes': -10.785267, ' NO': -13.354974}
{' No': -0.028792955, ' ': -10.3121605, 'No': -3.579511, ' Yes': -7.7224536, 'Yes': -11.65609}
{' No': -0.036696535, ' ': -9.949547, 'No': -3.3281314, ' Yes': -9.100131, ' NO': -12.478012}
{' No': -0.008969075, ' ': -11.290138, 'No': -4.7354283, ' Yes': -8.918985, ' NO': -13.364946}
{' No': -0.028557112, ' ': -9.444513, 'No': -3.585169, ' Yes': -8.040892, 'Yes': -12.051088}
{' No': -0.020041917, ' ': -8.699823, 'No': -4.0934863, ' Yes': -5.826766, 'Yes': -10.525821}
{' No': -0.0013587296, '\n': -12.821072, ' ': -10.269236, 'No': -6.9623647, ' Yes': -7.9047856}
{' No': -0.007401052, '\n': -12.506874, ' ': -9.497043, 'No': -4.958485, ' Yes': -8.241612}
{' No': -0.0067958403, '\n': -10.38607, ' ': -8.838093, 'No': -5.2640777, ' Yes': -6.566283}
{' No': -0.001913485, ' ': -10.307541, 'No': -6.3192787, ' Yes': -9.52746, ' NO': -13.3879}
{' No': -0.008234298, '\n': -9.817848, ' ': -8.27854, 'No': -4.893339, ' Yes': -7.861093}
{' No': -0.013506832, '\n': -9.429413, ' ': -8.025383, 'No': -4.891513, ' Yes': -5.21452}
{' No': -0.017808622, ' ': -9.9941435, 'No': -4.076631, ' Yes': -7.392055, ' no': -11.727101}
{' No': -0.030705689, ' ': -11.11344, 'No': -3.566968, ' Yes': -6.2485166, 'Yes': -10.015109}
{' No': -0.04740776, ' ': -9.168391, 'No': -3.4938016, ' Yes': -4.1679807, 'Yes': -8.111828}
{' No': -0.0097526675, ' ': -10.647024, 'No': -5.0315495, ' Yes': -5.7685013, 'Yes': -10.787134}
{' No': -0.16410258, ' ': -8.598635, 'No': -3.4974997, ' Yes': -2.1302128, 'Yes': -6.2175193}
{' No': -0.3394488, ' ': -8.015143, 'No': -3.3922114, ' Yes': -1.3869588, 'Yes': -5.590053}
{' No': -0.0017532724, ' ': -8.846783, 'No': -6.487789, ' Yes': -9.672377, ' no': -11.423147}
{' No': -0.009270911, ' ': -8.847227, 'No': -4.7224913, ' Yes': -8.6754, ' no': -11.64984}
{' No': -0.006361814, '\n': -10.904679, ' ': -8.753627, 'No': -5.1322083, ' Yes': -8.273147}
{' No': -0.0031529493, ' ': -9.092551, 'No': -5.840118, ' Yes': -9.114601, ' no': -11.963378}
{' No': -0.0070803314, '\n': -9.626248, ' ': -8.3273325, 'No': -5.0078716, ' Yes': -9.825708}
{' No': -0.011816812, '\n': -8.673416, ' ': -7.3871813, 'No': -4.564828, ' Yes': -7.7965283}
{' No': -0.00090540084, '\n': -11.302837, ' ': -9.585454, 'No': -7.168708, ' Yes': -9.927993}
{' No': -0.004455138, '\n': -11.645111, ' ': -9.077371, 'No': -5.464563, ' Yes': -9.410026}
{' No': -0.00606637, '\n': -8.677539, ' ': -8.197015, 'No': -5.3637915, ' Yes': -7.0037336}
{' No': -0.0010105823, '\n': -12.323625, ' ': -9.530549, 'No': -7.0114465, ' Yes': -10.497018}
{' No': -0.0074654254, '\n': -9.032921, ' ': -8.075869, 'No': -5.0221095, ' Yes': -7.805673}
{' No': -0.003588401, '\n': -10.151432, ' ': -8.415588, 'No': -6.209234, ' Yes': -6.64358}
{' YES': -12.070291, ' ': -12.285246, ' Yes': -0.00270926, ' yes': -10.187563, 'Yes': -5.9313207}
{' YES': -11.383468, ' Yes': -0.009433176, ' yes': -9.278459, 'Yes': -4.681264, 'yes': -11.665925}
{' YES': -11.209717, ' Yes': -0.011885509, ' yes': -9.364421, 'Yes': -4.4482203, 'yes': -11.706989}
{' YES': -12.085224, ' ': -12.751103, ' Yes': -0.0046793222, ' yes': -10.3749485, 'Yes': -5.3761735}
{' ': -11.500922, ' Yes': -0.01169203, ' yes': -9.5974245, 'Yes': -4.4632034, 'yes': -11.4285345}
{' YES': -11.607631, ' ': -10.9105, ' Yes': -0.008745075, ' yes': -9.094433, 'Yes': -4.7609057}
{' YES': -11.399984, ' ': -11.237294, ' Yes': -0.0009334393, ' yes': -9.325054, 'Yes': -7.1135926}
{' YES': -11.1849375, ' ': -10.550088, ' Yes': -0.0054361895, ' yes': -9.199365, 'Yes': -5.246559}
{'\n': -10.593652, ' ': -10.001363, ' Yes': -0.00410926, ' yes': -9.281052, 'Yes': -5.541878}
{' YES': -11.758581, ' ': -11.543366, ' Yes': -0.0013479257, ' yes': -9.920949, 'Yes': -6.6641817}
{'\n': -10.216866, ' ': -9.109774, ' Yes': -0.0072639138, ' yes': -9.201115, 'Yes': -4.967196}
{'\n': -9.7460785, ' ': -9.189934, ' Yes': -0.0065845028, ' yes': -7.838325, 'Yes': -5.1235847}
{' YES': -11.214035, ' Yes': -0.008579015, ' yes': -8.315036, 'Yes': -4.7968593, 'yes': -10.876513}
{' YES': -12.5929985, ' Yes': -0.016097771, ' yes': -9.396901, 'Yes': -4.143417, 'yes': -11.327664}
{' YES': -11.0094795, ' Yes': -0.020723782, ' yes': -8.298998, 'Yes': -3.9022808, 'yes': -10.418922}
{' YES': -12.028908, ' Yes': -0.0058505717, ' yes': -9.095987, 'Yes': -5.166775, 'yes': -11.705391}
{' ': -10.963835, ' Yes': -0.020256968, ' yes': -8.56099, 'Yes': -3.9222171, 'yes': -10.274728}
{' ': -10.54084, ' Yes': -0.01961347, ' yes': -7.5546875, 'Yes': -3.9738789, 'yes': -9.948553}
{' YES': -11.050552, ' ': -10.258707, ' Yes': -0.0019441826, ' yes': -7.8802247, 'Yes': -6.5034204}
{' ': -9.786843, ' Yes': -0.010144031, ' yes': -7.627848, 'Yes': -4.657742, 'yes': -10.179548}
{'\n': -11.516824, ' ': -9.849673, ' Yes': -0.0056584347, ' yes': -9.015198, 'Yes': -5.2139525}
{' ': -10.324504, ' Yes': -0.0031243085, ' yes': -8.361582, 'Yes': -5.8704453, 'yes': -11.118038}
{'\n': -10.187795, ' ': -9.227316, ' Yes': -0.0071595106, ' yes': -8.911029, 'Yes': -4.9854364}
{'\n': -8.796667, ' ': -8.351984, ' Yes': -0.013674256, ' yes': -5.931605, 'Yes': -4.567345}
{'\n': -10.715778, ' ': -10.219917, ' Yes': -0.001114167, ' yes': -9.707413, 'Yes': -6.9375}
{' YES': -10.9124775, ' ': -9.890914, ' Yes': -0.0048266505, ' yes': -9.424206, 'Yes': -5.372548}
{'\n': -9.705573, ' ': -9.61127, ' Yes': -0.004194014, ' yes': -9.734384, 'Yes': -5.5255756}
{' YES': -11.438715, ' ': -10.447829, ' Yes': -0.0011266972, ' yes': -10.261106, 'Yes': -6.86453}
{'\n': -9.891223, ' ': -9.281793, ' Yes': -0.006713088, ' yes': -9.776309, 'Yes': -5.0398207}
{'\n': -10.628963, ' ': -9.996691, ' Yes': -0.0018089833, ' yes': -9.864639, 'Yes': -6.390513}
{' No': -8.839009, ' ': -11.6544, ' Yes': -0.002847632, ' yes': -10.056249, 'Yes': -5.9365535}
{' No': -10.620508, ' ': -10.808947, ' Yes': -0.01212132, ' yes': -8.946757, 'Yes': -4.435066}
{' No': -10.097039, ' ': -10.52515, ' Yes': -0.02318287, ' yes': -9.165666, 'Yes': -3.7846117}
{' No': -10.013812, ' ': -11.50239, ' Yes': -0.0052581546, ' yes': -9.971766, 'Yes': -5.271508}
{' No': -8.311445, ' ': -9.910265, ' Yes': -0.01979487, ' yes': -9.255854, 'Yes': -3.9546797}
{' No': -10.234097, ' ': -9.850701, ' Yes': -0.007983062, ' yes': -8.736988, 'Yes': -4.868182}
{' YES': -12.317605, ' ': -11.372128, ' Yes': -0.0008943633, ' yes': -9.141924, 'Yes': -7.174532}
{' No': -11.131819, ' ': -10.4070635, ' Yes': -0.0046814773, ' yes': -9.143937, 'Yes': -5.402833}
{' No': -10.772338, ' ': -9.978105, ' Yes': -0.0055881236, ' yes': -9.210395, 'Yes': -5.2251925}
{' No': -11.682695, ' ': -10.893707, ' Yes': -0.0013608764, ' yes': -9.653305, 'Yes': -6.675128}
{'\n': -9.611965, ' ': -8.633332, ' Yes': -0.007943052, ' yes': -8.894841, 'Yes': -4.8921156}
{'\n': -10.151257, ' ': -9.191158, ' Yes': -0.0047347173, ' yes': -7.817692, 'Yes': -5.485869}
{' No': -10.2197895, ' ': -10.9017515, ' Yes': -0.00859813, ' yes': -8.079154, 'Yes': -4.8070693}
{' ': -12.589043, ' Yes': -0.012185274, ' yes': -9.278602, 'Yes': -4.4226503, 'yes': -11.739838}
{' ': -10.407465, ' Yes': -0.020023674, ' yes': -8.183563, 'Yes': -3.9385645, 'yes': -10.753239}
{' No': -10.352599, ' ': -11.37976, ' Yes': -0.0056740805, ' yes': -8.559215, 'Yes': -5.2198234}
{' ': -10.246325, ' Yes': -0.029293785, ' yes': -8.092506, 'Yes': -3.5587943, 'yes': -10.1686}
{' ': -10.173829, ' Yes': -0.01858272, ' yes': -7.1659665, 'Yes': -4.0432334, 'yes': -10.127854}
{' ': -10.08869, ' Yes': -0.001746167, ' yes': -7.605157, 'Yes': -6.737675, 'yes': -11.882852}
{' ': -9.204659, ' Yes': -0.008050599, ' yes': -7.567643, 'Yes': -4.9146266, 'yes': -10.635367}
{'\n': -11.448993, ' ': -9.459536, ' Yes': -0.0061995653, ' yes': -8.698669, 'Yes': -5.1316056}
{' No': -9.004591, ' ': -8.964502, ' Yes': -0.0028156505, ' yes': -8.023773, 'Yes': -6.114844}
{'\n': -9.667265, ' ': -8.623234, ' Yes': -0.0068723555, ' yes': -8.633093, 'Yes': -5.0519066}
{'\n': -8.798158, ' ': -7.7259955, ' Yes': -0.011569979, ' yes': -5.6382976, 'Yes': -4.9313126}
{'\n': -11.141904, ' ': -10.114774, ' Yes': -0.0009111285, ' yes': -9.544282, 'Yes': -7.1700797}
{' No': -9.625049, ' ': -9.263411, ' Yes': -0.0040796967, ' yes': -9.29495, 'Yes': -5.576741}
{'\n': -8.710562, ' ': -8.826849, ' Yes': -0.0056864284, ' yes': -9.597996, 'Yes': -5.25598}
{' No': -8.693704, ' ': -9.332004, ' Yes': -0.0011533718, ' yes': -9.878127, 'Yes': -7.0945787}
{'\n': -8.35992, ' ': -8.418841, ' Yes': -0.008815248, ' yes': -9.568273, 'Yes': -4.800292}
{'\n': -10.060474, ' ': -9.21708, ' Yes': -0.0020015135, ' yes': -9.33919, 'Yes': -6.341831}
{' No': -0.009770002, ' ': -10.887684, 'No': -4.635731, ' no': -13.744616, ' NO': -13.171255}
{' No': -0.035537533, ' ': -10.345165, 'No': -3.3561113, ' no': -12.995236, ' NO': -12.192508}
{' No': -0.060655538, '\n': -12.886447, ' ': -9.63801, 'No': -2.8340738, ' NO': -12.172787}
{' No': -0.017261116, ' ': -11.227044, 'No': -4.0689425, ' no': -13.71762, ' NO': -13.298783}
{' No': -0.049693234, '\n': -11.994655, ' ': -9.437335, 'No': -3.0286973, ' NO': -12.307929}
{' No': -0.039101638, '\n': -12.047613, ' ': -8.874003, 'No': -3.265506, ' no': -11.934444}
{' No': -0.0017311795, '\n': -11.799011, ' ': -10.097162, 'No': -6.391334, ' no': -13.078382}
{' No': -0.009927712, '\n': -12.042766, ' ': -9.724216, 'No': -4.62474, ' NO': -12.934492}
{' No': -0.009753149, '\xa0': -12.846158, '\n': -9.882819, ' ': -9.082396, 'No': -4.6530313}
{' No': -0.0026589993, '\n': -12.99645, ' ': -10.367905, 'No': -5.9454384, ' NO': -13.302633}
{' No': -0.011199332, '\xa0': -12.551265, '\n': -9.061721, ' ': -8.193622, 'No': -4.5346003}
{' No': -0.009142839, '\n': -9.55395, ' ': -8.757945, 'No': -4.727111, ' no': -11.521656}
{' No': -0.02185744, ' ': -9.990121, 'No': -3.8374321, ' no': -11.508006, ' NO': -12.226747}
{' No': -0.0327002, ' ': -11.078646, 'No': -3.437388, 'no': -13.192511, ' no': -12.83229}
{' No': -0.06525336, '\n': -11.159986, ' ': -9.235004, 'No': -2.7640448, ' no': -11.97962}
{' No': -0.010153485, ' ': -10.521996, 'No': -4.599026, ' no': -11.950143, ' NO': -12.744514}
{' No': -0.096503906, '\n': -10.573249, ' ': -8.777026, 'No': -2.3884733, ' Yes': -10.993008}
{' No': -0.059619445, '\n': -9.592852, ' ': -8.43426, 'No': -2.8602993, ' Yes': -8.254923}
{' No': -0.0024490694, '\n': -10.736401, ' ': -8.7444515, 'No': -6.0967093, ' no': -11.544326}
{' No': -0.016177548, '\n': -11.48788, ' ': -8.724593, 'No': -4.144283, ' no': -11.428672}
{' No': -0.013823335, '\n': -9.554575, ' ': -8.392973, 'No': -4.3110013, ' no': -12.508547}
{' No': -0.0043058307, '\n': -12.058867, ' ': -9.089703, 'No': -5.4815836, ' no': -11.535756}
{' No': -0.01242948, '\n': -8.444026, ' ': -7.875094, 'No': -4.4449644, ' no': -11.643829}
{' No': -0.014387889, '\n': -8.416082, ' ': -7.5508256, 'No': -4.3115697, ' no': -9.204643}
{' No': -0.001214061, '\n': -10.562208, ' ': -9.55001, 'No': -6.8020754, ' NO': -12.834771}
{' No': -0.008790052, '\n': -11.088149, ' ': -9.216282, 'No': -4.7526135, ' NO': -12.346286}
{' No': -0.011090599, '\n': -7.865231, ' ': -8.382863, 'No': -4.565419, ' NO': -12.279987}
{' No': -0.0017255673, '\n': -11.411611, ' ': -9.244559, 'No': -6.431417, ' NO': -12.553135}
{' No': -0.011179983, '\n': -7.2533994, ' ': -7.849346, 'No': -4.6042986, ' NO': -12.6276045}
{' No': -0.0041174614, '\n': -9.822139, ' ': -8.920884, 'No': -5.5427847, ' NO': -13.085137}
{' No': -0.0059857774, ' ': -11.283695, 'No': -5.1252007, ' Yes': -11.868774, ' NO': -13.373341}
{' No': -0.025814353, ' ': -10.294268, 'No': -3.6782074, ' Yes': -8.671576, ' NO': -12.511022}
{' No': -0.034554534, ' ': -9.982135, 'No': -3.388793, ' Yes': -8.76142, 'Yes': -12.468042}
{' No': -0.008276186, ' ': -11.530512, 'No': -4.801586, ' Yes': -11.30262, ' NO': -13.194351}
{' No': -0.024991436, ' ': -9.803645, 'No': -3.7188447, ' Yes': -7.9679956, 'Yes': -12.081734}
{' No': -0.019411687, ' ': -8.859636, 'No': -4.129544, ' Yes': -5.8254986, 'Yes': -10.601748}
{' No': -0.0009926212, '\n': -12.933292, ' ': -10.660194, 'No': -7.0369496, ' Yes': -9.384695}
{' No': -0.0069595613, '\n': -12.562912, ' ': -9.8955965, 'No': -5.0002685, ' Yes': -8.881875}
{' No': -0.0056058057, '\n': -10.338135, ' ': -9.21307, 'No': -5.255573, ' Yes': -8.369446}
{' No': -0.0016369043, '\n': -13.228883, ' ': -10.381031, 'No': -6.475836, ' Yes': -9.730215}
{' No': -0.008494612, '\n': -9.771015, ' ': -8.451608, 'No': -4.813632, ' Yes': -9.672441}
{' No': -0.008635408, '\n': -9.559023, ' ': -8.288416, 'No': -4.9593706, ' Yes': -6.699394}
{' No': -0.016074207, ' ': -10.015557, 'No': -4.1643877, ' Yes': -7.9811807, ' no': -11.89564}
{' No': -0.02044518, ' ': -11.436484, 'No': -3.9468575, ' Yes': -7.0213614, 'Yes': -11.078064}
{' No': -0.04887984, ' ': -9.454193, 'No': -3.604807, ' Yes': -3.908974, 'Yes': -7.959004}
{' No': -0.0075381477, ' ': -10.776861, 'No': -5.0597615, ' Yes': -6.787491, 'Yes': -11.807002}
{' No': -0.0481319, ' ': -9.114561, 'No': -3.3899114, ' Yes': -4.352375, 'Yes': -8.284015}
{' No': -0.16685316, ' ': -8.38754, 'No': -3.2639294, ' Yes': -2.1774848, 'Yes': -6.3788967}
{' No': -0.0013582519, ' ': -9.140446, 'No': -6.721586, ' Yes': -10.520493, ' no': -11.6920595}
{' No': -0.008822704, ' ': -9.214018, 'No': -4.754365, ' Yes': -9.804329, ' no': -11.920006}
{' No': -0.005757284, '\n': -10.692984, ' ': -8.960793, 'No': -5.212489, ' Yes': -8.900985}
{' No': -0.002470282, ' ': -9.4062, 'No': -6.058708, ' Yes': -10.2624, ' no': -12.225721}
{' No': -0.0089450795, '\n': -9.148383, ' ': -8.118453, 'No': -4.7756896, ' Yes': -9.794374}
{' No': -0.011191857, '\n': -8.524615, ' ': -7.300496, 'No': -4.60852, ' Yes': -8.609801}
{' No': -0.0007473762, '\n': -11.199225, ' ': -9.733098, 'No': -7.3261385, ' Yes': -11.324576}
{' No': -0.0037563874, '\n': -11.469312, ' ': -9.379856, 'No': -5.616791, ' Yes': -11.339153}
{' No': -0.0050017936, '\n': -8.804256, ' ': -8.438404, 'No': -5.4030023, ' Yes': -9.090254}
{' No': -0.000809053, '\n': -12.169451, ' ': -9.654574, 'No': -7.234463, ' Yes': -11.118949}
{' No': -0.007492747, '\n': -8.301943, ' ': -8.173891, 'No': -4.9826856, ' Yes': -9.530739}
{' No': -0.0020553863, '\n': -9.890117, ' ': -8.510486, 'No': -6.3991666, ' Yes': -8.917619}
{' YES': -11.773504, ' ': -12.635523, ' Yes': -0.0028088987, ' yes': -9.991866, 'Yes': -5.897786}
{' YES': -11.379056, ' ': -11.61015, ' Yes': -0.009976354, ' yes': -9.280097, 'Yes': -4.624942}
{' YES': -11.237978, ' ': -11.736835, ' Yes': -0.0140891615, ' yes': -9.420514, 'Yes': -4.277286}
{' YES': -11.935806, ' ': -12.850138, ' Yes': -0.004231424, ' yes': -10.3586855, 'Yes': -5.477605}
{' ': -11.562429, ' Yes': -0.0135081, ' yes': -9.612723, 'Yes': -4.318434, 'yes': -11.555292}
{' YES': -11.721789, ' ': -10.911725, ' Yes': -0.00709834, ' yes': -9.379481, 'Yes': -4.9680815}
{' YES': -11.41431, ' ': -11.324486, ' Yes': -0.0008917378, ' yes': -9.289674, 'Yes': -7.168445}
{' YES': -11.254909, ' ': -10.625211, ' Yes': -0.005346299, ' yes': -9.218587, 'Yes': -5.26235}
{'\n': -10.247933, ' ': -9.964754, ' Yes': -0.004740287, ' yes': -9.131314, 'Yes': -5.3997865}
{' YES': -11.803539, ' ': -11.687101, ' Yes': -0.0013005371, ' yes': -9.871613, 'Yes': -6.7023406}
{'\n': -9.883833, ' ': -9.062971, ' Yes': -0.007355234, ' yes': -9.2705765, 'Yes': -4.9555855}
{'\n': -9.534925, ' ': -9.262678, ' Yes': -0.006327263, ' yes': -8.024654, 'Yes': -5.1552796}
{' YES': -11.353462, ' Yes': -0.008299445, ' yes': -8.599422, 'Yes': -4.8223195, 'yes': -11.3164215}
{' YES': -12.522739, ' Yes': -0.01547939, ' yes': -9.455716, 'Yes': -4.182058, 'yes': -11.573263}
{' ': -11.142968, ' Yes': -0.020876294, ' yes': -8.557457, 'Yes': -3.891411, 'yes': -10.8180065}
{' YES': -12.117018, ' Yes': -0.005770713, ' yes': -9.24264, 'Yes': -5.1774964, 'yes': -12.050865}
{' ': -10.974179, ' Yes': -0.022220656, ' yes': -8.736732, 'Yes': -3.8277779, 'yes': -10.475985}
{' ': -10.648321, ' Yes': -0.018333303, ' yes': -7.762497, 'Yes': -4.036323, 'yes': -10.3484745}
{' YES': -11.116674, ' ': -10.220037, ' Yes': -0.0018219413, ' yes': -7.841479, 'Yes': -6.5987325}
{' ': -9.742773, ' Yes': -0.008581481, ' yes': -7.847919, 'Yes': -4.822071, 'yes': -10.6804905}
{'\n': -11.218139, ' ': -9.885386, ' Yes': -0.005379858, ' yes': -9.11457, 'Yes': -5.2637625}
{' YES': -11.310782, ' ': -10.351664, ' Yes': -0.002830894, ' yes': -8.450911, 'Yes': -5.9700913}
{'\n': -9.960692, ' ': -9.08245, ' Yes': -0.008458783, ' yes': -8.758927, 'Yes': -4.8188415}
{'\n': -8.424217, ' ': -8.183193, ' Yes': -0.012987211, ' yes': -6.0022597, 'Yes': -4.624668}
{'\n': -10.358167, ' ': -10.162235, ' Yes': -0.0009861783, ' yes': -9.778535, 'Yes': -7.082916}
{'\n': -10.901493, ' ': -10.039152, ' Yes': -0.004664711, ' yes': -9.53408, 'Yes': -5.404338}
{'\n': -9.244779, ' ': -9.499072, ' Yes': -0.004506211, ' yes': -9.693958, 'Yes': -5.4613767}
{' YES': -11.496079, ' ': -10.5569, ' Yes': -0.0010067648, ' yes': -10.311793, 'Yes': -6.9822006}
{'\n': -9.227637, ' ': -9.100332, ' Yes': -0.00782964, ' yes': -9.87163, 'Yes': -4.8898335}
{'\n': -10.335402, ' ': -9.799953, ' Yes': -0.0018099379, ' yes': -9.96452, 'Yes': -6.3978267}
{' No': -8.71865, ' ': -11.32493, ' Yes': -0.002982073, ' yes': -10.1343565, 'Yes': -5.8939333}
{' No': -9.828633, ' ': -10.367759, ' Yes': -0.012031247, ' yes': -9.012425, 'Yes': -4.445522}
{' No': -9.005786, ' ': -9.92261, ' Yes': -0.026334802, ' yes': -9.128667, 'Yes': -3.6624181}
{' No': -8.314378, ' ': -11.011111, ' Yes': -0.0049831616, ' yes': -10.059863, 'Yes': -5.369569}
{' No': -6.395892, 'No': -8.938605, ' Yes': -0.021754427, ' yes': -9.235935, 'Yes': -3.937436}
{' No': -10.0214, ' ': -9.758734, ' Yes': -0.008043687, ' yes': -8.795279, 'Yes': -4.8610992}
{' YES': -12.484511, ' ': -11.234936, ' Yes': -0.0007729657, ' yes': -9.360973, 'Yes': -7.315401}
{' No': -10.539646, ' ': -9.88903, ' Yes': -0.0044768723, ' yes': -9.147192, 'Yes': -5.457144}
{' No': -10.486283, ' ': -9.644706, ' Yes': -0.0053026755, ' yes': -9.268028, 'Yes': -5.285431}
{' No': -10.785817, ' ': -10.744025, ' Yes': -0.0010849873, ' yes': -9.780992, 'Yes': -6.9295154}
{'\n': -9.359309, ' ': -8.43366, ' Yes': -0.0074375, ' yes': -9.047439, 'Yes': -4.968224}
{'\n': -10.16348, ' ': -9.147137, ' Yes': -0.0046001566, ' yes': -7.7953944, 'Yes': -5.5239234}
{' No': -10.099678, ' ': -10.54487, ' Yes': -0.009647222, ' yes': -7.968637, 'Yes': -4.6935}
{' No': -12.19159, ' Yes': -0.012423867, ' yes': -9.452514, 'Yes': -4.402099, 'yes': -11.88425}
{' ': -10.269467, ' Yes': -0.017801343, ' yes': -8.172472, 'Yes': -4.057613, 'yes': -10.885113}
{' No': -9.944585, ' ': -11.392975, ' Yes': -0.0053474978, ' yes': -8.643577, 'Yes': -5.281873}
{' ': -10.031662, ' Yes': -0.036700863, ' yes': -8.217953, 'Yes': -3.3339016, 'yes': -9.981836}
{' ': -10.04127, ' Yes': -0.019308073, ' yes': -7.214729, 'Yes': -4.001934, 'yes': -10.130256}
{' ': -10.081752, ' Yes': -0.001674041, ' yes': -7.6429434, 'Yes': -6.784219, 'yes': -11.927962}
{' No': -10.210466, ' ': -9.015293, ' Yes': -0.007385319, ' yes': -7.5395966, 'Yes': -5.0164504}
{'\n': -11.449487, ' ': -9.339339, ' Yes': -0.0063316408, ' yes': -8.756919, 'Yes': -5.1107836}
{' No': -8.93764, ' ': -8.896314, ' Yes': -0.002665873, ' yes': -7.9941106, 'Yes': -6.1984963}
{'\n': -9.220498, ' ': -8.010784, ' Yes': -0.009907545, ' yes': -8.131943, 'Yes': -4.70048}
{'\n': -8.688761, ' ': -7.6943307, ' Yes': -0.01297435, ' yes': -5.5162816, 'Yes': -4.8191915}
