{' On': -8.312587, ' Generally': -4.545278, ' A': -8.284638, ' Yes': -0.018477857, 'Yes': -5.053342}
{' No': -0.016705912, '\n': -10.717007, ' ': -8.267076, 'No': -4.121999, ' no': -10.251697}
{' No': -0.055045206, '\n': -10.660659, ' ': -8.698672, 'No': -2.9318569, ' no': -10.902305}
{' No': -0.2769988, '\n': -6.8798733, ' ': -7.443645, 'No': -1.426451, 'no': -10.10157}
{' No': -0.36242926, '\n': -6.8918777, ' ': -7.381469, 'No': -1.1977087, ' Sn': -8.343429}
{' No': -0.1462402, '\n': -4.59563, ' ': -6.952905, 'No': -2.0843658, ' no': -8.351287}
{' No': -0.11425131, '\n': -7.3663144, ' ': -8.310842, 'No': -2.2387915, ' Sn': -7.9358225}
{' No': -0.003993997, '\n': -9.469113, ' ': -6.7362285, 'No': -6.053175, ' no': -8.066178}
{' No': -0.002107413, '\n': -9.366013, ' ': -7.5723414, 'No': -6.648769, ' no': -8.562002}
{' No': -0.06711604, '\n': -5.7116623, ' ': -6.275078, 'No': -2.8317184, ' no': -7.529061}
{' No': -0.049951736, '\n': -5.869203, ' ': -6.83745, 'No': -3.113308, ' no': -8.1788225}
{' No': -0.14245869, '\n': -2.8305194, ' ': -5.2435503, 'No': -2.695937, ' no': -7.6675572}
{' No': -0.16288376, '\n': -2.3004265, ' ': -5.0818863, 'No': -3.141861, ' no': -7.9979415}
{' No': -0.0076870965, '\n': -8.132188, ' ': -7.5432677, 'No': -5.0069656, ' no': -9.183098}
{' No': -0.014538406, '\n': -7.5753026, ' ': -7.8184686, 'No': -4.3128, ' no': -9.275438}
{' No': -0.22789873, '\n': -3.094571, ' ': -5.0087004, 'No': -1.9034339, ' no': -6.4248276}
{' No': -0.23320071, '\n': -2.6569695, ' ': -4.7889266, 'No': -2.060767, ' no': -6.7244534}
{' No': -0.02780903, '\n': -6.152711, ' ': -6.0847383, 'No': -3.9836211, ' no': -5.5317225}
{' No': -0.061528254, '\n': -4.8813143, ' ': -5.7913303, 'No': -3.2193632, ' no': -4.77979}
{' No': -0.008313631, '\n': -5.826358, ' ': -6.694787, 'No': -5.5625176, ' A': -8.798178}
{' No': -0.023415191, '\n': -4.13151, ' ': -6.0453835, 'No': -5.383803, ' no': -10.237712}
{' No': -0.10610426, '\n': -2.8734245, ' ': -5.0104446, 'No': -3.2958965, ' A': -8.393088}
{' No': -0.19781202, '\n': -1.907691, ' ': -4.8941045, 'No': -3.7595184, ' Sn': -9.71038}
{' No': -0.06874745, '\n': -3.3256176, ' ': -5.076882, 'No': -3.7476585, ' A': -7.775307}
{' No': -0.13002081, '\n': -2.3363826, ' ': -4.7994466, 'No': -4.103291, ' Sn': -8.82612}
{' No': -0.011934308, '\n': -5.609354, ' ': -5.6939497, 'No': -5.3903365, ' A': -8.664081}
{' No': -0.017703785, '\n': -4.8416286, ' ': -5.669219, 'No': -5.0981555, ' NO': -10.593112}
{' No': -0.03155964, '\n': -4.4449735, ' ': -5.626938, 'No': -4.17578, ' A': -8.582184}
{' No': -0.039247368, '\n': -4.03841, ' ': -5.216165, 'No': -4.1940455, ' Sn': -8.940709}
{' No': -0.0359799, '\n': -4.597538, ' ': -5.1868186, 'No': -3.990045, ' A': -7.4354014}
{' No': -0.04236432, '\n': -4.716915, ' ': -5.302223, 'No': -3.617897, ' no': -8.124206}
{' Generally': -7.088662, ' A': -9.670272, ' Yes': -0.004800955, ' yes': -9.236676, 'Yes': -5.6104865}
{' No': -6.2359586, ' Tigers': -5.983065, ' Generally': -6.321639, ' Yes': -0.013354355, 'Yes': -5.055789}
{' No': -5.0272713, ' Generally': -6.448317, 'No': -7.626064, ' Yes': -0.02494634, 'Yes': -4.198572}
{' No': -3.990028, ' Tigers': -6.43242, 'No': -6.426646, ' Yes': -0.043830525, 'Yes': -3.9408638}
{' No': -2.643994, ' ': -6.23226, 'No': -5.1242127, ' Yes': -0.10913733, 'Yes': -3.8943276}
{' No': -1.471154, ' Tigers': -4.8108673, 'No': -3.5188813, ' Yes': -0.3577124, 'Yes': -3.5996253}
{' No': -8.8287735, ' Generally': -7.1742916, ' A': -7.9506283, ' Yes': -0.0057147234, 'Yes': -5.4842186}
{' No': -6.7881823, ' Tigers': -5.5823064, ' Generally': -7.5473566, ' Yes': -0.013718972, 'Yes': -4.864339}
{' No': -0.86846113, 'No': -2.655967, ' A': -5.0309024, ' Yes': -0.7622313, 'Yes': -3.8892186}
{' No': -0.7415389, ' Tigers': -4.702644, 'No': -2.6372108, ' Yes': -0.90095514, 'Yes': -3.955871}
{' No': -2.0410342, ' Generally': -4.3203883, 'No': -4.855987, ' Yes': -0.19299275, 'Yes': -4.430858}
{' No': -3.6218321, ' Tigers': -4.4135976, 'No': -6.033955, ' Yes': -0.06796711, 'Yes': -3.8979347}
{'\n': -9.727887, ' ': -8.110498, ' Yes': -0.003317214, ' yes': -7.898939, 'Yes': -6.017643}
{' No': -2.7116263, ' Tigers': -7.277508, ' ': -6.884247, ' Yes': -0.07504113, 'Yes': -5.9093804}
{' No': -0.6526512, 'No': -3.6919901, ' A': -5.188923, ' Yes': -0.83978117, 'Yes': -4.9453144}
{' No': -0.823894, ' Tigers': -3.868234, 'No': -3.9662888, ' Yes': -0.68141884, 'Yes': -4.7689104}
{' No': -0.977582, '\n': -2.9411535, ' ': -3.7782125, 'No': -3.4018488, ' Yes': -0.7532892}
{' No': -0.2524618, '\n': -2.5426135, ' ': -3.959451, 'No': -2.4597847, ' Yes': -3.5557437}
{' No': -3.8406432, ' ': -6.880635, ' Yes': -0.026388777, ' yes': -8.360068, 'Yes': -5.857586}
{' No': -0.6093931, ' ': -6.7669067, 'No': -5.1747084, ' Yes': -0.80726725, 'Yes': -6.140614}
{' No': -0.36713675, '\n': -3.9343326, ' ': -3.850474, 'No': -1.7645671, ' Yes': -2.5644672}
{' No': -0.19967294, '\n': -4.7161584, ' ': -4.5433197, 'No': -1.841574, ' Yes': -6.669276}
{' No': -5.606511, ' ': -6.169906, ' Yes': -0.02183283, ' yes': -5.5903316, 'Yes': -4.6412897}
{' No': -3.9145336, ' Tigers': -5.16203, ' Yes': -0.051635727, ' yes': -5.5414395, 'Yes': -4.236067}
{' No': -3.6438076, ' A': -5.3994026, ' Yes': -0.084969655, ' yes': -4.7853193, 'Yes': -3.3577318}
{' No': -3.5616755, ' Tigers': -4.865315, ' Yes': -0.1023118, ' yes': -4.588672, 'Yes': -3.1600335}
{' No': -0.19981626, ' ': -7.3599725, 'No': -2.0921483, ' Yes': -2.9209788, 'Yes': -5.9798546}
{' No': -0.84524626, ' ': -7.6235113, 'No': -2.45823, ' Yes': -0.7853555, 'Yes': -3.6023111}
{' No': -1.8930985, ' ': -5.9815726, 'No': -3.6863074, ' Yes': -0.24808644, 'Yes': -3.2253566}
{' No': -1.3947452, ' ': -6.6941285, 'No': -3.1381588, ' Yes': -0.40445176, 'Yes': -3.2872126}
{' No': -2.4030888, 'No': -6.218745, ' Yes': -0.1064562, ' yes': -7.654416, 'Yes': -4.901389}
{' No': -5.8372097, ' Tigers': -8.236688, ' Yes': -0.020389698, ' yes': -7.859153, 'Yes': -4.1328616}
{' No': -0.49471983, ' Tigers': -6.036549, ' Generally': -6.2970405, 'No': -0.9871438, ' Yes': -4.9558997}
{' No': -0.8437653, ' Tigers': -3.320101, 'No': -1.0555745, ' Yes': -2.069687, 'Yes': -3.404995}
{' No': -0.18136993, ' Generally': -5.6326294, 'No': -2.31086, ' Yes': -2.891783, 'Yes': -6.210134}
{' No': -3.7733636, ' Tigers': -3.9681268, ' Generally': -5.548819, ' Yes': -0.08895754, 'Yes': -3.4659085}
{' ': -6.21256, ' Yes': -0.04266926, ' yes': -3.471159, 'Yes': -4.8991795, 'yes': -7.629554}
{' No': -4.3635564, ' ': -6.206425, ' Yes': -0.032343443, ' yes': -4.586045, 'Yes': -5.1641846}
{' No': -6.031417, ' ': -5.931382, ' Yes': -0.04953934, ' yes': -5.110601, 'Yes': -3.3806643}
{' No': -4.6747866, ' ': -5.807135, ' Yes': -0.05304263, ' yes': -5.860667, 'Yes': -3.4545145}
{' No': -2.454696, '\n': -2.6025937, ' ': -3.814275, ' Yes': -0.33980498, 'Yes': -2.6728985}
{' No': -2.2395453, ' Tigers': -3.3379188, '\n': -2.0900667, ' Yes': -0.47131708, 'Yes': -2.866672}
{' No': -6.2243032, ' ': -7.1666117, ' Yes': -0.015729487, ' yes': -6.442302, 'Yes': -4.5330634}
{' No': -2.1443727, ' ': -6.5944376, 'No': -5.623706, ' Yes': -0.14536841, 'Yes': -4.5160594}
{' No': -0.45346177, '\n': -3.0669022, ' ': -4.0916667, 'No': -1.3648597, ' Yes': -3.379815}
{' No': -0.30508316, '\n': -3.7416205, ' ': -4.429771, 'No': -1.5101403, ' Yes': -5.702643}
{'\n': -5.2513247, ' ': -5.7748184, ' Yes': -0.09359619, ' yes': -2.8280609, 'Yes': -4.011143}
{' No': -4.0763435, '\n': -5.1471634, ' Yes': -0.10706163, ' yes': -3.0998862, 'Yes': -3.7726707}
{' No': -7.650826, ' ': -7.859062, ' Yes': -0.0041184197, ' yes': -7.760546, 'Yes': -6.056822}
{' No': -2.5405915, '\n': -5.7599597, ' ': -6.299331, ' Yes': -0.092379905, 'Yes': -5.7741632}
{' No': -2.4617224, '\n': -4.178628, ' ': -5.153926, ' Yes': -0.13835621, 'Yes': -4.197167}
{' No': -0.33562422, '\n': -4.2040973, ' ': -5.0695567, 'No': -3.3048549, ' Yes': -1.5344062}
{' No': -3.5077484, '\n': -4.3161893, ' ': -4.966664, ' Yes': -0.08156494, 'Yes': -3.9155972}
{' No': -0.8404383, ' Tigers': -4.3265047, '\n': -3.9817746, 'No': -4.025047, ' Yes': -0.7023863}
{' No': -3.378442, '\n': -6.0365915, ' ': -5.262347, ' Yes': -0.04800919, 'Yes': -5.6855593}
{' No': -0.26879188, '\n': -5.0965905, ' ': -5.01409, 'No': -4.34565, ' Yes': -1.5757701}
{' No': -0.10185249, '\n': -4.781769, ' ': -5.0950623, 'No': -2.9962842, ' Yes': -3.5028515}
{' No': -0.06484135, '\n': -5.70683, ' ': -5.2872458, 'No': -3.126794, ' Yes': -4.6078615}
{' No': -5.7146473, ' ': -5.6684146, ' Yes': -0.02381285, ' yes': -5.4639425, 'Yes': -4.8085546}
{' No': -3.8315516, ' ': -5.5544176, ' Yes': -0.047505636, ' yes': -5.6207247, 'Yes': -4.4768267}
{' No': -7.551597, ' Generally': -8.765048, ' Yes': -0.004829285, ' yes': -9.525481, 'Yes': -5.549467}
{' No': -0.048222408, ' Tigers': -5.791319, ' Generally': -7.897385, 'No': -4.2048693, ' Yes': -3.569516}
{' No': -4.192998, ' Generally': -6.3051896, 'No': -6.91487, ' Yes': -0.03634749, 'Yes': -4.1550665}
{' No': -0.34660992, ' Tigers': -4.6295443, 'No': -2.8863704, ' Yes': -1.5310353, 'Yes': -5.1903977}
{' No': -3.382336, '\n': -5.807541, ' ': -5.810236, ' Yes': -0.06375927, 'Yes': -3.995934}
{' No': -0.10345286, '\n': -5.404144, ' ': -5.8454013, 'No': -2.9572926, ' Yes': -3.3534546}
{' No': -4.463247, ' Generally': -7.064859, ' A': -6.213882, ' Yes': -0.0269849, 'Yes': -4.487283}
{' No': -0.058730572, ' Tigers': -6.2240343, ' ': -8.170518, 'No': -2.9524071, ' Yes': -6.071735}
{' No': -1.0434319, ' Generally': -4.9724345, 'No': -3.0674186, ' Yes': -0.60205996, 'Yes': -3.6880813}
{' No': -0.23339868, ' Tigers': -4.594166, '\n': -5.3082314, 'No': -2.3885367, ' Yes': -2.4290164}
{' No': -1.8339628, ' Generally': -4.2387495, 'No': -4.2570143, ' Yes': -0.24560104, 'Yes': -4.0460463}
{' No': -0.12604989, ' Tigers': -4.8480554, ' ': -6.38217, 'No': -2.3582332, ' Yes': -4.5085306}
{' No': -2.9945586, '\n': -6.818651, ' ': -6.6933784, ' Yes': -0.05717139, 'Yes': -6.08412}
{' No': -0.021685233, '\n': -6.3815827, ' ': -7.094059, 'No': -5.461428, ' Yes': -4.235773}
{' No': -0.08958747, '\n': -4.9132013, 'No': -3.148261, ' A': -5.254945, ' Yes': -3.722312}
{' No': -0.053796828, ' Tigers': -6.792272, '\n': -5.5322757, ' ': -6.112392, 'No': -3.1061456}
{' No': -0.8581942, '\n': -1.674997, ' ': -3.5220602, 'No': -3.532379, ' Yes': -1.2285516}
{' No': -0.2244673, ' Tigers': -6.401712, '\n': -1.9725218, ' ': -4.2539663, 'No': -3.1063356}
{' No': -0.042940065, ' ': -6.5971427, 'No': -5.2122555, ' A': -7.4652457, ' Yes': -3.3766937}
{' No': -0.010878713, ' Tigers': -9.855824, '\n': -8.617398, ' ': -7.8220015, 'No': -4.590987}
{' No': -0.19483033, '\n': -3.812832, ' ': -4.4811025, 'No': -1.9967827, ' Yes': -5.374735}
{' No': -0.18857217, ' Tigers': -6.728447, '\n': -3.1558263, ' ': -4.358177, 'No': -2.1714938}
{' No': -2.2404706, ' ': -4.684852, ' A': -5.115051, ' Yes': -0.15703575, 'Yes': -4.4147983}
{' No': -0.063787475, ' Tigers': -6.5357647, '\n': -5.6741066, ' ': -5.265236, 'No': -2.9847565}
{' No': -4.451204, ' Generally': -6.4818015, ' A': -6.0091796, ' Yes': -0.048879154, 'Yes': -3.547582}
{' No': -0.20575462, ' Tigers': -4.6242156, 'No': -2.0122445, ' Yes': -3.407817, 'Yes': -5.9598145}
{' No': -1.8418485, ' ': -7.0963893, 'No': -3.9783192, ' Yes': -0.24601579, 'Yes': -3.2389567}
{' No': -0.12661144, ' Tigers': -8.819099, ' ': -8.530744, 'No': -2.1437182, ' Yes': -6.8124647}
{' No': -2.2605116, ' ': -6.3732014, 'No': -4.270939, ' Yes': -0.17954272, 'Yes': -3.1458397}
{' No': -0.20122491, ' ': -7.6595454, 'No': -1.7392268, ' Yes': -5.348491, 'Yes': -7.5622687}
{' No': -4.721601, ' ': -7.959193, ' Yes': -0.020667315, ' yes': -7.8992333, 'Yes': -4.5571146}
{' No': -0.08739484, ' ': -8.036164, 'No': -2.7175636, ' Yes': -4.1168594, 'Yes': -7.458259}
{' No': -0.3448116, '\n': -6.852601, ' ': -6.4856324, 'No': -1.2581798, ' Yes': -5.887227}
{' No': -0.44277978, ' Tigers': -5.4963837, '\n': -6.115001, 'No': -1.0623955, ' Yes': -6.127018}
{' No': -0.1650171, ' Tiger': -6.7281666, ' ': -6.997042, 'No': -1.9919863, ' Yes': -4.5058446}
{' No': -0.22299229, ' Tigers': -7.1543756, ' ': -7.740645, 'No': -1.6189808, ' Yes': -8.824799}
{' No': -6.019926, ' ': -6.4894295, ' Yes': -0.011070589, ' yes': -5.536436, 'Yes': -5.9360676}
{' No': -0.08848291, '\n': -6.402381, ' ': -5.780188, 'No': -5.83927, ' Yes': -2.5719404}
{' No': -1.3753088, '\n': -4.085895, 'No': -3.9395442, ' Yes': -0.41284722, 'Yes': -3.6998613}
{' No': -0.0951331, ' Tigers': -7.4216185, '\n': -4.799238, ' ': -5.913597, 'No': -2.5445464}
{' No': -0.59560645, '\n': -1.4653327, ' ': -3.9154365, 'No': -2.8482156, ' Yes': -2.1018913}
{' No': -0.37219757, ' Tigers': -4.826671, '\n': -1.5314057, ' ': -4.292405, 'No': -2.7082686}
{' No': -5.000493, '\n': -7.163908, ' ': -6.9590225, ' Yes': -0.01663488, 'Yes': -5.0070424}
{' No': -0.02974242, '\n': -6.9259534, ' ': -7.299563, 'No': -3.7312212, ' Yes': -5.7563715}
{' No': -0.29121405, '\n': -2.7202396, ' ': -4.649172, 'No': -1.7698822, ' Yes': -5.485487}
{' No': -0.27664337, '\n': -2.5046859, ' ': -4.7525024, 'No': -1.9012007, ' no': -7.6859207}
{' No': -5.0586305, '\n': -5.3604245, ' Yes': -0.060120013, ' yes': -3.4337866, 'Yes': -4.5493245}
{' No': -0.07671712, '\n': -4.0758357, ' ': -5.330253, 'No': -3.0562856, ' no': -5.865343}
{' No': -4.8672075, '\n': -5.830007, ' ': -6.495746, ' Yes': -0.015992684, 'Yes': -5.834768}
{' No': -0.01623146, '\n': -5.0371895, ' ': -6.28761, 'No': -4.984436, ' Yes': -7.1382747}
{' No': -0.47943348, '\n': -2.8589559, ' ': -4.4578595, 'No': -3.5221903, ' Yes': -1.3131623}
{' No': -0.10105887, ' Tigers': -6.4297767, '\n': -2.9176307, ' ': -5.1945415, 'No': -3.3749254}
{' No': -0.84970295, '\n': -2.7684555, ' ': -3.9312878, ' A': -4.1401634, ' Yes': -0.79609317}
{' No': -0.07501183, ' Tigers': -4.738237, '\n': -3.4025645, ' ': -4.8894877, 'No': -4.018348}
{' No': -0.76095384, '\n': -3.4342365, ' ': -3.7503297, ' A': -4.991512, ' Yes': -0.77168643}
{' No': -0.06951103, '\n': -3.3679674, ' ': -4.5872226, 'No': -4.017797, ' Yes': -5.5801425}
{' No': -0.06313173, '\n': -4.9836564, ' ': -5.9191194, 'No': -3.698956, ' Yes': -3.7105334}
{' No': -0.035246745, ' Tigers': -7.017121, '\n': -4.480019, ' ': -5.4706926, 'No': -4.024066}
{' No': -2.0011828, '\n': -3.951065, ' ': -4.359047, ' Yes': -0.2135146, 'Yes': -4.659773}
{' No': -0.2043165, '\n': -3.7302735, ' ': -4.4825315, 'No': -3.538003, ' Yes': -2.2318566}
{' Absolutely': -9.030254, ' A': -8.964655, ' Yes': -0.003803055, ' yes': -9.132408, 'Yes': -5.7262383}
{' No': -6.0132194, ' Tigers': -5.038709, ' Generally': -7.0066147, ' Yes': -0.015766075, 'Yes': -5.3146186}
{' No': -6.491466, ' ': -7.9229865, ' Generally': -7.7273097, ' Yes': -0.023777202, 'Yes': -3.8966582}
{' No': -4.9009786, ' Tigers': -6.7433743, ' ': -7.0444436, ' Yes': -0.029511448, 'Yes': -3.9858806}
{' No': -6.741402, ' ': -6.970057, ' A': -7.7898774, ' Yes': -0.025742117, 'Yes': -3.8175607}
{' No': -3.1620274, ' Tigers': -4.135035, 'No': -5.4454365, ' Yes': -0.10073297, 'Yes': -3.5966418}
{' No': -7.887658, ' A': -8.185864, ' Yes': -0.0060857986, ' yes': -8.94653, 'Yes': -5.2883945}
{' No': -4.673503, ' Tigers': -4.9427958, 'No': -8.137364, ' Yes': -0.0261412, 'Yes': -4.790204}
{' No': -5.7465153, ' ': -6.017422, ' Generally': -6.786249, ' Yes': -0.04733727, 'Yes': -3.3049438}
{' No': -3.933584, ' Tigers': -5.302585, ' ': -5.338171, ' Yes': -0.074933715, 'Yes': -3.3052113}
{' Generally': -6.4305243, ' A': -7.2297745, ' Yes': -0.016692821, ' yes': -7.5636606, 'Yes': -4.3951635}
{' No': -5.600551, ' Tigers': -3.7678144, ' ': -6.3553195, ' Yes': -0.057044923, 'Yes': -3.7260587}
{' No': -6.859024, ' ': -7.6668534, ' Yes': -0.0040824474, ' yes': -8.271973, 'Yes': -6.217583}
{' No': -2.373798, ' Tigers': -6.906745, ' ': -6.353606, ' Yes': -0.1049723, 'Yes': -5.993026}
{' No': -3.0101967, ' ': -5.4280453, ' A': -5.047404, ' Yes': -0.08406471, 'Yes': -4.2410564}
{' No': -2.654211, ' Tigers': -3.1572037, ' ': -5.212969, ' Yes': -0.14324965, 'Yes': -4.486925}
{' No': -3.6330733, '\n': -3.0601633, ' ': -4.0411124, ' Yes': -0.16139947, 'Yes': -3.2269378}
{' No': -0.8634186, '\n': -1.6598186, ' ': -3.1855085, 'No': -3.0903127, ' Yes': -1.4078197}
{' No': -5.843802, ' ': -6.9748554, ' Yes': -0.007887718, ' yes': -8.265219, 'Yes': -5.6459947}
{' No': -1.1072718, ' Tigers': -5.7467175, 'No': -5.9066205, ' Yes': -0.4173017, 'Yes': -5.891524}
{' No': -3.5011187, '\n': -4.0791636, ' ': -3.8375785, ' Yes': -0.21778202, 'Yes': -2.2303953}
{' No': -0.2979227, '\n': -4.0733495, ' ': -3.7846704, 'No': -1.9984784, ' Yes': -2.7331986}
{' ': -6.486154, ' A': -7.045796, ' Yes': -0.016451875, ' yes': -5.8475885, 'Yes': -4.5789304}
{' Tigers': -4.909723, ' ': -5.8338113, ' Yes': -0.033679456, ' yes': -5.517782, 'Yes': -4.255819}
{' No': -7.0359645, ' A': -6.0481668, ' Yes': -0.055013843, ' yes': -4.8538494, 'Yes': -3.2026367}
{' No': -3.4181426, ' Tigers': -3.6014445, ' Yes': -0.13160558, ' yes': -4.7356963, 'Yes': -3.1187766}
{' No': -3.0959504, 'No': -4.991754, ' Yes': -0.1057791, ' yes': -6.232106, 'Yes': -3.115991}
{' No': -3.2260284, ' ': -7.2227325, 'No': -5.0948296, ' Yes': -0.098665245, 'Yes': -3.072668}
{' No': -5.3261504, ' ': -6.3079367, 'No': -6.752166, ' Yes': -0.077331275, 'Yes': -2.7288034}
{' No': -3.614474, ' ': -6.3502245, 'No': -5.259614, ' Yes': -0.09872149, 'Yes': -2.8649967}
{' No': -2.493544, ' ': -7.6011186, 'No': -5.9932923, ' Yes': -0.1026406, 'Yes': -4.518915}
{' No': -3.4907024, ' Tigers': -7.1892915, 'No': -6.532421, ' Yes': -0.050301183, 'Yes': -4.1805043}
{' No': -1.0353595, ' Tigers': -4.125556, 'No': -1.2694083, ' Yes': -1.3462096, 'Yes': -2.7661448}
{' No': -1.639482, ' Tigers': -2.8371308, 'No': -2.0996757, ' Yes': -0.6980376, 'Yes': -2.3562102}
{' No': -5.457678, ' ': -6.3478537, ' Yes': -0.052858304, ' yes': -5.769037, 'Yes': -3.229406}
{' No': -6.5135207, ' Tigers': -4.392192, ' Yes': -0.055955194, ' yes': -6.2492423, 'Yes': -3.335002}
{' ': -6.6968546, ' Yes': -0.033217773, ' yes': -3.8154178, 'Yes': -4.789298, 'yes': -7.777849}
{' No': -3.3527095, ' ': -5.6236935, ' Yes': -0.05133319, ' yes': -5.4282784, 'Yes': -5.2048173}
{' No': -5.699895, ' ': -5.7223754, ' Yes': -0.06039799, ' yes': -5.191732, 'Yes': -3.1680202}
{' No': -5.1875715, '\n': -5.348567, ' ': -5.439557, ' Yes': -0.056105662, 'Yes': -3.3701446}
{' No': -4.5086093, '\n': -2.7093005, ' ': -4.261308, ' Yes': -0.22254132, 'Yes': -2.3624377}
{' No': -2.7233515, ' Tigers': -3.1265688, '\n': -1.9873058, ' Yes': -0.44091326, 'Yes': -2.7634783}
{' No': -4.979423, ' ': -6.758363, ' Yes': -0.024757098, ' yes': -6.280055, 'Yes': -4.288942}
{' No': -3.0540416, ' ': -6.5343685, 'No': -6.4826684, ' Yes': -0.067225166, 'Yes': -4.3591237}
{' No': -3.119741, '\n': -2.8707337, 'No': -3.9538245, ' Yes': -0.36268395, 'Yes': -1.8904568}
{' No': -0.6098332, '\n': -2.7546659, 'No': -1.9809269, ' Yes': -1.6692567, 'Yes': -3.3566}
{'\n': -5.792662, ' ': -6.407023, ' Yes': -0.07344288, ' yes': -3.3106616, 'Yes': -3.5924802}
{'\n': -5.380836, ' Yes': -0.081800364, ' yes': -3.1883085, 'Yes': -3.619747, 'yes': -6.077653}
{'\n': -7.087683, ' ': -7.383391, ' Yes': -0.0060245125, ' yes': -7.507729, 'Yes': -5.600918}
{' No': -2.6346304, '\n': -6.0268517, ' ': -6.106079, ' Yes': -0.08483541, 'Yes': -5.6748905}
{' No': -4.907972, '\n': -4.2027793, ' ': -5.259353, ' Yes': -0.04562161, 'Yes': -4.2295527}
{' No': -1.9797416, ' Tigers': -4.213315, '\n': -3.2979004, ' Yes': -0.24586242, 'Yes': -4.391151}
{' No': -5.34905, '\n': -4.211461, ' ': -5.066472, ' Yes': -0.05276254, 'Yes': -3.9125512}
{' No': -2.8032289, ' Tigers': -3.9154513, '\n': -3.98029, ' Yes': -0.14039287, 'Yes': -4.0824585}
{' No': -3.8293493, '\n': -6.1854687, ' ': -5.3762035, ' Yes': -0.035412103, 'Yes': -5.55698}
{' No': -0.52969337, ' Tigers': -4.367262, ' ': -4.373832, 'No': -4.6094704, ' Yes': -1.0111444}
{' No': -2.434558, '\n': -4.5063925, ' ': -4.79181, ' Yes': -0.16538525, 'Yes': -3.3263004}
{' No': -0.07531461, '\n': -5.4231577, ' ': -5.066642, 'No': -3.2617254, ' Yes': -3.8233213}
{'\n': -6.0522404, ' ': -6.022585, ' Yes': -0.01878853, ' yes': -5.5620775, 'Yes': -4.7196627}
{'\n': -6.112626, ' ': -5.8977304, ' Yes': -0.02501955, ' yes': -5.7236433, 'Yes': -4.3368273}
{' No': -9.177648, ' A': -9.533737, ' Yes': -0.0038670173, ' yes': -9.694713, 'Yes': -5.6455517}
{' No': -5.485203, ' Tigers': -5.7689223, ' ': -9.081011, ' Yes': -0.011467357, 'Yes': -5.580158}
{' No': -8.406995, ' ': -7.7848253, ' Yes': -0.020978117, ' yes': -8.649779, 'Yes': -3.9350157}
{' No': -6.1337566, ' Tigers': -6.4986825, ' ': -7.3721943, ' Yes': -0.0257686, 'Yes': -3.8976824}
{' No': -6.965157, '\n': -7.0763645, ' ': -6.6311, ' Yes': -0.021904659, 'Yes': -4.020077}
{' No': -3.3267348, ' Tigers': -4.443704, ' ': -5.598491, ' Yes': -0.08283042, 'Yes': -3.8384967}
{' No': -4.9188814, 'No': -8.240905, ' A': -7.1916776, ' Yes': -0.021422617, 'Yes': -4.3789244}
{' No': -1.1715263, ' Tigers': -3.339695, 'No': -4.0884724, ' Yes': -0.4788822, 'Yes': -4.121672}
{' No': -5.7495046, '\n': -6.513325, ' ': -5.6874843, ' Yes': -0.053379387, 'Yes': -3.1929896}
{' No': -4.771309, ' Tigers': -4.8150864, ' ': -5.751247, ' Yes': -0.070127815, 'Yes': -3.1601794}
{' ': -7.5394645, ' Generally': -7.357273, ' Yes': -0.02757691, ' yes': -7.7823753, 'Yes': -3.7008367}
{' No': -7.447333, ' Tigers': -5.6068726, ' ': -6.552038, ' Yes': -0.052456517, 'Yes': -3.1335855}
{' No': -7.5172305, '\n': -8.212205, ' ': -7.8581324, ' Yes': -0.0035072884, 'Yes': -6.2621927}
{' No': -5.7504544, '\n': -7.1257234, ' ': -7.6159925, ' Yes': -0.0070944377, 'Yes': -6.0166407}
{' No': -2.0895295, '\n': -4.0453687, ' A': -4.2529798, ' Yes': -0.2177263, 'Yes': -3.780457}
{' No': -0.93874866, ' Tigers': -1.8440449, '\n': -4.294225, 'No': -4.0449266, ' Yes': -0.93702245}
{'\n': -2.5021503, ' ': -4.0371747, ' A': -4.555882, ' Yes': -0.17402539, 'Yes': -3.2787673}
{' No': -1.081958, ' Tigers': -3.6952033, '\n': -0.9127017, ' ': -3.2310002, ' Yes': -1.7870076}
{' No': -5.506794, ' ': -6.955418, ' A': -8.442217, ' Yes': -0.010899141, 'Yes': -5.2565866}
{' No': -0.20440915, ' Tigers': -4.5463185, ' ': -6.289622, 'No': -4.8076005, ' Yes': -1.8182511}
{' No': -5.736485, '\n': -3.8700128, ' ': -4.256184, ' Yes': -0.19624363, 'Yes': -2.01392}
{' No': -3.1630843, ' Tigers': -3.0790083, '\n': -2.46888, ' Yes': -0.39008737, 'Yes': -2.4102097}
{'\n': -6.9654007, ' ': -6.2726655, ' Yes': -0.021128232, ' yes': -6.316937, 'Yes': -4.192208}
{' Tigers': -3.7005372, '\n': -5.4642053, ' ': -5.0228333, ' Yes': -0.07131648, 'Yes': -3.690701}
{' ': -7.590018, ' A': -7.8425097, ' Yes': -0.039983694, ' yes': -6.8070965, 'Yes': -3.3084238}
{' No': -3.6890738, ' Tigers': -4.804018, 'No': -5.4461193, ' Yes': -0.115023024, 'Yes': -2.734963}
{' No': -6.017609, ' ': -7.6798368, ' Yes': -0.047615778, ' yes': -6.8660564, 'Yes': -3.166222}
