{' No': -0.21113746, ' Yes': -1.686834, 'No': -5.565593, ' Not': -7.585437, 'Yes': -7.616578}
{' Yes': -0.0041159065, 'Yes': -5.5131893, ' yes': -10.465997, ' The': -10.842681, ' ': -11.640561}
{' Yes': -0.0031901407, 'Yes': -5.767594, ' yes': -10.42187, ' The': -11.415759, ' No': -12.212139}
{' Yes': -0.009014423, 'Yes': -4.7583637, ' No': -8.349459, ' The': -9.532894, ' yes': -10.262094}
{' Yes': -0.015188869, ' No': -4.664788, 'Yes': -5.225397, 'No': -9.179653, ' The': -9.801806}
{' Yes': -0.67310935, ' No': -0.7215159, 'No': -6.168562, 'Yes': -6.6406956, ' The': -7.994368}
{' Yes': -0.017077388, ' No': -4.274485, 'Yes': -5.9510374, ' The': -8.499164, 'No': -9.457642}
{' Yes': -0.059018217, ' No': -3.0144432, 'Yes': -4.8689275, 'No': -7.7353406, ' The': -9.82382}
{' Yes': -0.004652133, 'Yes': -5.3788357, ' yes': -10.987196, ' No': -12.749631, ' The': -12.889411}
{' Yes': -0.2751149, ' No': -1.4675567, 'Yes': -5.1623425, 'No': -5.575286, ' The': -8.81401}
{' Yes': -0.019147966, ' No': -4.192396, 'Yes': -5.630668, 'No': -9.106325, ' The': -9.590113}
{' Yes': -0.003845418, 'Yes': -5.625063, ' Shirt': -9.061365, ' No': -9.702223, ' yes': -10.333689}
{' Yes': -0.0023207944, 'Yes': -6.131162, ' No': -9.276975, ' yes': -10.398385, ' ': -11.640079}
{' Yes': -0.044469237, ' No': -3.4607425, 'Yes': -4.4766955, 'No': -7.7156744, ' Pants': -8.647203}
{' Yes': -0.019158052, ' No': -4.416119, 'Yes': -5.0183187, 'No': -9.266407, ' The': -9.536715}
{' Yes': -0.003419365, 'Yes': -5.7601094, ' The': -8.986749, ' yes': -9.48277, ' No': -10.400882}
{' Yes': -0.07340574, ' No': -3.1142209, 'Yes': -4.2634096, ' Board': -4.787479, 'No': -6.0793333}
{' Yes': -0.030353632, ' No': -4.1824646, 'Yes': -4.2856636, ' The': -7.6801853, 'No': -8.478764}
{' Yes': -0.19078141, ' No': -1.7789886, 'Yes': -5.638304, 'No': -7.1070504, ' The': -8.06871}
{' Yes': -0.02625005, 'Yes': -4.358315, ' No': -4.3830533, 'No': -8.287373, ' The': -8.4226675}
{' Yes': -0.013424004, ' No': -4.8122325, 'Yes': -5.347999, ' The': -8.247412, 'No': -9.6317005}
{' Yes': -0.006653623, ' No': -5.6675916, 'Yes': -5.816672, ' The': -9.37252, ' yes': -9.676093}
{' No': -0.34283903, ' Yes': -1.26484, 'No': -5.1346903, 'Yes': -6.5829506, ' The': -7.5275345}
{' Yes': -0.055845704, ' No': -2.9789507, 'Yes': -5.765795, 'No': -8.3824215, ' The': -10.0259}
{' Yes': -0.0061642425, 'Yes': -5.2527995, ' No': -7.087688, ' yes': -10.143815, ' ': -11.096841}
{' No': -0.041396886, ' Yes': -3.5006158, 'No': -4.6110263, 'Yes': -8.475643, ' ': -9.286754}
{' Yes': -0.0071808225, 'Yes': -5.583513, ' No': -5.7506976, ' The': -9.177743, ' yes': -10.191876}
{' Yes': -0.005038873, 'Yes': -5.347959, ' No': -8.417205, ' yes': -10.959901, ' The': -11.005763}
{' Yes': -0.075751394, ' Women': -2.8097754, 'Yes': -4.575015, ' No': -7.0227456, 'Women': -7.1605797}
{' Yes': -0.04106582, 'Yes': -3.4206278, ' No': -5.1050725, ' yes': -7.638432, 'No': -7.7524805}
{' Yes': -0.007697788, 'Yes': -5.2584796, ' No': -6.0917716, ' yes': -9.477167, ' The': -9.675427}
{' Yes': -0.22162966, ' No': -1.6370903, 'Yes': -5.902811, 'No': -6.709053, ' The': -8.942802}
{' Yes': -0.009795765, ' No': -5.0253863, 'Yes': -5.888276, ' The': -8.392938, ' yes': -10.045123}
{' Yes': -0.014735099, ' No': -4.4773183, 'Yes': -5.781838, 'No': -9.475641, ' The': -10.351795}
{' Yes': -0.09343159, ' No': -2.497795, 'Yes': -5.1268997, 'No': -7.126007, ' The': -9.434263}
{' Yes': -0.0046553668, 'Yes': -5.3952193, ' yes': -10.080209, ' The': -10.282813, ' ': -11.458627}
{' Yes': -0.0040568938, 'Yes': -5.528351, ' yes': -10.147047, ' The': -11.208169, ' ': -11.805273}
{' Yes': -0.0055244695, 'Yes': -5.747368, ' No': -6.107766, ' yes': -10.645631, ' The': -10.955941}
{' Yes': -0.002785468, 'Yes': -6.0368233, ' No': -8.124851, ' yes': -10.117922, ' The': -10.397202}
{' No': -0.011118563, 'No': -5.170422, ' Yes': -5.3963265, ' Not': -7.2651997, ' It': -10.435357}
{' No': -0.0406089, ' Yes': -3.4825358, 'No': -4.7656302, 'Yes': -8.718204, ' The': -9.02751}
{' No': -0.015828384, 'No': -4.1743593, ' Yes': -8.333648, ' ': -10.424008, ' Not': -11.10269}
{' Yes': -0.19437632, ' No': -1.7629856, 'Yes': -5.7736244, 'No': -6.8859158, ' The': -7.358869}
{' Yes': -0.024867265, ' No': -3.909715, 'Yes': -5.4883714, 'No': -8.6697235, ' yes': -9.40581}
{' Yes': -0.037624463, ' No': -3.4092596, 'Yes': -5.7730885, ' The': -7.9974494, 'No': -8.4121}
{' Yes': -0.018980956, ' No': -4.492383, 'Yes': -4.9164567, 'No': -9.288833, ' The': -9.43863}
{' Yes': -0.108522154, ' No': -2.3477285, 'Yes': -5.1561275, 'No': -7.050235, ' The': -8.089825}
{' No': -0.024969436, 'No': -3.7048914, ' Yes': -10.254719, ' ': -10.921885, 'Yes': -13.858422}
{' No': -0.017558064, 'No': -4.348021, ' Yes': -5.467103, ' The': -9.299048, ' ': -9.716338}
{' Yes': -0.006249406, 'Yes': -5.7840166, ' No': -5.8676205, ' The': -9.008418, ' yes': -9.270503}
{' Yes': -0.017854374, ' No': -4.128862, 'Yes': -7.0069175, ' Devil': -8.19279, ' The': -8.340068}
{' Yes': -0.27643684, ' No': -1.4309512, 'Yes': -6.7139287, 'No': -7.3054476, ' The': -7.957976}
{' Yes': -0.0028326267, 'Yes': -6.3935323, ' No': -6.87341, ' The': -9.888081, ' yes': -10.181997}
{' No': -0.04816349, ' Yes': -3.446887, 'No': -4.228694, 'Yes': -8.060412, ' ': -9.327722}
{' Yes': -0.004182281, 'Yes': -5.8831816, ' No': -6.683947, ' The': -10.14181, ' yes': -10.166501}
{' Yes': -0.4554241, ' No': -1.0358417, 'No': -5.432648, 'Yes': -5.4430413, ' Unfortunately': -6.586283}
{' Yes': -0.2978233, ' No': -1.3983538, 'Yes': -5.084076, 'No': -5.574686, ' Not': -8.451339}
{' No': -0.56561697, ' Yes': -0.8604702, 'No': -5.1106057, 'Yes': -6.043993, ' The': -7.8524127}
{' Yes': -0.027399546, ' Pound': -4.6623535, 'Yes': -4.7816906, ' No': -4.930212, ' P': -7.3087335}
{' No': -0.30217865, ' Yes': -1.38351, 'No': -4.8411417, 'Yes': -6.534892, ' Not': -8.243249}
{' Yes': -0.012546627, 'Yes': -4.617613, ' No': -6.005377, 'No': -9.869776, ' yes': -10.42934}
{' Yes': -0.004135358, 'Yes': -5.5495167, ' No': -8.813292, ' yes': -10.318477, ' ': -10.697897}
{' Yes': -0.0039278106, 'Yes': -5.620992, ' No': -8.667569, ' The': -9.880023, ' yes': -10.113138}
{' Yes': -0.005481439, 'Yes': -5.258619, ' yes': -9.080655, ' E': -10.059023, ' The': -10.700791}
{' No': -0.54499996, ' Yes': -1.2087877, 'No': -2.8215137, 'Yes': -3.4680154, 'rupt': -3.8312225}
{' Yes': -0.0031767478, 'Yes': -5.78497, ' yes': -10.073582, ' No': -10.686753, ' The': -11.032891}
{' Yes': -0.012794424, 'Yes': -4.851394, ' No': -5.3621597, 'No': -9.490091, ' yes': -9.796942}
{' Yes': -0.0730745, ' No': -2.704401, 'Yes': -5.8832436, 'No': -7.557802, ' The': -9.403748}
{' Yes': -0.020907333, ' No': -4.103734, 'Yes': -5.6574616, ' The': -7.935218, 'No': -8.778756}
{' Yes': -0.06914134, ' No': -2.7633073, 'Yes': -5.7628455, 'No': -7.777281, ' The': -10.033407}
{' Yes': -0.050634194, ' No': -3.0854776, 'Yes': -5.867307, ' The': -7.76016, 'No': -8.289015}
{' Still': -0.61729306, ' Yes': -0.8694808, ' No': -3.3595626, 'Yes': -5.669335, 'Still': -6.26635}
{' Yes': -0.0033472385, 'Yes': -6.106923, ' No': -7.207689, ' The': -8.548011, ' yes': -9.509891}
{' Yes': -0.01010098, 'Yes': -5.0555587, ' No': -5.6446695, 'No': -9.752603, '\n': -10.277335}
{' Yes': -0.006515926, 'Yes': -5.0968385, ' No': -8.003126, ' yes': -10.794296, ' ': -11.7154455}
{' Yes': -0.0060182773, 'Yes': -5.138264, ' yes': -10.117693, ' Purs': -10.533316, ' The': -10.864588}
{' Yes': -0.003991363, 'Yes': -5.6704473, ' No': -7.875243, ' The': -9.233075, ' yes': -10.837609}
{' No': -0.013974311, ' Yes': -4.913684, 'No': -5.0495005, ' ': -10.35262, 'Yes': -10.507522}
{' Yes': -0.35247484, ' No': -1.2292658, 'Yes': -6.1188164, 'No': -6.2821164, ' The': -8.612169}
{' Yes': -0.018550174, ' No': -4.4793158, 'Yes': -5.036193, ' The': -8.235126, 'No': -9.12634}
{' Yes': -0.013866306, ' No': -4.707874, 'Yes': -5.453178, ' The': -8.276518, ' yes': -9.657567}
{' No': -0.013435908, 'No': -4.3317094, ' ': -9.374996, ' Unfortunately': -10.406843, ' The': -10.438673}
{' No': -0.026662307, 'No': -3.6442235, ' ': -9.921522, ' Unfortunately': -10.118209, ' The': -10.721707}
{' No': -0.597854, 'No': -1.3264688, ' Un': -2.5832381, ' False': -2.9583218, ' Unt': -4.1446853}
{' No': -0.006951638, 'No': -5.223401, ' Yes': -6.5443125, ' ': -10.384187, ' False': -10.611821}
{' Yes': -0.007799242, 'Yes': -5.220484, ' No': -6.1328564, ' The': -9.5620365, ' yes': -9.688335}
{' Yes': -0.0037714646, 'Yes': -5.6904435, ' No': -8.483812, ' The': -9.29063, ' yes': -10.052191}
{' Yes': -0.42558268, ' No': -1.0868033, 'Yes': -5.300909, 'No': -5.9777274, ' Spice': -7.0862613}
{' Yes': -0.009156435, 'Yes': -4.8799067, ' No': -6.561486, ' ': -10.422778, ' yes': -10.532279}
{' Yes': -0.010654524, 'Yes': -4.5587482, ' yes': -9.809108, ' ': -10.162971, '\n': -11.470453}
{' Yes': -0.010166011, 'Yes': -4.7189136, ' No': -7.1214943, ' ': -8.842474, ' yes': -9.288391}
{' Yes': -0.0071440223, ' No': -5.5363145, 'Yes': -5.863181, ' The': -9.359561, ' Crack': -9.553767}
{' Yes': -0.014823414, ' No': -4.5021048, 'Yes': -5.687019, ' ': -9.362334, 'No': -9.486167}
{' Yes': -0.021693759, 'Yes': -3.9931176, ' No': -6.3117948, ' ': -7.9184256, ' The': -8.067904}
{' Yes': -0.01999631, ' No': -4.3039484, 'Yes': -5.149931, ' The': -8.858251, 'No': -9.048735}
{' Yes': -0.006788758, ' No': -5.54661, 'Yes': -5.922682, ' The': -9.343468, ' yes': -10.355242}
{' Yes': -0.0025853724, 'Yes': -6.0213346, ' No': -9.504035, ' yes': -10.220454, ' The': -10.631178}
{' Yes': -0.050186798, 'Yes': -3.7057805, ' No': -3.7644868, 'No': -7.038458, ' Early': -9.16976}
{' Yes': -0.004602073, 'Yes': -5.6239367, ' No': -7.1487055, ' The': -9.191459, ' yes': -10.221271}
{' Yes': -0.008200525, 'Yes': -5.118317, ' No': -6.1895943, '\n': -10.248856, ' ': -10.641751}
{' Yes': -0.0050996207, 'Yes': -5.415263, ' No': -7.4583807, ' yes': -10.674268, '\n': -10.9971285}
{' No': -0.3949908, ' Yes': -1.1417693, 'No': -5.275247, 'Yes': -6.5912147, ' The': -7.745241}
{' No': -0.024415743, ' Yes': -4.4047523, 'No': -4.455297, 'Yes': -9.280431, ' The': -9.589599}
{' No': -0.03734451, 'No': -3.5663018, ' Yes': -4.8461595, ' The': -8.39893, 'Yes': -9.170368}
{' Yes': -0.06819163, ' No': -2.8206556, 'Yes': -5.2714043, 'No': -7.4058166, ' The': -7.833713}
{' Yes': -0.016394615, 'Yes': -4.1512456, ' No': -7.9193773, '\n': -9.931687, ' yes': -9.974891}
{' Yes': -0.0036909354, 'Yes': -5.6608596, ' No': -9.007208, ' yes': -10.466972, '\n': -10.885991}
{' Yes': -0.0035415033, 'Yes': -5.7635145, ' No': -8.1459055, ' The': -9.715617, ' yes': -10.544692}
{' Yes': -0.0074164234, 'Yes': -4.9151235, ' yes': -10.743835, ' No': -11.645302, ' ': -11.855785}
{' Yes': -0.0055860253, ' No': -5.457505, 'Yes': -6.753876, ' The': -9.758773, ' yes': -10.2103815}
{' Yes': -0.023720864, ' No': -3.8645942, 'Yes': -6.2157826, ' The': -8.537999, 'No': -9.283923}
{' Yes': -0.009671898, 'Yes': -4.7357554, ' No': -7.219787, ' yes': -10.332697, ' Sweet': -10.447594}
{' Yes': -0.009961002, 'Yes': -4.6554456, ' No': -8.042492, ' yes': -10.308057, ' ': -10.831789}
{' Yes': -0.0054877307, 'Yes': -5.2230515, ' yes': -10.307777, ' No': -10.9767065, ' Grass': -11.171741}
{' Yes': -0.046429466, ' No': -3.4060235, 'Yes': -4.47868, 'No': -7.2436066, ' ': -9.759156}
{' Yes': -0.0019698613, 'Yes': -6.2930923, ' yes': -9.814381, ' No': -10.244209, ' The': -10.913356}
{' Yes': -0.008001148, ' No': -5.2397113, 'Yes': -6.0091815, ' The': -9.454085, ' yes': -10.01038}
{' No': -0.081276, ' Yes': -2.7124424, 'No': -4.5792255, ' Unfortunately': -7.4430995, 'Yes': -7.636219}
{' Yes': -0.21307164, ' No': -1.721691, 'Yes': -4.6992526, 'No': -5.6290836, ' Girls': -8.693069}
{' Yes': -0.23212765, ' No': -1.6239886, 'Yes': -5.1415553, 'No': -6.0220313, ' Not': -7.075562}
{' Yes': -0.005346299, 'Yes': -5.307581, ' No': -8.099891, ' yes': -10.559152, ' ': -11.140686}
{' Yes': -0.044961523, ' No': -3.20445, 'Yes': -5.847934, ' The': -8.413737, 'No': -8.691382}
{' Yes': -0.23139253, ' No': -1.5914466, 'Yes': -6.385435, 'No': -7.420162, ' The': -7.6274104}
{' Yes': -0.2117276, ' No': -1.672234, 'Yes': -6.119759, 'No': -7.312226, ' The': -9.787514}
{' Yes': -0.00507434, 'Yes': -5.312577, ' No': -9.77887, ' yes': -10.108422, ' ': -11.077825}
{' Yes': -0.004476513, 'Yes': -5.8257537, ' No': -6.6780543, ' The': -8.539283, ' yes': -10.3487425}
{' Yes': -0.0047649606, 'Yes': -5.368296, ' yes': -10.103836, ' The': -10.890154, ' No': -11.119188}
{' No': -0.6196442, ' Yes': -0.7951908, 'No': -5.033697, 'Yes': -5.6599307, ' The': -8.600189}
{' Yes': -0.0017639018, 'Yes': -6.9217386, ' No': -7.5494776, ' The': -8.509727, ' yes': -10.798963}
{' Yes': -0.005591241, 'Yes': -5.203669, ' yes': -10.467942, ' The': -10.771457, ' ': -11.413568}
{' Yes': -0.004356894, 'Yes': -5.9771786, ' No': -6.5635304, ' The': -8.012417, ' yes': -10.252638}
{' Yes': -0.1521684, ' Rough': -1.98769, 'Yes': -5.7206035, ' No': -7.660991, ' ': -8.467724}
{' Yes': -0.2476029, ' No': -1.8671783, ' Rough': -3.60306, 'Yes': -3.6300547, 'No': -4.6073785}
{' Yes': -0.015091986, 'Yes': -4.2134485, ' No': -9.41328, ' yes': -9.855606, '\n': -11.286024}
{' Yes': -0.013019096, 'Yes': -4.476522, ' No': -6.5310626, ' yes': -10.03447, 'No': -10.619338}
{' Yes': -0.0042678798, 'Yes': -5.5386534, ' No': -8.276849, ' yes': -10.017367, ' The': -11.070563}
{' No': -0.65228367, ' Yes': -0.7477122, 'No': -5.735106, 'Yes': -6.1253424, ' The': -8.807124}
{' Yes': -0.030015824, ' No': -3.763313, 'Yes': -5.218017, ' The': -7.3362823, 'No': -9.03166}
{' Yes': -0.07580425, ' No': -2.6918912, 'Yes': -5.4349656, ' The': -7.7192955, 'No': -8.128778}
{' Yes': -0.0060128206, 'Yes': -5.1357255, ' The': -10.26946, ' yes': -10.552163, ' No': -10.69517}
{' Yes': -0.0042037717, 'Yes': -5.5307217, ' The': -8.8360405, ' yes': -10.129469, ' ': -11.136376}
{' Yes': -0.0029610295, 'Yes': -6.0877175, ' No': -8.000044, ' The': -8.788938, ' Break': -9.220339}
{' Yes': -0.005090633, 'Yes': -5.3288436, ' No': -8.91635, ' yes': -10.33497, ' The': -10.409376}
{' Yes': -0.2200841, ' No': -1.6424854, 'Yes': -5.902071, 'No': -7.0464253, ' The': -8.487346}
{' Yes': -0.010462124, ' No': -5.0543346, 'Yes': -5.544327, ' yes': -10.292849, 'No': -10.3006735}
{' Yes': -0.0040222425, 'Yes': -6.017688, ' No': -6.694547, ' The': -8.234019, ' yes': -10.034312}
{' Yes': -0.044546697, ' No': -3.3888326, 'Yes': -4.705853, 'No': -7.9780793, ' The': -8.212624}
{' Yes': -0.055646185, ' No': -3.3725615, 'Yes': -4.2511435, ' Sy': -5.6064425, 'No': -6.725286}
{' Yes': -0.01564805, ' No': -4.6615963, 'Yes': -5.201294, ' The': -8.769932, ' yes': -9.202551}
{' Yes': -0.0025807112, 'Yes': -5.991579, ' yes': -10.330778, ' No': -10.541475, ' The': -11.691292}
{' Yes': -0.0023841814, 'Yes': -6.0955806, ' yes': -9.833276, ' No': -9.931692, ' ': -11.512847}
{' Yes': -0.075620435, ' No': -2.700664, 'Yes': -5.31323, 'No': -7.3535376, ' yes': -10.290875}
{' Yes': -0.0072930325, ' No': -5.363841, 'Yes': -6.037745, ' The': -9.671735, ' yes': -9.749219}
{' Yes': -0.0053625405, 'Yes': -5.245574, ' No': -9.983416, ' yes': -10.965596, ' ': -12.185395}
{' Yes': -0.06867947, ' No': -2.8599696, 'Yes': -4.832996, 'No': -6.9334364, ' The': -9.478333}
{' Yes': -0.03585899, ' No': -3.610991, 'Yes': -4.948609, 'No': -7.2593517, ' The': -8.251455}
{' Yes': -0.011193667, 'Yes': -4.6542444, ' No': -6.629304, ' The': -8.939292, ' yes': -10.02263}
{' Yes': -0.010353109, ' No': -4.858522, 'Yes': -6.077629, ' The': -8.971105, 'No': -10.107051}
{' Yes': -0.060637802, ' No': -2.9132473, 'Yes': -5.6401663, 'No': -7.874034, ' The': -7.9782133}
{' Yes': -0.0027995142, 'Yes': -6.113948, ' No': -7.643865, ' yes': -9.939523, ' The': -10.662792}
{' Yes': -0.0012262336, 'Yes': -7.070766, ' No': -8.034512, ' yes': -10.602628, ' ': -11.61358}
{' Yes': -0.0098812375, 'Yes': -4.754121, ' No': -7.452411, ' Heart': -7.861964, ' The': -9.125186}
{' Yes': -0.0076315384, 'Yes': -5.1994724, ' Heart': -6.6905894, ' No': -7.632013, ' The': -8.830324}
{' Yes': -0.0048766015, 'Yes': -5.6976614, ' No': -6.5574064, ' The': -10.172236, ' yes': -10.698264}
{' Yes': -0.0048908587, 'Yes': -5.336769, ' No': -10.778479, ' The': -11.139076, ' yes': -11.189007}
{' No': -0.24821317, ' Yes': -1.5490515, 'No': -5.171747, 'Yes': -7.072929, ' The': -8.071211}
{' Yes': -0.122907124, ' No': -2.210958, 'Yes': -5.5887303, 'No': -6.937093, ' The': -6.9548216}
{' Yes': -0.00878915, 'Yes': -5.38249, ' No': -5.508135, 'No': -10.338371, ' yes': -10.538789}
{' Yes': -0.05027818, ' No': -3.188431, 'Yes': -4.937241, 'No': -7.5669804, ' yes': -10.587917}
{' Yes': -0.0029043595, 'Yes': -5.8731546, ' The': -10.053861, ' yes': -10.366389, ' ': -12.514013}
{' Yes': -0.00266396, 'Yes': -5.9395957, ' yes': -10.839815, ' YES': -12.909722, ' ': -13.357231}
{' Yes': -0.002510795, 'Yes': -6.3192487, ' No': -7.399506, ' ': -9.889351, ' yes': -11.300678}
{' Yes': -0.0013063267, 'Yes': -6.691509, ' yes': -10.31289, ' No': -10.779024, ' YES': -12.614701}
{' Yes': -0.0017882625, 'Yes': -6.658408, ' No': -7.7096276, ' The': -10.526616, ' yes': -10.924073}
{' Yes': -0.03398502, ' No': -3.503843, 'Yes': -5.945815, ' Queen': -7.7697253, 'No': -8.604928}
{' Yes': -0.009128222, ' No': -5.1913557, 'Yes': -5.700984, ' The': -9.21417, 'No': -10.042275}
{' Yes': -0.0076276357, ' No': -5.343409, 'Yes': -5.9541855, ' The': -9.101915, ' yes': -10.1080675}
{' Yes': -0.005468193, 'Yes': -5.2195086, ' yes': -10.936371, ' The': -11.2248535, ' No': -12.179931}
{' Yes': -0.0021551978, 'Yes': -6.151401, ' yes': -11.161648, ' The': -12.764926, ' YES': -13.103851}
{' Yes': -0.014983134, ' No': -4.3896704, 'Yes': -6.1803384, ' The': -8.476258, ' Found': -9.599742}
{' Yes': -0.002505714, 'Yes': -6.184512, ' No': -8.173896, ' The': -9.208579, ' yes': -10.273175}
{' Yes': -0.001405404, 'Yes': -6.6373305, ' Uncle': -9.727414, ' yes': -10.697529, ' ': -12.374219}
{' Yes': -0.008255934, ' No': -5.213229, 'Yes': -5.956258, ' ': -9.732312, ' yes': -9.9670515}
{' Yes': -0.2934087, ' No': -1.3858407, 'Yes': -6.235383, 'No': -6.4999933, ' The': -7.4241014}
{' Yes': -0.06976581, ' No': -2.7660549, 'Yes': -5.5667458, 'No': -7.6865773, ' Not': -9.595096}
{' Yes': -0.0033539948, 'Yes': -5.742068, ' No': -9.35779, ' The': -10.529827, ' yes': -10.883003}
{' Yes': -0.0015335043, 'Yes': -6.519231, ' yes': -10.650494, ' The': -10.925859, ' No': -12.0015135}
{' Yes': -0.60900325, ' No': -0.80290043, 'No': -5.3718014, 'Yes': -5.7504344, ' The': -8.859751}
{' Yes': -0.0043982044, ' No': -5.947044, 'Yes': -6.4031005, ' The': -9.486246, ' yes': -10.761017}
{' Yes': -0.008136765, 'Yes': -5.030676, ' No': -6.5448513, ' The': -9.437916, ' yes': -10.962511}
{' Yes': -0.0035000506, 'Yes': -5.9513946, ' No': -7.352119, ' The': -8.536018, ' yes': -10.520141}
{' No': -0.17997827, ' Yes': -1.8526258, 'No': -5.0166097, 'Yes': -7.356142, ' Not': -7.7044086}
{' Yes': -0.0022882936, 'Yes': -6.1085763, ' No': -10.544583, ' yes': -10.8273115, ' The': -11.918827}
{' Yes': -0.009322829, 'Yes': -4.8414435, ' No': -6.772733, ' ': -9.042178, ' yes': -9.608801}
{' Yes': -0.013620297, 'Yes': -4.9563575, ' No': -5.0789638, ' The': -9.076336, 'No': -9.685193}
{' Yes': -0.29240975, ' No': -1.3865565, 'Yes': -6.238035, 'No': -6.69437, ' The': -8.211271}
{' No': -0.2317456, ' Yes': -1.6002643, 'No': -5.5459886, 'Yes': -7.426427, ' The': -8.381656}
{' Yes': -0.0015930224, 'Yes': -6.490015, ' The': -10.218258, ' yes': -10.67099, ' No': -11.975938}
{' Yes': -0.0023175674, 'Yes': -6.0817103, ' yes': -10.658625, ' The': -12.928614, ' ': -13.391709}
{' Yes': -0.0012671774, 'Yes': -6.8090377, ' No': -9.08316, ' yes': -10.412184, ' The': -11.526819}
{' No': -0.22874278, ' Yes': -1.6070862, 'No': -5.896204, 'Yes': -7.6020293, ' Not': -7.848533}
{' Yes': -0.002438854, 'Yes': -6.0348673, ' yes': -10.553994, ' The': -11.7492695, ' ': -12.527848}
{' Yes': -0.0018811185, 'Yes': -6.2912636, ' yes': -11.096932, ' The': -12.310855, ' No': -12.806354}
{' Yes': -0.0042417203, 'Yes': -5.481979, ' No': -10.407411, ' yes': -10.755761, ' The': -11.41183}
{' Yes': -0.005596216, 'Yes': -5.595681, ' No': -6.3527136, ' The': -9.746291, ' yes': -10.901212}
{' Yes': -0.04147585, ' No': -3.2535253, 'Yes': -6.3562036, 'No': -8.976032, ' The': -9.385389}
{' Yes': -0.004605368, ' No': -6.045475, 'Yes': -6.184204, ' The': -9.320003, ' yes': -10.088192}
{' Yes': -0.007883933, 'Yes': -5.49459, ' No': -5.6085935, ' The': -10.382266, 'No': -10.865089}
{' Yes': -0.0016112922, 'Yes': -6.444103, ' yes': -11.272662, ' The': -12.706488, ' YES': -13.308595}
{' Yes': -0.056688014, ' No': -2.968742, 'Yes': -5.76132, 'No': -8.0810375, ' Not': -8.975574}
{' Yes': -0.011274381, ' No': -4.795727, 'Yes': -5.884443, 'No': -9.702521, ' The': -10.21118}
{' Yes': -0.0027998728, 'Yes': -6.0434027, ' No': -7.909042, ' Shirt': -10.68473, ' yes': -10.782491}
{' Yes': -0.0014496952, 'Yes': -6.573666, ' yes': -10.620924, ' No': -10.97703, ' The': -12.462281}
{' Yes': -0.021264546, ' No': -4.0661387, 'Yes': -5.595725, 'No': -9.338679, ' Pants': -10.042764}
{' Yes': -0.010872808, ' No': -4.7057505, 'Yes': -6.408648, ' The': -9.599633, ' Pants': -10.989365}
{' Yes': -0.002438257, 'Yes': -6.0659943, ' The': -9.979055, ' yes': -10.082897, ' No': -11.38027}
{' Yes': -0.009520425, ' No': -5.1863236, 'Yes': -5.6286187, ' yes': -9.018918, 'No': -9.75237}
{' Yes': -0.019858222, 'Yes': -4.2139463, ' No': -5.4213495, ' The': -8.156421, 'No': -9.616914}
{' Yes': -0.0024969338, 'Yes': -6.1762257, ' No': -8.0739975, ' The': -9.580189, ' yes': -10.750568}
{' Yes': -0.0075242156, 'Yes': -5.179609, ' No': -6.337882, ' The': -9.9958935, 'No': -11.028585}
{' Yes': -0.013254629, ' No': -4.5560246, 'Yes': -6.115296, ' The': -8.050964, 'No': -9.964676}
{' Yes': -0.0013036402, 'Yes': -6.704276, ' yes': -10.300225, ' No': -10.921231, ' The': -10.946225}
{' Yes': -0.06810122, ' No': -2.7614205, 'Yes': -6.1980405, ' The': -8.120016, 'No': -8.364941}
{' Yes': -0.0034752279, ' No': -6.1823936, 'Yes': -6.5978336, ' The': -11.010218, ' yes': -11.494077}
{' Yes': -0.0025477842, 'Yes': -6.0307803, ' No': -9.056609, ' yes': -11.028274, ' ': -12.695601}
{' Yes': -0.18591991, ' No': -1.798381, 'Yes': -5.846681, 'No': -6.922111, ' ': -9.151948}
{' Yes': -0.001624666, 'Yes': -6.502677, ' No': -9.499799, ' The': -10.509349, ' yes': -11.356093}
{' Yes': -0.0025277066, 'Yes': -6.030464, ' No': -9.440084, ' The': -10.874903, ' yes': -11.065533}
{' Yes': -0.004863605, 'Yes': -5.601461, ' Women': -7.006391, ' No': -9.167284, ' ': -9.249337}
{' Yes': -0.017701296, 'Yes': -4.1756945, ' No': -6.445195, ' yes': -8.485127, ' The': -9.510741}
{' Yes': -0.004175877, 'Yes': -5.6627297, ' No': -7.4197636, ' The': -10.083185, ' yes': -10.237692}
{' Yes': -0.49937627, ' No': -0.94272035, 'No': -6.4463687, 'Yes': -6.5712757, ' The': -8.637497}
{' Yes': -0.0026102336, 'Yes': -6.117865, ' No': -8.179659, ' The': -9.698233, ' yes': -10.243443}
{' Yes': -0.0018782527, 'Yes': -6.554948, ' No': -7.755529, ' The': -11.6646, ' yes': -11.947615}
{' Yes': -0.030389821, ' No': -3.618229, 'Yes': -5.859056, 'No': -8.960126, ' The': -9.504021}
{' Yes': -0.0019558237, 'Yes': -6.2600827, ' yes': -10.694456, ' The': -11.470089, ' No': -12.766901}
{' Yes': -0.0038396134, 'Yes': -5.5793896, ' yes': -10.276373, ' The': -11.718679, ' ': -11.829375}
{' Yes': -0.0033834798, 'Yes': -6.322572, ' No': -6.478713, ' The': -11.054671, ' yes': -11.204887}
{' Yes': -0.001456978, 'Yes': -6.6007633, ' No': -9.955066, ' yes': -10.632305, ' The': -11.054259}
