{' Up': -0.2724869, ' up': -1.4387046, ' "': -7.1159296, ' UP': -8.748977, ' Down': -9.052027}
{' down': -0.41395092, ' Down': -1.100091, 'down': -5.702288, ' Up': -6.877442, 'Down': -7.028113}
{' down': -0.66806406, ' Down': -0.7817516, ' Up': -3.9827595, ' up': -5.117359, 'down': -5.7015166}
{' down': -1.0653903, ' Up': -1.2900053, ' Down': -1.4944236, ' up': -1.8816555, 'down': -6.3801785}
{' down': -0.47192332, ' Down': -0.9900794, 'down': -5.688611, 'Down': -6.7792373, ' "': -10.010753}
{' Down': -0.54912794, ' down': -1.0006794, ' Up': -3.147135, ' up': -4.7120514, 'down': -6.627945}
{' Down': -0.46545315, ' down': -1.2442122, ' Up': -2.676566, ' up': -4.3680844, 'down': -6.7668867}
{' Up': -0.8570379, ' Down': -1.4677444, ' down': -1.7077783, ' up': -1.817348, 'down': -7.5994983}
{' down': -0.48308465, ' Down': -0.96899325, 'down': -6.311541, ' Up': -7.3858933, 'Down': -7.468623}
{' Down': -0.55091053, ' down': -0.9195743, ' Up': -4.382133, 'down': -5.0499263, 'Down': -5.7547107}
{' down': -0.4982565, ' Down': -0.96534145, 'down': -5.0656548, 'Down': -6.1213794, ' Up': -6.3057704}
{' Up': -0.44385758, ' Down': -1.6683716, ' down': -2.3362162, ' up': -2.6803916, 'down': -6.4729366}
{' down': -0.6299954, ' Down': -0.78428084, 'down': -4.891157, 'Down': -5.727207, ' DOWN': -9.520145}
{' Down': -0.1333505, ' down': -2.243006, ' Up': -4.1569843, 'down': -6.923275, ' up': -7.0958743}
{' Down': -0.17703947, ' down': -2.2807858, ' Up': -2.904178, ' up': -6.1457257, 'down': -6.5631633}
{' Down': -0.683894, ' Up': -1.1525124, ' down': -1.9288472, ' up': -3.4457443, 'down': -6.8772073}
{' Down': -0.38075042, ' down': -1.1606959, 'down': -6.116436, 'Down': -7.4739203, ' Up': -8.189219}
{' down': -0.30070657, ' Down': -1.4682288, 'down': -4.1585097, ' Up': -5.3900657, ' up': -5.4362254}
{' down': -0.301836, ' Down': -1.4702817, 'down': -4.103964, ' up': -5.3505993, 'Down': -5.4488087}
{' up': -1.0517246, ' Up': -1.1513643, ' down': -1.3862524, ' Down': -2.659566, 'down': -5.2526503}
{' down': -0.20974253, ' Down': -1.7677354, 'down': -4.1515164, 'Down': -5.9639916, ' ': -9.143918}
{' Down': -0.21081427, ' down': -1.6628845, 'down': -8.557838, 'Down': -8.5934725, ' Up': -9.821509}
{' Up': -0.2037725, ' up': -1.6957865, ' UP': -7.897469, ' Down': -8.255689, ' down': -9.009305}
{' down': -0.62824893, ' Down': -0.7635296, 'down': -8.171932, 'Down': -8.877512, ' DOWN': -10.542488}
{' Up': -0.19368418, ' up': -1.7385279, ' UP': -8.41954, 'Up': -10.18195, 'up': -10.839458}
{' Down': -0.10350118, ' down': -2.332774, 'Down': -7.39008, 'down': -7.468846, ' DOWN': -10.113673}
{' Up': -0.057077106, ' up': -2.9072623, ' Down': -8.176827, 'Up': -8.539025, ' UP': -8.541413}
{' Down': -0.23142686, ' down': -1.583535, 'down': -7.3144846, 'Down': -7.351513, ' DOWN': -10.357054}
{' Up': -0.07967167, ' up': -2.576496, 'Up': -8.338054, ' UP': -8.837843, 'up': -9.011439}
{' Down': -0.11416825, ' down': -2.2440205, 'Down': -6.8421044, 'down': -7.277728, ' DOWN': -9.91459}
{' Up': -0.05467711, ' up': -2.9663363, ' Down': -7.5842733, ' UP': -7.6116037, 'Up': -8.0866785}
{' Down': -0.1926656, ' down': -1.7520833, 'Down': -6.7997856, 'down': -7.3707104, ' DOWN': -9.68852}
{' Up': -0.030834151, ' up': -3.5118234, 'Up': -8.263715, ' UP': -8.548431, 'up': -9.983524}
{' Down': -0.63097584, ' down': -0.76442534, 'down': -6.910846, 'Down': -7.6855655, ' Up': -7.764145}
{' Up': -0.6388307, ' up': -0.7550322, ' down': -6.9499073, ' Down': -7.7505174, ' UP': -8.288326}
{' down': -0.17482102, ' Down': -1.8388398, 'down': -6.859231, 'Down': -8.340829, ' DOWN': -10.118899}
{' up': -0.38157618, ' Up': -1.151012, 'up': -8.018122, ' UP': -8.361065, 'Up': -8.910816}
{' Down': -0.2661578, ' down': -1.4755008, 'Down': -6.009585, 'down': -6.1481924, ' DOWN': -8.433078}
{' Up': -0.064060695, ' up': -2.8206656, 'Up': -7.138521, ' Down': -7.3588758, ' UP': -7.7196755}
{' Down': -0.41867828, ' down': -1.086321, 'down': -5.9294333, 'Down': -6.322626, ' DOWN': -8.883579}
{' Up': -0.0749533, ' up': -2.648968, 'Up': -7.2025986, ' UP': -7.9394264, 'up': -8.084253}
{' Down': -0.040254887, ' down': -3.2472324, 'Down': -8.160326, 'down': -8.353874, ' DOWN': -10.418409}
{' Up': -0.02048314, ' up': -3.9406602, ' Down': -7.7421756, ' UP': -8.53281, 'Up': -9.335623}
{' Down': -0.14000013, ' down': -2.0400643, 'down': -8.092686, 'Down': -8.314419, ' DOWN': -10.176989}
{' Up': -0.020325337, ' up': -3.9269185, ' UP': -8.108765, 'Up': -9.584915, 'up': -10.664667}
{' down': -0.62758, ' Down': -0.81429803, 'down': -4.103835, 'Down': -5.156438, ' DOWN': -8.03832}
{' Up': -0.47423986, ' up': -1.0759017, ' down': -4.036682, ' Down': -4.5588, 'Up': -5.92611}
{' down': -0.50734335, ' Down': -0.96641546, 'down': -4.4993687, 'Down': -5.2196026, ' DOWN': -7.5249915}
{' Up': -0.55186254, ' up': -0.8831899, ' down': -5.963842, 'up': -5.9984946, 'Up': -6.120048}
{' Down': -0.17879128, ' down': -1.8134158, 'Down': -7.8930817, 'down': -8.757574, ' "': -9.820051}
{' Up': -0.016465932, ' up': -4.1311755, ' UP': -8.580536, 'Up': -9.911927, ' Down': -11.222016}
{' Down': -0.071382284, ' down': -2.6819797, 'Down': -8.19143, 'down': -9.340649, ' DOWN': -9.722789}
{' Up': -0.081296235, ' up': -2.5656273, ' UP': -6.915689, 'Up': -9.068999, ' "': -9.721591}
{' down': -0.35114607, ' Down': -1.2308077, 'down': -5.7803774, 'Down': -7.0978937, ' ': -9.498647}
{' Up': -0.21231772, ' up': -1.6655074, ' Down': -7.576667, 'Up': -7.6694064, ' down': -7.853465}
{' Down': -0.17901368, ' down': -1.8230777, 'Down': -6.729951, 'down': -6.88771, ' DOWN': -9.532617}
{' Up': -0.1330532, ' up': -2.096108, 'Up': -7.3163505, ' UP': -7.3857136, 'up': -8.6680565}
{' down': -0.38397634, ' Down': -1.1666607, 'down': -5.2189946, 'Down': -6.492857, ' ': -8.314459}
{' Up': -0.16889985, ' up': -1.8752689, 'Up': -7.408024, ' UP': -7.661094, 'up': -8.146223}
{' Down': -0.31348935, ' down': -1.3277373, 'down': -6.262094, 'Down': -6.4151797, ' DOWN': -8.176793}
{' Up': -0.22820076, ' up': -1.6037328, ' UP': -6.531234, 'Up': -7.23331, 'up': -8.3733425}
{' down': -0.09978705, ' Down': -2.3945107, 'down': -5.8401966, 'Down': -7.7588406, ' ': -8.56925}
{' up': -0.59955555, ' Up': -0.8047252, ' UP': -6.7795744, ' down': -7.094129, 'up': -7.3012123}
{' down': -0.64953095, ' Down': -0.7489192, 'down': -5.925337, 'Down': -6.6776543, ' up': -8.116102}
{' up': -0.60773575, ' Up': -0.79375374, ' UP': -6.585738, 'Up': -7.164183, 'up': -7.2613134}
{' down': -0.67823046, ' Down': -0.72758114, 'down': -5.153734, 'Down': -5.8261504, ' ': -7.6213527}
{' Up': -0.14220628, ' up': -2.0534554, 'Up': -6.714533, 'up': -7.0869575, ' ': -7.216524}
{' Down': -0.30181786, ' down': -1.3740664, 'down': -5.648095, 'Down': -5.736754, ' DOWN': -8.020358}
{' Up': -0.18655975, ' up': -1.802265, ' UP': -5.9027386, 'Up': -6.619953, ' ': -7.5642242}
{' down': -0.5469265, ' Down': -1.0874557, ' Even': -3.1475637, ' e': -3.9792728, ' even': -4.637497}
{' Up': -0.15974495, ' up': -1.927552, ' Even': -8.055176, 'Up': -8.066147, ' UP': -8.085307}
{' Down': -0.048445303, ' down': -3.073334, 'Down': -7.6605134, 'down': -7.996239, ' DOWN': -9.54385}
{' Up': -0.04373618, ' up': -3.1900125, ' UP': -6.7623925, 'Up': -8.182237, ' "': -9.4573145}
{' down': -0.087010935, 'down': -2.7681231, ' Down': -4.0845466, 'Down': -6.3045382, ' ': -6.896623}
{' up': -0.18343377, ' Up': -2.0088158, 'up': -3.6160471, 'Up': -5.7966657, ' ': -6.6158032}
{' down': -0.18335085, ' Down': -2.2131417, 'down': -3.0194845, 'Down': -5.1305914, ' up': -6.732232}
{' up': -0.2925403, ' Up': -1.5127094, 'up': -3.8299525, 'Up': -4.9142346, ' UP': -6.1101537}
{' down': -0.6401205, ' Down': -1.3501292, ' up': -2.0189905, ' Up': -2.534772, 'down': -7.324464}
{' down': -0.31795385, ' Down': -1.3146293, ' up': -6.280537, ' Up': -6.681662, 'down': -7.6923523}
{' down': -0.36027464, ' Down': -1.1992792, 'down': -7.7659407, ' up': -8.205901, ' Up': -8.485658}
{' down': -0.8733465, ' up': -1.1474154, ' Down': -1.9410441, ' Up': -2.11269, 'down': -8.36215}
{' Down': -0.38197252, ' down': -1.4711715, ' Up': -2.655013, ' up': -4.1981974, 'down': -6.673146}
{' Down': -0.42138737, ' down': -1.1186664, ' Up': -4.439093, ' up': -5.9445615, 'down': -6.452481}
{' Down': -0.34630093, ' down': -1.2522153, ' Up': -5.51451, ' up': -6.867253, 'down': -7.0274034}
{' Down': -0.64544255, ' Up': -1.2045169, ' down': -2.1279807, ' up': -2.8993847, 'Down': -7.504182}
{' Up': -0.52547693, ' Down': -1.0872352, ' down': -3.1662314, ' up': -3.5860658, 'Down': -7.6505165}
{' Down': -0.19408491, ' down': -1.750674, 'down': -6.7523003, 'Down': -6.79224, ' DOWN': -8.215502}
{' Down': -0.14759529, ' down': -2.0064914, 'Down': -6.959397, ' Up': -7.025954, 'down': -7.3511314}
{' Down': -0.7468405, ' Up': -0.8140841, ' down': -2.9297647, ' up': -3.5720243, 'Down': -7.4796605}
{' up': -0.87928355, ' Up': -1.3394924, ' down': -1.5804611, ' Down': -2.161243, 'down': -7.535678}
{' down': -0.44002864, ' Down': -1.2063346, ' up': -3.4032683, ' Up': -3.855731, 'down': -6.517112}
{' down': -0.42820492, ' Down': -1.2402662, ' up': -3.3829699, ' Up': -3.7644267, 'down': -6.7105565}
{' down': -1.0038468, ' up': -1.1609933, ' Down': -1.7525021, ' Up': -1.928766, 'down': -7.149251}
{' Up': -0.54484916, ' Down': -1.581167, ' up': -2.260151, ' down': -2.2649899, 'down': -6.62404}
{' Down': -0.3250655, ' down': -1.3138789, 'down': -5.627021, 'Down': -5.7413187, ' Up': -6.7383895}
{' Down': -0.16631643, ' down': -1.941875, ' Up': -5.063949, 'Down': -6.4844394, 'down': -6.7461553}
{' Down': -0.26789615, ' Up': -2.0285447, ' down': -2.3860316, ' up': -4.7060537, 'Down': -6.820071}
{' Up': -0.26089746, ' Down': -2.1155822, ' up': -2.5087612, ' down': -3.6678033, ' UP': -6.9566813}
{' Down': -0.17430207, ' down': -1.8497001, 'down': -6.9392614, ' Up': -7.099629, 'Down': -7.621712}
{' Down': -0.12161645, ' down': -2.1824532, 'down': -7.305689, ' Up': -7.6275654, 'Down': -7.847236}
{' Up': -0.4967459, ' Down': -1.2156047, ' up': -2.900829, ' down': -3.2375562, 'down': -8.708558}
{' Down': -0.86494064, ' down': -1.257906, ' Up': -1.6365508, ' up': -2.390459, 'down': -5.564596}
{' Down': -0.55619305, ' down': -1.0298927, ' Up': -3.147183, ' up': -4.141402, 'down': -5.228411}
{' down': -0.5372791, ' Down': -0.9515591, ' Up': -4.59461, 'down': -4.8151608, ' up': -4.862694}
{' Down': -0.81075346, ' down': -1.1483351, ' Up': -1.9375808, ' up': -2.4400985, 'down': -5.6860623}
{' Up': -0.4316249, ' up': -1.077331, ' down': -5.3467536, ' Down': -5.359916, ' "': -7.953153}
{' down': -0.6326024, ' Down': -0.76072663, ' Up': -7.6679525, ' up': -7.776405, 'down': -7.919219}
{' up': -0.20725134, ' Up': -1.6788223, ' down': -8.025784, 'up': -8.991024, ' Down': -9.378983}
{' down': -0.18338916, ' Down': -1.7893995, 'down': -7.8092523, 'Down': -9.678052, ' DOWN': -11.073329}
{' Up': -0.2018503, ' Down': -2.5255787, ' up': -2.5355046, ' down': -3.8014596, ' "': -7.4177127}
{' Down': -0.32750496, ' down': -1.299486, ' Up': -5.6728053, 'down': -6.408443, 'Down': -7.210956}
{' Up': -0.21838519, ' up': -1.9069895, ' Down': -3.3569462, ' down': -4.426467, 'up': -7.8040757}
{' Down': -0.5418785, ' down': -0.87998277, 'down': -5.8642144, 'Down': -7.3785367, ' DOWN': -10.41274}
{' Up': -0.3759822, ' Down': -1.5728797, ' down': -2.885944, ' up': -3.0524805, ' "': -6.3958845}
{' Down': -0.15927166, ' down': -1.9363313, 'down': -6.5385456, 'Down': -6.872208, ' Up': -8.273966}
{' Up': -0.08868812, ' up': -3.126051, ' Down': -3.3440762, ' down': -5.3744545, 'Up': -8.275284}
{' Down': -0.36005765, ' down': -1.2079675, 'down': -6.0119967, 'Down': -6.946975, ' "': -9.586281}
{' Up': -0.7601614, ' up': -1.5109968, ' down': -1.7741251, ' Down': -1.9636412, ' "': -6.8419485}
{' down': -0.69894767, ' Down': -0.71191585, ' Up': -5.029251, ' up': -5.4754963, 'down': -7.098127}
{' up': -0.1380921, ' Up': -2.097992, ' down': -5.252336, ' Down': -7.36615, 'up': -8.212627}
{' down': -0.21660541, ' Down': -1.6426423, 'down': -6.975081, 'Down': -8.652999, ' up': -9.615817}
{' Up': -0.04909731, ' up': -3.1948223, ' Down': -5.444086, ' "': -7.126627, ' down': -7.3007436}
{' Down': -0.16399632, ' down': -1.9188049, 'Down': -6.245846, 'down': -6.2753224, ' Up': -7.9558067}
{' Up': -0.10407718, ' Down': -3.0593245, ' up': -3.133479, ' down': -4.978102, 'Up': -7.5106225}
{' Down': -0.20085703, ' down': -1.7320136, 'down': -5.8551745, 'Down': -6.181894, ' DOWN': -9.84073}
{' Up': -0.09839195, ' Down': -2.8051732, ' up': -3.6054986, ' down': -5.251472, ' "': -7.401977}
{' Down': -0.16839299, ' down': -1.8735778, ' Up': -7.5553823, 'down': -7.6532083, 'Down': -8.407057}
{' Up': -0.10777099, ' up': -2.2899818, ' Down': -7.5293293, 'up': -9.266771, ' down': -9.365053}
{' Down': -0.21519513, ' down': -1.6459925, 'down': -7.602026, 'Down': -8.384859, ' "': -10.276419}
{' Up': -1.1907153, ' down': -1.2400204, ' up': -1.4914641, ' Down': -1.7704806, 'down': -5.338712}
{' Down': -0.64325655, ' down': -0.7907823, 'down': -4.4378843, 'Down': -5.3167396, ' Up': -5.9650984}
{' Up': -0.59170634, ' up': -0.8253642, 'up': -5.6186132, 'Up': -6.390611, ' down': -6.5095396}
{' down': -0.21428624, ' Down': -1.7114425, 'down': -4.537193, 'Down': -6.527812, ' ': -9.716923}
{' Down': -1.0316781, ' down': -1.277892, ' Up': -1.4008586, ' up': -2.1434524, 'down': -7.768509}
{' Down': -0.9107827, ' Up': -1.2234335, ' down': -1.4836339, ' up': -2.6019866, ' Three': -7.51194}
{' Up': -0.440802, ' up': -1.3833793, ' Down': -2.7910025, ' down': -3.1189597, 'Up': -9.811001}
{' Down': -0.44629437, ' down': -1.0331646, ' Up': -5.8459425, ' up': -7.1606975, 'down': -8.395013}
{' Down': -0.64824855, ' down': -1.2029227, ' Up': -1.942232, ' up': -3.4478033, 'down': -7.065742}
{' Down': -0.3341895, ' down': -1.5494986, ' Up': -2.7892601, ' up': -4.7799196, 'down': -6.765322}
{' Down': -0.8048463, ' Up': -1.174994, ' down': -1.7038255, ' up': -2.7981496, 'down': -7.3579655}
{' Down': -0.6140574, ' down': -0.7970523, ' Up': -5.2644997, ' up': -6.507482, 'down': -6.777605}
{' Down': -0.5245354, ' down': -0.9309191, ' Up': -4.7117324, 'down': -6.433766, 'Down': -6.5287714}
{' Up': -0.12415033, ' up': -2.6844969, ' Down': -3.4175844, ' down': -4.263219, 'Up': -7.506129}
{' Up': -0.34263825, ' up': -2.0861304, ' Down': -2.2490237, ' down': -2.8241618, 'down': -8.239704}
{' Down': -0.67727727, ' down': -0.7252033, ' Up': -5.4704843, 'down': -6.4815636, ' up': -6.7106996}
{' down': -0.64688534, ' up': -1.4626127, ' Up': -2.090901, ' Down': -2.1169496, 'down': -7.8947563}
{' down': -0.5371423, ' Down': -1.6860929, ' up': -1.9952359, ' Up': -2.3692095, 'down': -7.7224064}
{' up': -0.5770494, ' Up': -1.5185626, ' down': -1.7282238, ' Down': -3.1844003, 'down': -8.92922}
{' down': -0.16729337, ' Down': -2.0509813, ' up': -4.0894732, ' Up': -4.8234725, 'down': -7.6485014}
{' Down': -0.249242, ' down': -1.581256, ' Up': -4.643588, 'Down': -5.848624, 'down': -6.4081736}
{' Up': -0.18174165, ' Down': -2.194603, ' up': -3.4299276, ' down': -3.912004, 'Up': -6.9383883}
{' Up': -0.51020163, ' Down': -1.2375939, ' down': -2.7215855, ' up': -3.1783936, 'Down': -7.1165667}
{' Down': -0.26935726, ' down': -1.4783206, ' Up': -5.415319, 'Down': -6.1852717, 'down': -6.764034}
{' Down': -0.55940837, ' Up': -1.4397662, ' down': -1.8133374, ' up': -3.7734907, ' Three': -6.407316}
{' Up': -0.47506252, ' Down': -1.54206, ' up': -2.3874598, ' down': -2.682208, ' Three': -6.584454}
{' Down': -0.81134856, ' Up': -0.92360175, ' down': -2.1995723, ' up': -3.0629735, 'down': -7.920905}
{' Up': -0.8385378, ' Down': -0.945975, ' down': -1.9682795, ' up': -3.2497468, 'down': -7.926007}
{' down': -0.6480319, ' Down': -1.49841, ' Up': -2.0291622, ' up': -2.1696553, 'down': -5.559933}
{' down': -0.49182963, ' Down': -1.6194295, ' up': -2.2234485, ' Up': -2.6036918, 'down': -5.277634}
{' down': -0.6891622, ' Down': -1.3095503, ' Up': -2.1814163, ' up': -2.2243128, 'down': -5.6324964}
{' down': -0.87553346, ' Down': -0.96056694, ' Up': -1.9978328, ' up': -2.8904889, 'Down': -5.4597254}
{' Up': -0.27027258, ' up': -1.4448311, 'up': -7.8595324, ' UP': -8.331613, 'Up': -8.44629}
{' Down': -0.5642639, ' down': -0.8423649, 'down': -8.161126, 'Down': -8.422212, ' DOWN': -11.159043}
{' Up': -0.4201201, ' up': -1.0714605, ' UP': -8.078702, 'Up': -9.324565, 'up': -9.553674}
{' Down': -0.51313007, ' down': -0.91416734, 'down': -8.034652, 'Down': -8.604536, ' DOWN': -11.478698}
{' Up': -0.1809935, ' up': -1.8145765, 'up': -6.8898363, 'Up': -7.4267187, ' Down': -7.7856474}
{' Down': -0.42896396, ' down': -1.0593749, 'down': -6.6667986, 'Down': -7.1221094, ' "': -10.331435}
{' Up': -0.05556509, ' up': -2.9292965, 'Up': -8.238026, ' UP': -8.425541, 'up': -9.5271435}
{' Down': -0.20356688, ' down': -1.6999923, 'down': -7.1101985, 'Down': -7.3790526, ' DOWN': -10.593844}
{' Up': -0.12081925, ' up': -2.1911087, 'up': -7.235536, 'Up': -7.600351, ' UP': -8.105501}
{' Down': -0.5325063, ' down': -0.8948759, 'down': -6.075658, 'Down': -6.3633847, ' DOWN': -9.41237}
{' Up': -0.058316622, ' up': -2.8898041, ' UP': -7.8153195, 'Up': -7.9561324, ' "': -8.684657}
{' Down': -0.2256868, ' down': -1.6201915, 'down': -6.2033095, 'Down': -6.338939, ' "': -8.355107}
{' up': -0.5518572, ' Up': -0.8617976, 'up': -7.22168, ' down': -7.6226425, 'Up': -8.627928}
{' down': -0.17525132, ' Down': -1.8357298, 'down': -6.9173474, 'Down': -8.381134, ' DOWN': -11.270204}
{' up': -0.59548247, ' Up': -0.8039461, ' UP': -8.028336, 'up': -8.030587, 'Up': -8.336826}
{' down': -0.29583776, ' Down': -1.3677429, 'down': -6.887232, 'Down': -8.036985, ' "': -10.762487}
{' Up': -0.14608087, ' up': -2.0198581, 'up': -6.572979, 'Up': -6.8119893, ' UP': -8.318085}
{' down': -0.6430185, ' Down': -0.75545466, 'down': -6.0071044, 'Down': -6.268502, ' DOWN': -9.353938}
{' Up': -0.10632115, ' up': -2.311319, 'Up': -7.22987, ' UP': -7.6208034, 'up': -8.318548}
{' Down': -0.4495997, ' down': -1.031116, 'down': -5.8543806, 'Down': -6.022857, ' DOWN': -9.095447}
{' Up': -0.05160472, ' up': -3.001716, 'up': -8.515866, 'Up': -8.717393, ' UP': -9.108016}
{' Down': -0.11314771, ' down': -2.2444592, 'Down': -7.5948253, 'down': -7.7769794, ' "': -10.151009}
{' Up': -0.034447737, ' up': -3.4025984, ' UP': -8.191759, 'Up': -8.711766, ' "': -9.568122}
{' Down': -0.046249602, ' down': -3.108078, 'Down': -8.189878, 'down': -8.629292, ' "': -10.636932}
{' Up': -0.7022659, ' up': -0.71651566, 'up': -4.4287024, 'Up': -5.6582174, ' ': -8.057295}
{' down': -0.31695852, ' Down': -1.403327, 'down': -3.920623, 'Down': -5.138633, ' ': -9.1912985}
{' up': -0.6568238, ' Up': -0.7531126, 'up': -5.2346478, 'Up': -5.3732905, ' UP': -8.270115}
{' down': -0.37355182, ' Down': -1.2885585, 'down': -3.5343356, 'Down': -5.0082717, ' ': -9.3678465}
{' down': -0.504889, ' Down': -0.94703716, ' Up': -5.3541017, ' up': -6.2767143, 'down': -6.569628}
{' down': -0.6874644, ' Down': -0.7346465, ' Up': -4.4335446, ' up': -5.513905, 'down': -6.839497}
{' down': -0.7433715, ' Down': -1.2157837, ' Up': -1.9877028, ' up': -2.4074683, 'down': -7.4060206}
{' down': -0.35892737, ' Down': -1.2049603, 'down': -6.8808403, ' Up': -7.9408326, 'Down': -8.46889}
{' Down': -0.57563466, ' down': -1.0287539, ' Up': -2.7678096, ' up': -4.475729, 'down': -5.580107}
{' down': -0.4845268, ' Down': -0.991357, ' Up': -5.324685, 'down': -5.5501504, ' up': -5.7651525}
{' Up': -1.1478105, ' Down': -1.2260078, ' down': -1.3520188, ' up': -2.0574536, 'down': -6.619461}
{' down': -0.3945529, ' Down': -1.136847, 'down': -5.482058, 'Down': -7.1949663, ' "': -9.083612}
{' down': -0.41306794, ' Down': -1.1054068, 'down': -5.467965, 'Down': -6.843034, ' Up': -6.865388}
{' down': -0.5797301, ' Down': -0.88365656, ' Up': -4.181535, ' up': -5.0265017, 'down': -5.7085066}
{' down': -0.9886171, ' Up': -1.402876, ' Down': -1.4915582, ' up': -1.8710328, 'down': -6.4454722}
{' down': -0.33912295, ' Down': -1.2622683, 'down': -5.6365485, 'Down': -7.037666, ' DOWN': -10.044118}
{' down': -0.770399, ' Down': -0.7950819, ' Up': -2.761503, ' up': -3.9457262, 'down': -6.4800487}
{' Down': -0.40590894, ' down': -1.2426016, ' Up': -3.330151, ' up': -4.960644, 'down': -6.744377}
{' Up': -0.63962793, ' up': -1.4135939, ' down': -2.1554685, ' Down': -2.1867757, 'down': -8.074734}
{' down': -0.3966478, ' Down': -1.1260828, 'down': -6.242339, 'Down': -7.6317687, ' Up': -8.186934}
{' down': -0.35117164, ' Down': -1.2592604, 'down': -4.922842, ' Up': -6.226829, 'Down': -6.377485}
{' down': -0.39940402, ' Down': -1.3036264, ' Up': -3.3910766, ' up': -4.27399, 'down': -4.860996}
{' down': -0.73831713, ' Up': -1.6466689, ' Down': -1.7906052, ' up': -1.8445698, 'down': -5.9046106}
{' down': -0.15843137, ' Down': -1.9623005, 'down': -5.3705535, 'Down': -7.0633197, ' up': -8.595929}
{' Down': -0.22333808, ' down': -1.6679829, ' Up': -4.886218, 'down': -6.1843367, 'Down': -7.296479}
{' Down': -0.24498296, ' down': -1.6389058, ' Up': -4.008134, 'down': -6.2781463, ' up': -6.4725485}
{' Up': -0.890562, ' Down': -0.9689693, ' down': -1.8637254, ' up': -2.9532948, 'down': -6.7383957}
{' Down': -0.49200696, ' down': -0.95570064, 'down': -5.8546166, 'Down': -7.432322, ' Up': -8.299555}
{' down': -0.20120588, ' Down': -1.8563094, 'down': -4.2830553, ' up': -5.183435, ' Up': -5.63956}
{' down': -0.118743226, ' Down': -2.4049141, 'down': -4.1696463, ' up': -5.781924, 'Down': -6.2720304}
{' up': -0.89640886, ' Up': -1.2893969, ' down': -1.3978031, ' Down': -2.849221, 'down': -5.446112}
{' down': -0.10778757, ' Down': -2.4257884, 'down': -4.420865, 'Down': -6.474241, ' ': -8.908011}
{' Down': -0.19944872, ' down': -1.7129967, 'down': -8.33542, 'Down': -8.5643015, ' "': -10.5519495}
{' Up': -0.15991274, ' up': -1.915608, ' UP': -8.427727, ' Down': -9.325832, 'Up': -9.437267}
{' Down': -0.44032845, ' down': -1.0339946, 'down': -7.998089, 'Down': -8.373167, ' DOWN': -10.983561}
{' Up': -0.26071432, ' up': -1.4729507, ' UP': -8.650708, 'Up': -10.05278, 'up': -10.585224}
{' Down': -0.19970599, ' down': -1.7190961, 'down': -6.889153, 'Down': -7.306266, ' Up': -10.104142}
{' Up': -0.11720212, ' up': -2.2213795, ' Down': -6.755351, ' down': -7.9196806, 'Up': -8.379434}
{' Down': -0.46485627, ' down': -0.9956541, 'down': -6.5289793, 'Down': -7.190419, ' DOWN': -10.112597}
{' Up': -0.15031385, ' up': -1.9739013, 'Up': -8.37395, 'up': -8.543132, ' UP': -9.166114}
{' Down': -0.26645935, ' down': -1.4630307, 'down': -6.6773343, 'Down': -6.9039927, ' DOWN': -9.688457}
{' Up': -0.108689174, ' up': -2.2890956, ' UP': -7.744998, ' Down': -7.859305, 'Up': -8.093409}
{' Down': -0.55077136, ' down': -0.8650471, 'down': -6.6021857, 'Down': -6.8769755, ' DOWN': -9.941158}
{' Up': -0.07528595, ' up': -2.631974, 'Up': -8.20447, ' UP': -8.520956, 'up': -9.354097}
{' down': -0.5205222, ' Down': -0.907075, 'down': -6.697753, 'Down': -7.7511473, ' up': -8.752053}
{' up': -0.490647, ' Up': -0.95208997, ' down': -7.029013, ' Down': -8.291718, 'up': -8.420574}
{' down': -0.1641679, ' Down': -1.9019493, 'down': -6.401936, 'Down': -8.02831, ' "': -9.999821}
{' up': -0.31085646, ' Up': -1.3240019, 'up': -7.715607, ' down': -8.257896, ' UP': -8.620502}
{' Down': -0.42714953, ' down': -1.0733668, 'down': -5.758518, 'Down': -6.1058035, ' DOWN': -8.687479}
{' Up': -0.17817803, ' up': -1.849456, ' Down': -6.304703, ' down': -6.6862383, 'Up': -6.801011}
{' down': -0.5136076, ' Down': -0.93189675, 'down': -5.0910497, 'Down': -6.5054173, ' DOWN': -8.78235}
{' Up': -0.1514892, ' up': -1.9733161, 'Up': -7.3336334, 'up': -7.70025, ' UP': -7.8672943}
{' Down': -0.05907639, ' down': -2.8720646, 'down': -7.8199725, 'Down': -8.013367, ' DOWN': -10.60972}
{' Up': -0.025333421, ' up': -3.7120855, ' UP': -7.885234, 'Up': -9.141489, ' Down': -9.981232}
{' Down': -0.16703102, ' down': -1.8780924, 'down': -7.586926, 'Down': -7.879378, ' DOWN': -10.318762}
{' Up': -0.043042794, ' up': -3.176086, ' UP': -8.480953, 'Up': -9.235519, 'up': -9.884129}
{' Down': -0.6925335, ' down': -0.7456189, 'down': -4.120886, 'Down': -4.932047, ' Up': -7.42385}
{' Up': -0.5317186, ' up': -1.6105303, ' down': -2.277454, ' Down': -2.3209183, 'down': -5.7324185}
{' down': -0.53715235, ' Down': -0.92815506, 'down': -4.3101377, 'Down': -5.203239, ' DOWN': -7.2602115}
{' Up': -0.34545848, ' up': -1.3227342, ' down': -4.5459647, ' Down': -4.681989, 'Up': -6.099387}
