{' Yes': -0.023977548, ' No': -3.916216, 'Yes': -5.6816344, ' The': -8.715471, 'No': -9.452027}
{' False': -0.6118654, ' No': -0.9723162, 'No': -2.8096383, 'False': -3.959457, ' ': -8.849902}
{' No': -0.024734003, 'No': -3.8558054, ' Yes': -5.7829866, ' ': -9.706046, 'Yes': -9.945632}
{' Yes': -0.4226632, ' No': -1.1295859, 'No': -4.9207616, ' Rain': -5.0520062, 'Yes': -5.213824}
{' Yes': -0.23849, ' No': -1.6154029, 'Yes': -4.914532, 'No': -5.30952, ' Rain': -8.042677}
{' No': -0.012449759, 'No': -4.436028, ' Yes': -7.9442654, ' ': -9.609276, '\n': -9.816338}
{' No': -0.017946914, 'No': -4.0323396, ' ': -10.980955, ' Unfortunately': -11.148948, ' Yes': -11.316315}
{' No': -0.10947822, ' Yes': -2.4049532, 'No': -4.4564023, 'Yes': -6.9499154, ' Not': -7.700294}
{' No': -0.17697395, ' Yes': -1.8444124, 'No': -5.7474785, 'Yes': -7.378168, ' Not': -9.447401}
{' No': -0.016264657, 'No': -4.454392, ' Yes': -5.4628396, ' Not': -9.581049, ' ': -9.615709}
{' No': -0.044354893, ' Yes': -3.3437095, 'No': -4.958156, ' Not': -8.037532, ' The': -8.343261}
{' Yes': -0.45513776, ' No': -1.0172448, 'No': -6.263144, 'Yes': -6.3123593, ' The': -8.721727}
{' Yes': -0.013919067, ' No': -4.6353803, 'Yes': -5.556319, ' The': -9.681463, 'No': -9.824967}
{' No': -0.020468418, ' Yes': -4.3467336, 'No': -4.973479, ' Not': -9.222788, ' The': -9.249261}
{' No': -0.02244063, ' Yes': -4.17697, 'No': -5.06152, ' Unfortunately': -8.989136, ' Not': -9.056337}
{' Yes': -0.007569859, ' No': -5.5630636, 'Yes': -5.6597953, ' yes': -9.622321, ' The': -9.760007}
{' No': -0.21970394, ' Yes': -1.6793025, 'No': -4.7233524, 'Yes': -6.451603, ' ': -8.7403145}
{' Yes': -0.031094756, ' No': -3.583688, 'Yes': -6.415353, ' The': -6.9654684, ' yes': -9.284644}
{' Yes': -0.05272773, ' No': -3.0317545, 'Yes': -5.991706, ' The': -8.571046, 'No': -8.621055}
{' No': -0.0123532, 'No': -4.4342737, ' Yes': -8.473674, ' Not': -9.028056, ' Unfortunately': -10.405435}
{' No': -0.20454098, ' Yes': -1.7268206, 'No': -5.156445, 'Yes': -6.986168, ' The': -8.793178}
{' Yes': -0.027430667, ' No': -4.048056, 'Yes': -4.9487567, ' The': -6.8820066, ' Not': -7.919891}
{' Yes': -0.0074731116, 'Yes': -5.038046, ' No': -7.398922, ' yes': -9.070385, '\n': -9.491325}
{' Yes': -0.021663243, ' No': -4.1085296, 'Yes': -5.3697944, 'No': -8.921557, ' The': -9.151149}
{' Yes': -0.6288425, ' No': -0.77613944, 'No': -5.5842276, 'Yes': -5.9026213, ' Not': -10.497996}
{' Yes': -0.044209477, ' No': -3.3615594, 'Yes': -5.1496363, ' Deer': -6.4098597, 'No': -7.5277195}
{' Yes': -0.009516634, 'Yes': -5.123288, ' No': -5.7514005, ' The': -9.175936, ' yes': -9.540029}
{' Yes': -0.20960808, ' No': -1.6809865, 'Yes': -6.1656475, 'No': -7.557414, ' The': -8.826378}
{' Yes': -0.2980433, ' No': -1.3761148, 'Yes': -5.7393746, 'No': -6.6142015, ' The': -7.8333764}
{' No': -0.5139666, ' Yes': -0.9263335, 'No': -5.6117544, 'Yes': -6.2783437, ' The': -8.8247}
{' No': -0.037752956, ' Yes': -3.5990224, 'No': -4.68537, 'Yes': -8.300913, '\n': -9.744444}
{' Yes': -0.09960272, ' No': -2.4046164, 'Yes': -5.6024866, 'No': -7.640799, ' The': -8.928348}
{' Yes': -0.024781903, ' No': -3.9038215, 'Yes': -5.5194697, 'No': -9.110703, ' yes': -9.637525}
{' No': -0.08979812, ' Yes': -2.602711, 'No': -4.6827908, ' Unfortunately': -6.9324355, 'Yes': -7.7142158}
{' No': -0.17368756, ' Yes': -1.9108263, 'No': -4.6651993, 'Yes': -6.565239, ' Not': -8.0352335}
{' Yes': -0.009242518, ' No': -4.9390063, 'Yes': -6.269955, ' The': -9.345309, ' yes': -10.999278}
{' Yes': -0.08380457, ' No': -2.6914628, 'Yes': -4.4638853, 'No': -7.2013426, ' ': -8.818175}
{' No': -0.050591495, ' Yes': -3.2018728, 'No': -4.804229, 'Yes': -8.220773, ' Not': -9.44626}
{' No': -0.029507149, ' Yes': -4.0851254, 'No': -4.4375386, 'Yes': -8.711689, ' Not': -9.188614}
{' No': -0.012103522, 'No': -4.4975195, ' Yes': -7.084724, ' ': -10.97561, '\n': -11.382338}
{' No': -0.041067563, ' Yes': -3.383267, 'No': -5.1296983, 'Yes': -8.848467, ' The': -9.426668}
{' Yes': -0.072650425, ' No': -2.832046, 'Yes': -4.73113, 'No': -7.0844126, ' The': -7.6146593}
{' Yes': -0.1326611, ' No': -2.1370022, 'Yes': -5.527957, 'No': -7.2228193, ' The': -7.5060334}
{' Yes': -0.012667291, 'Yes': -4.417517, ' No': -8.367731, ' The': -8.601786, ' yes': -10.30195}
{' Yes': -0.02400313, ' No': -3.9742935, 'Yes': -5.4243803, ' The': -8.426451, 'No': -8.863469}
{' Yes': -0.15188251, ' No': -1.9995865, 'Yes': -5.5571523, 'No': -6.7510643, ' The': -8.581337}
{' No': -0.5096177, ' Yes': -0.9637822, 'No': -4.408128, 'Yes': -5.425128, ' Wind': -6.9702806}
{' No': -0.4378484, ' Yes': -1.0592453, 'No': -5.1836195, 'Yes': -6.344434, ' The': -8.166968}
{' Yes': -0.0082701165, ' No': -5.175342, 'Yes': -6.0365195, ' The': -9.602593, ' yes': -9.86667}
{' No': -0.04078093, 'No': -3.5286517, ' Yes': -4.6356406, 'Yes': -8.144687, ' Hate': -8.766928}
{' No': -0.37162948, ' Yes': -1.1972768, 'No': -5.1252837, 'Yes': -6.3905964, ' The': -7.959155}
{' No': -0.014970549, ' Yes': -4.7047915, 'No': -5.186582, ' The': -9.712879, 'Yes': -9.959705}
{' No': -0.326363, ' Yes': -1.3081479, 'No': -5.0935726, 'Yes': -6.4273505, ' The': -8.57622}
{' Yes': -0.01657052, ' No': -4.32982, 'Yes': -5.8497667, 'No': -9.044322, ' The': -9.227027}
{' No': -0.3008854, ' Yes': -1.3884555, 'No': -4.707841, 'Yes': -6.7212286, ' Not': -9.984577}
{' Yes': -0.39696568, ' No': -1.1399391, 'Yes': -5.508587, 'No': -5.6907005, ' The': -9.041821}
{' Yes': -0.030543623, ' No': -3.664388, 'Yes': -5.5373697, 'No': -8.07254, ' yes': -9.228798}
{' Yes': -0.008819517, 'Yes': -5.07946, ' No': -6.077097, ' The': -9.265185, '\n': -9.856913}
{' No': -0.28386483, ' Yes': -1.4127748, 'No': -5.9461055, 'Yes': -7.300748, ' The': -8.632537}
{' No': -0.35697153, ' Yes': -1.229347, 'No': -5.262239, 'Yes': -6.374408, ' The': -7.925298}
{' Yes': -0.14129671, ' No': -2.1273978, 'Yes': -4.574808, 'No': -6.3242536, '\n': -8.597889}
{' No': -0.024647925, ' Yes': -3.8433945, 'No': -5.89816, 'Yes': -9.64918, ' The': -10.450004}
{' No': -0.45012233, ' Yes': -1.0390029, 'No': -5.1372943, 'Yes': -5.950414, ' The': -9.964686}
{' No': -0.048664987, ' Yes': -3.1934323, 'No': -5.122626, 'Yes': -8.39713, ' The': -8.695491}
{' No': -0.24279724, ' Yes': -1.6599573, 'No': -4.095174, ' So': -5.3972654, 'Yes': -5.848737}
{' No': -0.21458706, ' Yes': -1.737828, 'No': -4.2092466, 'Yes': -6.2426233, ' ': -8.711009}
{' Yes': -0.010636632, 'Yes': -4.7544413, ' No': -6.3296514, ' The': -9.93971, ' yes': -10.125545}
{' No': -0.020029511, 'No': -3.9958632, ' Yes': -6.5799866, 'Yes': -10.797784, ' ': -11.094973}
{' No': -0.20719971, ' Yes': -1.7796273, 'No': -4.181971, 'Yes': -5.83544, ' The': -9.543785}
{' No': -0.49768633, ' Yes': -0.9495219, 'No': -5.7400565, 'Yes': -6.4053526, ' The': -8.835625}
{' Yes': -0.045488235, ' No': -3.235155, 'Yes': -5.356199, 'No': -8.772323, ' The': -9.70613}
{' No': -0.019217595, ' Yes': -4.240075, 'No': -5.412347, 'Yes': -9.506334, ' ': -10.305286}
{' Yes': -0.54781365, ' No': -0.8736231, 'Yes': -6.03984, 'No': -6.331871, ' The': -9.378792}
{' No': -0.024940167, ' Yes': -3.8901153, 'No': -5.537946, 'Yes': -9.161414, ' The': -10.034989}
{' No': -0.015568439, ' Yes': -4.776692, 'No': -4.9836106, 'Yes': -9.745108, ' The': -10.265118}
{' Yes': -0.022918094, ' No': -3.9104965, 'Yes': -6.012508, 'No': -9.602422, ' The': -10.437296}
{' No': -0.53545696, ' Yes': -0.88886595, 'No': -6.2745066, 'Yes': -6.814689, ' The': -8.099175}
{' No': -0.3999809, ' Yes': -1.1397042, 'No': -4.950213, 'Yes': -6.086565, '\n': -8.84132}
{' No': -0.5170629, ' Yes': -0.9398286, 'No': -4.726042, 'Yes': -5.5687227, ' ': -9.05798}
{' Yes': -0.24711059, ' No': -1.5355016, 'Yes': -6.1125884, 'No': -6.82292, ' The': -8.574249}
{' No': -0.31572554, ' Yes': -1.3291018, 'No': -5.3902645, 'Yes': -6.76473, ' The': -8.722879}
{' No': -0.013817836, ' Yes': -4.9126654, 'No': -5.129779, ' Not': -8.482583, ' Unfortunately': -9.034139}
{' No': -0.043817878, 'No': -3.1506388, ' ': -10.685787, '\n': -11.035505, ' Not': -12.371749}
{' No': -0.3956679, ' Yes': -1.142847, 'No': -5.439092, 'Yes': -6.4049997, ' The': -6.8501596}
{' No': -0.1002651, ' Yes': -2.5011897, 'No': -4.4223895, 'Yes': -6.8349257, ' Not': -9.122907}
{' Yes': -0.023412872, ' No': -4.5909214, 'Yes': -4.9883537, ' Dive': -5.15996, ' The': -8.998711}
{' No': -0.52645797, ' Yes': -0.9636775, 'No': -4.3443956, 'Yes': -4.5436316, ' Dive': -5.7040257}
{' Yes': -0.011512699, 'Yes': -4.4965496, ' The': -9.092191, ' No': -9.217863, ' yes': -9.907751}
{' Yes': -0.0058510513, 'Yes': -5.3058844, ' No': -7.1906004, ' yes': -9.872331, ' ': -10.442992}
{' Yes': -0.022899983, 'Yes': -3.9542334, ' No': -5.768556, 'No': -9.300154, ' yes': -9.681044}
{' Yes': -0.026941182, ' No': -3.9131432, 'Yes': -5.161581, ' The': -8.133427, ' Bush': -8.342874}
{' No': -0.37596086, ' Yes': -1.1967101, 'No': -4.77773, 'Yes': -6.277259, ' The': -7.9278083}
{' Yes': -0.48620775, ' No': -0.96241164, 'No': -6.6882796, 'Yes': -6.8577323, ' The': -8.30415}
{' No': -0.018782457, 'No': -4.014493, ' Yes': -7.7187085, ' ': -10.07222, ' The': -10.31143}
{' Yes': -0.6891216, ' No': -0.73135215, 'Yes': -4.770134, 'No': -4.8213696, ' ': -9.705315}
{' Yes': -0.017939752, ' No': -4.3391867, 'Yes': -5.4132204, 'No': -9.180856, ' The': -9.629705}
{' Yes': -0.034428425, ' No': -3.6237383, 'Yes': -5.0322638, 'No': -8.288728, ' The': -8.700678}
{' No': -0.1814782, 'No': -1.8045154, ' Not': -6.790965, ' Unfortunately': -8.614432, ' ': -10.52193}
{' No': -0.0046530915, 'No': -5.533002, ' Unfortunately': -8.26233, ' Yes': -8.580213, ' Not': -9.086129}
{' No': -0.058468726, ' Yes': -3.2086668, 'No': -4.1530027, 'Yes': -7.7260427, ' The': -9.477973}
{' No': -0.06821256, ' Yes': -2.9249837, 'No': -4.45433, 'Yes': -7.6414084, '\n': -9.684891}
{' No': -0.014272401, 'No': -4.296613, ' Unfortunately': -7.941266, ' Yes': -9.553299, ' ': -9.86155}
{' No': -0.009313146, 'No': -4.7920337, ' Yes': -7.081158, ' ': -9.978421, ' The': -10.420507}
{' No': -0.3580634, ' Yes': -1.2503135, 'No': -4.486565, 'Yes': -5.8154283, ' Milk': -9.496086}
{' No': -0.033627056, ' Yes': -3.659775, 'No': -4.9845695, 'Yes': -8.865551, ' The': -9.070026}
{' No': -0.06712363, ' Yes': -2.9559026, 'No': -4.4075418, 'Yes': -7.5812817, ' The': -9.913986}
{' No': -0.28574935, ' Yes': -1.4173621, 'No': -5.3738647, 'Yes': -6.934036, ' The': -8.339547}
{' Yes': -0.025789948, ' No': -3.8189206, 'Yes': -5.7564893, 'No': -8.862611, ' The': -9.142271}
{' No': -0.17716016, ' Yes': -1.8415145, 'No': -5.7847357, 'Yes': -7.8209853, ' The': -8.869478}
{' Yes': -0.013291654, 'Yes': -4.5427084, ' No': -6.019307, ' yes': -10.133683, ' ': -10.547687}
{' Yes': -0.016267383, 'Yes': -4.2390947, ' No': -6.5520144, ' yes': -9.1417265, ' ': -9.858413}
{' No': -0.16420238, ' Yes': -1.9377522, 'No': -5.0643144, 'Yes': -6.9804134, ' ': -9.709719}
{' Yes': -0.28369614, ' No': -1.4284601, 'Yes': -5.414721, 'No': -6.0334725, ' The': -8.8442135}
{' Yes': -0.6304773, ' No': -0.7808088, 'Yes': -5.4471545, 'No': -5.447471, ' The': -8.250873}
{' Yes': -0.13496295, ' No': -2.1186705, 'Yes': -5.478625, 'No': -7.2572255, ' The': -7.391066}
{' No': -0.046580072, ' Yes': -3.3359609, 'No': -4.799937, ' The': -7.204997, ' Unfortunately': -8.076394}
{' Yes': -0.11069104, ' No': -2.3279724, 'Yes': -5.1385803, 'No': -7.059747, ' The': -8.662253}
{' Yes': -0.16597672, ' No': -1.8923961, 'Yes': -6.4279814, 'No': -7.919255, ' The': -8.989152}
{' Yes': -0.0072343135, 'Yes': -4.9901385, ' No': -8.271195, ' yes': -9.55053, ' ': -10.074997}
{' No': -0.1994977, ' Yes': -1.8469623, 'No': -3.918362, 'Yes': -6.112459, ' Not': -7.646229}
{' Yes': -0.47624877, ' No': -1.0034857, 'Yes': -4.9982767, 'No': -5.527547, ' The': -7.5058184}
{' No': -0.015592655, 'No': -4.491808, ' Yes': -5.5740104, ' Not': -8.689619, ' ': -8.863085}
{' No': -0.020943547, 'No': -4.303313, ' Yes': -5.5038877, ' Door': -5.9540205, ' ': -7.919903}
{' No': -0.015466374, 'No': -4.7841277, ' Yes': -5.0122333, 'Yes': -8.995853, ' ': -9.270389}
{' No': -0.0536094, ' Yes': -3.0748627, 'No': -5.243518, 'Yes': -7.6006436, ' The': -9.260182}
{' No': -0.67169416, ' Yes': -0.7273619, 'No': -5.818662, 'Yes': -5.9782696, ' The': -8.727119}
{' No': -0.048614487, ' Yes': -3.2828214, 'No': -4.716362, 'Yes': -7.970908, ' Not': -8.302879}
{' Yes': -0.4515636, ' No': -1.0299957, 'Yes': -5.6028657, 'No': -6.0344872, ' The': -9.583499}
{' No': -0.10399682, ' Yes': -2.4495473, 'No': -4.4851193, 'Yes': -7.278317, ' The': -8.6213455}
{' No': -0.1824833, ' Yes': -1.8516669, 'No': -4.773824, 'Yes': -6.8329253, ' Not': -8.726159}
{' Yes': -0.095565915, ' No': -2.429182, 'Yes': -6.009147, 'No': -7.904956, ' The': -9.65805}
{' No': -0.38406244, ' Yes': -1.1796976, 'No': -4.8608403, 'Yes': -6.2283826, ' Most': -6.576092}
{' No': -0.12645869, ' Yes': -2.2462306, 'No': -4.9685206, ' Most': -5.331882, 'Yes': -7.1795154}
{' Yes': -0.32278004, ' No': -1.3112998, 'Yes': -5.713149, 'No': -5.9789076, ' The': -8.429608}
{' Yes': -0.034383576, ' No': -3.493183, 'Yes': -5.811603, 'No': -8.830953, ' yes': -9.318553}
{' No': -0.11034342, ' Yes': -2.3095546, 'No': -5.4441104, 'Yes': -7.551219, ' The': -8.64218}
{' No': -0.42248976, ' Yes': -1.0930924, 'No': -5.0353456, 'Yes': -5.9839497, ' The': -8.700166}
{' Yes': -0.035888027, ' No': -3.4333503, 'Yes': -6.0690737, ' The': -8.497659, 'No': -8.763846}
{' Yes': -0.046642087, ' No': -3.2053678, 'Yes': -5.4115233, 'No': -8.134729, ' The': -9.51862}
{' No': -0.03280681, 'No': -3.9294987, ' Yes': -4.4011655, 'Yes': -8.563339, ' ': -9.558069}
{' No': -0.42719617, ' Yes': -1.0821967, 'No': -5.0444255, 'Yes': -6.1885805, ' The': -9.119061}
{' No': -0.025471346, 'No': -4.180456, ' Yes': -4.6501565, 'Yes': -9.104563, ' Not': -9.491339}
{' No': -0.044111736, ' Yes': -3.6519856, 'No': -4.0985, 'Yes': -8.355738, ' The': -8.860632}
{' Yes': -0.11395046, ' No': -2.2847326, 'Yes': -5.293758, 'No': -7.318332, ' The': -9.829909}
{' Yes': -0.004422029, 'Yes': -5.707077, ' No': -6.92852, ' yes': -9.835968, ' The': -10.42592}
{' No': -0.63815, ' Yes': -0.7667168, 'No': -5.580512, 'Yes': -6.1518507, ' The': -7.45851}
{' Yes': -0.03639125, ' No': -3.4893029, 'Yes': -5.3781056, 'No': -8.491453, '\n': -8.816008}
{' No': -0.022224743, ' Yes': -4.1208386, 'No': -5.19377, 'Yes': -9.390314, ' ': -10.524662}
{' No': -0.15013751, ' Yes': -2.0244985, 'No': -5.061749, 'Yes': -7.2295113, ' The': -9.21611}
{' Yes': -0.01322461, 'Yes': -4.688477, ' No': -5.5715814, 'No': -9.583973, ' yes': -10.757737}
{' Yes': -0.19872159, ' No': -1.7344787, 'Yes': -5.89827, 'No': -7.117451, ' The': -9.472726}
{' No': -0.021267345, ' Yes': -4.3517804, 'No': -4.8489323, ' The': -9.057661, 'Yes': -9.327074}
{' No': -0.04188872, 'No': -3.8751442, ' Yes': -3.9187484, 'Yes': -8.083383, ' ': -10.237454}
{' No': -0.07141672, ' Yes': -2.8051565, 'No': -4.850052, 'Yes': -7.718143, ' ': -9.727409}
{' No': -0.014842289, 'No': -4.459106, ' Yes': -5.7940955, 'Yes': -9.959592, ' ': -10.203828}
{' No': -0.037630342, ' Yes': -3.5222492, 'No': -4.9577885, 'Yes': -8.795774, ' Not': -9.31027}
{' No': -0.068145186, ' Yes': -2.8630536, 'No': -4.835637, 'Yes': -8.090222, ' The': -8.539357}
{' No': -0.20250703, ' Yes': -1.7419204, 'No': -5.006077, 'Yes': -6.77502, ' The': -8.962926}
{' No': -0.12846862, ' Yes': -2.2667894, 'No': -4.214175, 'Yes': -6.7071676, ' Unfortunately': -8.131782}
{' Yes': -0.021818696, ' No': -3.9613614, 'Yes': -6.063263, ' The': -9.473438, 'No': -9.744923}
{' Yes': -0.1565806, ' No': -1.9460417, 'Yes': -6.5316753, 'No': -8.121277, ' The': -8.462278}
{' Yes': -0.0059937513, 'Yes': -5.7335863, ' No': -6.0427294, ' The': -8.354867, ' yes': -9.479944}
{' Yes': -0.09817645, ' No': -2.5007985, 'Yes': -4.705901, 'No': -6.761092, ' The': -7.375357}
{' Yes': -0.14028217, ' No': -2.089188, 'Yes': -5.2412853, 'No': -6.8350925, ' The': -7.5450745}
{' Yes': -0.0029224143, 'Yes': -5.91112, ' No': -8.952591, ' The': -10.166258, ' yes': -10.60227}
{' No': -0.04734758, ' Yes': -3.6142554, 'No': -3.979295, 'Yes': -7.9332438, ' The': -8.9207945}
{' Yes': -0.04716911, ' No': -3.1245005, 'Yes': -6.366432, ' The': -8.688217, 'No': -8.893364}
{' Yes': -0.03940595, ' No': -3.6742477, 'Yes': -4.3853397, 'No': -7.501426, ' ': -8.861687}
{' Yes': -0.020866495, ' No': -4.0599613, 'Yes': -5.789463, ' The': -8.7193165, 'No': -9.241654}
{' No': -0.061198186, ' Yes': -3.1044166, 'No': -4.399628, ' Unfortunately': -6.878501, ' Not': -7.6609564}
{' Yes': -0.0042937384, 'Yes': -5.5614014, ' No': -7.909872, ' The': -10.4470005, ' yes': -10.468039}
{' Yes': -0.01560991, ' No': -4.6391163, 'Yes': -5.1770477, 'No': -9.493015, ' Wife': -10.264589}
{' No': -0.08485702, ' Yes': -2.5687265, 'No': -5.4684515, 'Yes': -8.287309, ' The': -8.958643}
{' Yes': -0.003085804, 'Yes': -6.3711963, ' No': -6.6520133, ' The': -10.471264, ' yes': -10.518167}
{' Yes': -0.012643508, ' No': -4.642059, 'Yes': -5.9215975, ' The': -9.156615, 'No': -9.842711}
{' No': -0.19576709, ' Yes': -1.8024335, 'No': -4.5105863, 'Yes': -6.365523, ' The': -9.969469}
{' No': -0.67881477, ' Yes': -0.72249496, 'No': -5.3646836, 'Yes': -6.033789, ' ': -9.847717}
{' Yes': -0.0025261522, 'Yes': -6.547732, ' No': -6.8779874, ' yes': -10.632516, ' The': -10.679224}
{' No': -0.1253942, 'No': -2.2182744, ' Yes': -5.1269865, ' Impossible': -7.2451496, 'Yes': -7.6751356}
{' Yes': -0.01911303, ' No': -4.0431013, 'Yes': -6.654748, 'No': -10.411075, ' yes': -10.519805}
{' Yes': -0.15671904, ' No': -1.9731903, 'Yes': -5.661945, 'No': -6.7636104, ' The': -7.214925}
{' Yes': -0.022894798, ' No': -3.9495037, 'Yes': -5.774279, ' The': -9.045685, 'No': -9.3393545}
{' Yes': -0.0033318081, 'Yes': -5.9046493, ' No': -7.6029124, ' yes': -10.057408, ' The': -10.101102}
{' Yes': -0.15792756, ' No': -1.9645853, 'Yes': -5.5008707, 'No': -6.8398533, ' The': -7.6496496}
{' Yes': -0.02106626, ' No': -4.491811, 'Yes': -4.725612, ' The': -8.034133, ' yes': -8.809696}
{' No': -0.020196695, 'No': -4.1662006, ' Yes': -5.494699, ' Not': -8.641654, ' Unfortunately': -9.779783}
{' No': -0.11598476, ' Yes': -2.2884338, 'No': -4.9204087, 'Yes': -7.414604, ' Not': -9.071947}
{' No': -0.34701285, ' Yes': -1.2400392, 'No': -6.139394, ' The': -7.115873, 'Yes': -7.701297}
{' Yes': -0.095872685, ' No': -2.434221, 'Yes': -5.8253202, 'No': -7.6052065, ' The': -8.801143}
{' Yes': -0.0019973328, 'Yes': -6.508768, ' No': -7.666815, ' yes': -11.182498, ' The': -11.35414}
{' Yes': -0.025717719, ' No': -3.825753, 'Yes': -5.742501, ' The': -8.6975565, 'No': -8.910142}
{' Yes': -0.018453633, ' No': -4.118248, 'Yes': -6.312708, ' The': -9.204874, 'No': -9.919918}
{' Yes': -0.002741835, 'Yes': -6.3959947, ' No': -6.9122705, ' The': -10.120428, ' yes': -10.731917}
{' Yes': -0.07170862, 'Yes': -2.6762636, ' No': -8.01936, 'No': -10.575756, ' yes': -11.35128}
{' Yes': -0.05635066, ' No': -2.9693546, 'Yes': -5.806565, 'No': -8.370142, ' The': -9.011371}
{' Yes': -0.0023433755, 'Yes': -6.1035585, ' yes': -9.868257, ' The': -10.311447, ' ': -11.579415}
{' Yes': -0.004463222, ' No': -5.9746814, 'Yes': -6.297874, ' yes': -10.265814, ' The': -11.344681}
{' Yes': -0.11343877, ' No': -2.2630913, 'Yes': -6.134099, 'No': -7.3189, ' The': -8.487645}
{' No': -0.09854598, ' Yes': -2.486579, 'No': -4.668124, 'Yes': -7.7093935, ' The': -8.266681}
{' Yes': -0.0037447198, 'Yes': -6.258094, ' No': -6.4985085, ' The': -8.305908, ' yes': -10.341187}
{' No': -0.46408933, ' Yes': -1.0059937, 'No': -5.499877, 'Yes': -6.725131, ' Not': -8.453067}
{' No': -0.1592437, ' False': -2.101909, 'No': -3.7405176, 'False': -6.774335, ' ': -9.223044}
{' No': -0.01477266, 'No': -4.3077316, ' Yes': -6.8100376, ' ': -10.459984, ' Not': -10.8451185}
{' Yes': -0.008595548, ' No': -5.459998, 'Yes': -5.5467896, ' The': -8.599994, ' Rain': -9.403262}
{' Yes': -0.017141903, ' No': -4.438914, 'Yes': -5.3359394, 'No': -8.806135, ' Rain': -9.497156}
{' No': -0.01175083, ' Yes': -4.852691, 'No': -5.641887, ' ': -9.295283, ' The': -9.427022}
{' No': -0.005994412, 'No': -5.1311984, ' Yes': -10.145337, ' ': -11.3270645, ' Unfortunately': -11.811163}
{' Yes': -0.282554, ' No': -1.4247029, 'Yes': -5.757097, 'No': -6.579337, ' Not': -7.5745606}
{' Yes': -0.48797414, ' No': -0.9591484, 'No': -6.667515, 'Yes': -6.6848655, ' The': -8.48407}
{' No': -0.5195535, ' Yes': -0.9258321, 'No': -5.1928606, 'Yes': -6.0511956, ' The': -7.46387}
{' Yes': -0.24536303, ' No': -1.551853, 'Yes': -5.728065, 'No': -6.4082084, ' The': -7.848331}
{' Yes': -0.028601825, ' No': -3.664939, 'Yes': -6.098508, ' The': -8.961259, 'No': -8.962848}
{' Yes': -0.0038474523, 'Yes': -6.083525, ' No': -6.5964775, ' The': -8.946377, ' yes': -10.6373005}
{' No': -0.61734277, ' Yes': -0.78675544, 'No': -5.8790345, 'Yes': -6.3132524, ' The': -8.061961}
{' Yes': -0.22268318, ' No': -1.6339668, 'Yes': -5.965103, 'No': -6.948114, ' The': -7.8931823}
{' Yes': -0.0025776634, 'Yes': -6.030995, ' No': -9.670042, ' yes': -9.923399, ' The': -10.138132}
{' Yes': -0.014623261, ' No': -4.5199866, 'Yes': -5.670573, 'No': -9.7448435, ' The': -9.979922}
{' Yes': -0.0073575177, ' No': -5.2405095, 'Yes': -6.532689, ' The': -7.690566, ' yes': -9.579022}
{' Yes': -0.009207324, ' No': -5.0737767, 'Yes': -5.947108, ' The': -8.740856, ' yes': -10.2567215}
{' No': -0.008808874, 'No': -4.7679067, ' Yes': -8.565651, ' Not': -10.226774, ' ': -10.661407}
{' Yes': -0.19903468, ' No': -1.747733, 'Yes': -5.6265416, 'No': -6.5029984, ' The': -7.332915}
{' Yes': -0.011815663, 'Yes': -5.085018, ' No': -5.40628, ' The': -7.8186464, ' ': -9.011668}
{' Yes': -0.002358254, 'Yes': -6.113503, ' yes': -9.879872, ' The': -10.084047, ' No': -10.728268}
{' Yes': -0.005334554, 'Yes': -5.692338, ' No': -6.290563, ' The': -10.249735, ' yes': -10.316345}
{' Yes': -0.28217262, ' No': -1.4204803, 'Yes': -5.895168, 'No': -6.587404, ' The': -10.10039}
{' Yes': -0.006627943, ' No': -5.7385097, 'Yes': -5.749488, ' The': -9.172017, ' yes': -10.090266}
{' Yes': -0.0032352286, 'Yes': -5.823975, ' No': -8.683031, ' The': -9.970758, ' yes': -10.259859}
{' Yes': -0.014842653, ' No': -4.375913, 'Yes': -6.258155, ' The': -8.833785, 'No': -10.1903105}
{' Yes': -0.022955358, ' No': -3.8988307, 'Yes': -6.1539803, ' The': -8.711733, 'No': -9.596926}
{' Yes': -0.3780196, ' No': -1.1676867, 'Yes': -6.230028, 'No': -6.567369, ' The': -8.688769}
{' Yes': -0.4198289, ' No': -1.0845399, 'Yes': -6.0486283, 'No': -6.3885226, ' Not': -8.170356}
{' Yes': -0.019468876, ' No': -4.0952706, 'Yes': -6.0375466, ' The': -9.444939, 'No': -9.556847}
{' Yes': -0.0023576552, 'Yes': -6.4278355, ' No': -7.2907963, ' yes': -10.62673, ' The': -11.094738}
{' No': -0.16380657, ' Yes': -1.9547325, 'No': -4.852224, 'Yes': -7.297496, ' Unfortunately': -7.9711237}
{' Yes': -0.5649884, ' No': -0.8564809, 'No': -5.7083697, 'Yes': -6.0447836, ' Not': -7.621262}
{' Yes': -0.004523754, ' No': -5.782043, 'Yes': -6.6210604, ' The': -9.728854, ' yes': -11.130353}
{' Yes': -0.008495574, 'Yes': -4.8190174, ' No': -8.121457, ' The': -9.9661455, ' yes': -11.01997}
{' Yes': -0.45409995, ' No': -1.0185568, 'Yes': -6.236845, 'No': -6.4118786, ' The': -8.871819}
{' No': -0.3307904, ' Yes': -1.2868528, 'No': -5.497388, 'Yes': -6.8638787, ' Not': -8.768494}
{' No': -0.030647237, ' Yes': -3.7027378, 'No': -5.22768, 'Yes': -9.143236, ' Not': -10.554349}
