{' !': -0.0001226242, '!': -9.049479, ' @': -12.556361, ' ': -13.919071, '!.': -14.5979395}
{' #': -0.022523716, ' !': -3.8230357, '#': -8.133008, ' ': -9.227452, '  ': -11.913979}
{' #': -0.015121456, ' !': -4.222601, '#': -8.223857, ' ': -9.563704, '  ': -12.859871}
{' $': -0.0515397, ' !': -3.047864, '$': -6.001895, ' $\\': -9.182441, ' ': -9.491303}
{' $': -0.014642977, ' !': -4.3983803, '$': -6.1951847, ' $\\': -9.55475, ' ': -9.78895}
{' !': -0.21968575, ' @': -1.6300824, '@': -7.1902723, '!': -7.980542, ' ': -8.652732}
{' !': -0.08056076, ' @': -2.5633812, '@': -8.771016, '!': -9.044918, ' ': -9.599756}
{' @': -0.5276494, ' #': -0.89824915, '@': -6.1758637, ' ': -7.9447274, '#': -8.951252}
{' #': -0.44393292, ' @': -1.0295633, '@': -7.1111383, ' ': -8.328213, '#': -8.775256}
{' @': -0.36591065, ' $': -1.1983731, '@': -5.640744, '$': -7.602814, ' ': -7.927136}
{' $': -0.60721767, ' @': -0.7927588, '@': -6.746668, '$': -7.382864, ' $$': -8.168571}
{' !': -0.5674314, ' #': -0.83815473, '!': -8.279361, '#': -8.921094, ' ': -9.350106}
{' !': -0.34921184, ' #': -1.2225354, '!': -8.7013235, '#': -9.782134, ' ': -10.275928}
{' #': -0.056166187, ' @': -2.9235823, '#': -8.088888, ' ': -8.315279, '@': -8.538708}
{' #': -0.10527124, ' @': -2.3116233, '@': -8.260109, ' ': -8.420584, '#': -8.440893}
{' #': -0.27595586, ' $': -1.4256979, ' ': -8.352229, '$': -8.54467, '#$': -9.0804825}
{' #': -0.4204225, ' $': -1.0716848, '$': -8.492474, ' ': -8.609972, '#$': -9.054465}
{' !': -0.009377039, ' $': -4.7388425, '!': -7.559435, ' ': -10.926554, '!,': -11.231719}
{' !': -0.01780377, ' $': -4.065541, '!': -7.735703, ' ': -10.937954, '$': -11.136182}
{' $': -0.45078057, ' @': -1.0195367, '$.': -7.0552397, ' ': -7.5879674, ' $$': -8.340743}
{' @': -0.085938364, ' $': -2.5146627, '@': -7.543734, ' ': -7.9165263, ' $$': -8.103864}
{' #': -0.14011642, ' $': -2.0395248, ' ': -7.8054104, '  ': -9.7878475, '#': -10.135567}
{' #': -0.011314948, ' $': -4.5187497, ' ': -8.404735, '#': -9.932886, '  ': -10.918245}
{' !': -0.048915584, ' @': -3.050407, '@': -8.774238, '!': -8.95419, ' ': -9.221711}
{' !': -0.061524455, ' @': -2.824374, '@': -8.864082, '!': -9.148419, ' ': -9.604721}
{' !': -0.38542593, ' #': -1.1406292, '!': -9.230122, '#': -9.547125, ' ': -9.956366}
{' !': -0.55349654, ' #': -0.8559391, '#': -9.26957, '!': -9.804395, ' ': -10.474811}
{' !': -0.0443744, ' $': -3.1507967, '$': -8.173288, '!': -8.302244, ' ': -10.185592}
{' !': -0.19052587, ' $': -1.7582827, '$': -7.0680203, '!': -8.718431, ' ': -9.542681}
{' !': -0.2063328, ' @': -1.6835321, '@': -7.680713, '!': -8.642128, ' ': -9.655053}
{' !': -0.41737103, ' @': -1.0773804, '@': -7.658145, '!': -8.945798, ' ': -9.188228}
{' @': -0.1912867, ' #': -1.7633272, '@': -6.110708, ' ': -8.358047, '@#': -9.829134}
{' #': -0.62112784, ' @': -0.77465034, '@': -6.6443095, ' ': -8.402442, '#': -8.900867}
{' @': -0.13141224, ' $': -2.1229742, '@': -5.90847, '$': -8.419157, ' ': -8.63855}
{' @': -0.39058995, ' $': -1.1389803, '@': -6.3138533, ' $$': -7.658547, '$': -7.683803}
{' #': -0.6561526, ' !': -0.7319488, '!': -9.369553, '#': -9.56382, ' ': -10.6452055}
{' #': -0.13413577, ' !': -2.0771918, '#': -8.8754, ' ': -9.901283, '!': -9.96004}
{' #': -0.20443605, ' @': -1.6982601, '@': -6.808832, '#': -7.8988647, ' ': -8.354643}
{' #': -0.029530415, ' @': -3.55111, '#': -8.643924, ' ': -9.294228, '@': -9.334881}
{' #': -0.19985352, ' $': -1.7115513, '$': -8.980842, ' ': -9.014386, '#$': -9.30561}
{' #': -0.09268988, ' $': -2.4293368, '#$': -9.26212, '#': -9.407172, ' ': -9.487422}
{' !': -0.632753, ' $': -0.7600971, '!': -7.5279536, '$': -7.6816554, ' ': -9.144638}
{' $': -0.56691146, ' !': -0.839975, '$': -7.791778, '!': -8.139596, ' ': -8.928211}
{' $': -0.38704666, ' @': -1.1435412, ' $$': -7.0327525, ' ': -7.7086062, '$.': -8.402139}
{' $': -0.2857768, ' @': -1.4003704, ' $$': -7.0399976, ' ': -7.8932576, '$.': -8.34636}
{' $': -0.2129354, ' #': -1.6565866, ' ': -7.625592, '$': -8.843416, ' $\\': -8.966019}
{' $': -0.30912244, ' #': -1.327866, ' ': -7.9006443, '$': -8.938961, ' $\\': -9.124325}
{' !': -0.00025002356, '!': -8.776493, ' @': -9.480595, ' ': -10.991598, ' !!': -14.107352}
{' !': -0.00021467115, '!': -8.995479, ' @': -9.5831, ' ': -10.820574, ' !!': -14.482958}
{' !': -0.0006196737, ' #': -7.596235, '!': -9.154737, ' ': -11.512008, '  ': -14.907673}
{' !': -0.0013400486, ' #': -6.7052546, '!': -9.194428, ' ': -11.350147, '#': -14.444178}
{' !': -0.00062718947, ' $': -7.6712656, '!': -8.845729, ' ': -11.445042, '$': -12.533918}
{' !': -0.0017992505, ' $': -6.4349484, '!': -8.725904, ' ': -11.041168, '$': -11.389788}
{' @': -0.026699895, ' !': -3.707272, '@': -6.4308476, ' ': -8.788571, '!': -11.647543}
{' @': -0.049152717, ' !': -3.077101, '@': -6.438767, ' ': -8.462733, '!': -10.954254}
{' @': -0.0052053067, ' #': -5.615322, '@': -6.616548, ' ': -8.759186, ' @@': -11.048209}
{' @': -0.032777432, ' #': -3.508281, '@': -6.24505, ' ': -8.26781, '\n': -10.258868}
{' @': -0.007453354, ' $': -5.368436, '@': -5.9670496, ' ': -9.184659, ' @@': -10.2666445}
{' @': -0.013832399, ' $': -4.5195827, '@': -5.9933376, ' ': -8.844818, ' $$': -9.558582}
{' #': -0.029715648, ' !': -3.5369043, '#': -9.080527, ' ': -10.006669, '!': -11.746238}
{' #': -0.0071467245, ' !': -4.962457, '#': -9.389781, ' ': -10.248474, '!': -13.017179}
{' #': -0.0033492697, ' @': -5.802566, '#': -8.666596, ' ': -9.24599, '  ': -10.998428}
{' #': -0.0008039243, ' @': -7.385876, '#': -9.132398, ' ': -9.762433, '\n': -11.751761}
{' #': -0.017451856, ' $': -4.0743327, ' ': -9.100692, '#$': -9.792544, '#': -9.877593}
{' #': -0.006544844, ' $': -5.0637403, ' ': -9.781214, '#': -9.800648, '#$': -10.025059}
{' $': -0.031328492, ' !': -3.5052342, '$': -7.8324203, ' ': -8.782814, '$.': -9.460261}
{' $': -0.012199996, ' !': -4.4792275, '$': -7.810337, ' ': -8.917883, '$.': -9.169314}
{' $': -0.0070009166, ' @': -5.203994, ' $$': -7.5437055, ' ': -7.9586873, '$.': -8.18524}
{' $': -0.0037030203, ' @': -6.100712, ' $$': -7.431166, '$.': -8.011416, ' ': -8.222113}
{' $': -0.009825978, ' #': -4.719896, ' ': -7.8258505, ' $$': -8.772311, ' $\\': -8.8728895}
{' $': -0.012900563, ' #': -4.4117346, ' ': -8.074717, ' $\\': -9.197822, '$': -9.241685}
{' !': -8.88872e-05, '!': -9.407102, ' ': -12.278999, ' @': -13.670567, '!.': -14.619012}
{' !': -9.9616926e-05, '!': -9.279932, ' ': -12.300754, ' @': -13.864752, '!.': -14.912682}
{' !': -0.0004627707, ' #': -8.07508, '!': -8.842795, ' ': -12.138117, '#': -14.53859}
{' !': -0.000311554, ' #': -8.679812, '!': -8.899847, ' ': -12.488795, '!.': -14.665964}
{' !': -0.00014480359, '!': -9.070515, ' $': -10.674954, ' ': -12.11475, '!.': -15.011566}
{' !': -0.0001792624, '!': -8.827536, ' $': -10.576197, ' ': -12.080652, '!.': -14.8351965}
{' @': -0.009253167, ' !': -4.860543, '@': -6.604859, ' ': -9.254116, '  ': -12.529961}
{' @': -0.012244524, ' !': -4.5761766, '@': -6.3411345, ' ': -9.249482, '!': -12.575428}
{' @': -0.008815728, ' #': -4.998066, '@': -6.263456, ' ': -9.1829605, '  ': -12.3925495}
{' @': -0.011340386, ' #': -4.664016, '@': -6.356211, ' ': -9.304219, '\n': -12.095713}
{' @': -0.002750264, '@': -6.058898, ' $': -8.155084, ' ': -9.3494, '\n': -11.4352045}
{' @': -0.002728985, '@': -6.2286506, ' $': -7.3535852, ' ': -9.530384, '\n': -11.26223}
{' #': -0.012502749, ' !': -4.402082, '#': -8.842714, ' ': -10.8147135, '!': -12.066568}
{' #': -0.00901232, ' !': -4.730526, '#': -9.099426, ' ': -10.415031, '!': -12.390538}
{' #': -0.00021741669, ' @': -9.032353, '#': -9.541184, ' ': -10.753701, '\n': -13.361831}
{' #': -0.00027363625, ' @': -8.598392, '#': -9.77731, ' ': -10.5431795, '\n': -12.876829}
{' #': -0.0002048951, ' $': -9.191552, '#': -9.576381, ' ': -10.726901, '\n': -12.369375}
{' #': -0.00023106657, ' $': -8.864129, '#': -9.731848, ' ': -10.954201, '\n': -12.0544}
{' $': -0.25647992, ' !': -1.4899852, '$.': -7.9229336, '$': -8.432656, '!': -9.053816}
{' $': -0.16375363, ' !': -1.8981074, '$': -7.3123565, '$.': -8.289416, '!': -8.886105}
{' $': -0.0013065651, '$.': -7.105449, ' ': -8.842977, ' $\\': -8.951103, ' @': -9.046068}
{' $': -0.0011713328, '$.': -7.947222, ' @': -8.092522, ' $\\': -8.569825, ' ': -8.875181}
{' $': -0.008503029, ' #': -4.8437023, '$.': -8.127941, ' ': -9.0444765, '$': -9.191153}
{' $': -0.007942812, ' #': -4.902642, '$': -8.538511, '$.': -9.036699, ' ': -9.210655}
{' !': -8.149626e-05, '!': -9.514136, ' ': -12.120715, ' @': -13.647469, '!.': -14.440888}
{' !': -8.161453e-05, '!': -9.5115385, ' ': -12.083618, ' @': -13.671899, '!.': -14.957771}
{' !': -0.00038542866, ' #': -8.344301, '!': -8.883879, ' ': -11.87682, '!.': -14.108114}
{' !': -0.0003083335, ' #': -8.747073, '!': -8.856244, ' ': -12.163104, '!.': -14.387385}
{' !': -0.00011583212, '!': -9.407374, ' $': -10.54045, ' ': -12.027214, '!.': -14.731189}
{' !': -0.00013931624, '!': -9.182085, ' $': -10.444686, ' ': -12.053996, '!.': -14.797272}
{' @': -0.0066253613, ' !': -5.4079084, '@': -6.2282095, ' ': -8.948143, '  ': -12.146229}
{' @': -0.0032662041, '@': -6.335356, ' !': -6.5954638, ' ': -9.171376, '\n': -12.549104}
{' @': -0.008633484, ' #': -5.04505, '@': -6.2007313, ' ': -9.103279, '  ': -12.335862}
{' @': -0.0074059153, ' #': -5.210796, '@': -6.309549, ' ': -9.354064, '\n': -12.2287245}
{' @': -0.004002314, '@': -5.640873, ' $': -8.037627, ' ': -9.267719, '\n': -11.455546}
{' @': -0.002796285, '@': -6.0440173, ' $': -8.035465, ' ': -9.641822, '\n': -11.24491}
{' #': -0.0031388376, ' !': -5.815154, '#': -8.994777, ' ': -10.713576, '!': -13.051789}
{' #': -0.0021936083, ' !': -6.175995, '#': -9.34623, ' ': -10.768384, '!': -13.5177765}
{' #': -0.00012620141, '#': -9.676687, ' @': -10.139822, ' ': -10.829743, '\n': -13.300374}
{' #': -0.00011928824, ' @': -9.813868, '#': -10.067904, ' ': -10.917036, '\n': -13.332046}
{' #': -9.759038e-05, '#': -9.838034, ' $': -10.647356, ' ': -11.2437, '\n': -12.636407}
{' #': -0.000161138, ' $': -9.431383, '#': -9.824436, ' ': -11.069027, '\n': -12.111658}
{' $': -0.055620473, ' !': -2.9480517, '$.': -6.670679, '$': -8.509106, ' ': -9.5032215}
{' $': -0.075032964, ' !': -2.6466615, '$': -7.3843455, '$.': -7.476473, ' ': -9.360368}
{' $': -0.0012787528, '$.': -6.906281, ' $\\': -9.053305, ' ': -9.490223, '$': -10.288989}
{' $': -0.0013406456, '$.': -7.3679314, ' @': -8.484261, ' $\\': -8.680114, ' ': -8.807138}
{' $': -0.0038157399, ' #': -5.8307276, '$.': -7.4109826, ' ': -9.206252, '$': -9.327997}
{' $': -0.0060369866, ' #': -5.250578, '$.': -7.995043, '$': -8.231874, ' ': -9.205214}
{' @': -0.006070388, '@': -5.292405, ' !': -6.9773264, ' ': -9.50888, '  ': -12.093828}
{' @': -0.03679523, ' !': -3.4399133, '@': -5.5434804, ' ': -8.998411, '  ': -11.871742}
{' #': -0.0004126805, '#': -8.155642, ' !': -9.205898, ' ': -10.836174, '  ': -13.360306}
{' #': -0.0036938668, ' !': -5.6777716, '#': -8.331038, ' ': -10.765559, '  ': -13.735526}
{' $': -0.0054360693, '$': -5.710584, ' !': -6.219789, ' $\\': -9.616589, ' ': -10.718266}
{' $': -0.076577604, ' !': -2.7366252, '$': -4.7426944, ' $\\': -9.510295, ' ': -9.922941}
{' !': -0.00059427, '!': -8.099165, ' @': -8.167844, ' ': -12.585602, '@': -13.592539}
{' !': -0.0018412278, ' @': -6.4729676, '!': -8.172679, '@': -11.818926, ' ': -12.448064}
{' #': -0.0023005402, ' @': -6.280499, '#': -7.868643, ' ': -10.731874, '\n': -11.76723}
{' #': -0.0023656026, ' @': -6.1651692, '#': -8.415924, ' ': -10.716007, '@': -11.839469}
{' $': -0.0046942947, ' @': -5.699906, '$': -6.8097034, ' $\\': -8.989111, ' ': -10.270063}
{' $': -0.0048966655, ' @': -5.6517797, '$': -6.800419, ' $\\': -8.980967, ' ': -9.938669}
{' !': -0.008538015, ' #': -4.812638, '!': -7.929246, '#': -11.837028, ' ': -12.093988}
{' !': -0.049396105, ' #': -3.0397563, '!': -8.092246, '#': -10.428594, ' ': -11.477855}
{' @': -0.063685834, ' #': -2.8459218, '@': -5.676086, ' ': -9.106647, '@#': -10.306808}
{' @': -0.15184207, ' #': -1.9823474, '@': -5.850423, ' ': -8.829873, '@#': -10.195856}
{' $': -0.06832138, ' #': -2.7265034, '$': -7.808799, ' $\\': -9.926623, ' $(': -10.114806}
{' $': -0.6061172, ' #': -0.7898884, '$': -7.9037743, '#$': -9.605517, ' $(': -9.933443}
{' !': -0.001053305, '!': -7.0529137, ' $': -8.656954, '!.': -11.676789, ' ': -12.570668}
{' !': -0.004478788, ' $': -5.709938, '!': -6.7903476, '$': -11.493981, ' ': -11.555352}
{' @': -0.004201976, ' $': -6.1920886, '@': -6.216787, ' ': -9.127531, '  ': -11.789044}
{' @': -0.010386055, ' $': -4.741341, '@': -6.553589, ' ': -9.035805, '$': -11.493228}
{' #': -0.0007704604, ' $': -7.328136, '#': -9.770929, ' ': -10.380321, '#$': -11.589615}
{' #': -0.0045863856, ' $': -5.420087, '#': -9.52897, ' ': -10.133977, '#$': -10.78267}
{' @': -0.015389379, ' !': -4.6205893, '@': -5.241133, ' ': -9.165015, '  ': -11.552522}
{' @': -0.10573305, ' !': -2.3338652, '@': -5.7315054, ' ': -8.848922, '!': -11.278504}
{' #': -0.001297554, ' !': -6.9314976, '#': -8.135749, ' ': -10.745432, '  ': -13.187269}
{' #': -0.012272039, ' !': -4.43362, '#': -8.131042, ' ': -10.552443, '!': -13.091731}
{' $': -0.0028893552, '$': -6.02369, ' !': -7.9127364, ' $\\': -9.966959, ' ': -10.607624}
{' $': -0.108479895, ' !': -2.3306992, '$': -5.2291975, ' ': -9.444093, ' $\\': -9.851268}
{' !': -0.00060058996, '!': -8.097524, ' @': -8.148826, ' ': -12.465909, '@': -13.436514}
{' !': -0.007426031, ' @': -4.9470563, '!': -8.281988, '@': -10.404564, ' ': -11.705271}
{' #': -0.017975133, ' @': -4.0566826, '#': -7.8251953, '@': -9.802597, ' ': -10.33902}
{' #': -0.024645725, ' @': -3.7349057, '#': -8.074781, '@': -9.194378, ' ': -10.269149}
{' $': -0.009209129, ' @': -4.822241, '$': -7.0080166, ' $\\': -9.524362, '@': -10.136933}
{' $': -0.07156954, ' @': -2.7080078, '$': -6.4190803, '@': -7.6667576, ' ': -9.204634}
{' !': -0.004709086, ' #': -5.4554515, '!': -7.79116, ' ': -12.071086, '#': -12.385362}
{' !': -0.038554553, ' #': -3.2875605, '!': -7.7345877, '#': -10.610944, ' ': -11.364079}
{' @': -0.07196555, ' #': -2.7241206, '@': -5.6178155, ' ': -9.050678, '@#': -10.562628}
{' @': -0.16504712, ' #': -1.9055713, '@': -5.7698174, ' ': -8.647493, '#': -10.153302}
{' $': -0.037635356, ' #': -3.3165605, '$': -7.6474366, ' $(': -9.941538, ' ': -9.967487}
{' $': -0.52204806, ' #': -0.9010306, '$': -8.057861, ' ': -9.836888, ' $(': -9.965583}
{' !': -0.0007703421, '!': -7.2258253, ' $': -10.389229, '!.': -12.032582, ' ': -12.276724}
{' !': -0.002317328, ' $': -6.407733, '!': -7.345653, ' ': -11.5544195, '!.': -12.431763}
{' @': -0.0037667977, '@': -6.1819496, ' $': -6.4671054, ' ': -9.173624, '\n': -11.843941}
{' @': -0.0352791, ' $': -3.4176583, '@': -6.449433, ' ': -8.681068, '$': -10.453242}
{' #': -0.0012292174, ' $': -6.808064, '#': -9.684363, ' ': -10.286626, '#$': -11.560032}
{' #': -0.019734683, ' $': -3.94358, '#': -9.669583, ' ': -10.047185, '#$': -10.717323}
{' !': -0.0023056793, ' @': -6.443725, '!': -7.516962, ' !!': -9.334897, ' ': -9.788447}
{' !': -0.0014772727, ' @': -6.906172, '!': -8.157903, ' !!': -8.863779, ' ': -10.291029}
{' !': -0.34759778, ' #': -1.2280451, '#': -7.821583, '!': -8.2476015, ' ': -9.705627}
{' !': -0.17938717, ' #': -1.8097011, '#': -8.373481, '!': -8.567474, ' ': -10.065103}
{' !': -0.026250355, ' $': -3.7014513, '!': -7.314997, '$': -8.194385, ' ': -9.079228}
{' !': -0.018394982, ' $': -4.0833, ' !!': -7.7058735, '!': -7.8621297, '$': -8.491646}
{' @': -0.012149375, ' !': -4.6864347, '@': -5.9755416, ' ': -8.536782, ' @@': -10.268202}
{' @': -0.022467691, ' !': -3.9500685, '@': -5.982703, ' ': -8.692899, ' @@': -8.7608595}
{' @': -0.021870114, ' #': -3.955153, '@': -6.227694, ' ': -8.886674, '\n': -8.977289}
{' @': -0.035607018, ' #': -3.4128401, '@': -6.565745, ' @@': -8.659591, ' ': -8.841177}
{' @': -0.007105901, ' $': -5.5900984, '@': -5.9585543, ' @@': -7.863688, ' ': -8.901562}
{' @': -0.013301684, ' $': -4.6673965, '@': -5.956138, ' @@': -7.3316092, ' $$': -8.654388}
{' #': -0.012185634, ' !': -4.444299, '#': -8.15911, ' ': -9.892726, '!': -11.694821}
{' #': -0.0046168054, ' !': -5.448388, '#': -8.31141, ' ': -10.188299, ' ##': -12.37555}
{' #': -0.0012070803, ' @': -6.898676, '#': -8.958089, ' ': -10.350318, '\n': -11.167426}
{' #': -0.0011902513, ' @': -6.946317, '#': -8.911362, ' ': -9.972582, '\n': -10.857988}
{' #': -0.0020411115, ' $': -6.296886, '#': -9.473049, ' ': -10.0727625, '\n': -10.5117}
{' #': -0.0011872664, ' $': -7.015279, '#': -9.053996, ' ': -9.720681, '\n': -9.77691}
{' $': -0.10347004, ' !': -2.3637946, '$.': -5.9166856, ' ': -7.3043804, '$': -7.9130235}
{' $': -0.075219944, ' !': -2.694906, '$.': -5.8931193, ' ': -7.3315663, '$': -7.511238}
{' $': -0.033315565, ' @': -3.8461986, '$.': -5.1947703, ' $$': -5.381761, ' ': -7.4613667}
{' $': -0.032250423, ' @': -4.1299543, ' $$': -4.8059053, '$.': -5.117856, ' ': -7.362139}
{' $': -0.04078559, ' #': -3.3066354, '$.': -6.1577, ' $$': -7.6948037, ' ': -7.8085103}
{' $': -0.057109226, ' #': -2.97541, '$.': -6.2569876, ' $$': -6.670381, ' ': -7.3283014}
{' !': -0.0009383907, '!': -7.1301074, ' ': -9.725717, ' !!': -9.97073, ' @': -11.230774}
{' !': -0.0009818821, '!': -7.76175, ' !!': -7.953674, ' @': -9.185534, ' ': -9.451694}
{' !': -0.112374775, ' #': -2.2471633, '!': -8.0360365, '#': -8.947502, ' ': -9.2033}
{' !': -0.06310779, ' #': -2.8026268, '!': -8.155278, ' ': -9.299949, '#': -9.620955}
{' !': -0.011705359, ' $': -4.535906, '!': -7.5600753, ' ': -8.850463, '$': -9.109714}
{' !': -0.0064029032, ' $': -5.29595, ' !!': -7.503134, '!': -7.6813335, ' ': -8.919722}
{' @': -0.008192712, '@': -5.4260507, ' !': -5.6928525, ' ': -8.677293, ' @@': -9.4287615}
{' @': -0.006496007, '@': -5.517528, ' !': -6.2438884, ' @@': -8.499662, ' ': -8.571761}
{' @': -0.013433551, ' #': -4.5481644, '@': -6.0848465, ' ': -8.75927, '\n': -8.977982}
{' @': -0.012438352, ' #': -4.609785, '@': -6.357029, ' ': -8.506328, ' @@': -8.587502}
{' @': -0.005467593, ' $': -5.912961, '@': -6.170836, ' @@': -7.9193907, ' ': -9.048675}
{' @': -0.0067271893, '@': -5.9303217, ' $': -5.960035, ' @@': -6.9096293, ' ': -8.720646}
{' #': -0.0012200291, ' !': -6.9190335, '#': -8.695024, ' ': -10.112232, '\n': -11.793199}
{' #': -0.00060834415, ' !': -7.983667, '#': -8.715062, ' ': -9.703527, '\n': -10.814869}
{' #': -0.00024060514, ' @': -9.287381, '#': -9.484203, ' ': -10.250689, '\n': -10.927007}
{' #': -0.00029187708, ' @': -9.227783, '#': -9.303387, ' ': -9.878384, '\n': -10.654696}
{' #': -0.00093093404, ' $': -7.228506, '#': -9.592411, ' ': -9.927849, '\n': -10.096928}
{' #': -0.0005709483, ' $': -7.9718456, '#': -9.533442, ' ': -9.977489, '\n': -9.981905}
{' $': -0.026352914, ' !': -4.08858, '$.': -4.837838, ' ': -7.556262, '$': -7.877521}
{' $': -0.025668671, ' !': -3.9864666, '$.': -5.2886515, ' ': -7.5012007, '$': -7.7081194}
{' $': -0.013759762, '$.': -4.851097, ' $$': -5.909376, ' @': -6.2152476, ' ': -7.4766994}
{' $': -0.015688978, '$.': -4.7082663, ' $$': -5.7723546, ' @': -6.0869083, ' ': -7.478638}
{' $': -0.013966696, ' #': -4.7118735, '$.': -5.5624933, ' ': -7.691889, ' $$': -8.273542}
{' $': -0.021254133, ' #': -4.2333074, '$.': -5.4460225, ' $$': -7.057437, ' ': -7.1966057}
{' @': -0.0070067993, '@': -5.073594, ' !': -7.9371915, ' ': -8.600945, ' @@': -9.467178}
{' @': -0.024266114, ' !': -3.990548, '@': -5.301881, ' ': -8.4150505, ' @@': -8.817894}
{' #': -0.00054363545, ' !': -8.277674, '#': -8.362341, ' ': -10.393458, '\n': -11.328599}
{' #': -0.0008982999, ' !': -7.3508277, '#': -8.549301, ' ': -10.187317, '\n': -11.251685}
{' $': -0.011241406, '$': -5.1959414, ' !': -5.3235235, '$.': -8.503362, ' ': -8.557451}
{' $': -0.012932929, ' !': -4.9381914, '$': -5.3568754, ' $$': -8.172694, ' ': -8.188575}
{' !': -0.011416412, ' @': -4.740405, '!': -6.05164, ' ': -9.156493, '@': -9.834915}
{' !': -0.026280584, ' @': -3.7392666, '!': -6.3636327, ' ': -8.885403, '@': -8.961325}
{' #': -0.015680866, ' @': -4.187838, '#': -8.393091, '\n': -9.669972, ' ': -10.079652}
{' #': -0.01874723, ' @': -4.0109572, '#': -8.513694, '\n': -9.089634, ' ': -9.393165}
{' $': -0.07761557, ' @': -2.6352232, '$': -6.2542815, '@': -8.139189, ' $$': -8.511959}
{' $': -0.08279351, ' @': -2.575431, '$': -6.466279, ' $$': -7.2700973, '@': -8.234975}
{' !': -0.46951732, ' #': -0.98562294, '!': -7.0824413, '#': -7.7388077, ' ': -8.946153}
{' #': -0.2154407, ' !': -1.6461751, '#': -7.481798, '!': -8.225337, ' ': -8.979457}
{' @': -0.23576468, ' #': -1.5776665, '@': -5.8386908, ' ': -8.612572, '\n': -8.99956}
{' @': -0.6711092, ' #': -0.7206182, '@': -6.420695, ' ': -8.379286, '#': -8.8741}
{' #': -0.6881568, ' $': -0.7015597, '$': -6.976816, ' ': -8.672883, ' $(': -9.128846}
{' #': -0.1094078, ' $': -2.272904, '$': -8.821452, ' ': -9.079206, '\n': -9.152937}
{' !': -0.06089382, ' $': -2.8692775, '!': -6.478177, ' ': -7.9889817, '$': -8.766701}
{' !': -0.25378937, ' $': -1.5122143, '!': -6.5957446, '$': -6.949388, ' ': -7.520031}
{' @': -0.01754272, ' $': -4.308482, '@': -5.8361063, ' @@': -8.177286, ' ': -8.274861}
{' @': -0.04435857, ' $': -3.2222168, '@': -6.1432314, ' @@': -7.7733536, ' ': -8.023044}
{' #': -0.005951299, ' $': -5.208372, ' ': -8.74252, '\n': -8.901941, '#': -9.485621}
{' #': -0.01594914, ' $': -4.182829, ' ': -8.340062, '\n': -8.97067, '#': -9.591933}
{' @': -0.007879067, '@': -4.8938556, ' ': -9.030763, ' !': -9.365608, ' @@': -9.659723}
{' @': -0.008912004, '@': -4.986171, ' !': -6.4057508, ' ': -8.767221, ' @@': -8.929114}
{' #': -0.00036766095, '#': -8.253379, ' !': -9.852235, ' ': -10.512508, '\n': -11.112239}
{' #': -0.00079622824, ' !': -7.6539063, '#': -8.217371, ' ': -10.397962, '\n': -11.40941}
{' $': -0.006363494, '$': -5.2278676, ' !': -7.9866943, '$.': -8.329951, ' ': -9.052805}
{' $': -0.008092057, '$': -5.0713053, ' !': -7.0693116, ' $$': -8.309879, '$.': -8.31606}
{' !': -0.005805186, '!': -5.362765, ' @': -7.189278, ' ': -8.591825, ' !!': -9.510328}
{' !': -0.013095667, ' @': -4.591127, '!': -5.9860435, ' ': -8.973015, ' !!': -9.209847}
{' #': -0.0066571035, ' @': -5.0803757, '#': -8.2100525, '\n': -9.516689, ' ': -10.137579}
{' #': -0.022654187, ' @': -3.8207765, '#': -8.203846, '\n': -9.152457, ' ': -9.730207}
{' $': -0.020312807, ' @': -4.0627666, '$': -6.123683, ' $$': -8.812708, ' ': -9.0430155}
{' $': -0.108849, ' @': -2.3107057, '$': -6.113941, '@': -7.8085704, ' $$': -7.9770494}
{' !': -0.09079247, ' #': -2.4616783, '!': -6.7008553, ' ': -9.201014, '#': -9.221886}
{' !': -0.44003278, ' #': -1.0357645, '!': -7.357183, '#': -8.235957, ' ': -9.452221}
{' @': -0.047146555, ' #': -3.1646621, '@': -5.6743474, ' ': -8.963688, '\n': -9.436734}
{' @': -0.088730656, ' #': -2.510453, '@': -5.753098, ' ': -8.6697645, '\n': -9.1913185}
{' $': -0.12078151, ' #': -2.194342, '$': -6.3398976, ' $(': -8.948127, ' ': -9.030899}
{' #': -0.59933966, ' $': -0.80061644, '$': -6.885545, ' ': -8.405355, '\n': -8.66079}
{' !': -0.007609857, ' $': -5.176437, '!': -6.5500574, ' ': -8.398494, ' !!': -9.293945}
{' !': -0.048772566, ' $': -3.0873523, '!': -6.887541, ' ': -8.091214, ' !!': -8.514254}
{' @': -0.006920967, ' $': -5.6881585, '@': -5.8363686, ' @@': -8.455913, ' ': -8.861824}
{' @': -0.01578533, ' $': -4.3913956, '@': -6.014501, ' @@': -7.9462347, ' ': -8.566141}
{' #': -0.0023156554, ' $': -6.240347, '#': -9.036303, ' ': -9.156841, '\n': -9.4112835}
{' #': -0.0062727397, ' $': -5.1441283, ' ': -8.950929, '\n': -9.112112, '#': -9.26921}
{' !': -0.009381553, ' @': -4.7435503, '!': -7.4366527, ' ': -10.883271, '@': -11.067738}
{' !': -0.00992404, ' @': -4.6418624, '!': -8.574882, ' ': -10.649184, '@': -11.051407}
{' !': -0.22148639, ' #': -1.6169161, '!': -9.197097, '#': -9.917432, ' ': -11.475034}
