{'first_response': '!', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'one', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 2}
{'first_response': '#', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'one', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '#', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'one', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '$', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'one', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '$', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'one', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '$', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'one', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '$', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'one', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '$', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'one', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '$', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'one', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '!', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '!', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '!', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '!', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '!', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '!', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '@', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '@', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '@', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '@', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '@', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '@', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '#', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '#', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '#', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '#', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '#', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '#', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '$', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '$', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '$', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '$', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '$', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '$', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '!', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '!', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '!', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '!', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '!', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '!', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '@', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '@', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '@', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '@', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '@', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '@', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '#', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '#', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '#', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '#', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '#', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '#', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '$', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '$', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '$', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '$', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '$', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '$', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '!', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '!', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '!', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '!', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '!', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '!', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '@', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '@', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '@', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '@', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '@', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '@', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '#', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '#', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '#', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '#', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '#', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '#', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '$', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '$', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '$', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '$', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '$', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '$', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'one', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '!', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '!', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '!', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '!', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '!', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '!', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '@', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '@', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '@', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '@', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '@', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '@', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '#', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '#', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '#', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '#', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '#', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '#', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '$', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '$', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '$', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '$', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '$', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '$', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '!', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '!', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '!', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '!', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '!', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '!', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '@', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '@', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '@', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '@', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '@', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '@', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '#', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '#', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '#', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '#', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '#', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '#', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '$', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '$', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '$', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '$', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '$', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '$', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': False, 'word': 'two', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '!', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '!', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '!', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '!', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '!', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '!', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '@', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '@', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '@', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '@', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '@', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '@', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '#', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '#', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '#', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '#', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '#', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '#', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '$', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '$', 'second_response': '!', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '$', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '$', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '$', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '$', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'two', 'correspond': False, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '!', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'two', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '!', 'second_response': '@', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'two', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '!', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'two', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
{'first_response': '!', 'second_response': '#', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'two', 'correspond': True, 'upper': False, 'x': 'Y', 'separator_length': 3}
{'first_response': '!', 'second_response': '$', 'example_a': 'left', 'example_b': 'right', 'reversed': True, 'word': 'two', 'correspond': True, 'upper': False, 'x': 'X', 'separator_length': 3}
