{' Right': -0.041503377, ' right': -3.2299895, 'Right': -7.226049, 'right': -8.495124, ' ': -10.113856}
{' Left': -0.060144003, ' left': -3.0482728, ' Right': -5.0546603, 'Left': -5.862157, 'left': -6.9151206}
{' Right': -0.053662542, ' Left': -3.7820883, ' right': -3.7903605, 'Right': -5.651238, ' left': -6.471137}
{' Right': -0.35813272, ' right': -1.2077383, 'Right': -6.8380384, 'right': -7.0230207, ' ': -9.505843}
{' Left': -0.22481018, ' left': -1.612471, 'Left': -6.6414723, 'left': -7.587809, '\n': -9.937357}
{' Right': -0.28114474, ' right': -1.4132439, 'Right': -7.055625, 'right': -7.515659, ' ': -9.128999}
{' Left': -0.31886464, ' left': -1.3050994, 'Left': -6.7373233, 'left': -7.416536, ' ': -9.916878}
{' Right': -0.13394132, ' right': -2.1213202, 'Right': -5.644798, 'right': -6.498573, ' ': -8.459295}
{' Left': -0.10587107, ' left': -2.3580835, 'Left': -5.3845725, 'left': -6.752338, ' ': -9.662823}
{' Right': -0.09378616, ' right': -2.615093, ' Left': -4.658262, 'Right': -5.821956, ' left': -6.095014}
{' Left': -0.12990685, ' left': -2.1467428, 'Left': -5.640765, 'left': -6.625169, ' ': -9.757722}
{' Right': -0.14266483, ' right': -2.0779748, 'Right': -5.315081, 'right': -6.0999107, ' ': -8.042395}
{' Left': -0.12975556, ' left': -2.162415, 'Left': -5.32054, 'left': -6.482825, ' ': -8.946072}
{' Right': -0.09077295, ' right': -2.5395377, 'Right': -5.6389694, ' Left': -6.3159065, 'right': -6.685379}
{' Left': -0.16031083, ' left': -1.9510957, 'Left': -5.472431, 'left': -6.4060817, ' ': -9.286709}
{' Right': -0.47008973, ' right': -1.0029285, 'Right': -5.48243, 'right': -5.709019, ' ': -7.824736}
{' Left': -0.39427477, ' left': -1.149026, 'Left': -5.0993357, 'left': -6.0070353, ' ': -8.834569}
{' Right': -0.44312817, ' right': -1.052961, 'Right': -5.58212, 'right': -5.906751, ' left': -7.0849566}
{' Left': -0.5946842, ' left': -0.81689996, 'Left': -5.5761333, 'left': -6.0154104, ' ': -8.932683}
{' Right': -0.115096256, ' right': -2.3181317, 'Right': -4.87786, 'right': -6.33058, ' ': -7.584849}
{' Left': -0.12121165, ' left': -2.2977903, 'Left': -4.437673, 'left': -6.4500422, ' ': -8.635241}
{' Right': -0.09924115, ' right': -2.5367734, 'Right': -5.091848, ' Left': -5.301914, 'right': -6.602041}
{' Left': -0.17318735, ' left': -1.9102287, 'Left': -4.7711143, 'left': -6.1155047, ' ': -8.579646}
{' Right': -0.06390089, ' right': -2.8841805, 'Right': -5.570609, 'right': -6.7115574, ' ': -7.851994}
{' Left': -0.07276735, ' left': -2.743904, 'Left': -5.3732033, 'left': -6.924146, ' ': -8.997548}
{' Right': -0.055083618, ' right': -3.1200438, 'Right': -5.6724806, ' Left': -5.6725097, 'right': -6.8524985}
{' Left': -0.10209208, ' left': -2.3795998, 'Left': -5.784898, 'left': -6.750315, ' ': -8.889792}
{' Left': -0.45699787, ' left': -1.0094252, 'Left': -6.777924, 'left': -6.8169565, '\n': -9.38625}
{' Right': -0.23420653, ' right': -1.575843, 'Right': -6.799993, 'right': -7.3773694, '\n': -9.222531}
{' Left': -0.58678716, ' left': -0.84949386, ' Right': -4.7846437, ' right': -5.4982767, 'left': -6.41256}
{' Right': -0.27746472, ' right': -1.4295968, 'Right': -6.4843903, 'right': -6.7478504, '\n': -9.420035}
{' Left': -0.15084788, ' left': -1.9973443, 'Left': -5.9086585, 'left': -6.497285, ' ': -9.931971}
{' Right': -0.04139552, ' right': -3.2968123, 'Right': -5.8486257, 'right': -7.537413, ' ': -9.606824}
{' Right': -0.078092545, ' right': -2.6996212, 'Right': -5.7739882, ' Left': -5.9371524, 'right': -6.6430755}
{' Left': -0.41347536, ' left': -1.7686008, ' Right': -1.9591012, ' right': -3.8591158, 'left': -6.1282024}
{' Left': -0.14017607, ' left': -2.0639317, 'Left': -5.960627, 'left': -6.769513, ' ': -9.617969}
{' Right': -0.03824839, ' right': -3.3956587, 'Right': -5.7212415, 'right': -7.5758367, ' ': -8.990192}
{' Left': -0.22080737, ' left': -1.8154633, ' Right': -3.668752, 'Left': -5.6130686, ' right': -5.8417635}
{' Right': -0.11357431, ' right': -2.2929718, 'Right': -5.4668097, 'right': -6.2932463, ' ': -8.960463}
{' Left': -0.52298445, ' left': -0.91135705, 'Left': -5.9570723, 'left': -6.0432763, '\n': -9.031956}
{' Right': -0.20608535, ' right': -1.7144452, 'Right': -5.5110035, 'right': -6.4061193, ' ': -8.51098}
{' Right': -0.2547806, ' right': -1.5316818, 'Right': -5.597115, 'right': -6.0381317, ' Left': -6.6940312}
{' Right': -0.7447353, ' right': -1.5009322, ' Left': -1.7073092, ' left': -2.2012935, 'right': -5.681564}
{' Left': -0.29602414, ' left': -1.3947619, 'Left': -5.474214, 'left': -6.026478, ' Right': -6.754673}
{' Right': -0.10691297, ' right': -2.3914053, 'Right': -4.8758163, 'right': -6.580679, ' ': -7.663595}
{' Left': -0.39810514, ' left': -1.1545463, 'Left': -4.799646, 'left': -5.435336, ' ': -8.123307}
{' Right': -0.18397424, ' right': -1.8465203, 'Right': -4.8885064, 'right': -6.0854535, ' ': -8.333946}
{' Left': -0.03997935, ' left': -3.3110154, 'Left': -6.176749, 'left': -7.5506997, ' ': -9.759094}
{' Right': -0.02577313, ' right': -3.8133137, 'Right': -5.943258, 'right': -7.7206635, ' ': -8.76887}
{' Left': -0.09098855, ' left': -2.6194997, ' Right': -4.972252, 'Left': -5.485466, 'left': -6.227877}
{' Right': -0.032281447, ' right': -3.5969136, 'Right': -5.6969614, 'right': -7.195302, ' ': -8.882068}
{' Left': -0.1621612, ' left': -1.9141259, 'Left': -6.499546, 'left': -7.5645194, ' Right': -9.36134}
{' Right': -0.20541537, ' right': -1.6969371, 'Right': -6.4480166, 'right': -7.3384237, '\n': -9.256827}
{' Left': -0.30900016, ' left': -1.3321648, 'Left': -6.80915, 'left': -7.2881274, '\n': -9.713834}
{' Right': -0.16631517, ' right': -1.8879662, 'Right': -6.7783065, 'right': -7.8224277, ' RIGHT': -9.233081}
{' Left': -0.07906873, ' left': -2.6474605, 'Left': -5.633945, 'left': -6.8539195, ' Right': -7.7007723}
{' Right': -0.13392873, ' right': -2.1237283, 'Right': -5.511074, 'right': -6.4757657, ' ': -9.252079}
{' Left': -0.181959, ' left': -1.8311993, 'Left': -5.5076823, 'left': -6.227968, ' ': -9.828978}
{' Right': -0.12515889, ' right': -2.1942067, 'Right': -5.3929486, 'right': -6.662632, ' RIGHT': -8.744933}
{' Left': -0.093954936, ' left': -2.4792888, 'Left': -5.5876684, 'left': -6.7049794, ' Right': -7.296009}
{' Right': -0.12828496, ' right': -2.1871228, 'Right': -5.237629, 'right': -6.032006, ' ': -8.40189}
{' Left': -0.17765142, ' left': -1.8574247, 'Left': -5.466035, 'left': -6.093088, ' ': -9.229845}
{' Right': -0.086529486, ' right': -2.5752988, 'Right': -5.325108, 'right': -6.7682076, ' RIGHT': -7.9029202}
{' Left': -0.31472456, ' left': -1.3379979, 'Left': -5.5850716, 'left': -6.3976, ' Right': -6.635622}
{' Right': -0.55839777, ' right': -0.867514, 'Right': -5.474451, 'right': -5.7468715, ' ': -8.370417}
{' Left': -0.508282, ' left': -0.9355281, 'Left': -5.6804295, 'left': -6.0369167, '\n': -8.963906}
{' Right': -0.3741191, ' right': -1.1972507, 'Right': -5.0709114, 'right': -5.8241806, ' ': -8.140257}
{' Left': -0.13845137, ' left': -2.1224678, 'Left': -4.919602, 'left': -6.2580247, ' ': -8.686759}
{' Right': -0.2252061, ' right': -1.6662366, 'Right': -4.7602406, 'right': -5.656404, ' ': -7.8582435}
{' Left': -0.2283584, ' left': -1.6377555, 'Left': -4.9795065, 'left': -5.955785, ' ': -8.692041}
{' Right': -0.13909793, ' right': -2.1391532, 'Right': -4.714236, 'right': -6.3204923, ' RIGHT': -7.5074835}
{' Left': -0.04772205, ' left': -3.1779823, 'Left': -6.0702033, ' Right': -6.3456683, 'left': -7.3327403}
{' Right': -0.041238487, ' right': -3.3065562, 'Right': -5.871825, 'right': -7.3300586, ' ': -8.772212}
{' Left': -0.052302193, ' left': -3.0416799, 'Left': -6.1163864, 'left': -7.2886753, ' Right': -8.444976}
{' Right': -0.028359214, ' right': -3.7265632, 'Right': -5.7789392, 'right': -7.720776, ' RIGHT': -9.004667}
{' Right': -0.072595306, ' right': -2.6905859, 'Right': -6.529161, 'right': -7.6482306, ' ': -9.294744}
{' Left': -0.20891702, ' left': -1.6794962, 'Left': -6.646834, 'left': -7.258521, ' ': -10.375634}
{' Right': -0.17827888, ' right': -1.8297623, 'Right': -6.529276, 'right': -6.71498, ' ': -9.386546}
{' Left': -0.18405499, ' left': -1.7974677, 'Left': -6.5232825, 'left': -7.15915, ' ': -9.8635}
{' Right': -0.048344515, ' right': -3.2606857, 'Right': -5.0075135, 'right': -6.561486, ' Left': -7.8932357}
{' Left': -0.16191077, ' left': -1.9589878, 'Left': -5.1575503, 'left': -5.948428, ' ': -9.509962}
{' Right': -0.120346665, ' right': -2.266669, 'Right': -5.2102513, 'right': -5.5289288, ' ': -8.769399}
{' Left': -0.12777375, ' left': -2.2087846, 'Left': -4.9941907, 'left': -5.8014045, ' Right': -8.741217}
{' Right': -0.053335883, ' right': -3.1915574, 'Right': -4.856484, 'right': -6.326054, ' Left': -7.4057846}
{' Left': -0.20772238, ' left': -1.7379614, 'Left': -4.8765187, 'left': -5.567824, ' ': -8.890141}
{' Right': -0.10809446, ' right': -2.420913, 'Right': -4.8468275, 'right': -5.3000097, ' ': -8.11273}
{' Left': -0.14860941, ' left': -2.072693, 'Left': -4.815439, 'left': -5.6255317, ' Right': -8.247303}
{' Right': -0.21020518, ' right': -1.7281305, 'Right': -4.8658657, 'right': -5.7451134, ' ': -8.013815}
{' Left': -0.5779512, ' left': -0.8462313, 'Left': -5.205002, 'left': -5.500427, ' ': -8.761534}
{' Right': -0.6703602, ' right': -0.7456052, 'right': -4.816209, 'Right': -5.2404113, ' ': -8.067638}
{' Left': -0.5358973, ' left': -0.9118073, 'Left': -5.0117993, 'left': -5.263665, ' Right': -7.636777}
{' Right': -0.0649129, ' right': -3.0600166, 'Right': -4.428261, 'right': -6.094482, ' Left': -7.266199}
{' Left': -0.20724972, ' left': -1.77703, 'Left': -4.367732, 'left': -5.296004, ' ': -8.479913}
{' Right': -0.1564186, ' right': -2.1186492, 'Right': -4.3581567, 'right': -4.977494, ' Left': -5.884366}
{' Left': -0.21389386, ' left': -1.7406768, 'Left': -4.5204678, 'left': -5.2642474, ' Right': -7.6685443}
{' Right': -0.03668584, ' right': -3.5468345, 'Right': -5.2592616, 'right': -6.83653, ' Left': -7.6724944}
{' Left': -0.08831049, ' left': -2.54974, 'Left': -5.3491135, 'left': -6.5079365, ' ': -9.233214}
{' Right': -0.061307438, ' right': -2.9409862, 'Right': -5.38593, 'right': -6.3568664, ' ': -8.621404}
{' Left': -0.08636085, ' left': -2.6145208, 'Left': -4.9637446, 'left': -6.117194, ' ': -8.829563}
{' Right': -0.10999127, ' right': -2.3843863, ' Left': -4.8631916, 'Right': -6.372753, ' left': -6.657482}
{' Left': -0.2668032, ' left': -1.7306341, ' Right': -3.0815384, ' right': -4.774417, 'left': -6.8818254}
{' Left': -0.50153875, ' Right': -1.6208416, ' left': -1.9089619, ' right': -3.0882218, 'left': -7.194354}
{' Right': -0.17250687, ' right': -2.1570232, ' Left': -3.4223561, ' left': -4.856707, 'Right': -6.793143}
{' Right': -0.0625662, ' right': -3.5893567, ' Left': -3.646951, 'Right': -5.5345664, ' left': -6.3989363}
{' Left': -0.07577917, ' left': -2.6887953, 'Left': -5.839056, 'left': -6.748441, ' Right': -7.1041675}
{' Left': -0.10141074, ' left': -2.534421, ' Right': -4.4010286, 'Left': -5.991999, 'left': -6.615687}
{' Right': -0.3220057, ' Left': -1.5940603, ' right': -3.161256, ' left': -3.7535603, 'Right': -5.710666}
{' Left': -0.32777113, ' Right': -1.6054162, ' left': -2.8418224, ' right': -4.314351, 'Left': -5.840564}
{' Left': -0.4217793, ' Right': -1.4023625, ' left': -2.619762, ' right': -3.988378, 'Left': -6.027013}
{' Left': -0.16467297, ' left': -2.182806, ' Right': -3.4940758, 'Left': -5.731249, ' right': -5.7821536}
{' Right': -0.29753885, ' Left': -1.9913942, ' right': -2.4355679, ' left': -3.7297094, 'Right': -5.345321}
{' Right': -0.25929433, ' right': -1.5947893, ' Left': -4.3124557, ' left': -5.3190093, 'Right': -5.5137787}
{' Left': -0.35255295, ' left': -1.3007169, ' Right': -4.274836, ' right': -5.3004975, 'Left': -5.8480897}
{' Left': -0.36998495, ' left': -1.2260735, ' Right': -4.903165, ' right': -5.770833, 'Left': -5.9937696}
{' Right': -0.31185633, ' right': -1.4378368, ' Left': -4.1217546, ' left': -4.858117, 'Right': -5.711768}
{' Left': -0.75548023, ' Right': -0.8826508, ' left': -2.7436872, ' right': -3.222607, 'Right': -5.3665237}
{' Left': -0.17223501, ' left': -2.2052703, ' Right': -3.3299937, 'Left': -5.162542, ' right': -5.625116}
{' Left': -0.17740776, ' left': -1.954742, ' Right': -4.5686183, 'Left': -5.0639205, 'left': -6.1755366}
{' Left': -0.42527157, ' left': -1.7681288, ' Right': -1.9876665, ' right': -3.6203394, 'Left': -5.242826}
{' Right': -0.06784769, ' Left': -3.5316002, ' right': -3.5460577, 'Right': -5.509883, ' left': -6.3938017}
{' Left': -0.0622061, ' left': -2.917581, ' Right': -5.9856396, 'Left': -6.032974, 'left': -6.8814783}
{' Left': -0.07060584, ' left': -2.776754, 'Left': -5.9497476, ' Right': -6.344823, 'left': -6.6539984}
{' Right': -0.091962256, ' right': -2.9013894, ' Left': -3.7676651, 'Right': -5.413381, ' left': -5.981904}
{' Right': -0.2625706, ' right': -1.4751331, 'Right': -6.770032, 'right': -7.0633035, ' ': -9.479562}
{' Left': -0.19419196, ' left': -1.7447023, 'Left': -6.706095, 'left': -7.653914, '\n': -10.16651}
{' Right': -0.18913543, ' right': -1.7693509, 'Right': -6.902294, 'right': -7.5355134, ' ': -9.180067}
{' Left': -0.24960722, ' left': -1.5200578, 'Left': -6.541322, 'left': -7.3018584, ' ': -10.01471}
{' Right': -0.15737027, ' right': -1.9671906, 'Right': -5.6425424, 'right': -6.2672615, ' ': -8.54409}
{' Left': -0.12114255, ' left': -2.2318966, 'Left': -5.27295, 'left': -6.4874997, ' ': -9.49813}
{' Right': -0.10918467, ' right': -2.5049272, ' Left': -4.34355, ' left': -5.6893687, 'Right': -5.7335916}
{' Left': -0.15442109, ' left': -1.9851112, 'Left': -5.5490265, 'left': -6.3592033, ' ': -9.5117035}
{' Right': -0.11113918, ' right': -2.3239248, 'Right': -5.357443, 'right': -6.1824503, ' ': -8.078748}
{' Left': -0.09903127, ' left': -2.4404294, 'Left': -5.202377, 'left': -6.541164, ' ': -8.932895}
{' Right': -0.07039228, ' right': -2.7888865, 'Right': -5.6193743, 'right': -6.7836065, ' Left': -7.051189}
{' Left': -0.18971217, ' left': -1.7942312, 'Left': -5.4668593, 'left': -6.149202, ' ': -9.020875}
{' Right': -0.4754577, ' right': -0.996202, 'Right': -5.3551326, 'right': -5.5680895, ' ': -8.007354}
{' Left': -0.43594074, ' left': -1.0659666, 'Left': -5.12465, 'left': -5.9169683, ' ': -8.772401}
{' Right': -0.43243283, ' right': -1.0784556, 'Right': -5.547756, 'right': -5.8252606, ' left': -6.4487176}
{' Left': -0.6579729, ' left': -0.7462831, 'Left': -5.429175, 'left': -5.722704, ' ': -8.680288}
{' Right': -0.12478465, ' right': -2.246691, 'Right': -4.771967, 'right': -6.1381917, ' ': -7.4716086}
{' Left': -0.14050625, ' left': -2.1644776, 'Left': -4.2955008, 'left': -6.0809126, ' ': -8.431716}
{' Right': -0.13885108, ' right': -2.4646587, ' Left': -3.6096344, ' left': -4.9468117, 'Right': -5.054161}
{' Left': -0.18379256, ' left': -1.8580402, 'Left': -4.7214684, 'left': -5.919233, ' ': -8.445202}
{' Right': -0.058364145, ' right': -2.973199, 'Right': -5.598544, 'right': -6.7710376, ' ': -7.867312}
{' Left': -0.06865999, ' left': -2.8172467, 'Left': -5.2472296, 'left': -6.83301, ' ': -8.894994}
{' Right': -0.05072656, ' right': -3.2209098, ' Left': -5.5369725, 'Right': -5.769926, 'right': -6.972471}
{' Left': -0.092126876, ' left': -2.484459, 'Left': -5.7369666, 'left': -6.723749, ' ': -8.8569765}
{' Left': -0.48292303, ' left': -0.9675078, 'left': -6.527086, 'Left': -6.94856, ' Right': -8.119954}
{' Right': -0.15089813, ' right': -1.9817713, 'Right': -6.631617, 'right': -7.2819424, '\n': -9.265448}
{' Right': -0.3539392, ' right': -1.403906, ' Left': -3.5872748, ' left': -3.8661995, 'right': -6.5826454}
{' Right': -0.54626966, ' right': -0.88198006, 'right': -5.913447, 'Right': -6.4815226, ' left': -6.760972}
{' Left': -0.22822937, ' left': -1.6223199, 'Left': -5.988094, 'left': -6.062267, ' Right': -6.5333624}
{' Right': -0.072799265, ' right': -2.7390933, 'Right': -5.493894, 'right': -6.7481565, ' Left': -9.152963}
{' Left': -0.37537232, ' left': -1.5401596, ' Right': -2.5730784, ' right': -4.2247815, 'left': -5.6887097}
{' Right': -0.20089419, ' right': -1.7487113, 'Right': -5.5194573, 'right': -5.7903733, ' Left': -7.622963}
{' Left': -0.2139555, ' left': -1.6798844, 'Left': -5.757633, 'left': -6.2280216, ' Right': -7.154402}
{' Right': -0.061638303, ' right': -2.8921168, 'Right': -5.739422, 'right': -7.134331, ' ': -8.92425}
{' Left': -0.2550197, ' left': -1.5963416, ' Right': -4.3450255, 'Left': -5.5465617, 'left': -5.7947745}
{' Right': -0.15876965, ' right': -1.9693508, 'Right': -5.3889637, 'right': -6.0407076, ' ': -8.774505}
{' Left': -0.63448155, ' left': -0.77725995, 'left': -5.6201134, 'Left': -5.9053154, ' Right': -6.1633606}
{' Right': -0.24586922, ' right': -1.557816, 'Right': -5.3780675, 'right': -6.0860944, ' ': -8.504423}
{' Right': -0.45211652, ' right': -1.2670008, ' Left': -3.190518, ' left': -3.4866889, 'Right': -5.414204}
{' Right': -0.54243225, ' right': -0.89837974, 'right': -5.305141, 'Right': -5.4543505, ' Left': -7.0925937}
{' Left': -0.25014824, ' left': -1.5891396, ' Right': -4.8758903, 'Left': -5.271173, 'left': -5.954301}
{' Right': -0.098042384, ' right': -2.476138, 'Right': -4.958783, 'right': -6.53234, ' ': -7.695452}
{' Left': -0.41491267, ' left': -1.119497, 'Left': -4.912029, 'left': -5.279359, ' ': -8.025954}
{' Right': -0.23464252, ' right': -1.617474, 'Right': -4.8728356, 'right': -5.9418187, ' ': -8.13244}
{' Left': -0.04725928, ' left': -3.1579676, 'Left': -6.034653, 'left': -7.1105657, ' Right': -8.143763}
{' Right': -0.019938363, ' right': -4.1551385, 'Right': -5.732806, 'right': -7.635491, ' ': -8.719909}
{' Right': -0.021764237, ' right': -4.076125, 'Right': -5.7264223, 'right': -7.381599, ' Left': -7.9224677}
{' Left': -0.05632934, ' left': -3.147752, ' Right': -4.8379283, 'Left': -5.996705, 'left': -6.963086}
{' Left': -0.1438492, ' left': -2.0260913, 'Left': -6.537995, 'left': -7.556795, ' Right': -9.646872}
{' Right': -0.19857931, ' right': -1.7253758, 'Right': -6.663097, 'right': -7.4447174, ' ': -9.789101}
{' Left': -0.31826156, ' left': -1.3063121, 'Left': -6.910386, 'left': -7.302491, ' ': -9.984714}
{' Right': -0.15865788, ' right': -1.9334115, 'Right': -6.6671886, 'right': -7.6665764, ' RIGHT': -9.011282}
{' Left': -0.10983917, ' left': -2.32499, 'Left': -5.5053678, 'left': -6.53258, ' Right': -7.502665}
{' Right': -0.18188243, ' right': -1.8415027, 'Right': -5.265195, 'right': -6.063995, ' ': -8.953999}
{' Left': -0.23814364, ' left': -1.5830399, 'Left': -5.533048, 'left': -6.0127234, ' ': -9.391801}
{' Right': -0.16620825, ' right': -1.9280434, 'Right': -5.2199974, 'right': -6.3453226, ' RIGHT': -8.297273}
{' Left': -0.12326103, ' left': -2.2178864, 'Left': -5.361281, 'left': -6.339066, ' Right': -7.859829}
{' Right': -0.15214828, ' right': -2.03353, 'Right': -5.030341, 'right': -5.76084, ' ': -8.077982}
{' Left': -0.2544742, ' left': -1.5322546, 'Left': -5.290208, 'left': -5.721305, ' ': -8.68322}
{' Right': -0.11644431, ' right': -2.295922, 'Right': -5.0363297, 'right': -6.3805776, ' RIGHT': -7.563852}
{' Left': -0.3715968, ' left': -1.2030082, 'Left': -5.4648986, 'left': -6.0363345, ' Right': -6.250266}
{' Right': -0.6380894, ' right': -0.774812, 'Right': -5.227208, 'right': -5.322425, ' ': -8.099708}
{' Left': -0.61112684, ' left': -0.7968644, 'Left': -5.6971345, 'left': -5.871054, '\n': -8.679616}
{' Right': -0.43223044, ' right': -1.0816329, 'Right': -4.9391236, 'right': -5.574776, ' ': -7.970704}
{' Left': -0.18248151, ' left': -1.8553845, 'Left': -4.8932548, 'left': -5.9758754, ' ': -8.386673}
{' Right': -0.27550235, ' right': -1.4861537, 'Right': -4.6770563, 'right': -5.4007998, ' ': -7.6661024}
{' Left': -0.26959303, ' left': -1.4900748, 'Left': -4.918568, 'left': -5.7094083, ' ': -8.4288225}
{' Right': -0.16875617, ' right': -1.9653316, 'Right': -4.5065074, 'right': -6.0042114, ' RIGHT': -7.2229}
{' Left': -0.049691923, ' left': -3.1380877, 'Left': -6.013898, ' Right': -6.3302207, 'left': -7.360397}
{' Right': -0.049792033, ' right': -3.1125684, 'Right': -5.7800546, 'right': -7.2540555, ' ': -8.729382}
{' Left': -0.056864657, ' left': -2.9612453, 'Left': -6.0469084, 'left': -7.2085786, ' Right': -8.089109}
{' Right': -0.038352124, ' right': -3.3933477, 'Right': -5.777867, 'right': -7.553859, ' RIGHT': -8.629274}
{' Right': -0.109706536, ' right': -2.294992, 'Right': -6.2366214, 'right': -7.136985, ' ': -9.02868}
{' Left': -0.3010806, ' left': -1.3584385, 'Left': -6.4112735, 'left': -6.7585196, '\n': -9.909609}
{' Right': -0.22252962, ' right': -1.6304618, 'Right': -6.352359, 'right': -6.3537507, ' ': -9.232052}
{' Left': -0.19403657, ' left': -1.7555542, 'Left': -6.1690974, 'left': -6.7466316, '\n': -9.149554}
{' Right': -0.05424376, ' right': -3.1195285, 'Right': -5.07103, 'right': -6.523155, ' Left': -7.559594}
{' Left': -0.17153469, ' left': -1.9053662, 'Left': -5.121665, 'left': -5.880971, ' ': -9.760181}
{' Right': -0.13332953, ' right': -2.1660957, 'Right': -5.23921, 'right': -5.423626, ' Left': -8.448135}
{' Left': -0.13450934, ' left': -2.156209, 'Left': -5.0623465, 'left': -5.7366476, ' Right': -7.881736}
{' Right': -0.058865596, ' right': -3.089921, 'Right': -4.897483, 'right': -6.188523, ' Left': -6.624644}
{' Left': -0.14312467, ' left': -2.092307, 'Left': -5.02855, 'left': -5.7535214, ' ': -9.332053}
{' Right': -0.12218891, ' right': -2.3366091, 'Right': -4.8094063, 'right': -5.161909, ' Left': -5.7586613}
{' Left': -0.1522687, ' left': -2.0542805, 'Left': -4.900052, 'left': -5.5587068, ' Right': -6.647199}
{' Right': -0.25910717, ' right': -1.5348716, 'Right': -4.8617015, 'right': -5.5229316, ' ': -7.993612}
{' Left': -0.5800657, ' left': -0.8447237, 'Left': -5.1812067, 'left': -5.4227304, ' ': -8.720369}
{' right': -0.69047356, ' Right': -0.7278442, 'right': -4.667873, 'Right': -5.1838603, ' ': -7.990082}
{' Left': -0.5332277, ' left': -0.92083144, 'Left': -5.0930133, 'left': -5.217571, ' Right': -6.33518}
{' Right': -0.062039606, ' right': -3.123065, 'Right': -4.5311923, 'right': -6.0969, ' Left': -6.418647}
{' Left': -0.21181467, ' left': -1.74991, 'Left': -4.473139, 'left': -5.249479, ' ': -8.387737}
{' Right': -0.14176908, ' right': -2.2196424, 'Right': -4.448219, 'right': -5.0279098, ' Left': -5.729581}
{' Left': -0.19870095, ' left': -1.8188087, 'Left': -4.5057974, 'left': -5.260545, ' Right': -7.0235653}
{' Right': -0.04763634, ' right': -3.266123, 'Right': -5.1703186, 'right': -6.502106, ' Left': -7.3978333}
{' Left': -0.10327836, ' left': -2.402894, 'Left': -5.206113, 'left': -6.215329, ' ': -9.193444}
{' Right': -0.07125036, ' right': -2.7928154, 'Right': -5.2789965, 'right': -6.1852694, ' ': -8.584821}
{' Left': -0.08493825, ' left': -2.6319792, 'Left': -4.973788, 'left': -6.123972, ' ': -8.899528}
{' Right': -0.32519758, ' right': -1.2897743, 'Right': -6.8364544, 'right': -6.910099, ' ': -9.374707}
{' Left': -0.25405177, ' left': -1.5038342, 'Left': -6.6317444, 'left': -7.3402047, '\n': -9.973386}
{' Right': -0.28154284, ' right': -1.4150515, 'Right': -6.7815995, 'right': -7.09258, ' Left': -8.821715}
{' Left': -0.33313268, ' left': -1.2688189, 'Left': -6.650874, 'left': -7.1604624, ' ': -9.801545}
{' Right': -0.1684241, ' right': -1.9092708, 'Right': -5.4892225, 'right': -6.036109, ' ': -8.655055}
{' Left': -0.12387241, ' left': -2.2143056, 'Left': -5.204576, 'left': -6.382793, ' ': -9.755874}
{' Right': -0.113340095, ' right': -2.4274328, ' Left': -4.538488, 'Right': -5.707294, ' left': -5.8673325}
{' Left': -0.17240156, ' left': -1.8815804, 'Left': -5.507965, 'left': -6.2839813, ' ': -9.670929}
{' Right': -0.15092413, ' right': -2.0245204, 'Right': -5.378673, 'right': -5.875848, ' ': -7.930135}
{' Left': -0.14418119, ' left': -2.0720644, 'Left': -5.120852, 'left': -6.16244, ' ': -8.744259}
{' Right': -0.081213996, ' right': -2.7322702, ' Left': -5.177459, 'Right': -5.564961, 'right': -6.510522}
{' Left': -0.16320987, ' left': -1.9435445, 'Left': -5.2919593, 'left': -6.1172047, ' ': -9.30439}
{' Right': -0.4112792, ' right': -1.1133304, 'Right': -5.3941226, 'right': -5.587056, ' ': -8.310434}
{' Left': -0.44254923, ' left': -1.0528588, 'Left': -5.2131925, 'left': -5.8437023, ' ': -8.762293}
{' Right': -0.5037249, ' right': -0.9572466, 'Right': -5.5037003, 'right': -5.612708, ' left': -6.365163}
{' Left': -0.6852874, ' left': -0.7175463, 'Left': -5.4453487, 'left': -5.648763, ' ': -8.804562}
{' Right': -0.15934058, ' right': -1.9974179, 'Right': -4.834952, 'right': -5.912472, ' ': -7.4752393}
{' Left': -0.15784052, ' left': -2.0262754, 'Left': -4.4720054, 'left': -6.008035, ' ': -8.569317}
{' Right': -0.12581564, ' right': -2.943921, ' Left': -3.0476713, ' left': -4.928212, 'Right': -4.9666777}
{' Left': -0.20042117, ' left': -1.7804536, 'Left': -4.657759, 'left': -5.7328076, ' ': -8.492603}
{' Right': -0.10201281, ' right': -2.4172156, 'Right': -5.371765, 'right': -6.126421, ' ': -7.648037}
{' Left': -0.09708187, ' left': -2.4619784, 'Left': -5.21812, 'left': -6.497791, ' ': -8.61813}
{' Right': -0.119888276, ' right': -2.7972603, ' Left': -3.2977598, ' left': -4.96418, 'Right': -5.5130305}
{' Left': -0.13885587, ' left': -2.0884523, 'Left': -5.5858827, 'left': -6.3383164, ' ': -8.698479}
{' Left': -0.63482785, ' left': -0.77846265, ' Right': -5.3052554, ' right': -6.0609865, 'left': -6.1066937}
{' Right': -0.2176619, ' right': -1.6479272, 'Right': -6.371033, 'right': -6.7877736, '\n': -9.139882}
{' left': -0.6932334, ' Left': -0.98207664, ' Right': -2.7545052, ' right': -2.8926122, 'left': -5.88195}
{' Right': -0.56218237, ' right': -0.85595787, 'right': -5.8288846, 'Right': -6.3051877, ' ': -9.004408}
