{' Yes': -0.0029946903, ' No': -6.6307826, 'Yes': -6.8748684, ' The': -7.6930256, ' yes': -9.08091}
{' Yes': -0.0633915, ' No': -2.9277406, 'Yes': -5.054372, 'No': -6.9920697, '\n': -8.387332}
{' No': -0.019719368, 'No': -4.017947, ' Yes': -6.617744, ' ': -9.754537, ' The': -10.037677}
{' Yes': -0.19942634, ' No': -1.7455117, 'Yes': -5.769569, 'No': -6.7615047, ' The': -6.862027}
{' Yes': -0.010169562, 'Yes': -5.0793962, ' No': -5.7606516, ' yes': -8.005246, ' The': -8.825433}
{' Yes': -0.48672426, ' No': -0.97297615, 'Yes': -5.8640165, 'No': -5.984699, ' The': -7.199708}
{' Yes': -0.0108027905, 'Yes': -4.87174, ' No': -6.0016317, '\n': -8.492293, ' yes': -8.65166}
{' Yes': -0.022186592, ' No': -4.02372, 'Yes': -5.8596745, ' The': -7.24831, ' yes': -8.336397}
{' Yes': -0.013872953, ' No': -4.685696, 'Yes': -5.5148764, ' The': -8.5153675, ' yes': -9.175604}
{' Yes': -0.5500067, ' No': -0.8809698, 'No': -5.611799, 'Yes': -5.8355575, '\n': -7.1468616}
{' No': -0.04734008, ' Yes': -3.199306, 'No': -5.384008, ' The': -7.9725704, 'Yes': -8.775636}
{' No': -0.09369163, ' Yes': -2.562926, 'No': -4.5204515, 'Yes': -7.478497, ' The': -7.7706723}
{' Yes': -0.14060551, ' No': -2.1015105, 'Yes': -5.29516, 'No': -6.397498, ' The': -7.273532}
{' Yes': -0.3294786, ' No': -1.3216603, 'No': -5.0654497, 'Yes': -5.079669, ' The': -7.3040805}
{' Yes': -0.33877563, ' No': -1.2755355, 'Yes': -5.379881, 'No': -5.994192, ' Not': -7.7245197}
{' No': -0.098920524, ' Yes': -2.4454267, 'No': -5.1559787, ' The': -7.196946, 'Yes': -8.023696}
{' Yes': -0.006304471, 'Yes': -5.109345, ' yes': -9.180224, ' No': -9.843928, '\n': -10.45418}
{' Yes': -0.010677054, 'Yes': -5.177736, ' No': -5.3925147, ' yes': -8.7776575, '\n': -9.2649145}
{' Yes': -0.00642912, 'Yes': -5.291759, ' No': -6.927461, ' The': -9.1137, '\n': -9.134093}
{' Yes': -0.0270737, ' No': -3.8151786, 'Yes': -5.552553, 'No': -8.486921, ' The': -8.545747}
{' No': -0.03689368, 'No': -3.7093577, ' Yes': -4.61787, ' The': -7.076371, ' Not': -7.784684}
{' No': -0.027595293, 'No': -3.8096845, ' Yes': -5.5798144, '\n': -7.300525, ' The': -8.217405}
{' No': -0.017669203, 'No': -4.1472445, ' Yes': -6.9889917, '\n': -7.6516047, ' ': -9.02106}
{' Yes': -0.19530469, ' No': -1.8269212, 'Yes': -4.414413, 'No': -5.7585945, ' The': -7.381376}
{' Yes': -0.005862683, 'Yes': -5.326659, ' No': -7.4622273, ' yes': -8.41912, ' The': -9.063972}
{' Yes': -0.1096496, ' No': -2.381218, 'Yes': -5.105198, 'No': -6.4596324, ' The': -6.586138}
{' No': -0.6969068, ' Yes': -0.7166879, 'No': -5.089391, 'Yes': -5.8827925, ' The': -6.0385165}
{' No': -0.1680991, ' Yes': -1.9696412, 'No': -4.384581, 'Yes': -6.659489, ' The': -7.327288}
{' Yes': -0.5676682, ' No': -0.876939, 'No': -4.7792616, 'Yes': -5.001729, ' The': -7.136739}
{' No': -0.70327896, ' Yes': -0.7108321, 'No': -5.1367984, 'Yes': -5.56392, ' The': -5.7763705}
{' No': -0.06011856, 'No': -3.4818752, ' Yes': -3.923846, '\n': -5.317626, ' "': -6.6961846}
{' No': -0.06371264, ' Yes': -3.315902, 'No': -3.7552578, 'Yes': -7.429166, ' The': -7.5247602}
{' No': -0.4056556, ' Yes': -1.201226, 'No': -4.1106668, '\n': -4.953009, 'Yes': -5.315043}
{' No': -0.13457352, ' Yes': -2.2557683, 'No': -4.200537, '\n': -6.250298, ' The': -6.4929357}
{' Yes': -0.04372989, ' No': -3.2762604, 'Yes': -5.4332027, 'No': -7.978042, ' The': -9.163694}
{' No': -0.70633405, ' Yes': -0.7202367, 'No': -4.410113, 'Yes': -5.0038915, ' The': -7.8672795}
{' No': -0.15717663, ' Yes': -1.9657055, 'No': -5.456638, 'Yes': -7.466447, ' The': -8.879065}
{' No': -0.07566434, ' Yes': -2.7838552, 'No': -4.640693, '\n': -7.8259373, ' The': -7.832346}
{' Yes': -0.005808005, 'Yes': -5.464281, ' No': -7.7133617, ' yes': -7.87212, '\n': -8.13101}
{' Yes': -0.010575186, 'Yes': -5.143458, ' No': -5.519812, '\n': -8.677453, ' The': -8.765291}
{' Yes': -0.2212603, ' No': -1.6455365, 'Yes': -5.6202774, 'No': -6.4970207, ' yes': -8.668348}
{' No': -0.09475675, ' Yes': -2.532543, 'No': -4.630628, 'Yes': -7.5180144, ' The': -8.312432}
{' Yes': -0.028732777, ' No': -3.9869845, 'Yes': -4.717774, 'No': -7.86673, '\n': -8.5207}
{' Yes': -0.043542042, ' No': -3.5232017, 'Yes': -4.4418325, 'No': -7.114152, ' yes': -8.569978}
{' No': -0.101843454, ' Yes': -2.4019055, 'No': -5.192267, 'Yes': -8.041925, ' The': -8.812164}
{' No': -0.16812669, ' Yes': -1.9535365, 'No': -4.4812503, 'Yes': -6.9697504, ' The': -8.107429}
{' No': -0.094792865, ' Yes': -2.7722888, 'No': -3.7682047, '\n': -6.2942767, ' The': -6.6695585}
{' No': -0.05273979, ' Yes': -3.1330888, 'No': -4.986065, ' The': -7.6963797, 'Yes': -8.157653}
{' No': -0.16320264, ' Yes': -2.0368292, 'No': -4.439514, '\n': -5.6129074, ' The': -6.259647}
{' No': -0.24774858, ' Yes': -1.5743667, 'No': -4.9670653, ' The': -6.1002927, 'Yes': -6.2986746}
{' Yes': -0.33671722, ' No': -1.2956864, 'Yes': -5.330583, 'No': -5.611255, ' The': -5.997649}
{' Yes': -0.5696354, ' No': -0.88165665, 'No': -4.9187617, 'Yes': -5.2144794, '\n': -5.480678}
{' Yes': -0.009741594, 'Yes': -4.7282414, ' No': -7.445914, ' yes': -9.046743, '\n': -9.799797}
{' No': -0.27364296, ' Yes': -1.5005144, 'No': -4.505138, 'Yes': -6.2720695, '\n': -6.357848}
{' Yes': -0.02533654, ' No': -4.4017596, 'Yes': -4.433854, '\n': -8.037448, 'No': -8.059381}
{' No': -0.12837942, ' Yes': -2.232225, 'No': -4.4544935, 'Yes': -7.3122554, ' The': -8.011442}
{' No': -0.57099175, ' Yes': -0.8591349, 'No': -4.884405, 'Yes': -5.758848, '\n': -8.201199}
{' Yes': -0.17318833, ' No': -1.9082671, 'Yes': -4.93855, 'No': -5.9738116, ' The': -7.919341}
{' Yes': -0.05479257, ' No': -3.0785885, 'Yes': -5.115616, 'No': -7.18028, ' The': -8.374429}
{' Yes': -0.021263145, ' No': -4.3244934, 'Yes': -4.9729114, ' The': -8.152376, 'No': -8.350537}
{' No': -0.03619149, ' Yes': -3.7056003, 'No': -4.692575, '\n': -7.135697, ' The': -7.8495927}
{' No': -0.029514885, 'No': -3.7689135, ' Yes': -5.300753, '\n': -7.661766, ' Not': -8.640385}
{' No': -0.028236033, 'No': -3.78836, ' Yes': -5.3453, '\n': -8.86645, ' The': -9.331016}
{' No': -0.03578393, 'No': -3.3690147, ' Yes': -7.8177834, '\n': -9.113182, ' ': -9.60751}
{' Yes': -0.016280046, 'Yes': -4.838366, ' No': -5.05024, '\n': -6.9292836, ' yes': -7.779538}
{' Yes': -0.022544138, ' No': -4.2109747, 'Yes': -5.1328745, '\n': -7.3905005, ' yes': -8.186084}
{' Yes': -0.11236284, ' No': -2.3711672, 'Yes': -4.573592, 'No': -6.262299, '\n': -8.480275}
{' Yes': -0.035093322, ' No': -3.8741567, 'Yes': -4.49415, ' The': -7.1421185, '\n': -7.219269}
{' No': -0.011393682, 'No': -4.9270163, ' Yes': -5.6387815, '\n': -8.160424, ' ': -9.423223}
{' No': -0.01563909, 'No': -4.4455476, ' Yes': -5.844546, '\n': -7.6348023, ' ': -8.358259}
{' No': -0.20122221, ' Yes': -1.7779148, 'No': -4.499903, 'Yes': -6.544139, ' The': -8.175557}
{' No': -0.077270225, ' Yes': -2.8297212, 'No': -4.2659087, 'Yes': -7.49538, ' The': -8.184784}
{' No': -0.013127434, 'No': -5.0817575, ' Yes': -5.0952444, '\n': -8.418837, ' The': -8.69724}
{' No': -0.01638819, 'No': -4.137062, ' Yes': -9.311351, '\n': -9.685772, ' The': -9.827121}
{' Yes': -0.17002529, ' No': -1.891911, 'Yes': -5.708693, 'No': -6.5863934, ' The': -7.9852123}
{' No': -0.49709105, ' Yes': -0.9836042, 'No': -4.3300204, 'Yes': -5.5016074, ' The': -8.769801}
{' No': -0.6534788, ' Yes': -0.7585509, 'No': -4.9759502, 'Yes': -5.725286, ' Not': -7.853288}
{' Yes': -0.20165624, ' No': -1.748121, 'Yes': -5.143661, 'No': -6.1171737, ' The': -8.436118}
{' No': -0.08698792, ' Yes': -2.6364493, 'No': -4.6723967, '\n': -6.9586577, ' The': -7.790363}
{' No': -0.04017807, 'No': -3.6644611, ' Yes': -4.462003, '\n': -6.731223, ' ': -8.187825}
{' No': -0.03553599, ' Yes': -3.983345, 'No': -4.1618347, 'Yes': -8.804737, ' Not': -8.875329}
{' No': -0.20979273, ' Yes': -1.7134262, 'No': -4.934842, 'Yes': -7.1015215, '\n': -7.942733}
{' No': -0.06522002, ' Yes': -3.1591702, 'No': -3.9374905, 'Yes': -7.595129, '\n': -8.312199}
{' No': -0.07369647, ' Yes': -2.799847, 'No': -4.708685, ' The': -7.639183, 'Yes': -7.8046994}
{' No': -0.10959572, ' Yes': -2.383659, 'No': -4.6601024, 'Yes': -7.1188745, ' The': -7.1485987}
{' No': -0.053900115, ' Yes': -3.1009712, 'No': -5.0388527, ' The': -7.4860663, 'Yes': -8.265244}
{' No': -0.03127849, 'No': -3.7645774, ' Yes': -5.061498, '\n': -7.4808517, ' The': -8.26809}
{' No': -0.054348163, ' Yes': -3.3511996, 'No': -4.093733, 'Yes': -7.961588, '\n': -8.240593}
{' No': -0.0304807, ' Yes': -4.0696917, 'No': -4.4633303, ' The': -7.4062295, '\n': -7.958264}
{' No': -0.023615343, 'No': -3.9559119, ' Yes': -5.866628, '\n': -7.1533084, ' The': -8.32942}
{' No': -0.030793272, 'No': -3.6865814, ' Yes': -5.4371877, '\n': -7.8364496, ' The': -8.1326}
{' No': -0.018998027, 'No': -4.212338, ' Yes': -5.68125, ' The': -8.1928005, '\n': -8.9939}
{' No': -0.049013358, ' Yes': -3.6265147, 'No': -3.9845352, '\n': -6.4325047, ' ': -7.8875237}
{' No': -0.2282275, ' Yes': -1.6400276, 'No': -4.8894134, ' The': -6.8079276, 'Yes': -7.001913}
{' No': -0.029614892, ' Yes': -4.2771487, 'No': -4.35201, '\n': -6.627534, ' The': -7.6277475}
{' No': -0.029514086, 'No': -3.6008105, ' Yes': -6.8744025, '\n': -7.906999, ' The': -8.92466}
{' No': -0.10955117, ' Yes': -2.385224, 'No': -4.720223, ' The': -6.618147, 'Yes': -6.964812}
{' No': -0.05230376, ' Yes': -3.1515448, 'No': -5.035929, ' The': -6.894251, '\n': -8.283443}
{' No': -0.32609248, ' Yes': -1.3445957, 'No': -4.45192, '\n': -6.014645, 'Yes': -6.02936}
{' Yes': -0.52513665, ' No': -0.973005, 'No': -4.2265677, 'Yes': -4.6473346, '\n': -5.4588885}
{' No': -0.06062558, ' Yes': -3.1445696, 'No': -4.1934013, 'Yes': -7.778664, '\n': -9.501257}
{' No': -0.051052067, ' Yes': -3.0971332, 'No': -5.4813766, 'Yes': -8.883888, ' The': -9.131445}
{' Yes': -0.016491687, ' No': -4.5966935, 'Yes': -5.16985, ' yes': -8.419355, 'No': -8.911816}
{' No': -0.4615155, ' Yes': -1.0717678, 'No': -3.9921396, 'Yes': -5.3377876, '\n': -6.2247047}
{' Yes': -0.06393138, ' No': -2.942271, 'Yes': -5.188868, ' The': -6.852831, '\n': -7.255017}
{' Yes': -0.14379318, ' No': -2.1136303, 'Yes': -4.871626, 'No': -6.223756, '\n': -6.613853}
{' Yes': -0.023130776, 'Yes': -4.356581, ' No': -4.663647, 'No': -8.040764, ' yes': -9.166414}
{' Yes': -0.16442218, ' No': -1.9381438, 'Yes': -5.3494024, 'No': -6.2504334, ' The': -7.876539}
{' No': -0.24948734, ' Yes': -1.5738416, 'No': -4.518263, 'Yes': -6.2653465, ' The': -8.3676605}
{' Yes': -0.06630906, ' No': -2.8856983, 'Yes': -5.075863, 'No': -7.280842, '\n': -7.4142356}
{' Yes': -0.10396065, ' No': -2.4004807, 'Yes': -5.0574765, 'No': -6.6271486, ' yes': -9.086978}
{' No': -0.6763966, ' Yes': -0.76583976, 'No': -4.101342, 'Yes': -4.6895266, '\n': -7.940036}
{' No': -0.18050896, ' Yes': -1.8434213, 'No': -5.3347273, 'Yes': -7.3255377, ' The': -7.474019}
{' No': -0.013646036, 'No': -4.519271, ' Yes': -6.3240137, '\n': -7.7813444, ' The': -8.873033}
{' No': -0.054906223, ' Yes': -3.25723, 'No': -4.31248, '\n': -7.452189, 'Yes': -7.956349}
{' No': -0.39224768, ' Yes': -1.1490436, 'No': -5.346906, 'Yes': -6.4004545, ' The': -7.3929014}
{' Yes': -0.075199574, ' No': -2.8158877, 'Yes': -4.605883, 'No': -6.7073884, ' The': -7.7115993}
{' Yes': -0.028814552, ' No': -3.871018, 'Yes': -5.080948, '\n': -7.5637417, 'No': -8.182617}
{' No': -0.2540471, ' Yes': -1.570833, 'No': -4.3109717, 'Yes': -6.2308283, '\n': -7.6839747}
{' Yes': -0.020010965, ' No': -4.335683, 'Yes': -5.1742754, ' The': -7.48288, 'No': -8.502898}
{' No': -0.012797564, 'No': -4.424159, ' Yes': -7.6713796, ' The': -8.798601, '\n': -10.259364}
{' No': -0.021958089, 'No': -4.221766, ' Yes': -5.142073, '\n': -7.3827267, ' The': -8.4184}
{' No': -0.17176042, ' Yes': -1.9224547, 'No': -4.601145, 'Yes': -7.09691, ' The': -7.9710536}
{' No': -0.023546567, 'No': -3.832369, ' Yes': -6.817922, ' The': -8.523382, '\n': -8.8114605}
{' Yes': -0.014780403, 'Yes': -4.7128754, ' No': -5.2452054, 'No': -8.684021, ' yes': -9.495182}
{' Yes': -0.047927875, ' No': -3.228508, 'Yes': -5.0695915, 'No': -7.3273773, ' yes': -9.167984}
{' No': -0.0768481, ' Yes': -3.0558934, 'No': -3.68352, 'Yes': -7.285716, '\n': -7.92241}
{' Yes': -0.15211283, ' No': -2.0382478, 'Yes': -4.8358955, 'No': -6.0887237, ' The': -8.351003}
{' No': -0.2292883, ' Yes': -1.6346437, 'No': -4.917452, 'Yes': -6.8113537, '\n': -7.6431446}
{' Yes': -0.6064139, ' No': -0.8125946, 'No': -5.2381163, 'Yes': -5.3737726, ' The': -7.7323923}
{' No': -0.059436496, ' Yes': -3.0452383, 'No': -4.7271094, '\n': -7.425033, 'Yes': -8.030957}
{' No': -0.071527414, ' Yes': -3.344513, 'No': -3.435533, 'Yes': -7.2612996, '\n': -7.7503824}
{' No': -0.00936266, 'No': -4.8919616, ' Yes': -6.502764, ' The': -8.996774, '\n': -9.754121}
{' No': -0.010104173, 'No': -4.9979367, ' Yes': -5.8350797, '\n': -8.972003, ' The': -9.185599}
{' No': -0.07980259, 'No': -3.0793197, ' Yes': -3.6168163, '\n': -6.41986, 'Yes': -7.140599}
{' No': -0.17658181, ' Yes': -1.9472116, 'No': -4.1784754, 'Yes': -6.439313, '\n': -6.735069}
{' Yes': -0.35531268, ' No': -1.2477134, 'No': -5.397854, 'Yes': -5.6020675, '\n': -6.1524568}
{' No': -0.16473089, ' Yes': -1.9689645, 'No': -4.5303273, 'Yes': -7.3186626, ' The': -8.0396385}
{' Yes': -0.05357664, ' No': -3.0459564, 'Yes': -5.580685, 'No': -8.272859, ' The': -8.696809}
{' No': -0.04091778, ' Yes': -3.5836139, 'No': -4.576453, '\n': -7.530128, ' The': -7.6693163}
{' No': -0.1487303, ' Yes': -2.084691, 'No': -4.5761843, ' The': -6.646828, 'Yes': -6.9086804}
{' No': -0.12632823, ' Yes': -2.2196128, 'No': -4.825537, 'Yes': -7.313397, '\n': -7.3609376}
{' No': -0.6487436, ' Yes': -0.77007204, 'No': -4.683114, 'Yes': -5.6181803, ' The': -7.353907}
{' Yes': -0.51799554, ' No': -0.9331605, 'No': -5.2414737, 'Yes': -5.341533, '\n': -7.9648585}
{' Yes': -0.19661026, ' No': -1.7552992, 'Yes': -5.748944, 'No': -6.7047033, ' The': -7.1853395}
{' No': -0.49160916, ' Yes': -0.9937701, 'No': -4.465368, 'Yes': -5.472152, ' The': -6.7542415}
{' No': -0.030135846, 'No': -4.1311336, ' Yes': -4.547603, '\n': -6.1471705, ' The': -7.871003}
{' No': -0.027382517, ' Yes': -4.1807218, 'No': -4.48642, ' The': -8.874161, 'Yes': -8.988636}
{' No': -0.018190892, 'No': -4.349787, ' Yes': -5.4085827, ' The': -8.106829, '\n': -8.771107}
{' No': -0.016747063, 'No': -4.2738957, ' Yes': -6.155503, ' The': -8.336962, '\n': -8.659903}
{' No': -0.03529793, 'No': -3.5030024, ' Yes': -5.5738263, '\n': -7.818367, ' ': -8.990788}
{' No': -0.040059198, 'No': -3.5465157, ' Yes': -4.6710577, '\n': -7.7085576, ' The': -8.473685}
{' No': -0.023514653, 'No': -3.783414, ' Not': -8.840052, ' The': -9.211824, '\n': -9.524029}
{' No': -0.10030411, ' Yes': -2.6103177, 'No': -3.881241, 'Yes': -7.0213904, ' The': -8.635525}
{' No': -0.17646833, ' Yes': -1.8777051, 'No': -5.003304, 'Yes': -7.037233, ' The': -7.7605815}
{' No': -0.4224816, ' Yes': -1.1411248, 'No': -3.9535635, 'Yes': -5.2624683, ' The': -7.980457}
{' No': -0.11287263, ' Yes': -2.367561, 'No': -4.4882236, 'Yes': -7.1901813, ' The': -7.717193}
{' No': -0.023604298, ' Yes': -4.320328, 'No': -4.6801023, ' The': -8.641635, ' Not': -8.879317}
{' Yes': -0.012471907, 'Yes': -4.7204127, '\n': -6.46491, ' No': -6.8828325, ' yes': -7.745225}
{' Yes': -0.081537135, ' No': -2.653322, 'Yes': -5.1967998, 'No': -6.7167525, ' The': -7.7494082}
{' Yes': -0.0050946465, ' No': -6.0644646, 'Yes': -6.2328434, ' The': -7.4630218, ' yes': -9.029188}
{' Yes': -0.0073867, ' No': -5.38684, 'Yes': -6.059669, ' yes': -8.689326, ' The': -8.791324}
{' Yes': -0.13355842, ' No': -2.1124, 'Yes': -5.8317294, 'No': -7.2766223, ' The': -8.343767}
{' Yes': -0.04285315, ' No': -3.2716393, 'Yes': -5.647483, 'No': -8.46149, ' The': -9.163492}
{' No': -0.044143446, ' Yes': -3.2509036, 'No': -5.695804, ' The': -7.3892994, '\n': -8.888938}
{' No': -0.03247889, ' Yes': -4.063683, 'No': -4.3035817, ' Not': -7.708531, ' The': -7.786606}
{' No': -0.17090379, ' Yes': -1.9064193, 'No': -5.0115333, ' The': -7.2420535, 'Yes': -7.2752028}
{' No': -0.029075, ' Yes': -3.8941436, 'No': -4.863977, ' The': -8.232911, 'Yes': -9.250751}
{' No': -0.26320475, ' Yes': -1.5106963, 'No': -4.729185, 'Yes': -6.6622753, ' The': -8.2846}
{' No': -0.5266976, ' Yes': -0.9211754, 'No': -4.8118176, 'Yes': -6.1539, ' The': -7.3422775}
{' No': -0.009361939, 'No': -4.7358255, ' Yes': -8.010939, ' The': -9.336523, ' Not': -10.204608}
{' No': -0.08136739, ' Yes': -2.682966, 'No': -4.7378006, 'Yes': -7.651321, ' The': -8.45193}
{' No': -0.5141689, ' Yes': -0.9264177, 'No': -5.6649346, 'Yes': -6.704101, ' The': -6.8810015}
{' No': -0.02410381, ' Yes': -4.136807, 'No': -4.9197507, ' The': -8.261868, '\n': -9.499401}
{' Yes': -0.68854374, ' No': -0.70354694, 'No': -6.574507, 'Yes': -6.9602666, ' The': -8.504082}
{' Yes': -0.09656713, ' No': -2.4188783, 'Yes': -6.147234, 'No': -7.732986, ' The': -8.142788}
{' No': -0.04754858, ' Yes': -3.2952387, 'No': -4.7334137, 'Yes': -8.544809, ' The': -9.038454}
{' No': -0.048103694, ' Yes': -3.4244275, 'No': -4.3381085, ' The': -7.7309704, 'Yes': -8.271175}
{' No': -0.19628888, ' Yes': -1.8246, 'No': -4.202757, 'Yes': -6.7137427, ' The': -7.8982553}
{' No': -0.012812295, 'No': -4.4041753, ' Yes': -7.9861917, ' The': -9.741776, ' ': -10.05724}
{' No': -0.25884238, ' Yes': -1.5253161, 'No': -4.94972, ' The': -6.6761775, 'Yes': -6.93415}
{' No': -0.032510165, 'No': -3.979894, ' Yes': -4.3885093, ' The': -8.31338, ' Not': -8.687995}
{' Yes': -0.003597552, 'Yes': -5.6576695, ' yes': -9.551392, '\n': -11.13382, ' ': -11.88553}
{' Yes': -0.0040818523, 'Yes': -5.522985, ' yes': -9.868978, '\n': -12.00084, ' ': -12.012407}
{' Yes': -0.59537476, ' No': -0.8242968, 'No': -5.3706985, 'Yes': -5.8318706, ' Not': -6.62717}
{' No': -0.052420653, ' Yes': -3.2125518, 'No': -4.613396, ' The': -7.9410233, 'Yes': -8.497134}
{' No': -0.6424725, ' Yes': -0.76001483, 'No': -5.635861, 'Yes': -6.200204, ' The': -7.9041014}
{' Yes': -0.68004906, ' No': -0.726699, 'No': -5.2031927, 'Yes': -5.663052, ' The': -7.468884}
{' No': -0.029186625, ' Yes': -3.7551923, 'No': -5.3363347, ' The': -8.603629, '\n': -8.907171}
{' No': -0.46052164, ' Yes': -1.0168476, 'No': -5.357109, 'Yes': -6.3754554, ' The': -8.025111}
{' No': -0.02366136, 'No': -4.114964, ' Yes': -5.0279775, ' The': -8.151535, ' Not': -9.607661}
{' No': -0.1442747, ' Yes': -2.0892115, 'No': -4.677081, 'Yes': -7.235892, ' The': -8.293376}
{' No': -0.5989899, ' Yes': -0.8110795, 'No': -5.7765794, 'Yes': -6.5195236, ' The': -6.712218}
{' No': -0.023068499, ' Yes': -4.0030203, 'No': -5.4590783, ' The': -9.185088, ' ': -9.832939}
{' No': -0.5946132, ' Yes': -0.82241184, 'No': -5.443507, 'Yes': -5.780673, ' The': -6.8747587}
{' No': -0.06340179, ' Yes': -2.9837506, 'No': -4.612041, 'Yes': -7.569001, ' The': -8.335977}
{' No': -0.13054377, ' Yes': -2.1747386, 'No': -4.938147, ' The': -7.464534, 'Yes': -7.4886556}
{' No': -0.046524253, ' Yes': -3.3373394, 'No': -4.688242, ' The': -8.146289, 'Yes': -8.487928}
{' Yes': -0.11311434, ' No': -2.273244, 'Yes': -5.887643, 'No': -7.4559293, ' The': -7.978678}
{' Yes': -0.20774974, ' No': -1.7186178, 'Yes': -5.2504644, 'No': -6.1009684, ' The': -8.0966425}
{' Yes': -0.003076535, 'Yes': -6.0099998, ' No': -7.547729, ' yes': -9.569231, ' ': -12.200813}
{' Yes': -0.11541169, ' No': -2.257082, 'Yes': -5.745714, 'No': -7.0477047, ' The': -9.134424}
{' No': -0.015707266, ' Yes': -4.7981987, 'No': -4.9610486, ' The': -8.83459, ' Not': -9.724779}
{' Yes': -0.08139539, ' No': -2.5933962, 'Yes': -6.177258, ' The': -7.3351564, 'No': -7.972968}
{' Yes': -0.00828454, ' No': -5.305068, 'Yes': -5.8024845, ' yes': -9.225442, ' The': -9.433592}
{' Yes': -0.3947067, ' No': -1.1358699, 'Yes': -6.235185, 'No': -6.3758388, ' The': -7.2538834}
{' Yes': -0.0051105237, 'Yes': -5.916335, ' No': -6.122372, ' yes': -9.284879, ' The': -9.61349}
{' Yes': -0.0073076827, ' No': -5.3094335, 'Yes': -6.247694, ' The': -8.263086, ' yes': -9.293369}
{' Yes': -0.018165946, ' No': -4.194142, 'Yes': -5.9749126, ' The': -8.720373, 'No': -9.408812}
{' Yes': -0.22581515, ' No': -1.6164918, 'Yes': -6.3944225, 'No': -7.0618896, ' The': -7.3125224}
{' No': -0.09269551, ' Yes': -2.4759982, 'No': -5.6898117, ' The': -7.496765, 'Yes': -8.551556}
{' No': -0.16687907, ' Yes': -1.9081587, 'No': -5.449512, ' The': -7.7087393, 'Yes': -7.732945}
{' Yes': -0.08718002, ' No': -2.5187347, 'Yes': -6.263209, 'No': -7.8173013, ' The': -8.06653}
{' Yes': -0.16323072, ' No': -1.9199351, 'Yes': -5.988462, 'No': -6.791885, ' The': -8.576292}
{' Yes': -0.32077718, ' No': -1.3151276, 'Yes': -5.799187, 'No': -6.2378488, ' Not': -7.362702}
{' No': -0.09445963, ' Yes': -2.47324, 'No': -5.3816814, ' The': -7.407881, 'Yes': -8.399809}
{' Yes': -0.0033674506, 'Yes': -5.7762804, ' No': -8.63725, ' yes': -10.015656, ' The': -11.2248}
{' Yes': -0.004422748, 'Yes': -6.0388384, ' No': -6.2653894, ' yes': -9.671824, ' The': -10.717593}
{' Yes': -0.0034829439, 'Yes': -5.908891, ' No': -7.371919, ' The': -9.883904, ' yes': -9.960736}
{' Yes': -0.010178534, ' No': -4.8528357, 'Yes': -6.191218, ' The': -9.135714, ' yes': -9.578566}
{' No': -0.037324462, ' Yes': -3.850238, 'No': -4.2911525, ' The': -6.994104, ' Not': -7.7999277}
{' No': -0.012971635, 'No': -4.5623145, ' Yes': -6.16793, ' The': -8.8450575, ' Not': -9.646498}
{' No': -0.010588498, 'No': -4.903428, ' Yes': -5.9012423, '\n': -9.023101, ' The': -9.176969}
{' Yes': -0.05725331, ' No': -3.0421586, 'Yes': -4.981032, 'No': -7.468008, ' The': -8.217602}
{' Yes': -0.0034852745, 'Yes': -5.9150605, ' No': -7.4333553, ' yes': -9.25983, ' The': -9.631321}
{' Yes': -0.07565239, ' No': -2.6740086, 'Yes': -6.0034075, ' The': -7.500083, 'No': -7.7622027}
{' Yes': -0.6038689, ' No': -0.8044895, 'No': -5.830717, 'Yes': -6.4291863, ' The': -6.937369}
{' No': -0.060473535, ' Yes': -2.9473467, 'No': -5.1753454, ' The': -8.449426, 'Yes': -8.462043}
{' No': -0.5030005, ' Yes': -0.9483873, 'No': -5.242193, 'Yes': -6.255296, ' The': -7.839641}
{' Yes': -0.40605143, ' No': -1.1242903, 'Yes': -5.625402, 'No': -5.9107623, ' The': -6.238254}
{' No': -0.03146503, ' Yes': -4.005546, 'No': -4.464624, ' The': -7.9066267, '\n': -8.165465}
{' No': -0.04585621, ' Yes': -3.4204516, 'No': -4.476505, 'Yes': -8.184593, ' The': -8.450478}
{' No': -0.39194912, ' Yes': -1.159947, 'No': -4.9368577, 'Yes': -6.204426, ' The': -7.3063416}
{' No': -0.1928082, ' Yes': -1.7791443, 'No': -5.372663, ' The': -7.158067, 'Yes': -7.246479}
{' Yes': -0.030194268, ' No': -3.6157103, 'Yes': -5.983376, 'No': -8.742225, ' The': -9.505601}
{' Yes': -0.27042052, ' No': -1.4767098, 'Yes': -5.269001, 'No': -5.851431, ' The': -8.014889}
{' No': -0.6210941, ' Yes': -0.7753433, 'No': -6.8455067, 'Yes': -7.276359, ' The': -9.104195}
{' No': -0.04828183, ' Yes': -3.20523, 'No': -5.1557703, ' The': -7.9157457, 'Yes': -8.869233}
{' Yes': -0.0044874107, 'Yes': -5.901387, ' No': -6.6860056, ' yes': -8.598765, ' The': -9.049214}
{' Yes': -0.005328981, 'Yes': -5.884559, ' No': -6.058725, ' The': -9.50072, ' yes': -10.047454}
{' No': -0.6862757, ' Yes': -0.7085878, 'No': -6.0230846, 'Yes': -6.5078087, ' The': -9.316101}
{' No': -0.09795371, ' Yes': -2.4421022, 'No': -5.196432, 'Yes': -7.8899174, ' The': -8.646634}
{' Yes': -0.037382748, ' No': -3.4581246, 'Yes': -5.367562, 'No': -8.010492, ' yes': -9.659626}
