{' Yes': -0.017299628, ' No': -4.178966, 'Yes': -6.4146748, 'No': -10.048907, ' Nope': -10.280585}
{' Yes': -0.021001007, ' Drunk': -4.8766828, 'Yes': -5.0733995, ' No': -5.598785, ' Dr': -7.267663}
{' No': -0.37756738, ' Yes': -1.1724626, 'No': -5.790596, 'Yes': -6.6049747, ' Nope': -8.408537}
{' Min': -0.7240447, ' Yes': -0.94930065, ' No': -2.62479, ' Minimum': -4.627898, ' M': -5.050103}
{' Yes': -0.0014517255, 'Yes': -6.5716863, ' yes': -10.266903, ' YES': -11.570731, 'yes': -13.047037}
{' Yes': -0.00092007476, 'Yes': -7.0662365, ' yes': -10.579168, ' No': -11.131485, ' Word': -11.730432}
{' No': -0.70396817, ' Yes': -0.8351823, ' Ch': -3.2596228, ' Nope': -4.4139137, ' Chal': -4.813715}
{' No': -0.13987207, ' Yes': -2.123324, ' Nope': -5.1039853, 'No': -5.5279145, 'Yes': -7.9252467}
{' Yes': -0.0031504976, 'Yes': -6.429966, ' No': -7.0513034, ' Woman': -7.528741, ' yes': -10.1281185}
{' Yes': -0.092418924, ' Woman': -2.460577, 'Yes': -6.548811, 'Woman': -7.5373254, 'woman': -7.9355335}
{' Yes': -0.034460075, ' Party': -3.5415835, 'Yes': -5.4915137, 'Party': -8.473504, ' yes': -9.160347}
{' Yes': -0.0796021, ' No': -2.6399658, ' Party': -6.1100016, 'Yes': -6.299287, 'No': -8.381974}
{' Yes': -0.0025034463, ' No': -6.5764093, 'Yes': -6.8420796, ' yes': -10.773437, ' YES': -12.149206}
{' Yes': -0.024580788, ' No': -3.8092046, 'Yes': -6.268351, 'No': -9.026673, ' yes': -10.344443}
{' Yes': -0.0013772923, 'Yes': -6.626718, ' Sure': -11.227828, ' Shoes': -11.551993, ' yes': -11.692302}
{' Yes': -0.08137922, ' Shoes': -2.6342242, 'Yes': -5.462109, ' Sho': -7.052967, ' Sh': -7.6283684}
{' Yes': -0.0032541244, 'Yes': -6.069488, ' No': -7.084377, ' Ghost': -10.632836, ' yes': -10.957026}
{' Yes': -0.06601759, ' No': -2.7871878, 'Yes': -6.4384937, 'No': -8.185253, ' Nope': -8.57453}
{' Yes': -0.0017285522, 'Yes': -6.836754, ' Shirt': -7.5330243, ' Sure': -9.520541, ' yes': -10.917163}
{' Yes': -0.007061602, ' Shirt': -5.600363, 'Yes': -5.84874, ' Sure': -8.199886, ' yes': -9.862874}
{' Yes': -0.028578825, ' No': -3.9840384, 'Yes': -4.9112954, ' Pants': -6.303805, 'No': -9.380285}
{' Yes': -0.028444147, ' No': -4.210268, 'Yes': -4.697851, ' Pants': -5.6440744, 'No': -9.417874}
{' Yes': -0.024492886, ' Board': -4.425627, ' No': -5.1454434, 'Yes': -5.348574, ' yes': -7.8801565}
{' Yes': -0.010626088, 'Yes': -5.121708, ' No': -5.796539, ' Board': -6.9056826, ' yes': -8.472366}
{' Yes': -0.004498726, 'Yes': -5.6512976, ' Leave': -7.8042245, ' No': -8.220969, ' yes': -8.971807}
{' Yes': -0.01647375, ' No': -4.582596, 'Yes': -5.6323752, ' Leave': -6.448949, ' yes': -8.719434}
{' Yes': -0.011088973, ' No': -4.7875876, 'Yes': -6.249016, ' Sure': -7.7715087, ' Nope': -8.750245}
{' Yes': -0.67843306, ' There': -0.74449223, ' The': -5.3640122, ' No': -5.891443, 'Yes': -6.1249814}
{' No': -0.22851466, ' Yes': -1.6760377, ' Sn': -4.948582, 'No': -5.1482444, 'Yes': -6.812597}
{' Yes': -0.5697872, ' Sn': -1.4427863, ' No': -1.8179159, 'Yes': -5.187316, ' Un': -5.4254227}
{' Yes': -0.17082842, ' Bride': -2.482016, ' No': -2.8457417, ' Bridge': -4.5424104, 'Yes': -6.3270454}
{' Yes': -0.3918188, ' Bride': -1.4628979, ' Bridge': -2.8422008, ' No': -4.3731036, ' Ride': -5.2183604}
{' Yes': -0.0026567276, ' No': -6.5810814, 'Yes': -6.8011622, ' Throw': -9.362019, ' yes': -10.799143}
{' Yes': -0.15143831, ' Throw': -2.04781, ' No': -5.3942122, 'Yes': -6.1648264, ' Th': -7.010952}
{' Yes': -0.0020300627, 'Yes': -6.3240724, ' No': -8.944332, ' Yep': -10.457718, ' YES': -11.179188}
{' Yes': -0.00338952, 'Yes': -6.390644, ' Welcome': -7.0052257, ' Women': -8.800586, ' Yeah': -8.948958}
{' Yes': -0.70820016, ' No': -1.128924, ' Ank': -2.5871542, ' Kn': -3.9529767, ' K': -4.403753}
{' Yes': -0.60581905, ' No': -0.80109537, 'Yes': -6.303842, 'No': -6.4859266, ' Nope': -6.9586167}
{' Yes': -0.63355696, ' No': -0.90823615, ' Los': -3.3165267, ' Lo': -4.3775783, ' Nope': -5.045195}
{' Yes': -0.17701133, ' No': -2.77951, ' Lo': -3.0762763, ' Los': -3.4890246, ' Lose': -4.90877}
{' Yes': -0.0053739264, ' No': -5.509736, 'Yes': -6.724572, ' Clown': -10.100561, 'No': -11.056821}
{' Yes': -0.4841447, ' No': -0.9657464, 'No': -6.5324464, 'Yes': -6.865282, ' Nope': -7.983773}
{' Yes': -0.0020443385, 'Yes': -6.4863653, ' Sure': -8.139676, ' Shark': -9.198823, ' Yeah': -9.990008}
{' Yes': -0.004600755, 'Yes': -6.1628437, ' Shark': -6.324644, ' Sure': -7.6316533, ' Sh': -9.697078}
{' Yes': -0.010951868, ' No': -4.6252, 'Yes': -6.9206004, 'No': -10.448579, ' yes': -10.476924}
{' Yes': -0.0047392687, 'Yes': -5.948325, ' Lemon': -6.804496, ' No': -7.2834954, ' yes': -9.956446}
{' Yes': -0.51862836, ' No': -0.9210885, 'No': -5.9418116, 'Yes': -6.0742793, ' Nope': -6.867648}
{' No': -0.23715232, ' Yes': -1.5942023, ' Nope': -5.539381, 'No': -6.0191803, ' Maybe': -7.4603653}
{' Yes': -0.0089086965, ' No': -4.9597197, 'Yes': -6.3515406, 'No': -10.310554, ' yes': -11.234968}
{' Yes': -0.008915311, ' No': -5.361111, 'Yes': -5.6901627, ' Below': -8.131466, ' Yellow': -9.254451}
{' Yes': -0.08864194, ' Sm': -2.6093996, ' Spell': -4.7466273, 'Yes': -6.705341, ' Yep': -8.487072}
{' Yes': -0.00935189, ' Spell': -5.2743435, 'Yes': -6.1815143, ' Sm': -6.855546, ' No': -8.645311}
{' Yes': -0.6449678, ' Your': -0.9069192, ' No': -3.718116, ' Y': -4.0942044, 'Yes': -5.138596}
{' Yes': -0.49155557, ' Your': -1.2095234, ' No': -2.8140824, 'Yes': -4.710917, ' Y': -5.366565}
{' No': -0.00821254, 'No': -5.1286974, ' Yes': -6.185691, ' Nope': -8.682977, 'Yes': -11.273412}
{' No': -0.03792418, ' Yes': -4.043024, ' Wrong': -4.075924, 'No': -6.1662083, ' Nope': -7.5317383}
{' Yes': -0.07588989, ' Devil': -3.1242719, ' No': -4.1271687, 'Yes': -5.531287, ' Dev': -5.922854}
{' Yes': -0.5430779, ' No': -1.570889, ' Devil': -1.7586102, ' Dev': -5.0785446, ' Devils': -5.4460583}
{' Yes': -0.00081251474, 'Yes': -7.2050114, ' No': -10.161827, ' Sure': -11.186912, ' yes': -11.545661}
{' Yes': -0.0027166135, ' No': -6.319159, 'Yes': -7.1701045, ' Sure': -9.536162, ' yes': -10.419972}
{' Yes': -0.2779785, ' No': -1.4452662, ' Major': -5.697376, 'Yes': -6.3104205, 'No': -6.602615}
{' No': -0.29359815, ' Yes': -1.4342993, ' Major': -4.638227, 'No': -5.4148865, 'Yes': -7.2665796}
{' Yes': -0.05479937, ' No': -2.9887993, 'Yes': -6.1948404, ' Worst': -7.9248157, 'No': -8.268176}
{' Yes': -0.07902254, ' Worst': -2.9390137, ' No': -4.0018396, 'Yes': -5.938929, ' W': -8.116048}
{' Yes': -0.16705652, ' No': -1.964454, ' Pound': -4.603114, 'Yes': -6.441964, ' Nope': -6.97134}
{' Yes': -0.011003513, ' No': -4.8596935, 'Yes': -6.271697, ' Pound': -7.3591666, ' Yep': -8.933214}
{' Yes': -0.045229085, ' No': -3.5075512, ' Dirty': -4.7368927, 'Yes': -5.786176, ' Dirt': -7.209984}
{' Dirty': -0.7692563, ' Yes': -0.8005351, ' Dirt': -2.7322004, 'Yes': -5.314814, ' Definitely': -5.4921503}
{' Yes': -0.014899521, 'Yes': -4.421714, ' Space': -7.681529, ' yes': -7.7815247, ' Sure': -7.7946053}
{' Yes': -0.013169346, 'Yes': -4.739209, ' Space': -7.130501, ' Escape': -7.1453633, ' No': -7.4015217}
{' Yes': -0.55101955, 'rupt': -2.0912282, ' Inter': -2.4898584, ' erupt': -2.8136575, ' E': -2.916969}
{' Yes': -1.0977786, 'rupt': -1.4393343, ' Inter': -1.6378509, ' Up': -3.5097055, ' U': -3.9563973}
{' Yes': -0.009533304, ' No': -4.96739, 'Yes': -6.283628, ' Yep': -8.457657, ' Swamp': -8.529846}
{' Yes': -0.31113452, ' Swamp': -1.609255, ' Sw': -3.567299, ' Swap': -4.876542, ' No': -5.0238895}
{' Yes': -0.18593413, ' Armor': -2.162777, ' No': -3.0325565, 'Yes': -6.2336426, ' Armour': -6.2922277}
{' Yes': -0.18403608, ' No': -1.8262824, ' Armor': -5.302112, 'Yes': -6.787517, 'No': -7.4517593}
{' Yes': -0.046560153, ' No': -3.1331635, 'Yes': -6.419357, 'No': -8.6876335, ' Absolutely': -10.508457}
{' No': -0.29850662, ' Yes': -1.4406879, ' Ex': -4.6424527, ' Nope': -5.398177, 'No': -5.745151}
{' Still': -0.6133888, ' Yes': -0.8137673, ' No': -5.8841233, ' St': -5.996541, 'Yes': -6.3813066}
{' Yes': -0.18089035, ' Still': -1.8555958, ' No': -5.5446243, 'Yes': -5.8679934, 'Still': -8.020627}
{' Yes': -0.0010009152, 'Yes': -6.999946, ' No': -9.967563, ' Sure': -11.604427, ' yes': -11.6195965}
{' Yes': -0.0013565801, 'Yes': -6.6326528, ' yes': -11.42329, ' Hello': -12.164925, ' YES': -12.187796}
{' Yes': -0.05690459, ' Purs': -4.064982, ' Sure': -4.2348714, ' Pur': -4.466315, 'Yes': -4.7582574}
{' Yes': -0.38807532, ' Purs': -1.8871007, ' Pur': -2.7138104, ' Sure': -2.782225, ' No': -4.275252}
{' No': -0.35673845, ' Yes': -1.2268442, 'No': -5.507827, 'Yes': -6.8555975, ' Not': -7.1863756}
{' No': -0.01581373, ' Yes': -4.9299145, 'No': -5.279527, ' Actor': -6.3609223, ' Not': -7.316474}
{' Yes': -0.0032235684, 'Yes': -6.1213093, ' No': -7.254053, ' Sure': -8.382681, ' yes': -10.5252}
{' Yes': -0.019732554, ' No': -4.360032, 'Yes': -5.6749716, ' Sure': -6.4032063, ' Nope': -6.892294}
{' No': -0.32361552, ' Yes': -1.3004489, ' Nope': -6.4607587, 'No': -6.732444, ' Maybe': -7.6421022}
{' No': -0.060408123, ' Yes': -3.0954173, 'No': -5.1240864, ' Nope': -5.1787534, ' Maybe': -7.766748}
{' No': -0.032176867, ' Yes': -3.519476, 'No': -6.2976184, ' Nope': -8.9711075, 'Yes': -9.490093}
{' Yes': -0.6427372, ' No': -0.7494553, 'Yes': -7.3072004, 'No': -7.379195, ' Nope': -8.686385}
{' Yes': -0.0035188922, ' No': -6.1387706, 'Yes': -6.7188964, ' Sure': -9.383113, ' Absolutely': -11.569203}
{' Yes': -0.013650749, ' No': -4.556413, 'Yes': -6.2167635, ' Watch': -7.223289, 'No': -9.640934}
{' Yes': -0.019139702, ' No': -4.286916, 'Yes': -5.740894, ' Nope': -7.3529754, ' Sure': -7.80816}
{' Yes': -0.16184385, ' No': -2.312055, ' Nope': -3.9677267, ' Spice': -4.407718, 'Yes': -4.9278464}
{' Yes': -0.0009867753, 'Yes': -6.979946, ' yes': -10.916086, ' Sure': -11.608256, ' YES': -11.643153}
{' Yes': -0.027174136, ' No': -3.8354168, 'Yes': -6.3423023, ' Under': -6.407404, ' Underground': -8.339023}
{' Yes': -0.016049314, ' No': -4.2774878, 'Yes': -6.530936, ' Crack': -8.040168, ' Cr': -9.0451975}
{' Yes': -0.17894283, ' No': -1.8218127, 'Yes': -6.936972, ' Nope': -7.664624, 'No': -8.051614}
{' Yes': -0.15612201, ' Sure': -2.7123163, ' Ag': -3.7221563, ' Ar': -3.7411308, ' No': -4.6371675}
{' Yes': -0.98688984, ' Ar': -1.3909138, ' Arg': -1.8481263, ' Ag': -2.5491884, ' Argument': -2.5500479}
{' Yes': -0.0017407931, 'Yes': -6.8019648, ' No': -7.5061965, ' yes': -10.507383, ' Yeah': -11.454561}
{' Yes': -0.01259256, ' No': -4.50494, 'Yes': -6.6485634, 'No': -9.727116, ' yes': -10.419945}
{' Yes': -0.038617305, ' Early': -4.5936537, ' Ear': -5.2793245, 'Yes': -5.504904, ' Earl': -5.636279}
{' Yes': -0.033757072, ' Ear': -5.3090854, ' No': -5.3884187, 'Yes': -5.580309, ' Early': -5.8061833}
{' Yes': -0.13806768, ' Goose': -2.6200433, ' No': -3.0230563, 'Yes': -5.719057, ' Nope': -5.9977093}
{' Yes': -0.26889834, ' No': -1.5517867, ' Goose': -3.9977171, 'Yes': -6.0870457, ' Nope': -6.0955234}
{' No': -0.030120797, ' Ocean': -4.2458267, ' Yes': -4.775322, 'No': -5.6337543, ' Nope': -5.8734035}
{' No': -0.05784722, ' Ocean': -3.204135, ' Nope': -5.2024665, 'No': -5.297184, ' Yes': -5.6633406}
{' No': -0.6297814, ' Yes': -0.77378625, 'No': -5.6353164, 'Yes': -6.2788653, ' Nope': -7.72313}
{' Yes': -0.12638775, ' No': -2.2141657, 'Yes': -5.481427, 'No': -6.7278485, ' Trash': -7.03483}
{' Yes': -0.39846212, ' Gross': -1.2250575, ' No': -4.303062, ' Gro': -4.9086533, 'Yes': -5.449901}
{' Yes': -0.06361799, ' Gross': -3.2571335, ' No': -4.288147, 'Yes': -5.3688583, ' Cross': -6.5255737}
{' Yes': -0.004296969, 'Yes': -5.8151507, ' Phone': -7.405509, ' Sure': -8.255068, ' Yep': -9.016385}
{' Yes': -0.0019314622, 'Yes': -6.507075, ' Sure': -9.011101, ' Yep': -9.369563, ' No': -9.597155}
{' Yes': -0.11412382, ' Guard': -2.765491, ' No': -3.3914163, 'Yes': -5.364984, ' Guardian': -6.217477}
{' Guard': -0.9005094, ' Yes': -0.95221007, ' No': -1.8492762, 'Guard': -4.2660327, ' Guardian': -4.4286685}
{' Yes': -0.0023767743, 'Yes': -6.179666, ' Sure': -8.984333, ' yes': -9.888109, ' No': -10.47767}
{' Yes': -0.004791791, 'Yes': -5.547653, ' Sweet': -8.326922, ' yes': -8.560739, ' Swe': -8.779348}
{' Yes': -0.49854505, ' Grass': -1.2859901, ' No': -2.2136674, 'Yes': -5.998034, ' Gr': -6.380586}
{' Grass': -0.6252361, ' Yes': -0.8346534, ' No': -3.8999627, ' Gr': -5.8267336, 'Yes': -5.9898524}
{' Yes': -0.0026784828, 'Yes': -6.062681, ' No': -8.617679, ' yes': -9.439718, ' YES': -10.816814}
{' Yes': -0.006017077, 'Yes': -5.4629126, ' No': -6.7901278, ' yes': -8.607522, ' Yeah': -9.190352}
{' Yes': -0.08559735, ' No': -2.9455369, ' Girls': -4.6494646, 'Yes': -4.670538, ' Sure': -6.2439723}
{' Yes': -0.61642027, ' Girls': -0.9190364, ' Gr': -3.924707, ' No': -4.190252, ' G': -4.3595366}
{' Yes': -0.0047395094, ' No': -5.8977427, 'Yes': -6.3343744, ' Sure': -9.674271, ' Nope': -10.616186}
{' Yes': -0.017353907, ' No': -4.338675, 'Yes': -5.716603, ' Light': -8.184219, 'No': -9.205696}
{' Yes': -0.19320576, ' No': -1.8008678, 'Yes': -5.8346157, ' Nope': -5.8539305, ' Spoon': -5.9563317}
{' Yes': -0.027897716, ' No': -3.7693892, 'Yes': -5.8486853, ' Nope': -7.61668, ' Spoon': -7.9416957}
{' Yes': -1.0813522, ' No': -1.1835688, ' Lo': -1.4348334, ' Lose': -2.258852, ' Nope': -5.0809746}
{' Lo': -0.73879343, ' No': -1.5449954, ' Yes': -1.5966501, ' Lose': -2.3211336, ' Nope': -6.2464547}
{' Yes': -0.3313909, ' No': -1.2899709, 'Yes': -5.5525823, 'No': -6.479605, ' Nope': -7.7672825}
{' Yes': -0.14870209, ' No': -2.1706784, 'Yes': -4.7082148, ' Plant': -4.8579006, 'No': -6.671757}
{' Yes': -0.041132648, ' No': -3.2856643, 'Yes': -6.0668945, 'No': -8.239307, ' Sure': -9.435433}
{' Yes': -0.0075986236, ' No': -5.890537, ' Seven': -6.011558, 'Yes': -6.24978, ' yes': -9.531396}
{' Yes': -0.006074284, 'Yes': -5.2444034, ' No': -8.053191, ' Sure': -9.032864, ' Yeah': -9.347008}
{' Yes': -0.010417796, ' No': -5.246155, 'Yes': -5.507076, ' Nope': -7.865096, ' Yeah': -8.938982}
{' Yes': -0.04393035, ' Rough': -3.4389174, ' No': -4.81089, 'Yes': -6.2164397, ' Tough': -8.130436}
{' Rough': -0.54095066, ' Yes': -0.91052234, ' Tough': -4.9666495, ' No': -5.8687468, ' Enough': -5.994898}
{' Yes': -0.043904822, ' Dance': -3.6509223, 'Yes': -4.435888, ' No': -6.4962034, ' Definitely': -7.159707}
{' Yes': -0.4479532, ' No': -1.6323881, ' Dance': -2.1237707, ' Chance': -3.5914955, 'Yes': -4.918582}
{' Yes': -0.014025327, ' No': -4.5513406, 'Yes': -5.995099, ' Salad': -7.4359612, ' yes': -9.201035}
{' Yes': -0.0061096083, ' No': -5.554939, 'Yes': -6.177503, ' yes': -9.733721, ' Salad': -10.581833}
{' Yes': -0.31003758, ' Looks': -1.9881724, ' No': -2.2848473, ' Lo': -4.6489706, 'Yes': -4.9419127}
{' Yes': -0.24171558, ' No': -1.8867254, ' Looks': -3.0599127, 'Yes': -5.1045475, ' Lo': -5.3047094}
{' Store': -0.3620125, ' Yes': -1.3822438, ' Sure': -2.9797513, 'Yes': -7.0566683, 'Store': -7.274049}
{' Yes': -0.14834437, ' Sure': -2.041754, ' Store': -5.2657776, 'Yes': -6.3876257, ' No': -8.340675}
{' Yes': -0.0020193714, 'Yes': -6.3648043, ' Break': -8.7819395, ' yes': -9.661017, ' No': -10.582706}
{' Yes': -0.0039956123, 'Yes': -6.2142444, ' No': -6.654056, ' Sure': -8.030684, ' Break': -9.017642}
{' Yes': -0.019025972, ' No': -4.547287, 'Yes': -5.128046, ' Parts': -6.510997, ' Sure': -8.892432}
{' Yes': -0.014040379, ' No': -4.6289544, 'Yes': -5.534643, ' Parts': -9.563893, 'No': -10.0939}
{' Yes': -0.044538595, ' Sh': -3.9788647, 'Yes': -5.0750566, ' Sho': -5.1844425, ' Sure': -5.404859}
{' Yes': -0.23011985, ' Sh': -1.9542007, ' Sho': -3.340291, 'Yes': -4.929557, ' Sure': -5.102028}
{' Yes': -0.006530385, 'Yes': -5.5025992, ' Sy': -6.6645417, ' No': -7.146249, ' yes': -9.281805}
{' Yes': -0.0058512907, 'Yes': -5.4840975, ' Sy': -7.0784655, ' No': -7.879285, ' yes': -8.831773}
{' Yes': -0.0020767115, 'Yes': -6.428254, ' Learn': -8.201951, ' yes': -9.412206, ' YES': -9.926063}
{' Yes': -0.0014046907, 'Yes': -6.76019, ' No': -8.919488, ' yes': -10.155637, ' YES': -10.636192}
{' Yes': -0.096371315, ' No': -2.401915, 'Yes': -6.9454007, 'No': -8.277042, ' Minor': -9.901593}
{' Yes': -0.043210637, ' No': -3.2000997, 'Yes': -6.766578, 'No': -8.815226, ' Minor': -9.189567}
{' Yes': -0.0020311393, 'Yes': -6.2825236, ' Sure': -9.646646, ' No': -10.076938, ' Where': -11.257661}
{' Yes': -0.015545556, ' Where': -4.5782914, 'Yes': -6.1676993, ' Sure': -6.3926845, ' No': -7.892835}
{' Yes': -0.013533837, ' No': -4.6750135, 'Yes': -5.7050962, ' Arrow': -7.398957, 'No': -9.284223}
{' Yes': -0.13534606, ' Arrow': -2.256865, ' No': -4.189194, 'Yes': -5.3460145, 'arrow': -7.4681954}
{' Yes': -0.023181833, ' No': -4.092571, 'Yes': -5.683817, ' Chain': -6.6835203, ' Nope': -7.738256}
{' Yes': -0.026094275, ' No': -4.713552, ' Chain': -4.7534423, 'Yes': -5.3821883, ' Sure': -7.711091}
{' Yes': -0.008196138, ' No': -4.9363785, 'Yes': -6.9797854, ' yes': -10.694464, 'No': -11.273015}
{' Yes': -0.32972988, ' No': -1.2761792, 'Yes': -6.926844, 'No': -7.4104047, ' Nope': -9.797816}
{' Yes': -0.011330743, ' Heart': -4.887828, 'Yes': -5.7111063, ' Sure': -9.382725, ' YES': -9.796416}
{' Yes': -0.05252166, ' Heart': -3.0774543, 'Yes': -5.516585, ' Hearts': -8.461036, 'Heart': -8.814507}
{' Yes': -0.0021876947, 'Yes': -6.4784865, ' Sure': -7.522392, ' Horse': -9.654256, ' yes': -11.37759}
{' Yes': -0.0013510891, 'Yes': -6.668387, ' Sure': -10.348707, ' No': -10.443891, ' YES': -12.110409}
{' Yes': -0.018030236, ' No': -4.111868, 'Yes': -6.6243567, 'No': -10.263466, ' Nope': -10.477703}
{' Yes': -0.006815763, ' No': -5.327443, 'Yes': -6.367026, ' Right': -10.150087, ' yes': -10.564136}
{' Yes': -0.017312178, ' No': -4.226285, 'Yes': -6.2665224, ' Pizza': -7.902566, ' Yep': -9.699567}
{' Yes': -0.052527625, ' No': -3.0365741, 'Yes': -6.1046457, ' Pizza': -8.015014, 'No': -8.63775}
{' Yes': -0.0155349, 'Yes': -4.736131, ' Snake': -5.244933, ' Sn': -7.578719, ' Sure': -8.50872}
{' Yes': -0.008827635, 'Yes': -5.1781216, ' Snake': -6.0463524, ' Sn': -8.504551, ' No': -8.5238905}
{' Yes': -0.033119254, ' No': -3.8908422, ' Laugh': -5.165539, 'Yes': -6.0957584, ' Yeah': -6.8515697}
{' Yes': -0.072493345, ' No': -3.4585462, ' Laugh': -3.526404, 'Yes': -5.732075, ' Nope': -6.4593415}
{' No': -0.41745225, ' Yes': -1.0921978, 'No': -5.506968, 'Yes': -6.7703, ' Nope': -7.941717}
{' No': -0.37233266, ' Yes': -1.1884414, 'No': -5.499383, 'Yes': -6.799986, ' Nope': -7.3761506}
{' No': -0.38944206, ' Yes': -1.1385971, 'No': -6.717397, 'Yes': -7.538474, ' Nope': -7.7840075}
{' Yes': -0.0028889976, 'Yes': -6.249734, ' No': -7.4873533, ' Sure': -8.2742605, '\n': -10.206736}
{' Yes': -0.03340412, ' Plane': -3.6846926, 'Yes': -5.134648, ' No': -6.679056, ' yes': -8.981712}
{' Yes': -0.021991296, ' Plane': -4.17373, 'Yes': -5.502301, ' No': -6.2910457, ' yes': -9.121024}
{' Yes': -0.011457107, ' Found': -4.949453, 'Yes': -6.2442417, ' No': -6.8404384, ' F': -8.116425}
{' Yes': -0.009087563, ' Found': -5.459355, 'Yes': -6.238189, ' No': -6.3959317, ' F': -8.287706}
{' No': -0.29198885, ' Yes': -1.3901296, ' Uncle': -6.397501, 'No': -6.8444214, ' Nope': -7.187681}
{' No': -0.68614787, ' Yes': -0.714594, ' Nope': -6.13249, 'No': -6.4012694, 'Yes': -6.849329}
{' Yes': -0.006409683, 'Yes': -5.9079504, ' Stamp': -6.309609, ' No': -6.711373, ' St': -8.000409}
{' Yes': -0.0071740993, 'Yes': -5.8014317, ' No': -5.830368, ' Stamp': -7.1313496, ' St': -9.376567}
{' Yes': -0.009211356, ' Sleep': -4.9824147, 'Yes': -6.469345, ' Sle': -8.58185, ' yes': -8.735919}
{' Yes': -0.0029487761, 'Yes': -6.2322245, ' Sleep': -7.655311, ' No': -8.722924, ' yes': -8.725561}
{' No': -0.56434965, ' Yes': -0.8485617, 'No': -6.469407, 'Yes': -6.66595, ' Nope': -8.249101}
{' Yes': -0.03683499, ' Close': -3.939274, ' No': -4.4787216, 'Yes': -5.396172, ' Nope': -8.251387}
{' Yes': -0.0031559381, 'Yes': -6.159808, ' No': -7.1953535, ' Te': -9.916394, ' Yeah': -10.081262}
{' Yes': -0.0032346295, 'Yes': -6.2396865, ' No': -6.974437, ' YES': -10.047191, ' yes': -10.163727}
{' Yes': -0.0006817035, 'Yes': -7.520797, ' Sure': -9.116691, ' No': -11.127958, ' yes': -12.433818}
{' Yes': -0.0007636599, 'Yes': -7.3918786, ' Sure': -9.1269, ' No': -10.776418, ' yes': -12.325222}
{' Yes': -0.009288841, ' Drunk': -5.2587166, 'Yes': -5.6579733, ' No': -8.324687, ' yes': -9.0906725}
{' Yes': -0.012480961, ' Drunk': -5.0864058, 'Yes': -5.384742, ' No': -7.605078, ' Y': -8.43956}
{' No': -0.1633199, ' Yes': -1.917348, 'No': -5.9401774, 'Yes': -7.7726583, ' Nope': -8.093261}
{' Yes': -0.08815607, ' No': -3.0854912, ' Min': -3.5742626, 'Yes': -5.2042236, ' Minimum': -6.7930446}
{' Yes': -0.0009922674, 'Yes': -6.9702134, ' yes': -10.5865345, ' Word': -11.661731, ' YES': -11.716646}
{' Yes': -0.00052186626, 'Yes': -7.6488276, ' yes': -10.711085, ' YES': -11.711588, ' Word': -12.466383}
{' Yes': -0.122103915, ' No': -2.317567, ' Ch': -4.866849, 'Yes': -5.730704, ' Chal': -6.4609375}
{' No': -0.33578846, ' Yes': -1.2747495, 'No': -5.9745207, ' Nope': -6.2555785, 'Yes': -7.162725}
{' Yes': -0.032352984, ' Woman': -3.6304457, ' No': -5.9415436, 'Yes': -6.227436, 'Woman': -8.550734}
{' Woman': -0.62134296, ' Yes': -0.7878354, 'Woman': -5.6478906, 'woman': -6.314692, 'Yes': -6.773729}
{' Yes': -0.007071807, ' Party': -5.4737616, 'Yes': -6.0188785, ' YES': -9.654307, ' yes': -9.689641}
{' Yes': -0.033382736, ' No': -3.9031887, ' Party': -4.6929226, 'Yes': -6.152092, ' Possibly': -7.76735}
{' Yes': -0.0032119057, ' No': -6.401971, 'Yes': -6.51735, ' yes': -10.137582, ' YES': -11.579338}
{' Yes': -0.0032475465, 'Yes': -6.438187, ' No': -6.500222, ' yes': -9.642125, ' YES': -10.943462}
{' Yes': -0.001206841, 'Yes': -6.760432, ' Sure': -11.479237, ' Shoes': -11.652798, ' yes': -11.762306}
{' Yes': -0.004853601, 'Yes': -5.958707, ' Shoes': -6.170604, ' Sure': -10.094294, ' YES': -10.300798}
{' Yes': -0.0031239488, 'Yes': -6.225223, ' Ghost': -7.5087175, ' No': -7.641233, ' yes': -10.720063}
{' Yes': -0.031761102, ' No': -3.529659, 'Yes': -6.7037973, ' Ghost': -7.801677, ' Nope': -8.836323}
{' Yes': -0.001625861, 'Yes': -6.990725, ' Shirt': -7.4229684, ' Sure': -9.851335, ' YES': -11.164988}
{' Yes': -0.080770686, ' Shirt': -2.604933, 'Yes': -6.070643, ' Sure': -7.7173038, ' Sh': -7.808204}
{' Yes': -0.023413787, ' Pants': -4.8460774, ' No': -4.89585, 'Yes': -4.903987, ' YES': -9.53815}
{' Yes': -0.017629527, 'Yes': -4.8886013, ' No': -5.205671, ' Pants': -5.5039425, ' YES': -9.605938}
{' Yes': -0.016173547, ' Board': -4.848574, 'Yes': -5.4776564, ' No': -5.868958, ' yes': -8.056974}
{' Yes': -0.005984577, 'Yes': -5.5433016, ' Board': -7.0790243, ' No': -7.11448, ' yes': -8.887488}
{' Yes': -0.0057931957, 'Yes': -5.8454475, ' Leave': -6.405363, ' No': -7.2423153, ' yes': -9.016833}
{' Yes': -0.005537297, ' No': -6.047598, 'Yes': -6.0584273, ' Leave': -8.154804, ' yes': -9.063526}
{' Yes': -0.05092963, ' No': -3.119474, ' Nope': -5.845556, 'Yes': -6.561377, ' Sure': -8.104334}
{' Yes': -0.0049577625, 'Yes': -5.976908, ' There': -6.712249, ' No': -7.231272, ' Sure': -9.206299}
