{' Yes': -0.013008951, ' No': -5.207686, 'Yes': -5.404065, ' Generally': -6.76965, ' An': -6.8052945}
{' No': -0.2513584, '\n': -1.797066, 'No': -3.346243, ' ': -3.888216, ' Generally': -8.779833}
{' No': -0.15022853, '\n': -2.542181, 'No': -2.9710617, ' ': -4.8148975, ' An': -7.7000937}
{' No': -0.39133868, '\n': -1.3097614, 'No': -3.4924986, ' ': -3.812218, ' Ant': -7.2749543}
{' No': -0.25143534, '\n': -1.827634, 'No': -3.0776565, ' ': -4.3707113, ' Ant': -6.310643}
{' No': -0.2275961, '\n': -1.922775, 'No': -3.2252462, ' ': -4.1181827, ' A': -7.4430146}
{' No': -0.13972113, '\n': -2.5198767, 'No': -3.2483501, ' ': -4.657696, ' A': -7.0558176}
{' No': -0.07879151, '\n': -3.0556931, 'No': -4.1011224, ' ': -4.538796, ' Ant': -7.036098}
{' No': -0.12192311, '\n': -2.6057525, 'No': -3.6004403, ' ': -4.562284, ' Ant': -6.215307}
{' No': -0.055113472, '\n': -3.5256846, 'No': -4.4077153, ' ': -4.45398, ' Generally': -9.646658}
{' No': -0.026579672, 'No': -4.4495473, '\n': -4.714028, ' ': -5.3403177, ' A': -7.966496}
{' No': -0.038173582, '\n': -3.992628, 'No': -4.43898, ' ': -5.0315933, ' Ant': -7.6189766}
{' No': -0.04985681, '\n': -3.6919503, 'No': -4.0774617, ' ': -5.1936574, ' Ant': -6.9982553}
{' No': -0.17739865, '\n': -2.3208714, 'No': -3.0476205, ' ': -4.1554523, ' A': -7.545095}
{' No': -0.096241705, 'No': -3.053248, '\n': -3.3835435, ' ': -4.763245, ' A': -6.825833}
{' No': -0.07015595, '\n': -3.5278525, 'No': -3.6856592, ' ': -4.472889, ' Ant': -7.3444057}
{' No': -0.056233022, 'No': -3.3921568, '\n': -4.392618, ' ': -4.9963913, ' Ant': -6.7030435}
{' No': -0.054450683, 'No': -3.6449618, '\n': -4.339334, ' ': -4.4084163, ' An': -7.8142395}
{' No': -0.0800429, 'No': -3.4357615, '\n': -3.6405478, ' ': -4.4645777, ' An': -5.6948237}
{' No': -0.04929967, 'No': -3.8172226, '\n': -4.2319145, ' ': -4.729481, ' Ant': -6.7966957}
{' No': -0.06958733, 'No': -3.3069584, '\n': -4.078004, ' ': -4.800349, ' Ant': -5.688351}
{' Yes': -0.003986517, 'Yes': -5.942402, ' Generally': -7.2511497, ' No': -8.340591, ' A': -8.707403}
{' Yes': -0.008671542, 'Yes': -5.7593255, ' Generally': -5.95428, ' No': -6.3083596, ' A': -7.678912}
{' Yes': -0.4481826, ' No': -1.5668693, ' C': -2.4238276, ' Generally': -3.1127846, 'No': -5.5669303}
{' No': -0.6142491, ' Yes': -1.0347165, ' C': -2.8826985, ' Generally': -3.7355413, 'No': -4.4561987}
{' Yes': -0.023504768, 'Yes': -4.209435, ' Generally': -5.657286, ' No': -5.8348565, ' ': -7.782142}
{' Yes': -0.041501198, 'Yes': -3.8467436, ' Generally': -4.7997103, ' No': -4.974252, ' A': -7.016286}
{' No': -0.7359916, ' Yes': -0.81511986, ' Generally': -3.584945, 'No': -3.8870995, ' C': -4.3156805}
{' Yes': -0.034508694, 'Yes': -4.55186, ' Generally': -4.7534966, ' No': -4.792598, ' C': -5.5234017}
{' Yes': -0.03484296, ' No': -4.1902094, 'Yes': -4.4539504, '\n': -5.5137873, ' ': -6.3069468}
{' Yes': -0.069883615, ' No': -3.4833434, 'Yes': -4.2818813, '\n': -4.309017, ' ': -5.406727}
{' No': -0.29363796, ' Yes': -1.7682073, 'No': -3.1224284, '\n': -4.1950603, ' C': -4.7678447}
{' Yes': -0.07497797, ' No': -3.450611, 'Yes': -4.1196194, '\n': -4.609312, ' C': -5.202873}
{' Yes': -0.006394506, 'Yes': -5.325017, ' Generally': -7.0668626, ' No': -8.395869, ' A': -8.842292}
{' Yes': -0.01272983, 'Yes': -4.913683, ' No': -5.773493, ' Generally': -6.7500305, ' A': -7.455848}
{' Yes': -0.4942302, ' No': -1.297575, ' C': -2.9506035, ' Generally': -3.5528502, 'No': -4.125744}
{' Yes': -0.051894728, ' No': -3.8986833, 'Yes': -4.422731, ' C': -4.621021, ' Generally': -5.1797423}
{' No': -0.26592752, ' Yes': -1.9150096, 'No': -3.0491269, '\n': -4.0995836, ' Generally': -4.7299395}
{' No': -0.7122962, ' Yes': -1.0492216, ' Generally': -3.2120194, '\n': -3.217238, 'No': -3.2909188}
{' No': -0.32772234, ' Yes': -1.9054639, 'No': -3.185533, ' C': -3.6315706, ' Generally': -3.9921508}
{' Yes': -0.21907148, ' No': -2.2679796, '\n': -3.723601, ' C': -4.001588, 'Yes': -4.1235876}
{' Yes': -0.21449369, ' No': -1.8901643, ' Generally': -4.167912, 'Yes': -4.5365243, 'No': -4.6457562}
{' Yes': -0.09117697, ' No': -3.3596647, 'Yes': -3.7077444, ' Generally': -4.5198536, ' A': -5.236955}
{' No': -0.3665647, ' Yes': -1.5899419, 'No': -3.0682592, ' Generally': -3.8203, ' C': -3.9301174}
{' Yes': -0.07403364, ' No': -3.374082, 'Yes': -3.9278085, ' Generally': -5.150682, ' C': -5.364}
{' Yes': -0.0043096626, 'Yes': -5.8104906, '\n': -7.852698, ' yes': -7.88877, ' ': -7.934191}
{' Yes': -0.006635862, ' No': -5.7562485, 'Yes': -5.94886, '\n': -8.234795, ' ': -8.237679}
{' Yes': -0.01755491, ' No': -4.3645034, 'Yes': -6.0264335, '\n': -6.6843004, ' ': -7.9076185}
{' Yes': -0.033895485, ' No': -3.6095273, 'Yes': -5.664795, '\n': -6.889105, ' C': -7.6754475}
{' Yes': -0.7445984, ' No': -0.91974443, '\n': -3.0904617, 'No': -3.1178474, 'Yes': -4.0783157}
{' No': -0.2734198, ' Yes': -1.8386378, 'No': -3.1348488, '\n': -3.8862088, ' ': -4.9030027}
{' Yes': -0.66896397, ' No': -0.86828, ' C': -3.986995, 'No': -4.0182962, '\n': -4.269853}
{' Yes': -0.055430252, ' No': -3.6777313, 'Yes': -4.1179643, ' C': -5.4634748, '\n': -5.7258625}
{' Yes': -0.33062208, '\n': -1.7505151, ' No': -3.1621175, ' ': -3.44093, 'Yes': -3.696303}
{' No': -0.836417, '\n': -1.2146825, ' Yes': -1.7303267, ' ': -3.0312946, 'No': -3.631066}
{'\n': -0.7623669, ' No': -0.85057217, ' Yes': -3.151838, ' ': -3.5870798, 'No': -3.7002654}
{'\n': -0.6959874, ' No': -1.3586918, ' Yes': -1.8086792, ' ': -3.386993, 'No': -3.8692737}
{' Yes': -0.005724374, 'Yes': -5.718933, ' No': -6.7094383, ' ': -7.307205, ' yes': -8.273104}
{' Yes': -0.0066722245, 'Yes': -5.7624965, ' No': -5.878511, ' ': -8.015005, ' yes': -8.662535}
{' Yes': -0.3567983, ' No': -1.2617589, ' C': -5.240608, 'Yes': -5.5321846, 'No': -5.6582465}
{' Yes': -0.017928828, ' No': -4.4722934, 'Yes': -5.446178, ' C': -6.9357505, ' ': -8.197838}
{' No': -0.732022, ' Yes': -1.5736948, 'No': -2.0407224, '\n': -2.188462, 'Yes': -3.626889}
{' No': -0.27613953, 'No': -2.0478241, '\n': -2.6266701, ' ': -3.8667994, ' Yes': -4.3997374}
{' No': -0.3684525, '\n': -2.047257, 'No': -2.0599427, ' Yes': -3.9687274, ' ': -4.0247273}
{' Yes': -0.44688275, ' No': -2.0233502, '\n': -2.4986157, 'Yes': -2.7022173, 'No': -3.3148255}
{' Yes': -0.058889303, ' No': -3.961437, 'Yes': -4.245754, ' ': -4.8598933, '\n': -5.1548405}
{' Yes': -0.022801314, 'Yes': -4.625159, ' ': -5.6575456, ' yes': -5.916592, ' No': -6.002747}
{' Yes': -0.20972209, ' No': -2.051246, 'Yes': -3.9689746, '\n': -4.3392634, 'No': -4.8130627}
{' Yes': -0.023741739, 'Yes': -4.0787416, ' yes': -5.936476, ' No': -6.658566, ' ': -7.003987}
{' Yes': -0.06185387, 'Yes': -3.682032, ' No': -3.743733, ' yes': -5.974295, 'No': -6.0072694}
{' Yes': -0.09411583, ' No': -3.2570968, 'Yes': -3.4100888, ' A': -5.338506, 'No': -5.3557105}
{' Yes': -0.6854917, ' No': -1.0666753, 'No': -2.781771, 'Yes': -3.5470235, ' C': -3.6108103}
{' Yes': -0.32192534, ' No': -2.0039682, 'Yes': -3.1099806, 'No': -3.3261385, ' C': -3.4747}
{' Yes': -0.37422302, ' No': -1.3667253, 'No': -3.4369705, 'Yes': -3.7795687, ' yes': -6.7918653}
{' No': -0.29353622, ' Yes': -2.0691423, 'No': -2.1117694, 'Yes': -5.1230726, ' Generally': -7.925187}
{' No': -0.579544, ' Yes': -1.1050547, 'No': -2.4580536, 'Yes': -4.2921143, ' Generally': -5.331753}
{' Yes': -0.39480653, ' No': -1.4182497, 'No': -3.0756478, 'Yes': -3.4080417, ' Generally': -5.7443585}
{' Yes': -0.07892804, 'Yes': -3.3367674, ' No': -3.4168336, 'No': -5.350395, ' yes': -6.528391}
{' Yes': -0.42026952, ' No': -1.2261758, 'No': -3.537638, 'Yes': -3.9961114, ' ': -7.1897507}
{' No': -0.7000955, ' Yes': -1.1459116, 'No': -1.896577, 'Yes': -3.6250734, ' Generally': -5.988797}
{' Yes': -0.3107308, ' No': -1.6638288, 'Yes': -3.230437, 'No': -3.3408856, ' Generally': -7.3822155}
{' Yes': -0.06425701, ' No': -2.917605, 'Yes': -5.0834618, 'No': -7.1854634, ' yes': -7.3615646}
{' Yes': -0.06386765, ' No': -2.981714, 'Yes': -4.6723537, 'No': -6.7048697, ' ': -8.43158}
{' No': -0.7223084, ' Yes': -0.74937755, 'No': -3.5440645, 'Yes': -4.6211214, ' Generally': -6.4993668}
{' Yes': -0.07629355, ' No': -2.9513793, 'Yes': -4.1359267, 'No': -5.6616697, ' Generally': -6.6981483}
{' No': -0.4097342, 'No': -1.1936163, ' Yes': -3.891658, '\n': -5.800647, 'Yes': -5.8577647}
{' No': -0.41377267, 'No': -1.1234, ' Generally': -5.708271, '\n': -6.028965, ' It': -6.2707253}
{' No': -0.8248171, 'No': -1.1978105, ' Yes': -1.9701341, ' C': -3.2149346, 'Yes': -3.5637696}
{' No': -0.7916569, 'No': -1.1010386, ' Yes': -2.003014, 'Yes': -3.7555718, ' Generally': -4.0432057}
{' No': -0.20630671, 'No': -1.7743801, ' Yes': -4.5323315, '\n': -6.0162177, ' ': -6.725662}
{' No': -0.13595934, 'No': -2.0694346, ' ': -8.448683, ' Yes': -8.556399, '\n': -8.926101}
{' No': -0.24947283, 'No': -1.6314327, ' Yes': -4.1482306, ' C': -5.3998137, ' Generally': -6.32286}
{' No': -0.35958788, 'No': -1.3584663, ' Yes': -3.3988867, 'Yes': -5.704308, ' C': -5.886552}
{' Yes': -0.018825883, ' yes': -4.163784, 'Yes': -6.052725, ' ': -7.874241, '\n': -8.837349}
{' Yes': -0.010311134, ' yes': -4.987949, 'Yes': -6.0357356, ' ': -7.2472205, '\n': -8.6498575}
{' Yes': -0.0077964193, ' yes': -5.321656, 'Yes': -6.6715455, ' No': -6.8740377, ' ': -8.138183}
{' Yes': -0.0067726756, ' yes': -5.488591, 'Yes': -6.181981, '\n': -8.342532, ' ': -8.721595}
{' Yes': -0.04843642, 'Yes': -3.703767, ' No': -4.9434767, '\n': -5.0647364, ' yes': -5.508111}
{' Yes': -0.25828257, ' No': -1.7241027, 'Yes': -4.0169134, 'No': -4.2370005, '\n': -4.9490957}
{' No': -0.17493276, ' Yes': -2.2701876, 'No': -3.038233, '\n': -5.5125217, 'Yes': -5.991116}
{' Yes': -0.035705477, 'Yes': -3.895321, ' No': -5.216089, '\n': -5.474546, ' yes': -6.1118293}
{' Yes': -0.5002745, '\n': -1.569706, ' No': -2.2526207, 'Yes': -3.3259676, ' ': -3.7609422}
{' No': -0.73976606, ' Yes': -1.4030789, '\n': -1.639199, 'No': -3.1263223, ' ': -3.739171}
{' No': -0.64747196, '\n': -1.400331, ' Yes': -1.865499, 'No': -2.9625256, ' ': -4.6158214}
{' Yes': -0.26500523, '\n': -1.8940603, 'Yes': -3.2917693, ' No': -3.6683538, ' ': -5.01639}
{' Yes': -0.013160953, 'Yes': -4.8567657, ' yes': -6.1509395, ' No': -6.8773, '\n': -6.9775004}
{' Yes': -0.008897151, 'Yes': -5.0112085, ' yes': -7.098184, ' ': -7.7565436, '\n': -7.848386}
{' Yes': -0.22385298, ' No': -1.7177399, 'Yes': -4.8183217, 'No': -5.0588593, '\n': -5.915683}
{' Yes': -0.0083121285, 'Yes': -4.9449387, ' yes': -7.6412954, '\n': -8.306362, ' Generally': -8.404743}
{' No': -0.52438396, 'No': -1.8112032, '\n': -2.172419, ' Yes': -2.3145165, 'Yes': -4.2903056}
{' No': -0.34917933, 'No': -1.7167349, '\n': -2.4370587, ' Yes': -4.236806, ' ': -4.645026}
{' No': -0.36140648, 'No': -2.0597515, '\n': -2.1689453, ' Yes': -3.1890676, ' ': -4.8484793}
{' Yes': -0.6992283, ' No': -1.5328006, '\n': -1.9950981, 'No': -2.7297478, 'Yes': -2.8246458}
{' Yes': -0.090671785, ' yes': -3.0092432, 'Yes': -4.1022086, ' No': -4.6477833, '\n': -5.301761}
{' Yes': -0.042007387, ' yes': -3.8504615, 'Yes': -4.3082557, '\n': -5.7499824, ' ': -6.374896}
{' Yes': -0.20118804, ' No': -2.3632553, ' yes': -3.2804112, 'Yes': -3.9304645, '\n': -4.0989256}
{' Yes': -0.03858094, ' yes': -3.882569, 'Yes': -4.2469683, '\n': -6.5483503, ' ': -7.6018414}
{' Yes': -0.007914932, 'Yes': -5.610141, '\n': -6.1538515, ' ': -6.761331, ' yes': -7.7316813}
{' Yes': -0.0055981334, 'Yes': -5.9434123, '\n': -6.838552, ' ': -7.1938066, ' No': -7.253949}
{' Yes': -0.114451505, ' No': -2.7085695, '\n': -3.5902035, ' ': -5.2187033, 'Yes': -5.604171}
{' Yes': -0.018517323, ' No': -5.001086, '\n': -5.220546, 'Yes': -5.679486, ' ': -6.6368947}
{' Yes': -0.32444048, '\n': -2.106152, ' No': -2.3409162, ' ': -3.4212306, 'Yes': -4.1956964}
{' Yes': -0.64009446, ' No': -1.2608411, '\n': -2.062332, ' ': -3.4955916, 'No': -4.261354}
{' No': -0.698104, '\n': -1.3411038, ' Yes': -1.780595, 'No': -3.5612135, ' ': -3.790103}
{' Yes': -0.23899417, '\n': -1.942905, ' No': -3.5780673, ' ': -3.9809833, 'Yes': -4.461078}
{' Yes': -0.2982536, ' No': -2.1332204, '\n': -2.4785285, ' ': -3.6392455, 'Yes': -4.199867}
{' No': -0.9684821, ' Yes': -1.0170509, '\n': -1.6927311, ' ': -3.170844, 'No': -4.0478063}
{' No': -0.283316, '\n': -2.2059445, ' Yes': -2.6000254, 'No': -3.7176993, ' C': -4.008637}
{' Yes': -0.36580315, '\n': -1.8944724, ' No': -2.239016, ' ': -3.9809592, ' C': -4.227312}
{' Yes': -0.0522598, '\n': -3.675627, ' ': -4.2761803, 'Yes': -5.1063976, ' No': -5.3736725}
{' Yes': -0.037533674, '\n': -4.131604, ' ': -4.6694264, ' No': -5.0411043, 'Yes': -5.5041246}
{' No': -0.6403974, ' Yes': -1.2949136, '\n': -1.9432939, ' ': -3.7198057, ' C': -4.2891173}
{' Yes': -0.06723454, '\n': -3.0946085, ' ': -4.7949605, 'Yes': -5.100437, ' No': -5.6756477}
{' No': -0.15733057, ' Yes': -2.808841, 'No': -3.2179213, '\n': -3.4712436, ' ': -4.608793}
{' No': -0.10532006, 'No': -3.1316125, '\n': -3.663414, ' Yes': -4.060138, ' ': -4.6058636}
{' No': -0.13762277, '\n': -3.0514219, ' Yes': -3.2118297, 'No': -3.770071, ' ': -4.5852084}
{' Yes': -0.42872062, ' No': -1.4094812, '\n': -2.776476, ' ': -4.184122, 'Yes': -4.668705}
{' Yes': -0.074731566, '\n': -3.9652572, ' No': -4.019476, ' ': -4.195638, 'Yes': -4.35556}
{' Yes': -0.05304961, '\n': -4.2030983, ' ': -4.5471387, ' No': -4.5592084, 'Yes': -4.60055}
{' Yes': -0.4916963, ' No': -1.19205, '\n': -3.4708548, ' C': -4.263055, ' ': -4.412059}
{' Yes': -0.0398073, 'Yes': -4.481141, '\n': -4.6163163, ' No': -4.6981783, ' ': -5.7365365}
{' Yes': -0.0049716593, 'Yes': -5.8433943, ' A': -7.200638, ' No': -7.496944, ' Generally': -7.5874066}
{' Yes': -0.0063869464, 'Yes': -5.7046366, ' Generally': -6.584634, ' A': -6.848772, ' No': -8.173825}
{' Yes': -0.05361041, ' C': -3.1977124, 'Yes': -5.3448586, ' No': -5.605654, ' Generally': -6.1653957}
{' Yes': -0.08956036, ' C': -2.6368473, 'Yes': -5.224793, ' No': -5.225455, ' Generally': -6.1101475}
{' Yes': -0.21858202, ' No': -1.7827758, 'Yes': -4.4688797, 'No': -4.7446747, ' Generally': -5.3601665}
{' Yes': -0.17651646, ' No': -2.1047983, 'Yes': -4.001105, 'No': -4.657542, ' Generally': -5.1434636}
{' Yes': -0.34550142, ' No': -1.5363773, ' C': -3.2316155, ' Generally': -4.238772, 'No': -4.527035}
{' Yes': -0.035310403, 'Yes': -4.3216434, ' C': -4.4909263, ' No': -5.3766, ' Generally': -5.6618624}
{' Yes': -0.18725595, ' No': -2.025877, 'Yes': -4.2207737, '\n': -4.582918, 'No': -4.995966}
{' Yes': -0.24526225, ' No': -1.9071388, '\n': -3.5435045, 'Yes': -4.17309, ' ': -4.644449}
{' No': -0.085958175, 'No': -3.2726552, ' Yes': -3.8172696, '\n': -4.6538596, ' C': -4.729093}
{' Yes': -0.22327234, ' No': -2.8035314, ' C': -2.8411996, '\n': -3.2066174, 'Yes': -3.8183537}
{' Yes': -0.0070373523, 'Yes': -5.286147, ' No': -7.0236726, ' A': -7.390074, ' Generally': -8.750611}
{' Yes': -0.024883762, ' No': -4.749209, 'Yes': -4.755884, ' A': -5.104483, ' Generally': -7.6215043}
{' Yes': -0.14309874, ' C': -2.2910879, ' No': -4.1517577, 'Yes': -4.591583, ' Generally': -5.5676737}
{' Yes': -0.13723078, ' C': -2.327521, 'Yes': -4.22445, ' No': -4.485339, ' Generally': -6.050513}
{' No': -0.09636771, 'No': -2.705981, '\n': -4.4556723, ' Yes': -5.403907, ' Generally': -5.5323777}
{' No': -0.20251542, 'No': -2.4061747, ' Yes': -3.3883636, '\n': -3.6567712, ' Generally': -4.1057076}
{' No': -0.16144906, 'No': -2.741344, ' C': -3.3088527, '\n': -4.138002, ' Yes': -4.242746}
{' No': -0.67113084, ' Yes': -1.5832726, ' C': -2.1264873, '\n': -2.7171094, 'No': -3.0219057}
{' No': -0.24411157, ' Yes': -1.8915459, 'No': -3.0555756, ' Generally': -4.638452, 'Yes': -5.940885}
{' Yes': -0.22172421, ' No': -2.0628994, 'Yes': -3.758572, ' Generally': -4.218556, 'No': -4.2423296}
{' Yes': -0.8450739, ' No': -1.0379297, ' C': -2.0097334, ' Generally': -3.3422298, 'No': -3.6576731}
{' Yes': -0.056216247, 'Yes': -3.4724054, ' C': -4.5765047, ' No': -5.0523367, ' Generally': -6.1130447}
{' Yes': -0.011232906, ' No': -5.2856107, 'Yes': -5.7064533, ' ': -6.7955112, '\n': -7.301333}
{' Yes': -0.0055026547, 'Yes': -5.8170586, ' No': -6.622455, ' ': -7.9160576, ' A': -7.9532104}
{' Yes': -0.048580445, ' No': -3.3725777, '\n': -5.4156, 'Yes': -5.6560764, ' C': -5.7015567}
{' Yes': -0.013318835, ' No': -5.295303, 'Yes': -5.474981, ' C': -6.110042, '\n': -6.944761}
{' No': -0.16135134, 'No': -2.8502777, ' Yes': -3.358533, '\n': -3.4231367, ' ': -4.410041}
{' No': -0.09318608, 'No': -3.027207, '\n': -3.567025, ' ': -4.8725095, ' A': -5.837511}
{' No': -0.18330222, ' C': -2.9545555, ' Yes': -3.153231, 'No': -3.2366087, '\n': -3.772793}
{' Yes': -0.8629441, ' C': -1.3691888, ' No': -1.3731198, '\n': -3.491709, 'No': -4.2178764}
{' No': -0.7871215, '\n': -1.0611387, ' Yes': -2.3544872, ' ': -3.0879197, 'No': -3.3970816}
{' No': -0.33497876, '\n': -1.6063869, 'No': -3.2475955, ' ': -3.5572479, ' Yes': -4.8474717}
{' No': -0.71588916, '\n': -0.84810084, 'No': -3.3313904, ' ': -3.4616895, ' C': -4.4382954}
{'\n': -0.4549305, ' No': -1.980836, ' Yes': -2.2126362, ' C': -2.9405568, ' ': -3.068246}
{' Yes': -0.09513316, ' No': -2.5328317, 'Yes': -5.466017, ' ': -5.5828934, ' A': -6.64332}
{' No': -0.13855276, ' Yes': -2.1353903, 'No': -5.034545, ' ': -6.1360655, ' A': -6.4564786}
{' No': -0.12155553, ' Yes': -2.8853416, ' C': -3.248882, 'No': -4.391964, '\n': -5.6148243}
{' No': -0.6222208, ' Yes': -1.1276072, ' C': -2.1135137, 'No': -4.5079517, 'Yes': -5.742578}
{' No': -0.3903555, 'No': -1.5913596, '\n': -2.8767598, ' ': -3.805936, ' Yes': -3.9159193}
{' No': -0.17282112, 'No': -2.0781918, '\n': -3.827715, ' ': -4.6486855, ' A': -6.5598755}
{' No': -0.3214542, 'No': -1.8539649, '\n': -2.4512687, ' ': -4.0889235, ' C': -4.4980726}
{' No': -0.48506415, 'No': -1.829806, ' C': -2.3912475, '\n': -2.6627357, ' Yes': -3.520026}
{' Yes': -0.05145197, 'Yes': -4.099042, ' ': -4.672019, ' A': -4.8255606, '\n': -5.04132}
{' Yes': -0.14557357, ' No': -2.6630447, ' A': -3.6183326, ' ': -4.3327246, 'Yes': -4.386359}
{' No': -0.39539975, ' Yes': -1.9330317, ' C': -2.5827644, 'No': -3.0718791, '\n': -3.4334013}
{' Yes': -0.06036311, ' C': -3.5994005, 'Yes': -3.8934224, ' ': -5.8572106, ' yes': -5.9891477}
{' Yes': -0.70793265, ' No': -0.8615563, 'No': -3.117225, 'Yes': -4.022479, ' A': -4.174121}
{' Yes': -0.7443623, ' No': -0.8848156, 'No': -2.898398, ' A': -3.7385488, 'Yes': -3.7653108}
{' No': -0.2707895, 'No': -2.0097842, ' Yes': -3.0068107, ' C': -3.423385, '\n': -5.134359}
{' Yes': -0.48046595, ' No': -2.0729897, ' C': -2.0778341, 'Yes': -2.8784873, 'No': -3.2679434}
{' No': -0.10593733, 'No': -2.4832966, ' Yes': -4.1603594, 'Yes': -7.307675, ' ': -7.6010885}
{' No': -0.13900217, 'No': -2.0623612, ' Yes': -6.1723447, ' ': -8.196859, 'Yes': -8.812191}
{' No': -0.14709814, 'No': -2.1999831, ' Yes': -3.8112674, 'Yes': -6.7645884, ' C': -6.848712}
{' No': -0.3959021, ' Yes': -1.6813844, 'No': -2.0884106, 'Yes': -4.29926, ' Generally': -6.9160147}
{' No': -0.2202941, ' Yes': -2.225831, 'No': -2.5079432, 'Yes': -5.3169127, ' ': -6.3340783}
{' No': -0.09575757, 'No': -2.4356756, ' Yes': -6.1894574, '\n': -7.260321, ' ': -7.286616}
{' No': -0.33521974, 'No': -1.492986, ' Yes': -3.0638666, 'Yes': -5.126689, ' C': -5.941985}
{' No': -0.17310053, 'No': -2.0022821, ' Yes': -3.993945, '\n': -6.3047953, 'Yes': -6.4750986}
{' No': -0.015082789, 'No': -4.2974176, ' Yes': -6.8898416, ' ': -8.295018, ' no': -10.635743}
{' No': -0.024056002, 'No': -3.76919, ' Yes': -7.8255563, ' ': -8.714588, ' A': -9.895182}
{' No': -0.0771898, ' Yes': -3.3287287, 'No': -3.3312578, ' C': -6.7771444, 'Yes': -7.2276354}
{' Yes': -0.4591629, ' No': -1.1279441, 'No': -3.6975622, 'Yes': -4.243768, ' C': -6.1037493}
{' No': -0.42555413, 'No': -1.0728797, '\n': -6.374299, ' ': -6.8210444, ' Generally': -7.599639}
{' No': -0.38280758, 'No': -1.1577519, '\n': -6.371405, ' ': -7.162552, ' Generally': -7.370264}
{' No': -0.6125409, 'No': -0.9783399, ' C': -3.5315452, ' Yes': -3.948091, '\n': -4.320398}
{' No': -0.5867282, 'No': -0.8741695, '\n': -4.6468706, ' C': -4.78782, ' Generally': -5.644002}
{' No': -0.14331493, 'No': -2.1071877, '\n': -5.4871793, ' ': -6.2606816, ' A': -6.4944263}
{' No': -0.16934498, 'No': -1.883523, '\n': -6.8848934, ' A': -6.963821, ' ': -7.4502244}
{' No': -0.20560761, 'No': -1.7776443, ' C': -4.716607, ' Yes': -5.4044886, ' ': -7.14949}
{' No': -0.34065422, 'No': -1.3925112, ' C': -3.7297854, ' Yes': -4.682409, '\n': -5.8863654}
{' Yes': -0.007977955, ' yes': -5.3383875, 'Yes': -6.188588, ' ': -7.445842, ' No': -8.201268}
{' Yes': -0.0052074026, ' yes': -5.9089947, 'Yes': -6.2992325, ' ': -7.787899, ' No': -9.063528}
{' Yes': -0.084095895, ' No': -2.5824652, ' yes': -6.041333, 'Yes': -6.6718736, ' ': -7.401299}
{' Yes': -0.007578026, 'Yes': -5.7495217, ' yes': -6.264652, ' C': -6.3554206, ' No': -7.9346457}
{' No': -0.3137493, ' Yes': -1.806135, 'No': -2.6959515, '\n': -4.0203915, ' ': -4.6703353}
{' No': -0.51256746, ' Yes': -1.212223, 'No': -2.8375356, '\n': -4.165888, 'Yes': -4.307543}
{' No': -0.10234739, 'No': -2.8696852, ' Yes': -3.6942263, '\n': -4.544781, ' ': -6.138245}
{' Yes': -0.08079905, 'Yes': -3.0726087, '\n': -4.567457, ' C': -4.872604, ' No': -4.9969687}
{' Yes': -0.33365646, '\n': -1.7383806, 'Yes': -2.8437653, ' ': -3.8903902, ' No': -4.2445297}
{' No': -0.6466232, '\n': -1.0278907, 'No': -2.8568988, ' ': -3.5993836, ' Yes': -3.640777}
{'\n': -0.80617446, ' No': -1.1977266, ' Yes': -1.7887796, 'No': -3.4183095, ' C': -3.9488115}
{'\n': -0.8141835, ' Yes': -0.8395169, ' C': -2.9928885, 'Yes': -3.278005, ' ': -4.2092314}
{' Yes': -0.067522414, ' No': -3.1224616, 'Yes': -4.4511247, ' ': -5.807017, '\n': -5.9678636}
{' Yes': -0.032061893, ' No': -4.11806, 'Yes': -4.6436915, ' ': -6.296536, '\n': -6.6348085}
{' No': -0.050564602, 'No': -3.6586022, ' Yes': -4.046168, '\n': -6.0038953, ' C': -6.1256027}
{' Yes': -0.024521595, 'Yes': -4.207953, ' No': -5.2542386, ' C': -6.3574753, '\n': -6.8824387}
{' No': -0.36398235, 'No': -1.6498864, '\n': -2.3788347, ' ': -4.4552813, ' Yes': -5.241234}
{' No': -0.34019414, 'No': -1.5836022, '\n': -2.6174347, ' ': -4.7517214, ' Yes': -7.4026937}
{' No': -0.36044925, 'No': -1.8581699, '\n': -2.0304666, ' ': -4.731362, ' N': -6.4303994}
{' No': -0.49972966, 'No': -1.4493548, '\n': -1.9428375, ' ': -4.5010166, ' C': -6.6305046}
{' Yes': -0.067934826, ' yes': -3.4428756, 'Yes': -3.782536, '\n': -5.377581, ' ': -5.8138566}
{' Yes': -0.052329887, 'Yes': -3.9436145, ' yes': -3.9909778, '\n': -5.0660663, ' ': -5.627464}
{' Yes': -0.42813668, ' No': -1.6256523, '\n': -2.7500436, ' C': -3.7945478, ' yes': -3.8963103}
{' Yes': -0.070348285, 'Yes': -3.5724711, ' yes': -4.038839, ' C': -4.6617084, '\n': -4.7766566}
{' Yes': -0.06817951, ' No': -3.3131418, '\n': -4.2839193, ' ': -4.7879195, 'Yes': -5.46671}
{' Yes': -0.05765841, ' No': -3.138078, '\n': -5.5409346, ' ': -5.6285925, 'Yes': -5.9076815}
{' Yes': -0.5438095, ' No': -1.2455115, '\n': -2.421537, ' C': -3.8055794, ' ': -4.3267684}
