{' Yes': -0.0005849042, 'Yes': -7.5844274, ' yes': -10.218534, ' Spider': -10.872956, ' The': -11.29661}
{' No': -0.06747516, ' Yes': -3.4347694, 'No': -3.4503675, 'Yes': -7.0730824, ' The': -8.764523}
{' Yes': -0.18499146, ' No': -1.9477305, ' Ending': -4.0035143, 'Yes': -5.213758, 'No': -6.3196745}
{' Yes': -0.0016033532, 'Yes': -6.475793, ' No': -10.490247, ' yes': -11.060067, ' The': -11.421738}
{' Yes': -0.015067902, 'Yes': -4.9151416, ' Energy': -4.925842, ' ': -9.093854, 'Energy': -9.755486}
{' Yes': -0.02273808, ' No': -4.2852235, 'Yes': -4.8074384, 'No': -8.124714, ' Father': -9.256405}
{' Yes': -0.002384063, 'Yes': -6.4455714, ' No': -7.247241, ' yes': -10.445129, ' The': -10.5394125}
{' Yes': -0.009178752, ' No': -4.9735303, 'Yes': -6.2334957, ' The': -8.885838, ' yes': -10.106743}
{' No': -0.09701455, ' Yes': -2.5173597, 'No': -4.5366507, 'Yes': -7.375018, ' Absolutely': -8.476199}
{' Yes': -0.004430232, 'Yes': -5.6250625, ' No': -7.2916474, ' yes': -9.70496, ' The': -10.538758}
{' No': -0.07589761, ' Yes': -3.3146307, 'No': -3.3647351, 'Yes': -6.8995023, ' The': -7.49806}
{' Yes': -0.0045899777, 'Yes': -5.392907, ' yes': -11.182665, ' YES': -12.213959, '\n': -12.41165}
{' Yes': -0.0019440625, 'Yes': -6.262521, ' yes': -10.810299, ' The': -12.220154, ' ': -12.386933}
{' Yes': -0.005551382, ' No': -5.8398414, 'Yes': -5.988316, ' The': -9.909522, ' yes': -10.470733}
{' Yes': -0.004339415, 'Yes': -5.500757, ' No': -8.969185, ' yes': -9.5830765, ' The': -11.076107}
{' Yes': -0.21070257, ' No': -1.7303748, ' Bl': -5.298898, 'Yes': -5.3308463, 'No': -6.165895}
{' Yes': -0.011662241, ' No': -4.9458966, 'Yes': -5.471785, ' yes': -8.876288, 'No': -9.964806}
{' Yes': -0.08109435, ' No': -2.6118636, 'Yes': -5.664048, 'No': -7.2509394, ' The': -8.548242}
{' Yes': -0.0059755836, 'Yes': -5.1908603, ' No': -8.288495, ' yes': -9.966689, ' ': -10.1302}
{' Yes': -0.0047458564, 'Yes': -6.0410404, ' No': -6.0732713, ' yes': -10.962357, ' The': -11.133881}
{' Yes': -0.004359469, 'Yes': -5.4629145, ' The': -10.127044, ' yes': -10.32897, ' No': -11.0471115}
{' Yes': -0.001984015, 'Yes': -6.2509403, ' The': -10.7917385, ' yes': -10.829678, ' ': -12.084782}
{' Yes': -0.00842855, 'Yes': -4.9007125, ' No': -7.4551272, ' Parent': -8.496162, ' yes': -9.586153}
{' Yes': -0.003889517, 'Yes': -5.572087, ' No': -10.613634, ' yes': -10.667747, ' ': -11.245929}
{' Yes': -0.015522006, 'Yes': -4.1944275, ' No': -8.402125, ' ': -10.218071, ' yes': -10.2620735}
{' Yes': -0.52044815, ' No': -0.9152864, 'Yes': -6.2514944, 'No': -6.317729, ' The': -6.6810274}
{' No': -0.13507299, ' Yes': -2.1101553, 'No': -5.453863, 'Yes': -7.6174455, ' Not': -8.49803}
{' Yes': -0.021425784, ' No': -4.222613, 'Yes': -5.1406193, ' The': -7.672474, 'No': -9.040354}
{' Yes': -0.0146610625, 'Yes': -4.319213, ' No': -7.34048, ' The': -8.241158, ' yes': -9.01791}
{' Yes': -0.0075532226, 'Yes': -4.9083595, ' yes': -9.557657, ' The': -10.226736, ' ': -11.491313}
{' Yes': -0.005161268, 'Yes': -5.5999827, ' Doctor': -6.936967, ' No': -8.021239, ' yes': -9.26156}
{' Yes': -0.05665534, ' No': -3.3403673, 'Yes': -4.049266, 'No': -6.20011, ' ': -9.59616}
{' Yes': -0.007321553, 'Yes': -5.2707663, ' No': -6.2074366, ' yes': -10.024639, ' The': -10.315099}
{' Yes': -0.08496343, ' No': -2.5712552, 'Yes': -5.470736, 'No': -7.4108987, ' ': -9.953268}
{' Yes': -0.33178782, ' No': -1.288283, 'Yes': -5.5185475, 'No': -6.099301, ' The': -8.927158}
{' Yes': -0.6702331, ' No': -0.7384609, 'No': -5.0870214, 'Yes': -5.54364, ' The': -8.793699}
{' Yes': -0.044585336, ' No': -3.2032862, 'Yes': -5.94053, 'No': -8.7739525, ' yes': -9.777995}
{' Yes': -0.009318622, 'Yes': -4.8527484, ' No': -6.7365785, ' The': -8.571387, ' yes': -10.220136}
{' Yes': -0.024156624, ' No': -4.2552643, 'Yes': -4.71813, ' The': -7.667288, 'No': -8.870493}
{' Yes': -0.004168396, 'Yes': -5.520352, ' No': -9.244755, ' yes': -10.736975, ' The': -10.990683}
{' Yes': -0.006321324, 'Yes': -5.169121, ' No': -7.570799, ' The': -10.077004, ' yes': -10.70933}
{' No': -0.0062198993, 'No': -5.116634, ' Yes': -9.636862, ' Not': -9.768215, ' Unfortunately': -10.250622}
{' No': -0.19558834, ' Yes': -1.921506, 'No': -4.2210226, ' In': -4.5638075, 'Yes': -6.2920504}
{' Yes': -0.020163424, 'Yes': -4.298142, ' Loving': -5.193461, ' ': -8.189791, '\n': -8.590496}
{' Yes': -0.007055839, ' No': -5.372055, 'Yes': -6.139156, ' The': -9.250475, ' ': -10.0931225}
{' No': -0.4017043, ' Yes': -1.1262336, 'No': -5.409759, 'Yes': -6.449914, ' The': -8.4216585}
{' Yes': -0.075111486, ' No': -2.6752853, 'Yes': -6.034484, ' The': -7.5723605, 'No': -8.087866}
{' Yes': -0.006263742, 'Yes': -5.120163, ' Butter': -9.680065, ' ': -9.798704, ' No': -9.876193}
{' Yes': -0.009035235, 'Yes': -4.7321014, ' No': -8.994507, ' yes': -10.374767, ' ': -11.361475}
{' No': -0.044056736, 'No': -3.4159648, ' Yes': -4.61127, 'Yes': -8.759296, ' ': -9.107198}
{' Yes': -0.0123133715, ' No': -4.6651587, 'Yes': -6.0036745, ' The': -8.676484, 'No': -9.615396}
{' No': -0.6317616, ' Yes': -0.7786122, 'No': -5.308733, 'Yes': -5.7841873, ' The': -6.834129}
{' No': -0.02374125, ' Yes': -4.0843472, 'No': -5.0744233, ' The': -8.936562, 'Yes': -9.001598}
{' Yes': -0.02710395, 'Yes': -4.211663, ' She': -5.0675855, ' No': -5.2771153, ' The': -8.788048}
{' Yes': -0.012987273, 'Yes': -4.5276756, ' No': -6.249134, ' yes': -10.049588, '\n': -10.312316}
{' Yes': -0.0060587553, 'Yes': -5.375657, ' No': -6.669493, ' The': -9.376317, ' yes': -10.59363}
{' Yes': -0.007607033, 'Yes': -5.5976577, ' No': -5.644842, ' The': -8.450552, ' yes': -9.776815}
{' Yes': -0.5646918, ' No': -0.85823464, 'No': -5.4905033, 'Yes': -5.7642074, '\n': -9.250188}
{' Yes': -0.007728421, ' No': -5.394027, 'Yes': -5.78845, 'No': -10.641263, ' yes': -10.750002}
{' Yes': -0.1784191, ' No': -1.8410091, 'Yes': -5.7347527, 'No': -6.8567944, ' The': -8.389605}
{' Yes': -0.10937116, ' No': -2.312542, 'Yes': -5.6672153, 'No': -7.3887115, ' Minute': -8.531063}
{' Yes': -0.18669531, ' No': -1.8207171, 'Yes': -5.0958023, 'No': -6.2470074, ' ': -9.534138}
{' Yes': -0.05107333, ' No': -3.1445544, 'Yes': -5.1114025, 'No': -7.7675, ' The': -9.320986}
{' Yes': -0.0057854024, ' No': -5.897844, 'Yes': -6.3819184, ' The': -6.794245, ' yes': -8.784702}
{' Yes': -0.003626864, 'Yes': -5.8124013, ' The': -8.203849, ' No': -8.233077, ' yes': -9.800035}
{' Yes': -0.3994214, ' No': -1.1589143, 'No': -4.9378624, 'Yes': -5.1453147, ' The': -6.6182566}
{' No': -0.0155296335, 'No': -4.845819, ' Yes': -4.952907, ' Not': -8.420375, ' The': -9.459533}
{' No': -0.08030212, ' Yes': -2.6013954, 'No': -6.22511, ' The': -7.9768286, ' Length': -8.145604}
{' No': -0.5241986, ' Yes': -0.91100514, 'No': -5.885793, 'Yes': -6.4713492, ' Not': -6.9954543}
{' Yes': -0.002938192, 'Yes': -5.865061, ' yes': -9.959244, ' The': -10.50016, ' ': -11.802651}
{' Yes': -0.004202694, 'Yes': -5.495539, ' yes': -10.0058, ' ': -11.1250105, ' The': -11.255474}
{' Yes': -0.009006545, 'Yes': -4.7317257, ' yes': -9.678193, ' ': -10.5035305, '\n': -10.7366705}
{' Yes': -0.0017116527, 'Yes': -6.3949037, ' yes': -10.484587, ' ': -12.22394, ' YES': -12.910822}
{' Yes': -0.013017285, ' No': -4.49871, 'Yes': -6.454433, ' The': -9.145599, ' yes': -10.073054}
{' Yes': -0.011850525, ' No': -5.185795, 'Yes': -5.209633, ' yes': -8.694511, ' The': -8.732916}
{' Yes': -0.0045792, 'Yes': -5.673766, ' No': -6.9400816, ' The': -9.4211645, ' yes': -10.325028}
{' Yes': -0.008413401, 'Yes': -5.389166, ' Empire': -5.7169604, ' No': -8.198909, ' The': -8.960773}
{' No': -0.66430044, ' Yes': -0.7374493, 'No': -5.6157317, 'Yes': -6.0791025, ' The': -7.4605227}
{' No': -0.011839549, 'No': -4.520392, ' Yes': -7.2118115, ' ': -9.79191, '\n': -10.202463}
{' Yes': -0.05839422, ' No': -2.9926803, 'Yes': -5.3694367, ' Hunger': -7.0162187, 'No': -7.2534947}
{' Yes': -0.00245146, 'Yes': -6.1156106, ' No': -8.64579, ' yes': -10.651987, ' The': -10.703222}
{' Yes': -0.0015863383, 'Yes': -6.475619, ' yes': -10.792075, ' No': -11.363529, ' ': -12.270862}
{' Yes': -0.5932039, '\n': -1.0616106, ' No': -2.4715056, ' ': -5.0763693, 'Yes': -5.1538453}
{' Yes': -0.010072863, ' No': -4.923811, 'Yes': -6.041189, ' The': -8.563097, ' yes': -9.300799}
{' Yes': -0.06216443, ' No': -2.961311, 'Yes': -4.8810463, 'No': -7.2492003, ' The': -9.301978}
{' Yes': -0.52139324, ' No': -0.9120907, 'No': -6.1616993, 'Yes': -6.3308253, ' The': -7.8661823}
{' Yes': -0.010913422, 'Yes': -5.1912684, ' No': -5.3074355, ' ': -9.200028, ' The': -9.468011}
{' Yes': -0.0073776334, ' No': -5.390194, 'Yes': -5.9642253, ' The': -9.065125, ' yes': -9.829027}
{' Yes': -0.0030058676, 'Yes': -5.994636, ' No': -7.861341, ' The': -9.543424, ' yes': -10.463444}
{' Yes': -0.0055529405, 'Yes': -5.4313416, ' No': -7.3043065, ' The': -7.8404255, ' yes': -10.135174}
{' Yes': -0.010539646, ' No': -5.1136737, 'Yes': -5.5899158, ' The': -7.942558, ' ': -8.587729}
{' Yes': -0.027478328, ' No': -3.8111048, 'Yes': -5.4671774, ' The': -8.068993, 'No': -8.42628}
{' Yes': -0.059945762, ' No': -2.933057, 'Yes': -5.4381785, 'No': -7.9500804, ' ': -9.353002}
{' Yes': -0.10541695, ' No': -2.3304362, 'Yes': -6.332689, ' The': -7.5737967, 'No': -8.33029}
{' Yes': -0.1260002, ' No': -2.181092, 'Yes': -5.494044, 'No': -7.3320274, ' The': -7.7413354}
{' No': -0.017458528, 'No': -4.205693, ' Yes': -6.1471577, '\n': -9.753876, ' ': -9.8278885}
{' Yes': -0.35306093, ' No': -1.2390721, 'Yes': -5.2220583, 'No': -6.197222, ' The': -8.641051}
{' Yes': -0.036381487, ' No': -3.4637074, 'Yes': -5.534315, 'No': -8.542367, ' The': -9.3106575}
{' Yes': -0.27172711, ' No': -1.4579892, 'Yes': -5.8554482, 'No': -6.7643266, ' The': -7.134632}
{' No': -0.12279464, ' Yes': -2.2021136, 'No': -5.6297545, 'Yes': -6.7915144, ' The': -8.897754}
{' No': -0.08498686, ' Yes': -2.5951834, 'No': -5.1707873, 'Yes': -6.943282, ' The': -9.429101}
{' Yes': -0.09135283, ' No': -2.592606, 'Yes': -4.829067, ' The': -5.881554, 'No': -7.397814}
{' No': -0.3963127, ' Yes': -1.1417446, 'No': -5.523714, 'Yes': -5.8249564, ' The': -7.369379}
{' No': -0.14729233, ' Yes': -2.5158036, 'No': -2.966739, 'Yes': -5.5749216, ' Not': -7.4303865}
{' Yes': -0.007745901, 'Yes': -4.8869743, ' yes': -9.932388, ' The': -9.936238, '\n': -10.657053}
{' Yes': -0.004043608, 'Yes': -5.7359357, ' No': -7.217024, ' Purple': -10.584227, ' yes': -10.782671}
{' Yes': -0.00532233, 'Yes': -5.389199, ' No': -7.587531, ' Purple': -8.87701, ' yes': -10.383989}
{' Yes': -0.0037892342, 'Yes': -5.6413836, ' No': -9.273606, ' yes': -9.827128, ' The': -10.057563}
{' Yes': -0.011132246, 'Yes': -5.195403, ' No': -5.2393675, ' The': -9.706509, 'No': -9.715423}
{' Yes': -0.004880555, 'Yes': -5.58167, ' No': -7.3213663, ' The': -8.294294, ' yes': -9.452622}
{' Yes': -0.007687938, 'Yes': -5.519117, ' No': -5.679462, ' The': -9.425937, ' yes': -9.473802}
{' Yes': -0.042184066, ' No': -3.352433, 'Yes': -5.170409, 'No': -7.5481424, ' yes': -10.540004}
{' Yes': -0.0029604333, 'Yes': -6.1811256, ' No': -7.152218, ' yes': -10.367472, ' The': -10.481861}
{' Yes': -0.0028013068, 'Yes': -6.078046, ' No': -7.857232, ' yes': -9.833781, ' The': -10.066201}
{' Yes': -0.0017195947, 'Yes': -6.449031, ' yes': -9.598768, ' ': -10.852248, ' The': -10.991256}
{' Yes': -0.0100427, 'Yes': -4.620936, ' No': -9.889116, '\n': -10.23279, ' yes': -10.925741}
{' Yes': -0.009470242, 'Yes': -4.9878445, ' No': -5.994463, 'No': -10.275766, ' yes': -10.6143}
{' No': -0.3418417, ' Yes': -1.2917032, 'No': -4.5983057, 'Yes': -5.63777, ' The': -7.693335}
{' No': -0.060732424, ' Yes': -2.9011981, 'No': -5.62414, 'Yes': -8.687254, ' ': -9.877398}
{' No': -0.3636972, ' Yes': -1.2103311, 'No': -5.267248, 'Yes': -6.522539, ' ': -9.540413}
{' Yes': -0.086967565, ' No': -2.5682528, 'Yes': -5.1958003, 'No': -7.12252, ' The': -9.041042}
{' Yes': -0.0029170332, 'Yes': -5.9056454, ' No': -9.419975, ' yes': -9.99402, ' The': -10.04137}
{' Yes': -0.0032848625, 'Yes': -5.856056, ' No': -8.166645, ' The': -9.662334, ' yes': -10.497196}
{' Yes': -0.052578762, ' No': -3.0311837, 'Yes': -6.180548, ' The': -7.893463, 'No': -8.09605}
{' Yes': -0.0024425578, 'Yes': -6.076934, ' The': -9.51394, ' yes': -10.238635, ' No': -10.943662}
{' Yes': -0.6186605, ' No': -0.78946364, 'No': -5.955654, 'Yes': -6.069269, ' The': -6.1444206}
{' Yes': -0.011187398, ' No': -4.998034, 'Yes': -5.5419283, ' The': -8.015599, ' yes': -10.0733385}
{' Yes': -0.048574317, ' No': -3.1269414, 'Yes': -5.832098, ' The': -8.059446, 'No': -8.501345}
{' No': -0.02638486, ' Yes': -3.8692, 'No': -5.352038, ' The': -8.878256, ' ': -9.093212}
{' Yes': -0.0029475796, 'Yes': -5.929835, ' No': -8.410203, ' yes': -10.422023, ' ': -11.396496}
{' Yes': -0.0053527122, 'Yes': -5.2740846, ' yes': -9.425429, ' ': -10.027079, ' The': -10.558182}
{' Yes': -0.43196607, ' No': -1.10415, ' Planet': -5.0180387, 'No': -5.073617, 'Yes': -5.27719}
{' Yes': -0.008970397, 'Yes': -4.7515182, ' No': -8.471447, ' yes': -10.324469, ' The': -10.671141}
{' Yes': -0.009464343, 'Yes': -4.7237067, ' No': -7.6919837, ' yes': -10.191649, ' ': -11.123447}
{' Yes': -0.0026651558, 'Yes': -5.971199, ' yes': -9.913937, ' No': -10.704908, ' ': -11.01709}
{' Yes': -0.004903433, 'Yes': -5.3289638, ' yes': -10.71845, ' ': -11.72307, ' The': -12.218832}
{' Yes': -0.025123695, 'Yes': -4.1402054, ' No': -4.769071, 'No': -8.358978, ' The': -9.651746}
{' Yes': -0.03845686, ' No': -3.443305, 'Yes': -5.293868, ' Circus': -7.9948277, 'No': -8.357121}
{' Yes': -0.004379944, 'Yes': -6.074295, ' No': -6.21019, ' ': -11.23982, ' yes': -11.328276}
{' Yes': -0.014020248, ' No': -4.8219614, 'Yes': -5.1697, 'No': -9.31496, ' yes': -10.299777}
{' Yes': -0.005462498, 'Yes': -5.255743, ' No': -8.633168, ' yes': -10.535111, ' The': -11.874045}
{' Yes': -0.004971539, ' No': -5.8737264, 'Yes': -6.2727475, ' The': -9.556843, ' Finger': -9.963879}
{' Yes': -0.07758773, ' No': -2.7889504, ' Finger': -4.797339, 'Yes': -5.659083, 'No': -7.2134686}
{' Yes': -0.008569818, 'Yes': -4.7720947, ' yes': -10.221134, ' ': -11.294775, ' The': -11.581768}
{' Yes': -0.0033281005, 'Yes': -5.770438, ' The': -9.526706, ' No': -9.8146105, ' yes': -10.118162}
{' Yes': -0.0046692607, 'Yes': -5.384905, ' No': -10.553597, ' yes': -10.564461, ' ': -11.222565}
{' Yes': -0.0035648907, 'Yes': -5.691556, ' The': -9.371418, ' yes': -9.992274, ' Sure': -10.742211}
{' No': -0.18445393, ' Yes': -1.9395655, 'No': -3.8155994, 'Yes': -6.122146, ' ': -8.994774}
{' Yes': -0.25839248, ' No': -1.50033, 'Yes': -5.816913, 'No': -6.706434, ' The': -8.780163}
{' Yes': -0.17932212, ' Sc': -1.9656018, 'Yes': -4.5066113, 'Sc': -5.102465, ' scared': -5.865553}
{' Yes': -0.042953074, ' Sc': -3.8101535, 'Yes': -4.2524652, ' No': -5.7667365, 'Sc': -7.4829006}
{' No': -0.05325761, ' Yes': -3.4032233, 'No': -4.030167, 'Yes': -7.584984, ' Not': -9.289492}
{' No': -0.03397509, ' Yes': -3.8162205, 'No': -4.543435, ' ': -7.9143343, 'Yes': -8.282088}
{' Yes': -0.009133398, 'Yes': -4.8550005, ' No': -6.7496324, ' The': -10.26286, ' ': -10.635084}
{' Yes': -0.07144079, ' No': -2.7355988, 'Yes': -5.685707, 'No': -8.079592, ' The': -8.794826}
{' Yes': -0.043099675, ' No': -3.2717524, 'Yes': -5.5762224, 'No': -8.21935, ' The': -9.409423}
{' Yes': -0.028572075, ' No': -3.7429407, 'Yes': -5.4965167, 'No': -8.667414, ' The': -9.406635}
{' Yes': -0.0019684262, 'Yes': -6.2507396, ' yes': -10.767558, ' No': -11.587416, ' ': -12.564607}
{' Yes': -0.0084207365, 'Yes': -4.802507, ' No': -9.464852, ' ': -10.224778, ' yes': -10.434123}
{' Yes': -0.0091636535, 'Yes': -4.7266397, ' The': -9.0746155, ' No': -9.419626, ' yes': -10.0754}
{' Yes': -0.006901943, ' No': -5.4427385, 'Yes': -6.042735, ' The': -9.263932, ' yes': -10.821309}
{' Yes': -0.25341547, ' No': -1.5254452, 'Yes': -5.6704926, 'No': -6.5866785, ' The': -6.8747487}
{' Yes': -0.009826942, ' No': -5.3065724, 'Yes': -5.387438, ' The': -9.351773, ' yes': -9.723622}
{' Yes': -0.0027918632, 'Yes': -6.002797, ' Repeat': -8.414794, ' yes': -10.115338, ' YES': -10.642961}
{' Yes': -0.0017309411, 'Yes': -6.396207, ' yes': -10.6149845, ' No': -10.817701, ' The': -11.757795}
{' Yes': -0.0007964676, 'Yes': -7.178426, ' yes': -10.667904, ' The': -12.304538, ' ': -13.049061}
{' Yes': -0.0019102608, 'Yes': -6.2744737, ' yes': -10.961948, ' The': -12.626207, ' YES': -13.6169815}
{' Yes': -0.0011384528, 'Yes': -6.798883, ' yes': -11.452752, ' The': -12.028407, ' No': -12.985666}
{' Yes': -0.0017834256, 'Yes': -6.6600103, ' No': -8.076565, ' Candle': -9.403336, ' Cand': -10.125245}
{' Yes': -0.00630393, ' No': -5.3503737, 'Yes': -6.732162, ' The': -8.1293125, ' yes': -10.84231}
{' Yes': -0.07698771, ' No': -2.6473632, 'Yes': -5.9361773, 'No': -8.042333, ' The': -8.638416}
{' Yes': -0.0021967143, 'Yes': -6.150373, ' No': -10.437366, ' yes': -11.126048, ' The': -11.209049}
{' Yes': -0.002700356, 'Yes': -5.969063, ' No': -9.7292795, ' The': -10.081182, ' yes': -10.511335}
{' Yes': -0.0028146938, 'Yes': -6.0281796, ' No': -8.037232, ' The': -10.385424, ' yes': -10.575776}
{' Yes': -0.0015093295, 'Yes': -6.5334, ' The': -10.730952, ' yes': -10.885395, ' No': -12.2808275}
{' No': -0.017693348, ' Yes': -4.3459272, 'No': -5.4783845, ' Unfortunately': -8.737332, ' Not': -8.799321}
{' Yes': -0.0031654476, 'Yes': -6.0565, ' No': -7.2487154, ' The': -9.76409, ' yes': -10.31895}
{' Yes': -0.0065012276, ' No': -5.3688264, 'Yes': -6.4089017, ' The': -9.087955, ' yes': -10.713995}
{' Yes': -0.059612613, ' No': -2.8876097, 'Yes': -6.3202305, 'No': -8.476788, ' The': -9.238163}
{' Yes': -0.0078092148, ' No': -5.144377, 'Yes': -6.2933297, ' The': -10.445276, 'No': -10.795546}
{' Yes': -0.0031096006, 'Yes': -5.8043995, ' No': -10.001027, ' yes': -10.898531, ' The': -11.211277}
{' Yes': -0.57637846, ' No': -0.8795306, 'No': -4.406689, 'Yes': -4.5511365, ' ': -8.894833}
{' Yes': -0.0009521147, 'Yes': -7.0392056, ' No': -10.191694, ' yes': -10.718283, ' The': -11.750167}
{' No': -0.0048665395, 'No': -5.534131, ' Yes': -7.0725617, ' ': -10.574084, ' The': -11.446882}
{' No': -0.36115626, ' Yes': -1.2095506, 'No': -5.6514673, 'Yes': -7.0784717, ' Not': -8.794308}
{' Yes': -0.004926315, ' No': -5.670438, 'Yes': -6.72421, ' The': -8.560879, ' yes': -10.2311735}
{' Yes': -0.1504529, ' No': -1.991731, 'Yes': -6.140195, 'No': -7.493087, ' The': -8.3343725}
{' Yes': -0.003920451, 'Yes': -5.5489182, ' yes': -11.164443, ' ': -13.151666, ' The': -13.286154}
{' Yes': -0.0026247555, 'Yes': -5.9589896, ' yes': -10.4712105, ' ': -12.481947, ' The': -12.502077}
{' Yes': -0.0041387104, 'Yes': -5.7111545, ' No': -7.463978, ' The': -8.532998, ' yes': -10.80216}
{' Yes': -0.0038614532, 'Yes': -5.6091123, ' No': -9.407097, ' The': -9.777049, ' yes': -10.37903}
{' Yes': -0.0024303095, 'Yes': -6.0392513, ' No': -11.034811, ' yes': -11.303316, ' ': -11.654066}
{' Yes': -0.0042049703, 'Yes': -5.5081644, ' No': -9.864688, ' The': -9.960238, ' yes': -10.635325}
{' Yes': -0.0027983184, 'Yes': -5.9243245, ' No': -10.28657, ' ': -10.37401, ' yes': -10.455139}
{' Yes': -0.0037691903, 'Yes': -5.943277, ' No': -6.851339, ' The': -10.385603, ' ': -10.994498}
{' No': -0.005748894, 'No': -5.602819, ' Yes': -6.250362, ' The': -10.430743, ' ': -10.530739}
{' Yes': -0.66453236, ' No': -0.7276847, 'No': -6.738186, 'Yes': -7.1182423, ' The': -8.64757}
{' Yes': -0.0029063323, 'Yes': -5.8615117, ' No': -11.027259, ' yes': -11.116567, ' The': -11.43448}
{' Yes': -0.00078084006, 'Yes': -7.194579, ' yes': -11.081138, ' ': -12.162615, ' The': -12.600694}
{' Yes': -0.0054457793, 'Yes': -5.589981, ' No': -6.4619427, ' The': -9.2920265, ' yes': -10.927212}
{' Yes': -0.0046824357, 'Yes': -5.3892016, ' No': -9.550307, ' yes': -11.144344, ' The': -11.364623}
{' No': -0.022499636, 'No': -4.2328134, ' Yes': -4.8867345, 'Yes': -9.148016, ' Unfortunately': -10.393797}
{' Yes': -0.13112918, ' No': -2.1381938, 'Yes': -5.7056236, 'No': -7.018462, ' Ending': -8.057764}
{' Yes': -0.0016233521, 'Yes': -6.606401, ' No': -8.391899, ' The': -10.899431, ' yes': -11.058125}
{' Yes': -0.015518373, ' Energy': -4.4155636, 'Yes': -5.810308, ' ': -8.969616, 'Energy': -10.127891}
{' Yes': -0.0033216998, 'Yes': -5.7928896, ' No': -8.436355, ' yes': -10.937156, ' The': -11.0826235}
{' Yes': -0.001074785, 'Yes': -6.958314, ' No': -9.234722, ' The': -11.347857, ' yes': -11.597511}
{' Yes': -0.0024371212, 'Yes': -6.648059, ' No': -6.8646092, ' The': -9.943353, ' yes': -10.452237}
{' No': -0.25658664, ' Yes': -1.5285058, 'No': -5.4624524, ' Absolutely': -5.6219845, 'Yes': -7.26302}
{' Yes': -0.0021792112, 'Yes': -6.1633024, ' yes': -10.289769, ' The': -10.656307, ' ': -12.290571}
{' Yes': -0.011136948, 'Yes': -5.048649, ' No': -5.456972, ' The': -8.5086355, ' ': -9.753932}
{' Yes': -0.0020889535, 'Yes': -6.180174, ' yes': -11.744917, ' YES': -12.638771, ' Strong': -12.810017}
{' Yes': -0.0007564426, 'Yes': -7.203635, ' yes': -11.56103, ' YES': -13.855213, ' ': -14.137189}
{' Yes': -0.0011650071, 'Yes': -6.8857718, ' No': -9.1318035, ' yes': -11.123045, ' The': -11.164739}
{' Yes': -0.0013966904, 'Yes': -6.612155, ' yes': -10.408428, ' The': -11.656237, ' No': -12.042968}
{' Yes': -0.09135061, ' No': -2.5237484, ' Bl': -5.5441666, 'Yes': -6.015895, 'No': -7.7358913}
{' Yes': -0.002751935, 'Yes': -6.0279746, ' No': -8.243282, ' yes': -9.858536, ' The': -11.306921}
{' Yes': -0.011275705, ' No': -4.7307754, 'Yes': -6.1098256, ' The': -9.471829, 'No': -9.810771}
{' Yes': -0.002294985, 'Yes': -6.172285, ' No': -9.096575, ' yes': -10.284012, ' The': -10.317493}
{' Yes': -0.0015888434, 'Yes': -6.4844794, ' No': -9.954309, ' yes': -11.668343, ' The': -13.046245}
{' Yes': -0.0019763699, 'Yes': -6.264169, ' The': -10.119038, ' yes': -10.829695, ' No': -12.513659}
{' Yes': -0.00091912015, 'Yes': -7.0304136, ' The': -11.107422, ' yes': -11.390964, ' No': -12.550765}
{' Yes': -0.0024188973, 'Yes': -6.0443115, ' No': -10.971312, ' yes': -10.995874, ' ': -12.517938}
{' Yes': -0.0023785674, 'Yes': -6.066063, ' yes': -10.774178, ' The': -11.690753, ' ': -11.763597}
{' Yes': -0.0037450793, 'Yes': -5.5990396, ' yes': -10.836019, ' ': -11.525803, ' No': -12.423824}
{' Yes': -0.10847711, ' No': -2.303864, 'Yes': -6.2397804, ' The': -7.553995, 'No': -8.0326}
{' Yes': -0.1943769, ' No': -1.7469854, 'Yes': -6.4482327, 'No': -7.5625997, ' Not': -9.101181}
{' Yes': -0.011363055, ' No': -4.967139, 'Yes': -5.548362, ' The': -8.065729, 'No': -9.986054}
{' Yes': -0.005862802, 'Yes': -5.1554904, ' yes': -10.243939, ' The': -10.646646, ' No': -11.862125}
{' Yes': -0.0029557098, 'Yes': -5.8471465, ' yes': -10.2602625, ' The': -10.885531, ' ': -12.583429}
{' Yes': -0.0021837514, 'Yes': -6.199516, ' yes': -9.827242, ' Doctor': -10.185834, ' No': -10.191678}
{' Yes': -0.01237921, ' No': -4.9434547, 'Yes': -5.302893, 'No': -9.200293, ' yes': -10.207658}
{' Yes': -0.0031145625, 'Yes': -5.814071, ' No': -9.832595, ' The': -10.493005, ' yes': -10.535211}
{' Yes': -0.09584126, ' No': -2.4261367, 'Yes': -5.9874673, 'No': -7.790089, ' The': -10.471712}
{' Yes': -0.045750633, ' No': -3.2338872, 'Yes': -5.3353567, 'No': -8.087159, ' The': -9.1319}
{' Yes': -0.021164881, ' No': -4.0312166, 'Yes': -5.8228874, 'No': -9.274619, ' The': -9.671787}
{' Yes': -0.0075337053, ' No': -5.1505713, 'Yes': -6.4587183, ' The': -9.708716, ' yes': -10.436633}
{' Yes': -0.0055236323, 'Yes': -5.2483, ' The': -9.018782, ' No': -9.2409115, ' yes': -10.809859}
