{' Up': -0.1780345, ' up': -1.8195369, ' UP': -7.5168424, 'Up': -8.332804, 'up': -9.8074875}
{' Down': -0.318427, ' down': -1.3130922, 'Down': -6.2567925, 'down': -7.222483, '\n': -7.888741}
{' Down': -0.2782408, ' down': -1.433085, 'Down': -6.171934, 'down': -7.13352, ' Up': -7.558164}
{' Up': -0.11716962, ' up': -2.238067, ' Down': -6.827075, 'Up': -6.8765745, ' down': -7.694806}
{' Down': -0.27179283, ' down': -1.4520047, 'Down': -6.0808744, 'down': -6.820098, '\n': -8.508543}
{' Down': -0.10209321, ' down': -2.397242, 'Down': -5.7042527, ' Up': -7.0156097, 'down': -7.5105286}
{' Down': -0.060027536, ' down': -2.924863, 'Down': -5.616782, 'down': -7.7958903, '\n': -8.41261}
{' Down': -0.23077536, ' Up': -2.1601157, ' down': -2.5563006, ' up': -5.5130744, 'Down': -5.650817}
{' Down': -0.10450926, ' down': -2.366987, 'Down': -5.4997234, 'down': -7.0926037, ' ': -8.574709}
{' Down': -0.07624762, ' down': -2.9953895, ' Up': -3.943864, 'Down': -6.548484, '\n': -7.1102014}
{' Down': -0.03962825, ' down': -3.3187094, 'Down': -6.3435373, 'down': -7.826997, '\n': -8.31987}
{' Down': -0.71191317, ' Up': -0.73413384, ' down': -4.094619, ' up': -5.009869, '\n': -6.086703}
{' Down': -0.06907792, ' down': -2.7484183, 'Down': -6.441512, 'down': -7.3513346, '\n': -8.547888}
{' Down': -0.26065695, ' down': -1.5975138, 'Down': -3.9258273, 'down': -5.1492066, ' ': -7.2619133}
{' Down': -0.38766173, ' down': -1.9076928, ' Up': -2.067517, 'Down': -4.078015, ' up': -4.1742654}
{' Down': -0.26341835, ' down': -1.608366, 'Down': -3.8407192, 'down': -4.9421387, ' ': -6.9109974}
{' Down': -0.4400079, ' down': -1.1296879, 'Down': -4.0278163, 'down': -4.605041, ' ': -6.3182197}
{' Up': -0.09677959, ' up': -2.4079463, ' Down': -6.8903923, ' down': -7.9195824, 'Up': -8.26927}
{' Down': -0.38171938, ' down': -1.1524312, 'Down': -7.259317, 'down': -7.6024313, '\n': -9.140784}
{' Up': -0.20643896, ' up': -1.6916741, ' Down': -7.3354573, ' UP': -7.6260304, ' down': -7.922875}
{' Down': -0.3606343, ' down': -1.2006879, 'Down': -7.059412, 'down': -7.3379326, '\n': -9.094797}
{' Up': -0.020973979, ' up': -4.105105, ' Down': -5.8163776, 'Up': -7.3552876, ' down': -8.586098}
{' Down': -0.16821025, ' down': -1.8851844, 'Down': -6.239999, 'down': -7.05873, ' ': -9.086131}
{' Up': -0.074292265, ' up': -2.6969576, ' Down': -6.15885, 'Up': -7.3206735, ' UP': -7.6758375}
{' Down': -0.09971638, ' down': -2.3850594, 'Down': -6.2566376, 'down': -7.288952, ' DOWN': -9.273779}
{' Up': -0.027540024, ' up': -3.779571, ' Down': -6.174735, 'Up': -6.9211135, ' ': -7.8628836}
{' Down': -0.1639171, ' down': -1.9235241, 'Down': -5.6610994, 'down': -6.7040567, ' ': -8.597762}
{' Up': -0.1096361, ' up': -2.3094425, ' Down': -6.5387335, 'Up': -7.009639, ' UP': -7.078023}
{' Down': -0.110157214, ' down': -2.299881, 'Down': -5.8984394, 'down': -7.078045, ' DOWN': -8.532709}
{' Up': -0.093533225, ' up': -2.4996955, ' Down': -5.8030705, 'Up': -6.7951336, ' down': -6.8768883}
{' Down': -0.39821646, ' down': -1.131592, 'Down': -5.6708736, 'down': -6.239191, ' ': -8.260174}
{' Up': -0.35585487, ' up': -1.2236853, 'Up': -6.7941036, ' Down': -6.8204083, ' down': -6.8727174}
{' Down': -0.55030054, ' down': -0.87428856, 'Down': -5.8924327, 'down': -5.9265633, '\n': -8.363672}
{' Up': -0.033601355, ' up': -3.705907, ' Down': -5.267448, 'Up': -6.667089, ' down': -7.4477572}
{' Down': -0.18785724, ' down': -1.7974782, 'Down': -5.5439835, 'down': -6.769279, ' ': -8.358936}
{' Up': -0.12828103, ' up': -2.39061, ' Down': -4.0746937, ' down': -5.1634483, 'Up': -6.414526}
{' Down': -0.19021921, ' down': -1.7965807, 'Down': -5.3943033, 'down': -6.251813, ' DOWN': -7.7723384}
{' Up': -0.024063878, ' up': -4.1407456, ' Down': -5.210339, 'Up': -7.193175, ' ': -7.615422}
{' Down': -0.12335551, ' down': -2.1895251, 'Down': -5.999538, 'down': -6.8609405, ' ': -8.211061}
{' Up': -0.11938127, ' up': -2.900015, ' Down': -3.1236613, ' down': -4.6851196, ' ': -6.605549}
{' Down': -0.0819137, ' down': -2.5917745, 'Down': -6.128537, 'down': -6.9412427, ' ': -8.487552}
{' Up': -0.17251092, ' up': -2.0789382, 'Up': -4.1159596, 'up': -5.0849595, ' ': -5.442662}
{' Down': -0.57711273, ' down': -1.0007577, 'Down': -3.133309, 'down': -3.6613605, ' ': -6.8732095}
{' Up': -0.42657837, ' up': -1.1293162, 'Up': -4.370353, 'up': -5.2110324, ' ': -6.268546}
{' Down': -0.6082845, ' down': -0.9112097, 'Down': -3.5873935, 'down': -3.7306616, ' ': -6.845171}
{' Down': -0.3301627, ' down': -1.4730442, ' Up': -3.1369846, ' up': -5.065787, 'Down': -6.8539324}
{' Down': -0.47219205, ' Up': -1.3664278, ' down': -2.3678067, ' up': -3.6768105, 'Down': -6.8514414}
{' Down': -0.77604127, ' Up': -1.1151526, ' down': -2.0092032, ' up': -2.5878832, 'Down': -7.092932}
{' Down': -0.44356313, ' down': -1.1232451, ' Up': -3.6712377, ' up': -5.2886386, 'Down': -6.874437}
{' Down': -0.11523851, ' down': -2.3108618, ' Up': -5.191378, 'Down': -5.975699, 'down': -7.078012}
{' Up': -0.6732846, ' Down': -0.78394324, ' down': -4.062948, ' up': -4.320591, 'Down': -6.5512886}
{' Down': -0.5613211, ' Up': -1.0131911, ' down': -3.2124689, ' up': -3.8085172, 'Down': -6.142982}
{' Down': -0.19990106, ' down': -1.8689835, ' Up': -3.8994288, 'Down': -5.859899, ' up': -6.304103}
{' Down': -0.054575186, ' down': -3.0279884, 'Down': -5.8476415, ' Up': -6.9879165, 'down': -7.5812325}
{' Up': -0.27253252, ' Down': -1.5115157, ' up': -4.720557, ' down': -5.100604, 'Down': -7.0844927}
{' Down': -0.1546784, ' Up': -2.309517, ' down': -3.34758, ' up': -5.607235, 'Down': -5.613994}
{' Down': -0.14154994, ' down': -2.5928895, ' Up': -3.0008867, 'Down': -5.6063876, ' up': -6.270603}
{' Down': -0.18205409, ' down': -1.9436356, ' Up': -4.107469, 'Down': -5.653775, ' up': -6.3522706}
{' Up': -0.40903598, ' Down': -1.3112787, ' up': -3.3303332, ' down': -3.6338267, 'Down': -6.5682354}
{' Down': -0.4646796, ' Up': -1.6140592, ' down': -2.041721, ' up': -3.3199651, 'Down': -5.6110663}
{' Down': -0.43860018, ' down': -1.5009592, ' Up': -2.2311358, ' up': -4.043487, 'Down': -5.5448184}
{' Down': -0.10709606, ' down': -2.3642294, 'Down': -5.4149837, 'down': -6.5821915, ' Up': -7.126278}
{' Up': -0.41175932, ' Down': -1.1879398, ' down': -4.300128, ' up': -4.356702, 'Down': -6.325602}
{' Down': -0.32399356, ' Up': -1.5473479, ' down': -3.1172235, ' up': -4.475445, 'Down': -5.282099}
{' Down': -0.15358098, ' down': -2.0849793, ' Up': -4.754129, 'Down': -5.1581526, 'down': -6.2441893}
{' Down': -0.120202206, ' Up': -2.5479348, ' down': -3.5252864, 'Down': -5.9771013, ' up': -6.378363}
{' Down': -0.41889706, ' Up': -1.1258272, ' down': -4.546956, ' up': -5.5864058, 'Down': -6.203424}
{' Down': -0.15239142, ' Up': -2.1792638, ' down': -3.8654099, ' up': -5.7562113, 'Down': -5.910938}
{' Down': -0.37279707, ' Up': -1.345461, ' down': -3.2564468, ' up': -4.835684, 'Down': -6.1864367}
{' Down': -0.21997811, ' down': -2.0026662, 'Down': -3.2020931, ' Up': -4.606592, 'down': -4.8212414}
{' Down': -0.39968866, ' Up': -1.6488781, ' down': -2.670744, 'Down': -3.3458576, ' up': -3.965208}
{' Down': -0.43095782, ' Up': -1.8776702, ' down': -2.1684628, 'Down': -3.2799473, ' up': -3.566805}
{' Down': -0.31704932, ' down': -1.6966174, 'Down': -3.2047124, ' Up': -3.617115, 'down': -4.4229627}
{' Down': -0.22469847, ' down': -1.6107343, 'Down': -7.019038, 'down': -7.7152815, '\n': -9.386166}
{' Up': -0.21129097, ' up': -1.664807, ' UP': -7.6788526, 'Up': -7.9919853, '\n': -8.785736}
{' Down': -0.2845201, ' down': -1.4045762, 'Down': -6.7861166, 'down': -7.1684217, '\n': -9.033068}
{' Up': -0.12497874, ' up': -2.1524217, ' UP': -7.6185713, 'Up': -7.701833, '\n': -8.849534}
{' Down': -0.06783646, ' down': -2.758779, 'Down': -6.4003158, 'down': -7.7918468, ' ': -9.858987}
{' Up': -0.0453701, ' up': -3.147108, 'Up': -7.3527517, ' UP': -7.685989, ' ': -9.197328}
{' Down': -0.10703436, ' down': -2.325252, 'Down': -5.950594, 'down': -6.9553432, ' ': -9.453644}
{' Up': -0.046036627, ' up': -3.142848, 'Up': -6.9743433, ' UP': -7.9147077, ' Down': -8.633294}
{' Down': -0.06165054, ' down': -2.8651762, 'Down': -6.1263437, 'down': -7.734267, ' ': -9.476791}
{' Up': -0.048178248, ' up': -3.0917687, 'Up': -7.3837285, ' UP': -7.4385133, ' ': -8.615911}
{' Down': -0.10436237, ' down': -2.3595312, 'Down': -5.6770644, 'down': -6.974839, ' ': -8.983843}
{' Up': -0.027429014, ' up': -3.6854753, 'Up': -6.6969976, ' UP': -7.826239, 'up': -8.96989}
{' Down': -0.3127832, ' down': -1.3316659, 'Down': -5.985337, 'down': -6.4778733, '\n': -8.468319}
{' Up': -0.15870783, ' up': -1.9493191, 'Up': -6.760356, ' Down': -6.878258, ' UP': -7.3058157}
{' Down': -0.2540062, ' down': -1.5298737, 'Down': -5.342488, 'down': -5.998047, ' ': -8.585962}
{' Up': -0.14201726, ' up': -2.0466995, 'Up': -6.5053096, ' UP': -7.2421494, 'up': -7.727393}
{' Down': -0.12204694, ' down': -2.2157874, 'Down': -5.449634, 'down': -6.798161, ' DOWN': -8.718118}
{' Up': -0.735044, ' Down': -0.90686554, ' down': -2.5070245, ' up': -3.5849144, ' ': -5.8792663}
{' Down': -0.16960666, ' down': -1.9227633, 'Down': -5.396777, ' Up': -5.9349146, 'down': -6.544593}
{' Down': -0.19494963, ' down': -1.8736968, ' Up': -4.2401648, 'Down': -5.376142, ' up': -6.3814535}
{' Down': -0.038297933, ' down': -3.346941, 'Down': -6.3697343, 'down': -7.7962513, '\n': -9.382307}
{' Up': -0.023071853, ' up': -3.8439107, ' UP': -7.3543053, 'Up': -7.5987515, ' ': -9.3368}
{' Down': -0.06012033, ' down': -2.9056077, 'Down': -6.036436, 'down': -7.004069, ' ': -8.874656}
{' Up': -0.016833017, ' up': -4.199637, 'Up': -7.080071, ' UP': -7.674107, ' ': -8.977973}
{' Down': -0.23025829, ' down': -1.8032048, 'Down': -3.4755642, 'down': -4.71008, ' ': -7.546733}
{' Up': -0.19805402, ' up': -1.8613077, 'Up': -4.4433713, ' Down': -5.623829, 'up': -6.001736}
{' Down': -0.36750484, ' down': -1.3357952, 'Down': -3.5409381, 'down': -4.265179, ' ': -6.9665914}
{' Up': -0.18372768, ' up': -1.9213393, 'Up': -4.4467397, 'up': -5.748724, ' ': -6.2524357}
{' Down': -0.4070515, ' down': -1.1002984, 'Down': -7.0214887, 'down': -7.6173058, '\n': -9.367124}
{' Up': -0.10933785, ' up': -2.2813044, ' UP': -7.051589, 'Up': -7.9739122, '\n': -9.531438}
{' Down': -0.34771153, ' down': -1.2320746, 'Down': -6.818504, 'down': -7.4279613, ' DOWN': -9.091489}
{' Up': -0.36921105, ' up': -1.1813601, ' UP': -6.8848467, 'Up': -7.790714, 'up': -8.606184}
{' Down': -0.2759484, ' down': -1.4437206, 'Down': -5.8130703, 'down': -6.310591, ' DOWN': -8.915392}
{' Up': -0.037382312, ' up': -3.3592951, 'Up': -7.0380707, ' UP': -7.0584126, 'up': -9.083174}
{' Down': -0.19971915, ' down': -1.7359914, 'Down': -5.776224, 'down': -6.607147, ' DOWN': -8.408472}
{' Up': -0.11399394, ' up': -2.2522519, ' UP': -6.6999693, 'Up': -6.9308467, 'up': -8.363566}
{' Down': -0.1805954, ' down': -1.8370265, 'Down': -5.5490394, 'down': -6.5633483, ' DOWN': -8.055017}
{' Up': -0.030166194, ' up': -3.6289935, ' UP': -6.3185987, 'Up': -6.8149137, ' ': -9.1153555}
{' Down': -0.14197083, ' down': -2.061412, 'Down': -5.718713, 'down': -6.7129054, ' DOWN': -7.8683314}
{' Up': -0.119446084, ' up': -2.2300494, ' UP': -5.709378, 'Up': -6.700939, 'up': -8.273004}
{' Down': -0.4660434, ' down': -1.0024699, 'Down': -5.6816406, 'down': -6.3731174, ' ': -8.627658}
{' Up': -0.11422918, ' up': -2.260067, ' UP': -6.304294, 'Up': -6.7405353, 'up': -8.359171}
{' Down': -0.58899945, ' down': -0.8253218, 'Down': -5.6185, 'down': -5.878767, ' DOWN': -8.553395}
{' Up': -0.60942894, ' up': -0.79455054, ' UP': -6.351998, 'Up': -6.621651, 'up': -7.096872}
{' Down': -0.30057806, ' down': -1.3833036, 'Down': -5.1839647, 'down': -6.033522, ' DOWN': -7.706624}
{' Up': -0.07867098, ' up': -2.6765542, ' UP': -5.5241895, 'Up': -6.1388106, 'up': -7.9566326}
{' Down': -0.20378478, ' down': -1.746906, 'Down': -5.0515475, 'down': -6.0428176, ' DOWN': -7.049897}
{' Up': -0.19048016, ' up': -1.7967232, ' UP': -5.564608, 'Up': -6.0111256, 'up': -7.3102193}
{' Down': -0.104356416, ' down': -2.3473277, 'Down': -6.0745993, 'down': -7.078126, ' ': -8.805926}
{' Up': -0.019340463, ' up': -4.063766, ' UP': -6.701593, 'Up': -7.4830084, ' ': -9.61432}
{' Down': -0.076024756, ' down': -2.67337, 'Down': -5.8906145, 'down': -6.955152, ' DOWN': -8.334125}
{' Up': -0.0821285, ' up': -2.5855618, ' UP': -6.061842, 'Up': -7.178821, 'up': -8.58605}
{' down': -0.80553794, ' Down': -0.8684023, 'down': -2.5662382, 'Down': -2.9146879, ' ': -6.3869443}
{' Up': -0.41154903, ' up': -1.2628541, 'Up': -3.4752219, 'up': -3.993872, ' UP': -6.003058}
{' Down': -0.8131988, ' down': -0.82731134, 'down': -2.7005737, 'Down': -2.9988751, ' ': -6.8006005}
{' up': -0.68739283, ' Up': -0.8039661, 'Up': -3.679668, 'up': -3.9424012, ' UP': -6.027894}
{' Up': -0.23704292, ' up': -1.5620226, ' UP': -7.5380087, 'Up': -7.9227896, '\n': -9.117982}
{' Down': -0.21135555, ' down': -1.6659472, 'Down': -7.1132774, 'down': -7.717741, '\n': -9.324451}
{' Up': -0.19167434, ' up': -1.7526065, 'Up': -7.814563, ' UP': -8.16845, 'up': -8.520684}
{' Down': -0.3726357, ' down': -1.1731175, 'down': -7.188168, 'Down': -7.2718153, '\n': -9.417865}
{' Up': -0.06882255, ' up': -2.7444072, 'Up': -6.894848, ' UP': -7.280805, 'up': -8.650021}
{' Down': -0.0835377, ' down': -2.5741858, 'Down': -5.8597293, 'down': -7.065516, ' DOWN': -9.417088}
{' Up': -0.030601328, ' up': -3.5674112, 'Up': -6.717546, ' UP': -7.9459734, 'up': -8.305449}
{' Down': -0.19219472, ' down': -1.7735146, 'Down': -5.789967, 'down': -6.3109837, ' ': -9.288933}
{' Up': -0.27573147, ' Down': -1.8400109, ' up': -3.1419423, ' down': -3.421939, ' ': -6.438382}
{' Down': -0.09683133, ' down': -2.4517126, 'Down': -5.413512, 'down': -6.747655, ' DOWN': -8.74114}
{' Up': -0.037691988, ' up': -3.376689, 'Up': -6.360516, 'up': -7.8960137, ' UP': -7.9071183}
{' Down': -0.25841424, ' down': -1.5158911, 'Down': -5.3490434, 'down': -5.8567715, ' ': -8.715199}
{' Up': -0.30714864, ' up': -1.3448721, 'Up': -6.446004, ' UP': -7.148346, 'up': -7.568655}
{' Down': -0.44886047, ' down': -1.0387539, 'Down': -5.4971414, 'down': -5.879118, '\n': -8.447239}
{' Up': -0.26823136, ' up': -1.4649037, 'Up': -6.2425995, 'up': -6.948639, ' UP': -7.241549}
{' Down': -0.48808026, ' down': -0.97640526, 'Down': -5.2863474, 'down': -5.577946, ' ': -8.237702}
{' Up': -0.62948847, ' Down': -1.1287503, ' down': -2.4720922, ' up': -3.0892851, ' ': -5.427027}
{' Down': -0.2089851, ' down': -1.7215831, 'Down': -5.0982366, 'down': -5.878926, ' DOWN': -8.234644}
{' Up': -0.06677762, ' up': -2.833398, 'Up': -5.794644, 'up': -6.9858003, ' Down': -7.4166536}
{' Down': -0.2405588, ' down': -1.598341, 'Down': -4.9637337, 'down': -5.564911, ' ': -8.209433}
{' Up': -0.05053469, ' up': -3.0700314, 'Up': -6.8937182, ' Down': -7.254159, ' UP': -7.419696}
{' Down': -0.06936428, ' down': -2.7730174, 'Down': -5.7735896, 'down': -6.8737745, ' DOWN': -9.220265}
{' Up': -0.016901696, ' up': -4.205149, 'Up': -6.848246, ' UP': -7.8050766, 'up': -8.640306}
{' Down': -0.11427556, ' down': -2.2697933, 'Down': -5.890806, 'down': -6.483629, ' ': -8.984742}
{' Up': -0.40498424, ' up': -1.4225299, ' Down': -3.3035305, ' down': -3.6878514, 'Up': -4.1655164}
{' Down': -0.3965471, ' down': -1.2990835, 'Down': -3.2977407, 'down': -4.1636844, ' ': -7.2043433}
{' Up': -0.16644295, ' up': -2.0872154, 'Up': -3.850517, 'up': -5.1094418, ' UP': -6.7937713}
{' Down': -0.6107761, ' down': -0.9280349, 'Down': -3.392888, 'down': -3.6144078, ' ': -7.3214135}
{' Down': -0.11940927, ' down': -2.205446, ' Up': -6.7877765, 'Down': -7.472421, '\n': -8.081477}
{' Down': -0.08761154, ' down': -2.5024483, ' Up': -7.0836325, 'Down': -7.414592, '\n': -8.199437}
{' Down': -0.6932266, ' Up': -0.8697136, ' down': -2.820811, ' up': -4.00932, '\n': -6.234646}
{' Down': -0.14272222, ' down': -2.0257578, 'Down': -7.423873, 'down': -8.252513, '\n': -8.710006}
{' Down': -0.045631528, ' down': -3.3209589, ' Up': -5.037512, 'Down': -6.6952934, 'down': -8.331564}
{' Down': -0.026080262, ' down': -3.8778107, ' Up': -5.7127595, 'Down': -6.6384, 'down': -8.619906}
{' Down': -0.709157, ' Up': -0.7160235, ' down': -4.454419, ' up': -5.1734457, 'Down': -7.2521195}
{' Down': -0.043832455, ' down': -3.1965575, 'Down': -6.5570383, 'down': -7.9698977, ' ': -9.7308655}
{' Down': -0.06490965, ' down': -2.8247685, 'Down': -6.3904495, ' Up': -6.9697137, 'down': -8.015505}
{' Down': -0.047519263, ' down': -3.1307523, 'Down': -6.2620234, 'down': -8.082819, ' Up': -8.6252365}
{' Down': -0.30271348, ' Up': -1.527626, ' down': -3.3164692, ' up': -5.544611, 'Down': -6.398712}
{' Down': -0.072831, ' down': -2.6968067, 'Down': -6.1909065, 'down': -7.5386167, ' ': -9.466361}
{' Down': -0.17103943, ' down': -1.8760068, 'Down': -6.363626, ' Up': -6.9043365, 'down': -7.6602874}
{' Down': -0.18683453, ' down': -1.8939688, ' Up': -4.2024574, 'Down': -6.341881, ' up': -6.5894713}
{' Down': -0.2816268, ' down': -1.8540051, ' Up': -2.5646105, ' up': -4.890296, 'Down': -6.399705}
{' Down': -0.21235812, ' down': -1.6728454, 'Down': -6.1746383, 'down': -7.1030593, '\n': -8.125906}
{' Down': -0.0639399, ' down': -2.8731, 'Down': -6.063922, ' Up': -6.342162, 'down': -7.860671}
{' Down': -0.038690597, ' down': -3.3673077, 'Down': -5.9690857, 'down': -8.124403, ' Up': -8.285532}
{' Down': -0.3006271, ' Up': -1.5807785, ' down': -3.156374, ' up': -5.308014, 'Down': -6.0403996}
{' Down': -0.083754666, ' down': -2.573108, 'Down': -5.824307, 'down': -7.3080626, ' ': -8.909169}
{' Down': -0.05476323, ' down': -3.2552843, ' Up': -4.4628005, 'Down': -6.5402904, '\n': -7.4316087}
{' Down': -0.037847415, ' down': -3.3663461, 'Down': -6.3302207, 'down': -7.6708174, '\n': -8.580926}
{' Down': -0.14102106, ' Up': -2.3462746, ' down': -3.5454302, 'Down': -6.27997, ' up': -6.317178}
{' Down': -0.0732765, ' down': -2.694542, 'Down': -6.351421, 'down': -7.0659804, '\n': -8.581485}
{' Down': -0.3058369, ' down': -1.4302819, 'Down': -4.1456976, 'down': -5.231366, ' ': -6.8861513}
{' Down': -0.27378678, ' down': -1.6658347, ' Up': -3.857176, 'Down': -4.024519, 'down': -5.3371468}
{' Down': -0.3214543, ' down': -1.4104034, 'Down': -3.996583, 'down': -5.000928, ' Up': -5.837922}
{' Down': -0.4923137, ' down': -1.0217173, 'Down': -4.2060738, 'down': -4.628792, ' ': -6.6261134}
{' Up': -0.09129568, ' up': -2.4790385, ' Down': -6.2752376, ' down': -7.3484936, 'Up': -8.251009}
{' Down': -0.418163, ' down': -1.078247, 'Down': -7.2142096, 'down': -7.4820585, '\n': -8.949796}
{' Up': -0.23355187, ' up': -1.6425923, ' Down': -4.87127, ' down': -5.280074, '\n': -7.42932}
{' Down': -0.32502028, ' down': -1.2876114, 'Down': -7.215904, 'down': -7.4605746, '\n': -8.947987}
{' Up': -0.027480537, ' up': -3.8988256, ' Down': -5.2660017, 'Up': -7.33546, ' down': -7.7104826}
{' Down': -0.23075208, ' down': -1.5959138, 'Down': -6.2304926, 'down': -6.782609, ' ': -8.980416}
{' Up': -0.48055005, ' Down': -1.2896758, ' down': -2.8281872, ' up': -3.1587994, ' ': -6.491097}
{' Down': -0.10485507, ' down': -2.3391154, 'Down': -6.186745, 'down': -7.093729, ' DOWN': -9.225867}
{' Up': -0.032608937, ' up': -3.8995693, ' Down': -4.745377, 'Up': -6.965365, ' down': -6.976506}
{' Down': -0.17444561, ' down': -1.8608718, 'Down': -5.8133764, 'down': -6.7578044, ' ': -8.691812}
{' Up': -0.20939992, ' Down': -2.3298318, ' up': -2.8131251, ' down': -3.620275, ' ': -6.611629}
{' Down': -0.13411205, ' down': -2.1124713, 'Down': -5.811537, 'down': -6.759129, ' DOWN': -8.631159}
{' Up': -0.08752384, ' up': -2.6162732, ' Down': -5.3225355, ' down': -6.400388, '\n': -6.768537}
{' Down': -0.41591236, ' down': -1.0975837, 'Down': -5.6828322, 'down': -6.0714355, '\n': -7.912704}
{' Up': -0.42377135, ' up': -1.2773824, ' down': -3.4265845, ' Down': -3.6303642, ' ': -6.103186}
{' Down': -0.49498674, ' down': -0.9597217, 'down': -5.7193136, 'Down': -5.766051, '\n': -7.6594186}
{' Up': -0.1129465, ' Down': -2.7829885, ' up': -3.481837, ' down': -4.6526594, ' ': -6.5735383}
{' Down': -0.22882959, ' down': -1.6172879, 'Down': -5.491206, 'down': -6.555012, ' ': -8.150849}
{' Up': -0.6716453, ' Down': -1.0730296, ' down': -2.4249985, ' up': -3.0908725, ' ': -5.459939}
{' Down': -0.1553971, ' down': -1.9921527, 'Down': -5.2913394, 'down': -6.3603125, ' DOWN': -7.9793153}
{' Up': -0.023146635, ' up': -4.114312, ' Down': -5.4817395, 'Up': -7.1815834, ' ': -7.670737}
{' Down': -0.11330798, ' down': -2.2739623, 'Down': -5.974891, 'down': -6.7789817, ' ': -8.325367}
{' Up': -0.19418892, ' Down': -2.3046072, ' up': -2.9377038, ' down': -3.9712558, ' ': -6.6278367}
{' Down': -0.087926686, ' down': -2.5252054, 'Down': -6.044046, 'down': -6.7704577, '\n': -8.509681}
{' Up': -0.27580905, ' up': -1.6275432, 'Up': -4.122748, 'up': -4.5149446, ' Down': -5.0452905}
{' down': -0.62998545, ' Down': -0.91823155, 'down': -3.3873231, 'Down': -3.4108863, ' ': -7.064358}
{' Up': -0.9834375, ' up': -1.190667, ' down': -1.7275323, ' Down': -2.3040247, ' ': -4.429779}
{' down': -0.64690506, ' Down': -0.85114586, 'down': -3.6178408, 'Down': -3.8608868, ' ': -7.191295}
{' Down': -0.28595293, ' down': -1.4331068, ' Up': -4.972129, 'Down': -6.8794165, ' up': -6.899638}
{' Up': -0.36474067, ' Down': -1.5584433, ' up': -2.862999, ' down': -3.3188248, 'Down': -7.8027725}
{' Up': -0.4475497, ' Down': -1.8216875, ' up': -1.9638574, ' down': -2.8743322, 'Down': -7.9704127}
{' Down': -0.4963444, ' down': -0.9600305, ' Up': -5.418799, 'down': -6.537972, ' up': -6.8760705}
{' Down': -0.11032052, ' down': -2.506616, ' Up': -3.9819748, 'Down': -6.145755, ' up': -6.825626}
{' Down': -0.52279335, ' Up': -0.97762156, ' down': -3.9436035, ' up': -4.7470765, 'Down': -6.3944345}
{' Up': -0.5524876, ' Down': -1.0082217, ' up': -3.4325247, ' down': -3.7255487, 'Down': -6.6519175}
{' Down': -0.15265904, ' down': -2.0360913, ' Up': -5.1170335, 'Down': -5.882963, 'down': -6.62492}
{' Down': -0.060062096, ' down': -2.9991715, ' Up': -5.430679, 'Down': -5.7946005, 'down': -7.4624476}
{' Down': -0.45754924, ' Up': -1.073701, ' down': -4.1099844, ' up': -5.29231, 'Down': -5.9989653}
{' Down': -0.17230597, ' Up': -2.0902042, ' down': -3.6331744, ' up': -5.6512294, 'Down': -5.678663}
{' Down': -0.09563773, ' down': -2.8086655, ' Up': -3.6887865, 'Down': -5.5865817, ' up': -7.04}
{' Down': -0.1839473, ' down': -1.919295, ' Up': -4.2061734, 'Down': -5.72139, ' up': -6.4188285}
{' Up': -0.29099885, ' Down': -1.6369765, ' up': -3.337311, ' down': -3.9721491, 'Up': -6.876733}
{' Up': -0.7909732, ' Down': -0.899961, ' down': -2.6241488, ' up': -2.7772744, 'Down': -6.1148133}
{' Down': -0.31398034, ' down': -1.4701674, ' Up': -3.5818443, ' up': -5.410034, 'Down': -5.421959}
{' Down': -0.086033136, ' down': -2.707451, ' Up': -4.7747555, 'Down': -5.386421, 'down': -6.569145}
{' Down': -0.42985967, ' Up': -1.1717076, ' down': -3.648024, ' up': -5.0949025, 'Down': -5.537127}
{' Up': -0.6524638, ' Down': -0.8490447, ' down': -3.713474, ' up': -3.8879945, 'Down': -5.78477}
{' Down': -0.09749522, ' down': -2.549064, 'Down': -4.985554, ' Up': -5.292695, 'down': -6.2830205}
{' Down': -0.1729082, ' Up': -2.0678418, ' down': -3.6447728, 'Down': -6.003021, ' up': -6.082494}
{' Down': -0.20594099, ' Up': -1.7942628, ' down': -4.3265905, 'Down': -5.75396, ' up': -6.188816}
{' Down': -0.37221044, ' Up': -1.2645272, ' down': -4.050759, ' up': -4.9890637, 'Down': -6.039381}
{' Down': -0.12725887, ' Up': -2.6281552, ' down': -3.1977124, 'Down': -5.9146295, ' up': -6.1840954}
{' Down': -0.24904257, ' down': -1.9758568, 'Down': -3.3511255, ' Up': -3.411873, 'down': -5.01058}
{' Down': -0.28827688, ' Up': -2.3307858, ' down': -2.3746188, 'Down': -3.2890759, ' up': -4.462864}
{' Up': -0.7552435, ' Down': -1.0209123, ' up': -2.6201766, ' down': -2.7554858, 'Down': -4.138092}
{' Down': -0.29715312, ' down': -1.5901372, 'Down': -3.3487983, 'down': -4.559861, ' Up': -5.330318}
{' Down': -0.28740993, ' down': -1.3924859, 'Down': -7.2406487, 'down': -7.649119, '\n': -9.565494}
{' Up': -0.24705023, ' up': -1.5251187, ' UP': -7.6214657, 'Up': -8.058228, '\n': -8.836561}
{' Down': -0.29602638, ' down': -1.3703595, 'Down': -6.766416, 'down': -7.0965652, '\n': -9.043406}
{' Up': -0.16351348, ' up': -1.900881, 'Up': -7.605055, ' UP': -7.657591, 'up': -8.616505}
