{' Yes': -0.0022212046, 'Yes': -6.1538434, ' yes': -10.02856, '\n': -10.890599, ' YES': -11.135205}
{' Yes': -0.14145586, ' Square': -2.4382927, ' Squ': -3.7690957, ' Sure': -4.4323554, ' No': -5.474311}
{' Yes': -0.0016451447, 'Yes': -6.733418, ' Sure': -7.8590894, ' yes': -11.056741, ' YES': -11.488784}
{' Yes': -0.0015235961, 'Yes': -6.7851944, ' Sure': -8.320041, ' No': -9.510039, ' yes': -10.944545}
{' Yes': -0.0036670663, 'Yes': -5.8184786, ' No': -7.5223584, ' yes': -10.3378105, ' Leaves': -10.357957}
{' Yes': -0.011764039, 'Yes': -5.166583, ' No': -5.1882353, ' Leaves': -9.14055, ' yes': -9.347419}
{' Yes': -0.07191482, ' Ending': -2.8152733, 'Yes': -5.305376, ' No': -5.491041, ' yes': -9.444103}
{' Yes': -0.40570056, ' Ending': -1.1597518, ' No': -4.2490063, 'Yes': -5.422149, ' End': -8.098199}
{' Yes': -0.040483333, ' Energy': -3.3278272, 'Yes': -5.765777, ' Definitely': -9.078287, 'Energy': -9.117647}
{' Yes': -0.0027896508, 'Yes': -6.4263697, ' Sure': -8.040008, ' Energy': -8.179637, ' Absolutely': -8.355739}
{' Yes': -0.0008725265, 'Yes': -7.091316, ' yes': -10.763135, ' YES': -11.67739, ' No': -12.310267}
{' Yes': -0.0009082647, 'Yes': -7.058491, ' Father': -10.6219425, ' yes': -11.299555, ' YES': -12.289068}
{' Yes': -0.0013732346, 'Yes': -6.7922587, ' No': -8.525583, ' yes': -10.695177, ' Sure': -11.045657}
{' Yes': -0.0017209097, 'Yes': -6.410967, ' yes': -10.520109, ' No': -11.068798, ' Sure': -11.171518}
{' Yes': -0.0066033425, ' Street': -5.6768413, 'Yes': -5.8349757, ' yes': -8.908392, ' YES': -10.219521}
{' Yes': -0.001263834, 'Yes': -6.706752, ' yes': -11.316259, ' YES': -11.558056, ' No': -12.122819}
{' Yes': -0.00083172426, 'Yes': -7.110512, ' yes': -11.785423, ' YES': -12.189745, '\n': -13.947084}
{' Yes': -0.0017299856, 'Yes': -6.6127625, ' Strong': -8.048658, ' yes': -10.417416, ' YES': -11.43174}
{' Yes': -0.005835402, ' Seller': -5.599776, 'Yes': -6.6527424, ' No': -7.277682, ' yes': -9.550145}
{' Yes': -0.004731663, ' Seller': -5.7045965, 'Yes': -6.7218966, ' yes': -9.215464, ' YES': -10.538996}
{' Yes': -0.008898531, ' Bl': -5.26405, 'Yes': -5.979979, ' No': -7.35327, ' yes': -8.920521}
{' Yes': -0.0148299495, ' Bl': -4.482355, 'Yes': -5.818651, ' yes': -9.091708, ' No': -9.175705}
{' Yes': -0.0011792108, 'Yes': -6.7634563, ' yes': -11.017712, ' YES': -12.735478, ' ': -13.529579}
{' Yes': -0.006046341, 'Yes': -5.6312537, ' B': -6.638105, ' Bor': -7.7194, ' yes': -8.9247055}
{' Yes': -0.001837644, 'Yes': -6.3986883, ' Sure': -9.7628565, ' yes': -9.896401, ' No': -10.308518}
{' Yes': -0.0053109443, 'Yes': -5.9148126, ' No': -6.5909033, ' Sure': -7.3071814, ' Nope': -8.841998}
{' Yes': -0.001440504, 'Yes': -6.669306, ' Sure': -9.684428, ' yes': -10.368541, ' No': -10.909675}
{' Yes': -0.02356634, ' Parent': -3.9511192, 'Yes': -5.9534497, ' Parents': -7.9631734, ' Sure': -8.234501}
{' Yes': -0.0019972136, 'Yes': -6.359144, ' Sure': -9.043329, ' yes': -10.270056, ' Super': -10.642303}
{' Yes': -0.0009678652, 'Yes': -7.0905867, ' Sure': -9.776593, ' Super': -10.767557, ' yes': -11.043704}
{' Yes': -0.0020018711, 'Yes': -6.2602715, ' Sure': -10.650017, ' No': -10.831872, ' yes': -11.365452}
{' Yes': -0.0033460418, ' No': -6.271398, 'Yes': -7.102551, ' Sure': -7.833786, ' Nope': -9.663565}
{' Yes': -0.057892185, ' St': -3.2073731, 'Yes': -4.5014133, ' Stars': -5.9515386, ' Sure': -7.9414454}
{' Yes': -0.0096960915, 'Yes': -5.1201754, ' St': -6.377061, ' No': -7.0636816, ' Stars': -7.3423853}
{' Yes': -0.0020805919, 'Yes': -6.2100554, ' yes': -9.968305, ' YES': -11.640288, 'yes': -12.391997}
{' Yes': -0.0032200995, 'Yes': -5.8721294, ' Doctor': -8.209997, ' yes': -9.946562, ' Sure': -10.493318}
{' Yes': -0.002971972, 'Yes': -5.974478, ' No': -8.41442, ' yes': -9.707987, ' YES': -10.281899}
{' Yes': -0.006191708, ' No': -5.5176625, 'Yes': -6.192429, ' yes': -10.401161, 'No': -10.999201}
{' Yes': -0.0043115183, 'Yes': -6.0582967, ' No': -6.629643, ' Tennis': -7.5947995, ' yes': -10.050038}
{' Yes': -0.019840408, ' Tennis': -4.677452, 'Yes': -5.2005844, ' No': -5.520527, ' Ten': -8.381094}
{' Yes': -0.0132250935, ' Bucket': -4.687526, 'Yes': -5.709462, ' yes': -8.747365, ' Buck': -8.821661}
{' Yes': -0.016681787, ' Bucket': -4.457264, 'Yes': -5.475416, ' No': -8.489883, ' yes': -8.601143}
{' Yes': -0.009785351, 'Yes': -5.2450585, ' States': -5.6951127, ' No': -7.2902284, ' yes': -9.1538}
{' Yes': -0.17987965, ' States': -2.0285125, ' St': -4.4061637, 'Yes': -4.5784416, ' No': -5.0928555}
{' Yes': -0.0023898592, 'Yes': -6.420194, ' Sure': -7.5133514, ' No': -9.827121, ' Absolutely': -10.165997}
{' Yes': -0.003456685, 'Yes': -5.8644376, ' Sure': -7.779497, ' Yep': -9.97429, ' No': -10.127346}
{' In': -0.050723612, ' Yes': -3.1784778, ' No': -5.995801, ' inh': -6.2656016, 'In': -7.0579877}
{' In': -0.46885955, ' Yes': -1.3370866, ' No': -2.5418632, ' inh': -4.348647, ' inhal': -5.3661203}
{' Yes': -0.0039095636, 'Yes': -6.192527, ' Loving': -6.4592733, ' yes': -9.263188, ' YES': -9.434884}
{' Yes': -0.0013789642, 'Yes': -6.6826096, ' Sure': -10.032487, ' No': -10.2748165, ' YES': -11.236021}
{' Yes': -0.0045474637, 'Yes': -5.9216347, ' No': -6.472042, ' Turtle': -9.258726, ' yes': -9.613261}
{' Yes': -0.045714192, ' No': -3.1504142, 'Yes': -6.4304357, 'No': -8.952324, ' yes': -10.582178}
{' Yes': -0.0029912218, 'Yes': -5.8521733, ' yes': -10.280525, ' Sure': -10.751969, ' Absolutely': -11.0380945}
{' Yes': -0.0071400004, 'Yes': -5.1696153, ' Butter': -6.9712167, ' yes': -8.939944, ' Sure': -9.50065}
{' Yes': -0.0019179652, 'Yes': -6.3564477, ' B': -9.996966, ' yes': -10.209023, ' No': -10.426848}
{' Yes': -0.0033957404, ' No': -6.222225, 'Yes': -6.6354184, ' yes': -10.270963, ' YES': -11.290911}
{' Yes': -0.00556337, 'Yes': -5.4224277, ' Twelve': -7.57594, ' No': -8.707878, ' yes': -9.030121}
{' Yes': -0.26781803, ' No': -1.4928966, 'Yes': -5.637421, ' Nope': -5.9557276, 'No': -6.425683}
{' Yes': -0.008391164, 'Yes': -5.480555, ' She': -5.5713625, ' yes': -9.037789, ' Sure': -9.7525425}
{' Yes': -0.0065136473, 'Yes': -5.5716605, ' She': -6.1289573, ' Sure': -8.651656, ' yes': -9.487284}
{' Yes': -0.0019542759, 'Yes': -6.2724924, ' YES': -10.601377, ' yes': -10.802751, ' Stress': -11.422444}
{' Yes': -0.0026820085, 'Yes': -5.979086, ' Stress': -9.633335, ' YES': -10.479898, ' yes': -10.516451}
{' Yes': -0.013431195, ' No': -4.411863, 'Yes': -6.7637224, 'No': -10.462508, ' yes': -11.285828}
{' Yes': -0.0040264926, 'Yes': -5.69618, ' Sure': -8.2589855, ' No': -8.630436, ' Sunset': -9.439038}
{' Yes': -0.118647166, ' No': -2.2014756, 'Yes': -6.96366, 'No': -8.344091, ' Sure': -10.810688}
{' Yes': -0.22568241, ' Minute': -1.7557403, ' No': -3.9264574, 'Yes': -5.8831, ' M': -6.9914966}
{' Yes': -0.0007927721, 'Yes': -7.179805, ' yes': -11.175464, ' No': -11.802423, ' YES': -12.771985}
{' Yes': -0.0015101649, 'Yes': -7.04461, ' Sure': -7.819705, ' No': -8.617576, ' Yep': -11.049176}
{' Yes': -0.16091377, ' Wa': -2.0534556, ' No': -4.5925236, ' Wait': -5.5674114, 'Yes': -5.7347193}
{' Yes': -0.0097899875, ' Wa': -5.400352, 'Yes': -5.602454, ' Wait': -7.546644, ' No': -8.222963}
{' Yes': -0.020720439, ' No': -4.232545, 'Yes': -5.6127114, ' Fr': -7.016716, ' Flight': -7.4755144}
{' Yes': -0.31435874, ' No': -1.3451395, 'Yes': -6.159504, 'No': -6.3450966, ' Flight': -6.44011}
{' Yes': -0.0044449605, ' No': -5.742625, 'Yes': -6.7811766, ' Length': -9.74317, ' yes': -11.173722}
{' Yes': -0.0153859295, ' No': -4.4294868, ' Length': -6.234088, 'Yes': -6.7851267, ' Nope': -9.153344}
{' Yes': -0.0011412002, 'Yes': -6.84321, ' yes': -9.895279, ' Sure': -11.91728, ' YES': -12.331502}
{' Yes': -0.0015019263, 'Yes': -6.5792947, ' Sure': -10.0408, ' yes': -10.104434, ' YES': -11.678567}
{' Yes': -0.0018368678, 'Yes': -6.452871, ' France': -9.519244, ' yes': -9.587652, ' Sure': -9.748651}
{' Yes': -0.0024496664, 'Yes': -6.2285104, ' Sure': -8.246416, ' France': -9.506901, ' yes': -9.927919}
{' Yes': -0.0027451823, 'Yes': -6.3356304, ' Muscle': -7.5921283, ' No': -8.830456, ' Sure': -9.181173}
{' Yes': -0.011658803, ' Muscle': -5.2874575, 'Yes': -5.6040235, ' No': -6.322329, ' Mus': -7.403311}
{' Yes': -0.0028977839, 'Yes': -6.258339, ' Empire': -7.3381004, ' Sure': -9.4165535, ' No': -9.622631}
{' Yes': -0.013017889, ' Empire': -4.76103, 'Yes': -5.8155403, ' Em': -7.1808243, ' Sure': -8.817687}
{' Yes': -0.5307047, ' Kid': -1.003071, ' No': -3.5065043, 'Kid': -5.011095, 'Yes': -5.780721}
{' No': -0.041939694, ' Yes': -3.3795743, 'No': -5.2769666, ' Nope': -6.459565, 'Yes': -8.875519}
{' Yes': -0.001032957, 'Yes': -7.042643, ' No': -9.56722, ' Sure': -10.647813, ' yes': -11.008497}
{' Yes': -0.0013358716, 'Yes': -7.29107, ' No': -7.4737816, ' Sure': -10.264181, ' yes': -11.101586}
{' Yes': -0.0008327981, 'Yes': -7.142319, ' yes': -10.78136, ' No': -11.443272, ' YES': -12.074001}
{' Yes': -0.005867539, 'Yes': -5.423321, ' No': -7.194994, ' yes': -8.735159, ' St': -8.863834}
{' Yes': -0.062199946, ' Danger': -3.5607429, ' No': -3.9939547, ' Dagger': -4.77308, 'Yes': -5.5835733}
{' Yes': -0.04618156, ' No': -3.174582, 'Yes': -5.8788476, 'No': -8.303523, ' Danger': -9.634202}
{' Yes': -0.0026165065, 'Yes': -6.1472945, ' No': -7.7874765, ' yes': -10.375197, ' YES': -11.386979}
{' Yes': -0.0048427004, 'Yes': -5.8120966, ' No': -6.5667434, ' Direct': -9.228304, ' yes': -9.244679}
{' Yes': -0.004960937, ' No': -5.8029876, 'Yes': -6.3579345, ' yes': -9.872278, ' YES': -10.38346}
{' Yes': -0.005672881, 'Yes': -5.763559, ' No': -6.584996, ' yes': -8.340836, ' YES': -8.433282}
{' Yes': -0.005131434, 'Yes': -5.693022, ' No': -6.4601974, ' yes': -9.995541, ' Sure': -9.999538}
{' Yes': -0.006004604, 'Yes': -5.6317554, ' No': -6.2217193, ' Office': -8.704049, ' yes': -9.913924}
{' No': -0.0050250357, 'No': -5.374614, ' Nope': -8.614612, ' Yes': -8.704761, ' Not': -11.013022}
{' Yes': -0.006378548, 'Yes': -5.746929, ' No': -5.901764, ' Absolutely': -9.67972, ' Behind': -9.816847}
{' Yes': -0.005375904, 'Yes': -5.954573, ' Thread': -6.0098104, ' No': -8.624937, ' yes': -9.621123}
{' Yes': -0.014552136, ' No': -4.3928537, 'Yes': -6.349322, ' Thread': -8.955915, ' yes': -9.447356}
{' Yes': -0.09119577, ' No': -3.283956, 'Yes': -4.2834697, ' T': -4.445087, ' Tess': -4.953606}
{' Issue': -0.7597268, ' Yes': -0.95938426, ' No': -2.1437752, ' Iss': -5.3843126, 'Yes': -5.410195}
{' Yes': -0.020372177, ' No': -4.2047744, ' Sure': -5.818523, 'Yes': -6.262407, 'No': -9.651242}
{' Yes': -0.022526277, ' Sure': -4.2347207, 'Yes': -5.742144, ' No': -6.07667, ' Sau': -6.912582}
{' Yes': -0.014343265, 'Yes': -4.9459686, ' Fl': -5.762283, ' No': -5.7788696, ' yes': -8.466529}
{' Yes': -0.044943005, ' No': -3.320709, 'Yes': -4.9745903, ' Fl': -8.516774, 'No': -8.916083}
{' Yes': -0.057130937, ' No': -3.6822948, ' Sne': -3.784372, 'Yes': -5.4120755, ' Sn': -6.763868}
{' Yes': -0.4048089, ' No': -1.1265306, ' Sne': -5.8539762, 'Yes': -5.9368353, ' Nope': -6.562412}
{' Yes': -0.0023225835, 'Yes': -6.1491675, ' Better': -10.074067, ' Absolutely': -10.330888, ' YES': -10.42327}
{' Yes': -0.016751064, ' Better': -4.394543, 'Yes': -5.6086693, ' yes': -8.93433, 'Better': -9.447993}
{' Yes': -0.00080058357, 'Yes': -7.2037997, ' No': -10.401428, ' yes': -11.048741, ' YES': -12.227738}
{' Yes': -0.014621384, ' Purple': -4.472461, 'Yes': -6.167018, ' Pur': -7.860156, ' yes': -8.734171}
{' Yes': -0.0019724867, 'Yes': -6.339798, ' No': -8.948557, ' yes': -10.236436, ' Sure': -11.48572}
{' Yes': -0.0072658947, 'Yes': -5.7885995, ' No': -5.821881, ' Animal': -6.9413247, ' yes': -9.398647}
{' Hel': -0.01942852, ' Yes': -4.289175, 'Helper': -5.8967814, ' Help': -6.7699304, ' Helic': -7.7526703}
{' Hel': -0.13819009, ' Yes': -2.0940273, ' Help': -6.199343, 'Helper': -6.2427692, 'Yes': -7.61236}
{' No': -0.4220389, ' Yes': -1.0742376, 'No': -6.1320033, 'Yes': -7.6710773, ' Nope': -10.039667}
{' Yes': -0.0014978666, 'Yes': -6.596888, ' Sure': -10.095434, ' No': -10.191942, ' Absolutely': -11.044709}
{' Yes': -0.0041378727, 'Yes': -5.547667, ' Branch': -9.238274, ' yes': -10.038813, ' Sure': -10.068249}
{' Yes': -0.0108386455, 'Yes': -5.065551, ' Branch': -5.551524, ' yes': -8.5946, ' No': -8.641961}
{' Yes': -0.0022540619, 'Yes': -6.1627336, ' Sure': -9.554355, ' Yep': -10.964307, ' yes': -11.179362}
{' Yes': -0.04345837, ' Pretty': -3.4803593, 'Yes': -5.2750216, ' Pre': -5.4793844, ' Yep': -7.592121}
{' Yes': -0.7391584, ' Ignore': -0.7939851, ' No': -2.9852655, ' Ign': -4.081222, 'Ign': -6.7736063}
{' No': -0.51352626, ' Yes': -1.0008557, ' Ignore': -3.4899876, ' Ign': -6.5913672, ' Nope': -6.9851737}
{' Yes': -0.013487499, ' Divide': -4.4786134, 'Yes': -6.635945, ' No': -7.4364114, ' yes': -9.857018}
{' Yes': -0.6415964, ' Divide': -0.7651278, ' No': -5.7043157, ' Div': -5.977118, 'Yes': -6.62925}
{' Yes': -0.0012231303, 'Yes': -6.7383976, ' yes': -11.617529, ' Hammer': -11.80934, ' Sure': -11.848545}
{' Yes': -0.009872149, ' Hammer': -4.837686, 'Yes': -6.3491416, ' yes': -10.376143, ' Yep': -10.618986}
{' Yes': -0.0027157762, 'Yes': -6.030647, ' Second': -8.73417, ' Sure': -9.940568, ' yes': -10.615939}
{' Yes': -0.0037584815, 'Yes': -5.753607, ' Second': -8.48576, ' No': -9.565951, ' Sure': -9.715725}
{' Yes': -0.17898388, ' No': -1.8631727, 'Yes': -5.3506737, 'No': -6.420526, ' Mount': -7.360445}
{' Yes': -0.025504977, ' No': -3.945934, 'Yes': -5.3413634, 'No': -8.530224, ' Absolutely': -8.862251}
{' Yes': -0.0041470304, 'Yes': -6.0516148, ' Ex': -6.5235157, ' No': -8.443991, ' yes': -9.840239}
{' Yes': -0.19317459, ' Ex': -2.4089377, ' No': -2.6481535, 'Yes': -5.853046, ' Hex': -5.9046855}
{' Yes': -0.00095318665, 'Yes': -7.046418, ' Sure': -10.47444, ' No': -10.874841, ' yes': -11.169776}
{' Yes': -0.0019607234, 'Yes': -6.9466877, ' No': -6.99605, ' Sure': -10.477995, ' yes': -11.027903}
{' Yes': -0.002634017, 'Yes': -6.497747, ' Planet': -6.885181, ' No': -10.178603, ' yes': -10.234228}
{' Yes': -0.0076869763, ' Planet': -5.211354, 'Yes': -6.2757645, ' No': -9.1055565, ' Sure': -9.731938}
{' Yes': -0.0037599176, 'Yes': -5.846319, ' No': -7.2880993, ' yes': -9.912027, ' YES': -10.362904}
{' Yes': -0.004057133, 'Yes': -5.877929, ' No': -6.9712787, ' C': -9.370522, ' Car': -9.702532}
{' Yes': -0.0015816817, 'Yes': -6.603178, ' Ass': -8.634264, ' yes': -10.976101, ' YES': -11.908255}
{' Yes': -0.030180259, ' Ass': -3.7104974, 'Yes': -5.645325, ' No': -6.666901, ' assume': -9.605404}
{' Yes': -0.0061190827, 'Yes': -5.7564883, ' Circus': -6.409555, ' No': -6.8519135, ' Circ': -9.36918}
{' Yes': -0.051680543, ' Circus': -3.4576309, ' No': -4.537026, 'Yes': -5.438388, ' Circ': -6.0374513}
{' Yes': -0.0015225213, 'Yes': -6.5541806, ' No': -9.844955, ' yes': -10.754866, ' YES': -12.0294695}
{' Yes': -0.0027524128, 'Yes': -5.962667, ' yes': -9.8317, ' No': -9.856496, ' YES': -10.886383}
{' Yes': -0.002180407, 'Yes': -6.52207, ' No': -7.5814037, ' Sure': -9.477671, ' yes': -10.011023}
{' Yes': -0.004427957, ' No': -5.954018, 'Yes': -6.5198884, ' Sure': -9.657786, ' yes': -9.686595}
{' Yes': -0.0016184578, 'Yes': -6.4692426, ' yes': -9.9131365, ' YES': -11.669324, 'yes': -12.389178}
{' Yes': -0.030492496, ' Law': -3.9280827, 'Yes': -5.431173, ' No': -5.5257163, 'Law': -7.766996}
{' Yes': -0.002582503, 'Yes': -6.005853, ' Sure': -10.157599, ' No': -10.226402, ' yes': -11.29936}
{' Yes': -0.003510817, 'Yes': -5.747846, ' No': -8.697839, ' Sure': -9.8967085, ' yes': -10.273025}
{' Yes': -0.015332424, ' No': -4.347184, 'Yes': -6.2952046, ' Cancer': -8.189367, ' yes': -9.744117}
{' No': -0.095376074, ' Yes': -2.4329863, 'No': -6.1172605, ' Cancer': -7.3522058, ' Nope': -8.772455}
{' Yes': -0.0074392427, 'Yes': -5.130425, ' Sc': -7.0482717, ' yes': -8.127436, ' YES': -8.728866}
{' Yes': -0.04108197, ' Sc': -3.457622, 'Yes': -5.092462, ' Scare': -7.753726, 'Sc': -7.75542}
{' Yes': -0.041339368, ' No': -3.271196, 'Yes': -6.07999, 'No': -9.053315, ' yes': -9.694034}
{' Yes': -0.012680571, ' No': -4.829993, 'Yes': -5.4449806, ' yes': -9.382837, 'No': -9.830818}
{' Yes': -0.0037597974, 'Yes': -6.4386063, ' No': -6.446991, ' Exc': -8.289461, ' Sure': -8.771167}
{' Yes': -0.29928893, ' Ex': -1.9170716, ' Exc': -2.6551678, ' No': -3.7065456, 'Yes': -5.2142687}
{' Yes': -0.005783724, ' No': -5.341637, 'Yes': -7.0255513, ' yes': -10.674637, ' Sure': -11.1098385}
{' Yes': -0.006496607, ' No': -5.194164, 'Yes': -7.0371094, ' yes': -10.622404, 'No': -11.536191}
{' No': -0.29212552, ' Yes': -1.3902814, 'No': -5.7696013, 'Yes': -7.2775435, ' Nope': -7.790464}
{' Yes': -0.005339529, 'Yes': -5.927001, ' No': -6.083876, ' Cowboy': -8.420942, ' yes': -10.056794}
{' Yes': -0.010536334, 'Yes': -5.193369, ' Finish': -5.3785133, ' No': -8.860531, ' yes': -10.164024}
{' Yes': -0.0033386848, 'Yes': -5.9772058, ' No': -7.325651, ' Finish': -9.79786, ' yes': -10.60014}
{' Yes': -0.0070391535, 'Yes': -5.439843, ' No': -6.5346437, ' Puzzle': -7.1015267, ' yes': -9.068029}
{' Yes': -0.0066700047, 'Yes': -5.445558, ' No': -6.3628078, ' Puzzle': -7.987585, ' yes': -9.53663}
{' Yes': -0.0014533972, 'Yes': -6.5582213, ' Sure': -11.306056, ' yes': -11.559107, ' YES': -12.261672}
{' Yes': -0.0011611878, 'Yes': -6.96675, ' Repeat': -8.628457, ' yes': -10.829967, 'yes': -12.263815}
{' Yes': -0.0017109356, 'Yes': -6.5275764, ' Spider': -8.962389, ' yes': -10.15097, ' Sure': -10.382509}
{' Yes': -0.001112853, 'Yes': -6.9703617, ' Sure': -9.151779, ' No': -10.592307, ' yes': -11.440029}
{' Yes': -0.0017193562, 'Yes': -6.8647885, ' Candle': -7.9334283, ' Sure': -8.963787, ' Cand': -9.794951}
{' Yes': -0.0017678412, 'Yes': -6.7088943, ' Candle': -8.62135, ' Sure': -8.75011, ' YES': -9.731078}
{' Yes': -0.012710995, ' Thr': -5.457772, ' Th': -5.4672585, 'Yes': -5.7666717, ' yes': -8.329224}
{' Yes': -0.0051684002, 'Yes': -5.9449887, ' No': -7.0137215, ' Thr': -7.3897905, ' Th': -7.5027695}
{' Yes': -0.0026472248, 'Yes': -6.143245, ' No': -8.158257, ' Sure': -9.799357, ' yes': -10.014183}
{' Yes': -0.0036121472, 'Yes': -6.0626826, ' Bleach': -7.349244, ' Ble': -8.049449, ' No': -9.105132}
{' Yes': -0.0012416921, 'Yes': -6.7396965, ' Sure': -10.817913, ' yes': -10.991685, ' YES': -11.840598}
{' Yes': -0.0025283045, 'Yes': -6.138518, ' Flower': -8.306791, ' yes': -10.168653, ' YES': -10.56022}
{' Yes': -0.0023294552, ' No': -6.6165195, 'Yes': -7.0056095, ' Sure': -10.682182, ' yes': -10.908455}
{' Yes': -0.004193534, ' No': -6.0532045, 'Yes': -6.381547, ' yes': -10.3885355, ' Sure': -11.168184}
{' Yes': -0.004176117, 'Yes': -5.7707124, ' No': -7.245091, ' Indian': -8.775164, ' yes': -9.549618}
{' Yes': -0.009267843, ' No': -5.2170696, 'Yes': -6.141817, ' Indian': -7.0234675, ' Ind': -8.080183}
{' Yes': -0.008086291, ' Orange': -5.2319245, 'Yes': -6.7382374, ' No': -7.021296, ' Sure': -7.5632343}
{' Yes': -0.0067781964, ' Orange': -5.4647365, 'Yes': -6.4632807, ' Sure': -7.298783, ' No': -8.908025}
{' Yes': -0.0018067136, 'Yes': -6.4420686, ' Hungry': -9.210444, ' No': -9.868717, ' YES': -10.959012}
{' Yes': -0.0010960867, 'Yes': -7.0353727, ' Hungry': -9.036056, ' No': -10.335395, ' yes': -11.29976}
{' Yes': -0.016224798, ' No': -4.219733, 'Yes': -6.746878, 'No': -10.216185, ' Number': -10.257679}
{' Yes': -0.06961525, ' No': -2.7293289, 'Yes': -6.5855303, ' Number': -8.434422, 'No': -8.553617}
{' Yes': -0.016255148, ' Mirror': -4.895898, ' No': -5.1468706, 'Yes': -6.135756, ' yes': -8.611155}
{' Yes': -0.022044731, ' No': -3.8979297, 'Yes': -7.1299906, ' Mirror': -7.510833, 'No': -9.965855}
{' Yes': -0.00076211017, 'Yes': -7.2204204, ' yes': -11.29131, ' YES': -11.614586, 'yes': -13.378571}
{' Yes': -0.0006941105, 'Yes': -7.3059273, ' yes': -11.889629, ' ': -12.2559595, ' YES': -12.328918}
{' Yes': -0.005087038, 'Yes': -5.68827, ' Pepper': -6.768623, ' No': -8.326326, ' yes': -9.337533}
{' Yes': -0.010324022, ' Pepper': -5.409036, 'Yes': -5.413369, ' Pe': -7.4316735, ' yes': -8.498972}
{' Yes': -0.0025841766, 'Yes': -6.0165496, ' Sure': -9.692296, ' yes': -10.85986, ' Cheese': -11.221107}
{' Yes': -0.0011389306, 'Yes': -6.932379, ' Sure': -8.987244, ' yes': -11.727807, ' YES': -11.837476}
{' Yes': -0.0015076578, 'Yes': -6.72428, ' No': -8.265535, ' Yep': -10.898678, ' yes': -11.140264}
{' Yes': -0.006324383, 'Yes': -5.46222, ' Yep': -7.0878177, ' No': -7.3676887, ' Neph': -8.787657}
{' Yes': -0.03737786, ' Square': -3.9664395, ' No': -4.8393264, ' Squ': -5.316591, 'Yes': -5.923629}
{' Yes': -0.035728145, ' Square': -3.8801286, ' Sure': -5.3675895, ' Squ': -5.3833327, 'Yes': -5.878558}
{' Yes': -0.0013301412, 'Yes': -7.148785, ' Sure': -7.6859956, ' Change': -11.142504, ' yes': -11.282598}
{' Yes': -0.0012232504, 'Yes': -7.163759, ' Sure': -8.020617, ' No': -10.161648, ' Change': -10.85409}
{' Yes': -0.0046184217, 'Yes': -5.5129247, ' Leaves': -8.40626, ' No': -8.816883, ' yes': -9.808701}
{' Yes': -0.0077072186, 'Yes': -5.1152816, ' No': -7.0544543, ' Leaves': -7.765222, ' yes': -9.175864}
{' Yes': -0.21106304, ' Ending': -1.6885849, 'Yes': -5.4832263, ' No': -7.4026427, ' End': -8.409446}
{' Yes': -0.4553383, ' Ending': -1.0266236, 'Yes': -5.6096654, ' No': -6.0414357, ' End': -7.441076}
{' Yes': -0.04610391, ' Energy': -3.15129, 'Yes': -6.391705, ' Sure': -9.326112, ' Absolutely': -9.401524}
{' Yes': -0.002665873, 'Yes': -6.3106165, ' Energy': -7.638089, ' Sure': -8.882655, ' Absolutely': -9.678927}
{' Yes': -0.00071808934, 'Yes': -7.4214864, ' No': -10.055839, ' Father': -10.290305, ' yes': -10.81894}
{' Yes': -0.0012810224, 'Yes': -7.3588552, ' Father': -7.4167314, ' yes': -11.301687, ' YES': -11.483529}
{' Yes': -0.001995065, 'Yes': -6.962457, ' No': -7.0273666, ' Pen': -9.9932575, ' yes': -10.075588}
{' Yes': -0.0010828405, 'Yes': -6.9120855, ' yes': -10.632045, ' No': -10.683236, ' Sure': -10.920974}
{' Yes': -0.0069993557, ' Street': -5.390884, 'Yes': -6.1391826, ' yes': -9.2391405, ' Sure': -9.903718}
{' Yes': -0.0011789715, 'Yes': -6.875589, ' Street': -9.947096, ' yes': -10.289424, ' YES': -10.5500145}
{' Yes': -0.0007411717, 'Yes': -7.2334204, ' yes': -11.824846, ' YES': -12.167158, '\n': -12.726717}
{' Yes': -0.0015286084, 'Yes': -6.8784223, ' Strong': -7.753115, '\n': -10.443232, ' yes': -10.9533825}
{' Yes': -0.0056265467, ' Seller': -5.4029136, 'Yes': -6.951558, ' yes': -9.922698, ' No': -10.3657675}
{' Yes': -0.0016520091, ' Seller': -7.1158276, 'Yes': -7.217087, ' yes': -10.126133, ' Sure': -11.03254}
{' Yes': -0.0011671558, 'Yes': -6.944188, ' Bl': -9.648847, ' No': -9.736032, ' yes': -10.438203}
{' Yes': -0.0021969527, 'Yes': -6.3683405, ' Bl': -7.9537044, ' yes': -9.993186, ' Sure': -10.66879}
{' Yes': -0.0010386826, 'Yes': -6.8955636, ' yes': -11.338144, ' YES': -12.096005, ' ': -12.417952}
{' Yes': -0.0018657707, 'Yes': -6.393776, ' B': -9.896783, ' No': -10.233523, ' yes': -10.366842}
{' Yes': -0.0020123268, 'Yes': -6.5582213, ' No': -7.7388573, ' Sure': -9.898973, ' yes': -9.964485}
{' Yes': -0.002208839, 'Yes': -6.3712025, ' Sure': -8.324253, ' No': -8.833073, ' yes': -10.330094}
{' Yes': -0.0017012074, 'Yes': -6.4936895, ' Parent': -9.49343, ' yes': -9.955049, ' YES': -10.670534}
{' Yes': -0.006480291, ' Parent': -5.590695, 'Yes': -6.067639, ' yes': -9.361946, ' YES': -9.506589}
