{'\n': -10.568761, ' ': -9.932915, ' Yes': -0.002365244, ' yes': -9.487791, 'Yes': -6.126602}
{' No': -0.041522264, '\n': -7.94945, ' ': -7.4686475, 'No': -3.232129, ' Yes': -10.011487}
{' No': -0.011717963, ' ': -9.026434, 'No': -4.4851637, ' Yes': -9.866722, ' Four': -9.274645}
{' No': -0.059029784, '\n': -7.172688, ' ': -6.5157156, 'No': -2.911603, ' Four': -9.003503}
{' That': -8.600751, ' No': -0.04934645, '\n': -8.74789, ' ': -8.033525, 'No': -3.0588298}
{' No': -0.002882242, '\n': -8.389664, ' ': -6.836334, 'No': -6.562634, ' no': -9.701173}
{' No': -0.028767869, '\n': -6.3947287, ' ': -6.2646723, 'No': -3.7097406, ' no': -9.049198}
{' No': -0.0771173, '\n': -3.7441857, ' ': -4.576076, 'No': -3.2389119, ' no': -8.222667}
{' No': -0.0022936692, '\n': -10.447835, ' ': -7.5440526, 'No': -6.386389, ' no': -10.357658}
{' No': -0.1629436, '\n': -4.065425, ' ': -4.5281806, 'No': -2.115668, ' no': -7.504828}
{' No': -0.024062168, '\n': -7.765449, ' ': -6.2585654, 'No': -3.9240253, ' no': -6.7700257}
{' No': -0.07218303, '\n': -8.087915, ' ': -6.667657, 'No': -2.7715523, ' no': -5.3740997}
{' No': -0.10337361, ' ': -7.636203, 'No': -2.331008, 'no': -9.474717, ' no': -8.463007}
{' No': -0.08686354, ' ': -7.1054554, 'No': -2.5918186, ' Yes': -5.1560583, ' no': -7.447235}
{' No': -0.0161833, ' ': -8.059209, 'No': -4.1737266, ' Yes': -9.487102, ' no': -8.721772}
{' No': -0.3992764, '\n': -7.3634515, ' ': -6.9660487, 'No': -1.1180112, 'no': -8.33992}
{' No': -0.09089932, ' ': -8.21111, 'No': -2.451377, 'no': -9.091971, ' no': -8.696316}
{' No': -0.030262947, '\n': -7.528302, ' ': -5.441127, 'No': -5.707688, ' no': -3.8537204}
{' No': -0.04761746, '\n': -5.9636316, ' ': -5.5414777, 'No': -3.3046155, ' no': -5.842394}
{' No': -0.090130985, '\n': -3.8786266, ' ': -4.789731, 'No': -2.956548, ' no': -5.474971}
{' No': -0.02015187, '\n': -7.3463616, ' ': -6.1670346, 'No': -4.1260743, ' no': -6.9720845}
{' No': -0.23125318, '\n': -2.764788, ' ': -4.7115693, 'No': -2.0553136, ' no': -5.4161305}
{' No': -0.14127454, '\n': -4.928299, ' ': -5.2366056, 'No': -3.8959284, ' no': -2.3580866}
{' No': -0.007560069, '\n': -6.480088, ' ': -6.151189, 'No': -5.604773, ' no': -9.300608}
{' No': -0.029518936, '\n': -5.223159, ' ': -5.698803, 'No': -3.9132125, ' no': -9.025862}
{' No': -0.045272242, '\n': -4.546451, ' ': -5.058917, 'No': -3.6252146, ' no': -8.532787}
{' No': -0.005634156, '\n': -7.7264132, ' ': -6.3873878, 'No': -5.687986, ' no': -10.074732}
{' No': -0.041917067, '\n': -4.343726, ' ': -5.426049, 'No': -3.7751706, ' no': -8.079961}
{' No': -0.033771925, '\n': -5.133545, ' ': -5.0438, 'No': -4.090481, ' no': -5.771759}
{'\n': -10.032438, ' ': -9.554663, ' Yes': -0.003721687, ' yes': -9.766655, 'Yes': -5.647574}
{'\n': -10.117964, ' ': -8.241277, ' Yes': -0.020546777, ' yes': -8.117346, 'Yes': -3.9297605}
{'\n': -8.271461, ' ': -7.608161, ' Yes': -0.024000261, ' yes': -7.9091353, 'Yes': -3.7969456}
{' YES': -12.267209, ' ': -9.824596, ' Yes': -0.0025899138, ' yes': -10.127162, 'Yes': -6.000747}
{'\n': -7.9670005, ' ': -7.601955, ' Yes': -0.028199984, ' yes': -8.41888, 'Yes': -3.627708}
{'\n': -7.889534, ' ': -7.7217207, ' Yes': -0.019832019, ' yes': -7.797335, 'Yes': -4.0071077}
{'\n': -8.247294, ' ': -7.2072883, ' Yes': -0.0031125902, ' yes': -8.09196, 'Yes': -6.3601108}
{'\n': -7.03233, ' ': -6.7232995, ' Yes': -0.02102213, ' yes': -7.403472, 'Yes': -4.025007}
{'\n': -4.6096334, ' ': -5.462207, ' Yes': -0.054293662, ' yes': -7.091583, 'Yes': -3.2937152}
{'\n': -9.596103, ' ': -7.3044176, ' Yes': -0.004190242, ' yes': -8.817515, 'Yes': -5.728362}
{'\n': -4.961598, ' ': -5.3807693, ' Yes': -0.1296763, ' yes': -5.756829, 'Yes': -2.2512124}
{'\n': -7.530418, ' ': -6.452955, ' Yes': -0.017163973, ' yes': -5.8345866, 'Yes': -4.4656386}
{' ': -7.0583425, ' Yes': -0.036088657, ' yes': -5.035259, 'Yes': -3.6088045, 'yes': -7.983379}
{' ': -8.025915, ' Yes': -0.03547355, ' yes': -6.6863656, 'Yes': -3.4116998, 'yes': -8.939904}
{' ': -6.9632163, ' Yes': -0.061861478, ' yes': -5.443737, 'Yes': -2.926848, 'yes': -7.8087935}
{' ': -8.05682, ' Yes': -0.012974713, ' yes': -7.1809006, 'Yes': -4.4532895, 'yes': -9.873751}
{' ': -7.1533823, ' Yes': -0.1671669, ' yes': -6.6494837, 'Yes': -1.8907119, 'yes': -7.683786}
{' ': -8.497798, ' Yes': -0.025966538, ' yes': -6.454393, 'Yes': -3.7457516, 'yes': -8.655662}
{'\n': -6.886306, ' ': -5.974681, ' Yes': -0.030484878, ' yes': -4.022819, 'Yes': -4.876188}
{'\n': -5.5688176, ' ': -5.560627, ' Yes': -0.058375325, ' yes': -5.3055277, 'Yes': -3.1472194}
{'\n': -4.151675, ' ': -5.157897, ' Yes': -0.07527072, ' yes': -4.9177046, 'Yes': -3.1707811}
{'\n': -7.355081, ' ': -6.8093586, ' Yes': -0.020971544, ' yes': -6.2700214, 'Yes': -4.083782}
{'\n': -3.6188633, ' ': -5.219375, ' Yes': -0.16727209, ' yes': -4.5082135, 'Yes': -2.235847}
{'\n': -5.090314, ' ': -5.61753, ' Yes': -0.12263185, ' yes': -2.433766, 'Yes': -4.224864}
{'\n': -6.4723506, ' ': -6.7067556, ' Yes': -0.0077590565, ' yes': -7.73451, 'Yes': -5.429661}
{'\n': -5.745303, ' ': -6.0481343, ' Yes': -0.021853602, ' yes': -7.297234, 'Yes': -4.1966085}
{'\n': -4.7866907, ' ': -5.261792, ' Yes': -0.036378272, ' yes': -6.7930737, 'Yes': -3.8928902}
{'\n': -6.828075, ' ': -6.237089, ' Yes': -0.0077990624, ' yes': -8.22724, 'Yes': -5.428201}
{'\n': -4.2017026, ' ': -5.5333133, ' Yes': -0.0646542, ' yes': -6.375587, 'Yes': -3.195311}
{'\n': -4.9236007, ' ': -5.0445952, ' Yes': -0.032971766, ' yes': -5.1673656, 'Yes': -4.4107714}
{'\n': -11.922451, ' ': -10.506003, ' Yes': -0.002476077, ' yes': -10.360402, 'Yes': -6.0334773}
{' ': -8.642409, ' Yes': -0.013576312, ' yes': -8.199016, 'Yes': -4.3517833, ' True': -9.534928}
{'\n': -9.150941, ' ': -8.014841, ' Yes': -0.01839468, ' yes': -7.8588185, 'Yes': -4.060625}
{' ': -10.821962, ' Yes': -0.0011961, ' yes': -10.1758995, 'Yes': -6.8018947, ' True': -11.388659}
{'\n': -8.550239, ' ': -7.3980374, ' Yes': -0.019380813, ' yes': -8.700337, 'Yes': -4.0140476}
{' ': -8.012866, ' Yes': -0.01554592, ' yes': -7.989077, 'Yes': -4.253686, ' Three': -8.385867}
{' ': -7.959463, ' Yes': -0.0013894703, ' yes': -8.58915, 'Yes': -7.2326117, ' True': -9.743083}
{'\n': -7.4500723, ' ': -6.918267, ' Yes': -0.017734118, ' yes': -7.3404207, 'Yes': -4.192613}
{'\n': -5.309201, ' ': -5.752674, ' Yes': -0.045895714, ' yes': -6.821423, 'Yes': -3.3470924}
{'\n': -10.889465, ' ': -8.030148, ' Yes': -0.0018695327, ' yes': -8.615704, 'Yes': -6.6346054}
{'\n': -5.4500594, ' ': -5.62617, ' Yes': -0.12475655, ' yes': -6.1279726, 'Yes': -2.2425656}
{' ': -6.503058, ' Yes': -0.020941418, ' yes': -5.3561807, 'Yes': -4.47185, ' Three': -6.3185577}
{' ': -7.1385784, ' Yes': -0.046230372, ' yes': -4.1541247, 'Yes': -3.6245728, ' True': -6.89323}
{' No': -7.4363537, ' ': -7.6006017, ' Yes': -0.027255166, ' yes': -6.389088, 'Yes': -3.744292}
{' No': -7.457966, ' ': -7.4021926, ' Yes': -0.046898536, ' yes': -5.628121, 'Yes': -3.212498}
{' YES': -9.712247, ' ': -8.368755, ' Yes': -0.010935117, ' yes': -7.0714893, 'Yes': -4.652203}
{' No': -8.279815, ' ': -7.1790533, ' Yes': -0.11807224, ' yes': -7.0176215, 'Yes': -2.2180421}
{' No': -4.6521044, ' ': -7.2089877, ' Yes': -0.030882956, ' yes': -6.5278897, 'Yes': -4.0239706}
{'\n': -7.322329, ' ': -5.7572784, ' Yes': -0.057255328, ' yes': -3.0738857, 'Yes': -5.484356}
{'\n': -6.031968, ' ': -5.5630255, ' Yes': -0.034504868, ' yes': -5.1686316, 'Yes': -3.848981}
{'\n': -4.7731967, ' ': -5.362312, ' Yes': -0.07867782, ' yes': -4.646356, 'Yes': -2.9661634}
{'\n': -7.7006764, ' ': -6.905612, ' Yes': -0.016200261, ' yes': -5.6895146, 'Yes': -4.5132074}
{'\n': -3.1826143, ' ': -5.0192337, ' Yes': -0.18640612, ' yes': -4.5263147, 'Yes': -2.2359}
{'\n': -5.448259, ' ': -5.5886526, ' Yes': -0.14738604, ' yes': -2.2236533, 'Yes': -4.1891704}
{'\n': -8.01347, ' ': -7.7941685, ' Yes': -0.0035158407, ' yes': -7.7709813, 'Yes': -6.1189632}
{'\n': -6.455284, ' ': -6.7643547, ' Yes': -0.016763853, ' yes': -7.4928784, 'Yes': -4.339575}
{'\n': -5.416072, ' ': -5.731301, ' Yes': -0.028796084, ' yes': -7.2664404, 'Yes': -3.9355648}
{'\n': -7.970321, ' ': -7.0480337, ' Yes': -0.003497537, ' yes': -8.335581, 'Yes': -6.227077}
{'\n': -5.2542086, ' ': -6.287921, ' Yes': -0.03981704, ' yes': -6.92276, 'Yes': -3.4927835}
{'\n': -5.379909, ' ': -5.1348796, ' Yes': -0.033544153, ' yes': -4.9537554, 'Yes': -4.279384}
{' No': -0.007310145, '\n': -9.785932, ' ': -8.543603, 'No': -4.9596395, ' no': -12.247998}
{' No': -0.03752699, '\n': -10.136178, ' ': -7.0558715, 'No': -3.328867, ' no': -10.773805}
{' No': -0.056880996, '\xa0': -9.748333, '\n': -7.6982226, ' ': -6.830261, 'No': -2.927181}
{' No': -0.008770447, ' ': -8.224571, 'No': -4.7765675, ' Two': -11.2484, ' no': -11.927239}
{' No': -0.073037505, '\xa0': -9.814184, '\n': -7.237945, ' ': -6.4228067, 'No': -2.6916}
{' No': -0.07622549, '\n': -8.501825, ' ': -7.3143716, 'No': -2.628237, ' no': -9.510382}
{' No': -0.0039355303, '\n': -8.033084, ' ': -6.3955617, 'No': -6.3126163, ' no': -9.659728}
{' No': -0.041172955, '\n': -6.31683, ' ': -5.6810594, 'No': -3.3586588, ' no': -8.929482}
{' No': -0.070388824, '\n': -4.137558, ' ': -4.6842494, 'No': -3.1750143, ' no': -8.337534}
{' No': -0.004861448, '\n': -9.737054, ' ': -6.540021, 'No': -5.7187185, ' no': -10.404086}
{' No': -0.17284252, '\n': -4.3847737, ' ': -4.4857593, 'No': -2.0233884, ' no': -6.9790974}
{' No': -0.026864704, '\n': -7.104441, ' ': -5.5598803, 'No': -3.9050345, ' no': -6.6418023}
{' No': -0.06284442, '\n': -7.977294, ' ': -6.1818333, 'No': -2.9280176, ' no': -5.4237895}
{' No': -0.08117702, ' ': -6.811754, 'No': -2.5741255, 'no': -9.400932, ' no': -8.050469}
{' No': -0.12772924, '\n': -8.741634, ' ': -6.7579293, 'No': -2.138773, ' no': -7.827709}
{' No': -0.016027873, '\t': -10.457324, ' ': -7.3622227, 'No': -4.2073536, ' no': -8.388212}
{' No': -0.4438128, '\n': -6.913266, ' ': -6.201423, 'No': -1.0375209, 'no': -7.9374976}
{' No': -0.08320353, ' ': -6.915513, 'No': -2.5460904, 'no': -9.376912, ' no': -8.530963}
{' No': -0.027478635, '\n': -6.8922954, ' ': -5.1047955, 'No': -4.9842753, ' no': -4.3669868}
{' No': -0.07061626, '\n': -5.3661213, ' ': -4.812296, 'No': -2.9332967, ' no': -6.43217}
{' No': -0.10524337, '\n': -4.183246, ' ': -4.683601, 'No': -2.6371856, ' no': -5.9007545}
{' No': -0.033257887, '\n': -6.647691, ' ': -5.3958716, 'No': -3.657365, ' no': -7.0705585}
{' No': -0.22668463, '\n': -3.3532107, ' ': -4.436574, 'No': -1.949608, ' no': -4.6151237}
{' No': -0.102147736, '\n': -5.3312774, ' ': -5.23027, 'No': -3.7938848, ' no': -2.7794893}
{' No': -0.009414041, '\n': -6.3061495, ' ': -5.7977686, 'No': -5.4357653, ' no': -9.272119}
{' No': -0.035666805, '\n': -5.223659, ' ': -5.435544, 'No': -3.6896734, ' no': -9.137461}
{' No': -0.065714106, '\n': -4.094923, ' ': -4.586693, 'No': -3.3286858, ' no': -8.362961}
{' No': -0.010054741, '\n': -7.2739015, ' ': -5.643061, 'No': -5.1761255, ' no': -9.934019}
{' No': -0.073810756, '\n': -3.936039, ' ': -4.705451, 'No': -3.1851523, ' no': -7.5974426}
{' No': -0.039081123, '\n': -5.0731807, ' ': -4.902821, 'No': -3.8102472, ' no': -6.2524066}
{' Five': -8.450338, ' No': -0.013203352, ' ': -8.174782, 'No': -4.399199, ' Yes': -8.796257}
{' That': -7.739564, ' No': -0.047054775, ' ': -7.8255424, 'No': -3.1152515, ' This': -8.361458}
{' Five': -9.128695, ' No': -0.051469043, '\n': -7.6780844, ' ': -7.189927, 'No': -3.027551}
{' Five': -8.315668, ' No': -0.016958497, ' ': -8.634581, 'No': -4.1260605, ' Yes': -9.229385}
{' Five': -7.0353074, ' No': -0.041041356, '\n': -7.538676, ' ': -6.501391, 'No': -3.3072574}
{' Five': -8.100502, ' That': -8.013414, ' No': -0.06540149, ' ': -7.7421956, 'No': -2.786793}
{' Five': -8.323006, ' No': -0.002783316, '\n': -8.344698, ' ': -6.7967415, 'No': -6.8791103}
{' No': -0.022361143, '\n': -6.4676003, ' ': -6.2805166, 'No': -3.9921293, ' no': -9.496395}
{' No': -0.068774275, '\n': -3.8047953, ' ': -4.569022, 'No': -3.4211242, ' no': -8.330962}
{' Five': -10.891052, ' No': -0.0025263915, '\n': -9.82045, ' ': -7.2466335, 'No': -6.3819165}
{' No': -0.13012087, '\n': -4.738252, ' ': -4.8410277, 'No': -2.2627463, ' no': -7.99764}
{' No': -0.021551663, '\n': -7.815504, ' ': -6.2278023, 'No': -4.039128, ' no': -7.2374783}
{' No': -0.07050426, ' ': -6.3494425, 'No': -2.8043222, ' Yes': -6.0822725, ' no': -6.218651}
{' No': -0.119999625, ' ': -7.279675, 'No': -2.1939588, ' no': -8.269389, ' This': -9.0906}
{' No': -0.10052205, ' ': -6.902099, 'No': -2.4209013, ' Yes': -5.530547, ' no': -7.336036}
{' No': -0.01800499, ' ': -7.42624, 'No': -4.1134977, ' Yes': -7.4880476, ' no': -8.638728}
{' No': -0.42134738, '\n': -7.3780823, ' ': -6.629949, 'No': -1.0759723, ' no': -8.399139}
{' No': -0.10988328, ' ': -7.6034703, 'No': -2.272935, 'no': -9.229994, ' no': -8.712401}
{' No': -0.018600997, '\n': -7.2183223, ' ': -5.6048193, 'No': -5.633247, ' no': -4.637854}
{' No': -0.03703971, '\n': -6.0344625, ' ': -5.69351, 'No': -3.5678034, ' no': -6.1904902}
{' No': -0.082521796, '\n': -4.0437684, ' ': -4.760025, 'No': -3.0116735, ' no': -5.8448596}
{' No': -0.019716451, '\n': -6.853948, ' ': -5.8067207, 'No': -4.2189217, ' no': -7.477202}
{' No': -0.20570841, '\n': -3.215656, ' ': -4.837345, 'No': -2.0232933, ' no': -5.569064}
{' No': -0.10603129, '\n': -4.733797, ' ': -5.1188226, 'No': -3.8538015, ' no': -2.8236215}
{' No': -0.0074953297, '\n': -6.3753614, ' ': -6.008675, 'No': -5.8234262, ' Yes': -8.730218}
{' Five': -9.359442, ' No': -0.03181457, '\n': -4.82311, ' ': -5.500768, 'No': -3.974838}
{' No': -0.046130877, '\n': -4.5011973, ' ': -4.986465, 'No': -3.6318605, ' no': -9.016652}
{' Five': -8.874916, ' No': -0.008495334, '\n': -6.9494967, ' ': -5.8380585, 'No': -5.4392834}
{' No': -0.039397955, '\n': -4.4410014, ' ': -5.514026, 'No': -3.8047519, ' no': -8.539011}
{' No': -0.036646515, '\n': -4.856732, ' ': -4.8538427, 'No': -4.073672, ' no': -6.4839835}
{'\n': -9.82011, ' ': -9.406544, ' Yes': -0.003750165, ' yes': -9.930923, 'Yes': -5.642346}
{' ': -8.209146, ' Yes': -0.018348904, ' yes': -8.1859255, 'Yes': -4.043522, 'yes': -10.77413}
{'\n': -7.852542, ' ': -7.1651487, ' Yes': -0.032283172, ' yes': -7.75127, 'Yes': -3.5084565}
{'\xa0': -12.442709, ' ': -9.717049, ' Yes': -0.00209869, ' yes': -9.995689, 'Yes': -6.2258167}
{'\n': -7.9774413, ' ': -7.261033, ' Yes': -0.030794995, ' yes': -8.387763, 'Yes': -3.5441427}
{'\n': -8.043627, ' ': -7.6558495, ' Yes': -0.023663435, ' yes': -7.65614, 'Yes': -3.8182378}
{'\n': -7.5918436, ' ': -6.6233606, ' Yes': -0.0039403182, ' yes': -7.845134, 'Yes': -6.416923}
{'\n': -6.75509, ' ': -6.371603, ' Yes': -0.027616186, ' yes': -7.274589, 'Yes': -3.7531736}
{'\n': -4.2298017, ' ': -5.0978417, ' Yes': -0.065062314, ' yes': -6.7847905, 'Yes': -3.210076}
{'\n': -9.205096, ' ': -7.1463113, ' Yes': -0.0037606356, ' yes': -8.710385, 'Yes': -5.9302015}
{'\n': -5.0136113, ' ': -5.3270955, ' Yes': -0.15824354, ' yes': -6.0260625, 'Yes': -2.030846}
{'\n': -7.4427032, ' ': -6.2795415, ' Yes': -0.022015546, ' yes': -5.8153496, 'Yes': -4.143813}
{'\n': -7.515302, ' ': -6.70929, ' Yes': -0.04672877, ' yes': -4.7421193, 'Yes': -3.3705602}
{' ': -7.439528, ' Yes': -0.04995988, ' yes': -6.265416, 'Yes': -3.084544, 'yes': -8.618927}
{' No': -6.593623, ' ': -6.3492475, ' Yes': -0.07241202, ' yes': -5.2484465, 'Yes': -2.819013}
{' YES': -9.717643, ' ': -7.4696174, ' Yes': -0.017375799, ' yes': -6.992118, 'Yes': -4.169653}
{'\n': -7.5620465, ' ': -6.663596, ' Yes': -0.18725206, ' yes': -6.4009223, 'Yes': -1.796316}
{' ': -8.028605, ' Yes': -0.037915822, ' yes': -6.03144, 'Yes': -3.3764641, 'yes': -8.41056}
{'\n': -6.546905, ' ': -5.9282894, ' Yes': -0.04498603, ' yes': -3.5186281, 'Yes': -4.694791}
{'\n': -5.522424, ' ': -5.17514, ' Yes': -0.061160732, ' yes': -5.158869, 'Yes': -3.1459877}
{'\n': -4.3814154, ' ': -5.012397, ' Yes': -0.09363664, ' yes': -4.823062, 'Yes': -2.8068876}
{'\n': -7.0812573, ' ': -6.499884, ' Yes': -0.025017839, ' yes': -6.0112467, 'Yes': -3.9314091}
{'\n': -3.2487588, ' ': -4.8460746, ' Yes': -0.22516906, ' yes': -4.2101526, 'Yes': -2.0125701}
{'\n': -5.32427, ' ': -5.643165, ' Yes': -0.13623428, ' yes': -2.3537233, 'Yes': -3.8907642}
{'\n': -6.1240234, ' ': -6.3256707, ' Yes': -0.009609429, ' yes': -7.472861, 'Yes': -5.3237386}
{'\n': -5.4890294, ' ': -5.877251, ' Yes': -0.024086958, ' yes': -7.328122, 'Yes': -4.1388726}
{'\n': -4.49136, ' ': -5.097363, ' Yes': -0.044379074, ' yes': -6.8522596, 'Yes': -3.7144744}
{'\n': -6.7458587, ' ': -5.9808536, ' Yes': -0.008552082, ' yes': -8.129394, 'Yes': -5.4162855}
{'\n': -3.8057957, ' ': -5.171652, ' Yes': -0.08371948, ' yes': -6.4182878, 'Yes': -3.0082722}
{'\n': -4.9441714, ' ': -4.997453, ' Yes': -0.03688601, ' yes': -4.88895, 'Yes': -4.2698684}
{' YES': -12.127768, ' ': -11.166849, ' Yes': -0.0019521265, ' yes': -10.531096, 'Yes': -6.2695394}
{' ': -9.320546, ' Yes': -0.0104953125, ' yes': -8.5641985, 'Yes': -4.596072, ' True': -10.850796}
{'\n': -9.496589, ' ': -8.5280695, ' Yes': -0.013597459, ' yes': -7.954412, 'Yes': -4.361236}
{' ': -11.999169, ' Absolutely': -12.181079, ' Yes': -0.0008333932, ' yes': -10.8714285, 'Yes': -7.1411204}
{'\n': -9.578398, ' ': -8.051253, ' Yes': -0.013448111, ' yes': -8.916795, 'Yes': -4.365367}
{' ': -9.098853, ' Yes': -0.014071268, ' yes': -8.125618, 'Yes': -4.33471, ' Four': -8.206181}
{'\n': -10.229302, ' ': -8.274535, ' Yes': -0.0012525523, ' yes': -8.943444, 'Yes': -7.1649194}
{'\n': -7.7846465, ' ': -7.4307423, ' Yes': -0.011917296, ' yes': -7.5064235, 'Yes': -4.5988865}
{'\n': -5.238444, ' ': -5.871922, ' Yes': -0.043295596, ' yes': -6.8162966, 'Yes': -3.4205062}
{' YES': -10.936916, ' ': -8.387421, ' Yes': -0.0014428918, ' yes': -8.697523, 'Yes': -6.9003186}
{'\n': -5.206554, ' ': -5.432241, ' Yes': -0.10395781, ' yes': -6.062697, 'Yes': -2.4645495}
{' ': -7.1654644, ' Yes': -0.016094863, ' yes': -5.4697824, 'Yes': -4.726935, ' Four': -6.6395245}
{' ': -7.604824, ' Yes': -0.035244457, ' yes': -4.507218, 'Yes': -3.820372, 'yes': -7.8237267}
{' ': -8.659108, ' Yes': -0.026601218, ' yes': -6.6581717, 'Yes': -3.7102711, 'yes': -9.141208}
{' No': -7.6177464, ' Yes': -0.053805318, ' yes': -5.2337956, 'Yes': -3.0994458, 'yes': -7.583098}
{' ': -9.045517, ' Yes': -0.0072567696, ' yes': -7.4442067, 'Yes': -5.057975, ' True': -9.961195}
{' ': -7.8105364, ' Yes': -0.098719455, ' yes': -7.3310766, 'Yes': -2.380927, 'yes': -8.548204}
{' No': -8.857542, ' ': -8.479379, ' Yes': -0.015943022, ' yes': -6.8604693, 'Yes': -4.2566466}
{'\n': -7.6149507, ' ': -6.2769113, ' Yes': -0.04491327, ' yes': -3.3111582, 'Yes': -5.5261045}
{'\n': -6.212554, ' ': -6.102073, ' Yes': -0.028571405, ' yes': -5.055047, 'Yes': -4.0827117}
{'\n': -4.2044005, ' ': -5.0602336, ' Yes': -0.07453864, ' yes': -4.4710608, 'Yes': -3.2856095}
{'\n': -7.6045303, ' ': -7.3442855, ' Yes': -0.014282256, ' yes': -5.612617, 'Yes': -4.703863}
{'\n': -3.5052197, ' ': -5.1777196, ' Yes': -0.1402258, ' yes': -4.7858295, 'Yes': -2.493461}
{'\n': -5.3824387, ' ': -5.8326516, ' Yes': -0.17288844, ' yes': -2.017344, 'Yes': -4.4828753}
{'\n': -8.398851, ' ': -8.1824875, ' Yes': -0.0028612013, ' yes': -8.213995, 'Yes': -6.2458134}
{'\n': -6.9492087, ' ': -7.417759, ' Yes': -0.011280167, ' yes': -7.7997203, 'Yes': -4.7130604}
{'\n': -5.79169, ' ': -6.193965, ' Yes': -0.025409168, ' yes': -7.274747, 'Yes': -3.9710875}
{'\n': -8.506929, ' ': -7.4064717, ' Yes': -0.0027306585, ' yes': -8.58606, 'Yes': -6.3934317}
{'\n': -5.3951416, ' ': -6.3903913, ' Yes': -0.033687655, ' yes': -7.1579967, 'Yes': -3.6644247}
{'\n': -5.8497853, ' ': -5.792355, ' Yes': -0.02518708, ' yes': -5.0847435, 'Yes': -4.4833164}
{' No': -0.0077293217, '\n': -9.894197, ' ': -8.377977, 'No': -4.906157, ' no': -12.037425}
{' No': -0.03456996, '\n': -10.114863, ' ': -6.940089, 'No': -3.4148228, ' no': -10.522226}
{' No': -0.062102463, '\xa0': -10.074288, '\n': -7.9540625, ' ': -6.9728994, 'No': -2.834342}
{' No': -0.00887562, ' ': -8.3493805, 'No': -4.7615113, ' Two': -10.576675, ' no': -11.91432}
{' No': -0.06358915, '\xa0': -10.119793, '\n': -7.309439, ' ': -6.52396, 'No': -2.8259678}
{' No': -0.06954164, '\n': -8.602122, ' ': -7.2956433, 'No': -2.7177215, ' no': -9.220118}
{' No': -0.0038290226, '\n': -8.008982, ' ': -6.3560343, 'No': -6.4220147, ' no': -9.4443}
{' No': -0.031730108, '\n': -6.512299, ' ': -5.769553, 'No': -3.6374068, ' no': -8.841351}
{' No': -0.06286067, '\n': -4.3382225, ' ': -4.759674, 'No': -3.2598917, ' no': -8.194205}
{' No': -0.004182521, '\n': -9.942938, ' ': -6.648813, 'No': -5.8899965, ' no': -10.240529}
{' No': -0.120838486, '\n': -4.728801, ' ': -4.4970045, 'No': -2.3905048, ' no': -7.045026}
{' No': -0.025347112, '\n': -7.5081363, ' ': -5.653782, 'No': -3.9458585, ' no': -6.607189}
{' No': -0.063770704, '\n': -8.027898, ' ': -6.2136593, 'No': -2.9200897, ' no': -5.308049}
{' No': -0.07791565, ' ': -6.980625, 'No': -2.61126, 'no': -9.378781, ' no': -8.042739}
{' No': -0.13832068, '\n': -7.869892, ' ': -6.696341, 'No': -2.0678518, ' no': -7.426161}
{' No': -0.015436775, ' ': -7.5546384, 'No': -4.2367554, 'no': -10.551174, ' no': -8.3889065}
{' No': -0.43749234, '\n': -7.2823224, ' ': -6.3990064, 'No': -1.0466366, 'no': -8.035966}
{' No': -0.097975664, ' ': -7.0687037, 'No': -2.3852835, 'no': -9.36259, ' no': -8.703046}
{' No': -0.023357898, '\n': -7.146827, ' ': -5.286554, 'No': -4.9807415, ' no': -4.6056786}
{' No': -0.06729593, '\n': -5.482341, ' ': -4.757455, 'No': -3.0099628, ' no': -6.0131736}
{' No': -0.1038709, '\n': -4.3359833, ' ': -4.6999335, 'No': -2.6200185, ' no': -5.924467}
{' No': -0.031564064, '\n': -6.903846, ' ': -5.4908, 'No': -3.6976428, ' no': -6.9570456}
{' No': -0.20919654, '\n': -3.6777413, ' ': -4.542838, 'No': -1.9339468, ' no': -5.176202}
{' No': -0.15848187, '\n': -5.166228, ' ': -4.9063244, 'No': -3.8176885, ' no': -2.2233813}
{' No': -0.009241976, '\n': -6.206559, ' ': -5.785201, 'No': -5.549168, ' no': -8.803072}
{' No': -0.03214086, '\n': -5.5111885, ' ': -5.5290165, 'No': -3.758198, ' no': -8.947206}
{' No': -0.053412583, '\n': -4.6021547, ' ': -4.7632, 'No': -3.4207926, ' no': -8.396159}
{' No': -0.009653241, '\n': -7.339678, ' ': -5.701673, 'No': -5.208843, ' no': -9.464099}
{' No': -0.05324076, '\n': -4.559481, ' ': -5.1965337, 'No': -3.3538463, ' no': -7.7879057}
{' No': -0.03430468, '\n': -5.4486203, ' ': -4.947619, 'No': -3.9512737, ' no': -5.9470916}
{' No': -0.008449711, '\n': -8.770071, ' ': -8.182539, 'No': -4.8456936, ' Yes': -9.895493}
{' No': -0.056225456, '\n': -9.695705, ' ': -7.5266767, 'No': -2.9249656, ' Yes': -8.270063}
{' No': -0.041103024, '\n': -7.687644, ' ': -7.106698, 'No': -3.2527251, ' Yes': -9.071774}
{' No': -0.0133535685, ' ': -8.606693, 'No': -4.3601127, ' Yes': -9.44443, ' Six': -8.76383}
{' No': -0.062623054, '\n': -7.0270886, ' ': -6.1966534, 'No': -2.870551, ' Six': -7.4947205}
{' No': -0.04890344, '\n': -8.343675, ' ': -7.366041, 'No': -3.085961, ' Yes': -7.3863344}
