{' Yes': -0.0047830474, ' No': -5.822646, 'Yes': -6.374882, ' yes': -10.36971, '\n': -10.858401}
{' Yes': -0.008606068, 'Yes': -5.142418, ' Sick': -6.0185795, ' yes': -9.045138, ' YES': -9.835642}
{' Yes': -0.5839618, ' No': -0.82588226, 'No': -6.186302, 'Yes': -6.327856, ' Nope': -7.712401}
{' Yes': -0.46355158, ' No': -1.0172051, ' Dirt': -5.657403, 'No': -5.8549657, 'Yes': -6.0240216}
{' No': -0.02849756, ' Yes': -3.7485328, 'No': -5.439058, ' Nope': -9.451591, 'Yes': -9.61611}
{' Yes': -0.09969484, ' No': -2.470491, ' Te': -5.778385, 'Yes': -6.19355, ' Tea': -6.6518416}
{' Yes': -0.06359576, ' Te': -3.7312622, ' No': -3.911328, 'Yes': -5.653146, ' T': -5.9210553}
{' No': -0.0066799633, 'No': -5.0434055, ' Nope': -8.536427, ' Yes': -12.499356, ' NO': -12.947973}
{' Yes': -0.30913648, ' No': -1.3323145, 'Yes': -6.686008, 'No': -7.3137274, ' Nope': -9.426375}
{' No': -0.42415178, ' Rain': -1.4135622, ' Yes': -2.9800885, ' Train': -3.8654776, ' Brain': -4.6817656}
{' No': -0.09344442, ' Yes': -3.0480149, ' Rain': -3.7435548, ' Nope': -4.692149, 'No': -4.9987535}
{' No': -0.09468848, ' Yes': -2.4222088, 'No': -6.5941806, 'Yes': -8.785626, ' Nope': -9.646744}
{' No': -0.0042247795, ' Yes': -6.2423873, 'No': -6.251838, ' Nope': -8.027391, 'Yes': -12.339108}
{' Yes': -0.0050513344, ' Sure': -6.247177, ' No': -6.6577287, 'Yes': -6.7437763, ' Absolutely': -8.236313}
{' Yes': -0.3399336, ' No': -1.2580798, ' Nope': -6.18919, 'Yes': -7.070793, 'No': -7.346558}
{' No': -0.2436897, ' Yes': -1.5507975, 'No': -5.9623876, ' Nope': -6.9102254, 'Yes': -7.706457}
{' No': -0.04425876, ' Yes': -3.2178369, 'No': -5.789833, 'Yes': -9.350056, ' Nope': -9.425814}
{' Yes': -0.18785602, ' No': -1.774589, 'Yes': -7.3144407, ' Nope': -7.506803, 'No': -8.071321}
{' Yes': -0.3785472, ' No': -1.1675526, ' Nope': -6.4739757, 'Yes': -6.786594, 'No': -6.791299}
{' No': -0.00871495, ' Yes': -5.038088, 'No': -6.16461, ' Nope': -9.827211, ' Not': -11.010366}
{' No': -0.13221072, ' Yes': -2.1397886, 'No': -5.285344, 'Yes': -7.9795046, ' Not': -8.101924}
{' Yes': -0.055068128, ' No': -2.974925, 'Yes': -6.1653905, 'No': -8.697199, ' Land': -9.020899}
{' Yes': -0.34963736, ' No': -1.2674536, ' Land': -5.32208, 'Yes': -5.632308, 'No': -6.42504}
{' Yes': -0.24757312, ' No': -1.6193345, ' Feel': -4.0214567, 'Yes': -6.9165277, 'No': -7.6548}
{' Yes': -0.2495689, ' No': -1.9811878, ' Feel': -2.608158, ' F': -5.869027, 'Yes': -6.585584}
{' Yes': -0.07349215, ' No': -2.680107, 'Yes': -6.2658253, 'No': -8.419918, ' Nope': -9.490461}
{' No': -0.005851411, ' Yes': -5.64351, 'No': -6.2487154, ' Nope': -8.311969, ' Loud': -9.725687}
{' Yes': -0.004000159, 'Yes': -5.851179, ' Sure': -7.0244164, ' Star': -9.169134, ' No': -9.909988}
{' Yes': -0.0065864837, 'Yes': -5.5510783, ' No': -6.6227975, ' Sure': -7.3532424, ' Star': -7.8332534}
{' Yes': -0.004772925, 'Yes': -5.543923, ' Card': -7.847073, ' No': -8.456027, ' yes': -8.983171}
{' Yes': -0.0077479435, ' No': -5.1762486, 'Yes': -6.249136, ' yes': -9.9607315, 'No': -10.748824}
{' Yes': -0.45172766, ' Deer': -1.1789615, ' No': -3.2690034, ' De': -4.631803, 'Yes': -6.288032}
{' Yes': -0.41616622, ' Deer': -1.3028545, ' No': -3.1642053, ' De': -4.375574, ' Dear': -5.441225}
{' Yes': -0.6618617, ' No': -0.7407898, ' Look': -5.7303605, ' Nope': -6.6577854, 'No': -6.6585217}
{' Yes': -0.07942333, ' No': -2.6091094, 'Yes': -6.0989504, 'No': -8.145062, ' Nope': -9.095284}
{' No': -0.02499376, ' Yes': -3.9336412, 'No': -5.4694953, ' Nope': -7.1513186, 'Yes': -9.797555}
{' No': -0.04454795, ' Yes': -3.3705938, ' Nope': -5.333881, ' Gl': -6.0516047, 'No': -6.353264}
{' No': -0.10382654, ' Yes': -2.3517532, 'No': -5.849849, ' Nope': -8.299328, 'Yes': -8.342209}
{' No': -0.17577326, ' Yes': -1.8526703, 'No': -6.0936046, ' Less': -7.018604, ' Nope': -7.370612}
{' Yes': -0.031759255, ' No': -3.5688741, 'Yes': -5.861125, 'No': -8.942068, ' yes': -10.266517}
{' Yes': -0.6364734, ' No': -0.760083, 'No': -6.8182626, 'Yes': -6.936043, ' Nope': -6.9540715}
{' Yes': -0.002989906, 'Yes': -6.748008, ' No': -6.8191175, ' Sure': -7.345273, ' Nope': -10.727448}
{' Yes': -0.020278258, ' Shoes': -4.6036654, 'Yes': -5.4978914, ' Sure': -6.131501, ' Sh': -6.4029756}
{' No': -0.33622387, ' Exit': -1.3368095, ' Yes': -4.3497105, 'No': -5.2055836, ' Ex': -6.169646}
{' No': -0.030573921, ' Yes': -4.1270547, ' Exit': -4.742753, 'No': -5.389703, ' Nope': -7.949847}
{' No': -0.043580517, ' Yes': -3.464128, 'No': -4.628343, ' Lion': -6.985755, ' Nope': -7.9005985}
{' No': -0.02780045, ' Yes': -3.72473, 'No': -5.7738824, ' Nope': -9.057204, 'Yes': -9.790112}
{' Yes': -0.11681061, ' No': -2.2452075, ' Roof': -6.299887, 'Yes': -6.3575196, 'No': -8.104312}
{' Roof': -0.21231213, ' No': -2.0554307, ' Yes': -2.865348, ' roof': -6.393191, ' Proof': -6.5419436}
{' No': -0.7342292, ' Yes': -0.99227446, ' Want': -1.9928294, ' Nope': -5.49001, 'No': -5.650346}
{' No': -0.1657491, ' Yes': -1.9419026, ' Want': -5.7382493, 'No': -5.80111, ' Nope': -6.0546727}
{' Yes': -0.0016025159, 'Yes': -6.7270126, ' No': -8.344282, ' Wind': -9.070366, ' yes': -10.635292}
{' Yes': -0.2675401, ' No': -1.4710102, 'Yes': -6.3873005, ' Wind': -6.3963165, 'No': -6.7706203}
{' Yes': -0.0018847624, 'Yes': -6.7040863, ' No': -7.5203176, ' yes': -10.01099, ' Foot': -10.784198}
{' Yes': -0.020910863, ' No': -4.031773, 'Yes': -6.1287293, ' Foot': -8.286465, 'No': -9.454551}
{' Yes': -0.31735784, ' No': -1.9500732, ' Hate': -2.1641061, ' Nope': -4.822683, 'Yes': -6.0292134}
{' No': -0.4109058, ' Yes': -1.1387901, ' Nope': -4.497654, 'No': -5.930774, ' Hate': -6.730875}
{' No': -0.047517326, ' Yes': -3.1087604, 'No': -6.4219203, 'Yes': -9.491164, ' Nope': -10.0972395}
{' Yes': -0.0055380166, ' No': -5.826361, 'Yes': -6.052628, ' yes': -9.698978, ' YES': -10.323003}
{' Yes': -0.04932897, ' No': -3.2000837, ' Ring': -5.814945, 'Yes': -6.3207645, ' Bing': -7.5101523}
{' Yes': -0.08270429, ' No': -2.5696788, 'Yes': -6.8089347, ' Ring': -7.4271283, ' Nope': -7.8680186}
{' Yes': -0.0046984246, ' No': -5.7846737, 'Yes': -7.1072254, ' Bear': -7.38349, ' yes': -10.288837}
{' Yes': -0.12928796, ' Bear': -2.1790466, 'Yes': -6.157192, ' Bears': -6.2885303, ' Beer': -6.5032015}
{' Yes': -0.0045218384, ' No': -5.79222, 'Yes': -6.6152678, ' YES': -10.287832, ' Self': -10.536695}
{' Yes': -0.19203423, ' No': -1.7524246, 'Yes': -6.878992, 'No': -8.277067, ' Nope': -10.195766}
{' Yes': -0.02215734, ' No': -3.992029, 'Yes': -5.818107, ' Nope': -9.088551, ' yes': -9.2614}
{' Yes': -0.086134024, ' No': -2.547247, 'Yes': -5.6286216, 'No': -7.8076434, ' yes': -9.458176}
{' No': -0.3387698, ' Yes': -1.437557, ' Skin': -3.2707763, ' Nope': -5.195183, 'No': -5.725715}
{' No': -0.2567396, ' Yes': -1.5211821, 'No': -5.8264794, ' Nope': -5.950871, ' Skin': -6.566664}
{' Yes': -0.6749415, ' No': -0.7455954, ' Nope': -4.425622, 'No': -6.333012, 'Yes': -6.374078}
{' Yes': -0.44067484, ' No': -1.1917621, ' Nope': -3.2198246, 'Yes': -5.2224836, 'No': -5.493312}
{' Yes': -0.011360944, ' No': -4.6493516, 'Yes': -6.5649223, ' Sure': -8.75598, ' Nope': -9.981482}
{' Yes': -0.021131337, ' No': -4.0429854, 'Yes': -6.0742545, ' Che': -7.8924274, ' Nope': -8.756332}
{' Yes': -0.019335538, ' No': -4.049456, 'Yes': -6.557883, ' yes': -9.775947, 'No': -9.886044}
{' Yes': -0.033613555, ' No': -3.5847704, 'Yes': -5.925985, ' Male': -7.7282133, ' Nope': -7.7981644}
{' No': -0.5473398, ' Yes': -0.8723978, 'No': -6.4114985, 'Yes': -6.9143496, ' Nope': -7.1927004}
{' No': -0.044251096, ' Yes': -3.2800448, ' Nope': -5.4412713, 'No': -6.788715, ' None': -9.364656}
{' Yes': -0.19463103, ' No': -2.1291687, ' Bike': -3.151773, ' Bicycle': -4.86135, 'Yes': -5.841033}
{' No': -0.5475051, ' Yes': -0.88501424, ' Bike': -5.4468675, 'No': -6.543164, ' Nope': -6.6031685}
{' No': -0.11672828, ' Yes': -2.3061376, ' Nope': -5.2770143, 'No': -5.8834286, ' Dead': -6.318117}
{' No': -0.19288418, ' Yes': -1.7623764, 'No': -6.0885406, ' Nope': -7.1321764, 'Yes': -7.961677}
{' Yes': -0.0009022376, 'Yes': -7.0561895, ' yes': -10.532723, ' YES': -12.373407, ' No': -12.717385}
{' Yes': -0.07132314, ' No': -3.1432147, ' Cave': -3.9325023, 'Yes': -5.613637, ' Nope': -7.730777}
{' Yes': -0.051353324, ' No': -3.1321294, 'Yes': -5.796249, ' Moon': -5.9500103, 'No': -7.881838}
{' Yes': -0.38810554, ' No': -1.201607, ' Moon': -4.7060432, 'Yes': -5.602256, 'No': -5.612927}
{' No': -0.8890158, ' Yes': -1.241816, ' Pain': -1.5611081, ' Nope': -3.524876, ' Paint': -3.774837}
{' No': -0.66425115, ' Yes': -0.7301672, 'No': -6.298793, 'Yes': -6.9875507, ' Nope': -7.322088}
{' No': -0.010807372, ' Yes': -4.7189255, 'No': -6.3949857, ' Nope': -9.038218, 'Yes': -10.581215}
{' No': -0.0710787, ' Yes': -3.062572, ' Nope': -4.0935507, 'No': -6.1357875, ' Plus': -6.691762}
{' Yes': -0.08210708, ' No': -2.8089557, ' Area': -4.822122, 'Yes': -5.550791, ' Sure': -6.0665874}
{' Yes': -0.054759834, ' Area': -3.2332494, ' No': -5.1836276, 'Yes': -6.0231137, ' Sure': -6.1569314}
{' Yes': -0.0681136, ' Dive': -3.3026545, ' No': -3.6995032, 'Yes': -5.7040405, ' yes': -8.8395605}
{' Yes': -0.5704523, ' No': -1.569016, ' Dive': -1.6034188, ' Divide': -4.369038, 'Yes': -5.9976306}
{' Yes': -0.002057777, 'Yes': -6.9167566, ' No': -7.265811, ' Hear': -8.783636, ' Sure': -8.945999}
{' Yes': -0.014654832, ' Hear': -4.5916276, 'Yes': -6.304743, ' No': -6.519545, ' Heart': -8.248948}
{' Yes': -0.12760112, ' Bush': -2.1884015, ' No': -5.758408, 'Yes': -5.9263825, ' Brush': -7.512061}
{' Bush': -0.30782795, ' Yes': -1.4435185, ' Brush': -4.252631, 'Bush': -5.2917204, ' No': -5.9822044}
{' No': -0.10959041, ' Yes': -2.2928905, 'No': -6.0299425, ' Nope': -8.703139, 'Yes': -8.927174}
{' No': -0.025239402, ' Yes': -3.795158, 'No': -6.1626153, ' Nope': -8.461259, ' Near': -9.805694}
{' Yes': -0.7019711, ' Mile': -0.8294469, ' No': -2.9193246, ' Miles': -5.2331333, ' M': -6.027505}
{' Yes': -0.35153964, ' No': -1.3183975, ' Mile': -3.7499502, 'Yes': -6.4249573, 'No': -6.8847623}
{' No': -0.092187524, ' Navy': -3.3711448, ' Yes': -3.8847327, ' Nope': -4.1560493, 'No': -4.8665195}
{' No': -0.05054272, ' Yes': -3.7824838, ' Nope': -4.502052, 'No': -5.100912, ' Navy': -5.562777}
{' No': -0.008699198, 'No': -5.152065, ' Nope': -5.9142494, ' Yes': -8.843174, ' Not': -11.438368}
{' No': -0.0025532828, 'No': -6.020585, ' Nope': -9.273483, ' Not': -12.133098, ' ': -12.237758}
{' Yes': -0.012863494, ' No': -4.4944863, 'Yes': -6.626793, ' Maybe': -9.3753395, ' Sure': -9.674655}
{' Yes': -0.5936872, ' No': -0.8100473, 'No': -6.9634566, ' Nope': -7.111341, 'Yes': -7.3670044}
{' No': -0.0044691483, 'No': -5.809635, ' Yes': -6.7403865, ' Nope': -8.278587, ' Bee': -12.328304}
{' No': -0.0048442576, ' Yes': -5.815435, 'No': -6.388875, ' Nope': -8.810788, 'Yes': -12.289256}
{' Yes': -0.011271003, ' No': -4.783224, 'Yes': -5.988777, ' Milk': -8.39926, 'No': -10.189751}
{' No': -0.023838364, ' Yes': -3.9724941, 'No': -5.493725, ' Milk': -7.815953, ' Nope': -9.052923}
{' Yes': -0.12173669, ' No': -2.2053032, 'Yes': -5.696511, 'No': -7.1019154, ' Nope': -8.961439}
{' Yes': -0.38788977, ' No': -1.1593418, 'Yes': -5.638023, 'No': -5.792848, ' Nope': -6.896625}
{' Yes': -0.0066469023, ' No': -5.57151, 'Yes': -5.9414, ' yes': -9.9442835, 'No': -10.471161}
{' Yes': -0.09774179, ' No': -2.4528558, ' Bird': -5.7085204, 'Yes': -5.9456644, 'No': -7.3369756}
{' Yes': -0.038637936, ' No': -3.4420233, 'Yes': -5.8106728, ' Believe': -6.7245536, ' YES': -8.316617}
{' Yes': -0.09276169, ' No': -2.4841306, 'Yes': -5.774261, 'No': -7.888156, ' Believe': -8.327636}
{' Yes': -0.1296613, ' No': -2.1553915, ' Need': -6.3545275, 'Yes': -6.4421406, ' Nope': -7.168109}
{' Yes': -0.057213612, ' No': -2.9614816, 'Yes': -6.4638867, ' Need': -6.707579, ' Nope': -8.132982}
{' Yes': -0.037908208, ' No': -3.534984, ' Too': -5.3250747, 'Yes': -6.0845423, ' Tool': -7.5097613}
{' Too': -0.79855734, ' Yes': -0.89093786, ' Tool': -2.534466, ' No': -3.002718, 'Too': -5.679676}
{' Yes': -0.025536466, ' Po': -4.430737, ' No': -4.8761473, 'Yes': -5.4855027, ' Nope': -7.393472}
{' Yes': -0.08606341, ' No': -2.5493433, 'Yes': -5.964412, ' Po': -7.2367682, 'No': -7.5136147}
{' Yes': -0.13707827, ' No': -2.0646715, 'Yes': -7.0364556, 'No': -8.671559, ' Nope': -9.587252}
{' No': -0.6076622, ' Yes': -1.1641064, ' Cro': -2.0760272, ' Nope': -5.7510877, 'No': -5.8177295}
{' No': -0.600987, ' Yes': -0.80163825, 'No': -6.276497, 'Yes': -6.749798, ' Nope': -10.107013}
{' Yes': -0.064947054, ' No': -2.8741548, 'Yes': -5.321172, 'No': -7.7145915, ' Blast': -7.7616115}
{' Yes': -0.24851826, ' Door': -1.7694494, ' No': -3.1170197, 'Yes': -5.664142, ' yes': -7.7756634}
{' Door': -0.48778316, ' Yes': -1.1826189, ' No': -2.602487, 'Yes': -6.3686185, ' Doors': -7.138402}
{' Yes': -0.6424653, ' No': -0.8145502, ' To': -4.45233, 'Yes': -5.113684, ' St': -5.5917606}
{' No': -0.09303084, ' Yes': -2.5160463, 'No': -5.588371, ' Nope': -5.687488, 'Yes': -7.1791716}
{' Yes': -0.34653372, ' No': -1.8605433, ' Maze': -2.0341938, 'Yes': -6.0513186, ' Nope': -6.443886}
{' No': -0.025268681, ' Yes': -3.7978342, 'No': -6.352041, ' Nope': -7.327607, 'Yes': -9.850142}
{' No': -0.3971179, ' Yes': -1.1524298, ' Nope': -5.0512505, 'No': -6.201817, ' Monk': -6.5791206}
{' No': -0.1675412, ' Yes': -1.8955972, 'No': -5.919725, ' Nope': -7.3598075, 'Yes': -7.6357417}
{' Yes': -0.012240482, ' No': -4.63634, 'Yes': -6.4765, ' Camp': -7.538918, ' yes': -8.848626}
{' Yes': -0.02467841, ' No': -4.2113676, ' Camp': -5.142781, 'Yes': -5.8983636, ' yes': -8.113628}
{' Yes': -0.020964183, ' Most': -4.469992, ' No': -5.0267453, 'Yes': -6.0657806, ' Mostly': -9.347613}
{' Yes': -0.051259216, ' Most': -3.620425, ' No': -3.9545643, 'Yes': -6.2810235, ' Mostly': -6.815425}
{' Yes': -0.08858404, ' Trip': -2.7865095, ' Tri': -4.459031, 'Yes': -5.7787957, ' Triple': -5.8946314}
{' Yes': -0.025780102, ' No': -3.8467045, 'Yes': -5.8380127, ' yes': -8.1210575, ' Trip': -8.317797}
{' No': -0.07960804, ' Yes': -2.6943235, 'No': -5.328807, ' Dusk': -5.9703093, ' Nope': -7.0932646}
{' No': -0.0059905145, 'No': -5.559707, ' Yes': -6.350124, ' Nope': -7.9496336, 'Yes': -11.594738}
{' Yes': -0.0056928415, ' No': -5.3422866, 'Yes': -7.1485085, ' yes': -10.23128, 'No': -10.997919}
{' Yes': -0.0046823155, ' No': -5.5421596, 'Yes': -7.361463, ' Hell': -10.883697, ' Hello': -10.9662695}
{' No': -0.004377311, 'No': -5.73888, ' Yes': -6.8214693, ' Nope': -9.9650345, 'Yes': -12.7146}
{' No': -0.004769034, 'No': -6.004061, ' Yes': -6.5528584, ' Nope': -7.2282205, ' Now': -10.522051}
{' Yes': -0.0881463, ' No': -2.497305, 'Yes': -6.7798076, 'No': -7.906454, ' Hill': -8.094546}
{' Yes': -0.40869758, ' No': -1.2456688, ' Hill': -3.190552, 'No': -5.9880977, ' Nope': -6.4790087}
{' Yes': -0.27174973, ' No': -1.4536077, 'Yes': -6.2406883, ' Nope': -6.9678855, 'No': -7.11812}
{' Yes': -0.08301109, ' No': -2.7474225, ' Take': -4.478313, 'Yes': -5.9804378, ' Nope': -7.566877}
{' Yes': -0.1033865, ' No': -2.3460374, 'Yes': -6.3051395, 'No': -7.7479997, ' Nope': -9.6729355}
{' Yes': -0.030062076, ' No': -3.9624102, 'Yes': -5.168509, ' Part': -6.733972, ' Apart': -7.006776}
{' No': -0.017611811, ' Yes': -4.170953, 'No': -6.300362, ' Nope': -8.965358, 'Yes': -10.153014}
{' No': -0.15217194, ' Yes': -1.9798123, 'No': -6.2555327, ' Nope': -7.0791388, 'Yes': -8.262093}
{' Yes': -0.0072274716, ' No': -5.3712506, 'Yes': -6.029406, ' yes': -10.169079, ' Sure': -10.672129}
{' No': -0.49503502, ' Yes': -0.9478091, 'No': -6.3260264, 'Yes': -7.1182966, ' Nope': -8.608527}
{' No': -0.003033431, 'No': -6.055523, ' Yes': -7.4806347, ' Nope': -9.08634, ' Not': -13.26009}
{' No': -0.009688448, ' Yes': -5.2547727, 'No': -5.945782, ' Nope': -6.3839636, ' Maybe': -9.976533}
{' No': -0.013760125, ' Yes': -4.525681, 'No': -5.950228, ' Nope': -8.579961, 'Yes': -10.234319}
{' No': -0.013965004, ' Yes': -4.720685, 'No': -5.4969797, ' Nope': -7.1808176, 'Yes': -9.865745}
{' No': -0.28872937, ' Yes': -1.5672252, ' Soda': -3.37332, ' Nope': -5.2986073, 'No': -6.468643}
{' No': -0.01695583, ' Yes': -4.2670584, 'No': -6.037524, ' Nope': -7.974704, 'Yes': -10.238662}
{' Yes': -0.63487875, ' No': -0.7712524, ' Nope': -5.338967, ' Gone': -6.654074, 'No': -7.589877}
{' No': -0.030649265, ' Yes': -3.6800098, ' Nope': -5.730081, 'No': -6.754768, ' Gone': -8.029919}
{' Yes': -0.014381301, ' No': -5.1453876, 'Yes': -5.6211786, ' Fire': -6.0582576, ' Sure': -6.828807}
{' Yes': -0.049609303, ' No': -3.1745214, ' Sure': -6.073479, 'Yes': -6.121392, ' Fire': -7.040406}
{' Yes': -0.0012268315, 'Yes': -7.0287724, ' No': -8.798199, ' Sure': -9.49709, ' yes': -9.666468}
{' Yes': -0.0018645767, 'Yes': -6.9785275, ' No': -7.413483, ' yes': -8.891051, ' Sure': -9.418253}
{' Yes': -0.008017132, ' No': -5.0796266, 'Yes': -6.4493637, ' yes': -10.085033, ' Nope': -10.535661}
{' Yes': -0.051336262, ' No': -3.033655, 'Yes': -6.466881, ' Nope': -8.903973, 'No': -9.467579}
{' Yes': -0.08019013, ' Stop': -2.8310692, ' No': -4.3624525, 'Yes': -5.673774, ' Nope': -7.2912984}
{' Yes': -0.4926685, ' No': -1.0875266, ' Stop': -3.1753104, ' Nope': -5.0568066, 'Yes': -6.3520164}
{' Yes': -0.51526314, ' Late': -1.0676923, ' Plate': -3.6516519, ' No': -3.729096, 'Yes': -5.871495}
{' Yes': -0.584645, ' No': -0.8838965, ' Late': -3.776545, ' Plate': -5.884938, 'Yes': -6.621747}
{' Yes': -0.00827853, ' No': -5.0481763, 'Yes': -6.381275, ' yes': -9.919927, ' Sure': -10.861558}
{' Yes': -0.05689582, ' No': -2.9420807, 'Yes': -6.1474447, 'No': -8.828778, ' Nope': -9.649177}
{' Yes': -0.002958877, 'Yes': -6.2273526, ' No': -7.0549474, ' Wife': -10.600748, ' YES': -10.823146}
{' Yes': -0.5772794, ' No': -0.8349031, 'Yes': -6.432718, ' Nope': -6.637033, 'No': -6.7095804}
{' Yes': -0.0026248156, 'Yes': -6.7407966, ' No': -6.83712, ' Frog': -8.4479885, ' yes': -9.538069}
{' Yes': -0.0061482284, ' No': -5.439704, 'Yes': -6.6722355, ' Frog': -8.094767, ' yes': -9.62668}
{' Yes': -0.009161186, ' No': -5.049038, 'Yes': -6.0469203, ' Duck': -9.040412, ' yes': -9.647808}
{' Yes': -0.31998396, ' No': -1.314609, 'Yes': -6.3835683, ' Duck': -6.551192, 'No': -6.784923}
{' Yes': -0.020374976, ' No': -4.293444, 'Yes': -5.709576, ' Bank': -5.919161, ' yes': -8.772405}
{' Yes': -0.038421374, ' No': -3.3345904, 'Yes': -6.3661895, 'No': -9.3144045, ' Maybe': -9.434234}
{' Yes': -0.015422672, ' No': -4.408563, 'Yes': -5.9460144, ' Test': -8.892521, ' Nope': -9.429106}
{' Yes': -0.071522616, ' No': -2.7118251, 'Yes': -6.31135, ' Test': -8.371656, ' Nope': -8.692829}
{' Yes': -0.08036639, ' No': -2.5907614, 'Yes': -6.3454075, 'No': -8.86382, ' Stay': -9.500981}
{' Yes': -0.04410856, ' No': -3.225654, 'Yes': -6.077275, ' Stay': -7.545415, ' Maybe': -9.036289}
{' Yes': -0.25786, ' No': -1.502958, 'Yes': -5.701862, 'No': -7.056829, ' Nope': -8.754077}
{' Yes': -0.43881294, ' No': -1.0888013, ' East': -5.023218, 'Yes': -5.1368694, 'No': -6.0749383}
{' No': -0.008749524, ' Yes': -5.1700044, 'No': -5.851355, ' Nope': -9.053296, 'Yes': -11.359262}
{' No': -0.00912299, ' Yes': -5.077875, 'No': -6.2715397, ' Nope': -7.013525, ' Not': -11.195541}
{' No': -0.57439196, ' Yes': -0.8391511, 'No': -6.3177814, 'Yes': -6.836367, ' Draw': -6.87323}
{' Yes': -0.10797069, ' No': -2.4612174, ' Draw': -4.4150743, 'Yes': -5.9679847, 'No': -7.8183465}
{' Yes': -0.30779982, ' King': -1.3529468, 'King': -5.9392886, 'Yes': -6.023256, ' Kings': -7.4331193}
{' Yes': -0.1274753, ' No': -2.5203166, ' King': -3.3223932, 'Yes': -6.292705, 'No': -7.877596}
{' No': -0.15707341, ' Yes': -1.9518236, ' Nope': -6.3814263, 'No': -6.8608065, ' Lose': -8.321313}
{' No': -0.38277027, ' Yes': -1.170368, ' Nope': -5.7121215, ' Lose': -6.231223, 'No': -6.7280326}
{' Yes': -0.0049519544, ' No': -5.9520645, ' Sure': -6.6994843, 'Yes': -7.162255, ' Nope': -9.11514}
{' Yes': -0.0019377331, ' Sure': -6.9527564, 'Yes': -7.1074, ' No': -9.523979, ' Yep': -10.866413}
{' Yes': -0.0024248126, 'Yes': -6.199148, ' Sick': -8.260665, ' yes': -9.695103, ' YES': -10.311024}
{' Yes': -0.07193346, ' No': -2.7026458, 'Yes': -6.2250843, 'No': -8.629638, ' Nope': -9.781565}
{' Yes': -0.15790068, ' No': -2.1123857, ' Dirt': -3.8542602, 'Yes': -6.060696, 'No': -7.439182}
{' No': -0.26582667, ' Yes': -1.4763694, 'No': -5.946754, ' Dirt': -6.626306, 'Yes': -7.5597415}
{' Yes': -0.08936937, ' No': -2.532456, 'Yes': -6.419674, ' Te': -6.5770965, ' Nope': -7.828757}
{' Yes': -0.01448144, ' No': -4.9477053, 'Yes': -6.1131816, ' Te': -6.156824, ' Tea': -7.897323}
{' No': -0.0025981006, 'No': -5.9828877, ' Yes': -10.039286, ' Nope': -10.873528, '\n': -12.100967}
{' Yes': -0.10922548, ' No': -2.2879956, 'Yes': -6.7850804, ' Nope': -8.244498, 'No': -8.699869}
{' Rain': -0.6713028, ' No': -1.0598143, ' Yes': -2.4248753, ' Train': -3.8767638, 'Rain': -4.1705546}
{' Rain': -0.5221916, ' No': -1.2082685, ' Yes': -3.2943625, ' Train': -3.837644, 'Rain': -3.9256437}
{' No': -0.43918556, ' Yes': -1.0443587, 'No': -6.7168436, ' Maybe': -7.17155, 'Yes': -7.3852096}
{' No': -0.030102924, ' Yes': -3.6351824, 'No': -5.9524283, ' Nope': -7.669635, 'Yes': -9.544158}
{' Yes': -0.003944684, ' Sure': -6.457443, 'Yes': -6.947521, ' No': -7.0394382, ' Absolutely': -8.358072}
{' Yes': -0.029895019, ' No': -3.6308262, ' Sure': -6.7568555, 'Yes': -7.0830793, ' Nope': -7.568358}
{' No': -0.13583446, ' Yes': -2.0789363, 'No': -6.618367, ' Nope': -8.161969, 'Yes': -8.620675}
{' No': -0.030517137, ' Yes': -3.5609486, 'No': -6.5015745, ' Nope': -9.739705, 'Yes': -10.006986}
{' Yes': -0.13147363, ' No': -2.1217308, ' Thin': -6.5287075, ' Nope': -7.1294594, 'Yes': -7.2472343}
{' Yes': -0.1660784, ' No': -1.895994, 'Yes': -6.7910175, ' Nope': -6.926035, 'No': -7.7187037}
{' No': -0.006341779, ' Yes': -5.4227867, 'No': -6.3696666, ' Not': -9.149861, ' Nope': -9.57485}
{' No': -0.2543951, ' Yes': -1.5191523, 'No': -5.9378853, ' Tail': -6.570713, ' Not': -7.3020597}
{' Yes': -0.018860139, ' No': -4.0853825, 'Yes': -6.4642353, ' Land': -8.8677025, ' yes': -9.491028}
{' Yes': -0.21930277, ' No': -1.6529614, 'Yes': -6.0828047, ' Land': -6.2707148, 'No': -7.5080047}
{' Yes': -0.022299584, ' No': -3.9420972, ' Feel': -6.55671, 'Yes': -7.193895, ' yes': -9.311267}
{' Yes': -0.23686014, ' No': -1.6186141, ' Feel': -4.7899776, 'Yes': -6.9365544, ' F': -7.211091}
{' Yes': -0.024731195, ' No': -3.7997954, 'Yes': -6.3630767, ' Loud': -9.686712, 'No': -9.7295265}
{' No': -0.04290118, ' Yes': -3.2197578, 'No': -6.5258965, ' Nope': -8.034091, ' Loud': -9.276034}
{' Yes': -0.009356402, 'Yes': -5.3108206, ' Star': -5.8676596, ' Sure': -6.937569, ' No': -8.527339}
{' Yes': -0.0059470404, 'Yes': -5.726555, ' No': -6.8152323, ' Sure': -7.241279, ' Star': -7.5693107}
{' Yes': -0.005731448, 'Yes': -5.7064514, ' Card': -6.2985115, ' No': -8.434213, ' yes': -8.819065}
{' Yes': -0.0024922707, 'Yes': -6.178605, ' No': -8.553811, ' yes': -9.328959, ' Card': -9.488063}
