{' Yes': -0.008686332, ' No': -5.233551, ' Spider': -6.134765, 'Yes': -7.0355487, ' The': -8.79744}
{' No': -0.03211433, 'No': -3.462683, ' Yes': -9.308659, ' Unfortunately': -9.445451, ' ': -9.928051}
{' No': -0.054320157, ' Yes': -3.1542995, 'No': -4.6959043, ' Ending': -7.931759, 'Yes': -8.091143}
{' Yes': -0.26903704, ' No': -1.4615246, 'Yes': -5.9337363, 'No': -6.845123, ' The': -9.050937}
{' Yes': -0.4301374, ' No': -1.545076, ' Energy': -2.0861661, 'Yes': -5.173383, 'No': -5.810289}
{' No': -0.70075876, ' Yes': -0.7352418, 'No': -4.080231, 'Yes': -4.916568, ' ': -9.697844}
{' No': -0.0806715, ' Yes': -2.6131308, 'No': -5.5785804, 'Yes': -8.467955, ' The': -9.590143}
{' No': -0.02745787, ' Yes': -3.7749934, 'No': -5.5975256, ' The': -8.562303, ' ': -9.504151}
{' No': -0.013957388, 'No': -4.3108478, ' Yes': -8.643233, ' Unfortunately': -8.9449835, ' Nope': -9.686725}
{' No': -0.23298016, ' Yes': -1.6161855, 'No': -4.935317, 'Yes': -6.772595, ' The': -8.325217}
{' No': -0.043126743, 'No': -3.176374, ' Unfortunately': -8.301074, ' ': -9.58125, ' The': -9.735124}
{' Yes': -0.008355039, 'Yes': -4.7990365, ' No': -10.007048, ' yes': -11.10437, '\n': -11.818674}
{' Yes': -0.004812216, 'Yes': -5.953428, ' No': -6.170018, ' yes': -10.093719, ' The': -10.231915}
{' Yes': -0.035422355, ' No': -3.4643145, 'Yes': -5.8062983, ' The': -8.5697565, 'No': -8.614612}
{' Yes': -0.67677253, ' No': -0.7250647, 'No': -5.5644407, 'Yes': -5.995076, ' Seller': -7.5444307}
{' No': -0.03376687, ' Yes': -3.648406, 'No': -5.0203485, ' ': -8.220275, 'Yes': -8.869266}
{' No': -0.015831474, ' Yes': -4.541882, 'No': -5.391936, ' The': -9.035634, '\n': -9.658196}
{' No': -0.017178949, 'No': -4.6782794, ' Yes': -4.8817363, 'Yes': -9.989762, ' The': -10.176295}
{' Yes': -0.11776166, ' No': -2.2778091, 'Yes': -5.1037784, 'No': -6.435425, ' ': -7.843459}
{' No': -0.1615098, ' Yes': -1.9410125, 'No': -5.3251715, 'Yes': -7.367442, ' Not': -10.44032}
{' No': -0.035377894, ' Yes': -3.5960696, 'No': -4.968886, 'Yes': -8.631416, ' The': -9.187962}
{' Yes': -0.0037310775, 'Yes': -5.991009, ' No': -6.7786155, ' The': -10.055618, ' yes': -10.915503}
{' Yes': -0.059925452, ' No': -3.0492003, 'Yes': -4.6232853, 'No': -7.4418826, ' Parent': -9.352444}
{' Yes': -0.009014904, 'Yes': -4.9188814, ' No': -6.4769273, ' yes': -10.379547, ' ': -10.636499}
{' No': -0.079973035, 'No': -2.6167674, ' Yes': -5.637964, 'Yes': -8.742199, ' ': -9.740528}
{' No': -0.0052377833, 'No': -5.408697, ' Yes': -7.5221133, ' Not': -9.197746, ' The': -10.156576}
{' No': -0.006469972, 'No': -5.127512, ' Yes': -7.8748016, ' Not': -9.696703, ' ': -10.337451}
{' No': -0.08558541, ' Yes': -2.6002088, 'No': -5.0404305, 'Yes': -7.5054, ' The': -7.7984986}
{' Yes': -0.49462053, ' No': -1.0045577, 'Yes': -4.4410944, 'No': -5.0215483, ' The': -5.8690767}
{' Yes': -0.015137976, 'Yes': -4.8326945, ' No': -5.0067625, 'No': -9.075477, ' yes': -9.334226}
{' No': -0.2889022, ' Yes': -1.4457358, 'No': -4.6131744, ' Doctor': -5.738708, 'Yes': -6.3501754}
{' No': -0.060092606, 'No': -2.8438067, ' ': -9.725635, ' Not': -10.823482, ' Yes': -11.192247}
{' No': -0.016376557, ' Yes': -4.7092056, 'No': -4.966917, 'Yes': -9.607229, ' The': -9.734327}
{' No': -0.011987994, 'No': -4.7042885, ' Yes': -6.0333786, ' ': -8.921425, ' The': -9.494119}
{' No': -0.016340569, 'No': -4.650515, ' Yes': -5.0675893, ' Unfortunately': -9.198561, 'Yes': -9.565189}
{' No': -0.026259473, 'No': -4.1701016, ' Yes': -4.607623, 'Yes': -8.965724, ' Not': -9.477013}
{' No': -0.017816206, ' Yes': -4.542814, 'No': -5.0562935, ' The': -8.565298, ' Unfortunately': -9.041461}
{' No': -0.18599156, ' Yes': -1.835867, 'No': -4.911228, 'Yes': -6.2067013, ' The': -8.006094}
{' No': -0.028753022, ' Yes': -3.9429524, 'No': -4.7791533, 'Yes': -8.233775, ' The': -9.148742}
{' Yes': -0.020304535, ' No': -4.2105684, 'Yes': -5.293574, 'No': -9.212781, ' ': -9.884059}
{' No': -0.08910733, ' Yes': -2.5751226, 'No': -4.859203, 'Yes': -7.319732, ' The': -8.242552}
{' No': -0.0072093396, 'No': -5.069011, ' Yes': -7.3008895, ' Unfortunately': -9.335843, ' Ex': -9.875531}
{' No': -0.05472004, ' Yes': -3.3164463, 'No': -4.3157005, ' Nope': -7.0439367, ' The': -7.1224365}
{' Yes': -0.01856341, 'Yes': -4.2208834, ' No': -6.2651587, ' Loving': -6.821149, '\n': -8.413333}
{' No': -0.35352963, ' Yes': -1.230521, 'No': -5.649407, 'Yes': -6.901671, ' The': -8.041433}
{' No': -0.011592471, 'No': -4.890451, ' Yes': -5.5463424, ' ': -10.118833, 'Yes': -10.43492}
{' No': -0.013273895, ' Yes': -4.939038, 'No': -5.309136, ' The': -7.551201, ' Turtle': -8.769963}
{' Yes': -0.6930004, ' No': -0.7198731, 'No': -4.9477134, 'Yes': -5.4660983, ' ': -7.208181}
{' No': -0.46221378, ' Yes': -1.0468886, 'No': -4.2507215, 'Yes': -5.3994064, ' The': -8.969989}
{' No': -0.03874896, 'No': -3.2806618, ' Yes': -8.00249, ' ': -9.913155, 'Yes': -11.826145}
{' Yes': -0.22104636, ' No': -1.6474055, 'Yes': -5.7419124, 'No': -6.3993697, ' The': -7.493745}
{' No': -0.011047566, 'No': -4.615757, ' Yes': -6.9809055, ' The': -9.940307, ' ': -10.098872}
{' No': -0.007950979, 'No': -4.9495, ' Yes': -7.248534, ' ': -9.9322, ' Not': -10.972979}
{' No': -0.023801679, 'No': -4.2338805, ' Yes': -4.778391, 'Yes': -8.492576, ' The': -8.682132}
{' No': -0.030141989, 'No': -4.054262, ' Yes': -4.450775, 'Yes': -8.119236, ' Not': -8.841124}
{' No': -0.23682787, ' Yes': -1.5939846, 'No': -5.1156673, 'Yes': -6.805137, ' The': -7.9063854}
{' No': -0.07717281, ' Yes': -2.696073, 'No': -5.1866336, ' The': -7.4324107, 'Yes': -7.9173446}
{' No': -0.27071193, ' Yes': -1.4681206, 'No': -5.2383842, 'Yes': -6.66287, ' Not': -9.362822}
{' Yes': -0.4862123, ' No': -0.9674288, 'Yes': -5.80592, 'No': -6.4135385, ' The': -9.043744}
{' No': -0.12844808, ' Yes': -2.159721, 'No': -5.44329, 'Yes': -7.767551, ' The': -8.41876}
{' No': -0.008736296, 'No': -5.082272, ' Yes': -6.0423975, ' ': -10.103806, 'Yes': -10.9557905}
{' No': -0.018433655, 'No': -4.1144795, ' Yes': -6.3047557, ' Not': -10.532715, ' ': -10.644969}
{' No': -0.015246605, 'No': -4.5767355, ' Yes': -5.3749533, ' ': -9.747689, ' Not': -10.045738}
{' Yes': -0.36509824, ' No': -1.2036583, 'Yes': -6.2391253, ' The': -6.263333, 'No': -6.5925875}
{' No': -0.34027562, ' Yes': -1.2660016, 'No': -5.4028234, 'Yes': -6.780745, ' The': -7.7783055}
{' No': -0.032396384, 'No': -3.7395592, ' Yes': -4.913112, ' Not': -7.8866115, 'Yes': -9.000385}
{' No': -0.014405426, 'No': -4.2638865, ' Not': -9.186631, ' Yes': -9.684154, ' ': -10.718492}
{' No': -0.004619978, 'No': -5.4940166, ' Yes': -8.006742, ' Not': -9.885917, ' The': -10.280376}
{' No': -0.011042868, 'No': -4.9762316, ' Yes': -5.7968717, ' Not': -7.011874, ' Unfortunately': -9.818971}
{' Yes': -0.025895335, ' No': -3.8294516, 'Yes': -5.7068315, ' The': -8.327149, 'No': -8.962271}
{' Yes': -0.16936411, ' No': -1.9155322, 'Yes': -5.1408796, 'No': -6.2671094, ' The': -7.734925}
{' Yes': -0.016783856, 'Yes': -4.3175173, ' No': -5.843343, '\n': -8.949512, 'No': -9.523686}
{' Yes': -0.005066431, 'Yes': -5.425669, ' No': -7.662672, ' The': -9.372297, ' yes': -9.936556}
{' No': -0.051830754, ' Yes': -3.0761893, 'No': -5.586521, 'Yes': -8.642783, ' The': -8.828697}
{' No': -0.13121732, ' Yes': -2.214351, 'No': -4.5623045, 'Yes': -6.717547, ' The': -6.8667192}
{' No': -0.028906452, ' Yes': -3.8043811, 'No': -5.170376, ' The': -8.618662, ' ': -9.156622}
{' No': -0.036136303, ' Yes': -3.5499587, 'No': -5.3885207, ' The': -7.569408, ' Em': -7.6258616}
{' No': -0.011174076, 'No': -4.5074964, ' Yes': -10.161579, ' ': -10.597832, ' Not': -11.648246}
{' No': -0.017564496, 'No': -4.0594726, ' ': -10.118407, '\n': -10.467201, ' Yes': -10.517903}
{' No': -0.20639506, ' Yes': -1.7593791, 'No': -4.412095, 'Yes': -6.6420884, ' Hunger': -7.743636}
{' Yes': -0.05685065, ' No': -2.974445, 'Yes': -5.6341043, 'No': -7.8412914, ' The': -9.344391}
{' Yes': -0.11243753, ' No': -2.2701275, 'Yes': -6.0729966, 'No': -7.399256, ' ': -10.258624}
{' No': -0.432074, ' Yes': -1.3285832, '\n': -2.820994, 'No': -4.304103, 'Yes': -5.7641597}
{' No': -0.1310254, ' Yes': -2.1473904, 'No': -5.3139186, 'Yes': -7.410665, ' The': -8.27517}
{' No': -0.03273518, 'No': -4.0668006, ' Yes': -4.2297754, 'Yes': -8.531514, ' Unfortunately': -8.724103}
{' No': -0.008394831, 'No': -5.2832036, ' Yes': -5.7568626, ' Not': -10.220417, ' ': -10.412645}
{' No': -0.14274794, ' Yes': -2.0847225, 'No': -4.914633, 'Yes': -7.01835, ' ': -8.41733}
{' No': -0.042188294, ' Yes': -3.2916903, 'No': -5.604795, ' The': -8.783195, 'Yes': -8.822068}
{' No': -0.14461248, ' Yes': -2.0668993, 'No': -5.0110407, 'Yes': -7.2686243, ' The': -8.121707}
{' No': -0.027766807, ' Yes': -3.7446973, 'No': -5.943691, ' The': -7.488881, ' ': -9.002061}
{' No': -0.008469665, ' Yes': -5.252496, 'No': -5.9053173, ' ': -8.553752, ' The': -9.323524}
{' No': -0.1046569, ' Yes': -2.4195867, 'No': -4.690182, 'Yes': -7.342827, ' The': -8.410591}
{' No': -0.056282237, ' Yes': -3.1303291, 'No': -4.595661, 'Yes': -7.8715816, ' ': -8.28631}
{' No': -0.019539133, ' Yes': -4.0871143, 'No': -6.091419, ' The': -9.129583, ' ': -9.651669}
{' No': -0.026332967, ' Yes': -3.9538724, 'No': -5.0561466, 'Yes': -8.640284, ' The': -8.873546}
{' No': -0.014417761, 'No': -4.2682457, ' Yes': -8.324954, '\n': -11.019954, ' ': -11.094523}
{' No': -0.105208136, ' Yes': -2.3998497, 'No': -4.8069673, 'Yes': -7.10134, ' ': -10.118489}
{' No': -0.12282006, ' Yes': -2.2178402, 'No': -5.147627, 'Yes': -7.571692, ' The': -8.976702}
{' No': -0.016842714, ' Yes': -4.7812314, 'No': -4.870026, ' Unfortunately': -8.304183, ' The': -8.695008}
{' No': -0.010466281, 'No': -5.135079, ' Yes': -5.448605, 'Yes': -9.598458, ' The': -9.654852}
{' No': -0.009130809, 'No': -4.878893, ' Yes': -6.640844, ' Unfortunately': -9.459175, ' ': -10.635723}
{' No': -0.073357694, ' Yes': -2.7160559, 'No': -5.556975, 'Yes': -7.5346513, ' The': -9.013553}
{' No': -0.0117269475, ' Yes': -5.0971513, 'No': -5.220204, 'Yes': -9.822044, ' The': -10.456985}
{' No': -0.077607386, 'No': -2.5978653, ' Unfortunately': -8.741326, ' Not': -10.254209, ' ': -10.533341}
{' No': -0.084750615, ' Yes': -2.903825, 'No': -3.705602, 'Yes': -6.871722, ' The': -8.235276}
{' No': -0.016634272, 'No': -4.7822247, ' Yes': -4.8271656, 'Yes': -9.801298, ' ': -10.702915}
{' No': -0.0072060376, 'No': -5.1194077, ' Yes': -6.8071938, ' ': -10.642208, ' Unfortunately': -10.856756}
{' Yes': -0.39378253, ' No': -1.1443986, 'Yes': -5.703698, 'No': -5.9497476, ' The': -7.6814613}
{' No': -0.104749024, ' Yes': -2.5036728, 'No': -4.1395082, 'Yes': -7.052218, ' The': -8.178596}
{' Yes': -0.008715491, 'Yes': -5.126097, ' No': -6.1212444, ' The': -7.9539547, ' yes': -9.650656}
{' Yes': -0.08429165, ' No': -2.644392, 'Yes': -4.7897377, 'No': -7.0420685, ' The': -8.180853}
{' No': -0.4743001, ' Yes': -1.0065763, 'No': -4.671879, 'Yes': -5.910379, ' ': -9.899638}
{' Yes': -0.39661327, ' No': -1.1281615, 'Yes': -6.3852525, 'No': -6.4979997, ' The': -8.54613}
{' No': -0.32523116, ' Yes': -1.2987877, 'No': -5.8933916, 'Yes': -6.8783197, ' The': -7.273217}
{' Yes': -0.0032695532, 'Yes': -6.029038, ' No': -7.4949937, ' The': -8.943527, ' yes': -9.439569}
{' No': -0.076486036, 'No': -3.4972792, ' Yes': -3.5832853, ' Unfortunately': -4.424779, ' Not': -6.067222}
{' No': -0.023665084, 'No': -4.2024965, ' Yes': -4.8072495, 'Yes': -9.419204, ' Unfortunately': -9.80197}
{' No': -0.048417583, 'No': -3.2864087, ' Yes': -4.7065344, 'Yes': -8.01571, ' Unfortunately': -9.117021}
{' No': -0.008326674, 'No': -5.0052576, ' Yes': -6.5624704, '\n': -9.789221, ' Not': -10.123679}
{' No': -0.019329585, ' Yes': -4.28702, 'No': -5.2599072, 'Yes': -9.388876, ' ': -10.065805}
{' Yes': -0.4746808, ' No': -0.9940747, 'Yes': -5.373761, 'No': -5.914799, ' The': -8.155192}
{' Yes': -0.074752755, ' No': -2.7133064, 'Yes': -5.3419514, 'No': -7.582016, ' The': -8.461716}
{' Yes': -0.17646576, ' No': -1.8582075, 'Yes': -5.547464, 'No': -6.7166634, ' The': -7.7821097}
{' No': -0.05138031, ' Yes': -3.1563737, 'No': -4.994606, ' The': -8.041731, 'Yes': -8.560585}
{' Yes': -0.027149577, ' No': -3.800566, 'Yes': -5.550102, ' The': -8.205606, 'No': -8.864916}
{' No': -0.020759445, ' Yes': -4.2986903, 'No': -5.024923, ' The': -8.818774, 'Yes': -9.245196}
{' No': -0.040258553, ' Yes': -3.4300478, 'No': -5.0130196, 'Yes': -8.36895, ' The': -9.666443}
{' Yes': -0.21935607, ' No': -1.6450897, 'Yes': -5.8831415, 'No': -7.0459986, ' The': -8.706185}
{' No': -0.0076707588, 'No': -4.9246535, ' Yes': -8.448476, ' Unfortunately': -10.064656, ' ': -10.101737}
{' No': -0.15241973, ' Yes': -1.991882, 'No': -5.4951606, 'Yes': -7.9438105, ' The': -8.589564}
{' Yes': -0.067528725, ' No': -2.8574684, 'Yes': -5.034838, 'No': -7.319208, ' The': -8.34132}
{' No': -0.022942979, 'No': -4.2547216, ' Yes': -5.3632617, ' Planet': -5.7532988, '\n': -8.241157}
{' No': -0.026048753, 'No': -4.0722275, ' Yes': -4.8039246, 'Yes': -8.762314, ' Not': -9.538709}
{' No': -0.19166589, ' Yes': -1.8287776, 'No': -4.504381, 'Yes': -6.233099, ' ': -7.889062}
{' Yes': -0.028605564, ' No': -3.7189128, 'Yes': -5.638344, 'No': -9.0799465, ' ': -9.288025}
{' Yes': -0.33191684, ' No': -1.3304672, 'Yes': -4.337961, 'No': -5.4038258, ' Pres': -8.560437}
{' No': -0.047492888, 'No': -3.2640321, ' Yes': -4.8892035, 'Yes': -7.7830424, '\n': -8.986415}
{' No': -0.0071987133, 'No': -5.2123036, ' Yes': -6.4378686, ' The': -10.296038, ' ': -10.505291}
{' No': -0.004411493, 'No': -5.9411483, ' Yes': -6.4156218, ' ': -10.101262, ' Unfortunately': -10.207175}
{' No': -0.020221937, 'No': -4.341936, ' Yes': -5.0572643, ' Not': -8.56332, ' Unfortunately': -8.627707}
{' Yes': -0.5184443, ' No': -0.92866164, 'Yes': -5.291691, 'No': -5.5496097, ' The': -8.549166}
{' No': -0.117688775, ' Yes': -2.2823179, 'No': -4.835836, 'Yes': -7.7834716, ' Not': -8.4822855}
{' No': -0.57020164, ' Yes': -0.86171126, 'No': -4.765026, 'Yes': -6.0262847, ' Finger': -7.26733}
{' Yes': -0.4370256, ' No': -1.1007849, 'Yes': -4.667876, ' The': -5.6223893, 'No': -5.8084908}
{' No': -0.13166997, ' Yes': -2.176384, 'No': -5.417469, ' Not': -6.4443665, ' The': -6.7686133}
{' No': -0.4792401, ' Yes': -1.0042379, 'No': -4.609466, 'Yes': -5.609485, ' Not': -7.997245}
{' Yes': -0.02790654, ' No': -3.782543, 'Yes': -5.468296, ' The': -8.27915, 'No': -9.023603}
{' No': -0.023430936, 'No': -3.8088484, ' Yes': -7.1567235, ' ': -9.536358, '\n': -10.202201}
{' No': -0.06768006, ' Yes': -2.8069894, 'No': -5.450662, 'Yes': -8.138736, ' The': -8.423318}
{' Yes': -0.1761326, ' No': -2.2852042, ' Sc': -3.1569273, 'Yes': -4.430386, 'Sc': -6.702193}
{' Yes': -0.20152922, ' No': -1.7678266, 'Yes': -4.791098, 'No': -5.87703, ' The': -8.5221405}
{' No': -0.024640348, 'No': -3.7417765, ' Yes': -7.8524103, ' Unfortunately': -9.420327, ' Not': -10.024243}
{' No': -0.015037165, 'No': -4.219978, ' Yes': -8.971332, ' ': -9.647357, '\n': -11.291704}
{' No': -0.046482723, 'No': -3.5995812, ' Yes': -4.117207, ' Unfortunately': -7.0150013, 'Yes': -8.050138}
{' No': -0.013789611, ' Yes': -4.907823, 'No': -5.1055713, ' Unfortunately': -9.297767, 'Yes': -9.86579}
{' No': -0.029325394, ' Yes': -3.8085074, 'No': -5.081249, 'Yes': -9.003561, ' Unfortunately': -9.03547}
{' No': -0.03427945, ' Yes': -3.692906, 'No': -4.7868676, 'Yes': -8.551798, ' The': -9.549563}
{' Yes': -0.6390812, ' No': -0.76026845, 'No': -5.9406347, 'Yes': -6.3556433, ' Not': -8.762677}
{' No': -0.012959739, 'No': -4.7999983, ' Yes': -5.4245157, ' ': -9.138133, 'Yes': -10.116334}
{' Yes': -0.016338449, 'Yes': -4.239868, ' No': -6.4551277, ' The': -9.096452, 'No': -10.081608}
{' No': -0.4776778, ' Yes': -0.9841723, 'No': -5.7300406, 'Yes': -6.3641906, ' The': -7.6070414}
{' No': -0.024601862, ' Yes': -4.0599294, 'No': -5.1244802, ' Unfortunately': -7.391656, ' The': -8.630923}
{' No': -0.06679234, ' Yes': -2.8825538, 'No': -4.8746705, 'Yes': -7.907662, ' Unfortunately': -8.316341}
{' No': -0.12305534, ' Yes': -2.1967056, 'No': -5.538405, 'Yes': -7.795594, ' Repeat': -9.4781885}
{' No': -0.61598873, ' Yes': -0.7869863, 'No': -5.897921, 'Yes': -6.6070967, ' The': -8.41747}
{' Yes': -0.00507374, ' No': -5.518038, 'Yes': -7.0234737, ' The': -9.818014, ' Spider': -10.223152}
{' Yes': -0.0024039005, 'Yes': -6.207653, ' No': -8.057127, ' The': -10.192472, ' yes': -10.765774}
{' Yes': -0.0048163477, ' No': -5.775671, 'Yes': -6.417149, ' The': -10.490772, ' yes': -11.174536}
{' Yes': -0.34116367, ' No': -1.2728825, ' Candle': -5.3175945, 'Yes': -6.249056, ' Cand': -6.771808}
{' No': -0.2665166, ' Yes': -1.4714326, 'No': -5.7476068, 'Yes': -7.3633137, ' The': -8.472559}
{' No': -0.083392434, ' Yes': -2.5812123, 'No': -5.596072, 'Yes': -8.391267, ' The': -9.10872}
{' Yes': -0.34606683, ' No': -1.2490782, 'Yes': -5.7958117, 'No': -6.1867685, ' The': -7.9974127}
{' Yes': -0.05628268, ' No': -3.0406156, 'Yes': -5.112889, 'No': -7.5880513, ' The': -8.440051}
{' Yes': -0.25805664, ' No': -1.5000916, 'Yes': -6.028766, 'No': -6.7060637, ' The': -7.7209716}
{' Yes': -0.014776049, ' No': -4.3843646, 'Yes': -6.332906, ' The': -8.134269, 'No': -10.065786}
{' No': -0.0066230814, 'No': -5.3057733, ' Unfortunately': -6.678263, ' Yes': -8.358511, ' Not': -9.249354}
{' No': -0.49047723, ' Yes': -0.96060055, 'No': -6.145485, 'Yes': -6.56579, ' The': -7.199658}
{' No': -0.18148506, ' Yes': -1.8262622, 'No': -5.6926813, ' The': -7.781234, ' Not': -7.895364}
{' No': -0.022089152, ' Yes': -4.177397, 'No': -5.077186, ' Not': -9.377516, 'Yes': -9.685986}
{' Yes': -0.0031482272, 'Yes': -6.141743, ' No': -6.9742513, ' The': -10.707315, ' yes': -11.007342}
{' Yes': -0.008685851, 'Yes': -5.266826, ' No': -5.6975207, ' The': -9.888671, 'No': -10.543145}
{' No': -0.030625235, 'No': -3.741021, ' Yes': -5.092801, 'Yes': -9.047456, ' ': -9.706641}
{' Yes': -0.03534171, ' No': -3.4544127, 'Yes': -5.8814416, 'No': -8.873951, ' The': -9.603905}
{' No': -0.0050093415, 'No': -5.372, ' Yes': -8.118271, ' ': -10.617521, ' The': -11.695037}
{' No': -0.012230949, 'No': -5.039214, ' Yes': -5.196664, ' Not': -10.01272, 'Yes': -10.24742}
{' No': -0.025311595, ' Yes': -3.805474, 'No': -6.1076355, ' The': -8.412653, ' Not': -9.062109}
{' No': -0.060530517, ' Yes': -2.9172504, 'No': -5.587895, ' The': -8.510488, ' Unfortunately': -8.613036}
{' Yes': -0.004970943, 'Yes': -5.3127575, ' yes': -11.195523, ' No': -12.170375, ' ': -12.617118}
{' Yes': -0.0037899523, 'Yes': -5.6104712, ' No': -9.668478, ' yes': -10.5638485, ' The': -10.868698}
{' No': -0.44015932, ' Yes': -1.0561088, 'No': -5.4069505, 'Yes': -6.4164033, ' Not': -7.080651}
{' No': -0.69985074, ' Yes': -0.70521224, 'No': -5.219889, 'Yes': -5.8333883, ' The': -7.257436}
{' Yes': -0.02630041, ' No': -3.8510568, 'Yes': -5.439455, 'No': -9.106176, ' Not': -9.473575}
{' Yes': -0.08886119, ' No': -2.5336416, 'Yes': -5.487657, 'No': -7.6469264, ' The': -7.6697726}
{' No': -0.24354565, ' Yes': -1.6383171, 'No': -4.189155, 'Yes': -6.083437, ' ': -6.3140006}
{' Yes': -0.5684281, ' No': -0.8603669, 'Yes': -5.4230423, 'No': -5.431427, ' The': -7.419428}
{' No': -0.21709073, ' Yes': -1.6471444, 'No': -6.2848887, 'Yes': -7.8172736, ' The': -9.016159}
{' No': -0.18827613, ' Yes': -1.7928694, 'No': -5.571981, 'Yes': -7.3645225, ' The': -8.352632}
{' Yes': -0.017943637, ' No': -4.315841, 'Yes': -5.4694204, 'No': -9.460162, ' The': -9.835983}
{' Yes': -0.0017392406, 'Yes': -6.834135, ' No': -7.38265, ' yes': -11.053376, ' ': -11.408353}
{' Yes': -0.12418386, ' No': -2.1939697, 'Yes': -5.4178925, 'No': -7.772793, ' The': -8.065752}
{' Yes': -0.013212712, 'Yes': -4.954605, ' No': -5.1248555, ' The': -9.841898, 'No': -10.204744}
{' No': -0.016181301, 'No': -4.1517177, ' Yes': -8.264617, ' Unfortunately': -10.436559, ' ': -11.226869}
{' No': -0.07936783, ' Yes': -2.6981537, 'No': -4.86938, 'Yes': -7.8849745, ' The': -8.262586}
{' Yes': -0.16799375, ' No': -1.8873312, 'Yes': -6.074656, 'No': -7.436361, ' The': -8.880333}
{' Yes': -0.1926656, ' Energy': -1.7889009, 'Yes': -5.6363964, ' No': -5.8894672, 'Energy': -7.218616}
{' Yes': -0.008887528, 'Yes': -5.259683, ' No': -5.6402597, 'No': -9.972463, ' yes': -10.888288}
{' Yes': -0.08186311, ' No': -2.5716758, 'Yes': -6.368278, 'No': -8.074229, ' The': -9.703793}
{' Yes': -0.39587134, ' No': -1.1259778, 'Yes': -6.936854, 'No': -7.1994467, ' The': -7.308804}
{' No': -0.0063919243, 'No': -5.153986, ' Yes': -7.8083134, ' Nope': -9.513395, ' Unfortunately': -10.184189}
{' Yes': -0.0063766274, ' No': -5.6732693, 'Yes': -5.931763, ' The': -8.732853, ' yes': -10.234121}
{' No': -0.013502482, 'No': -4.354664, ' Yes': -7.927134, ' Unfortunately': -9.611809, ' ': -9.961388}
{' Yes': -0.0031444, 'Yes': -5.7693067, ' yes': -11.629127, ' Strong': -12.728853, ' YES': -12.957453}
{' Yes': -0.0011222807, 'Yes': -6.886704, ' No': -9.476961, ' yes': -11.037676, ' The': -12.587324}
{' Yes': -0.0071611917, ' No': -5.164611, 'Yes': -6.6469655, ' The': -9.626357, ' yes': -10.760526}
{' Yes': -0.011766151, ' No': -4.626926, 'Yes': -6.404142, ' The': -8.990539, ' yes': -9.846362}
{' No': -0.5075449, ' Yes': -0.9399388, ' Bl': -5.603392, 'No': -6.344842, ' ': -7.115096}
{' No': -0.27953804, ' Yes': -1.4289654, 'No': -5.9039598, 'Yes': -7.1413617, ' The': -7.5784917}
{' No': -0.12088052, ' Yes': -2.2113287, 'No': -5.5650826, 'Yes': -8.099413, ' The': -9.1958065}
{' Yes': -0.018085161, ' No': -4.22842, 'Yes': -5.8294, ' The': -8.527705, 'No': -9.228108}
{' Yes': -0.21803327, ' No': -1.6459717, 'Yes': -6.1113496, 'No': -7.1798882, ' Not': -9.819113}
{' No': -0.65871865, ' Yes': -0.7366072, 'No': -6.525894, 'Yes': -6.549347, ' The': -7.287234}
{' Yes': -0.001982702, 'Yes': -6.644994, ' No': -7.3840966, ' The': -10.152774, ' yes': -11.474779}
{' Yes': -0.016528768, ' No': -4.439666, 'Yes': -5.4113226, 'No': -9.755502, ' ': -10.813258}
{' Yes': -0.0038817984, 'Yes': -5.576885, ' No': -9.957775, ' yes': -11.031658, ' The': -11.538588}
{' Yes': -0.4064808, ' No': -1.1444607, 'Yes': -4.7557616, 'No': -5.0025673, ' ': -8.60429}
{' No': -0.07471583, ' Yes': -2.695239, 'No': -5.617169, ' Not': -8.33821, ' The': -8.37349}
{' No': -0.024926905, ' Yes': -3.871265, 'No': -5.6803236, ' Not': -8.677276, 'Yes': -9.59401}
{' No': -0.3453517, ' Yes': -1.267139, 'No': -5.1742797, ' Unfortunately': -6.251902, 'Yes': -6.4648066}
{' Yes': -0.018040068, ' No': -4.630623, 'Yes': -4.9588532, ' The': -7.0970325, 'No': -9.414137}
{' Yes': -0.0052338876, 'Yes': -5.6202974, ' No': -6.5293765, ' The': -9.589257, ' yes': -10.181779}
{' Yes': -0.23129188, ' No': -1.6088855, 'Yes': -5.7789354, 'No': -6.459447, ' Doctor': -6.6520715}
{' No': -0.011197042, 'No': -4.528245, ' Yes': -8.393252, ' Not': -9.861174, ' ': -10.345502}
{' Yes': -0.55541396, ' No': -0.8661324, 'Yes': -6.152086, 'No': -6.178249, ' The': -7.1045675}
{' No': -0.029710246, ' Yes': -3.712417, 'No': -5.3974223, 'Yes': -8.854957, ' The': -9.728564}
{' No': -0.053769715, ' Yes': -3.2013106, 'No': -4.538062, 'Yes': -7.743642, ' The': -8.606505}
{' No': -0.25946134, ' Yes': -1.5116967, 'No': -5.1244473, 'Yes': -6.6552033, ' The': -8.232876}
{' No': -0.11227887, ' Yes': -2.2938204, 'No': -5.6969547, ' Unfortunately': -7.248934, ' The': -7.6354985}
{' Yes': -0.15856631, ' No': -1.979117, 'Yes': -5.0845666, ' The': -6.9184937, 'No': -6.983426}
{' No': -0.5436386, ' Yes': -0.88630897, 'No': -5.6042213, 'Yes': -5.9458656, ' The': -7.668659}
{' Yes': -0.015185663, ' No': -4.4405494, 'Yes': -5.7546816, 'No': -9.785399, ' The': -10.802606}
