{' Right': -0.023665998, ' right': -3.813581, 'Right': -7.2528434, ' "': -7.8961616, 'right': -8.905826}
{' Left': -0.49703854, ' Right': -1.2562035, ' left': -2.5773246, ' right': -3.599444, ' "': -6.2473373}
{' Left': -0.33562812, ' Right': -1.6127219, ' left': -2.6794047, ' right': -4.2035785, ' "': -7.075281}
{' Right': -0.5791775, ' Left': -1.1599443, ' right': -2.7911925, ' left': -2.8172224, ' "': -6.1942472}
{' Left': -0.49577364, ' Right': -1.2376674, ' left': -2.6990247, ' right': -3.5570796, ' "': -5.7137127}
{' Left': -0.3328793, ' Right': -1.6355145, ' left': -2.6838143, ' right': -4.0672426, ' "': -6.586188}
{' Right': -0.7305725, ' Left': -0.9080933, ' left': -2.8819072, ' right': -2.937251, ' "': -5.518908}
{' Left': -0.53138405, ' Right': -1.2291093, ' left': -2.4705222, ' right': -3.4874272, ' "': -5.819502}
{' Right': -0.113944784, ' right': -2.2528322, 'Right': -6.501999, 'right': -7.776754, ' "': -8.049006}
{' Right': -0.08976141, ' right': -2.4976726, 'Right': -6.403625, ' "': -7.322015, ' Left': -7.502351}
{' Right': -0.10053239, ' right': -2.3738363, 'Right': -6.5507393, ' "': -7.713007, 'right': -7.7718}
{' Right': -0.14539461, ' right': -2.1942132, ' Left': -4.212409, ' left': -5.8221064, 'Right': -6.0035543}
{' Right': -0.099134855, ' right': -2.39321, 'Right': -6.3466487, ' "': -7.3288035, 'right': -7.5530887}
{' Right': -0.09988834, ' right': -2.3835588, 'Right': -6.380152, ' "': -7.5320606, 'right': -7.6489067}
{' Right': -0.11913588, ' right': -2.2155294, 'Right': -6.4882526, ' "': -6.8891983, 'right': -7.710812}
{' Right': -0.095787205, ' right': -2.425297, 'Right': -6.598329, ' "': -7.279472, 'right': -7.8091164}
{' Left': -0.21389578, ' Right': -2.0079536, ' left': -3.011278, ' right': -4.9068685, 'Left': -7.433485}
{' Left': -0.15271847, ' Right': -2.4315307, ' left': -3.0436924, ' right': -5.4491105, 'Left': -7.309918}
{' Left': -0.13425948, ' Right': -2.7600183, ' left': -2.8608792, ' right': -5.650537, 'Left': -7.2110453}
{' Left': -0.28075406, ' Right': -1.7523481, ' left': -2.8557107, ' right': -4.521389, 'Left': -6.9161587}
{' Left': -0.16005352, ' left': -2.6194556, ' Right': -2.713341, ' right': -5.4511795, ' "': -6.086573}
{' Left': -0.20156413, ' Right': -2.2371418, ' left': -2.7049859, ' right': -5.042535, ' "': -6.9571605}
{' Left': -0.33247718, ' Right': -1.5719982, ' left': -2.865972, ' right': -4.176023, ' "': -6.815809}
{' Left': -0.16460826, ' Right': -2.519026, ' left': -2.7455828, ' right': -5.3060074, 'Left': -7.221197}
{' Right': -0.077891424, ' right': -2.6366854, 'Right': -6.4859743, ' Left': -7.304435, ' "': -7.3968363}
{' Right': -0.08958225, ' right': -2.5130231, 'Right': -6.5362144, ' "': -6.631051, ' Left': -6.740915}
{' Right': -0.0942307, ' right': -2.4385948, 'Right': -6.674287, ' Left': -7.6264586, ' "': -7.7316437}
{' Right': -0.2235996, ' right': -1.7411205, ' Left': -4.240775, ' left': -5.147641, 'Right': -6.1792974}
{' Right': -0.08577547, ' right': -2.5598772, ' "': -6.3307285, 'Right': -6.3860226, ' Left': -7.190403}
{' Right': -0.071510516, ' right': -2.7127838, 'Right': -6.47888, ' "': -7.543888, 'right': -8.174181}
{' Right': -0.09586442, ' right': -2.4281054, 'Right': -6.5922494, ' "': -6.952428, 'right': -7.924054}
{' Right': -0.14092581, ' right': -2.0703862, ' Left': -6.2443347, 'Right': -6.5480394, ' "': -7.0691366}
{' Right': -0.089548685, ' right': -2.500996, 'Right': -6.1512475, 'right': -7.1754613, ' "': -7.9376683}
{' Right': -0.060570043, ' right': -2.9000015, 'Right': -6.3696885, ' "': -7.3465686, ' Left': -7.4601893}
{' Right': -0.0602922, ' right': -2.904851, 'Right': -6.224406, 'right': -7.3909216, ' "': -7.5544267}
{' Right': -0.09170691, ' right': -2.4882085, 'Right': -6.094032, 'right': -7.024099, ' "': -7.087707}
{' Right': -0.06273684, ' right': -2.8706207, 'Right': -6.2046275, ' "': -6.6841125, 'right': -7.4852962}
{' Right': -0.047537204, ' right': -3.1451018, 'Right': -6.299362, ' "': -7.246769, 'right': -7.6689343}
{' Right': -0.08077004, ' right': -2.613052, 'Right': -6.185947, ' "': -6.8161654, 'right': -7.196405}
{' Right': -0.068107024, ' right': -2.7685883, 'Right': -6.4486837, ' "': -7.3463693, 'right': -7.5684786}
{' Left': -0.14329237, ' left': -2.033406, 'left': -6.937802, 'Left': -6.962121, ' "': -7.311139}
{' Left': -0.19357748, ' left': -1.760535, ' "': -6.524445, 'left': -6.657856, 'Left': -6.797236}
{' Left': -0.16483384, ' left': -1.9070804, 'left': -6.7324376, ' "': -6.7530007, 'Left': -6.8731923}
{' Left': -0.17632611, ' left': -1.847339, 'left': -6.531922, ' "': -6.650677, 'Left': -6.725884}
{' Left': -0.19396701, ' left': -1.7663776, ' "': -6.1898026, 'left': -6.3528395, 'Left': -6.4736676}
{' Left': -0.12908916, ' left': -2.1486664, ' "': -6.3610945, 'Left': -6.580484, 'left': -6.632604}
{' Left': -0.21418218, ' left': -1.6651326, 'left': -6.63376, 'Left': -6.7383227, ' "': -6.8189163}
{' Left': -0.15533514, ' left': -1.9698608, ' "': -6.3842764, 'left': -6.556851, 'Left': -6.6850166}
{' Right': -0.10516855, ' right': -3.0514078, ' Left': -3.1679585, ' left': -4.9599733, 'Right': -6.3366365}
{' Right': -0.1015601, ' right': -2.863027, ' Left': -3.4842143, ' left': -5.2868495, 'Right': -6.4229345}
{' Right': -0.11414506, ' Left': -2.9189334, ' right': -3.149931, ' left': -4.8889556, 'Right': -6.3785224}
{' Right': -0.16587202, ' Left': -2.1984093, ' right': -3.625192, ' left': -4.4383445, 'Right': -6.641219}
{' Right': -0.066684335, ' right': -2.8842177, 'Right': -5.8498545, ' Left': -5.989661, ' "': -6.6641817}
{' Right': -0.07043263, ' right': -3.0768623, ' Left': -4.174478, ' left': -6.02703, 'Right': -6.288224}
{' Right': -0.09921635, ' right': -2.8721712, ' Left': -3.533159, ' left': -5.277847, 'Right': -6.5143623}
{' Right': -0.12374383, ' right': -2.677163, ' Left': -3.3465908, ' left': -4.8826265, ' "': -6.177845}
{' Left': -0.21387485, ' left': -1.800087, ' Right': -3.8709466, 'left': -6.170337, ' right': -6.3781757}
{' Left': -0.11671121, ' left': -2.3266377, ' Right': -4.8776, ' "': -6.3186855, 'Left': -6.6074047}
{' Left': -0.09845686, ' left': -2.4533515, ' Right': -5.392568, 'left': -6.7771177, 'Left': -6.800262}
{' Left': -0.13991183, ' left': -2.0764468, 'left': -6.3622093, 'Left': -6.6058655, ' Right': -6.749492}
{' Left': -0.11363455, ' left': -2.2906747, ' "': -6.242628, 'left': -6.4365406, 'Left': -6.53442}
{' Left': -0.12611035, ' left': -2.1815455, ' Right': -6.3748684, 'left': -6.413845, 'Left': -6.611185}
{' Left': -0.13799706, ' left': -2.1304727, ' Right': -5.1762624, 'left': -6.504545, ' "': -6.581299}
{' Left': -0.22712488, ' left': -1.6924301, ' Right': -4.3968463, ' "': -6.1066256, 'left': -6.150116}
{' Right': -0.35379636, ' Left': -1.9502338, ' right': -2.2192042, ' left': -3.1333108, ' "': -6.857321}
{' Right': -0.5113281, ' right': -1.558247, ' Left': -2.1873612, ' left': -2.6240199, ' "': -6.3400383}
{' Right': -0.51710653, ' Left': -1.5369698, ' right': -2.2356257, ' left': -2.5768273, ' "': -5.6934123}
{' Right': -0.4687166, ' Left': -1.7184094, ' right': -2.1081703, ' left': -2.7034404, ' "': -5.798014}
{' Right': -0.61797506, ' Left': -1.4889104, ' right': -1.9671742, ' left': -2.4064574, ' "': -5.821304}
{' Right': -0.52222085, ' Left': -1.3592074, ' right': -2.4820254, ' left': -2.772108, ' "': -6.527303}
{' Right': -0.607459, ' Left': -1.156125, ' right': -2.6437004, ' left': -2.744628, ' "': -6.416669}
{' Right': -0.5499036, ' Left': -1.7787646, ' right': -1.847303, ' left': -2.3748548, ' "': -6.776822}
{' Left': -0.42319217, ' left': -1.0719806, 'left': -6.363309, 'Left': -7.3753495, ' "': -8.395626}
{' Left': -0.63080746, ' left': -0.7671066, 'left': -6.5013556, ' Right': -7.1366286, 'Left': -7.7024264}
{' Left': -0.3693135, ' left': -1.1921608, ' Right': -6.093085, 'left': -6.704541, ' "': -7.273404}
{' Left': -0.33774564, ' left': -1.2738075, ' Right': -5.7937293, 'left': -6.458404, ' "': -7.008051}
{' Left': -0.49558067, ' left': -0.9477482, 'left': -6.32218, ' "': -7.320396, 'Left': -7.547878}
{' Left': -0.28344458, ' left': -1.409303, 'left': -6.730365, 'Left': -7.456279, ' Right': -7.9366236}
{' Left': -0.2630181, ' left': -1.4767498, 'left': -6.670803, 'Left': -7.331763, ' "': -7.7248845}
{' Left': -0.47254258, ' left': -0.98487747, 'left': -6.4752436, ' "': -7.283699, 'Left': -7.595227}
{' Right': -0.2597931, ' Left': -2.049773, ' right': -2.6208198, ' left': -3.6977813, 'Right': -6.9610195}
{' Right': -0.2976257, ' right': -1.8379642, ' Left': -2.717969, ' left': -3.578946, 'right': -6.304713}
{' Right': -0.31880268, ' right': -2.1123378, ' Left': -2.1883914, ' left': -3.324019, 'right': -6.4866085}
{' Right': -0.18985888, ' right': -2.2497497, ' Left': -2.989353, ' left': -4.338893, 'right': -6.3432226}
{' Right': -0.21447752, ' right': -2.0249937, ' Left': -3.207939, ' left': -4.128872, 'right': -6.219188}
{' Right': -0.26194936, ' Left': -2.2376306, ' right': -2.3595197, ' left': -3.6731336, 'right': -6.45359}
{' Right': -0.4225184, ' Left': -1.5044792, ' right': -2.605145, ' left': -3.0993505, 'Right': -6.667599}
{' Right': -0.21315189, ' right': -2.1015491, ' Left': -3.0141335, ' left': -4.067108, 'right': -6.4887557}
{' Left': -0.13551204, ' left': -2.0847154, 'left': -6.8923, ' Right': -7.5138516, 'Left': -7.7497253}
{' Left': -0.26570255, ' left': -1.4734967, 'left': -6.482678, ' Right': -6.748954, ' "': -7.236722}
{' Left': -0.19860287, ' left': -1.7355598, ' Right': -6.622442, 'left': -6.6701794, 'Left': -7.4814544}
{' Left': -0.26123926, ' left': -1.4900105, 'left': -6.470685, ' Right': -6.5526934, ' "': -7.1945577}
{' Left': -0.16021772, ' left': -1.924521, 'left': -6.9447994, 'Left': -7.534682, ' "': -7.765476}
{' Left': -0.11013039, ' left': -2.2793198, 'left': -7.1042247, 'Left': -7.5689697, ' Right': -7.981853}
{' Left': -0.18192174, ' left': -1.8286214, ' Right': -5.7838783, 'left': -6.7424226, 'Left': -7.3590283}
{' Left': -0.29899284, ' left': -1.3667724, 'left': -6.604676, ' Right': -6.7977686, 'Left': -7.688815}
{' Left': -0.33336344, ' Right': -1.5473392, ' left': -2.8343399, ' right': -4.7745237, ' "': -6.747754}
{' Left': -0.4400901, ' Right': -1.442236, ' left': -2.33119, ' right': -3.974449, ' "': -6.571201}
{' Left': -0.51754594, ' Right': -1.1818277, ' left': -2.5829928, ' right': -4.0375485, ' "': -6.216739}
{' Left': -0.70433813, ' Right': -1.0032712, ' left': -2.3419075, ' right': -3.292858, ' "': -5.842359}
{' Left': -0.37359756, ' Right': -1.6331323, ' left': -2.3264632, ' right': -4.238162, ' "': -6.158927}
{' Left': -0.23830271, ' Right': -2.1648507, ' left': -2.4438577, ' right': -4.9123216, ' "': -6.8219857}
{' Left': -0.48624068, ' Right': -1.4664425, ' left': -2.091778, ' right': -3.735157, ' "': -5.375498}
{' Left': -0.44114125, ' Right': -1.3859655, ' left': -2.4426234, ' right': -4.1400604, ' "': -6.4494834}
{' Left': -0.14878169, ' left': -2.0284908, ' Right': -5.5507817, 'left': -7.058604, ' "': -7.1607766}
{' Left': -0.26837233, ' left': -1.548146, ' Right': -4.112731, ' right': -5.824601, ' "': -6.4040093}
{' Left': -0.17538713, ' left': -1.9149843, ' Right': -4.6324067, ' "': -6.5941377, ' right': -6.8871217}
{' Left': -0.2906459, ' left': -1.4232543, ' Right': -5.1075745, ' "': -6.2767506, ' right': -6.6870956}
{' Left': -0.23122756, ' left': -1.6212918, ' Right': -5.6276674, ' "': -5.9314547, 'left': -6.720144}
{' Left': -0.20480934, ' left': -1.7527925, ' Right': -5.0024204, ' "': -6.126049, 'left': -6.783596}
{' Left': -0.28322414, ' left': -1.4299603, ' Right': -5.8156657, ' "': -6.13368, 'left': -6.9993644}
{' Left': -0.16551937, ' left': -1.9186875, ' Right': -5.9648943, ' "': -6.840457, 'left': -6.933917}
{' Right': -0.38014892, ' Left': -1.6066791, ' right': -2.5983171, ' left': -3.2848997, 'Right': -6.439845}
{' Right': -0.32517785, ' Left': -1.928932, ' right': -2.3154104, ' left': -3.4823718, 'Right': -6.7725024}
{' Right': -0.43250299, ' Left': -1.3048193, ' right': -3.0841312, ' left': -3.4486392, 'Right': -6.9135346}
{' Right': -0.3481202, ' Left': -1.7595487, ' right': -2.4562707, ' left': -3.413151, 'Right': -6.6479583}
{' Right': -0.21438438, ' right': -2.3560793, ' Left': -2.5635436, ' left': -4.0771775, ' "': -6.398974}
{' Right': -0.4185653, ' Left': -1.5212494, ' right': -2.5683074, ' left': -3.128015, 'Right': -6.6090975}
{' Right': -0.59038496, ' Left': -1.359178, ' right': -2.2023997, ' left': -2.588773, 'Right': -6.877873}
{' Right': -0.28993666, ' Left': -2.1138177, ' right': -2.3126893, ' left': -3.5301788, 'Right': -6.771708}
{' Left': -0.15885, ' left': -1.9720024, ' Right': -5.378771, 'left': -6.6181374, 'Left': -7.031351}
{' Left': -0.17916341, ' left': -1.8367923, ' Right': -6.190477, 'left': -6.6837106, 'Left': -7.127955}
{' Left': -0.25136834, ' left': -1.531327, ' Right': -5.7337956, 'left': -6.8095613, 'Left': -7.2297196}
{' Left': -0.19371861, ' left': -1.7701308, ' Right': -5.7826767, 'left': -6.78911, 'Left': -7.0605087}
{' Left': -0.20965835, ' left': -1.6906782, ' Right': -6.3737097, 'left': -6.6835084, 'Left': -7.115945}
{' Left': -0.2123635, ' left': -1.7083447, ' Right': -4.9849634, 'left': -6.8250194, ' right': -6.8538256}
{' Left': -0.30495363, ' left': -1.3974562, ' Right': -4.576049, ' right': -6.0606637, 'left': -6.604325}
{' Left': -0.22371931, ' left': -1.6362444, ' Right': -5.827132, 'left': -6.592089, 'Left': -7.219645}
{' Right': -0.05177156, ' right': -3.0300372, 'Right': -6.6305804, 'right': -8.297716, ' Left': -8.319571}
{' Right': -0.04827401, ' right': -3.1291108, 'Right': -6.470761, ' Left': -7.0490804, ' "': -8.089788}
{' Right': -0.04113184, ' right': -3.2840552, 'Right': -6.567619, ' Left': -7.2276587, ' "': -8.283026}
{' Right': -0.068789855, ' right': -2.771623, 'Right': -6.4793367, ' Left': -6.734441, 'right': -7.837886}
{' Right': -0.090893894, ' right': -2.4819424, 'Right': -6.37572, ' "': -7.270856, 'right': -7.5492086}
{' Right': -0.09051393, ' right': -2.4805095, 'Right': -6.3967805, 'right': -7.6717477, ' "': -7.8672585}
{' Right': -0.065367445, ' right': -2.8095078, 'Right': -6.3594174, ' "': -7.6628056, 'right': -7.9250207}
{' Right': -0.050840445, ' right': -3.0510101, 'Right': -6.695116, ' "': -7.9602585, ' Left': -8.296173}
{' Left': -0.2002043, ' left': -1.7187111, 'Left': -6.7433944, 'left': -7.3179502, ' "': -8.187575}
{' Left': -0.20472609, ' left': -1.7017276, 'Left': -6.584797, 'left': -7.189894, ' "': -7.433253}
{' Left': -0.21881396, ' left': -1.6410799, 'Left': -6.5934534, 'left': -7.026551, ' "': -7.6585474}
{' Left': -0.14401343, ' left': -2.0250158, 'Left': -6.6748834, 'left': -7.468237, ' "': -8.216764}
{' Left': -0.4578915, ' left': -1.0126095, 'left': -6.501407, ' "': -6.626545, 'Left': -6.696064}
{' Left': -0.36143827, ' left': -1.2034163, 'Left': -6.6514025, 'left': -6.691582, ' "': -7.4439597}
{' Left': -0.26983127, ' left': -1.4550025, 'Left': -6.570135, 'left': -7.027632, ' "': -7.182038}
{' Left': -0.2173486, ' left': -1.6500782, 'Left': -6.480036, 'left': -6.956608, ' "': -7.153736}
{' Right': -0.060930498, ' right': -2.9864047, ' Left': -5.1718044, 'Right': -6.5586724, ' left': -6.945936}
{' Right': -0.033697024, ' right': -3.710121, ' Left': -5.0566807, 'Right': -6.688101, ' left': -7.3968716}
{' Right': -0.040547203, ' right': -3.6005292, ' Left': -4.6187787, 'Right': -6.728918, ' left': -6.9453015}
{' Right': -0.036336303, ' right': -3.775609, ' Left': -4.572633, 'Right': -6.7835875, ' left': -7.022069}
{' Right': -0.036151566, ' right': -3.575109, ' Left': -5.4256873, 'Right': -6.281482, ' left': -7.645836}
{' Right': -0.062103033, ' right': -3.1258388, ' Left': -4.3977065, ' left': -6.180389, 'Right': -6.626332}
{' Right': -0.06948605, ' right': -3.0737088, ' Left': -4.11728, ' left': -5.999215, 'Right': -6.628058}
{' Right': -0.064616874, ' right': -2.9978862, ' Left': -4.699043, ' left': -6.496848, 'Right': -6.645304}
{' Left': -0.075219624, ' left': -2.6511283, 'Left': -6.671706, 'left': -7.778287, ' "': -8.854148}
{' Left': -0.05911104, ' left': -2.8893185, 'Left': -6.750511, 'left': -7.9960938, ' "': -8.540983}
{' Left': -0.0827928, ' left': -2.5542243, 'Left': -6.8136578, 'left': -7.7685847, ' "': -9.225711}
{' Left': -0.061673425, ' left': -2.8471367, 'Left': -6.7350793, 'left': -7.936137, ' "': -8.73556}
{' Left': -0.08178478, ' left': -2.5754867, 'Left': -6.4722457, 'left': -7.635776, ' "': -8.095664}
{' Left': -0.07456734, ' left': -2.660371, 'Left': -6.623235, 'left': -7.8260393, ' "': -8.858424}
{' Left': -0.12949637, ' left': -2.1289566, 'Left': -6.6479, 'left': -7.3718452, ' "': -7.9034443}
{' Left': -0.13423514, ' left': -2.0923915, 'Left': -6.743694, 'left': -7.41216, ' "': -8.010135}
{' Right': -0.55907017, ' Left': -1.2358662, ' left': -2.5003617, ' right': -2.9699128, ' "': -6.1403975}
{' Left': -0.7936458, ' Right': -0.8178177, ' left': -2.5673485, ' right': -3.689304, ' "': -5.864082}
{' Right': -0.6761457, ' Left': -1.0688515, ' left': -2.325697, ' right': -3.0937805, ' "': -5.8892264}
{' Right': -0.6898087, ' Left': -0.8838928, ' left': -2.8878047, ' right': -3.7251785, ' "': -5.693795}
{' Left': -0.40120748, ' Right': -1.673968, ' left': -2.0905862, ' right': -4.2423024, ' "': -5.9181542}
{' Left': -0.63274974, ' Right': -1.1990874, ' left': -2.0152588, ' right': -3.5498202, ' "': -5.887699}
{' Left': -0.28958258, ' left': -1.9696592, ' Right': -2.314073, ' right': -4.859033, ' "': -5.862405}
{' Left': -0.6631354, ' Right': -1.2817515, ' left': -1.7638339, ' right': -3.4711819, ' "': -5.946701}
{' Right': -0.17138065, ' right': -1.8811738, 'Right': -6.445003, ' Left': -6.6142416, 'right': -7.015319}
{' Right': -0.086750746, ' right': -2.526162, 'Right': -6.6831684, ' "': -7.286507, 'right': -7.6252465}
{' Right': -0.12769254, ' right': -2.1516182, 'Right': -6.548864, 'right': -7.2337203, ' Left': -7.339986}
{' Right': -0.11157403, ' right': -2.3184545, ' Left': -5.9410834, ' "': -6.516405, 'Right': -6.579368}
{' Right': -0.097167, ' right': -2.4116848, 'Right': -6.5473237, ' "': -7.0643296, 'right': -7.4944787}
{' Right': -0.15430292, ' right': -1.9671613, 'Right': -6.472494, 'right': -7.217802, ' "': -7.243181}
{' Right': -0.08781885, ' right': -2.5272014, 'Right': -6.501963, ' "': -6.5867734, ' Left': -7.486445}
{' Right': -0.15344624, ' right': -1.9843559, 'Right': -6.583162, ' "': -6.585886, ' Left': -7.115152}
{' Left': -0.26107737, ' Right': -2.1605332, ' left': -2.2608294, ' right': -4.9560103, 'Left': -6.634248}
{' Left': -0.2508027, ' Right': -2.1191785, ' left': -2.3772504, ' right': -5.1237693, ' "': -6.718091}
{' Left': -0.18742616, ' Right': -2.2085614, ' left': -2.898678, ' right': -5.636839, 'Left': -6.8522706}
{' Left': -0.25979936, ' Right': -1.8007424, ' left': -2.8900979, ' right': -5.338409, ' "': -6.520452}
{' Left': -0.14278327, ' left': -2.2831507, ' Right': -3.6756735, ' "': -6.277377, 'Left': -6.4182596}
{' Left': -0.12450696, ' left': -2.3553324, ' Right': -3.9624052, 'Left': -6.655722, ' right': -7.1521616}
{' Left': -0.19665763, ' Right': -2.3202958, ' left': -2.6168025, ' right': -5.555136, ' "': -6.5963483}
{' Left': -0.17390181, ' left': -2.3103497, ' Right': -2.911336, ' right': -5.9248934, 'Left': -6.644322}
{' Right': -0.057249144, ' right': -2.9612026, 'Right': -6.3638263, ' Left': -6.8179545, ' "': -7.87632}
{' Right': -0.0545716, ' right': -3.001021, 'Right': -6.3428082, ' "': -7.3951283, ' Left': -7.6855335}
{' Right': -0.046936143, ' right': -3.1498773, 'Right': -6.6160026, ' Left': -7.1475573, ' "': -7.8890204}
{' Right': -0.053730216, ' right': -3.0093918, 'Right': -6.4655757, ' "': -7.1920466, 'right': -8.037569}
{' Right': -0.032988396, ' right': -3.5245807, 'Right': -6.288703, ' "': -7.296021, 'right': -8.202554}
{' Right': -0.0351558, ' right': -3.436336, 'Right': -6.3432174, ' "': -8.318454, 'right': -8.358035}
{' Right': -0.0325005, ' right': -3.525979, 'Right': -6.443099, ' "': -7.421254, 'right': -8.348138}
{' Right': -0.062609725, ' right': -2.8588758, 'Right': -6.5085473, ' "': -7.3129396, ' Left': -7.434834}
{' Right': -0.7250052, ' Left': -0.8307142, ' left': -3.1380374, ' right': -3.3783846, 'Right': -7.0974054}
{' Left': -0.54065835, ' Right': -1.048591, ' left': -3.109422, ' right': -3.9227784, ' "': -6.7629366}
{' Left': -0.5956957, ' Right': -1.1159745, ' left': -2.4796336, ' right': -3.3447897, 'Right': -7.4463935}
{' Right': -0.33738318, ' Left': -1.5727844, ' right': -3.0143983, ' left': -3.6820388, 'Right': -6.3622847}
{' Left': -0.6524528, ' Right': -0.9376759, ' left': -2.9644017, ' right': -3.4401686, ' "': -6.094424}
{' Left': -0.77269983, ' Right': -0.9035764, ' left': -2.5537019, ' right': -2.9428067, 'Right': -7.147223}
{' Right': -0.46195623, ' Left': -1.47345, ' right': -2.3751051, ' left': -3.1403046, ' "': -6.0452332}
{' Right': -0.7144167, ' Left': -0.8569089, ' left': -3.0389786, ' right': -3.332493, ' "': -6.8772564}
{' Right': -0.06453119, ' right': -2.8021102, 'Right': -6.6559215, 'right': -8.196686, ' "': -8.86698}
{' Right': -0.07217553, ' right': -2.7144485, 'Right': -6.288726, ' Left': -7.528835, 'right': -7.6697283}
{' Right': -0.098662615, ' right': -2.3930006, 'Right': -6.54461, ' Left': -7.7976217, 'right': -7.8482733}
{' Right': -0.15487394, ' right': -2.4630308, ' Left': -3.0905428, ' left': -4.9902487, 'Right': -5.951279}
{' Right': -0.09764629, ' right': -2.408504, 'Right': -6.2322106, 'right': -7.466208, ' "': -7.7879877}
{' Right': -0.09886307, ' right': -2.394233, 'Right': -6.2568655, 'right': -7.5062513, ' "': -8.152616}
{' Right': -0.106938966, ' right': -2.3129709, 'Right': -6.4747043, 'right': -7.7289133, ' "': -8.123998}
{' Right': -0.09151499, ' right': -2.4642434, 'Right': -6.486782, 'right': -7.755844, ' "': -8.374193}
{' Left': -0.32082063, ' Right': -1.552203, ' left': -3.045733, ' right': -4.3454103, 'Left': -7.264878}
{' Left': -0.27034587, ' Right': -1.7866479, ' left': -2.8824997, ' right': -4.496931, 'Left': -7.1680884}
{' Left': -0.4011142, ' Right': -1.3703029, ' left': -2.8949325, ' right': -3.9406095, 'Left': -7.5426617}
{' Left': -0.31969827, ' Right': -1.5731848, ' left': -2.968952, ' right': -4.4414744, 'Left': -7.008659}
{' Left': -0.16276108, ' Right': -2.50113, ' left': -2.8030791, ' right': -5.437198, ' "': -6.595237}
{' Left': -0.64750946, ' Right': -1.0293359, ' left': -2.5536945, ' right': -3.2456288, 'Right': -7.159573}
{' Left': -0.5525003, ' Right': -1.1384722, ' left': -2.730925, ' right': -3.3348606, 'Right': -6.900518}
{' Left': -0.3187324, ' Right': -1.7589542, ' left': -2.4797678, ' right': -4.2352858, 'Left': -7.130595}
{' Right': -0.048711486, ' right': -3.0931106, 'Right': -6.5464735, ' "': -7.92164, 'right': -8.500728}
{' Right': -0.048137903, ' right': -3.1152704, 'Right': -6.5714183, ' "': -7.5647073, ' Left': -8.083935}
{' Right': -0.12627277, ' right': -2.1548467, 'Right': -6.6807942, ' Left': -7.378071, 'right': -8.060047}
{' Right': -0.13209487, ' right': -2.2196841, ' Left': -4.6823473, ' left': -6.1083302, 'Right': -6.2257433}
{' Right': -0.0641034, ' right': -2.8231077, 'Right': -6.480764, ' "': -7.435382, 'right': -8.2245455}
{' Right': -0.1857495, ' right': -1.7997478, 'Right': -6.403309, ' Left': -6.8278046, ' "': -7.5773015}
{' Right': -0.084644094, ' right': -2.544563, 'Right': -6.572494, ' "': -7.4386244, 'right': -8.060414}
{' Right': -0.08511516, ' right': -2.5389647, 'Right': -6.8007636, ' Left': -7.389293, ' "': -7.668649}
{' Right': -0.053615883, ' right': -3.0246394, 'Right': -6.307865, ' Left': -7.359657, 'right': -7.6024685}
{' Right': -0.047761247, ' right': -3.1937592, ' Left': -6.1023383, 'Right': -6.3781123, ' "': -7.158292}
{' Right': -0.05728764, ' right': -2.9694045, 'Right': -6.1792107, ' Left': -7.1030064, 'right': -7.4500637}
{' Right': -0.0656775, ' right': -2.8333738, 'Right': -6.1724277, ' Left': -6.998312, 'right': -7.250997}
{' Right': -0.047291648, ' right': -3.1723201, 'Right': -6.190535, ' "': -6.6951966, 'right': -7.633223}
{' Right': -0.06012843, ' right': -2.9199858, 'Right': -6.169186, ' Left': -7.113608, ' "': -7.3536572}
{' Right': -0.058326863, ' right': -2.9719737, 'Right': -6.094967, ' "': -6.4753838, ' Left': -7.1956306}
{' Right': -0.06194975, ' right': -2.876414, 'Right': -6.4244204, ' "': -7.063245, ' Left': -7.6013994}
{' Left': -0.12215591, ' left': -2.1864126, 'left': -6.944106, 'Left': -6.9811454, ' "': -7.3085527}
{' Left': -0.16450897, ' left': -1.9185144, ' "': -6.3557606, 'left': -6.734808, 'Left': -6.763285}
{' Left': -0.20935476, ' left': -1.6902374, ' "': -6.553217, 'left': -6.5857716, 'Left': -6.932329}
{' Left': -0.19718476, ' left': -1.7433959, 'left': -6.4281683, 'Left': -6.6389794, ' "': -6.8637795}
{' Left': -0.14738376, ' left': -2.0233889, ' "': -6.165715, 'left': -6.6035905, 'Left': -6.6436453}
{' Left': -0.14216553, ' left': -2.0576508, ' "': -6.214183, 'left': -6.565982, 'Left': -6.665204}
{' Left': -0.26624608, ' left': -1.4726231, 'left': -6.378009, ' "': -6.521014, 'Left': -6.7753057}
{' Left': -0.12105247, ' left': -2.2153327, ' "': -6.128712, 'left': -6.632239, 'Left': -6.6413007}
{' Right': -0.4225055, ' Left': -1.2679664, ' left': -3.4022229, ' right': -3.6616223, ' "': -6.598005}
{' Right': -0.1749782, ' Left': -2.3123417, ' right': -3.1267354, ' left': -4.28953, 'Right': -6.485906}
{' Right': -0.427081, ' Left': -1.2741612, ' left': -3.3594673, ' right': -3.5321984, 'Right': -6.641695}
{' Right': -0.351256, ' Left': -1.3843333, ' left': -3.8310628, ' right': -3.91878, ' "': -6.3398976}
{' Right': -0.08995672, ' right': -3.2758582, ' Left': -3.2789333, ' left': -5.405768, 'Right': -5.9536023}
{' Right': -0.2864242, ' Left': -1.5921073, ' right': -3.7849574, ' left': -3.9830317, ' "': -6.2691126}
