{' Up': -0.80227643, ' Down': -1.2832868, ' down': -1.5959585, ' up': -2.6505296, ' "': -7.713283}
{' Down': -0.62362343, ' Up': -0.8769328, ' down': -3.6208174, ' up': -4.141623, 'Down': -5.748724}
{' Up': -0.33219498, ' Down': -1.6048924, ' up': -2.9867814, ' down': -3.5888953, 'Up': -6.62185}
{' Down': -0.35508853, ' down': -1.7122587, ' Up': -2.343797, ' up': -4.2818823, 'Down': -5.381009}
{' Up': -0.17513129, ' Down': -2.591694, ' up': -2.6025891, ' down': -4.814993, 'Up': -6.323309}
{' Down': -0.065779984, ' down': -2.7656395, ' Up': -7.7696657, 'Down': -8.378488, 'down': -10.073688}
{' Down': -0.026480393, ' down': -3.6542668, 'Down': -8.4366045, 'down': -10.5782795, ' DOWN': -11.901421}
{' Down': -0.1909977, ' down': -2.4513166, ' Up': -2.466928, ' up': -5.966584, 'Down': -8.562209}
{' Down': -0.111051984, ' down': -2.254725, 'Down': -8.83959, 'down': -9.998638, ' "': -11.821607}
{' Down': -0.031846013, ' down': -3.485085, 'Down': -7.5095615, 'down': -9.275221, ' Up': -10.370041}
{' Down': -0.022778388, ' down': -3.8326614, 'Down': -7.20541, 'down': -9.366868, ' Up': -10.534403}
{' Down': -0.05738965, ' down': -3.0215487, ' Up': -5.104585, 'Down': -7.2821035, 'down': -8.795079}
{' Down': -0.051859755, ' down': -2.9964988, 'Down': -7.762843, 'down': -8.930473, ' DOWN': -11.379566}
{' Down': -0.022160633, ' down': -3.8623972, 'Down': -7.2048063, 'down': -9.019231, ' DOWN': -10.570573}
{' Down': -0.013355562, ' down': -4.4437675, 'Down': -6.8605056, ' Up': -8.026096, 'down': -9.260286}
{' Down': -0.013870837, ' down': -4.377131, 'Down': -7.046915, ' Up': -8.60471, 'down': -9.225267}
{' Down': -0.0253764, ' down': -3.7216692, 'Down': -7.278544, 'down': -8.906101, ' DOWN': -10.787806}
{' Down': -0.36411363, ' down': -1.1894844, 'Down': -7.6647196, 'down': -8.645152, ' Up': -9.199272}
{' Down': -0.33790323, ' down': -1.2513705, 'Down': -7.7791047, 'down': -8.736356, ' DOWN': -10.513125}
{' Up': -1.0632442, ' down': -1.1980994, ' Down': -1.2359413, ' up': -2.78364, 'Down': -8.642599}
{' Down': -0.4486969, ' down': -1.0184944, 'Down': -8.410019, 'down': -8.820183, ' DOWN': -11.124057}
{' Down': -0.034779515, ' down': -3.404395, 'Down': -7.178593, 'down': -8.85556, ' DOWN': -10.131757}
{' Down': -0.016866291, ' down': -4.168628, 'Down': -6.857752, 'down': -9.119407, ' DOWN': -9.983797}
{' Down': -0.045930907, ' down': -3.1575162, 'Down': -6.429842, 'down': -8.169191, ' DOWN': -8.461863}
{' Down': -0.03169701, ' down': -3.5029416, 'Down': -7.0556984, 'down': -8.776581, ' DOWN': -9.948086}
{' Down': -0.013032259, ' down': -4.373428, 'Down': -8.200343, 'down': -10.144668, ' DOWN': -10.891702}
{' Down': -0.00614241, ' down': -5.1538815, 'Down': -8.130174, 'down': -10.569963, ' DOWN': -11.13291}
{' Down': -0.012983771, ' down': -4.761345, ' Up': -5.5142956, 'Down': -8.380077, 'down': -10.252443}
{' Down': -0.013509974, ' down': -4.328018, 'Down': -8.651928, 'down': -10.2710285, ' DOWN': -11.499434}
{' Down': -0.048452873, ' down': -3.1123185, 'Down': -5.9928308, 'down': -8.31893, ' DOWN': -10.435726}
{' Down': -0.028572567, ' down': -3.728878, 'Down': -5.770281, ' Up': -7.1730113, 'down': -8.51028}
{' Down': -0.054524515, ' down': -3.1694844, ' Up': -4.9267206, 'Down': -5.761988, 'down': -7.85084}
{' Down': -0.09963163, ' down': -2.382581, 'Down': -6.2189093, 'down': -7.653062, ' DOWN': -10.506524}
{' down': -0.64571744, ' Down': -0.9239578, ' Up': -2.753664, ' up': -4.291376, 'Down': -7.313785}
{' Down': -0.58818305, ' down': -0.8133531, 'Down': -7.267674, 'down': -7.459099, ' DOWN': -11.244102}
{' down': -0.262994, ' Down': -1.4665424, 'down': -8.178859, 'Down': -8.668828, ' Up': -10.111607}
{' down': -0.63648355, ' Down': -0.75574255, 'Down': -7.3695116, 'down': -7.699273, ' Up': -9.827937}
{' Down': -0.087255776, ' down': -2.860699, ' Up': -3.7126315, 'Down': -6.6853733, 'down': -8.0059395}
{' Down': -0.06313967, ' down': -2.8112206, 'Down': -7.081481, 'down': -8.519541, ' DOWN': -11.323935}
{' Down': -0.16902801, ' down': -1.8725896, 'Down': -6.8183274, 'down': -7.4873123, ' Up': -9.618086}
{' Down': -0.047871035, ' down': -3.085026, 'Down': -7.1637573, 'down': -8.500082, ' DOWN': -10.817667}
{' Down': -0.10042141, ' down': -2.4023147, ' Up': -6.0486255, 'Down': -6.2960734, 'down': -7.40204}
{' Down': -0.106625006, ' down': -2.3084092, 'Down': -6.6761703, 'down': -7.8620567, ' DOWN': -9.965469}
{' Down': -0.26821598, ' down': -1.4591815, 'Down': -6.444342, 'down': -6.867369, ' "': -9.139545}
{' Down': -0.07995908, ' down': -2.5890875, 'Down': -6.6877146, 'down': -7.821471, ' DOWN': -9.615661}
{' Down': -0.6441422, ' down': -0.9934655, ' Up': -2.3523407, ' up': -4.793031, 'Down': -7.3295283}
{' Down': -0.35809505, ' down': -1.2035102, 'Down': -7.4011207, 'down': -8.462641, ' DOWN': -10.55478}
{' down': -0.23708513, ' Down': -1.5595261, 'down': -7.750589, 'Down': -7.9909015, ' DOWN': -10.611354}
{' Down': -0.52718663, ' down': -0.8951409, 'Down': -7.3491387, 'down': -7.8542037, ' Up': -9.340382}
{' Down': -0.15521275, ' down': -2.0079978, 'Down': -5.1787953, ' Up': -6.064858, 'down': -6.701256}
{' Down': -0.16531914, ' down': -1.9178617, 'Down': -5.445354, 'down': -6.8879805, ' DOWN': -9.191886}
{' Down': -0.3491406, ' down': -1.249186, 'Down': -5.212641, 'down': -6.094702, ' DOWN': -8.539946}
{' Down': -0.09787785, ' down': -2.431315, 'Down': -5.4498334, 'down': -7.120556, ' DOWN': -8.597349}
{' Down': -0.050587483, ' Up': -3.3901966, ' down': -4.209964, 'Down': -7.5708084, ' up': -8.9399805}
{' Down': -0.016122302, ' down': -4.1655536, 'Down': -7.8364444, 'down': -9.720212, ' DOWN': -11.257799}
{' Down': -0.06315859, ' down': -2.8050218, 'Down': -7.669821, 'down': -8.603401, ' DOWN': -10.591917}
{' Down': -0.033491824, ' down': -3.4331422, 'Down': -7.651028, 'down': -9.006453, ' DOWN': -10.491806}
{' Down': -0.66780937, ' Up': -0.9813717, ' down': -2.394656, ' up': -4.2805834, 'Down': -5.494008}
{' Down': -0.120323, ' down': -2.2357802, 'Down': -5.261375, 'down': -6.731197, ' DOWN': -10.12861}
{' down': -0.41065845, ' Down': -1.114369, 'down': -5.287953, 'Down': -5.674496, ' "': -9.3824625}
{' Down': -0.28126436, ' down': -1.4409, 'Down': -5.2556486, 'down': -5.809741, ' Up': -9.098983}
{' Up': -0.70500535, ' Down': -0.7326009, ' down': -3.9878001, ' up': -5.0729213, ' "': -8.314025}
{' Up': -0.4990151, ' Down': -0.97902423, ' down': -4.6873927, ' up': -4.8512697, 'Down': -9.675489}
{' Up': -0.22428904, ' Down': -1.6919214, ' up': -4.44952, ' down': -5.3113246, ' UP': -10.007353}
{' Down': -0.37666005, ' Up': -1.3473651, ' down': -3.0336843, ' up': -5.285773, ' "': -7.6841035}
{' Down': -0.07424367, ' down': -3.0266612, ' Up': -3.8487682, 'Down': -7.182291, 'down': -7.392519}
{' Up': -0.48058844, ' Down': -0.9897094, ' down': -5.0398993, ' up': -5.835576, 'Down': -8.320918}
{' Up': -0.35796514, ' Down': -1.3064781, ' down': -4.0988803, ' up': -4.360408, 'Down': -8.3375845}
{' Down': -0.19932497, ' down': -2.369022, ' Up': -2.487079, ' up': -6.276374, 'down': -7.099939}
{' Down': -0.05165462, ' down': -3.3473048, ' Up': -4.369949, 'Down': -6.4901347, 'down': -7.310645}
{' Up': -0.1715862, ' Down': -2.1191227, ' up': -3.8473597, ' down': -4.203389, 'Down': -8.172978}
{' Down': -0.53576994, ' Up': -0.9615606, ' down': -3.6659176, ' up': -5.324947, 'Down': -6.902564}
{' Down': -0.1206721, ' down': -2.6189973, ' Up': -3.2987726, 'Down': -6.465192, 'down': -6.944154}
{' Up': -0.21801384, ' Down': -1.9523085, ' up': -3.2894976, ' down': -4.1244392, ' "': -8.382261}
{' Up': -0.4149738, ' Down': -1.2528912, ' up': -3.4086795, ' down': -3.892484, ' "': -8.496089}
{' Up': -0.09000824, ' up': -3.1164706, ' Down': -3.2541316, ' down': -5.8841844, ' UP': -8.503311}
{' Down': -0.44066903, ' Up': -1.6871442, ' down': -1.8698511, ' up': -4.1436605, ' "': -7.26891}
{' Down': -0.062180474, ' down': -2.943465, ' Up': -5.8593755, 'Down': -5.8946505, 'down': -6.5555196}
{' Up': -0.3280916, ' Down': -1.4543942, ' down': -3.6412606, ' up': -4.095473, 'Down': -6.7765336}
{' Down': -0.69531095, ' Up': -0.74819416, ' down': -3.9166396, ' up': -5.289139, 'Down': -6.5407696}
{' Down': -0.07965658, ' down': -2.6536713, 'Down': -5.817779, 'down': -6.5516925, ' Up': -6.958804}
{' Up': -0.4528391, ' Down': -1.0315421, ' down': -5.514748, ' up': -5.788601, ' "': -8.089836}
{' Up': -0.16664852, ' Down': -1.9117008, ' up': -5.55371, ' down': -6.500104, ' UP': -8.959023}
{' Down': -0.6224384, ' Up': -0.7861672, ' down': -5.3777714, ' up': -5.876354, 'Down': -8.93536}
{' Down': -0.29970112, ' Up': -1.4173158, ' down': -4.2634616, ' up': -6.4600363, ' "': -7.527896}
{' Up': -0.5109443, ' Down': -1.027935, ' down': -3.791401, ' up': -4.1762657, 'Down': -6.02589}
{' Up': -0.17819919, ' Down': -1.9597639, ' up': -4.22528, ' down': -5.2432146, 'Up': -6.9023943}
{' Up': -0.0866966, ' Down': -3.1005363, ' up': -3.4104211, ' down': -5.7959094, 'Up': -6.756105}
{' Down': -0.18818265, ' down': -2.0079305, ' Up': -3.6927772, 'Down': -4.9555016, 'down': -5.7126155}
{' Down': -0.010242968, ' down': -4.6190705, 'Down': -8.716242, ' Up': -8.8952675, 'down': -10.897427}
{' Up': -0.0068928204, ' up': -5.0116725, ' UP': -8.864166, 'Up': -10.147647, ' Down': -10.98199}
{' Down': -0.0899425, ' down': -2.496614, ' Up': -5.7319574, 'Down': -8.547814, ' up': -9.056275}
{' Up': -0.016155133, ' up': -4.1475887, ' Down': -9.073513, ' UP': -9.506353, 'Up': -10.580471}
{' Down': -0.012655517, ' down': -4.495114, ' Up': -7.0442386, 'Down': -7.720318, 'down': -9.634191}
{' Up': -0.0048499475, ' up': -5.4029264, ' UP': -9.085948, 'Up': -9.099999, ' Down': -9.318312}
{' Down': -0.056554426, ' down': -2.9284625, ' Up': -7.137355, 'Down': -7.633456, 'down': -8.642277}
{' Up': -0.0117486, ' up': -4.4862685, ' Down': -8.579535, 'Up': -9.1512, ' UP': -9.191751}
{' Down': -0.0154733965, ' down': -4.257996, 'Down': -6.9861836, 'down': -8.906613, ' Up': -9.242297}
{' Up': -0.004417061, ' up': -5.5379977, 'Up': -8.607139, ' UP': -8.790358, ' Down': -9.37114}
{' Down': -0.035336707, ' down': -3.3925602, 'Down': -7.0545053, 'down': -8.571561, ' DOWN': -10.604072}
{' Up': -0.0038230987, ' up': -5.6674023, ' UP': -8.770506, 'Up': -8.817713, ' Down': -10.191391}
{' Down': -0.12168875, ' down': -2.1793363, ' Up': -7.0869365, 'Down': -7.8514457, 'down': -9.130061}
{' Up': -0.06969207, ' up': -2.7081864, ' UP': -7.6069484, 'Up': -9.275884, ' Down': -10.654958}
{' Down': -0.32852355, ' down': -1.2995642, ' Up': -5.1365833, ' up': -7.131721, 'Down': -7.8418574}
{' Up': -0.09690639, ' up': -2.3878589, ' UP': -8.184069, ' Down': -8.969853, 'Up': -9.558425}
{' Down': -0.019729637, ' down': -4.0875664, 'Down': -6.35273, ' Up': -7.264452, 'down': -8.52169}
{' Up': -0.008064537, ' up': -5.155609, ' Down': -6.5561657, 'Up': -7.9464507, ' UP': -7.983335}
{' Down': -0.028717443, ' down': -3.645268, 'Down': -6.460135, ' Up': -8.150614, 'down': -8.485622}
{' Up': -0.005648363, ' up': -5.4551606, ' Down': -7.4760113, ' UP': -7.703482, 'Up': -8.132685}
{' Down': -0.0035534655, ' down': -5.737764, 'Down': -8.299839, ' Up': -10.174351, 'down': -10.69913}
{' Up': -0.0015344599, ' up': -6.6510344, ' UP': -8.677558, 'Up': -9.90292, ' "': -11.411131}
{' Down': -0.011219585, ' down': -4.52307, 'Down': -8.414373, 'down': -9.993881, ' DOWN': -11.4231825}
{' Up': -0.0017594816, ' up': -6.438843, ' UP': -9.301409, 'Up': -10.025708, ' Down': -10.838251}
{' Down': -0.053915463, ' down': -3.143423, 'Down': -5.460596, ' Up': -5.503805, 'down': -7.1462665}
{' Up': -0.034540094, ' up': -3.503618, 'Up': -6.4306216, ' Down': -6.666181, ' UP': -7.3330054}
{' Down': -0.13766648, ' down': -2.1085126, 'Down': -5.2437363, 'down': -6.3756404, ' DOWN': -9.142904}
{' Up': -0.045578435, ' up': -3.1659265, 'Up': -6.647587, ' UP': -7.222414, ' Down': -8.706532}
{' Down': -0.014364429, ' down': -4.263357, 'Down': -8.78632, 'down': -10.813221, ' "': -11.801308}
{' Up': -0.0019448998, ' up': -6.3351474, ' UP': -8.860251, 'Up': -10.762805, ' Down': -12.133651}
{' Down': -0.012158064, ' down': -4.435267, 'Down': -8.640532, 'down': -10.916323, ' DOWN': -11.016151}
{' Up': -0.011454998, ' up': -4.554271, ' UP': -7.1633067, 'Up': -9.685147, ' "': -11.294525}
{' Down': -0.0473019, ' down': -3.094238, 'Down': -7.3143363, 'down': -8.540928, ' DOWN': -10.738435}
{' Up': -0.0040419316, ' up': -5.60231, ' UP': -8.509352, 'Up': -9.130259, ' Down': -10.627701}
{' Down': -0.035034366, ' down': -3.3937473, 'Down': -7.3559794, 'down': -8.957592, ' DOWN': -9.705578}
{' Up': -0.0100256605, ' up': -4.6918626, ' UP': -7.473833, 'Up': -8.582106, ' Down': -10.637056}
{' Down': -0.04733646, ' down': -3.1223657, 'Down': -6.491724, 'down': -7.60823, ' DOWN': -9.089173}
{' Up': -0.0048170676, ' up': -5.6454554, ' UP': -6.9234705, 'Up': -8.299439, 'up': -11.053857}
{' Down': -0.024131285, ' down': -3.817403, 'Down': -6.6216516, 'down': -8.06834, ' DOWN': -9.124247}
{' Up': -0.013437537, ' up': -4.465475, ' UP': -6.6387544, 'Up': -7.9716606, ' "': -9.489472}
{' Down': -0.10637869, ' down': -2.2983284, 'Down': -7.9743323, 'down': -9.2968445, ' DOWN': -10.599588}
{' Up': -0.031195167, ' up': -3.5034776, ' UP': -7.557104, 'Up': -9.566011, ' Down': -11.427659}
{' Down': -0.19572715, ' down': -1.7328022, 'Down': -7.4949327, 'down': -8.407679, ' DOWN': -9.357144}
{' Up': -0.21477804, ' up': -1.6577446, ' UP': -6.1175, 'Up': -8.511577, ' Down': -9.287118}
{' Down': -0.034637894, ' down': -3.4492304, 'Down': -6.3317184, 'down': -8.008816, ' DOWN': -8.890877}
{' Up': -0.004563391, ' up': -5.697184, ' UP': -7.1713953, 'Up': -7.8399663, 'up': -10.947408}
{' Down': -0.031193016, ' down': -3.5582697, 'Down': -6.4294953, ' DOWN': -8.012682, 'down': -8.278349}
{' Up': -0.046708226, ' up': -3.2079175, ' UP': -5.4867144, 'Up': -7.0655527, 'up': -9.259225}
{' Down': -0.005530764, ' down': -5.2813087, 'Down': -7.956166, 'down': -10.116504, ' "': -10.589658}
{' Up': -0.0011327843, ' up': -7.080459, ' UP': -8.374278, 'Up': -9.906783, ' Down': -12.375197}
{' Down': -0.0024436344, ' down': -6.1689143, 'Down': -8.305309, ' Up': -10.284299, 'down': -10.632637}
{' Up': -0.0043729995, ' up': -5.696883, ' UP': -7.09583, 'Up': -9.086753, ' "': -10.357192}
{' Down': -0.13034675, ' down': -2.2528672, 'Down': -4.308792, 'down': -5.6517625, ' DOWN': -9.199486}
{' Up': -0.030336058, ' up': -3.6528125, 'Up': -5.8784556, ' UP': -7.417148, ' Down': -8.136626}
{' Down': -0.09783821, ' down': -2.5534656, 'Down': -4.720734, ' Up': -5.676644, 'down': -6.042266}
{' Up': -0.1785646, ' up': -1.8883499, 'Up': -5.072819, ' Down': -6.1501336, ' UP': -6.2833867}
{' Down': -0.5050514, ' down': -1.3589216, ' Up': -2.0447757, ' up': -4.6562905, 'Down': -8.0460825}
{' Down': -0.10614642, ' down': -2.3022504, ' Up': -8.182711, 'Down': -8.294836, 'down': -9.136763}
{' Up': -0.14949642, ' up': -2.0108721, ' Down': -5.6551266, ' down': -6.6716137, ' UP': -9.452124}
{' Down': -0.2976575, ' down': -1.3585418, 'down': -8.5295315, 'Down': -8.626429, ' DOWN': -10.958152}
{' Down': -0.107754186, ' down': -2.3306315, ' Up': -5.7064986, 'Down': -6.918491, 'down': -7.6595}
{' Down': -0.057755083, ' down': -2.944264, ' Up': -6.1637344, 'Down': -6.9280357, 'down': -8.046602}
{' Up': -0.027776549, ' up': -3.801906, ' Down': -5.4542766, ' down': -7.9597106, 'Up': -8.338069}
{' Down': -0.07215689, ' down': -2.680288, 'Down': -7.3509426, 'down': -7.802633, ' DOWN': -11.211237}
{' Down': -0.08418842, ' down': -2.5542984, 'Down': -6.2629066, 'down': -6.978885, ' DOWN': -9.38875}
{' Down': -0.035221055, ' down': -3.566372, ' Up': -5.558475, 'Down': -6.3078704, 'down': -7.62408}
{' Up': -0.43171868, ' Down': -1.1463794, ' down': -3.8724136, ' up': -4.5902915, 'Down': -7.322572}
{' Down': -0.08109389, ' down': -2.5800962, 'Down': -6.7684503, 'down': -7.034847, ' DOWN': -10.016064}
{' Down': -0.36987168, ' down': -1.1790624, 'Down': -7.2529507, ' Up': -7.8210506, 'down': -7.829441}
{' Down': -0.3403418, ' down': -1.3809149, ' Up': -3.395714, ' up': -6.023912, 'Down': -7.358713}
{' Up': -0.21925426, ' up': -1.6695048, ' Down': -5.3498216, ' down': -5.697264, 'Up': -8.710878}
{' Down': -0.6089504, ' down': -0.78707767, 'down': -7.667052, 'Down': -7.854207, ' DOWN': -10.507425}
{' Down': -0.06848936, ' down': -2.7859783, 'Down': -5.7021756, 'down': -6.92021, ' DOWN': -8.898666}
{' Down': -0.016136112, ' down': -4.338621, 'Down': -6.0122905, 'down': -8.012019, ' DOWN': -9.131598}
{' Up': -0.5024637, ' Down': -0.9758256, ' down': -4.4179964, ' up': -5.517377, 'Down': -7.0271554}
{' Down': -0.07410399, ' down': -2.6911523, 'Down': -5.9858966, 'down': -6.875203, ' DOWN': -10.103805}
{' Down': -0.023207698, ' down': -3.8652697, ' Up': -6.5868707, 'Down': -7.697001, 'down': -9.093091}
{' Down': -0.01525344, ' down': -4.5546703, ' Up': -5.4891095, 'Down': -7.940415, 'down': -9.266117}
{' Up': -0.007463623, ' up': -5.289276, ' Down': -6.12162, 'Up': -9.463566, ' UP': -9.801839}
{' Down': -0.013521147, ' down': -4.333317, 'Down': -8.426878, 'down': -9.550953, ' "': -11.683506}
{' Down': -0.053366497, ' down': -3.0892494, 'Down': -5.1990056, 'down': -7.1266675, ' DOWN': -9.862018}
{' Down': -0.18611884, ' Up': -2.033367, ' down': -3.5116303, 'Down': -5.051544, ' up': -6.6312118}
{' Up': -0.029495422, ' up': -4.022032, ' Down': -4.8445888, 'Up': -6.1215267, ' down': -7.583408}
{' Down': -0.1387381, ' down': -2.101558, 'Down': -5.284934, 'down': -6.149377, ' DOWN': -10.22573}
{' Down': -0.10573338, ' down': -2.3114467, 'Down': -7.5513906, ' Up': -7.5715013, 'down': -8.919944}
{' Down': -0.068157114, ' down': -2.7495382, ' Up': -6.7466407, 'Down': -7.435201, 'down': -9.151464}
{' Down': -0.02905101, ' down': -3.635641, ' Up': -6.190008, 'Down': -8.715853, 'down': -10.735369}
{' Down': -0.07056285, ' down': -2.6894362, 'Down': -8.8058815, 'down': -10.210724, ' "': -11.57625}
{' Down': -0.013880992, ' down': -4.321801, 'Down': -7.7446985, 'down': -9.838071, ' Up': -11.15083}
{' Down': -0.012667291, ' down': -5.055243, ' Up': -5.171765, 'Down': -7.6532784, 'down': -10.158155}
{' Down': -0.010087073, ' down': -4.9912763, ' Up': -5.892527, 'Down': -7.7804956, 'down': -10.142625}
{' Down': -0.017059805, ' down': -4.1085687, 'Down': -7.8246684, 'down': -9.640314, ' DOWN': -11.817772}
{' Down': -0.013796927, ' down': -4.345298, 'Down': -7.3677163, 'down': -9.42234, ' DOWN': -11.251446}
{' Down': -0.017031189, ' down': -4.706253, ' Up': -5.0063233, 'Down': -6.903584, 'down': -9.309286}
{' Down': -0.00984416, ' down': -4.836952, ' Up': -6.827589, 'Down': -7.317547, 'down': -9.593267}
{' Down': -0.017953103, ' down': -4.069251, 'Down': -7.457282, 'down': -9.259645, ' DOWN': -11.306202}
{' Down': -0.2291703, ' down': -1.5882457, 'Down': -8.062035, 'down': -9.186117, ' Up': -9.385189}
{' Down': -0.14773048, ' down': -2.0307927, ' Up': -5.215451, 'Down': -7.9138246, ' up': -8.523752}
{' Down': -0.24298805, ' down': -1.7736276, ' Up': -3.1531804, ' up': -5.8636603, 'Down': -8.093587}
{' Down': -0.25257537, ' down': -1.501677, 'Down': -8.224915, 'down': -9.206123, ' Up': -9.952805}
{' Down': -0.017995583, ' down': -4.0713153, 'Down': -7.3102393, 'down': -9.39049, ' Up': -11.312746}
{' Down': -0.015903054, ' down': -4.806506, ' Up': -5.0299144, 'Down': -6.9741006, 'down': -9.424603}
{' Down': -0.020831255, ' down': -4.5449915, ' Up': -4.6981153, 'Down': -7.218574, 'down': -9.609305}
{' Down': -0.019773593, ' down': -3.9723854, 'Down': -7.3545375, 'down': -9.379816, ' DOWN': -11.458801}
{' Down': -0.009195175, ' down': -4.724642, 'Down': -8.453594, ' Up': -10.399278, 'down': -10.554161}
{' Down': -0.0065947026, ' down': -5.4532347, ' Up': -6.1955366, 'Down': -8.429971, 'down': -10.870036}
{' Down': -0.0048863655, ' down': -5.5474215, ' Up': -7.1706085, 'Down': -8.654713, 'down': -10.903725}
{' Down': -0.012734176, ' down': -4.3884664, 'Down': -8.598799, 'down': -10.299974, ' DOWN': -12.112121}
{' Down': -0.08600228, ' down': -2.5627325, 'Down': -5.7867565, ' Up': -6.3775826, 'down': -7.690777}
{' Down': -0.095054574, ' Up': -2.970903, ' down': -3.3539064, 'Down': -5.770635, ' up': -6.9754925}
{' Down': -0.1164928, ' down': -2.5847986, ' Up': -3.5081685, 'Down': -5.804368, ' up': -6.99151}
{' Down': -0.17440197, ' down': -1.8673646, 'Down': -5.812128, ' Up': -6.4344273, 'down': -7.1693935}
{' Down': -0.68490887, ' down': -0.9864397, ' Up': -2.2487612, ' up': -4.135539, 'Down': -7.157668}
{' Down': -0.4527858, ' down': -1.0135807, 'Down': -7.2395744, 'down': -7.630858, ' DOWN': -10.886829}
{' down': -0.6431687, ' Down': -0.747205, 'Down': -8.151222, 'down': -8.227548, ' Up': -9.344608}
{' Down': -0.31373152, ' down': -1.3139967, 'Down': -8.061122, 'down': -8.776046, ' Up': -9.940259}
{' Down': -0.091034375, ' down': -2.753161, ' Up': -3.8530676, 'Down': -6.6066647, 'down': -7.922331}
{' Down': -0.0876999, ' down': -2.4887276, 'Down': -7.2371993, 'down': -8.46412, ' DOWN': -11.153711}
{' Down': -0.14257938, ' down': -2.0298092, 'Down': -6.9411745, 'down': -7.7418127, ' Up': -9.689269}
{' Down': -0.04848459, ' down': -3.0683458, 'Down': -7.3808417, 'down': -8.722581, ' DOWN': -10.567647}
{' Down': -0.10706614, ' down': -2.3697977, ' Up': -5.332507, 'Down': -6.104211, 'down': -7.2563877}
{' Down': -0.10049001, ' down': -2.3625157, 'Down': -6.8723016, 'down': -8.053833, ' DOWN': -10.0179205}
{' Down': -0.27413917, ' down': -1.4391019, 'Down': -6.52119, 'down': -6.955309, ' "': -9.204555}
{' Down': -0.091900766, ' down': -2.4563246, 'Down': -6.548503, 'down': -7.65717, ' DOWN': -9.274785}
{' Down': -0.7349445, ' down': -1.1857808, ' Up': -1.6319704, ' up': -3.9914064, 'Down': -7.5624137}
{' Down': -0.38773155, ' down': -1.1373711, 'Down': -7.6104383, 'down': -8.441782, ' DOWN': -10.515095}
{' down': -0.25591785, ' Down': -1.4919695, 'down': -7.7372866, 'Down': -8.026191, ' Up': -10.109109}
{' Down': -0.58126336, ' down': -0.8227719, 'Down': -7.5115595, ' Up': -7.6123085, 'down': -7.879711}
{' Down': -0.17998618, ' down': -1.95642, ' Up': -4.1066923, 'Down': -5.297099, 'down': -6.6933527}
{' Down': -0.2313914, ' down': -1.5989127, 'Down': -5.7263083, 'down': -6.831338, ' DOWN': -9.2201185}
{' Down': -0.39615718, ' down': -1.1378182, 'Down': -5.436892, 'down': -6.215153, ' DOWN': -8.6713505}
{' Down': -0.10713409, ' down': -2.3327198, 'Down': -5.6319213, 'down': -7.2220035, ' DOWN': -8.410227}
{' Down': -0.07397228, ' Up': -2.834964, ' down': -4.4411807, 'Down': -7.6193633, ' up': -8.564294}
{' Down': -0.011284567, ' down': -4.525563, 'Down': -7.9922624, 'down': -10.115948, ' DOWN': -11.345859}
{' Down': -0.051594496, ' down': -3.0028214, 'Down': -7.716652, 'down': -8.832033, ' DOWN': -10.61936}
{' Down': -0.026388101, ' down': -3.6715255, 'Down': -7.742897, 'down': -9.220495, ' Up': -10.223734}
{' Down': -0.22483848, ' down': -2.1401904, ' Up': -2.658724, 'Down': -4.769823, 'down': -5.929907}
{' Down': -0.18346319, ' down': -1.8332644, 'Down': -5.1448298, 'down': -6.322467, ' DOWN': -9.615694}
{' down': -0.330008, ' Down': -1.3069386, 'down': -5.001852, 'Down': -5.641117, ' DOWN': -9.711201}
{' Down': -0.48798254, ' down': -0.98387796, 'Down': -5.046874, 'down': -5.2085595, ' Up': -8.673581}
{' Down': -0.013969115, ' down': -4.294246, 'Down': -8.832507, ' Up': -9.89415, 'down': -10.925984}
{' Up': -0.00834428, ' up': -4.8163233, ' UP': -8.746001, 'Up': -10.265296, ' Down': -11.354976}
{' Down': -0.08853331, ' down': -2.4717064, 'Down': -8.719748, ' Up': -9.848549, 'down': -9.88685}
{' Up': -0.017497528, ' up': -4.06618, ' Down': -9.221499, ' UP': -9.546111, 'Up': -10.632733}
{' Down': -0.014995538, ' down': -4.537996, ' Up': -5.6142445, 'Down': -7.7750373, 'down': -9.630381}
{' Up': -0.0050930902, ' up': -5.3487473, ' UP': -9.097555, 'Up': -9.166729, ' Down': -9.329788}
{' Down': -0.054973032, ' down': -3.007047, ' Up': -5.725407, 'Down': -7.603886, 'down': -8.712573}
{' Up': -0.010948794, ' up': -4.5843377, ' Down': -7.7534885, ' UP': -9.035327, 'Up': -9.193281}
{' Down': -0.016335966, ' down': -4.24505, 'Down': -6.8595, ' Up': -7.404353, 'down': -8.838477}
{' Up': -0.0041694734, ' up': -5.6131916, ' Down': -8.501207, 'Up': -8.854031, ' UP': -9.055374}
{' Down': -0.033959303, ' down': -3.4327931, 'Down': -7.052199, 'down': -8.641911, ' DOWN': -10.445539}
{' Up': -0.0036646738, ' up': -5.7210865, 'Up': -8.745289, ' UP': -8.762835, ' Down': -9.940283}
{' Down': -0.10753481, ' down': -2.3147378, ' Up': -5.999686, 'Down': -7.980303, ' up': -8.543373}
{' Up': -0.06683045, ' up': -2.7480114, ' UP': -7.9225564, 'Up': -9.281912, ' Down': -9.512267}
{' Down': -0.33696023, ' down': -1.4676803, ' Up': -3.0283835, ' up': -5.0341625, 'Down': -7.9444065}
