{' Yes': -0.018133413, ' Generally': -4.688938, 'Yes': -5.2438526, ' No': -6.216215, ' A': -7.3354335}
{' Yes': -0.13490605, ' No': -2.2616587, 'Yes': -4.2278852, 'No': -5.5174947, ' Sn': -6.285912}
{' Yes': -0.30503693, ' No': -1.4056609, 'Yes': -4.6658897, 'No': -5.0057144, ' yes': -7.5070114}
{' No': -0.39077199, 'No': -1.140545, '\n': -6.7153087, ' Sn': -6.943984, ' ': -7.118948}
{' No': -0.34978697, 'No': -1.2302362, ' ': -6.845957, '\n': -7.0463037, ' A': -8.432472}
{' No': -0.48361042, 'No': -1.0298426, ' Sn': -4.4044437, ' Yes': -4.9953713, 'Yes': -6.259064}
{' No': -0.56407875, 'No': -0.8509001, ' ': -7.2412324, '\n': -7.2865515, ' Yes': -7.4580946}
{' No': -0.08251688, 'No': -2.95934, ' Yes': -4.024276, ' Sn': -5.1187487, ' ': -6.8951387}
{' No': -0.11035088, 'No': -2.7274258, ' Yes': -3.514144, ' A': -6.2490726, ' ': -6.439994}
{' Yes': -0.7021548, ' No': -1.0575264, 'No': -2.7255979, ' Sn': -3.0402935, 'Yes': -3.3563354}
{' Yes': -0.48420146, ' No': -1.2705384, 'No': -3.0031683, 'Yes': -3.1315954, ' yes': -5.9815207}
{' Yes': -0.02592812, ' yes': -4.151248, 'Yes': -5.5724235, ' No': -5.951251, ' ': -5.999141}
{' Yes': -0.020654475, ' yes': -4.281465, 'Yes': -5.466102, ' ': -6.4215503, '\n': -8.329234}
{' Yes': -0.02831893, ' yes': -4.297688, ' No': -4.9562707, 'Yes': -5.3718514, ' ': -6.477335}
{' Yes': -0.025559949, ' yes': -4.004134, 'Yes': -5.553344, ' No': -6.6567106, ' ': -6.7425814}
{' Yes': -0.3881502, ' No': -1.3503389, 'Yes': -3.9991922, 'No': -4.0212793, ' ': -4.772193}
{' Yes': -0.04090896, 'Yes': -3.9080868, ' yes': -4.5965137, ' No': -5.7577515, ' ': -5.762594}
{' Yes': -0.102186754, ' No': -3.094546, 'Yes': -3.51866, '\n': -4.9640107, ' yes': -5.06132}
{' Yes': -0.042804684, 'Yes': -3.625177, ' yes': -4.887239, ' No': -5.9904795, '\n': -6.0527263}
{' No': -0.51990515, ' Yes': -1.9199468, '\n': -2.100792, 'No': -2.4012125, ' ': -3.8234673}
{' Yes': -0.31243113, '\n': -2.4112928, ' No': -2.6211507, 'Yes': -2.8407629, ' ': -3.9247413}
{' No': -0.42309663, '\n': -2.0968065, ' Yes': -2.1543722, 'No': -2.6357164, ' ': -3.954106}
{' No': -0.5735406, ' Yes': -1.7169714, '\n': -1.918971, 'No': -2.6611853, ' ': -4.0002375}
{' Yes': -0.030910559, ' No': -4.117731, 'Yes': -4.676395, ' yes': -6.1968913, ' ': -6.522306}
{' Yes': -0.025444875, ' No': -4.3235517, 'Yes': -4.9773316, ' yes': -5.798615, ' ': -6.8035684}
{' Yes': -0.068723515, ' No': -2.9118936, 'Yes': -4.887117, ' yes': -6.406297, ' ': -6.8603187}
{' Yes': -0.028168838, ' No': -4.021426, 'Yes': -4.886258, ' yes': -6.705188, ' ': -7.620812}
{' No': -0.315427, 'No': -1.5332919, '\n': -3.2932408, ' ': -4.6998796, ' no': -5.3580875}
{' No': -0.23598057, 'No': -1.781303, '\n': -3.714638, ' ': -4.7444596, ' no': -5.7379503}
{' No': -0.26545426, 'No': -1.7640162, '\n': -3.188362, ' ': -4.5372534, ' no': -5.2592998}
{' No': -0.24726167, 'No': -1.7661843, '\n': -3.543091, ' ': -4.6383433, ' no': -5.2170987}
{' Yes': -0.19668782, ' yes': -2.0842285, 'Yes': -3.9736423, ' No': -3.9903762, '\n': -5.3284717}
{' Yes': -0.15269168, ' yes': -2.178353, 'Yes': -4.206179, ' No': -5.5200515, ' ': -5.815229}
{' Yes': -0.19079497, ' yes': -2.0593214, 'Yes': -3.5757585, '\n': -5.337224, 'yes': -5.5399837}
{' Yes': -0.22319582, ' yes': -1.7859894, 'Yes': -3.928327, 'yes': -5.5309615, '\n': -5.550485}
{' Yes': -0.015567167, ' No': -4.908027, 'Yes': -5.8377957, '\n': -5.939456, ' ': -6.5182333}
{' Yes': -0.005299201, 'Yes': -5.827969, ' yes': -7.1398473, ' ': -7.641125, '\n': -7.7656903}
{' Yes': -0.436867, ' No': -1.1428282, '\n': -3.7665942, ' ': -5.0810966, 'Yes': -6.041292}
{' Yes': -0.06421265, ' No': -2.9579139, 'Yes': -5.5943174, '\n': -5.6037498, ' ': -6.4702487}
{' No': -0.24637909, ' Yes': -2.129487, '\n': -3.0949488, 'No': -3.3072865, ' ': -4.4759264}
{' Yes': -0.14693443, ' No': -2.5798395, '\n': -3.567907, 'Yes': -4.297348, ' ': -4.5486903}
{' No': -0.15650894, '\n': -2.7470717, ' Yes': -3.187383, 'No': -3.6582599, ' ': -4.640649}
{' No': -0.76102555, ' Yes': -0.83692276, '\n': -2.7393274, 'No': -4.176341, ' ': -4.51344}
{' No': -0.198524, ' Yes': -2.365829, 'No': -3.2759373, '\n': -3.577781, ' ': -4.6430373}
{' Yes': -0.43692416, ' No': -1.3275568, '\n': -3.3693945, ' A': -4.1809063, 'Yes': -4.2853603}
{' No': -0.0767995, '\n': -3.4786453, 'No': -3.6585999, ' ': -4.7523594, ' Yes': -5.2071056}
{' No': -0.1099914, ' Yes': -2.981533, 'No': -3.7446482, '\n': -3.8574715, ' ': -4.998337}
{' No': -0.44229805, ' Yes': -1.1597893, ' ': -4.251569, '\n': -4.351844, 'No': -4.867406}
{' Yes': -0.21746683, ' No': -1.8139861, ' ': -4.475533, '\n': -4.7134438, ' A': -5.2780075}
{' No': -0.07084349, ' Yes': -3.3406053, 'No': -4.1759057, '\n': -4.6378617, ' ': -5.074776}
{' No': -0.51044846, ' Yes': -1.0061054, '\n': -4.4023113, 'No': -4.558681, ' ': -4.853958}
{' No': -0.051284622, 'No': -3.2518706, ' ': -5.1302085, '\n': -5.3666286, ' A': -8.020214}
{' No': -0.041115258, 'No': -3.4838698, ' ': -5.2274575, '\n': -5.71234, ' A': -7.83614}
{' No': -0.047761116, 'No': -3.4025602, ' ': -5.044282, '\n': -5.0811205, ' NO': -8.603952}
{' No': -0.030356519, 'No': -3.8263102, ' ': -5.44357, '\n': -5.7222295, ' Yes': -8.086168}
{' Yes': -0.08502969, ' No': -3.4446638, '\n': -4.31562, 'Yes': -4.3162837, ' ': -4.477908}
{' Yes': -0.0358475, 'Yes': -4.8285413, ' yes': -4.8830523, ' No': -5.0629716, '\n': -5.189919}
{' Yes': -0.26075834, ' No': -1.723691, '\n': -4.2316422, ' ': -4.453002, 'Yes': -4.560591}
{' Yes': -0.036781874, 'Yes': -4.427607, ' No': -4.621247, ' yes': -4.819882, ' ': -5.819824}
{' No': -0.016322514, 'No': -4.1478376, ' ': -9.306448, ' Absolutely': -9.454244, ' Definitely': -9.549292}
{' No': -0.019194202, 'No': -3.980126, ' ': -9.346977, ' Definitely': -9.709074, ' Absolutely': -10.219797}
{' No': -0.016647909, 'No': -4.127756, ' ': -9.172421, ' Absolutely': -9.255087, '\n': -9.763772}
{' No': -0.027713923, 'No': -3.6278152, ' Absolutely': -8.516932, '\n': -8.817799, ' Definitely': -8.859917}
{' No': -0.041201092, 'No': -3.2200606, ' ': -8.208851, '\n': -10.119209, ' A': -10.841293}
{' No': -0.035245817, 'No': -3.3772314, ' ': -8.020151, ' A': -10.299435, '\n': -10.3276615}
{' No': -0.05516852, 'No': -2.9349751, ' ': -8.051449, '\n': -9.600985, ' Sn': -10.037322}
{' No': -0.07073467, 'No': -2.6923547, ' ': -7.8658867, '\n': -9.616016, ' Absolutely': -10.402647}
{' No': -0.06611991, 'No': -2.8053339, '\n': -6.038671, ' ': -6.987521, ' A': -10.042497}
{' No': -0.05193899, 'No': -3.0353603, '\n': -6.6894126, ' ': -6.863826, ' A': -9.314283}
{' No': -0.06683465, 'No': -2.7857144, '\n': -6.3938932, ' ': -6.932194, ' Sn': -8.634775}
{' No': -0.063691296, 'No': -2.8276608, ' ': -6.669928, '\n': -6.868163, ' S': -9.972619}
{' No': -0.01999187, 'No': -3.9344625, ' ': -9.257714, ' A': -10.026973, ' Absolutely': -10.472858}
{' No': -0.016203595, 'No': -4.1443696, ' ': -9.209127, ' A': -9.913521, ' Generally': -11.274698}
{' No': -0.023943422, 'No': -3.7566435, ' ': -9.151449, ' Sn': -9.290647, ' Absolutely': -10.373177}
{' No': -0.029985975, 'No': -3.5293047, ' ': -9.146909, ' Absolutely': -10.687906, ' Sn': -10.804186}
{' No': -0.09468586, 'No': -2.4557354, '\n': -5.969825, ' ': -6.543398, ' A': -8.977711}
{' No': -0.10287833, 'No': -2.3549726, ' ': -6.5245924, '\n': -6.9580364, ' A': -9.046852}
{' No': -0.120807745, 'No': -2.2825394, '\n': -5.2343636, ' ': -5.8597927, ' Sn': -6.042668}
{' No': -0.121828586, 'No': -2.20332, ' ': -6.278323, '\n': -6.416763, ' S': -9.032567}
{' No': -0.0394266, 'No': -3.2985914, ' ': -7.624164, ' Absolutely': -8.479934, '\n': -8.52389}
{' No': -0.037963554, 'No': -3.335622, ' ': -7.5758305, ' A': -8.351492, ' Generally': -8.381878}
{' No': -0.0755118, 'No': -2.6826456, ' Sn': -6.720012, ' ': -6.96328, ' Absolutely': -7.106534}
{' No': -0.083366975, 'No': -2.5626702, ' ': -7.0502343, ' Absolutely': -7.5636034, ' Definitely': -8.299858}
{' No': -0.0067871986, 'No': -5.2580423, ' ': -6.9091573, '\n': -7.764107, ' A': -9.829376}
{' No': -0.006239691, 'No': -5.248669, ' ': -7.397883, '\n': -8.529726, ' A': -9.431218}
{' No': -0.0060908976, 'No': -5.4911485, ' ': -6.897485, '\n': -7.0878987, ' NO': -10.170882}
{' No': -0.006409803, 'No': -5.2715044, ' ': -7.246575, '\n': -7.6565366, ' no': -10.895424}
{' No': -0.060437504, 'No': -2.977342, '\n': -5.3900385, ' ': -5.9545527, ' A': -8.522653}
{' No': -0.048250616, 'No': -3.1415887, '\n': -6.393757, ' ': -6.3948936, ' A': -8.237842}
{' No': -0.03003247, 'No': -3.6081002, ' ': -6.6241064, '\n': -6.9498625, ' NO': -9.710275}
{' No': -0.037731785, 'No': -3.33948, ' ': -6.917671, '\n': -7.8008156, ' Of': -10.272422}
{' No': -0.14090858, 'No': -2.5839343, '\n': -3.0447247, ' ': -4.9726653, ' A': -7.305576}
{' No': -0.10868054, 'No': -2.7152708, '\n': -3.5090444, ' ': -5.1940513, ' A': -7.2620726}
{' No': -0.19729199, '\n': -2.3118036, 'No': -2.684259, ' ': -4.541898, ' NO': -8.26501}
{' No': -0.17736888, 'No': -2.5170372, '\n': -2.6449, ' ': -4.6048303, ' NO': -8.877669}
{' No': -0.008809835, 'No': -4.817661, ' ': -7.496387, '\n': -9.616438, ' no': -10.727008}
{' No': -0.006091138, 'No': -5.1935277, ' ': -7.7526917, ' A': -10.367042, ' no': -10.773288}
{' No': -0.007255388, 'No': -4.9866805, ' ': -8.14117, '\n': -9.615394, ' NO': -11.242804}
{' No': -0.006453353, 'No': -5.081502, ' ': -8.607041, '\n': -10.941198, ' no': -11.754829}
{' No': -0.24075617, 'No': -1.692258, '\n': -4.029351, ' ': -4.7946987, ' NO': -6.785824}
{' No': -0.17854856, 'No': -1.9277035, '\n': -4.5955386, ' ': -5.1286273, ' A': -7.414326}
{' No': -0.22665292, 'No': -1.766793, '\n': -3.930724, ' ': -4.69637, ' NO': -6.5934668}
{' No': -0.15563281, 'No': -2.041415, '\n': -4.8812165, ' ': -5.1938524, ' no': -7.917666}
{' No': -0.04415933, 'No': -3.2996793, ' ': -5.759842, '\n': -6.8437333, ' no': -7.212749}
{' No': -0.034538306, 'No': -3.5344255, ' ': -6.3391, ' A': -7.0847926, ' no': -7.1467404}
{' No': -0.050021227, 'No': -3.2013578, ' ': -5.664912, '\n': -6.4432454, ' NO': -7.084264}
{' No': -0.045148015, 'No': -3.244748, ' ': -6.112766, '\n': -7.172902, ' no': -7.247452}
{' No': -0.123527125, 'No': -2.1865916, ' no': -6.9501553, ' ': -6.999892, ' NO': -7.6441183}
{' No': -0.10078136, 'No': -2.3826246, ' ': -6.937733, ' no': -7.039017, ' A': -7.2342086}
{' No': -0.14134465, 'No': -2.1053262, ' no': -6.029564, ' NO': -6.179661, ' ': -6.3251057}
{' No': -0.13067016, 'No': -2.145372, ' no': -6.4132547, ' ': -6.558101, '\n': -7.0449705}
{' No': -0.0861593, 'No': -2.503441, ' ': -7.9164276, ' no': -8.83684, ' NO': -9.402123}
{' No': -0.10365277, 'No': -2.3261697, ' ': -7.934596, ' no': -8.49437, 'no': -9.422495}
{' No': -0.1382222, 'No': -2.05156, ' ': -8.255236, ' Sn': -9.248085, ' NO': -9.389772}
{' No': -0.1609235, 'No': -1.9084517, ' ': -8.523504, ' NO': -10.473206, 'no': -10.549569}
{' No': -0.1291839, 'No': -2.1207533, ' ': -7.307685, '\n': -8.115314, ' NO': -9.749605}
{' No': -0.105336815, 'No': -2.3112428, ' ': -7.486706, '\n': -9.330565, ' NO': -10.215144}
{' No': -0.17092176, 'No': -1.8609623, ' ': -7.4244843, '\n': -7.865387, ' Sn': -8.304985}
{' No': -0.16502152, 'No': -1.891584, ' ': -7.3089495, '\n': -8.276319, ' NO': -9.65762}
{' No': -0.02052366, 'No': -3.9132788, ' ': -8.660469, ' NO': -9.819754, ' no': -9.951723}
{' No': -0.019214436, 'No': -3.984056, ' ': -8.472243, ' no': -9.521508, ' NO': -9.759275}
{' No': -0.035096902, 'No': -3.389215, ' ': -7.9834986, ' Sn': -8.731408, ' NO': -9.325408}
{' No': -0.028925838, 'No': -3.5708241, ' ': -8.468598, ' no': -10.087778, ' NO': -10.644065}
{' No': -0.38852146, 'No': -1.1437972, '\n': -6.606614, ' ': -7.0291433, ' Sn': -7.706652}
{' No': -0.43313175, 'No': -1.0547615, '\n': -6.4805503, ' ': -6.9158077, ' A': -8.956949}
{' No': -0.48942807, 'No': -0.96361387, ' Sn': -6.3338714, '\n': -6.3510213, ' ': -6.918615}
{' No': -0.596631, 'No': -0.8035745, '\n': -7.5349736, ' ': -7.5877647, ' S': -9.146547}
{' No': -0.05678163, 'No': -2.9612288, ' Sn': -6.693619, '\n': -7.2128997, ' ': -7.245343}
{' No': -0.08306621, 'No': -2.5639393, '\n': -7.2307634, ' ': -7.327645, ' no': -7.518218}
{' No': -0.14073648, 'No': -2.066165, ' Sn': -5.978588, '\n': -7.3476114, ' ': -7.4741797}
{' No': -0.16948937, 'No': -1.8673633, '\n': -7.9797993, ' ': -8.036599, ' no': -8.774377}
{' No': -0.010505795, 'No': -5.141918, ' ': -5.96457, ' no': -6.510652, '\n': -8.015472}
{' No': -0.00999261, 'No': -5.088068, ' ': -6.093633, ' no': -6.8413105, '\n': -8.447156}
{' No': -0.008755718, 'No': -5.267928, ' ': -6.282986, ' no': -6.829698, '\n': -7.8128653}
{' No': -0.009127502, 'No': -5.0938325, ' ': -6.4655857, ' no': -6.8668594, '\n': -8.306731}
{' No': -0.08615988, 'No': -2.597249, '\n': -5.7339096, ' ': -5.822296, ' no': -6.7312036}
{' No': -0.06739814, 'No': -2.818525, ' ': -6.0633583, '\n': -6.4394727, ' no': -6.886668}
{' No': -0.068485975, 'No': -2.8399758, '\n': -5.445355, ' ': -5.935917, ' no': -7.6753874}
{' No': -0.068424895, 'No': -2.7949758, '\n': -6.0734105, ' ': -6.190628, ' no': -7.709547}
{' No': -0.19827431, 'No': -1.9510647, '\n': -3.5400367, ' ': -5.207228, ' no': -6.357903}
{' No': -0.1722249, 'No': -2.05638, '\n': -3.80721, ' ': -5.1935434, ' no': -6.6866198}
{' No': -0.20531487, 'No': -2.1560671, '\n': -2.8280795, ' ': -4.8360167, ' no': -6.68836}
{' No': -0.16896011, 'No': -2.1990714, '\n': -3.3103728, ' ': -5.040204, ' no': -7.048519}
{' No': -0.022018103, 'No': -3.9153323, ' ': -6.8272104, ' no': -7.93988, '\n': -8.249951}
{' No': -0.016506106, 'No': -4.200023, ' ': -7.1075454, ' no': -8.079354, '\n': -9.012267}
{' No': -0.016920306, 'No': -4.171501, ' ': -7.271059, '\n': -8.134668, ' no': -8.250325}
{' No': -0.01919639, 'No': -4.0073614, ' ': -7.649302, ' no': -8.663164, '\n': -8.931472}
{' No': -0.30700433, 'No': -1.5120596, '\n': -3.5997965, ' ': -4.8665905, ' no': -5.324246}
{' No': -0.30636477, 'No': -1.5398222, '\n': -3.3838718, ' ': -4.8859134, ' no': -5.3440113}
{' No': -0.31158435, 'No': -1.5351732, '\n': -3.345106, ' ': -4.7916636, ' no': -5.558578}
{' No': -0.24361905, 'No': -1.7055923, '\n': -3.9708529, ' ': -4.9999804, ' no': -5.1392574}
{' No': -0.08197949, 'No': -3.068281, ' no': -3.828739, ' ': -5.521069, '\n': -5.723348}
{' No': -0.05960578, 'No': -3.380433, ' no': -4.116746, ' ': -5.6998734, '\n': -6.169442}
{' No': -0.095681936, 'No': -2.7854555, ' no': -4.355286, '\n': -4.7658668, ' ': -5.2816215}
{' No': -0.09115379, 'No': -2.867454, ' no': -3.9281764, '\n': -5.499459, ' ': -5.591375}
{' No': -0.012038848, 'No': -4.844381, '\n': -5.969667, ' ': -6.717897, ' A': -9.030631}
{' No': -0.009637892, 'No': -4.983265, '\n': -6.6833167, ' ': -6.8138256, ' A': -8.593151}
{' No': -0.015242247, 'No': -4.9657197, '\n': -5.0814023, ' ': -6.3402224, ' NO': -9.564673}
{' No': -0.014727054, 'No': -4.6627316, '\n': -5.6986675, ' ': -6.404436, ' no': -9.752109}
{' No': -0.07947141, 'No': -3.0436227, '\n': -3.8110058, ' ': -5.1474533, ' A': -8.316891}
{' No': -0.054097403, 'No': -3.3851862, '\n': -4.371457, ' ': -5.2778635, ' A': -7.867283}
{' No': -0.054651048, 'No': -3.5868583, '\n': -3.881761, ' ': -5.396852, ' Sn': -9.396699}
{' No': -0.06967296, 'No': -3.3403885, '\n': -3.623895, ' ': -5.3356795, ' Of': -9.412729}
{' No': -0.06904911, 'No': -3.0851603, '\n': -4.165946, ' ': -5.4300947, ' A': -7.5077267}
{' No': -0.050809592, 'No': -3.38339, '\n': -4.5558066, ' ': -5.512679, ' A': -7.4757423}
{' No': -0.060529508, 'No': -3.4482992, '\n': -3.8481727, ' ': -5.3213744, ' Sn': -8.187267}
{' No': -0.04513461, 'No': -3.6867971, '\n': -4.2372427, ' ': -5.4509954, ' NO': -9.2487335}
{' No': -0.019387254, 'No': -4.231427, ' ': -5.9441285, '\n': -6.3936315, ' A': -8.409734}
{' No': -0.017486729, 'No': -4.3406906, ' ': -5.904625, '\n': -6.8220496, ' A': -8.275263}
{' No': -0.019002462, 'No': -4.2023005, ' ': -6.281177, '\n': -6.317075, ' NO': -9.743824}
{' No': -0.02088122, 'No': -4.0913177, ' ': -6.1532474, '\n': -6.3827677, ' NO': -10.278067}
{' No': -0.04355188, 'No': -3.4532654, ' ': -5.1711535, '\n': -5.389451, ' A': -7.940768}
{' No': -0.02835486, 'No': -3.820513, ' ': -5.685999, '\n': -6.203426, ' A': -8.062588}
{' No': -0.037905052, 'No': -3.5458908, ' ': -5.267277, '\n': -5.9446716, ' NO': -8.313911}
{' No': -0.029259536, 'No': -3.8393219, ' ': -5.44687, '\n': -5.939261, ' no': -9.157725}
{' No': -0.047324833, 'No': -3.4357696, '\n': -5.059612, ' ': -5.2179313, ' A': -7.2267528}
{' No': -0.03809234, 'No': -3.7453182, ' ': -5.272014, '\n': -5.2861304, ' A': -6.6355996}
{' No': -0.05178129, 'No': -3.339144, '\n': -4.876845, ' ': -5.1816573, ' no': -7.574199}
{' No': -0.04123358, 'No': -3.3933682, ' ': -5.8287416, '\n': -6.0166407, ' no': -7.4606156}
{' Yes': -0.0062735802, 'Yes': -5.38813, ' No': -7.33403, ' Generally': -7.597576, ' Absolutely': -8.711771}
{' Yes': -0.009453212, 'Yes': -4.9866204, ' Generally': -6.0969276, ' yes': -8.982096, ' No': -9.803164}
{' Yes': -0.00923981, 'Yes': -5.3058553, ' No': -6.127329, ' Generally': -7.0431843, ' Tigers': -7.3698754}
{' No': -0.66212565, ' Yes': -0.8295337, 'No': -3.9477265, ' Tigers': -4.0768843, ' Generally': -5.1663713}
{' Yes': -0.027584448, 'Yes': -3.999777, ' No': -5.1147714, ' Generally': -6.6554546, 'No': -7.738532}
{' Yes': -0.047099385, 'Yes': -3.7680237, ' No': -4.42986, ' Generally': -4.918071, 'No': -6.7487917}
{' Yes': -0.036892753, ' No': -4.1084123, 'Yes': -4.1504445, ' Tigers': -6.7000923, 'No': -6.8921723}
{' Yes': -0.37751788, ' No': -1.340069, 'No': -3.7793233, 'Yes': -4.1290035, ' Tigers': -5.181872}
{' Yes': -0.11334297, ' No': -2.5258548, 'Yes': -4.045365, 'No': -5.460379, ' ': -6.368586}
{' Yes': -0.048541274, ' No': -3.8797352, 'Yes': -3.8866913, 'No': -6.557225, ' ': -6.6018534}
{' Yes': -0.06582162, ' No': -3.456984, 'Yes': -3.7140014, 'No': -6.0417967, '\n': -6.416304}
{' No': -0.2733211, ' Yes': -1.8692816, 'No': -2.6801033, 'Yes': -5.250145, ' Tigers': -5.786709}
{' Yes': -0.012105632, 'Yes': -5.235727, ' No': -5.334039, ' Generally': -7.043781, ' A': -7.9638762}
{' Yes': -0.006934954, 'Yes': -5.4605384, ' Generally': -6.423891, ' No': -7.9183116, ' A': -8.016918}
{' Yes': -0.044671845, ' No': -3.7043588, ' Tigers': -4.5693417, 'Yes': -5.0596004, ' Generally': -6.9300056}
{' Yes': -0.06644142, ' No': -3.3331878, ' Tigers': -4.2004976, 'Yes': -4.7306886, ' Generally': -6.181576}
{' Yes': -0.6413477, ' No': -0.93459296, 'No': -3.1604116, 'Yes': -4.0357738, ' Generally': -5.077625}
{' Yes': -0.65778464, ' No': -0.98617095, 'No': -2.849357, 'Yes': -3.7732651, ' Generally': -4.550565}
{' No': -0.57973087, ' Yes': -1.0963078, 'No': -2.7859457, 'Yes': -4.292775, ' Tigers': -4.7733736}
{' No': -0.20612124, 'No': -2.034498, ' Yes': -3.389837, ' ': -5.356908, '\n': -5.449381}
{' Yes': -0.5823466, ' No': -0.95311993, ' Generally': -3.9740894, 'No': -4.035477, 'Yes': -4.847422}
{' Yes': -0.06396004, ' No': -3.7964733, 'Yes': -4.1781793, ' Generally': -4.500577, ' A': -4.9089212}
{' Yes': -0.29867518, ' No': -1.6600147, ' Tigers': -3.620992, 'Yes': -4.140701, 'No': -4.208831}
{' Yes': -0.680832, ' No': -0.9503976, 'No': -3.243872, ' Tigers': -3.32646, 'Yes': -4.1141853}
{' Yes': -0.0041852156, 'Yes': -5.926882, ' yes': -7.4246864, ' ': -7.915676, ' No': -8.417847}
{' Yes': -0.0039526448, 'Yes': -5.9525642, ' yes': -7.7805424, ' No': -8.157644, ' ': -8.324696}
{' Yes': -0.00606115, 'Yes': -5.5362334, ' No': -7.0476413, ' yes': -7.561067, ' ': -8.088319}
{' Yes': -0.40778464, ' No': -1.1159469, 'Yes': -6.211495, 'No': -6.267846, '\n': -6.770526}
{' Yes': -0.39848894, ' No': -1.2532368, 'No': -4.350841, 'Yes': -4.4585624, ' A': -4.739019}
{' Yes': -0.66684765, ' No': -0.8513226, 'No': -3.7429698, 'Yes': -4.578755, ' A': -4.8395824}
{' Yes': -0.27030125, ' No': -1.5561155, 'Yes': -4.4776874, 'No': -4.9101996, ' ': -5.8319545}
{' No': -0.0629767, 'No': -3.0236604, ' Yes': -4.9880004, ' ': -6.1160216, '\n': -6.774113}
{' Yes': -0.6876943, ' No': -1.1650769, '\n': -2.410072, 'No': -3.6355493, 'Yes': -3.7367299}
{' No': -0.7941644, ' Yes': -1.0612906, '\n': -2.4747026, 'No': -3.2166038, ' A': -3.3507097}
{' No': -0.77774847, ' Yes': -1.1724857, '\n': -2.1079907, 'No': -3.0007517, ' ': -3.6229935}
{' No': -0.20928493, 'No': -2.5672581, '\n': -2.620534, ' Yes': -3.8324273, ' ': -4.337241}
{' Yes': -0.11934346, ' No': -2.2335098, 'Yes': -5.909672, ' ': -6.734362, 'No': -7.3837757}
{' Yes': -0.36604455, ' No': -1.2135901, 'Yes': -5.8539495, 'No': -5.945619, ' ': -6.134176}
{' Yes': -0.39594585, ' No': -1.1372502, 'Yes': -6.0338774, 'No': -6.069644, ' ': -7.108899}
{' No': -0.035922624, ' Yes': -3.7428815, 'No': -4.540922, ' ': -7.555354, 'Yes': -8.756009}
{' No': -0.46456644, 'No': -1.7691833, ' Yes': -2.0671837, ' ': -3.7817411, 'Yes': -3.8744328}
{' No': -0.34523478, 'No': -1.6668518, ' Yes': -3.090945, '\n': -3.9065921, ' A': -4.258063}
{' No': -0.23475721, 'No': -1.6839243, ' ': -4.5100636, '\n': -4.62526, ' Yes': -7.1632047}
{' No': -0.25703666, 'No': -1.6245923, ' ': -4.339741, '\n': -4.342196, ' Yes': -7.0987253}
{' Yes': -0.041516982, ' No': -3.9523633, 'Yes': -4.690403, ' yes': -5.5740423, ' ': -5.6575704}
{' Yes': -0.05950254, ' No': -3.725701, 'Yes': -4.4185896, ' A': -4.756699, ' yes': -5.174926}
{' Yes': -0.1048221, ' No': -2.7092454, 'Yes': -4.2947865, ' yes': -5.260611, ' ': -5.40083}
{' No': -0.52631986, ' Yes': -1.0485557, 'No': -3.6989403, ' Tigers': -4.683817, 'Yes': -5.0112534}
{' Yes': -0.12152437, ' No': -2.8407128, 'Yes': -3.4371543, 'No': -5.0620246, ' A': -5.1867146}
{' Yes': -0.102425635, 'Yes': -3.1874359, ' No': -3.655284, ' yes': -4.8183355, ' A': -4.889534}
{' Yes': -0.09354704, 'Yes': -3.1384802, ' No': -3.9645128, ' yes': -4.1449623, 'No': -5.9538126}
{' No': -0.553132, ' Yes': -1.3926915, 'No': -2.2856054, ' Tigers': -3.4942195, 'Yes': -4.1453524}
{' Yes': -0.55461425, ' No': -1.0639241, 'No': -3.0780878, 'Yes': -3.546765, ' yes': -5.921473}
{' Yes': -0.40974703, ' No': -1.3426886, 'No': -3.2630372, 'Yes': -3.4249923, ' yes': -6.312178}
{' Yes': -0.1780647, ' No': -2.3134522, 'Yes': -3.095335, 'No': -4.1221085, ' Generally': -7.2267776}
{' No': -0.23059991, 'No': -1.9097838, ' Yes': -2.9459317, 'Yes': -5.5656595, ' ': -7.866271}
{' Yes': -0.17525956, ' No': -2.2356403, 'Yes': -3.2485797, 'No': -4.360598, ' ': -7.0104737}
{' Yes': -0.18438147, ' No': -2.4639606, 'Yes': -2.8531492, 'No': -3.9157653, ' ': -6.419477}
{' Yes': -0.2887148, ' No': -1.790811, 'Yes': -2.999778, 'No': -3.5232482, ' ': -6.7611637}
{' No': -0.5481282, ' Yes': -1.3209745, 'No': -2.0469418, 'Yes': -3.8583739, ' ': -6.682229}
{' Yes': -0.09032942, ' No': -2.5906096, 'Yes': -4.7693553, 'No': -6.434552, ' yes': -7.4727373}
{' Yes': -0.023369065, 'Yes': -4.4409904, ' No': -4.6402874, ' yes': -7.401377, 'No': -8.131718}
{' Yes': -0.027554363, ' No': -4.3439107, 'Yes': -4.4021616, ' yes': -7.4952693, 'No': -7.5649967}
{' Yes': -0.27388093, ' No': -1.5610931, 'Yes': -4.249947, 'No': -4.53978, ' Tigers': -5.952572}
{' No': -0.38282427, 'No': -1.2146133, ' Yes': -4.469803, ' A': -6.0958686, 'Yes': -6.157304}
{' No': -0.70546454, 'No': -0.8023312, ' Yes': -3.5621483, ' Generally': -4.9504366, 'Yes': -4.961461}
{' No': -0.7261907, 'No': -1.2918111, ' Yes': -1.8579732, 'Yes': -3.479706, ' Tigers': -3.7126007}
