{' Yes': -0.004286734, 'Yes': -6.3658724, ' No': -6.7376213, ' Spider': -6.779202, ' yes': -9.341253}
{' Yes': -0.0011733621, 'Yes': -6.90028, ' Sure': -9.461941, ' No': -10.087664, ' yes': -11.065678}
{' Yes': -0.0016601294, 'Yes': -6.823153, ' No': -8.159181, ' Sure': -8.59624, ' yes': -10.922084}
{' Yes': -0.13152182, ' No': -2.1170506, 'Yes': -6.041968, 'No': -8.315279, ' Nope': -9.141344}
{' Yes': -0.32291314, ' No': -1.31182, 'Yes': -5.4590883, 'No': -6.966254, ' Nope': -7.1262918}
{' Yes': -0.7432867, ' Ending': -0.8613384, ' No': -2.3553646, 'Yes': -5.6939297, 'No': -6.5476985}
{' Ending': -0.3565508, ' Yes': -1.4748198, ' No': -2.7221284, 'Yes': -6.2845297, 'No': -6.927596}
{' Yes': -0.053998247, ' Energy': -3.0324717, 'Yes': -5.6861315, ' No': -8.027783, 'Energy': -8.876222}
{' Yes': -0.042002786, ' Energy': -3.7155921, ' No': -4.394101, 'Yes': -6.115317, ' Nope': -7.3545213}
{' Yes': -0.0014353112, 'Yes': -6.686688, ' No': -9.010732, ' yes': -10.549092, ' Father': -11.245641}
{' Yes': -0.009921332, ' No': -4.859086, 'Yes': -6.48231, ' Father': -7.7118483, 'No': -10.179533}
{' No': -0.013801276, ' Yes': -4.4968486, 'No': -6.010284, ' Nope': -9.920884, 'Yes': -10.689813}
{' Yes': -0.10690322, ' No': -2.3351974, 'Yes': -5.9149737, ' Pen': -7.2775974, 'No': -7.427989}
{' Yes': -0.042916607, ' Street': -3.2904618, 'Yes': -5.643708, ' No': -7.735139, ' Sure': -7.989213}
{' Yes': -0.0559862, ' No': -2.9502447, 'Yes': -6.3167143, 'No': -8.676148, ' Nope': -10.135075}
{' Yes': -0.0009244911, 'Yes': -7.0151453, ' yes': -11.605908, ' No': -11.9877825, ' YES': -12.299567}
{' Yes': -0.10188846, ' Strong': -2.36182, 'Yes': -6.31916, ' No': -8.284122, 'Strong': -8.370411}
{' Yes': -0.06009691, ' Seller': -3.089697, ' No': -4.5233097, 'Yes': -6.644655, ' yes': -8.290736}
{' Yes': -0.017196415, ' Seller': -4.2493834, 'Yes': -6.5939064, ' No': -6.9744754, ' yes': -8.309747}
{' Yes': -0.14772116, ' No': -2.2607393, ' Bl': -3.5264633, 'Yes': -6.4658494, ' Nope': -7.161134}
{' Yes': -0.23575538, ' No': -1.7165501, ' Bl': -3.650207, 'Yes': -6.1285005, 'No': -7.2874446}
{' Yes': -0.02639055, ' No': -3.7518218, 'Yes': -6.2601256, ' B': -8.343938, 'No': -8.756156}
{' Yes': -0.016497074, ' No': -4.3652196, 'Yes': -5.7565975, 'No': -8.878881, ' yes': -9.3970375}
{' Yes': -0.003388982, ' No': -6.190194, 'Yes': -6.6582613, ' yes': -10.752788, ' YES': -11.718827}
{' No': -0.0732817, ' Yes': -2.8703794, ' Nope': -4.6939154, 'No': -5.6728864, ' Prince': -7.108187}
{' Yes': -0.003087001, 'Yes': -6.538225, ' No': -6.552909, ' Parent': -9.992762, ' yes': -10.007647}
{' Yes': -0.061065316, ' Parent': -3.0011535, 'Yes': -5.660008, ' No': -6.071506, ' P': -7.0518413}
{' Yes': -0.003212624, ' No': -6.2259455, 'Yes': -6.749735, ' yes': -10.884349, ' Sure': -11.806268}
{' Yes': -0.0028225258, ' No': -6.4067316, 'Yes': -6.898086, ' Super': -9.915763, ' Sure': -10.531868}
{' No': -0.27680734, ' Yes': -1.4368072, 'No': -5.8051043, 'Yes': -7.3870535, ' Nope': -7.8193426}
{' No': -0.2564908, ' Yes': -1.5176507, ' Nope': -5.1844234, 'No': -6.858923, 'Yes': -8.557008}
{' Yes': -0.6135781, ' St': -1.2808983, ' Stars': -2.070003, ' No': -3.8316917, 'Yes': -4.348283}
{' Yes': -0.28616944, ' Stars': -2.1229749, ' St': -2.6512094, ' No': -3.2005064, 'Yes': -4.637321}
{' Yes': -0.003144877, 'Yes': -6.0401926, ' Doctor': -7.4161425, ' yes': -9.192821, ' No': -10.767863}
{' Yes': -0.0047107637, 'Yes': -5.996145, ' No': -6.551835, ' Doctor': -7.3186965, ' yes': -9.737408}
{' No': -0.01570896, 'No': -5.00407, ' Yes': -5.494175, ' Nope': -6.197346, ' Not': -6.556931}
{' No': -0.015176887, ' Yes': -5.0841713, 'No': -5.368847, ' Nope': -6.164028, ' Not': -6.649253}
{' No': -1.1342874, ' Yes': -1.225411, ' Tennis': -1.6744255, ' Tenn': -1.9468846, ' Ten': -3.901751}
{' No': -1.0439261, ' Yes': -1.571205, ' Tenn': -1.6512259, ' Tennis': -1.848339, ' Ten': -3.2561064}
{' No': -0.52106255, ' Yes': -0.93485034, ' Bucket': -5.0066924, 'No': -5.681636, 'Yes': -6.561337}
{' Yes': -0.58474207, ' No': -0.82706314, 'No': -6.150547, 'Yes': -6.355776, ' Bucket': -7.189129}
{' Yes': -0.07602301, ' No': -2.9569128, 'Yes': -4.6487885, ' States': -5.044515, ' St': -5.5896935}
{' Yes': -0.26544645, ' No': -1.8143699, ' States': -3.3183122, ' St': -4.041783, 'Yes': -4.443545}
{' Yes': -0.004664827, ' No': -5.985659, 'Yes': -6.522294, ' Sure': -8.005072, ' Nope': -9.420469}
{' Yes': -0.019982565, ' No': -4.174922, 'Yes': -5.9160566, ' Nope': -6.9826117, ' Sure': -8.051424}
{' Yes': -0.12415998, ' No': -2.873719, ' In': -2.9557848, 'Yes': -5.784461, ' Breat': -6.3007364}
{' No': -0.07898951, ' Yes': -2.9419618, ' Nope': -4.2536054, 'No': -5.267896, ' Nah': -6.9244204}
{' Yes': -0.007354094, ' Loving': -5.394103, 'Yes': -6.1027784, ' yes': -8.95751, ' YES': -9.041543}
{' Yes': -0.02989465, ' No': -3.5789342, 'Yes': -6.5649137, 'No': -9.739035, ' yes': -10.879727}
{' Yes': -0.27038264, ' No': -1.4849594, ' Turtle': -5.1152234, 'Yes': -5.9805837, 'No': -6.9571834}
{' No': -0.04195604, ' Yes': -3.2436717, 'No': -6.31282, ' Nope': -8.8626175, 'Yes': -9.613668}
{' Yes': -0.045135856, ' No': -3.2203922, 'Yes': -5.7544727, ' Butter': -7.778393, 'No': -7.9462204}
{' No': -0.56463176, ' Yes': -0.86137325, 'No': -5.4369273, 'Yes': -6.4104514, ' Butter': -6.576047}
{' Yes': -0.012897849, ' No': -4.475224, 'Yes': -6.724636, 'No': -10.147574, ' yes': -10.225108}
{' Yes': -0.07938842, ' No': -2.6008785, 'Yes': -6.3592443, 'No': -8.091401, ' yes': -10.30212}
{' No': -0.45353514, ' Yes': -1.0183392, 'No': -6.2128057, 'Yes': -7.222133, ' Nope': -7.461471}
{' No': -0.14142174, ' Yes': -2.0768847, 'No': -5.8221335, ' Nope': -6.2285814, ' Eleven': -7.4835196}
{' Yes': -0.017879799, 'Yes': -4.6819177, ' She': -5.0304184, ' No': -7.0730243, ' yes': -8.579668}
{' Yes': -0.0094964765, 'Yes': -4.7723713, ' No': -8.182854, ' She': -8.326328, ' yes': -9.000553}
{' Yes': -0.008175767, 'Yes': -5.3271036, ' Stress': -6.621825, ' No': -6.8346176, ' yes': -8.46138}
{' Yes': -0.012292915, ' No': -5.24242, 'Yes': -5.277014, ' Stress': -6.8934946, ' yes': -8.627078}
{' Yes': -0.015540893, ' No': -4.4189606, 'Yes': -5.79301, ' Sure': -9.5658865, ' Sunset': -9.596639}
{' Yes': -0.11762253, ' No': -2.385628, 'Yes': -4.8318768, ' Sunset': -5.347555, ' Sun': -6.281309}
{' No': -0.45716292, ' Yes': -1.007946, 'No': -6.599458, 'Yes': -7.613649, ' Nope': -9.716095}
{' No': -0.26655775, ' Yes': -1.6858597, ' Minute': -3.2915668, ' Nope': -5.2533875, 'No': -5.941632}
{' Yes': -0.040501643, ' No': -3.2580554, 'Yes': -6.792327, 'No': -9.702978, ' yes': -11.254358}
{' Yes': -0.18795161, ' No': -1.7795177, 'Yes': -6.8347735, ' Nope': -6.983705, 'No': -8.159867}
{' Yes': -0.39703977, ' No': -1.1393627, 'Yes': -5.8759537, 'No': -5.9008026, ' Nope': -7.2813144}
{' Yes': -0.007375591, 'Yes': -5.504705, ' No': -6.1914682, ' Water': -8.268325, ' yes': -8.702174}
{' No': -0.5110502, ' Yes': -0.92438805, 'No': -6.1673174, 'Yes': -7.187991, ' Nope': -7.859904}
{' No': -0.17591475, ' Yes': -1.8469143, 'No': -6.087547, ' Nope': -7.135799, 'Yes': -8.273034}
{' No': -0.01715421, ' Yes': -4.224878, 'No': -6.07813, ' Nope': -10.18798, 'Yes': -10.443576}
{' No': -0.02145191, ' Yes': -4.0381026, ' Nope': -6.182651, 'No': -6.5448494, ' Length': -10.645733}
{' Yes': -0.0031772256, ' No': -6.328965, 'Yes': -6.6396117, ' yes': -9.982999, 'No': -11.876397}
{' Yes': -0.0043952097, ' No': -6.1521745, 'Yes': -6.205556, ' yes': -9.590263, ' Sure': -9.804586}
{' Yes': -0.005929954, ' No': -5.5496535, 'Yes': -6.3527427, ' Sure': -9.415554, ' yes': -9.703122}
{' Yes': -0.10833401, ' No': -2.394293, 'Yes': -5.151972, ' Nope': -6.725242, ' Sure': -7.139274}
{' Yes': -0.03058406, ' No': -3.6596239, 'Yes': -5.9413633, ' Muscle': -7.064283, ' Mus': -8.037457}
{' Yes': -0.24314302, ' No': -1.6039046, ' Mus': -5.517996, 'Yes': -5.5278606, ' Muscle': -5.627399}
{' Yes': -0.12746447, ' No': -2.530928, ' Empire': -3.6600018, ' Em': -5.485836, 'Yes': -5.785938}
{' Empire': -0.80487645, ' Yes': -0.93331736, ' Em': -2.2869303, ' No': -3.358799, ' Emperor': -4.254507}
{' No': -0.023531983, ' Nope': -3.9714994, 'No': -5.6324735, ' Yes': -7.4067044, ' N': -9.196396}
{' No': -0.007341548, 'No': -5.358429, ' Nope': -6.2356777, ' Yes': -7.3864746, ' Not': -12.034386}
{' Yes': -0.0085351905, ' No': -4.963218, 'Yes': -6.5971518, 'No': -10.659263, ' Sure': -10.818655}
{' Yes': -0.20751706, ' No': -1.6812243, 'Yes': -7.113127, 'No': -8.102012, ' Nope': -9.560167}
{' Yes': -0.00105205, 'Yes': -6.968131, ' No': -9.426761, ' yes': -10.796962, ' YES': -12.202539}
{' Yes': -0.021501845, ' No': -4.191344, 'Yes': -5.256954, ' yes': -8.613104, 'No': -8.706234}
{' No': -0.3059425, ' Yes': -1.36191, 'No': -5.9596806, ' Dagger': -5.974834, 'Yes': -6.956079}
{' Yes': -0.5969563, ' No': -0.8084432, 'No': -6.09791, 'Yes': -6.4886484, ' Nope': -9.123337}
{' Yes': -0.012996392, ' No': -4.534282, 'Yes': -6.18234, 'No': -10.068316, ' yes': -10.40492}
{' Yes': -0.025087452, ' No': -3.8259487, 'Yes': -6.000406, 'No': -9.188318, ' yes': -9.6699705}
{' No': -0.13656828, ' Yes': -2.0767825, 'No': -6.2931347, 'Yes': -8.466415, ' Nope': -8.886953}
{' No': -0.5692299, ' Yes': -0.8401192, 'No': -6.7246633, 'Yes': -7.206027, ' Nope': -8.554733}
{' No': -0.1299059, ' Yes': -2.2922516, ' Nope': -4.3312016, 'No': -5.616263, ' Off': -6.0892353}
{' No': -0.33009034, ' Yes': -1.9308232, ' Office': -2.7162137, ' Off': -3.3165386, ' Nope': -4.3332086}
{' No': -0.052229907, ' Yes': -3.0852365, 'No': -5.6096735, ' Nope': -6.723628, 'Yes': -9.192537}
{' No': -0.10739856, ' Yes': -2.3217175, 'No': -5.841693, ' Nope': -7.775573, 'Yes': -7.98877}
{' Yes': -0.16578442, ' Thread': -2.0117774, ' No': -4.561765, ' Dread': -5.933118, 'Yes': -6.364075}
{' Yes': -0.18385382, ' No': -1.8909651, ' Thread': -4.3640027, ' Nope': -6.394852, 'Yes': -7.0273743}
{' Yes': -0.52798337, ' No': -1.3745342, ' Issue': -2.7035835, ' Tess': -3.6673596, ' Nope': -4.8851523}
{' Yes': -0.26079524, ' No': -1.5242058, 'Yes': -5.5164237, ' Nope': -6.1082716, ' Sure': -6.529599}
{' Yes': -0.061951585, ' No': -3.029925, ' Sure': -4.7012887, 'Yes': -6.222761, 'No': -8.342043}
{' Yes': -0.089291945, ' Sure': -2.8361104, ' No': -4.110326, 'Yes': -5.489816, ' Suc': -6.7931094}
{' No': -0.31808174, ' Yes': -1.3512009, ' Fl': -5.0622187, 'No': -5.8498387, 'Yes': -6.181397}
{' Yes': -0.50061595, ' No': -0.9547272, 'Yes': -5.231056, 'No': -6.447845, ' Nope': -7.29237}
{' Yes': -0.33810842, ' No': -1.305489, ' Sne': -5.140784, 'Yes': -5.211161, ' Nope': -6.4762077}
{' Yes': -0.6442631, ' No': -0.7702665, ' Nope': -5.557863, ' Sne': -5.710388, 'Yes': -6.047889}
{' Yes': -0.004474836, ' No': -5.8385005, 'Yes': -6.518339, ' yes': -11.289845, ' YES': -11.440674}
{' Yes': -0.017865296, ' No': -4.21292, 'Yes': -5.984446, ' Better': -9.272084, 'No': -9.421795}
{' No': -0.3175496, ' Yes': -1.3069409, 'No': -6.9171605, 'Yes': -8.012258, ' Nope': -9.48243}
{' Yes': -0.962955, ' Purple': -0.98280674, ' No': -1.7402854, ' Pur': -2.9520698, 'Pur': -4.880688}
{' Yes': -0.07718452, ' No': -2.8402898, ' Animal': -4.717634, 'Yes': -5.2256007, 'No': -7.253535}
{' Yes': -0.90245014, ' No': -1.0328825, ' Animal': -1.5367064, 'No': -5.1852336, ' Un': -5.2879643}
{' Hel': -0.09762086, ' Yes': -2.5196712, 'Helper': -5.6366735, ' Help': -5.7519, ' Helic': -5.975287}
{' Yes': -0.20914783, ' Hel': -1.7101549, 'Yes': -5.552933, ' No': -6.9921284, 'Helper': -7.0961757}
{' Yes': -0.13329425, ' No': -2.0910482, 'Yes': -7.032941, 'No': -8.089034, ' yes': -10.965202}
{' Yes': -0.006849251, ' No': -5.3225403, 'Yes': -6.330009, 'No': -10.0832405, ' Absolutely': -10.538987}
{' Yes': -0.05569716, ' No': -2.9774575, 'Yes': -5.8809094, 'No': -8.169224, ' yes': -10.1346245}
{' Yes': -0.33012176, ' No': -1.4293095, ' Branch': -3.589273, 'Yes': -5.0938754, 'No': -5.63347}
{' No': -0.43492287, ' Yes': -1.0538194, 'No': -5.9792705, 'Yes': -7.0680914, ' Nope': -7.564641}
{' Yes': -0.57294524, ' No': -1.4535261, ' Pretty': -1.8302102, ' Pre': -4.53891, ' Nope': -4.7155185}
{' No': -0.01972824, ' Yes': -4.209067, ' Nope': -6.312571, 'No': -6.3307323, ' Ign': -7.644781}
{' No': -0.009210513, ' Yes': -4.895109, 'No': -6.9314604, ' Nope': -7.3358135, ' Ignore': -11.404495}
{' No': -0.38792756, ' Yes': -1.182407, ' Divide': -4.362142, 'No': -6.5987563, 'Yes': -7.4632254}
{' Divide': -0.95550025, ' No': -1.022452, ' Yes': -1.3958155, ' Div': -5.3710103, 'No': -6.8988214}
{' Yes': -0.012088439, ' Hammer': -4.725282, 'Yes': -6.197084, ' No': -6.9839854, ' yes': -10.218007}
{' Yes': -0.34025687, ' Hammer': -1.2840798, ' No': -4.8909254, 'Yes': -6.2837358, ' Ham': -7.2182274}
{' Yes': -0.0037002072, 'Yes': -6.016435, ' No': -6.7863765, ' yes': -10.517447, ' Sure': -10.558187}
{' Yes': -0.0052881744, 'Yes': -5.711937, ' No': -6.3961086, ' yes': -9.631875, ' Sure': -10.154803}
{' No': -0.09307434, ' Yes': -2.4998047, 'No': -5.193483, ' Nope': -7.7273407, 'Yes': -7.933487}
{' No': -0.1673947, ' Yes': -1.901369, 'No': -5.52672, 'Yes': -7.658115, ' Nope': -8.555723}
{' Yes': -0.0051245443, ' No': -5.9856925, 'Yes': -6.310352, ' Ex': -7.31005, ' yes': -9.929101}
{' No': -0.14200194, ' Yes': -2.2014997, ' Nope': -4.2418094, 'No': -5.5571094, ' Ex': -6.06814}
{' Yes': -0.2638141, ' No': -1.4689342, 'Yes': -7.2873178, ' Dollar': -7.73112, 'No': -7.775937}
{' No': -0.4479967, ' Yes': -1.02599, 'No': -6.3794885, 'Yes': -7.1943517, ' Nope': -9.467566}
{' Yes': -0.09563077, ' No': -2.466734, ' Planet': -5.746223, 'Yes': -6.0310454, 'No': -7.7881765}
{' Yes': -0.07963921, ' No': -2.9100547, ' Planet': -3.9837718, 'Yes': -5.9115314, 'No': -8.05826}
{' Yes': -0.16874947, ' No': -1.8893343, 'Yes': -6.022894, 'No': -7.2377076, ' Car': -7.8554053}
{' Yes': -0.013932124, ' No': -4.418687, 'Yes': -6.4169626, ' yes': -10.214558, 'No': -10.249775}
{' Yes': -0.036014628, ' Ass': -3.6097202, 'Yes': -5.461317, ' No': -5.7171116, ' Absolutely': -9.104796}
{' Yes': -0.12556887, ' Ass': -2.4373708, ' No': -3.8457017, 'Yes': -5.097259, ' Nope': -7.425735}
{' No': -0.058322884, ' Yes': -3.3942318, ' Circ': -4.6056824, 'No': -5.5648956, ' Circus': -5.572244}
{' No': -0.11505097, ' Circ': -2.7676752, ' Yes': -3.9216475, ' Cir': -4.305431, ' Circus': -5.052713}
{' Yes': -0.02387548, ' No': -3.8173916, 'Yes': -6.521503, 'No': -9.774236, ' yes': -10.552287}
{' Yes': -0.045667402, ' No': -3.824266, ' Bullet': -5.0152807, 'Yes': -5.1533237, ' Balloon': -5.174413}
{' Yes': -0.048212778, ' No': -3.1035907, 'Yes': -6.4473214, ' Nope': -8.369032, 'No': -8.594368}
{' Yes': -0.037580397, ' No': -3.3652875, 'Yes': -6.345126, ' Nope': -8.353804, 'No': -8.958367}
{' No': -0.5440687, ' Yes': -1.2433732, ' Law': -2.6133578, ' Nope': -4.6776924, ' L': -4.987811}
{' Yes': -0.29965496, ' No': -1.4216795, ' Nope': -5.571044, 'Yes': -5.710633, ' Law': -6.7797723}
{' Yes': -0.35034963, ' No': -1.290787, ' Smooth': -4.8006477, ' Nope': -5.169422, 'Yes': -5.685077}
{' No': -0.3674388, ' Yes': -1.2585139, ' Smooth': -4.663976, ' Nope': -5.1116447, 'No': -5.362581}
{' Yes': -0.19214466, ' No': -2.0338328, ' Cancer': -3.5683823, ' Cance': -5.1149273, 'Yes': -5.1768227}
{' No': -0.40878665, ' Yes': -1.127798, 'No': -5.8039603, ' Nope': -5.817355, 'Yes': -6.359941}
{' Yes': -0.011573535, 'Yes': -5.298673, ' No': -5.497125, ' Sc': -6.4336085, ' Des': -8.511184}
{' Yes': -0.013269308, ' No': -5.152231, 'Yes': -5.550403, ' Sc': -5.9372973, ' Sure': -8.434984}
{' No': -0.012139479, ' Yes': -4.547591, 'No': -6.57874, ' Nope': -9.762712, 'Yes': -10.93002}
{' No': -0.08196565, ' Yes': -2.586732, 'No': -5.8539033, ' Nope': -8.099744, 'Yes': -8.377084}
{' No': -0.007867051, ' Yes': -5.1828585, 'No': -6.1972685, ' Nope': -8.760591, 'Yes': -11.194537}
{' No': -0.13345492, ' Yes': -2.2373462, ' Ex': -4.649214, 'No': -5.177493, ' Nope': -6.517814}
{' No': -0.194728, ' Yes': -1.7641784, ' Nope': -5.6913095, 'No': -6.39976, 'Yes': -8.368147}
{' No': -0.032807365, ' Yes': -3.4953983, 'No': -6.36423, ' Nope': -8.82212, 'Yes': -10.051459}
{' No': -0.0053800982, 'No': -5.751721, ' Yes': -6.5458746, ' Nope': -7.2484117, ' Not': -11.019549}
{' No': -0.0066206213, 'No': -5.646665, ' Yes': -5.8887043, ' Nope': -8.380213, ' Cow': -10.530074}
{' Yes': -0.83154297, ' Finish': -0.9178657, ' No': -1.9060764, 'Yes': -5.2842956, 'Finish': -5.76399}
{' Yes': -0.022577122, ' No': -4.0282288, 'Yes': -5.47866, 'No': -8.896172, ' yes': -9.94485}
{' No': -0.13427877, ' Yes': -2.1269963, 'No': -5.453256, ' Nope': -6.4962187, 'Yes': -7.768897}
{' No': -0.104656175, ' Yes': -2.3871403, 'No': -5.2545433, ' Nope': -6.4947586, 'Yes': -7.798048}
{' Yes': -0.0023381182, 'Yes': -6.622375, ' No': -6.9449234, ' Sure': -11.153602, ' yes': -11.437519}
{' Yes': -0.004953152, ' No': -5.9646244, ' Repeat': -6.7281303, 'Yes': -6.8429413, ' Repe': -10.14651}
{' Yes': -0.009207927, ' Spider': -5.404195, 'Yes': -6.0458612, ' No': -6.305148, ' Sp': -8.748204}
{' Yes': -0.13986288, ' No': -2.064305, 'Yes': -6.5821595, ' Nope': -6.8022656, ' Spider': -7.5841074}
{' Yes': -0.53574914, ' No': -0.8931272, ' Candle': -5.5936637, 'Yes': -7.1963553, ' Cand': -7.890701}
{' Yes': -0.06702699, ' No': -3.0637538, ' Candle': -4.2318373, 'Yes': -6.197218, ' Cand': -6.8262672}
{' Yes': -0.032706913, ' No': -4.222921, ' Thr': -4.9477735, ' Th': -5.1279874, 'Yes': -5.7837787}
{' Yes': -0.04992542, ' No': -3.1794438, 'Yes': -5.990464, ' Thr': -6.3723645, ' Th': -6.4114785}
{' Yes': -0.01679313, ' No': -4.445843, 'Yes': -5.8611875, ' Beach': -6.4876122, ' yes': -9.059506}
{' Yes': -0.02577686, ' No': -3.7611132, 'Yes': -6.387379, ' Beach': -8.328349, 'No': -9.214177}
{' Yes': -0.004538961, ' No': -5.845742, 'Yes': -6.53448, ' Flower': -9.207953, ' yes': -10.345794}
{' Yes': -0.010079726, ' No': -5.1617746, 'Yes': -6.007976, ' Flower': -6.4222655, ' yes': -9.664736}
{' No': -0.018881641, ' Yes': -4.127824, 'No': -6.1795526, ' Nope': -8.276312, ' Not': -8.751978}
{' No': -0.08518097, ' Yes': -2.543492, 'No': -6.2635255, ' Nope': -7.528538, 'Yes': -8.514972}
{' No': -0.08285982, ' Yes': -2.6590106, 'No': -5.2875714, ' India': -6.409238, ' Indian': -6.4491754}
{' No': -0.06814097, ' Yes': -2.846137, 'No': -5.568967, ' Indian': -6.4854054, ' India': -6.88815}
{' Yes': -0.118202984, ' Orange': -2.214215, 'Yes': -6.746979, ' No': -7.640328, ' Sure': -7.860375}
{' Yes': -0.27458176, ' Orange': -1.445711, ' No': -6.2675643, 'Yes': -6.401641, ' Sure': -7.657335}
{' Yes': -0.01518427, ' No': -4.4727364, 'Yes': -6.013395, ' Hungry': -7.005491, 'No': -9.764316}
{' Yes': -0.06769084, ' No': -2.760018, 'Yes': -6.643553, ' Nope': -8.327544, 'No': -8.586511}
{' No': -0.36244157, ' Yes': -1.2017285, 'No': -6.2860827, 'Yes': -7.414754, ' Number': -8.031735}
{' No': -0.03397176, ' Yes': -3.524824, 'No': -5.7170577, ' Nope': -8.193724, ' Number': -9.03589}
{' Mirror': -0.794985, ' No': -0.9142725, ' Yes': -2.1582472, ' Mir': -4.028715, ' Error': -5.704303}
{' No': -0.24448544, ' Yes': -1.6347879, ' Mirror': -4.1021223, ' Mir': -6.238136, 'No': -6.290943}
{' Yes': -0.0008801634, 'Yes': -7.084269, ' yes': -10.961993, ' YES': -11.423479, ' No': -12.104591}
{' Yes': -0.0009689982, 'Yes': -6.9738746, ' yes': -11.591406, ' YES': -11.980842, ' ': -12.143248}
{' Yes': -0.17574924, ' No': -1.9920104, ' Pepper': -4.098782, 'Yes': -5.5557976, ' Pe': -6.431936}
{' Yes': -0.41384408, ' No': -1.2256308, ' Pepper': -3.5258245, ' Pe': -5.241568, 'Yes': -5.6508245}
{' Yes': -0.01050742, 'Yes': -5.437532, ' Cheese': -5.495252, ' No': -6.5400176, ' Che': -8.389827}
{' Yes': -0.005330179, 'Yes': -6.0311265, ' No': -6.261956, ' Cheese': -7.4099183, ' Nope': -9.180569}
{' No': -0.25539023, ' Yes': -1.5108776, 'No': -5.9422207, ' Nope': -6.551573, 'Yes': -7.6521435}
{' No': -0.1992334, ' Yes': -1.7643751, 'No': -5.2600393, ' Nope': -5.7526464, 'Yes': -7.256955}
{' Yes': -1.0197875, ' No': -1.409186, ' Sure': -1.6198509, ' Squ': -2.1387296, ' Square': -2.6293457}
{' Yes': -1.1734322, ' Sure': -1.2067326, ' No': -1.4232816, ' Squ': -2.2608042, ' Square': -3.2575293}
{' Yes': -0.0007692674, 'Yes': -7.3970737, ' Sure': -9.617212, ' No': -10.044735, ' yes': -11.273128}
{' Yes': -0.002046609, 'Yes': -6.8946495, ' No': -7.380157, ' Sure': -8.145361, ' Change': -9.969845}
{' Yes': -0.01771713, ' No': -4.2919345, 'Yes': -5.6217036, ' Leaves': -10.030925, ' yes': -10.10778}
{' Yes': -0.15665025, ' No': -1.9739873, 'Yes': -5.339063, 'No': -7.6599216, ' Nope': -7.9394655}
{' Ending': -0.119826324, ' Yes': -2.280694, ' No': -5.341727, ' End': -5.9967165, ' ending': -6.8913846}
{' Ending': -0.35304457, ' Yes': -1.473566, ' No': -2.806944, 'Yes': -6.206926, ' End': -6.2711267}
{' Yes': -0.107711166, ' Energy': -2.3094819, 'Yes': -6.1801667, ' No': -8.650975, 'Energy': -8.777628}
{' Yes': -0.1877749, ' Energy': -1.8653014, ' No': -4.45611, 'Yes': -5.922573, 'Energy': -7.6325364}
{' Yes': -0.0038116106, ' No': -6.5270715, 'Yes': -6.6022973, ' Father': -7.0617967, ' yes': -9.97782}
{' Yes': -0.007669377, ' No': -5.494886, ' Father': -6.1608505, 'Yes': -6.7045345, ' ': -10.198553}
{' No': -0.016469326, ' Yes': -4.3148184, 'No': -6.052367, ' Pen': -8.30898, ' Nope': -8.429687}
{' Yes': -0.34898928, ' No': -1.2449453, ' Pen': -5.8663726, 'Yes': -6.3997703, 'No': -6.8954415}
{' Yes': -0.009054241, ' Street': -5.0295353, 'Yes': -6.2470856, ' No': -8.436983, ' yes': -9.251572}
{' Yes': -0.005089316, 'Yes': -5.915692, ' No': -6.956576, ' Street': -7.1693316, ' Sure': -8.428925}
{' Yes': -0.001179331, 'Yes': -7.0144563, ' Strong': -8.408763, ' yes': -10.882792, ' No': -11.019573}
{' Yes': -0.0032695532, ' Strong': -6.355013, 'Yes': -6.7215443, ' No': -8.530451, '\n': -9.767874}
{' Yes': -0.029488608, ' Seller': -3.7150238, ' No': -5.7841153, 'Yes': -6.7134347, ' yes': -8.777943}
{' Yes': -0.0038485297, ' Seller': -6.133367, 'Yes': -7.0918603, ' No': -7.342344, ' yes': -9.209409}
{' Yes': -0.121625744, ' No': -2.1998248, ' Bl': -6.4128337, 'Yes': -6.645437, ' Nope': -8.207254}
{' Yes': -0.08351943, ' No': -2.6667159, ' Bl': -4.9456596, 'Yes': -6.1084523, ' Nope': -8.002612}
{' Yes': -0.013218148, ' No': -4.46821, 'Yes': -6.5675964, ' B': -9.883109, 'No': -9.905676}
{' Yes': -0.01021093, ' No': -4.8858514, 'Yes': -6.0556946, ' yes': -9.746766, 'No': -9.774697}
{' Yes': -0.004991429, ' No': -5.492847, 'Yes': -7.1011095, ' yes': -11.058145, ' YES': -11.84562}
{' No': -0.28163224, ' Yes': -1.4431065, ' Nope': -5.277617, 'No': -6.0635056, ' Prince': -7.15297}
{' Yes': -0.004413708, ' No': -6.0974116, 'Yes': -6.3475795, ' Parent': -8.261908, ' yes': -9.799263}
{' Yes': -0.0073450906, ' Parent': -5.6960387, 'Yes': -6.0363817, ' No': -6.827464, ' yes': -9.180468}
{' Yes': -0.002876383, ' No': -6.3621845, 'Yes': -6.806814, ' yes': -11.316496, ' YES': -12.076285}
{' Yes': -0.00137407, 'Yes': -7.1057343, ' No': -8.227476, ' Super': -8.635862, ' YES': -10.896347}
{' Yes': -0.14010648, ' No': -2.0557635, 'Yes': -6.4194317, ' Nope': -7.774779, 'No': -7.871123}
{' Yes': -0.6585344, ' No': -0.7366365, ' Nope': -5.995385, 'No': -7.649319, 'Yes': -7.74115}
