{' Yes': -0.0061298776, 'Yes': -5.340942, ' Generally': -7.020786, ' yes': -8.552528, ' An': -10.049665}
{' Yes': -0.08641401, 'Yes': -3.0503538, ' No': -4.0079594, ' Generally': -4.7259765, 'No': -5.5736475}
{' Yes': -0.034205623, 'Yes': -3.445657, ' yes': -7.284787, ' Generally': -7.6960816, ' ': -8.564994}
{' Yes': -0.055695586, 'Yes': -3.0293489, ' No': -6.465615, ' Generally': -6.61245, ' yes': -7.172594}
{' Yes': -0.07745982, 'Yes': -2.8205168, ' Generally': -5.1774697, ' No': -5.636408, ' yes': -6.5625525}
{' Yes': -0.10434279, 'Yes': -2.8923979, ' No': -3.5858262, 'No': -5.206455, ' Generally': -5.3171053}
{' Yes': -0.011022017, 'Yes': -4.6587133, ' yes': -7.2579465, ' Generally': -7.828882, ' No': -9.115441}
{' Yes': -0.011226757, 'Yes': -4.5958004, ' yes': -7.458238, ' ': -8.890877, ' Generally': -8.896055}
{' Yes': -0.021012511, 'Yes': -4.2264757, ' Generally': -5.564769, ' yes': -7.069913, ' No': -7.474294}
{' Yes': -0.017678605, 'Yes': -4.237994, ' Generally': -6.6891503, ' yes': -6.838544, ' No': -8.683373}
{' Yes': -0.13267948, 'Yes': -2.495566, ' Generally': -3.777571, ' No': -5.122992, 'No': -5.770269}
{' No': -1.259448, 'No': -1.6332045, ' Yes': -1.8516263, ' It': -2.1755857, ' Generally': -2.288165}
{' Yes': -0.25532144, 'Yes': -2.3357105, ' Generally': -2.8223188, ' No': -3.8996685, 'No': -4.431513}
{' Yes': -1.1849742, ' No': -1.4881109, 'No': -1.7430471, ' Generally': -2.459331, 'Yes': -2.7770627}
{' Yes': -0.04293733, 'Yes': -3.6573553, ' No': -4.8238645, ' yes': -5.59635, ' Generally': -6.1557775}
{' Yes': -0.07855002, 'Yes': -3.5608878, ' No': -3.581674, ' Generally': -4.7205024, 'No': -5.5834613}
{' Yes': -0.04958675, 'Yes': -3.4195397, ' Generally': -5.399055, ' No': -5.607593, ' yes': -5.6272397}
{' Yes': -0.07369558, 'Yes': -2.9999764, ' yes': -5.1330338, ' No': -5.172059, ' Generally': -5.5703244}
{' Yes': -0.0306894, ' yes': -3.891441, 'Yes': -4.885767, ' ': -6.9694633, ' YES': -7.7065845}
{' Yes': -0.042291258, ' yes': -3.5709414, 'Yes': -4.6870437, ' ': -6.25304, '\n': -6.7029805}
{' Yes': -0.028932896, ' yes': -3.868269, 'Yes': -5.1298985, ' YES': -7.247415, ' ': -7.716709}
{' Yes': -0.06871317, ' yes': -2.8915927, 'Yes': -4.819072, ' ': -7.1737247, '\n': -7.200933}
{' Yes': -0.036785457, 'Yes': -3.619955, ' yes': -5.1745896, '\n': -6.6092434, ' ': -6.7325535}
{' Yes': -0.03918569, 'Yes': -3.7967176, ' yes': -5.1062517, '\n': -5.8472633, ' ': -6.005562}
{' Yes': -0.0390448, 'Yes': -3.5819068, ' yes': -5.355537, ' Generally': -6.280727, '\n': -6.4761043}
{' Yes': -0.046124194, 'Yes': -3.7142854, ' yes': -4.447846, ' Generally': -5.6292706, '\n': -6.208965}
{' Yes': -0.09199074, 'Yes': -2.8556242, '\n': -4.026822, ' yes': -4.9365034, ' ': -5.6549234}
{' Yes': -0.10983066, 'Yes': -2.8417966, '\n': -3.4607732, ' ': -4.9898167, ' yes': -5.175136}
{' Yes': -0.08389305, 'Yes': -2.9814336, '\n': -4.0432777, ' yes': -5.0742054, ' ': -5.938373}
{' Yes': -0.12053175, 'Yes': -2.7289052, '\n': -3.6992328, ' yes': -4.131071, ' ': -5.582085}
{' Yes': -0.013272504, 'Yes': -4.598281, ' yes': -6.0210404, '\n': -8.384856, ' ': -8.495955}
{' Yes': -0.01448658, 'Yes': -4.5496063, ' yes': -5.861681, ' ': -7.9599347, '\n': -7.9929934}
{' Yes': -0.014309162, 'Yes': -4.6284866, ' yes': -5.783645, ' Generally': -7.400549, '\n': -8.415225}
{' Yes': -0.016043013, 'Yes': -4.591919, ' yes': -5.329933, ' Generally': -8.122704, '\n': -8.587539}
{' Yes': -0.20392613, 'Yes': -2.0155313, '\n': -3.7157714, ' yes': -4.2468085, ' ': -5.0014777}
{' Yes': -0.25993115, 'Yes': -2.1627917, '\n': -2.811323, ' No': -3.9383137, ' ': -4.51447}
{' Yes': -0.5813484, ' No': -1.6617126, '\n': -2.5300827, 'Yes': -2.6091557, 'No': -2.773607}
{' Yes': -0.31619316, 'Yes': -2.2185597, ' No': -2.9287724, '\n': -3.0955107, ' yes': -3.6430333}
{' Yes': -0.09270931, ' yes': -2.8758893, 'Yes': -3.74231, '\n': -5.633384, ' ': -6.088006}
{' Yes': -0.09761462, ' yes': -2.753998, 'Yes': -4.1606565, '\n': -5.0329294, ' ': -5.5018673}
{' Yes': -0.09005181, ' yes': -2.8939495, 'Yes': -3.8570766, '\n': -5.604644, ' YES': -6.2547903}
{' Yes': -0.1778626, ' yes': -2.0043664, 'Yes': -4.035601, '\n': -5.700882, 'yes': -6.210014}
{' Yes': -0.0066481032, 'Yes': -5.369382, '\n': -7.257203, ' yes': -7.5045633, ' ': -7.6834116}
{' Yes': -0.010995137, 'Yes': -5.050641, '\n': -6.20877, ' ': -6.9251623, ' yes': -7.0740695}
{' Yes': -0.00886618, 'Yes': -5.74833, '\n': -6.2380238, ' Generally': -6.4323063, ' ': -7.015608}
{' Yes': -0.009454416, 'Yes': -5.4322824, '\n': -6.556886, ' yes': -6.605453, ' Generally': -6.8739233}
{' Yes': -0.028937742, 'Yes': -3.9009485, '\n': -5.5606833, ' ': -6.1594915, ' yes': -6.9658175}
{' Yes': -0.034360196, 'Yes': -3.9259214, '\n': -4.9959707, ' ': -5.593978, ' Generally': -6.8049135}
{' Yes': -0.073516645, ' No': -3.82023, 'Yes': -4.16093, '\n': -4.2523665, ' Generally': -4.6328807}
{' Yes': -0.07394392, 'Yes': -3.8198695, ' No': -4.1033683, '\n': -4.3271465, ' Generally': -4.9211173}
{' Yes': -0.029367866, 'Yes': -4.0169888, '\n': -5.1875362, ' ': -5.645573, ' yes': -7.084716}
{' Yes': -0.04323634, 'Yes': -3.9971073, '\n': -4.355938, ' ': -5.1130815, ' A': -6.1716175}
{' Yes': -0.0352197, 'Yes': -4.2233605, '\n': -5.085892, ' No': -5.4402657, ' ': -5.6153684}
{' Yes': -0.059897292, 'Yes': -3.930676, '\n': -4.233012, ' No': -4.599927, ' ': -5.1205125}
{' Yes': -0.004977711, 'Yes': -5.7940784, ' ': -6.9480414, '\n': -7.531568, ' yes': -8.242072}
{' Yes': -0.011952645, 'Yes': -5.0847597, '\n': -5.940127, ' ': -6.06244, ' yes': -7.697882}
{' Yes': -0.017683277, 'Yes': -5.518894, ' Generally': -5.519861, ' No': -5.7560725, '\n': -5.8774543}
{' Yes': -0.014163941, 'Yes': -4.963287, '\n': -5.8356338, ' ': -6.1858153, ' yes': -6.7682586}
{' Yes': -0.061137423, 'Yes': -3.8547602, ' No': -3.8817358, '\n': -4.8645678, ' ': -4.982394}
{' Yes': -0.05858008, 'Yes': -3.7732902, ' No': -4.407125, '\n': -4.6979995, ' ': -4.84966}
{' Yes': -0.7153134, ' No': -0.78169286, 'No': -3.905642, 'Yes': -4.719851, ' ': -4.732722}
{' Yes': -0.15647164, ' No': -2.4972177, 'Yes': -3.668257, '\n': -4.20796, ' ': -4.577404}
{' Yes': -0.017235769, 'Yes': -4.821402, '\n': -5.8674016, ' yes': -5.879708, ' ': -5.894431}
{' Yes': -0.029446501, 'Yes': -4.5319433, ' yes': -4.9289045, '\n': -5.3337464, ' ': -5.392531}
{' Yes': -0.026528135, 'Yes': -4.6273007, ' yes': -5.5878515, ' No': -5.711394, '\n': -5.77661}
{' Yes': -0.029568601, 'Yes': -4.4104276, ' yes': -4.507266, ' ': -6.385711, '\n': -6.4991155}
{' Yes': -0.26682755, ' No': -1.5461854, ' Generally': -4.4296327, 'Yes': -5.553557, 'No': -5.7358007}
{' Yes': -0.010548502, 'Yes': -5.326176, ' No': -5.9146123, ' Generally': -6.484116, ' A': -7.265702}
{' Yes': -0.42111275, ' No': -1.2810657, ' Generally': -3.0221202, 'No': -5.1355824, 'Yes': -5.4833074}
{' Yes': -0.6912297, ' No': -1.1731366, ' Generally': -1.9476365, ' Cats': -4.594409, 'No': -5.106626}
{' No': -0.090106465, 'No': -2.838239, ' Generally': -4.376548, ' Yes': -4.398454, ' A': -7.0684896}
{' Yes': -0.5633252, ' No': -1.0242302, 'No': -3.581609, ' Generally': -3.8751576, 'Yes': -4.3892913}
{' No': -0.18568511, ' Yes': -2.4864357, 'No': -2.9138553, ' Generally': -3.8888555, ' Cats': -5.0366163}
{' No': -0.601979, ' Yes': -1.2059256, ' Generally': -3.0388513, 'No': -3.1153934, ' Cats': -3.6444175}
{' No': -0.06989921, 'No': -2.7921796, ' Yes': -6.487814, '\n': -6.524416, ' ': -6.6164365}
{' No': -0.2982375, ' Yes': -1.7213598, 'No': -2.8669057, 'Yes': -5.357928, ' A': -5.3757997}
{' No': -0.0752729, 'No': -3.0773253, ' Yes': -4.396861, ' Cats': -5.205745, ' Generally': -5.580338}
{' No': -0.2851432, ' Yes': -1.9437584, 'No': -2.9224014, ' Cats': -4.2898846, ' Generally': -4.4450097}
{' No': -0.12839386, ' Yes': -2.474322, 'No': -3.9439247, ' Generally': -4.4344487, ' A': -5.7152987}
{' Yes': -0.4119645, ' No': -1.1873972, ' A': -4.6589985, ' Generally': -4.7749405, 'No': -4.9529495}
{' No': -0.13064966, ' Yes': -2.6351624, 'No': -3.6065826, ' Cats': -4.3855724, ' Generally': -4.7631264}
{' No': -0.12655103, ' Yes': -2.8406928, 'No': -3.7292216, ' Generally': -3.9987986, ' Cats': -4.364134}
{' No': -0.117656864, 'No': -2.4187527, ' Generally': -4.5437107, '\n': -5.63273, ' ': -5.7643147}
{' No': -0.13991086, 'No': -2.2268784, ' Generally': -4.910081, '\n': -5.6159315, ' ': -5.7616086}
{' No': -0.1303731, 'No': -2.7574904, ' Cats': -4.267688, ' Generally': -4.3061466, ' Yes': -4.451386}
{' No': -0.14631735, 'No': -2.3538826, ' Generally': -4.7828126, '\n': -5.049633, ' Yes': -5.241221}
{' No': -0.18676062, 'No': -2.798571, ' Yes': -2.8393238, ' Generally': -3.1775784, ' A': -6.0769167}
{' Yes': -0.05813834, 'Yes': -4.0746365, ' Generally': -4.1824512, ' No': -4.4506173, ' A': -5.0853424}
{' No': -0.16384204, 'No': -2.6365154, ' Yes': -3.2433784, ' Generally': -3.972535, ' Cats': -4.318028}
{' No': -0.76400065, ' Yes': -1.0516441, ' Cats': -2.9463515, 'No': -3.0367723, ' Generally': -3.26436}
{' No': -0.013280721, 'No': -4.638313, ' ': -6.4350576, ' Yes': -7.1653624, '\n': -7.405119}
{' No': -0.16927092, ' Yes': -2.0141156, ' A': -4.7095747, 'No': -5.185191, ' ': -5.327903}
{' No': -0.21250568, ' Yes': -1.7124963, 'No': -5.300844, ' ': -6.1807575, '\n': -6.255221}
{' No': -0.6151546, ' Yes': -0.85251075, ' Generally': -4.4339585, ' C': -5.1810308, 'No': -5.565012}
{' No': -0.08291525, 'No': -2.66388, '\n': -5.183959, ' ': -5.880564, ' A': -7.216389}
{' No': -0.05827683, 'No': -3.0630279, '\n': -5.597585, ' ': -5.9367285, ' A': -5.9707847}
{' No': -0.05055601, 'No': -3.189876, ' ': -5.7578654, '\n': -5.896288, ' Cats': -6.834293}
{' No': -0.04966568, 'No': -3.325716, ' ': -5.869013, '\n': -6.0732803, ' Cats': -6.1542964}
{' No': -0.17680615, 'No': -2.3888233, '\n': -2.8916593, ' ': -4.395684, ' A': -6.6426644}
{' No': -0.14144482, 'No': -2.6804464, '\n': -3.0104175, ' ': -4.522163, ' A': -6.00802}
{' No': -0.2548369, '\n': -2.0079896, 'No': -2.703449, ' ': -4.014658, ' Cats': -6.364395}
{' No': -0.19733503, '\n': -2.3219001, 'No': -2.758437, ' ': -4.2989774, ' Cats': -7.0594716}
{' No': -0.012731943, 'No': -4.5150933, ' ': -6.603462, '\n': -8.435505, ' A': -10.050772}
{' No': -0.012844777, 'No': -4.52228, ' ': -6.6175103, ' A': -8.237276, '\n': -8.691001}
{' No': -0.016873203, 'No': -4.28889, ' Yes': -6.558385, ' ': -7.4438925, ' Cats': -7.587008}
{' No': -0.011505039, 'No': -4.5462894, ' ': -7.816268, ' Cats': -8.734108, '\n': -9.5975275}
{' No': -0.28510833, 'No': -1.5726565, '\n': -3.694634, ' ': -4.427368, ' NO': -6.7276936}
{' No': -0.2785985, 'No': -1.5671974, '\n': -4.0213814, ' ': -4.508852, ' A': -5.5663652}
{' No': -0.26930922, 'No': -1.6449251, '\n': -3.6624458, ' ': -4.524063, ' NO': -5.8292103}
{' No': -0.22894433, 'No': -1.7213702, '\n': -4.2051883, ' ': -4.9141183, ' Cats': -6.873009}
{' No': -0.06812138, 'No': -3.0056021, ' ': -4.9850016, ' A': -5.769507, '\n': -5.887787}
{' No': -0.57572466, ' Yes': -1.1350948, ' A': -2.8830612, 'No': -3.7141182, ' ': -4.01875}
{' No': -0.07062337, 'No': -3.2180269, ' Yes': -5.020369, ' ': -5.0222344, ' Cats': -5.3556}
{' No': -0.06305821, 'No': -3.4853926, ' Cats': -5.029599, ' ': -5.226057, ' Yes': -5.2786264}
{' No': -0.16599543, 'No': -1.9678141, ' A': -5.5617237, ' Generally': -5.941128, ' ': -6.341132}
{' No': -0.20653868, 'No': -2.1861567, ' Yes': -3.27374, ' A': -3.7339225, ' Generally': -5.728699}
{' No': -0.1711917, 'No': -2.1455092, ' Yes': -4.6535277, ' Cats': -4.752664, ' Generally': -5.466265}
{' No': -0.17809412, 'No': -2.161029, ' Yes': -4.365813, ' Generally': -5.0515957, ' Cats': -5.110566}
{' No': -0.084867716, 'No': -2.5385687, ' Yes': -6.8886275, ' Generally': -7.504547, ' ': -7.7358336}
{' No': -0.101816, 'No': -2.3704295, ' Yes': -6.2862887, ' ': -7.4794765, ' Generally': -7.56758}
{' No': -0.24722199, 'No': -2.0568628, ' Yes': -2.5859022, ' Generally': -4.701762, 'Yes': -5.484523}
{' No': -0.18713477, 'No': -1.9826363, ' Yes': -3.9049995, ' Generally': -4.8837824, 'Yes': -6.551813}
{' No': -0.14026976, 'No': -2.1105206, ' Yes': -5.014913, ' Generally': -7.0295057, ' ': -7.0381594}
{' No': -0.25823125, 'No': -2.095361, ' Yes': -2.4064436, 'Yes': -5.170701, ' ': -5.756318}
{' No': -0.25789872, 'No': -1.7848914, ' Yes': -3.1362383, ' Generally': -5.2354207, 'Yes': -5.561015}
{' No': -0.23636228, 'No': -1.9658792, ' Yes': -3.004476, ' Generally': -5.01823, 'Yes': -5.4888144}
{' No': -0.03228385, 'No': -3.4991777, ' Yes': -7.695115, ' ': -7.937292, ' Generally': -8.441051}
{' No': -0.20427474, ' Yes': -1.8656174, 'No': -3.718118, 'Yes': -5.891565, ' A': -6.7525473}
{' No': -0.22530264, ' Yes': -1.8612317, 'No': -3.3148146, 'Yes': -5.7330637, ' Generally': -5.8968415}
{' No': -0.37323937, ' Yes': -1.3640459, 'No': -3.410854, ' Generally': -4.799173, 'Yes': -5.0710673}
{' No': -0.44262213, 'No': -1.0753505, ' Generally': -4.6360464, '\n': -6.2548466, ' A': -6.537543}
{' No': -0.5400831, 'No': -0.98915124, ' Generally': -3.9369338, ' It': -5.0396194, ' A': -5.2175875}
{' No': -0.4649836, 'No': -1.1528307, ' Generally': -3.691977, ' Cats': -4.4781957, '\n': -5.021891}
{' No': -0.5627514, 'No': -0.91691554, ' Generally': -4.736096, ' Cats': -5.6099334, 'C': -5.6536336}
{' No': -0.08526145, 'No': -2.5972319, ' Yes': -6.2983303, '\n': -6.5404725, ' ': -6.6773343}
{' No': -0.08876205, 'No': -2.681877, ' Yes': -4.8316627, ' Generally': -5.549651, ' A': -6.0676174}
{' No': -0.18853179, 'No': -2.0295522, ' Yes': -3.8842444, ' Cats': -4.9083943, ' Generally': -5.1381383}
{' No': -0.16155714, 'No': -2.1091604, ' Yes': -4.762159, ' Generally': -5.2351913, ' Cats': -5.32462}
{' No': -0.020421695, 'No': -4.3830066, ' ': -5.354051, ' no': -6.8279853, '\n': -6.835394}
{' No': -0.06855504, ' Yes': -3.5238922, 'No': -4.401656, ' ': -4.541106, ' A': -4.9621816}
{' No': -0.036359787, ' Yes': -3.9032152, 'No': -4.6569724, ' ': -5.754053, '\n': -7.0357966}
{' Yes': -0.69335765, ' No': -0.7979739, ' yes': -4.012045, ' ': -4.5397134, 'No': -5.1976237}
{' No': -0.12087319, 'No': -2.2822845, '\n': -5.13581, ' ': -5.5447354, ' A': -7.3791595}
{' No': -0.116541415, 'No': -2.402493, '\n': -5.0848107, ' A': -5.200991, ' ': -5.3322015}
{' No': -0.10125336, 'No': -2.5012567, '\n': -4.871589, ' ': -5.627773, ' Yes': -7.0545826}
{' No': -0.11851906, 'No': -2.550339, ' Yes': -4.6134357, '\n': -4.8158665, ' ': -5.4206467}
{' No': -0.24210806, 'No': -2.089131, '\n': -2.5752304, ' ': -4.46658, ' A': -6.60214}
{' No': -0.27342153, 'No': -2.0185251, '\n': -2.3801074, ' ': -4.532655, ' A': -6.324504}
{' No': -0.33990237, '\n': -1.7824302, 'No': -2.3000329, ' ': -4.3077207, ' NO': -6.47432}
{' No': -0.38668618, '\n': -1.7448691, 'No': -2.1964262, ' ': -4.169638, ' Yes': -4.603702}
{' No': -0.027660487, 'No': -3.696064, ' ': -6.627788, '\n': -7.2380924, ' no': -8.522746}
{' No': -0.04269165, 'No': -3.3276074, ' Yes': -6.2322702, ' ': -6.292577, '\n': -6.8385015}
{' No': -0.034188844, 'No': -3.4630752, ' ': -7.3050065, '\n': -7.4193797, ' Yes': -8.070776}
{' No': -0.1650173, ' Yes': -2.145223, 'No': -3.6684525, 'Yes': -6.1181464, ' Generally': -6.6421905}
{' No': -0.33721954, 'No': -1.434439, '\n': -3.3882551, ' ': -4.6855807, ' no': -6.1916323}
{' No': -0.376021, 'No': -1.3219895, '\n': -3.3001294, ' ': -4.8894844, ' no': -6.9814396}
{' No': -0.31436226, 'No': -1.6414304, '\n': -2.807076, ' ': -4.7058854, ' NO': -6.101978}
{' No': -0.28729045, 'No': -1.5857408, '\n': -3.442038, ' ': -4.8989353, ' no': -5.8919334}
{' No': -0.09889762, 'No': -2.789268, '\n': -4.289374, ' ': -4.8197417, ' no': -5.058987}
{' No': -0.08757108, 'No': -2.9747493, '\n': -4.3192105, ' ': -4.926128, ' A': -5.2185826}
{' No': -0.103928566, 'No': -2.967097, '\n': -3.8614721, ' ': -4.946707, ' no': -4.9833517}
{' No': -0.18081449, 'No': -2.8796124, ' Yes': -3.286985, '\n': -3.7879596, ' no': -4.547918}
{' No': -0.01835813, 'No': -4.5115542, '\n': -5.5978503, ' ': -6.0419593, ' Yes': -7.839824}
{' No': -0.0649578, ' Yes': -3.4968596, 'No': -4.3387575, '\n': -4.708274, ' A': -5.2668676}
{' No': -0.025176382, '\n': -4.5244474, 'No': -4.83798, ' ': -5.723148, ' Yes': -6.0680513}
{' No': -0.09566704, ' Yes': -2.8516293, 'No': -4.466028, ' Generally': -4.98464, '\n': -5.1219234}
{' No': -0.08222175, 'No': -2.8676295, '\n': -4.1348414, ' ': -5.2470355, ' A': -8.017081}
{' No': -0.066387914, 'No': -3.0157113, '\n': -4.7720494, ' ': -5.463828, ' A': -6.223675}
{' No': -0.079362996, 'No': -3.1308596, '\n': -3.6663058, ' ': -5.2171326, ' Cats': -7.30646}
{' No': -0.06825054, 'No': -3.2609098, '\n': -4.0619717, ' ': -5.251564, ' Cats': -5.852351}
{' No': -0.08277629, 'No': -2.9650357, '\n': -3.894994, ' ': -5.1161113, ' A': -7.100611}
{' No': -0.09103418, 'No': -3.0798702, '\n': -3.55118, ' ': -4.773136, ' A': -5.782362}
{' No': -0.07882447, 'No': -3.374141, '\n': -3.4557161, ' ': -4.887521, ' Cats': -6.687475}
{' No': -0.07522368, 'No': -3.4061103, '\n': -3.584131, ' ': -4.8974037, ' Cats': -6.287429}
{' No': -0.015895423, 'No': -4.6355357, ' ': -5.614923, '\n': -6.091716, ' A': -9.455692}
{' No': -0.029739656, 'No': -4.085591, ' ': -5.1058598, '\n': -5.270056, ' A': -6.9783015}
{' No': -0.023001222, 'No': -4.3223825, '\n': -5.195898, ' ': -5.650942, ' Cats': -8.728231}
{' No': -0.03214295, 'No': -3.9384234, '\n': -5.2085996, ' ': -5.461254, ' Cats': -6.7797546}
{' No': -0.051927876, 'No': -3.2435248, '\n': -5.0489335, ' ': -5.3406506, ' A': -8.965626}
{' No': -0.054323677, 'No': -3.234215, '\n': -4.817488, ' ': -5.332968, ' A': -7.800322}
{' No': -0.035470217, 'No': -3.631612, ' ': -5.437417, '\n': -5.6315203, ' Cats': -8.673754}
{' No': -0.06395502, 'No': -3.1271818, '\n': -4.6566367, ' ': -5.031379, ' Cats': -6.868204}
{' No': -0.060668707, 'No': -3.5431345, '\n': -4.364322, ' ': -4.4676585, ' Yes': -5.842492}
{' No': -0.54847497, ' Yes': -1.1797463, ' A': -3.3230548, '\n': -3.5354898, ' ': -3.6544087}
{' No': -0.04513243, 'No': -3.58783, '\n': -5.0998654, ' ': -5.211455, ' Yes': -6.1028047}
{' No': -0.1612652, ' Yes': -2.428069, 'No': -3.6212084, ' ': -4.9363027, ' Cats': -4.9474015}
{' Yes': -0.004132424, 'Yes': -5.663192, ' Generally': -8.119006, ' yes': -8.353616, ' ': -10.876872}
{' Yes': -0.019172754, 'Yes': -4.8289814, ' No': -5.0335827, ' Generally': -6.319059, ' An': -7.1843247}
{' Yes': -0.0097121615, 'Yes': -5.300493, ' Generally': -5.909788, ' No': -7.1926494, ' Ant': -7.8774066}
{' Yes': -0.01058332, 'Yes': -4.846257, ' Generally': -6.529752, ' yes': -7.5752997, ' Ant': -8.789128}
{' Yes': -0.019622346, 'Yes': -4.144143, ' Generally': -6.1969576, ' yes': -7.253675, ' ': -8.478155}
{' Yes': -0.02285632, 'Yes': -3.958178, ' Generally': -6.453102, ' yes': -7.4519763, ' An': -8.110647}
{' Yes': -0.017430384, 'Yes': -4.1424723, ' Generally': -7.8985353, ' yes': -8.031846, ' No': -8.24327}
{' Yes': -0.013539031, 'Yes': -4.368607, ' yes': -7.8268228, ' Generally': -8.785679, ' ': -8.879723}
{' Yes': -0.021614578, 'Yes': -3.987908, '\n': -6.9994874, ' yes': -7.202761, ' ': -7.577992}
{' Yes': -0.019058047, 'Yes': -4.219135, '\n': -6.122039, ' ': -7.046985, ' yes': -7.6711936}
{' Yes': -0.031872228, 'Yes': -3.5737708, ' No': -6.990429, ' ': -7.4747887, ' Generally': -7.581169}
{' Yes': -0.023144867, 'Yes': -3.837762, ' yes': -7.627576, ' ': -7.9811325, '\n': -8.647115}
{' Yes': -0.0057141837, 'Yes': -5.369407, ' Generally': -7.823557, ' yes': -8.097491, ' An': -8.8101845}
{' Yes': -0.007492387, 'Yes': -5.0948963, ' An': -7.776312, ' yes': -8.047676, ' Generally': -8.342043}
{' Yes': -0.010348655, 'Yes': -4.9768095, ' No': -6.292007, ' Ant': -7.4544153, ' Generally': -7.843375}
{' Yes': -0.008159719, 'Yes': -5.0031943, ' Generally': -7.459977, ' yes': -7.5535693, ' Ant': -8.643947}
{' Yes': -0.1741542, ' No': -2.468933, 'Yes': -3.7619, ' Generally': -4.0167937, 'No': -4.605219}
{' Yes': -0.7671446, ' No': -0.89357704, 'No': -2.7757008, '\n': -3.8904147, 'Yes': -3.9799094}
{' Yes': -0.07349689, 'Yes': -3.0940542, ' No': -4.772764, ' Generally': -5.4693956, '\n': -5.764245}
{' Yes': -0.044193406, 'Yes': -3.431633, '\n': -6.220679, ' No': -6.2590203, ' ': -6.27714}
{' Yes': -0.021215718, 'Yes': -4.2123456, ' Generally': -5.8277454, ' yes': -6.627948, ' ': -7.651213}
{' Yes': -0.031094449, 'Yes': -3.7074878, ' Generally': -6.0678444, ' yes': -6.5769057, ' ': -7.3485527}
{' Yes': -0.029836003, 'Yes': -3.8001566, ' Generally': -6.2774773, ' No': -6.599407, ' yes': -6.69165}
{' Yes': -0.026790807, 'Yes': -3.7975214, ' yes': -6.2470436, ' Generally': -7.047838, ' ': -7.6740885}
{' Yes': -0.0063232435, 'Yes': -5.471466, ' yes': -6.5916348, ' ': -7.970319, ' YES': -8.622411}
{' Yes': -0.004274284, 'Yes': -5.8844433, ' yes': -7.231729, ' ': -8.072849, '\n': -8.226576}
{' Yes': -0.0042198733, 'Yes': -5.835177, ' yes': -7.3509545, ' ': -8.373325, '\n': -8.445032}
{' Yes': -0.0060723075, 'Yes': -5.5083976, ' yes': -6.863421, '\n': -7.907895, ' ': -8.033992}
{' Yes': -0.025232311, 'Yes': -3.9488466, ' yes': -6.523803, ' ': -6.7600794, '\n': -6.8317575}
{' No': -0.12040744, 'No': -2.9773924, ' Yes': -3.2454338, '\n': -4.8235703, ' An': -5.3154907}
{' Yes': -0.016831014, 'Yes': -4.288712, ' yes': -7.086622, ' No': -7.249031, ' ': -7.4522266}
{' Yes': -0.01995861, 'Yes': -4.1200004, ' yes': -6.567225, ' ': -7.0880027, '\n': -7.314602}
{' Yes': -0.0772484, 'Yes': -3.34332, '\n': -3.595084, ' ': -5.020316, ' yes': -6.067289}
{' No': -0.4588334, '\n': -2.030504, ' Yes': -2.1502397, 'No': -2.5797515, ' ': -3.990188}
{' Yes': -0.23233502, '\n': -2.4486969, ' No': -2.7226763, 'Yes': -3.4822776, ' ': -4.3073373}
{' Yes': -0.085757226, 'Yes': -3.1254487, '\n': -3.5922458, ' ': -4.933701, ' yes': -6.0062838}
{' Yes': -0.0059420625, 'Yes': -5.328379, ' yes': -7.3346977, ' ': -8.312825, ' YES': -9.258748}
{' Yes': -0.007202136, 'Yes': -5.5897408, ' No': -6.0698447, ' ': -7.738699, ' yes': -7.7841296}
{' Yes': -0.0046636323, 'Yes': -5.7436333, ' No': -7.080976, ' yes': -8.086573, ' ': -8.686295}
{' Yes': -0.0038052683, 'Yes': -5.703298, ' yes': -8.0431, ' ': -9.274199, '\n': -10.718041}
{' No': -0.9694887, ' Yes': -0.9824549, 'No': -2.1466413, 'Yes': -2.8218157, '\n': -3.4359677}
{' No': -0.35743338, 'No': -1.4319191, '\n': -3.6352577, ' Yes': -4.442704, ' ': -4.5093336}
{' Yes': -0.57818615, ' No': -1.3540537, 'Yes': -2.553667, 'No': -2.7974145, '\n': -3.9318542}
{' Yes': -0.17743835, 'Yes': -2.0279746, '\n': -4.597917, ' ': -4.878442, ' yes': -5.1763506}
{' Yes': -0.03222648, 'Yes': -4.1018806, ' yes': -4.5014205, ' ': -6.472914, ' YES': -6.561992}
{' Yes': -0.028427282, 'Yes': -4.17474, ' yes': -4.7551136, ' ': -6.356238, '\n': -7.306241}
{' Yes': -0.036383897, 'Yes': -4.01209, ' yes': -4.4222727, ' YES': -5.8448954, ' ': -6.5608497}
{' Yes': -0.03367163, 'Yes': -4.0870657, ' yes': -4.3890066, ' ': -6.4250026, '\n': -7.2150717}
{' Yes': -0.06530808, 'Yes': -3.0876966, ' yes': -4.3408895, ' Generally': -6.511549, ' An': -7.198148}
{' Yes': -0.07387133, 'Yes': -3.0261016, ' yes': -4.1730037, ' No': -6.4257946, ' Generally': -6.6326084}
{' Yes': -0.11166774, 'Yes': -2.8104897, ' yes': -3.32621, ' Ant': -6.0773115, ' Generally': -6.455199}
{' Yes': -0.11055283, 'Yes': -2.7417724, ' yes': -3.4602308, ' Generally': -6.2507734, ' AN': -6.6160026}
{' Yes': -0.02973143, 'Yes': -3.6714303, ' yes': -5.720662, ' ': -8.80638, 'yes': -8.943032}
