{' Right': -0.039885, ' Left': -3.3768294, ' right': -5.4826035, ' left': -7.4533596, 'Right': -8.778944}
{' Left': -0.07669917, ' Right': -3.1810923, ' left': -3.481177, ' right': -6.924675, 'Left': -8.057692}
{' Left': -0.12583254, ' Right': -2.5266943, ' left': -3.3538063, ' right': -5.9224577, 'Left': -8.026924}
{' Right': -0.054029517, ' right': -3.1232848, ' Left': -4.933428, 'Right': -7.5835953, ' left': -7.5897155}
{' Left': -0.063493624, ' left': -2.8026521, 'Left': -7.708442, 'left': -8.120086, ' Right': -9.089992}
{' Left': -0.01751342, ' left': -4.3359833, ' Right': -5.9620185, 'Left': -6.635803, 'left': -7.9565945}
{' Left': -0.022703206, ' left': -4.2697864, ' Right': -5.0403194, 'Left': -6.6060743, 'left': -7.481857}
{' Right': -0.046712093, ' Left': -3.3574631, ' right': -4.8827677, 'Right': -6.281903, ' left': -7.243456}
{' Left': -0.041117553, ' left': -3.2796125, 'Left': -6.312664, 'left': -7.1311307, ' "': -11.449624}
{' Left': -0.118300185, ' Right': -2.2614315, ' left': -5.0101457, ' right': -7.9329915, 'Left': -8.4981}
{' Left': -0.010562535, ' left': -4.809385, ' Right': -6.224477, 'Left': -8.314815, 'left': -9.04387}
{' Right': -0.006623561, ' right': -5.144, ' Left': -7.813573, 'Right': -8.246537, 'right': -9.331756}
{' Left': -0.021129144, ' left': -3.893224, 'Left': -8.1101885, 'left': -8.529523, ' Right': -10.594968}
{' Left': -0.14565866, ' Right': -2.1898994, ' left': -4.2498646, 'Left': -5.1782646, 'Right': -6.533978}
{' Left': -0.10753123, ' Right': -2.6766076, ' left': -3.757592, 'Left': -5.10619, 'left': -6.510971}
{' Right': -0.03964214, ' right': -3.836389, 'Right': -4.2438946, 'right': -5.976121, ' Left': -7.985633}
{' Left': -0.05942176, ' left': -3.064684, 'Left': -4.7335644, 'left': -6.1820064, ' Right': -8.943757}
{' Right': -0.6940935, ' Left': -0.8229597, ' left': -3.294557, ' right': -3.7401824, 'left': -8.608279}
{' Left': -0.55652434, ' Right': -0.93279654, ' left': -3.672491, ' right': -4.865011, 'left': -9.367958}
{' Left': -0.32036653, ' Right': -1.7655053, ' left': -2.389237, ' right': -4.5211186, 'left': -8.229206}
{' Right': -0.22279951, ' Left': -1.9769994, ' right': -3.0379238, ' left': -4.341053, 'right': -9.042627}
{' Left': -0.097192414, ' Right': -3.0661407, ' left': -3.1268687, ' right': -6.8539443, 'left': -7.424707}
{' Left': -0.3063727, ' Right': -1.4211665, ' left': -3.9803743, ' right': -5.7567124, 'left': -8.414876}
{' Left': -0.07827281, ' left': -2.8443232, ' Right': -4.1735754, 'left': -7.367013, 'Left': -7.5450864}
{' Right': -0.3666933, ' Left': -1.2853906, ' right': -4.0446315, ' left': -4.421411, 'Right': -7.6829844}
{' Left': -0.4568646, ' Right': -1.2270025, ' left': -2.8677568, ' right': -4.233814, 'left': -6.81734}
{' Left': -0.10523217, ' Right': -2.6114519, ' left': -3.7110307, ' right': -6.7404113, 'left': -7.858171}
{' Left': -0.09941659, ' left': -2.8189466, ' Right': -3.424701, ' right': -6.836381, 'left': -7.145899}
{' Right': -0.19825165, ' Left': -1.9698772, ' right': -3.5031774, ' left': -4.727289, 'Right': -7.3692284}
{' Left': -0.6411008, ' Right': -1.199935, ' left': -2.1113634, ' right': -2.9872901, 'left': -8.3725}
{' Left': -0.7191432, ' Right': -0.95520985, ' left': -2.5221217, ' right': -3.0502133, 'left': -8.931894}
{' Left': -0.4931198, ' left': -1.207153, ' Right': -2.7379336, ' right': -3.7027621, 'left': -7.6119437}
{' Right': -0.9364651, ' Left': -1.2976731, ' right': -1.5763996, ' left': -2.059817, 'right': -8.421699}
{' Left': -0.06397637, ' Right': -3.332861, ' left': -3.7065008, 'Left': -7.330039, 'left': -7.5873713}
{' Left': -0.050118107, ' Right': -3.6431012, ' left': -3.8679278, 'Left': -6.907648, 'left': -7.5760694}
{' Left': -0.02583839, ' left': -4.0535235, ' Right': -4.961374, 'Left': -7.2174745, 'left': -8.014361}
{' Right': -0.69346184, ' Left': -0.7336268, ' left': -4.441335, ' right': -4.958265, 'Right': -7.539504}
{' Left': -0.42190537, ' Right': -1.1214008, ' left': -4.232658, ' right': -5.648565, 'left': -9.025892}
{' Right': -0.4711418, ' Left': -1.0020866, ' left': -5.3114905, ' right': -5.679052, 'Right': -9.032404}
{' Left': -0.488065, ' Right': -1.0265114, ' left': -3.8143072, ' right': -5.216859, 'left': -8.767513}
{' Right': -0.3415423, ' Left': -1.3035594, ' right': -4.5509844, ' left': -4.972657, 'Right': -8.905734}
{' Left': -0.4234757, ' Right': -1.2383753, ' left': -3.349335, ' right': -4.310612, 'Right': -5.900154}
{' Right': -0.52293754, ' Left': -0.9948957, ' right': -4.035978, ' left': -4.468431, 'Right': -5.2377276}
{' Left': -0.4840209, ' Right': -1.2550743, ' left': -2.8078468, ' right': -3.6751788, 'Right': -5.4007306}
{' Right': -0.47533646, ' Left': -1.2535748, ' right': -2.8880255, ' left': -3.7024078, 'Right': -5.0366635}
{' Left': -0.02618097, ' Right': -4.19974, ' left': -4.5479093, 'Left': -8.822488, 'left': -9.851606}
{' Left': -0.014477327, ' left': -4.2669244, 'Left': -8.708881, ' Right': -9.08721, 'left': -9.582693}
{' Left': -0.04433527, ' left': -3.5840576, ' Right': -4.1939397, ' right': -8.129036, 'Left': -9.00596}
{' Left': -0.02876161, ' left': -3.5838094, ' Right': -8.173851, 'Left': -8.54026, 'left': -9.212271}
{' Left': -0.014370173, ' left': -4.343506, 'Left': -7.3104434, ' Right': -7.7639213, 'left': -8.6279545}
{' Left': -0.018401783, ' left': -4.1007037, ' Right': -6.9819937, 'Left': -7.5968103, 'left': -8.371278}
{' Left': -0.04244529, ' left': -3.213029, ' Right': -7.6633577, 'Left': -7.670037, 'left': -7.9009733}
{' Left': -0.026937567, ' left': -3.686821, 'Left': -7.176996, ' Right': -7.697202, 'left': -8.121776}
{' Left': -0.025909647, ' left': -3.7202356, 'Left': -7.1299667, 'left': -8.076263, ' Right': -8.388519}
{' Left': -0.0488324, ' left': -3.279879, ' Right': -4.7512403, 'Left': -7.312834, 'left': -7.6299586}
{' Left': -0.046948012, ' left': -3.1254296, ' Right': -7.1724434, 'Left': -7.328569, 'left': -7.629614}
{' Left': -0.04157924, ' left': -3.2462184, 'Left': -6.9185953, 'left': -7.5360327, ' Right': -8.286474}
{' Left': -0.23913193, ' left': -1.5560036, ' Right': -6.967546, 'Left': -8.08267, 'left': -8.083706}
{' Left': -0.16742626, ' left': -1.8741904, 'Left': -8.176808, 'left': -8.273484, ' Right': -8.991982}
{' Left': -0.22314382, ' left': -1.6917144, ' Right': -4.335796, ' right': -6.1226377, 'left': -8.142553}
{' Left': -0.38603508, ' left': -1.1417991, 'left': -7.6857023, 'Left': -8.078862, ' Right': -8.626537}
{' Left': -0.03979415, ' left': -3.2889473, 'Left': -6.627183, 'left': -8.004731, ' Right': -9.771371}
{' Left': -0.047805887, ' left': -3.1084478, 'Left': -6.82695, 'left': -7.621444, ' Right': -7.78038}
{' Left': -0.07444688, ' left': -2.65878, 'Left': -6.8920064, 'left': -7.4258657, ' Right': -9.400922}
{' Left': -0.09428217, ' left': -2.4364586, 'Left': -6.411027, 'left': -7.1115203, ' Right': -10.751716}
{' Left': -0.010168237, ' left': -4.6686516, ' Right': -7.7838593, 'Left': -8.307163, 'left': -9.640373}
{' Left': -0.010216288, ' left': -4.622807, 'Left': -8.546958, ' Right': -9.486345, 'left': -9.597231}
{' Left': -0.023934694, ' left': -3.8354409, ' Right': -6.3592787, 'Left': -8.624478, 'left': -9.02501}
{' Left': -0.024083542, ' left': -3.7628984, 'Left': -8.003184, 'left': -8.746793, ' Right': -9.433995}
{' Left': -0.033803247, ' left': -3.6862519, ' Right': -5.316064, 'Left': -5.966361, 'left': -7.471825}
{' Left': -0.038756523, ' left': -3.6250331, ' Right': -4.873666, 'Left': -5.889664, 'left': -7.20489}
{' Left': -0.053113278, ' left': -3.0760815, ' Right': -6.0034704, 'Left': -6.141482, 'left': -7.076632}
{' Left': -0.08240445, ' left': -2.7124188, ' Right': -4.7724657, 'Left': -6.0010157, 'left': -6.6084642}
{' Right': -0.10291031, ' Left': -2.5534391, ' right': -4.1548986, ' left': -5.5414705, 'Right': -8.298625}
{' Left': -0.05241625, ' left': -2.9870915, 'Left': -8.176258, ' Right': -8.373657, 'left': -9.072932}
{' Left': -0.2847311, ' left': -1.5984632, ' Right': -3.1796496, ' right': -5.738922, 'left': -7.692684}
{' Left': -0.23828796, ' left': -1.5560312, 'left': -7.807374, ' Right': -7.916753, 'Left': -8.345849}
{' Right': -0.09006759, ' Left': -2.5784519, ' right': -4.8901486, ' left': -6.3498635, 'Right': -7.2168493}
{' Left': -0.0276793, ' left': -3.639732, 'Left': -7.3836474, 'left': -8.459638, ' Right': -8.500457}
{' Left': -0.113645226, ' left': -2.7300906, ' Right': -3.224525, ' right': -6.961978, 'Left': -7.1952047}
{' Left': -0.06867532, ' left': -2.728675, 'Left': -7.533284, 'left': -7.690648, ' Right': -9.586402}
{' Right': -0.077253036, ' Left': -3.0928454, ' right': -3.7473333, ' left': -5.720681, 'Right': -6.6081233}
{' Left': -0.057136994, ' left': -2.928618, 'Left': -6.725397, 'left': -7.4380627, ' Right': -8.242737}
{' Left': -0.14808646, ' left': -2.2195356, ' Right': -3.702068, 'left': -6.371097, 'Left': -6.5769687}
{' Left': -0.13394617, ' left': -2.09574, 'left': -6.783673, 'Left': -7.0979676, ' Right': -7.861042}
{' Right': -0.20781739, ' Left': -2.095276, ' right': -3.035166, ' left': -4.153834, 'Right': -7.6866784}
{' Left': -0.14508647, ' left': -2.008337, 'Left': -7.77, 'left': -8.3848915, ' Right': -8.651978}
{' Left': -0.41472, ' left': -1.2341781, ' Right': -3.2097332, ' right': -5.0132914, 'left': -7.086446}
{' Left': -0.31814235, ' left': -1.3124833, ' Right': -6.249395, 'left': -7.4087257, ' right': -7.66177}
{' Right': -0.13316078, ' Left': -2.2995386, ' right': -4.1265154, ' left': -5.229327, 'Right': -6.2062635}
{' Left': -0.03965498, ' left': -3.299165, 'Left': -6.4171305, 'left': -8.054784, ' Right': -11.397782}
{' Left': -0.096302465, ' left': -2.4303746, 'Left': -6.1661344, 'left': -6.878797, ' Right': -7.367253}
{' Left': -0.1332286, ' left': -2.1038477, 'Left': -6.5215306, 'left': -6.737374, ' Right': -9.438452}
{' Right': -0.22693424, ' Left': -1.6221942, ' left': -5.9365325, ' right': -5.947459, 'Right': -8.480915}
{' Left': -0.0098605305, ' left': -4.6766047, 'Left': -8.101829, ' Right': -8.856799, 'left': -9.813817}
{' Left': -0.039162256, ' left': -3.3754926, ' Right': -5.6250877, 'Left': -8.039495, 'left': -8.421658}
{' Left': -0.025845237, ' left': -3.7167134, ' Right': -7.062207, 'Left': -8.569836, 'left': -8.87402}
{' Right': -0.04541395, ' right': -3.8540745, ' Left': -4.489485, 'Right': -4.6199436, 'right': -6.653286}
{' Left': -0.053758077, ' left': -3.0792627, 'Left': -5.200486, 'left': -7.197285, ' Right': -9.488805}
{' Left': -0.16151106, ' left': -2.0691113, ' Right': -4.316206, 'Left': -5.224562, 'left': -5.8667264}
{' Left': -0.14904, ' left': -2.080757, ' Right': -5.1123805, 'Left': -5.405481, 'left': -6.042988}
{' Right': -0.032406114, ' Left': -3.5328903, ' right': -6.119179, ' left': -8.1550865, 'Right': -8.808006}
{' Right': -0.18351655, ' Left': -1.8670204, ' right': -4.697875, ' left': -5.6374, 'Right': -8.352944}
{' Right': -0.22968365, ' Left': -1.6604278, ' right': -4.5372624, ' left': -5.4818788, 'Right': -8.685858}
{' Right': -0.025206944, ' Left': -3.9717572, ' right': -5.220151, ' left': -7.835807, 'Right': -8.513045}
{' Right': -0.09578826, ' Left': -2.4924824, ' right': -5.1471057, ' left': -6.457158, 'Right': -6.925142}
{' Right': -0.69994396, ' Left': -0.7487721, ' left': -4.0214543, ' right': -4.5839047, 'Right': -6.99719}
{' Right': -0.36002716, ' Left': -1.3998468, ' right': -3.3438659, ' left': -4.0472026, 'Right': -6.4785533}
{' Right': -0.10545205, ' Left': -2.5501466, ' right': -4.1093907, ' left': -5.63496, 'Right': -6.573225}
{' Right': -0.38864592, ' Left': -1.3565567, ' right': -3.4079864, ' left': -3.7137287, 'Right': -5.7058287}
{' Right': -0.2564355, ' Left': -1.8204232, ' right': -3.2090113, ' left': -4.091278, 'Right': -5.635347}
{' Right': -0.6955418, ' Left': -0.8705258, ' left': -3.1947427, ' right': -3.3596709, 'Right': -5.996535}
{' Right': -0.2233772, ' right': -2.2591057, ' Left': -2.7324235, ' left': -3.9399796, 'Right': -5.2656384}
{' Right': -0.087694764, ' Left': -3.0152493, ' right': -3.5019479, ' left': -5.478873, 'Right': -7.7461414}
{' Right': -0.21170013, ' Left': -2.0920446, ' right': -2.937578, ' left': -4.303943, 'Right': -7.6547728}
{' Right': -0.20594896, ' right': -2.2344408, ' Left': -2.6932518, ' left': -4.564194, 'Right': -7.4790864}
{' Right': -0.0982574, ' right': -2.853266, ' Left': -3.4977307, ' left': -5.353031, 'Right': -7.427744}
{' Left': -0.17110585, ' left': -2.5642219, ' Right': -2.7257113, 'Left': -4.9134517, 'left': -5.7152166}
{' Right': -0.4848007, ' Left': -1.1657355, ' left': -3.397244, ' right': -3.625786, 'Right': -5.1091843}
{' Right': -0.35436234, ' Left': -1.3847464, ' right': -3.8834913, ' left': -4.167099, 'Right': -4.8786845}
{' Left': -0.43215594, ' Right': -1.770638, ' left': -1.9244006, ' right': -4.2983327, 'Left': -4.822336}
{' Right': -0.0061581847, ' Left': -5.6920266, ' right': -6.0967717, 'Right': -7.772944, ' left': -9.9265995}
{' Right': -0.61872894, ' Left': -0.81745744, ' left': -4.3083725, ' right': -5.20685, 'Right': -7.85363}
{' Left': -0.22980973, ' Right': -1.7048559, ' left': -3.8913183, ' right': -6.005366, 'Left': -8.039641}
{' Right': -0.014865099, ' Left': -4.65257, ' right': -5.4258437, 'Right': -7.6655054, ' left': -8.423053}
{' Right': -0.035916507, ' Left': -4.2845488, 'Right': -4.487626, ' right': -4.7154284, 'right': -7.1854753}
{' Right': -0.10413777, ' Left': -3.015057, ' right': -3.5402129, 'Right': -4.245884, ' left': -5.728167}
{' Right': -0.09423377, ' right': -2.9495156, ' Left': -3.9018185, 'Right': -4.402988, 'right': -5.886473}
{' Right': -0.1571779, ' Left': -2.251069, ' right': -3.9780338, 'Right': -4.355609, ' left': -5.171487}
{' Left': -0.04243764, ' left': -3.2172766, ' Right': -6.76862, 'Left': -8.537425, 'left': -9.000265}
{' Right': -0.0019901071, ' right': -6.2982774, 'Right': -8.964264, ' Left': -11.451115, 'right': -12.1436825}
{' Right': -0.12201408, ' Left': -2.2653017, ' right': -4.904191, ' left': -5.675393, 'Right': -8.846014}
{' Right': -0.057643637, ' right': -2.901804, ' Left': -7.180808, 'Right': -8.848673, ' left': -9.064792}
{' Left': -0.035671443, ' left': -3.389713, ' Right': -7.429675, 'Left': -7.7767577, 'left': -8.105977}
{' Right': -0.0025776634, ' right': -6.161576, 'Right': -7.78731, 'right': -10.648976, ' Left': -10.932875}
{' Right': -0.19995514, ' Left': -1.8179953, ' right': -4.516968, ' left': -4.974634, 'Right': -7.3679028}
{' Right': -0.04722535, ' right': -3.103652, 'Right': -7.4747057, ' Left': -7.9132776, 'right': -8.309411}
{' Left': -0.09011716, ' left': -2.4792218, ' Right': -7.0116005, 'Left': -7.196826, 'left': -7.30481}
{' Right': -0.0077766567, ' right': -4.9994755, 'Right': -7.0494657, 'right': -9.396944, ' Left': -10.908466}
{' Left': -0.14351945, ' left': -2.4074564, ' Right': -3.2404222, ' right': -6.3126416, 'Left': -6.7328625}
{' Right': -0.035893403, ' right': -3.3840568, 'Right': -6.9180374, 'right': -8.100477, ' RIGHT': -10.981804}
{' Left': -0.29777017, ' left': -1.3821932, ' Right': -5.28207, ' right': -7.1767926, 'left': -7.9236093}
{' Right': -0.044609517, ' right': -3.144524, 'Right': -7.7710896, 'right': -9.575693, ' Left': -11.017159}
{' Right': -0.17479943, ' right': -2.5466619, ' Left': -2.737471, ' left': -4.1014214, 'Right': -7.850607}
{' Right': -0.3271404, ' right': -1.2858005, ' Left': -6.7263064, ' left': -7.196767, 'right': -8.072758}
{' Left': -0.099731654, ' left': -2.3904724, 'Left': -6.644453, ' Right': -6.7077537, 'left': -7.199655}
{' Right': -0.009433056, ' right': -4.884282, 'Right': -6.5122657, ' Left': -8.606381, 'right': -9.155368}
{' Left': -0.44312042, ' Right': -1.217319, ' left': -2.9747348, ' right': -4.862554, 'Left': -6.6810274}
{' Right': -0.036931407, ' right': -3.3768225, 'Right': -6.513791, 'right': -8.048538, ' Left': -8.369773}
{' Left': -0.01252641, ' left': -4.411528, 'Left': -8.410517, 'left': -9.699562, ' Right': -10.538546}
{' Right': -0.0017404355, ' right': -6.546574, 'Right': -8.23436, ' Left': -11.299528, 'right': -11.447489}
{' Left': -0.11306122, ' Right': -2.4993794, ' left': -3.7499325, ' right': -7.1656013, 'Left': -8.367967}
{' Right': -0.011261419, ' right': -4.5256886, 'Right': -8.530452, ' Left': -9.10198, 'right': -10.046396}
{' Left': -0.14602154, ' left': -2.1878612, ' Right': -4.1431813, 'Left': -5.453734, 'left': -6.0851173}
{' Right': -0.014241569, ' right': -4.9467115, 'Right': -5.067086, 'right': -7.8054514, ' Left': -8.170054}
{' Right': -0.24224173, ' Left': -1.8792924, ' right': -3.3424249, ' left': -4.101512, 'Right': -4.943852}
{' Right': -0.09174604, ' right': -2.5943189, 'Right': -5.0005326, ' Left': -5.7960443, 'right': -5.9997735}
{' Left': -0.013992746, ' left': -4.3026505, ' Right': -8.427296, 'Left': -9.08692, 'left': -10.49428}
{' Right': -0.0041970075, ' right': -5.511168, 'Right': -9.309171, ' Left': -10.13565, 'right': -11.42815}
{' Left': -0.016225828, ' left': -4.142292, 'Left': -9.090042, ' Right': -9.743551, 'left': -10.232155}
{' Right': -0.0037396343, ' right': -5.775449, ' Left': -7.835166, 'Right': -8.5634165, 'right': -11.041493}
{' Left': -0.011442154, ' left': -4.565586, ' Right': -7.5642295, 'Left': -7.9090705, 'left': -9.413822}
{' Right': -0.007057821, ' right': -5.027163, 'Right': -7.801277, 'right': -9.918533, ' Left': -11.608261}
{' Left': -0.021306982, ' left': -3.8879395, 'Left': -7.747165, 'left': -8.7932205, ' Right': -11.586101}
{' Right': -0.007687337, ' right': -5.039189, 'Right': -7.034022, ' Left': -8.645047, 'right': -9.545985}
{' Left': -0.039502803, ' left': -3.314403, 'Left': -6.778889, ' Right': -7.1229277, 'left': -7.8362722}
{' Right': -0.022301778, ' right': -3.9015074, 'Right': -6.570718, 'right': -7.902327, ' RIGHT': -10.580435}
{' Left': -0.039688963, ' left': -3.2862043, 'Left': -7.2891355, ' Right': -7.804116, 'left': -7.8150907}
{' Right': -0.015383266, ' right': -4.3723984, 'Right': -6.399924, ' Left': -7.521336, 'right': -8.372206}
{' Left': -0.11845692, ' left': -2.2386694, ' Right': -5.464959, ' right': -7.644873, 'Left': -8.2978}
{' Right': -0.06643709, ' right': -2.751078, 'Right': -8.198196, 'right': -9.301775, ' Left': -10.327787}
{' Left': -0.17189817, ' left': -1.8508761, 'Left': -8.07077, 'left': -8.232761, ' Right': -8.424961}
{' Right': -0.11045697, ' right': -2.2717195, 'Right': -7.1319866, 'right': -8.217228, ' Left': -8.586958}
{' Left': -0.032437515, ' left': -3.544776, 'Left': -5.9724126, 'left': -7.85726, ' Right': -9.278398}
{' Right': -0.012455371, ' right': -4.554577, 'Right': -6.4189224, 'right': -8.566673, ' RIGHT': -10.843798}
{' Left': -0.059971146, ' left': -2.8811727, 'Left': -6.4964232, 'left': -7.3913226, ' Right': -11.981275}
{' Right': -0.013792938, ' right': -4.5477743, 'Right': -5.979996, 'right': -8.400398, ' Left': -8.8149}
{' Left': -0.0097306995, ' left': -4.72034, ' Right': -7.6722207, 'Left': -8.301755, 'left': -9.875667}
{' Right': -0.0018921674, ' right': -6.4256682, 'Right': -8.426569, ' Left': -10.381163, 'right': -11.274716}
{' Left': -0.0056996755, ' left': -5.256863, ' Right': -8.167904, 'Left': -8.806162, 'left': -10.231787}
{' Right': -0.002470282, ' right': -6.447904, ' Left': -7.54569, 'Right': -8.152274, ' "': -10.468424}
{' Left': -0.0621532, ' left': -3.4263725, ' Right': -3.897585, 'Left': -5.1504135, 'left': -7.192199}
{' Right': -0.038771205, ' right': -3.7464623, 'Right': -4.6049104, ' Left': -5.816754, 'right': -6.6748962}
{' Left': -0.08979519, ' left': -2.7518685, ' Right': -4.539489, 'Left': -4.76694, 'left': -6.2352114}
{' Right': -0.08146684, ' Left': -3.4212592, ' right': -3.7987232, 'Right': -3.9400215, 'right': -6.377035}
{' Right': -0.14975727, ' Left': -2.0596638, ' right': -4.816646, ' left': -5.7520885, 'Right': -8.52076}
{' Left': -0.052933652, ' left': -3.3526084, ' Right': -4.155061, ' right': -7.8978233, 'left': -8.196754}
{' Right': -0.030280765, ' right': -3.5535276, ' Left': -7.315708, 'Right': -8.036292, 'right': -8.694872}
{' Left': -0.047643594, ' left': -3.0800247, 'Left': -8.30365, 'left': -8.411484, ' Right': -9.27635}
{' Left': -0.044408485, ' Right': -3.6323278, ' left': -4.1461554, 'Left': -7.4543014, 'left': -8.018641}
{' Left': -0.027799962, ' left': -3.6628249, 'Left': -7.3003216, 'left': -7.4513364, ' Right': -7.6172066}
{' Right': -0.015906202, ' right': -4.246655, 'Right': -7.247273, ' Left': -7.733298, 'right': -8.140311}
{' Left': -0.03796746, ' left': -3.3293664, 'Left': -7.065555, 'left': -7.489639, ' Right': -10.722278}
{' Left': -0.14682494, ' Right': -2.1528504, ' left': -4.039338, ' right': -6.815078, 'Left': -7.1321726}
{' Left': -0.02039134, ' left': -4.0523224, ' Right': -6.7248054, 'Left': -6.9719024, 'left': -7.346206}
{' Right': -0.027552096, ' right': -3.744511, 'Right': -6.4593277, 'right': -6.8180413, ' Left': -7.142733}
{' Left': -0.05542402, ' left': -2.9727767, 'Left': -6.5980306, 'left': -6.615896, ' Right': -10.336578}
{' Left': -0.11541591, ' Right': -2.52924, ' left': -3.61174, ' right': -6.37238, 'Left': -8.025667}
{' Left': -0.06527709, ' left': -2.9973412, ' Right': -4.427742, ' right': -7.678789, 'left': -7.7295566}
{' Right': -0.073344804, ' right': -2.692451, ' Left': -6.357103, 'Right': -7.4364047, 'right': -7.651759}
{' Left': -0.093316086, ' left': -2.430892, 'Left': -7.5300145, 'left': -7.711558, ' Right': -8.914694}
{' Left': -0.030486414, ' left': -3.7525322, ' Right': -5.4889426, 'Left': -6.424985, 'left': -7.186002}
{' Left': -0.021035274, ' left': -4.3305635, ' Right': -5.1893797, 'Left': -6.5229516, 'left': -7.521678}
{' Right': -0.016854897, ' right': -4.506927, ' Left': -5.925006, 'Right': -6.0952024, 'right': -7.3706083}
{' Left': -0.050966196, ' left': -3.0667286, 'Left': -6.223257, 'left': -6.807716, ' "': -11.426182}
{' Left': -0.06814818, ' Right': -3.105635, ' left': -3.9144063, ' right': -7.811439, 'left': -7.967846}
{' Left': -0.013716614, ' left': -4.5178595, ' Right': -6.1464605, 'Left': -7.9916906, 'left': -8.458028}
{' Right': -0.00433265, ' right': -5.573123, 'Right': -8.107614, ' Left': -8.86172, 'right': -9.530332}
{' Left': -0.026877137, ' left': -3.6553352, 'Left': -7.931248, 'left': -8.153291, ' Right': -11.192088}
{' Left': -0.30761525, ' Right': -1.4227008, ' left': -4.3707137, 'Left': -5.412485, 'Right': -5.794748}
{' Left': -0.30766, ' Right': -1.4739904, ' left': -3.8280306, ' right': -5.316848, 'Left': -5.4714875}
{' Right': -0.042976342, ' right': -3.5826128, 'Right': -4.4677086, 'right': -5.97137, ' Left': -8.543278}
{' Left': -0.060133815, ' left': -3.0671759, 'Left': -4.6770806, 'left': -6.047374, ' Right': -9.140561}
{' Left': -0.030786635, ' Right': -3.9726026, ' left': -4.4884167, 'Left': -8.98613, ' right': -9.550028}
{' Left': -0.029046161, ' left': -3.8774729, ' Right': -4.8772397, 'Left': -8.96597, ' right': -9.325126}
{' Left': -0.032333035, ' left': -3.7051845, ' Right': -4.972114, ' right': -9.032481, 'Left': -9.276982}
{' Left': -0.038477924, ' left': -3.5397635, ' Right': -4.7841916, 'Left': -8.80944, 'left': -8.976346}
{' Left': -0.011442817, ' left': -4.761893, ' Right': -6.090504, 'Left': -7.797117, 'left': -8.859005}
{' Left': -0.019241171, ' left': -4.3670516, ' Right': -5.156248, 'Left': -7.8809447, 'left': -8.625745}
{' Left': -0.027381474, ' left': -3.8826573, ' Right': -5.150232, 'Left': -8.019133, 'left': -8.518461}
{' Left': -0.023453023, ' left': -3.868891, ' Right': -6.5241985, 'Left': -7.539492, 'left': -8.190374}
{' Left': -0.027464181, ' left': -3.7137892, ' Right': -6.539175, 'Left': -7.0946884, 'left': -7.8149586}
{' Left': -0.056587342, ' left': -3.4814074, ' Right': -3.7891176, 'Left': -7.365839, 'left': -7.560144}
{' Left': -0.06256271, ' left': -2.9803574, ' Right': -4.7813067, 'Left': -7.3912272, 'left': -7.56323}
{' Left': -0.0570152, ' left': -2.9543712, ' Right': -6.4694014, 'Left': -6.9616303, 'left': -7.220927}
{' Left': -0.123984665, ' left': -2.1711626, ' Right': -6.287078, 'Left': -8.047202, 'left': -8.318591}
{' Left': -0.13216038, ' left': -2.1530437, ' Right': -5.029181, ' right': -7.3339944, 'left': -8.31678}
{' Left': -0.22636361, ' left': -1.6609797, ' Right': -4.6271677, ' right': -6.0520067, 'left': -8.2160635}
{' Left': -0.31510097, ' left': -1.3236612, ' Right': -5.890359, ' right': -7.4685297, 'left': -7.6528525}
{' Left': -0.02279467, ' left': -3.918739, 'Left': -6.742523, ' Right': -6.7447658, 'left': -8.132753}
{' Left': -0.04116227, ' left': -3.5793586, ' Right': -4.535484, 'Left': -6.9069343, 'left': -7.628763}
{' Left': -0.043886326, ' left': -3.4208508, ' Right': -4.7298737, 'Left': -7.07477, 'left': -7.9534664}
{' Left': -0.042965826, ' left': -3.2345264, 'Left': -6.685494, ' Right': -7.102078, 'left': -7.4709306}
{' Left': -0.011233026, ' left': -4.739243, ' Right': -6.179707, 'Left': -8.319153, 'left': -9.223854}
{' Left': -0.014047813, ' left': -4.7889977, ' Right': -5.229622, 'Left': -8.714165, 'left': -9.393871}
{' Left': -0.010923669, ' left': -4.7323594, ' Right': -6.305208, 'Left': -8.857386, 'left': -9.467487}
{' Left': -0.018784763, ' left': -4.129417, ' Right': -6.2099695, 'Left': -8.124572, 'left': -8.58175}
{' Left': -0.08829532, ' left': -3.1921923, ' Right': -3.2885537, 'Left': -5.6776776, ' right': -6.643011}
{' Left': -0.09547554, ' left': -3.1127048, ' Right': -3.2310593, 'Left': -5.6142664, ' right': -6.344053}
{' Left': -0.119025305, ' left': -2.571704, ' Right': -3.5410566, 'Left': -5.835952, ' right': -6.0814767}
{' Left': -0.13008481, ' left': -2.6120965, ' Right': -3.1883523, 'Left': -5.7445846, ' right': -6.1066546}
{' Right': -0.10755765, ' Left': -2.5022833, ' right': -4.1540265, ' left': -5.53155, 'Right': -8.200058}
{' Left': -0.054424945, ' left': -2.9496045, 'Left': -8.202604, ' Right': -8.4805565, 'left': -9.003206}
{' Left': -0.32433677, ' left': -1.400192, ' Right': -3.6229968, ' right': -5.9071856, 'left': -7.3039336}
{' Left': -0.1587978, ' left': -1.9337975, ' Right': -6.6553397, 'left': -7.618993, 'Left': -7.974345}
{' Right': -0.11731833, ' Left': -2.3210287, ' right': -4.726413, ' left': -5.938048, 'Right': -7.1974134}
