{'\n': -11.393823, ' ': -10.280131, ' Yes': -0.004631475, ' yes': -10.561475, 'Yes': -5.4026356}
{' No': -0.19517541, '\n': -3.9529629, ' ': -4.3530216, 'No': -2.0502493, ' Yes': -4.2843037}
{' No': -0.03515672, '\n': -7.245865, ' ': -5.9027863, 'No': -3.5037901, ' no': -7.3063293}
{' No': -0.29941338, '\n': -3.456488, ' ': -4.4067807, 'No': -1.5939044, ' Yes': -5.3332257}
{' No': -0.07080619, '\n': -5.2105327, 'No': -3.2272007, ' Yes': -5.1978087, ' no': -4.5306077}
{' No': -0.012481746, '\n': -6.9110737, ' ': -6.1741695, 'No': -5.436407, ' Yes': -5.330385}
{' No': -0.056029007, '\n': -5.2654557, ' ': -5.526221, 'No': -3.371676, ' Yes': -4.552832}
{' No': -0.112579614, '\n': -4.6517563, ' ': -4.8078346, 'No': -3.023064, ' Yes': -3.268904}
{' No': -0.018091476, '\n': -7.109871, ' ': -5.6739955, 'No': -4.3081093, ' Yes': -9.208625}
{' No': -0.11630369, '\n': -4.7975073, ' ': -4.820472, 'No': -2.491792, ' Yes': -4.63597}
{' No': -0.0998236, '\n': -4.4852147, ' ': -4.85189, 'No': -3.3815427, ' Yes': -3.2296298}
{' No': -0.031104164, '\n': -9.179255, ' ': -8.677121, 'No': -4.100745, ' Yes': -4.3013353}
{' No': -0.054570153, '\n': -9.635436, ' ': -7.2679033, 'No': -2.9542744, ' Yes': -9.150198}
{' No': -0.05742936, '\xa0': -9.578755, '\n': -7.647693, ' ': -6.8279233, 'No': -2.9187515}
{' No': -0.016622212, ' ': -9.495301, 'No': -4.118221, ' January': -10.608122, ' Yes': -9.430847}
{' No': -0.090498015, '\xa0': -9.531981, '\n': -6.641204, ' ': -6.33445, 'No': -2.4884644}
{' No': -0.071574666, '\n': -7.596429, ' ': -7.119199, 'No': -2.700557, ' Yes': -8.787035}
{' No': -0.0033586607, '\n': -8.648637, ' ': -6.7277727, 'No': -6.282531, ' Yes': -10.28477}
{' No': -0.029718107, '\n': -7.067262, ' ': -6.289748, 'No': -3.6341128, ' no': -9.983924}
{' No': -0.049514223, '\xa0': -8.695306, '\n': -5.1507163, ' ': -5.3568354, 'No': -3.2915964}
{' No': -0.0047692726, '\n': -10.531569, ' ': -6.966915, 'No': -5.5871353, ' no': -10.678816}
{' No': -0.13896896, '\n': -5.2391286, ' ': -4.7037463, 'No': -2.1679435, ' no': -8.180427}
{' No': -0.038552385, '\n': -7.0081906, ' ': -5.88964, 'No': -3.4135256, ' no': -7.3497033}
{' No': -0.07730532, '\n': -7.7136297, ' ': -6.3225865, 'No': -2.6713738, ' no': -6.0755234}
{' No': -0.09924248, ' ': -7.26987, 'No': -2.3712552, 'no': -9.646403, ' no': -8.890434}
{' No': -0.14120743, '\xa0': -8.767901, '\n': -8.133925, ' ': -6.537211, 'No': -2.04538}
{' False': -10.4946995, ' No': -0.02807253, ' ': -7.8073573, 'No': -3.6124933, ' no': -9.055613}
{' No': -0.35153398, '\n': -7.036248, ' ': -6.756848, 'No': -1.2256261, 'no': -8.6291275}
{' No': -0.085673586, ' ': -7.8679075, 'No': -2.5094082, 'no': -9.519834, ' no': -8.555184}
{' No': -0.020340849, '\n': -7.6025333, ' ': -5.3697934, 'No': -5.2394547, ' no': -4.677745}
{' No': -0.037848778, '\n': -7.0727644, ' ': -5.7155466, 'No': -3.4544117, ' no': -6.7226357}
{' No': -0.10965699, '\n': -4.686893, ' ': -4.946401, 'No': -2.457355, ' no': -6.751381}
{' No': -0.019123299, '\n': -7.797804, ' ': -6.368336, 'No': -4.153509, ' no': -6.94067}
{' No': -0.26022214, '\n': -3.5503278, ' ': -4.5990195, 'No': -1.70435, ' no': -5.17621}
{' No': -0.07850037, '\n': -5.03853, ' ': -5.3950496, 'No': -3.603143, ' no': -3.3483064}
{' No': -0.005265523, '\n': -7.5085607, ' ': -6.528277, 'No': -5.785033, ' no': -9.434081}
{' No': -0.02864752, '\n': -6.0364084, ' ': -6.1430006, 'No': -3.7523696, ' no': -9.538157}
{' No': -0.04118507, '\n': -5.523563, ' ': -5.686063, 'No': -3.4255424, ' no': -9.227131}
{' No': -0.012355314, '\n': -7.658519, ' ': -5.804269, 'No': -4.7471437, ' no': -10.273832}
{' No': -0.059496023, '\n': -5.215107, ' ': -5.238348, 'No': -3.0668242, ' no': -8.831874}
{' No': -0.035294592, '\n': -5.488184, ' ': -5.52316, 'No': -3.6871173, ' no': -7.2631907}
{' No': -5.8873043, ' September': -8.630063, ' Yes': -0.007410299, 'Yes': -5.7512245, ' In': -8.151256}
{' No': -0.067613415, ' ': -7.5168066, 'No': -2.861442, ' Yes': -5.002603, ' It': -8.204472}
{' No': -0.10418011, ' ': -6.794616, 'No': -2.5238807, ' Yes': -4.1190763, 'Yes': -7.5745926}
{' No': -0.07649633, ' September': -7.2662983, 'No': -4.3966103, ' Yes': -2.8503666, ' Chron': -7.5597258}
{' No': -0.22836342, '\n': -5.4926457, 'No': -2.0322096, ' Yes': -2.7888968, 'Yes': -5.7998047}
{' No': -0.26091602, ' ': -6.921254, 'No': -2.9337158, ' Yes': -1.7736704, 'Yes': -5.9538918}
{' No': -0.007266616, '\n': -8.157334, ' ': -6.6688814, 'No': -5.223104, ' Yes': -9.189208}
{' No': -0.046304602, '\n': -7.179855, ' ': -6.262515, 'No': -3.1695762, ' Yes': -8.32593}
{' No': -0.08501424, '\n': -4.7630615, ' ': -5.042745, 'No': -2.7224844, ' Yes': -8.555475}
{' No': -0.013355441, '\n': -9.70496, ' ': -6.7592998, ' September': -10.231117, 'No': -4.4296474}
{' No': -0.20940855, '\n': -4.7793803, ' ': -4.596684, 'No': -1.7781245, ' no': -8.066434}
{' No': -0.12921965, ' ': -5.58016, ' September': -5.9755096, 'No': -3.107012, ' Yes': -2.72259}
{' No': -0.09494262, ' ': -6.2625704, 'No': -2.4907308, ' Yes': -6.5160036, ' no': -6.05911}
{' No': -0.106608495, ' ': -7.6657004, 'No': -2.3189535, ' Yes': -6.4265714, ' It': -9.024416}
{' No': -0.22233121, ' ': -6.6666703, 'No': -1.875127, ' Yes': -3.2004843, 'Yes': -5.9446287}
{' No': -0.039821442, ' ': -7.49842, 'No': -3.296058, ' Yes': -7.031855, ' no': -8.720873}
{' No': -0.538167, ' ': -6.5356975, 'No': -0.9250193, ' Yes': -4.3525114, 'Yes': -5.9703465}
{' No': -0.07885897, ' ': -7.843813, 'No': -2.6708236, ' Yes': -5.2234225, ' no': -8.285186}
{' No': -0.031299282, '\n': -6.9680986, ' ': -4.767715, 'No': -4.346332, ' no': -4.8632054}
{' No': -0.058617618, '\n': -7.1133137, ' ': -5.679515, 'No': -2.958703, ' no': -7.5166254}
{' No': -0.15703757, '\n': -4.7493744, ' ': -4.7943206, 'No': -2.0755556, ' Yes': -6.8374553}
{' No': -0.046221506, '\n': -7.36895, ' ': -5.92791, 'No': -3.1957593, ' no': -7.414049}
{' No': -0.27071092, '\n': -3.7405195, ' ': -4.656661, 'No': -1.6268357, ' no': -5.483655}
{' No': -0.07399705, '\n': -5.4572787, ' ': -5.59988, 'No': -3.1702302, ' no': -4.0857005}
{' No': -0.009279515, '\n': -6.946096, ' ': -6.3699355, 'No': -5.1311417, ' Yes': -8.12946}
{' No': -0.049096618, '\n': -6.21094, ' ': -5.795282, 'No': -3.1646187, ' Yes': -8.437032}
{' No': -0.072209425, '\n': -5.1172266, ' ': -5.1817675, 'No': -2.9282694, ' Yes': -5.6236506}
{' No': -0.017371006, '\n': -7.7808623, ' ': -5.891808, ' September': -9.482623, 'No': -4.284783}
{' No': -0.091987215, '\n': -5.236465, ' ': -5.1576457, 'No': -2.5824714, ' Yes': -7.1914706}
{' No': -0.12575318, '\n': -5.0892587, ' ': -5.205211, 'No': -3.4128299, ' Yes': -2.6663108}
{'\n': -10.079234, ' ': -10.253845, ' Yes': -0.004390122, ' yes': -10.232361, 'Yes': -5.47499}
{' No': -0.06309961, ' ': -7.406491, 'No': -2.958569, ' Yes': -4.8233385, 'Yes': -8.611256}
{' No': -0.0892009, '\n': -6.9983025, ' ': -6.721719, 'No': -2.8741455, ' Yes': -3.6691663}
{' No': -3.3960173, ' September': -8.873637, 'No': -8.020341, ' Yes': -0.03742433, 'Yes': -6.032867}
{' No': -0.21622317, '\n': -5.6108694, 'No': -2.3437982, ' Yes': -2.4428866, 'Yes': -5.484427}
{' No': -5.630752, ' ': -8.183073, ' Yes': -0.016202748, ' yes': -8.305882, 'Yes': -4.4873786}
{' No': -0.08830808, '\n': -7.5889874, ' ': -6.3333416, 'No': -6.057601, ' Yes': -2.5304391}
{' No': -0.051576044, '\n': -6.7892623, ' ': -6.142232, 'No': -3.1395164, ' Yes': -5.6908555}
{' No': -0.056569055, '\n': -4.7321978, ' ': -5.0127096, 'No': -3.3098323, ' Yes': -6.0901594}
{' No': -0.005925456, '\n': -10.088291, ' ': -6.838633, 'No': -5.362609, ' Yes': -9.920569}
{' No': -0.1531479, '\n': -5.0427485, ' ': -4.709821, 'No': -2.0828202, ' Yes': -7.103989}
{' No': -1.590056, ' ': -5.5378747, 'No': -4.990643, ' Yes': -0.25920534, 'Yes': -4.6609073}
{' No': -0.09662332, ' ': -6.3305154, 'No': -2.5507743, ' Yes': -4.7922297, ' no': -6.3518605}
{' No': -0.102887444, ' ': -7.804397, 'No': -2.6642735, ' Yes': -3.6346543, 'Yes': -7.006379}
{' No': -0.14621517, ' ': -6.764381, 'No': -2.08044, ' Yes': -4.7800536, 'Yes': -7.4284782}
{' No': -0.036871165, ' ': -7.755175, 'No': -3.3789728, ' Yes': -6.6091437, ' no': -9.363355}
{' No': -0.43285254, '\n': -6.5041533, ' ': -6.790155, 'No': -1.0763385, ' Yes': -5.13639}
{' No': -0.11234569, ' ': -7.2302685, 'No': -2.8889835, ' Yes': -3.0437021, 'Yes': -6.522681}
{' No': -0.029850801, ' ': -4.9840302, 'No': -5.0225224, ' Yes': -5.851417, ' no': -4.4570894}
{' No': -0.050343055, '\n': -6.7992854, ' ': -5.7125454, 'No': -3.2861426, ' Yes': -5.077088}
{' No': -0.14287403, '\n': -4.2706585, ' ': -4.5686226, 'No': -2.4668791, ' Yes': -3.8545039}
{' No': -0.029859522, '\n': -7.674917, ' ': -6.341884, 'No': -3.6493258, ' no': -7.2321105}
{' No': -0.23833854, '\n': -3.4716852, ' ': -4.465415, 'No': -1.8380414, ' no': -5.3705187}
{' No': -0.15784994, '\n': -4.5476546, 'No': -3.4251533, ' Yes': -2.656719, ' no': -3.9739158}
{' No': -0.03334656, '\n': -6.5631204, ' ': -6.1851535, 'No': -5.4898624, ' Yes': -3.6930773}
{' No': -0.04925158, '\n': -5.7602344, ' ': -6.127809, 'No': -3.304714, ' Yes': -5.195032}
{' No': -0.05153939, '\n': -5.2177534, ' ': -5.34744, 'No': -3.4776144, ' Yes': -4.7820845}
{' No': -0.011452946, '\n': -7.638018, ' ': -6.12716, 'No': -4.7755938, ' Yes': -8.719094}
{' No': -0.06571009, '\n': -5.2016773, ' ': -5.2331295, 'No': -2.9734898, ' Yes': -6.782993}
{' No': -0.4898482, '\n': -4.8734674, ' ': -4.971945, 'No': -4.032053, ' Yes': -1.0558522}
{'\n': -10.951949, ' ': -10.397676, ' Yes': -0.0047174096, ' yes': -10.551425, 'Yes': -5.3861732}
{' No': -3.3790212, ' ': -8.266393, 'No': -6.2237053, ' Yes': -0.04947533, 'Yes': -4.5120053}
{' No': -3.9696796, ' ': -7.488425, 'No': -6.431508, ' Yes': -0.042092428, 'Yes': -3.9477146}
{' No': -6.1946287, ' Yes': -0.0048879236, ' February': -8.944128, 'Yes': -6.0288515, ' Techn': -9.957404}
{' No': -4.532851, '\n': -6.611637, 'No': -6.5561523, ' Yes': -0.04316421, 'Yes': -3.6062632}
{'\n': -9.055875, ' ': -8.715943, ' Yes': -0.012561596, ' yes': -7.9852343, 'Yes': -4.4568877}
{' No': -1.6404315, ' ': -6.5597577, 'No': -6.8196707, ' Yes': -0.22169425, 'Yes': -6.629355}
{' No': -0.24422699, ' ': -6.161372, 'No': -3.347651, ' Yes': -1.7430673, 'Yes': -5.9783897}
{' No': -1.2186255, '\n': -4.060464, 'No': -3.5587513, ' Yes': -0.47643602, 'Yes': -3.7414868}
{' No': -0.011697036, ' ': -7.1403403, 'No': -4.687295, ' Yes': -6.6486335, ' February': -8.715239}
{' No': -0.27462357, '\n': -4.153189, ' ': -4.3538775, 'No': -1.7543981, ' Yes': -3.411895}
{' No': -5.997134, ' ': -6.9400353, ' Yes': -0.01810088, ' yes': -5.9561887, 'Yes': -4.557354}
{' No': -2.1797, 'No': -4.8207273, ' Yes': -0.16266352, ' yes': -4.6376286, 'Yes': -4.13981}
{' No': -1.0321378, 'No': -3.3095405, ' Yes': -0.5315656, ' yes': -7.1469026, 'Yes': -4.093262}
{' No': -2.3696175, 'No': -4.311432, ' Yes': -0.15655138, ' yes': -6.4964805, 'Yes': -3.3606358}
{' No': -0.2743362, ' ': -7.297756, 'No': -3.6985495, ' Yes': -1.557236, 'Yes': -5.9908605}
{' No': -4.53267, 'No': -5.2738066, ' Yes': -0.10870865, ' yes': -6.8883786, 'Yes': -2.4712212}
{' No': -1.634577, 'No': -4.3954835, ' Yes': -0.25327533, ' yes': -6.420515, 'Yes': -4.3010006}
{' No': -1.0971098, ' ': -4.854266, 'No': -5.432176, ' Yes': -0.45564002, ' yes': -4.417386}
{' No': -0.97336525, ' ': -5.714322, 'No': -3.5528867, ' Yes': -0.55609274, 'Yes': -4.391906}
{' No': -3.6186056, '\n': -4.339719, ' ': -4.9026403, ' Yes': -0.12583478, 'Yes': -2.8248796}
{' No': -0.04904353, ' ': -6.272982, 'No': -3.202392, ' Yes': -5.704404, ' no': -7.0492935}
{' No': -1.4956677, '\n': -3.1713393, 'No': -2.7530224, ' Yes': -0.5488541, 'Yes': -2.6717408}
{' No': -3.0109966, '\n': -5.563701, ' Yes': -0.12950402, ' yes': -3.05564, 'Yes': -4.357981}
{' No': -4.292073, '\n': -7.4373684, ' ': -7.2950563, ' Yes': -0.01826355, 'Yes': -6.038689}
{' No': -1.2981737, '\n': -6.0402637, 'No': -4.259485, ' Yes': -0.361431, 'Yes': -4.530039}
{' No': -1.8461403, '\n': -4.942969, 'No': -4.512148, ' Yes': -0.22892798, 'Yes': -3.8321595}
{' No': -0.59506965, ' ': -5.4597354, 'No': -4.846885, ' Yes': -0.8436086, ' February': -6.0903845}
{' No': -1.0483849, '\n': -4.7610064, 'No': -3.4098542, ' Yes': -0.55312276, 'Yes': -3.6753705}
{' No': -5.282071, '\n': -5.971947, ' Yes': -0.025198936, ' yes': -5.536545, 'Yes': -4.540723}
{' No': -0.3566532, 'No': -4.1486583, ' Yes': -1.2722015, ' February': -7.2699146, 'Yes': -6.422285}
{' No': -0.073723495, ' ': -7.647532, 'No': -2.678889, ' Yes': -7.6353574, ' It': -7.942305}
{' No': -0.082796425, '\n': -7.6791887, ' ': -7.4957, 'No': -2.5581152, ' Yes': -7.729859}
{' No': -0.03278975, 'No': -4.037352, ' Yes': -4.310082, ' February': -7.3988028, 'Yes': -9.296483}
{' No': -0.1279235, '\n': -6.4838166, ' ': -6.7358065, 'No': -2.1589732, ' Yes': -7.3638434}
{' No': -0.07433278, '\n': -7.4126654, ' ': -7.5406632, 'No': -2.735971, ' Yes': -5.458799}
{' False': -9.73135, ' No': -0.0068866387, '\n': -8.027336, ' ': -6.842107, 'No': -5.2582693}
{' No': -0.04084513, '\n': -7.799571, ' ': -6.8812304, 'No': -3.2678864, ' Yes': -8.648082}
{' No': -0.070156835, '\xa0': -8.749911, '\n': -5.536353, ' ': -5.604891, 'No': -2.822186}
{' No': -0.008797145, '\n': -9.909493, ' ': -6.859101, 'No': -4.8901105, ' no': -10.280179}
{' No': -0.16728386, '\n': -5.1513696, ' ': -4.963368, 'No': -1.9668901, ' no': -8.106364}
{' No': -0.046958443, ' ': -6.4100986, 'No': -3.2156863, ' Yes': -6.989764, ' February': -6.9618106}
{' False': -7.3493237, ' No': -0.09571158, ' ': -6.7306013, 'No': -2.4811752, ' no': -5.760374}
{' False': -7.5393333, ' No': -0.13441144, ' ': -7.8136506, 'No': -2.1028714, ' Yes': -6.4700847}
{' No': -0.17900671, '\n': -8.01538, ' ': -6.9574685, 'No': -1.8264389, ' Yes': -7.241409}
{' False': -8.56205, ' No': -0.047585394, ' ': -7.8442698, 'No': -3.094714, ' no': -8.745006}
{' No': -0.46601394, '\n': -7.123278, ' ': -7.293761, 'No': -0.9963217, ' Yes': -8.094747}
{' No': -0.08767283, ' ': -8.05378, 'No': -2.4972491, ' Yes': -7.2180896, ' no': -8.512525}
{' False': -7.3060894, ' No': -0.036189266, ' ': -5.1780453, 'No': -4.716277, ' no': -3.9784787}
{' No': -0.059141014, '\n': -7.535467, ' ': -6.2606597, 'No': -2.936281, ' no': -6.608872}
{' No': -0.13890924, '\n': -5.438859, ' ': -5.4144287, 'No': -2.1337287, ' no': -6.7786593}
{' No': -0.026416192, '\n': -8.142731, ' ': -6.379645, 'No': -3.7945263, ' no': -6.92231}
{' No': -0.26654378, '\n': -3.894013, ' ': -4.8812838, 'No': -1.6239942, ' no': -5.20547}
{' No': -0.08547347, '\n': -5.3473954, ' ': -5.804449, 'No': -3.2619984, ' no': -3.4470007}
{' False': -8.705121, ' No': -0.008020435, '\n': -7.525408, ' ': -6.7093844, 'No': -5.1961136}
{' No': -0.04650589, '\n': -5.978034, ' ': -6.2376027, 'No': -3.212899, ' February': -8.869633}
{' No': -0.0569651, '\n': -5.8589354, ' ': -5.863554, 'No': -3.0191686, ' February': -8.567833}
{' No': -0.013635947, '\n': -7.5970206, ' ': -5.8201084, 'No': -4.6428795, ' February': -8.774939}
{' No': -0.06996742, '\n': -5.6151404, ' ': -5.62371, 'No': -2.8173122, ' no': -8.5053425}
{' No': -0.049428355, '\n': -5.5169325, ' ': -5.583613, 'No': -3.3229249, ' no': -6.6953893}
{' No': -9.481384, ' Generally': -9.442702, ' March': -9.618086, ' Yes': -0.0045280023, 'Yes': -5.5095763}
{' No': -0.33600548, ' ': -7.1315393, 'No': -3.5733576, ' Yes': -1.3820947, 'Yes': -5.8997536}
{' No': -0.21779566, ' ': -6.7942724, 'No': -3.0567234, ' Yes': -1.9445966, 'Yes': -5.697702}
{' No': -0.16695817, 'No': -4.656128, ' Yes': -1.9471133, 'Yes': -7.512715, ' In': -8.141562}
{' No': -0.3008531, '\n': -6.1650357, 'No': -2.5113823, ' Yes': -1.7917781, 'Yes': -5.041235}
{' No': -3.5299284, 'No': -6.3992763, ' Yes': -0.045547806, ' yes': -7.9102006, 'Yes': -4.444563}
{' No': -0.006129517, '\n': -8.166939, ' ': -6.6347723, 'No': -5.522746, ' Yes': -8.392827}
{' No': -0.03601185, '\n': -7.3467584, ' ': -6.7281632, 'No': -3.4260528, ' Yes': -7.6990724}
{' No': -0.07522888, '\n': -5.104434, ' ': -5.1975007, 'No': -2.8480177, ' Yes': -6.192128}
{' No': -0.009084734, '\n': -9.909125, ' ': -6.879568, ' March': -9.543703, 'No': -4.8537865}
{' No': -0.1771379, '\n': -4.570349, ' ': -4.8020825, 'No': -1.9526256, ' no': -7.545978}
{' No': -0.83109593, ' March': -5.538433, 'No': -4.285759, ' Yes': -0.62873584, 'Yes': -5.129546}
{' No': -0.071568646, ' ': -6.5995426, 'No': -2.9049025, ' Yes': -5.188918, ' no': -5.385236}
{' No': -0.1482491, ' ': -7.400281, 'No': -2.4522595, ' Yes': -3.0401175, 'Yes': -6.364108}
{' No': -0.44227272, ' ': -6.797432, 'No': -2.6045594, ' Yes': -1.3156306, 'Yes': -4.419501}
{' No': -0.040136497, ' ': -7.7752542, 'No': -3.4897082, ' Yes': -4.891287, ' no': -8.4851}
{' No': -0.36039463, ' ': -6.835085, 'No': -1.3000423, ' Yes': -3.7524862, 'Yes': -5.8065653}
{' No': -0.10968878, 'No': -2.3682604, ' Yes': -4.7445364, 'Yes': -7.8196263, ' no': -7.9627724}
{' No': -0.029164841, '\n': -7.0761356, ' ': -5.0678754, 'No': -4.849418, ' no': -4.393634}
{' No': -0.057540026, '\n': -7.1548915, ' ': -5.900794, 'No': -3.0014293, ' no': -6.347579}
{' No': -0.12599418, '\n': -4.826032, ' ': -4.996861, 'No': -2.309977, ' no': -6.0295324}
{' No': -0.038537703, '\n': -7.2914567, ' ': -6.0725355, 'No': -3.4101577, ' no': -6.705546}
{' No': -0.2480106, '\n': -3.7441626, ' ': -4.7679143, 'No': -1.7276933, ' no': -5.019475}
{' No': -0.28938282, 'No': -3.608686, ' Yes': -1.7764148, ' yes': -4.30018, ' no': -3.9529865}
{' No': -0.04491988, '\n': -7.5947576, ' ': -6.6557236, 'No': -5.5058513, ' Yes': -3.284855}
{' No': -0.042242013, '\n': -6.2755675, ' ': -6.3116536, 'No': -3.3574083, ' Yes': -6.0764294}
{' No': -0.38120604, ' ': -5.0425277, 'No': -3.5320504, ' Yes': -1.3220859, 'Yes': -5.0511947}
{' No': -0.014838297, '\n': -7.4925027, ' ': -5.718093, 'No': -4.641656, ' Yes': -7.384402}
{' No': -0.07092271, '\n': -5.336631, ' ': -5.304145, 'No': -2.8879926, ' Yes': -6.0480657}
{' No': -0.19427657, '\n': -4.888396, ' ': -5.0893025, 'No': -3.6684582, ' Yes': -2.0434988}
{'\n': -11.027413, ' ': -10.457792, ' Yes': -0.0050987815, ' yes': -10.236139, 'Yes': -5.3005314}
{'\n': -10.272047, ' ': -8.796742, ' Yes': -0.014833034, ' yes': -8.675749, 'Yes': -4.2487407}
{'\n': -8.844584, ' ': -8.109572, ' Yes': -0.024583353, ' yes': -8.230185, 'Yes': -3.7584186}
{' ': -11.475952, ' Yes': -0.002588241, ' yes': -10.322968, 'Yes': -5.9793987, 'yes': -13.222806}
{'\n': -7.4881215, ' ': -7.3191824, ' Yes': -0.033731364, ' yes': -8.382517, 'Yes': -3.458822}
{'\n': -9.213564, ' ': -8.591335, ' Yes': -0.014924023, ' yes': -7.894086, 'Yes': -4.2686357}
{'\n': -9.267418, ' ': -7.9672656, ' Yes': -0.0026834428, ' yes': -8.349431, 'Yes': -6.232433}
{'\n': -7.73912, ' ': -7.341699, ' Yes': -0.018564442, ' yes': -7.6295085, 'Yes': -4.09264}
{'\n': -5.209087, ' ': -5.5920005, ' Yes': -0.046971876, ' yes': -6.989335, 'Yes': -3.3449242}
{'\n': -10.712221, ' ': -8.314353, ' Yes': -0.0030191394, ' yes': -8.90439, 'Yes': -5.95528}
{'\n': -5.2563934, ' ': -5.216949, ' Yes': -0.109930046, ' yes': -6.0359583, 'Yes': -2.4067955}
{'\n': -8.076109, ' ': -7.117818, ' Yes': -0.01996092, ' yes': -5.565544, 'Yes': -4.24197}
{' ': -7.525987, ' Yes': -0.04085519, ' yes': -4.671066, 'Yes': -3.5395103, 'yes': -7.7746115}
{' No': -8.197922, ' ': -8.530505, ' Yes': -0.037219845, ' yes': -6.770456, 'Yes': -3.3632925}
{' No': -6.4051266, ' ': -7.512205, ' Yes': -0.047860786, ' yes': -6.138986, 'Yes': -3.1804423}
{' No': -7.567928, ' ': -8.955744, ' Yes': -0.014232318, ' yes': -7.423145, 'Yes': -4.36383}
{'\n': -7.9569173, ' ': -7.4641333, ' Yes': -0.11425036, ' yes': -6.6287704, 'Yes': -2.2539675}
{' ': -8.616257, ' Yes': -0.026108222, ' yes': -6.0245724, 'Yes': -3.7803137, 'yes': -8.619178}
{' ': -6.589546, ' Yes': -0.04921001, ' yes': -3.1967585, 'Yes': -5.3799763, 'yes': -7.6832075}
{'\n': -7.1522613, ' ': -6.386952, ' Yes': -0.046160586, ' yes': -4.618447, 'Yes': -3.4402225}
{'\n': -5.3909245, ' ': -5.7818413, ' Yes': -0.097807184, ' yes': -4.5232143, 'Yes': -2.61813}
{' ': -7.9267015, ' Yes': -0.015384052, ' yes': -5.6829743, 'Yes': -4.493421, 'yes': -8.649246}
{'\n': -3.8602195, ' ': -4.972668, ' Yes': -0.21314001, ' yes': -3.7439485, 'Yes': -2.004932}
{'\n': -6.114993, ' Yes': -0.107714355, ' yes': -2.5774827, 'Yes': -3.9154115, 'yes': -6.195801}
{'\n': -8.662194, ' ': -8.327641, ' Yes': -0.0035517297, ' yes': -7.780594, 'Yes': -5.957718}
{'\n': -6.907054, ' ': -7.2247148, ' Yes': -0.02108842, ' yes': -7.326089, 'Yes': -4.0025415}
{'\n': -5.945657, ' ': -6.241715, ' Yes': -0.032624513, ' yes': -7.063055, 'Yes': -3.638646}
{'\n': -8.271281, ' ': -7.075278, ' Yes': -0.005791817, ' yes': -8.227041, 'Yes': -5.4435816}
{'\n': -5.7483582, ' ': -5.971161, ' Yes': -0.044239815, ' yes': -6.8900394, 'Yes': -3.318835}
{'\n': -6.226629, ' ': -6.409926, ' Yes': -0.02239412, ' yes': -5.5833344, 'Yes': -4.2616005}
{'\n': -11.246072, ' ': -10.707831, ' Yes': -0.003667724, ' yes': -10.6739855, 'Yes': -5.633294}
{' No': -0.10762276, ' ': -7.1748147, 'No': -2.8757043, ' Yes': -3.1510131, 'Yes': -7.2821603}
{' No': -0.17817417, ' ': -6.5434823, 'No': -2.4730198, ' Yes': -2.6156778, 'Yes': -6.035194}
{' No': -0.6967493, 'No': -4.942591, ' Yes': -0.71437126, ' February': -5.9837837, 'Yes': -6.433411}
{' No': -0.4336462, '\n': -5.667275, 'No': -2.4995146, ' Yes': -1.3720541, 'Yes': -4.717078}
{' No': -2.6333632, ' ': -8.058098, 'No': -5.1699824, ' Yes': -0.09595463, 'Yes': -4.375482}
{' No': -0.008743872, '\n': -7.596184, ' ': -6.4223022, 'No': -5.2532334, ' Yes': -6.821854}
{' No': -0.04480592, '\n': -7.349901, ' ': -6.6951566, 'No': -3.1910648, ' Yes': -7.533301}
{' No': -0.08786219, '\n': -4.6866264, ' ': -5.3254566, 'No': -2.6752777, ' Yes': -7.533007}
{' No': -0.013680842, '\n': -9.846409, ' ': -7.198339, 'No': -4.3698955, ' February': -9.90661}
{' No': -0.1871748, '\n': -4.744648, ' ': -5.049243, 'No': -1.8685445, ' no': -7.9668384}
{' No': -0.26534426, ' ': -5.954738, 'No': -3.456138, ' Yes': -1.6615806, ' February': -5.6667175}
{' No': -0.11402147, ' ': -6.08447, 'No': -2.49642, ' Yes': -4.073516, ' no': -5.7112803}
{' No': -0.14497435, ' ': -7.393937, 'No': -2.2737186, ' Yes': -3.538939, 'Yes': -6.7992673}
{' No': -0.3339354, ' ': -6.5289717, 'No': -2.1131046, ' Yes': -1.8912588, 'Yes': -4.796578}
{' No': -0.049197294, ' ': -7.335254, 'No': -3.2967618, ' Yes': -4.644938, ' no': -8.612433}
{' No': -0.8578295, ' ': -6.927211, 'No': -1.7402891, ' Yes': -1.01016, 'Yes': -3.4205089}
{' No': -0.10562592, ' ': -7.5374036, 'No': -2.6492279, ' Yes': -3.5987077, 'Yes': -7.1675477}
{' No': -0.03212387, '\n': -6.844567, ' ': -4.9884033, 'No': -4.513645, ' no': -4.430483}
{' No': -0.06682228, '\n': -7.0850453, ' ': -5.9695377, 'No': -2.8242893, ' Yes': -6.956717}
{' No': -0.15874681, '\n': -4.6649, ' ': -5.073408, 'No': -2.058155, ' Yes': -6.4510336}
{' No': -0.036862325, '\n': -8.051271, ' ': -6.1433053, 'No': -3.4200964, ' no': -7.2179904}
{' No': -0.2614708, '\n': -3.531599, ' ': -4.7069407, 'No': -1.7001666, ' no': -5.638954}
{' No': -0.10667222, '\n': -4.7241225, 'No': -3.0318546, ' Yes': -4.3987646, ' no': -3.7197723}
{' No': -0.045491103, '\n': -7.1219068, ' ': -6.3336105, 'No': -5.086247, ' Yes': -3.344012}
