{' Yes': -0.055776756, ' No': -2.984169, ' The': -6.1620555, 'Yes': -6.8753333, '\n': -8.805377}
{' Yes': -0.020652467, ' No': -4.244285, 'Yes': -5.2629676, ' yes': -8.288167, 'No': -8.548314}
{' No': -0.2601851, ' Yes': -1.5248506, 'No': -4.941166, 'Yes': -6.4242625, '\n': -6.5815864}
{' Yes': -0.11541282, ' No': -2.3207827, 'Yes': -4.9767714, 'No': -6.411465, ' The': -6.9873147}
{' Yes': -0.51649106, ' No': -0.9279348, 'No': -5.8077292, 'Yes': -6.102696, ' The': -6.2086043}
{' Yes': -0.5872716, ' No': -0.83366096, 'No': -5.2198377, 'Yes': -5.8759694, ' The': -7.0779934}
{' No': -0.37490937, ' Yes': -1.2071218, 'No': -4.6795416, 'Yes': -6.3345146, ' The': -6.862807}
{' No': -0.022045402, ' Yes': -4.218874, 'No': -5.0747547, ' The': -7.971927, '\n': -8.556009}
{' No': -0.041209973, ' Yes': -3.5416045, 'No': -4.585634, ' The': -7.403262, 'Yes': -8.549291}
{' Yes': -0.66565275, ' No': -0.7548824, 'No': -5.0070243, 'Yes': -5.7649126, '\n': -6.1626253}
{' Yes': -0.66965234, ' No': -0.7624773, 'No': -4.3558893, 'Yes': -5.2582927, ' The': -6.363372}
{' No': -0.30944934, ' Yes': -1.3784744, 'No': -4.5685034, 'Yes': -6.1163507, ' Not': -6.946786}
{' No': -0.05982597, ' Yes': -2.9948254, 'No': -5.009899, ' The': -7.577131, '\n': -8.146166}
{' Yes': -0.009897492, 'Yes': -4.9958344, ' No': -5.872854, ' yes': -9.405991, '\n': -9.6881485}
{' Yes': -0.13219589, ' No': -2.1718304, 'Yes': -4.9323874, 'No': -6.4839106, '\n': -7.6546273}
{' Yes': -0.0120400535, 'Yes': -5.1140428, ' No': -5.260663, ' The': -8.152681, '\n': -8.437741}
{' Yes': -0.27588895, ' No': -1.4590305, 'Yes': -5.470608, 'No': -5.7710075, ' The': -7.564934}
{' No': -0.036692828, 'No': -3.3693206, ' Yes': -7.3479548, ' The': -7.592679, '\n': -8.645068}
{' No': -0.03803525, 'No': -3.3459423, ' Yes': -6.924938, '\n': -7.4223557, ' The': -8.317108}
{' No': -0.016328817, 'No': -4.208175, ' Yes': -7.3712687, '\n': -7.7646823, ' The': -9.3218775}
{' No': -0.1836481, ' Yes': -1.9055413, 'No': -4.177239, 'Yes': -6.0247393, ' The': -7.376876}
{' Yes': -0.015292478, ' No': -4.6183963, 'Yes': -5.36884, ' yes': -8.368619, ' The': -8.554826}
{' Yes': -0.2755336, ' No': -1.484087, 'Yes': -5.2353077, 'No': -5.5244784, ' The': -6.1543517}
{' No': -0.030124543, 'No': -3.9878213, ' Yes': -4.731758, ' The': -7.0607543, '\n': -7.2239337}
{' No': -0.030153539, ' Yes': -4.2023983, 'No': -4.271525, '\n': -8.2706585, ' The': -8.432903}
{' No': -0.06278241, ' Yes': -3.181902, 'No': -4.034668, 'Yes': -7.4475307, '\n': -7.621795}
{' No': -0.031162025, ' Yes': -4.101415, 'No': -4.367824, ' The': -7.0794563, '\n': -8.554178}
{' No': -0.047374453, 'No': -3.4091904, ' Yes': -5.105779, '\n': -5.410045, ' "': -6.6648836}
{' No': -0.02540269, 'No': -3.920258, ' Yes': -5.45126, ' The': -7.9123955, ' Not': -8.763962}
{' No': -0.037813187, 'No': -3.7139125, ' Yes': -4.5857563, '\n': -6.5542994, ' The': -7.6592727}
{' No': -0.028916331, 'No': -4.156342, ' Yes': -4.5210733, '\n': -7.067562, ' The': -7.572726}
{' Yes': -0.21310851, ' No': -1.6867625, 'Yes': -5.43095, 'No': -6.255129, ' The': -8.569815}
{' No': -0.12687841, ' Yes': -2.2913814, 'No': -4.1272597, 'Yes': -6.7698812, ' The': -8.017051}
{' No': -0.15507005, ' Yes': -1.9785105, 'No': -5.473561, 'Yes': -7.5258145, ' Not': -8.584316}
{' No': -0.026272446, ' Yes': -4.347155, 'No': -4.4661984, ' The': -7.382239, '\n': -7.5993886}
{' Yes': -0.0076058316, 'Yes': -5.401807, ' No': -6.480001, ' "': -7.705704, '\n': -7.8224463}
{' Yes': -0.1000017, ' No': -2.4434922, 'Yes': -5.171134, 'No': -6.615775, ' The': -7.787059}
{' No': -0.12966809, ' Yes': -2.1785495, 'No': -4.899335, 'Yes': -7.4218388, ' The': -9.012073}
{' No': -0.036103982, ' Yes': -3.7185378, 'No': -4.550401, ' The': -8.322916, 'Yes': -8.779196}
{' Yes': -0.065766685, ' No': -2.9561627, 'Yes': -4.6435504, 'No': -6.743844, '\n': -7.6928625}
{' No': -0.6962044, ' Yes': -0.7433885, 'No': -4.049157, 'Yes': -4.92994, '\n': -7.4338655}
{' No': -0.027434343, ' Yes': -4.1941786, 'No': -4.4606957, ' The': -9.318124, 'Yes': -9.355544}
{' No': -0.22155759, ' Yes': -1.6846714, 'No': -4.4959145, 'Yes': -6.823578, ' The': -7.8209286}
{' No': -0.035285085, 'No': -3.4193923, ' Yes': -7.041062, '\n': -7.732281, ' The': -7.994214}
{' No': -0.025119416, ' Yes': -4.1989074, 'No': -4.7319136, ' The': -7.381387, 'Yes': -9.0647}
{' No': -0.03913108, 'No': -3.924286, ' Yes': -4.2395782, '\n': -5.954302, ' The': -7.1485934}
{' No': -0.05599749, ' Yes': -3.2793097, 'No': -4.294481, ' The': -6.654321, '\n': -6.9771476}
{' No': -0.07439352, ' Yes': -2.890094, 'No': -4.3216524, ' The': -6.488677, '\n': -7.527161}
{' No': -0.049651083, ' Yes': -3.686366, 'No': -4.017083, '\n': -5.699706, ' The': -6.7382336}
{' Yes': -0.23280983, ' No': -1.6282966, 'Yes': -5.010745, 'No': -5.6968746, ' The': -7.4919643}
{' No': -0.057225097, ' Yes': -3.1604886, 'No': -4.577456, '\n': -6.593819, ' The': -7.281878}
{' Yes': -0.024754228, 'Yes': -4.3691525, ' No': -4.5134797, 'No': -8.101488, '\n': -8.195972}
{' No': -0.05159926, ' Yes': -3.3445432, 'No': -4.328666, '\n': -7.214777, ' The': -7.5990977}
{' No': -0.109828405, ' Yes': -2.382108, 'No': -4.562932, 'Yes': -7.3162084, ' The': -8.527932}
{' No': -0.22350672, ' Yes': -1.6972387, 'No': -4.29685, 'Yes': -6.377258, ' The': -7.295524}
{' Yes': -0.32651004, ' No': -1.3166509, 'Yes': -5.318711, 'No': -5.3573594, ' The': -7.6981964}
{' Yes': -0.32112437, ' No': -1.3372358, 'Yes': -5.1677065, 'No': -5.3010416, ' The': -7.0521936}
{' No': -0.017789267, 'No': -4.185119, ' Yes': -6.4384165, '\n': -8.109904, ' The': -8.372327}
{' No': -0.032076105, 'No': -3.5005553, ' Yes': -7.433386, '\n': -7.7780113, ' Not': -8.845567}
{' No': -0.034507398, 'No': -3.396858, ' Yes': -8.537073, '\n': -9.097413, ' The': -9.979928}
{' No': -0.038235508, 'No': -3.2936482, '\n': -9.0564575, ' Yes': -9.588989, ' The': -9.707535}
{' Yes': -0.21373649, ' No': -1.7386712, 'Yes': -4.8800383, 'No': -5.4501004, '\n': -5.5857434}
{' Yes': -0.6200345, ' No': -0.8051389, 'No': -4.9885874, 'Yes': -5.523082, '\n': -6.0606565}
{' Yes': -0.15129232, ' No': -2.074949, 'Yes': -4.483939, 'No': -5.857618, '\n': -8.525355}
{' No': -0.30428022, ' Yes': -1.4647683, 'No': -3.874215, 'Yes': -5.655989, ' The': -5.665719}
{' No': -0.014768307, 'No': -4.4652, ' Yes': -5.951541, '\n': -8.146328, ' The': -9.202725}
{' No': -0.01773903, 'No': -4.258429, ' Yes': -5.909657, '\n': -7.9208493, ' ': -8.896676}
{' No': -0.06527709, ' Yes': -3.1240253, 'No': -4.0162086, 'Yes': -7.6887374, ' The': -8.217875}
{' No': -0.034242813, ' Yes': -4.0425644, 'No': -4.223934, '\n': -7.4604797, ' The': -7.740265}
{' No': -0.009732927, 'No': -4.6988444, ' Yes': -8.424497, '\n': -8.884372, ' The': -9.345952}
{' No': -0.022795156, 'No': -3.8018975, '\n': -9.573397, ' The': -9.86244, ' ': -9.886423}
{' No': -0.18671206, ' Yes': -1.8618466, 'No': -4.3709064, 'Yes': -6.8463492, ' The': -7.842834}
{' No': -0.05950311, ' Yes': -3.526996, 'No': -3.589248, 'Yes': -7.719914, '\n': -9.193835}
{' No': -0.22073847, ' Yes': -1.6929656, 'No': -4.467362, 'Yes': -6.5537534, ' Not': -7.8392763}
{' Yes': -0.65191823, ' No': -0.7640761, 'No': -4.7856917, 'Yes': -5.530542, ' The': -7.80022}
{' No': -0.023002075, 'No': -4.033086, ' Yes': -5.5021167, '\n': -7.6737685, ' The': -8.675543}
{' No': -0.04391404, 'No': -3.323733, ' Yes': -5.2969904, '\n': -6.8788137, ' The': -8.285663}
{' No': -0.033509452, 'No': -4.071666, ' Yes': -4.1943254, '\n': -8.432858, ' The': -8.600137}
{' No': -0.060875893, ' Yes': -3.0345507, 'No': -4.613446, '\n': -8.096302, 'Yes': -8.283353}
{' No': -0.028805962, 'No': -3.6385584, ' Yes': -6.370799, '\n': -8.77768, ' The': -9.356116}
{' No': -0.02204284, 'No': -4.3946185, ' Yes': -4.7226596, ' The': -8.3003435, '\n': -8.988915}
{' No': -0.015670694, 'No': -4.5667095, ' Yes': -5.3831215, ' The': -8.420414, '\n': -8.805954}
{' No': -0.010478991, 'No': -5.0662417, ' Yes': -5.568674, ' The': -8.691315, ' Not': -10.21119}
{' No': -0.036004063, 'No': -3.427806, ' Yes': -6.335274, '\n': -7.811658, ' The': -8.040655}
{' No': -0.02711338, 'No': -3.9040527, ' Yes': -5.145071, ' The': -8.412704, '\n': -8.418528}
{' No': -0.022352245, 'No': -4.325603, ' Yes': -4.8773994, ' The': -7.3503146, '\n': -8.159026}
{' No': -0.021880167, 'No': -3.95205, ' Yes': -6.649534, '\n': -7.349858, ' The': -8.269974}
{' No': -0.03920701, 'No': -3.3984656, ' Yes': -5.676875, '\n': -7.0088477, ' The': -7.7966127}
{' No': -0.018063495, 'No': -4.0815973, ' Yes': -7.4983225, ' The': -8.449307, '\n': -9.114917}
{' No': -0.029126363, 'No': -3.7493124, ' Yes': -5.5058355, '\n': -7.3819604, ' ': -8.755629}
{' No': -0.021709658, 'No': -4.2104874, ' Yes': -5.1001225, ' The': -8.274693, '\n': -9.205032}
{' No': -0.026014313, ' Yes': -4.384525, 'No': -4.5489326, '\n': -6.7250724, ' The': -6.9785438}
{' No': -0.033096455, 'No': -3.5127735, ' Yes': -6.320972, '\n': -7.5578346, ' The': -8.865652}
{' No': -0.0218469, 'No': -4.563551, ' Yes': -4.5749507, ' The': -7.6123085, '\n': -8.831339}
{' No': -0.016193235, 'No': -4.489179, ' Yes': -5.4832053, ' The': -7.936996, '\n': -8.75}
{' No': -0.05603153, ' Yes': -3.4949124, 'No': -3.8031304, '\n': -6.9679728, 'Yes': -7.907556}
{' No': -0.12556854, ' Yes': -2.6141016, 'No': -3.223833, '\n': -6.0399094, 'Yes': -6.638695}
{' No': -0.04647043, ' Yes': -3.6425126, 'No': -3.9846241, 'Yes': -8.079477, '\n': -8.80548}
{' No': -0.016370557, ' Yes': -4.621925, 'No': -5.103418, ' The': -9.163866, '\n': -9.319476}
{' Yes': -0.21359877, ' No': -1.6937472, 'Yes': -5.339852, 'No': -6.047894, ' The': -7.559338}
{' No': -0.048351146, 'No': -3.5777757, ' Yes': -4.0909534, '\n': -6.819719, ' The': -7.3461337}
{' Yes': -0.13528703, ' No': -2.1745992, 'Yes': -5.0215096, ' The': -6.2380886, 'No': -6.4807706}
{' Yes': -0.4152781, ' No': -1.1231182, 'Yes': -5.21893, 'No': -5.3801084, '\n': -6.3680954}
{' Yes': -0.06329479, ' No': -3.0922806, 'Yes': -4.289201, 'No': -6.3002133, '\n': -8.898551}
{' No': -0.27284136, ' Yes': -1.4874638, 'No': -4.6180353, 'Yes': -6.5996327, ' The': -7.397215}
{' No': -0.06028872, ' Yes': -3.2038739, 'No': -4.099988, 'Yes': -7.708661, '\n': -7.8150034}
{' Yes': -0.35031638, ' No': -1.2468599, 'Yes': -5.595111, 'No': -5.975068, ' The': -7.1645865}
{' No': -0.29171938, ' Yes': -1.4570065, 'No': -4.083017, 'Yes': -6.018489, '\n': -7.977515}
{' No': -0.10102881, 'No': -2.9468026, ' Yes': -3.1805997, 'Yes': -6.6608872, '\n': -8.168905}
{' No': -0.018993834, 'No': -4.5719814, ' Yes': -4.916035, '\n': -7.450964, ' The': -8.299753}
{' No': -0.01753629, 'No': -4.1484795, ' Yes': -7.057108, '\n': -7.978044, ' The': -8.87451}
{' No': -0.023550717, 'No': -4.2053647, ' Yes': -4.941094, '\n': -7.6406393, ' The': -7.890961}
{' No': -0.022887422, 'No': -4.5038786, ' Yes': -4.5139093, ' The': -8.356795, '\n': -8.773269}
{' Yes': -0.5395155, ' No': -0.919692, 'No': -4.6598268, 'Yes': -4.8916044, ' The': -7.6082172}
{' Yes': -0.38378635, ' No': -1.1905701, 'Yes': -5.0605974, 'No': -5.0953836, ' The': -7.1351094}
{' No': -0.20165244, ' Yes': -1.7986124, 'No': -4.239202, 'Yes': -6.526952, ' The': -7.696054}
{' Yes': -0.12991397, ' No': -2.2005563, 'Yes': -4.881169, 'No': -6.0762424, ' The': -7.2599773}
{' No': -0.013692867, 'No': -4.3423862, ' Yes': -8.17857, ' The': -8.477282, '\n': -10.345374}
{' No': -0.025019305, 'No': -3.8880067, ' Yes': -5.7184453, '\n': -7.7343616, ' The': -8.348791}
{' No': -0.12547806, ' Yes': -2.252927, 'No': -4.4662333, 'Yes': -7.345891, ' The': -7.9917727}
{' No': -0.035638086, 'No': -3.3730688, '\n': -8.361506, ' The': -8.496028, ' Yes': -9.077262}
{' Yes': -0.28671926, ' No': -1.4576464, 'Yes': -4.8333235, 'No': -4.901524, ' The': -7.7422414}
{' No': -0.5103463, ' Yes': -0.9406518, 'No': -5.0153456, 'Yes': -6.0698404, ' The': -8.85553}
{' No': -0.033272304, 'No': -3.5999856, ' Yes': -5.3896947, ' The': -8.082424, '\n': -8.645987}
{' No': -0.27513382, ' Yes': -1.4939104, 'No': -4.3865933, 'Yes': -6.045813, ' The': -7.3599877}
{' No': -0.065797046, ' Yes': -2.9370184, 'No': -4.691491, '\n': -7.7816687, 'Yes': -7.9505835}
{' No': -0.46397853, ' Yes': -1.0244414, 'No': -4.834698, 'Yes': -5.7096844, ' The': -8.083863}
{' No': -0.023927733, 'No': -4.2134304, ' Yes': -4.8368874, '\n': -7.596252, ' The': -8.579863}
{' No': -0.042325582, 'No': -3.472339, ' Yes': -4.6597247, '\n': -7.8723598, 'Yes': -8.413414}
{' No': -0.011604891, 'No': -4.52508, ' Yes': -8.022829, ' The': -8.834852, '\n': -9.331169}
{' No': -0.008854092, 'No': -4.9415207, ' Yes': -6.5837765, '\n': -9.167095, ' The': -9.500734}
{' No': -0.07073787, 'No': -3.1256237, ' Yes': -3.8919792, '\n': -6.5915966, 'Yes': -7.395227}
{' No': -0.059190784, ' Yes': -3.2687986, 'No': -4.0751796, '\n': -7.196962, ' The': -7.441795}
{' No': -0.24917546, ' Yes': -1.6210455, 'No': -4.0186324, '\n': -6.2537627, 'Yes': -6.4589987}
{' No': -0.02700719, 'No': -3.9510334, ' Yes': -4.9643087, ' The': -9.139658, '\n': -9.188712}
{' Yes': -0.43973666, ' No': -1.0600598, 'Yes': -5.603629, 'No': -6.0476255, '\n': -6.526149}
{' No': -0.019115461, 'No': -4.346731, ' Yes': -5.315948, '\n': -8.13669, ' The': -8.150296}
{' No': -0.027501857, 'No': -3.890764, ' Yes': -5.1795077, ' The': -7.876968, '\n': -7.981832}
{' No': -0.024135254, 'No': -4.4420276, ' Yes': -4.489839, '\n': -7.832513, ' The': -8.552016}
{' No': -0.18760584, ' Yes': -1.8632784, 'No': -4.3329573, 'Yes': -6.6229997, ' The': -7.252398}
{' No': -0.4595059, ' Yes': -1.024163, 'No': -5.1059713, 'Yes': -5.991177, '\n': -8.155223}
{' No': -0.21687014, ' Yes': -1.689637, 'No': -4.844546, ' The': -6.9252305, 'Yes': -6.9857826}
{' No': -0.14455366, ' Yes': -2.1908755, 'No': -3.930738, 'Yes': -6.618383, ' The': -7.199537}
{' No': -0.022855405, 'No': -4.100639, ' Yes': -5.4737887, '\n': -6.6857467, ' The': -8.193909}
{' No': -0.020873735, 'No': -4.4211135, ' Yes': -4.7956614, ' The': -8.811185, 'Yes': -9.627261}
{' No': -0.020381423, 'No': -3.9521627, ' Yes': -7.59703, ' The': -8.447005, '\n': -9.332349}
{' No': -0.021107107, 'No': -3.913332, ' Yes': -7.70772, ' The': -8.487648, '\n': -8.949965}
{' No': -0.02951372, 'No': -3.5752175, ' Yes': -7.623048, '\n': -8.292512, ' The': -8.845855}
{' No': -0.031187112, 'No': -3.5309637, ' Yes': -7.15669, ' The': -8.288415, '\n': -8.624981}
{' No': -0.029568909, 'No': -3.5539486, ' Not': -8.663451, ' The': -9.33141, ' Unfortunately': -9.340053}
{' No': -0.024445549, 'No': -3.8846729, ' Yes': -5.709334, ' The': -9.327628, '\n': -9.697778}
{' No': -0.030069016, ' Yes': -3.9631114, 'No': -4.6091475, ' The': -8.571229, ' "': -8.859103}
{' No': -0.23115952, ' Yes': -1.7080556, 'No': -3.8577425, 'Yes': -5.775164, ' The': -7.528689}
{' No': -0.025048947, 'No': -4.1161723, ' Yes': -4.8524375, '\n': -8.599912, ' The': -8.620915}
{' No': -0.02402804, ' Yes': -4.42599, 'No': -4.5097322, ' The': -8.52361, '\n': -8.998061}
{' Yes': -0.016457386, 'Yes': -4.6996903, ' No': -5.4521165, '\n': -6.3446693, ' "': -7.6417947}
{' Yes': -0.45526022, ' No': -1.048621, 'No': -4.827576, 'Yes': -5.3153734, ' The': -6.799151}
{' Yes': -0.47772813, ' No': -0.9889319, ' The': -5.7253056, 'No': -6.107048, 'Yes': -6.4547863}
{' Yes': -0.41511658, ' No': -1.0990956, 'No': -6.1305704, 'Yes': -6.1816607, ' The': -6.496925}
{' Yes': -0.643714, ' No': -0.7579967, 'No': -5.8229055, 'Yes': -6.165808, ' The': -7.3272195}
{' No': -0.13057956, ' Yes': -2.1505246, 'No': -5.294619, 'Yes': -7.488426, ' The': -8.4618}
{' No': -0.007668296, 'No': -5.4520802, ' Yes': -5.907353, ' The': -7.983614, '\n': -9.279578}
{' No': -0.021547947, 'No': -4.051686, ' Yes': -5.8214993, ' The': -7.836512, ' Not': -8.075914}
{' No': -0.034579955, ' Yes': -3.738916, 'No': -4.6977954, ' The': -7.523124, '\n': -8.413003}
{' No': -0.019128462, ' Yes': -4.609779, 'No': -4.7964396, ' The': -8.137813, '\n': -8.38488}
{' No': -0.17023768, ' Yes': -1.9366218, 'No': -4.5216646, 'Yes': -7.05758, ' The': -8.05653}
{' No': -0.082338564, ' Yes': -2.76569, 'No': -4.22423, ' The': -7.413597, 'Yes': -7.846861}
{' No': -0.009730338, 'No': -4.7075586, ' Yes': -8.003738, ' The': -9.065216, ' Not': -9.401817}
{' No': -0.033138964, ' Yes': -3.796122, 'No': -4.6530995, ' The': -8.644841, 'Yes': -8.6604595}
{' No': -0.05123475, ' Yes': -3.1947205, 'No': -4.8679323, ' The': -7.1969767, '\n': -8.522935}
{' No': -0.010393342, 'No': -4.79183, ' Yes': -6.401296, ' The': -8.595379, '\n': -9.466162}
{' Yes': -0.10445473, ' No': -2.3379788, 'Yes': -6.2966447, 'No': -7.91481, ' The': -8.396744}
{' Yes': -0.0458974, ' No': -3.1859174, 'Yes': -5.888591, ' The': -7.993267, 'No': -8.259258}
{' No': -0.02009914, 'No': -4.552959, ' Yes': -4.717996, '\n': -9.230773, ' The': -9.273959}
{' No': -0.025486937, 'No': -4.328957, ' Yes': -4.503894, '\n': -8.176372, ' The': -8.3342495}
{' No': -0.29381147, ' Yes': -1.4386231, 'No': -4.229568, 'Yes': -6.2682605, ' The': -7.843017}
{' No': -0.009039025, 'No': -4.749008, ' Yes': -8.598686, '\n': -9.976879, ' The': -10.04887}
{' No': -0.07361333, ' Yes': -2.8529463, 'No': -4.5067587, ' The': -6.956218, '\n': -7.877721}
{' No': -0.03237022, 'No': -3.8980718, ' Yes': -4.585797, ' The': -7.8227725, '\n': -7.8450356}
{' Yes': -0.003586366, 'Yes': -5.652409, ' yes': -9.83074, '\n': -12.078013, ' ': -12.44546}
{' Yes': -0.0050411494, 'Yes': -5.3707066, ' No': -8.182627, ' yes': -10.049841, ' The': -10.768478}
{' No': -0.10682171, ' Yes': -2.4532456, 'No': -4.405867, ' Not': -6.5267305, ' The': -7.115603}
{' No': -0.020897778, 'No': -4.3068113, ' Yes': -5.003712, ' The': -8.522373, ' Not': -9.416328}
{' No': -0.4717754, ' Yes': -1.0027279, 'No': -5.1076055, 'Yes': -6.1934223, ' The': -7.4506664}
{' No': -0.17176758, ' Yes': -1.9335245, 'No': -4.5078764, 'Yes': -6.685223, ' The': -7.5300894}
{' No': -0.0075092018, 'No': -5.017353, ' Yes': -7.413173, '\n': -9.215669, ' The': -9.728874}
{' No': -0.017989757, 'No': -4.435777, ' Yes': -5.2066264, '\n': -8.728969, ' The': -9.025014}
{' No': -0.021841116, 'No': -3.9100626, ' Yes': -6.7162013, ' The': -8.507059, ' Not': -10.043153}
{' No': -0.025514148, 'No': -4.2552238, ' Yes': -4.5493846, ' The': -8.780261, 'Yes': -9.354413}
{' No': -0.40064368, ' Yes': -1.1337656, 'No': -5.329271, ' The': -6.4916596, 'Yes': -6.6030965}
{' No': -0.031288456, ' Yes': -3.6757245, 'No': -5.2888017, ' The': -8.766012, '\n': -9.2632885}
{' No': -0.32122076, ' Yes': -1.3288578, 'No': -5.0648804, 'Yes': -6.144322, ' The': -6.863413}
{' No': -0.09666212, ' Yes': -2.533956, 'No': -4.48187, 'Yes': -7.000728, ' The': -8.0033245}
{' No': -0.044426866, ' Yes': -3.4500816, 'No': -4.521664, ' The': -8.1189, 'Yes': -8.533739}
{' No': -0.020305265, 'No': -4.58084, ' Yes': -4.669023, ' The': -8.536889, '\n': -9.255906}
{' Yes': -0.39140096, ' No': -1.142122, 'Yes': -6.146949, 'No': -6.337789, ' The': -7.7144175}
{' No': -0.2365095, ' Yes': -1.6574727, 'No': -4.076931, 'Yes': -6.1532893, '\n': -7.6832404}
{' Yes': -0.005848653, ' No': -5.790644, 'Yes': -5.926197, ' yes': -9.59668, 'No': -10.904381}
{' Yes': -0.46598452, ' No': -1.0073739, 'No': -5.53277, 'Yes': -5.826906, ' The': -8.813148}
{' No': -0.010536454, 'No': -4.892433, ' Yes': -5.9630566, ' The': -8.824339, ' Not': -8.915211}
{' No': -0.39853808, ' Yes': -1.1348912, 'No': -5.557691, ' The': -6.524297, 'Yes': -6.916049}
{' Yes': -0.020821093, ' No': -4.1036935, 'Yes': -5.597874, 'No': -8.65637, ' The': -9.445551}
{' No': -0.121883176, ' Yes': -2.229221, 'No': -5.223552, ' The': -7.5082946, 'Yes': -7.6107817}
{' Yes': -0.2968924, ' No': -1.3818171, 'Yes': -5.8994007, 'No': -6.238638, ' The': -7.292799}
{' Yes': -0.42493382, ' No': -1.0759195, 'No': -6.183702, 'Yes': -6.2409167, ' The': -6.9690485}
{' No': -0.6177964, ' Yes': -0.78771263, 'No': -5.579886, 'Yes': -6.519263, ' The': -7.7649307}
{' No': -0.2952784, ' Yes': -1.3928775, 'No': -5.2793746, ' The': -6.9361525, 'Yes': -7.2241015}
{' No': -0.030721053, ' Yes': -3.6850808, 'No': -5.432054, ' The': -7.784833, ' Not': -9.06026}
{' No': -0.063429736, ' Yes': -2.904025, 'No': -5.1389832, ' The': -7.745101, 'Yes': -8.519688}
{' Yes': -0.1925728, ' No': -1.7640927, 'Yes': -6.4348745, 'No': -7.0614896, ' The': -7.176249}
{' No': -0.53175986, ' Yes': -0.90626574, 'No': -5.1376996, 'Yes': -6.4091973, ' The': -7.41466}
{' No': -0.15095145, ' Yes': -2.0490363, 'No': -4.7541676, ' Not': -6.558187, 'Yes': -7.212413}
{' No': -0.01510185, ' Yes': -4.7384124, 'No': -5.166105, ' The': -8.214904, ' Not': -9.423926}
{' Yes': -0.0067648143, ' No': -5.695943, 'Yes': -5.7279997, ' yes': -10.321355, '\n': -10.4757395}
{' Yes': -0.084780976, ' No': -2.5625908, 'Yes': -5.6817846, 'No': -7.7211084, ' The': -9.221671}
{' Yes': -0.010852082, ' No': -4.9995203, 'Yes': -5.588509, ' The': -9.197814, 'No': -9.523695}
{' Yes': -0.31387568, ' No': -1.3320756, 'Yes': -6.003508, 'No': -6.156456, ' The': -7.663922}
{' No': -0.022160936, 'No': -3.8629696, ' Yes': -7.7771673, ' The': -8.375493, ' Not': -8.777856}
{' No': -0.020623261, 'No': -3.997996, ' Yes': -6.440892, ' The': -8.566621, '\n': -9.1802}
{' No': -0.01045038, 'No': -4.7122517, ' Yes': -6.85613, '\n': -8.907927, ' The': -9.266438}
{' No': -0.34001514, ' Yes': -1.2872503, 'No': -4.7564483, 'Yes': -6.007234, ' The': -7.236234}
{' Yes': -0.026381372, ' No': -3.7945716, 'Yes': -5.810607, ' The': -8.463317, 'No': -8.702468}
{' Yes': -0.29355076, ' No': -1.3932917, 'Yes': -6.0359707, 'No': -6.34531, ' The': -6.7396035}
{' No': -0.014367695, 'No': -4.668403, ' Yes': -5.417518, ' The': -8.434096, '\n': -9.642577}
{' No': -0.015047937, 'No': -4.915442, ' Yes': -4.91573, ' The': -8.996732, 'Yes': -10.184989}
{' No': -0.029069172, ' Yes': -4.0247164, 'No': -4.5745134, ' The': -8.576417, 'Yes': -9.044015}
{' No': -0.039546456, ' Yes': -3.571748, 'No': -4.700065, ' The': -6.9297276, 'Yes': -8.413169}
{' No': -0.016703608, 'No': -4.424582, ' Yes': -5.669001, ' The': -7.8676724, '\n': -8.144553}
{' No': -0.015800593, 'No': -4.5609055, ' Yes': -5.34606, ' The': -8.488739, ' Not': -9.601313}
{' No': -0.016582096, 'No': -4.5970798, ' Yes': -5.157251, ' The': -8.336718, '\n': -8.701675}
{' No': -0.012999894, 'No': -4.9724874, ' Yes': -5.2104716, ' The': -8.254331, '\n': -9.472478}
{' Yes': -0.17935292, ' No': -1.8327552, 'Yes': -5.886363, 'No': -6.7739606, ' The': -8.951777}
{' No': -0.497252, ' Yes': -0.9627004, 'No': -5.0080304, 'Yes': -5.985905, ' The': -7.729639}
{' No': -0.16650835, ' Yes': -1.8967519, 'No': -5.9899006, 'Yes': -8.11458, ' Not': -8.52964}
{' No': -0.025774535, ' Yes': -3.9259112, 'No': -5.2918134, ' The': -8.023628, '\n': -8.928202}
{' Yes': -0.0047622668, 'Yes': -5.799955, ' No': -6.6498747, ' yes': -8.841754, ' The': -9.137329}
{' Yes': -0.080781996, ' No': -2.6133156, 'Yes': -5.7639694, 'No': -7.355398, ' The': -8.068918}
{' No': -0.2797614, ' Yes': -1.4252043, 'No': -5.9267225, 'Yes': -7.4790983, ' The': -8.877219}
{' No': -0.07681971, ' Yes': -2.723735, 'No': -4.894391, 'Yes': -8.071492, ' The': -8.140666}
{' Yes': -0.045492098, ' No': -3.248329, 'Yes': -5.3081355, 'No': -7.7281666, '\n': -9.52237}
{' No': -0.64177394, ' Yes': -0.77396834, 'No': -4.775063, 'Yes': -5.6423063, ' The': -8.552265}
{' No': -0.02149545, ' Yes': -4.1408567, 'No': -5.278943, ' Not': -9.618766, ' The': -9.646075}
{' No': -0.13961558, ' Yes': -2.1200957, 'No': -4.681112, 'Yes': -7.523515, ' The': -8.493866}
{' No': -0.013732931, 'No': -4.5553837, ' Yes': -6.000869, ' The': -7.958448, '\n': -9.1430235}
{' No': -0.028106736, ' Yes': -3.8275566, 'No': -5.2566757, ' The': -7.7056885, 'Yes': -9.268276}
