{' No': -3.5439048, ' ': -9.908948, 'No': -9.454865, ' Yes': -0.030950211, 'Yes': -6.564}
{' No': -8.362765, ' ': -10.4974985, ' Yes': -0.005485812, ' yes': -9.920449, 'Yes': -5.268511}
{' No': -10.4584465, ' ': -10.683493, ' Yes': -0.010382381, ' yes': -9.734689, 'Yes': -4.5846734}
{' No': -8.744934, ' ': -11.308646, ' Yes': -0.0037158828, ' yes': -10.359108, 'Yes': -5.6545715}
{' No': -7.061845, ' ': -10.294316, ' Yes': -0.0088456115, ' yes': -9.974191, 'Yes': -4.8481174}
{' No': -10.382844, ' ': -10.545606, ' Yes': -0.0068891607, ' yes': -8.627088, 'Yes': -5.018028}
{' YES': -12.828864, ' ': -10.625135, ' Yes': -0.0005742871, ' yes': -9.029245, 'Yes': -7.768295}
{' No': -11.09403, ' ': -9.777474, ' Yes': -0.005062838, ' yes': -8.974013, 'Yes': -5.3312216}
{' No': -10.217238, ' ': -9.231658, ' Yes': -0.0040221224, ' yes': -9.298856, 'Yes': -5.581756}
{' No': -12.448899, ' ': -10.890539, ' Yes': -0.0011031248, ' yes': -9.751953, 'Yes': -6.8904705}
{' No': -10.469438, ' ': -8.371009, ' Yes': -0.0056623295, ' yes': -9.574871, 'Yes': -5.242543}
{'\n': -10.37185, ' ': -8.908749, ' Yes': -0.0048501883, ' yes': -7.3836627, 'Yes': -5.517307}
{' No': -11.122686, ' ': -11.015487, ' Yes': -0.0067211296, ' yes': -7.605821, 'Yes': -5.0919585}
{' No': -11.164197, ' ': -12.648572, ' Yes': -0.005241557, ' yes': -10.185925, 'Yes': -5.264976}
{' ': -10.201056, ' Yes': -0.017225826, ' yes': -8.106701, 'Yes': -4.092358, 'yes': -11.019022}
{' No': -11.111725, ' ': -11.327785, ' Yes': -0.00396581, ' yes': -8.995962, 'Yes': -5.5734367}
{' No': -9.814406, ' ': -9.932267, ' Yes': -0.018417023, ' yes': -8.410075, 'Yes': -4.0233245}
{' ': -9.919355, ' Yes': -0.022177147, ' yes': -6.892878, 'Yes': -3.873076, 'yes': -9.948577}
{' ': -9.59284, ' Yes': -0.002529857, ' yes': -6.5907526, 'Yes': -6.846795, 'yes': -11.395832}
{' ': -8.979938, ' Yes': -0.0086635435, ' yes': -7.215491, 'Yes': -4.864184, 'yes': -10.565545}
{'\n': -10.605629, ' ': -8.373263, ' Yes': -0.01085654, ' yes': -7.9216514, 'Yes': -4.5901833}
{' ': -8.900821, ' Yes': -0.0045788405, ' yes': -6.7194943, 'Yes': -5.755704, 'yes': -10.4135475}
{'\n': -9.382486, ' ': -7.713488, ' Yes': -0.0106859105, ' yes': -7.7809224, 'Yes': -4.6421556}
{' ': -7.521371, ' Yes': -0.01718459, ' yes': -4.920697, 'Yes': -4.725915, 'yes': -8.801684}
{'\n': -12.461206, ' ': -10.419886, ' Yes': -0.0005261615, ' yes': -9.691097, 'Yes': -7.7599235}
{' No': -11.4643135, ' ': -9.182204, ' Yes': -0.0041579236, ' yes': -9.4051895, 'Yes': -5.5368}
{'\n': -9.7934675, ' ': -8.492617, ' Yes': -0.004557702, ' yes': -9.435305, 'Yes': -5.481286}
{' No': -9.774398, ' ': -9.249938, ' Yes': -0.0010934623, ' yes': -9.736065, 'Yes': -7.0467453}
{' No': -9.671708, ' ': -8.106357, ' Yes': -0.0052521634, ' yes': -9.803542, 'Yes': -5.3430114}
{' No': -11.487769, ' ': -9.333556, ' Yes': -0.0014474274, ' yes': -9.024596, 'Yes': -6.7121}
{' No': -0.004176355, ' ': -9.80667, 'No': -5.4949365, ' no': -13.309704, ' NO': -13.247679}
{' No': -0.010072562, ' ': -9.620542, 'No': -4.61025, ' no': -13.560532, ' NO': -12.546823}
{' No': -0.015890153, ' ': -9.082743, 'No': -4.157854, ' no': -13.459592, ' NO': -12.129047}
{' No': -0.005613659, ' ': -10.137539, 'No': -5.193161, ' no': -13.607513, ' NO': -13.384835}
{' No': -0.017345838, ' ': -9.057859, 'No': -4.070408, ' no': -13.116648, ' NO': -12.8867035}
{' No': -0.018799642, ' ': -8.510762, 'No': -3.995402, ' no': -11.859051, ' NO': -12.279704}
{' No': -0.00075596484, '\n': -12.5711775, ' ': -9.227932, 'No': -7.341522, ' no': -12.736464}
{' No': -0.0055145207, '\n': -12.191353, ' ': -8.639643, 'No': -5.238415, ' NO': -12.501023}
{' No': -0.004916253, '\n': -10.942719, ' ': -8.612943, 'No': -5.3609457, ' NO': -12.710412}
{' No': -0.0019174875, '\n': -12.254728, ' ': -9.251629, 'No': -6.314129, ' NO': -13.038693}
{' No': -0.0076475153, '\n': -10.2094555, ' ': -7.779497, 'No': -4.9403963, ' NO': -12.417971}
{' No': -0.0059345695, '\n': -9.876036, ' ': -8.119978, 'No': -5.1950235, ' no': -11.3365965}
{' No': -0.014684773, ' ': -9.3194275, 'No': -4.238083, ' no': -10.299217, ' NO': -11.594516}
{' No': -0.010071357, ' ': -10.937504, 'No': -4.6050763, ' no': -14.019826, ' NO': -14.270127}
{' No': -0.045518614, ' ': -8.792531, 'No': -3.1167538, ' no': -11.289285, ' NO': -11.449725}
{' No': -0.007977955, ' ': -9.471407, 'No': -4.8470473, ' no': -11.66954, ' NO': -12.31602}
{' No': -0.03225953, '\n': -11.650411, ' ': -8.652639, 'No': -3.4569726, ' no': -11.227631}
{' No': -0.05986451, ' x': -10.279274, ' ': -7.968569, 'No': -2.855923, ' no': -9.022466}
{' No': -0.0017649747, '\n': -11.227766, ' ': -7.9950337, 'No': -6.6062512, ' no': -9.86745}
{' No': -0.011569737, '\n': -11.084206, ' ': -7.797963, 'No': -4.505533, ' no': -10.983806}
{' No': -0.016251754, '\n': -9.152429, ' ': -7.117482, 'No': -4.188138, ' no': -11.4981165}
{' No': -0.0051400624, '\n': -10.299399, ' ': -7.502795, 'No': -5.409385, ' no': -9.919183}
{' No': -0.011647888, '\n': -8.612504, ' ': -6.9961977, 'No': -4.5606933, ' no': -11.146675}
{' No': -0.015101487, '\n': -8.363284, ' ': -6.6579924, 'No': -4.3371572, ' no': -7.9880013}
{' No': -0.0009262802, '\n': -11.74575, ' ': -8.788922, 'No': -7.182941, ' no': -12.844871}
{' No': -0.0046990244, '\n': -11.439359, ' ': -8.105639, 'No': -5.4337587, ' NO': -12.280625}
{' No': -0.006468532, '\n': -9.187581, ' ': -7.7520833, 'No': -5.132481, ' NO': -12.071479}
{' No': -0.0018128045, '\n': -11.129522, ' ': -8.135053, 'No': -6.506356, ' NO': -12.21154}
{' No': -0.0061446903, '\n': -9.587806, ' ': -7.4021783, 'No': -5.2150755, ' NO': -12.336778}
{' No': -0.0022212046, '\n': -11.593305, ' ': -8.396409, 'No': -6.2268934, ' no': -12.431876}
{' No': -0.015298169, ' ': -9.849774, 'No': -5.7496743, ' Yes': -4.431777, 'Yes': -9.964932}
{' No': -0.040661175, ' ': -9.0616665, 'No': -4.4049644, ' Yes': -3.604359, 'Yes': -8.115816}
{' No': -0.022277644, ' ': -8.880801, 'No': -4.005665, ' Yes': -5.6267376, 'Yes': -9.586439}
{' No': -0.011801068, ' ': -10.224989, 'No': -4.976963, ' Yes': -5.3468, 'Yes': -10.306238}
{' No': -0.043915097, ' ': -8.792352, 'No': -3.7488291, ' Yes': -3.9673996, 'Yes': -8.011742}
{' No': -2.403553, 'No': -6.2753396, ' Yes': -0.10613091, ' yes': -8.8869705, 'Yes': -4.8136883}
{' No': -2.643642, ' ': -8.702587, ' Yes': -0.074805684, ' yes': -8.807933, 'Yes': -7.422284}
{' No': -2.023093, ' ': -8.110483, 'No': -6.821046, ' Yes': -0.1511468, 'Yes': -5.0359197}
{' No': -1.1727315, ' ': -6.971807, 'No': -6.332622, ' Yes': -0.38108262, 'Yes': -5.4444733}
{' No': -0.7253216, ' ': -8.282329, 'No': -7.1306024, ' Yes': -0.66605455, 'Yes': -6.9217825}
{' No': -1.0638605, ' ': -6.205115, 'No': -5.9763837, ' Yes': -0.43823102, 'Yes': -5.3341336}
{' No': -5.580809, ' ': -8.481275, ' Yes': -0.009543715, ' yes': -7.57524, 'Yes': -5.322149}
{' No': -0.022076296, ' ': -9.258587, 'No': -4.519364, ' Yes': -4.5402308, 'Yes': -9.006928}
{' No': -1.1177703, ' ': -9.797679, 'No': -5.4503336, ' Yes': -0.41286388, 'Yes': -4.985828}
{' No': -0.61193365, ' ': -7.970565, 'No': -4.262927, ' Yes': -0.8359042, 'Yes': -4.645882}
{' No': -4.0264854, 'No': -8.872322, ' Yes': -0.023876393, ' yes': -8.996516, 'Yes': -5.216213}
{' No': -0.1559909, ' ': -7.8226075, 'No': -3.5923462, ' Yes': -2.1716158, 'Yes': -6.025929}
{' No': -1.4085929, 'No': -4.352109, ' Yes': -0.32579505, ' yes': -6.9792805, 'Yes': -3.9661186}
{' No': -1.7141955, ' ': -7.164983, ' Yes': -0.20355812, ' yes': -6.4718413, 'Yes': -6.5842013}
{' No': -0.123410925, ' ': -7.092005, 'No': -4.6728687, ' Yes': -2.2586534, 'Yes': -6.677963}
{' No': -1.396472, ' ': -6.159205, 'No': -5.816081, ' Yes': -0.30405545, 'Yes': -4.726163}
{' No': -0.11556703, ' ': -6.746535, 'No': -5.348, ' Yes': -2.2802474, 'Yes': -7.3402834}
{' No': -0.2600928, ' ': -5.6992345, 'No': -4.819581, ' Yes': -1.5428363, 'Yes': -5.849126}
{' No': -2.3189175, ' ': -6.2029104, ' Yes': -0.12597571, ' yes': -5.02744, 'Yes': -4.689126}
{' No': -4.0534434, ' ': -8.862619, ' Yes': -0.01837337, ' yes': -9.420217, 'Yes': -7.4453883}
{' No': -0.5283817, ' ': -7.0889373, 'No': -5.8089733, ' Yes': -0.9059013, 'Yes': -6.060339}
{' No': -3.049021, ' ': -6.8964634, 'No': -8.024424, ' Yes': -0.057049084, 'Yes': -5.0679874}
{' No': -1.9370904, ' ': -7.265272, 'No': -8.446789, ' Yes': -0.15844974, 'Yes': -6.6009054}
{' No': -3.48951, ' ': -6.8581915, 'No': -8.34207, ' Yes': -0.039423622, 'Yes': -5.0210233}
{' No': -3.960338, ' ': -7.913465, ' Yes': -0.021606172, ' yes': -8.711195, 'Yes': -6.3749475}
{' YES': -12.211085, ' ': -11.50518, ' Yes': -0.0042344774, ' yes': -10.260566, 'Yes': -5.479101}
{' YES': -11.476148, ' ': -11.052475, ' Yes': -0.01207776, ' yes': -9.7373295, 'Yes': -4.4300275}
{' YES': -11.088952, ' ': -10.806062, ' Yes': -0.015855273, ' yes': -9.808791, 'Yes': -4.1584234}
{' YES': -12.272391, ' ': -11.749894, ' Yes': -0.006394506, ' yes': -10.246343, 'Yes': -5.0634947}
{' YES': -11.7857, ' ': -11.074395, ' Yes': -0.014146529, ' yes': -9.964297, 'Yes': -4.2709517}
{' YES': -11.431666, ' ': -10.659028, ' Yes': -0.012110037, ' yes': -8.99774, 'Yes': -4.433735}
{' YES': -11.858145, ' ': -10.979352, ' Yes': -0.0007276927, ' yes': -9.546269, 'Yes': -7.3722496}
{' YES': -11.335182, ' ': -10.232834, ' Yes': -0.00810095, ' yes': -9.312691, 'Yes': -4.8389688}
{'\n': -10.140495, ' ': -9.658236, ' Yes': -0.005717, ' yes': -9.125416, 'Yes': -5.2085404}
{' YES': -12.160046, ' ': -11.606234, ' Yes': -0.0015626373, ' yes': -9.877465, 'Yes': -6.507305}
{'\n': -10.704442, ' ': -9.108807, ' Yes': -0.008036358, ' yes': -9.647235, 'Yes': -4.855332}
{'\n': -9.8901825, ' ': -9.254086, ' Yes': -0.008219091, ' yes': -7.8587933, 'Yes': -4.878607}
{' ': -10.811628, ' Yes': -0.011788641, ' yes': -8.141095, 'Yes': -4.4768896, 'yes': -10.866063}
{' ': -13.066078, ' Yes': -0.01309724, ' yes': -10.389691, 'Yes': -4.3449187, 'yes': -12.345284}
{' YES': -10.475601, ' ': -10.433743, ' Yes': -0.026941182, ' yes': -8.179155, 'Yes': -3.6414719}
{' ': -11.080186, ' Yes': -0.008492509, ' yes': -8.947192, 'Yes': -4.7923303, 'yes': -11.57328}
{' ': -10.107606, ' Yes': -0.022530848, ' yes': -8.891368, 'Yes': -3.8139565, 'yes': -10.761235}
{' ': -9.630168, ' Yes': -0.0278257, ' yes': -6.9204516, 'Yes': -3.6387858, 'yes': -9.620748}
{' YES': -10.918589, ' ': -9.568368, ' Yes': -0.003735446, ' yes': -6.8412747, 'Yes': -5.97535}
{' ': -9.059273, ' Yes': -0.017981444, ' yes': -7.078617, 'Yes': -4.0893006, 'yes': -9.664093}
{'\n': -9.138357, ' ': -8.566896, ' Yes': -0.01456895, ' yes': -7.7177815, 'Yes': -4.292811}
{' ': -9.266711, ' Yes': -0.008198362, ' yes': -6.741295, 'Yes': -4.993918, 'yes': -9.8096695}
{'\n': -9.158132, ' ': -8.210201, ' Yes': -0.016923822, ' yes': -8.096016, 'Yes': -4.132608}
{'\n': -8.036817, ' ': -7.9407287, ' Yes': -0.028014908, ' yes': -4.99748, 'Yes': -3.919376}
{'\n': -11.736583, ' ': -10.512434, ' Yes': -0.0008323203, ' yes': -9.930022, 'Yes': -7.2091093}
{'\n': -10.944751, ' ': -9.727911, ' Yes': -0.0067625935, ' yes': -9.617045, 'Yes': -5.024268}
{'\n': -8.90339, ' ': -8.773213, ' Yes': -0.007983783, ' yes': -9.299243, 'Yes': -4.8875403}
{' YES': -11.51467, ' ': -10.145358, ' Yes': -0.0014184766, ' yes': -9.97895, 'Yes': -6.63564}
{'\n': -10.045871, ' ': -8.884282, ' Yes': -0.008578655, ' yes': -9.726312, 'Yes': -4.793739}
{'\n': -11.829324, ' ': -10.0583725, ' Yes': -0.0018214636, ' yes': -9.784587, 'Yes': -6.3728423}
{' No': -10.560838, ' ': -11.423497, ' Yes': -0.0018500651, ' yes': -10.218399, 'Yes': -6.3354864}
{' No': -11.203439, ' ': -10.990724, ' Yes': -0.005355648, ' yes': -9.892407, 'Yes': -5.248924}
{' YES': -12.059631, ' ': -11.097239, ' Yes': -0.009408928, ' yes': -9.738618, 'Yes': -4.6800766}
{' No': -11.603712, ' ': -11.912872, ' Yes': -0.0036204632, ' yes': -10.2878895, 'Yes': -5.6378245}
{' No': -9.7791395, ' ': -10.773109, ' Yes': -0.008783917, ' yes': -9.755757, 'Yes': -4.7558694}
{' YES': -12.056688, ' ': -10.806533, ' Yes': -0.0073504946, ' yes': -8.595386, 'Yes': -4.947349}
{' YES': -12.584533, ' ': -10.929413, ' Yes': -0.00060882105, ' yes': -8.931375, 'Yes': -7.703474}
{' YES': -12.210257, ' ': -10.5648575, ' Yes': -0.00391656, ' yes': -9.242457, 'Yes': -5.5795155}
{'\n': -11.511018, ' ': -9.807583, ' Yes': -0.0043753954, ' yes': -9.284157, 'Yes': -5.472671}
{' YES': -12.748635, ' ': -11.469953, ' Yes': -0.0011232363, ' yes': -9.678174, 'Yes': -6.864374}
{'\n': -10.899223, ' ': -8.752005, ' Yes': -0.005894036, ' yes': -9.443401, 'Yes': -5.1839504}
{'\n': -10.136007, ' ': -9.175532, ' Yes': -0.004831442, ' yes': -7.4542036, 'Yes': -5.504444}
{' ': -11.011992, ' Yes': -0.0069476184, ' yes': -7.6211233, 'Yes': -5.053344, 'yes': -11.15731}
{' ': -12.760056, ' Yes': -0.007083273, ' yes': -10.006541, 'Yes': -4.9613085, 'yes': -12.803537}
{' ': -10.411003, ' Yes': -0.017183559, ' yes': -8.117725, 'Yes': -4.093853, 'yes': -11.003962}
{' YES': -12.30307, ' ': -11.598043, ' Yes': -0.0037486085, ' yes': -9.072678, 'Yes': -5.6253815}
{' No': -10.47068, ' ': -10.178117, ' Yes': -0.019643744, ' yes': -8.324393, 'Yes': -3.9573343}
{' ': -10.214329, ' Yes': -0.020086432, ' yes': -7.073461, 'Yes': -3.966278, 'yes': -10.135048}
{' ': -9.697353, ' Yes': -0.0027369342, ' yes': -6.5232425, 'Yes': -6.745285, 'yes': -11.181907}
{' ': -9.210988, ' Yes': -0.009028979, ' yes': -7.123477, 'Yes': -4.8236995, 'yes': -10.391876}
{'\n': -10.521522, ' ': -8.522426, ' Yes': -0.010501698, ' yes': -7.7552676, 'Yes': -4.6291213}
{' ': -9.436705, ' Yes': -0.0043983245, ' yes': -6.7754855, 'Yes': -5.770078, 'yes': -10.384444}
{'\n': -9.640149, ' ': -8.047016, ' Yes': -0.010362567, ' yes': -7.749212, 'Yes': -4.6608405}
{' ': -7.8462725, ' Yes': -0.015281585, ' yes': -5.1606483, 'Yes': -4.734384, 'yes': -8.960289}
{'\n': -12.519143, ' ': -10.656787, ' Yes': -0.00054494676, ' yes': -9.691388, 'Yes': -7.702998}
{' YES': -11.947115, ' ': -9.337322, ' Yes': -0.0038949628, ' yes': -9.421017, 'Yes': -5.599186}
{'\n': -10.078508, ' ': -8.737966, ' Yes': -0.0053689517, ' yes': -9.298731, 'Yes': -5.289438}
{' YES': -12.394938, ' ': -9.974057, ' Yes': -0.00083065045, ' yes': -9.956684, 'Yes': -7.2295136}
{'\n': -10.922247, ' ': -8.621576, ' Yes': -0.0054554865, ' yes': -9.699469, 'Yes': -5.2652855}
{'\n': -12.276111, ' ': -10.012214, ' Yes': -0.0014763171, ' yes': -9.0514145, 'Yes': -6.642463}
{' No': -0.003736045, ' ': -10.254432, 'No': -5.6020727, ' no': -13.56076, ' NO': -13.446777}
{' No': -0.009118058, ' ': -9.981401, 'No': -4.707734, ' no': -13.699002, ' NO': -12.70892}
{' No': -0.014712778, ' ': -9.241392, 'No': -4.2335258, ' no': -13.703499, ' NO': -12.515173}
{' No': -0.0052718157, ' ': -10.178648, 'No': -5.255956, ' no': -13.42772, ' NO': -13.492644}
{' No': -0.020414941, ' ': -8.84665, 'No': -3.909329, ' no': -12.963989, ' NO': -12.740565}
{' No': -0.01527535, ' ': -8.699903, 'No': -4.201417, ' no': -11.981712, ' NO': -12.419234}
{' No': -0.0007631849, '\n': -12.494878, ' ': -9.301373, 'No': -7.3207035, ' no': -12.593477}
{' No': -0.0056105414, '\n': -12.816595, ' ': -8.756576, 'No': -5.216357, ' NO': -12.579137}
{' No': -0.0047765183, '\n': -11.006647, ' ': -8.7823925, 'No': -5.384234, ' NO': -12.931427}
{' No': -0.0019485428, '\n': -12.687849, ' ': -9.450145, 'No': -6.2865644, ' NO': -13.226709}
{' No': -0.007572501, '\n': -10.490164, ' ': -7.8263626, 'No': -4.9467583, ' NO': -12.449609}
{' No': -0.005929354, '\n': -10.048268, ' ': -8.193178, 'No': -5.1906805, ' no': -11.351081}
{' No': -0.012201504, ' ': -9.513319, 'No': -4.4217186, ' no': -10.540957, ' NO': -11.883519}
{' No': -0.008491787, ' ': -11.227904, 'No': -4.7746925, ' no': -14.071401, ' NO': -14.344297}
{' No': -0.037366353, ' ': -8.897686, 'No': -3.3102257, ' no': -11.510153, ' NO': -11.781203}
{' No': -0.0075310627, ' ': -9.565491, 'No': -4.904052, ' no': -11.717912, ' NO': -12.4098625}
{' No': -0.02516917, ' ': -8.751643, 'No': -3.7027106, ' no': -11.208079, ' NO': -11.780613}
{' No': -0.052413173, ' x': -10.162088, ' ': -8.008182, 'No': -2.9857397, ' no': -9.109213}
{' No': -0.0016960731, '\n': -11.464413, ' ': -8.091415, 'No': -6.6348495, ' no': -9.792362}
{' No': -0.0116461385, '\n': -11.359565, ' ': -7.742254, 'No': -4.501266, ' no': -10.641079}
{' No': -0.01400109, '\n': -9.258132, ' ': -7.254113, 'No': -4.337245, ' no': -11.3863735}
{' No': -0.004468908, '\n': -10.828029, ' ': -7.6860104, 'No': -5.541115, ' no': -10.0297365}
{' No': -0.0099584125, '\n': -9.0366335, ' ': -6.978856, 'No': -4.729101, ' no': -11.3244705}
{' No': -0.013998913, '\n': -8.539031, ' ': -6.8228173, 'No': -4.402579, ' no': -8.040501}
{' No': -0.00080046343, '\n': -12.083379, ' ': -9.036641, 'No': -7.307956, ' no': -12.914975}
{' No': -0.0050200615, '\n': -11.78219, ' ': -8.223333, 'No': -5.35568, ' NO': -12.040852}
{' No': -0.006740209, '\n': -9.222394, ' ': -7.7971854, 'No': -5.084214, ' NO': -12.070668}
{' No': -0.0018075499, '\n': -11.38218, ' ': -8.22388, 'No': -6.4916925, ' NO': -12.070876}
{' No': -0.0065662633, '\n': -9.562526, ' ': -7.3241434, 'No': -5.1499434, ' NO': -12.105248}
{' No': -0.0023145794, '\n': -11.658313, ' ': -8.612638, 'No': -6.159457, ' no': -12.47561}
{' No': -0.0039089643, ' ': -10.221281, 'No': -5.5646806, ' Yes': -10.429518, ' no': -13.381566}
{' No': -0.012720534, ' ': -9.8396, 'No': -4.389063, ' Yes': -8.709721, ' NO': -12.496807}
{' No': -0.017325642, ' ': -9.34876, 'No': -4.0744886, ' Yes': -9.470819, ' NO': -12.324107}
{' No': -0.005027251, ' ': -10.767663, 'No': -5.3034487, ' Yes': -11.081319, ' NO': -13.502025}
{' No': -0.02214735, ' ': -9.405543, 'No': -3.8445027, ' Yes': -7.8065696, 'Yes': -11.747948}
{' No': -0.046519004, ' ': -8.599613, 'No': -4.105723, ' Yes': -3.5577989, 'Yes': -8.240919}
{' No': -0.005423725, ' ': -9.17398, 'No': -7.574408, ' Yes': -5.346467, ' no': -11.600777}
{' No': -0.0062716603, ' ': -9.182905, 'No': -5.482088, ' Yes': -6.2331653, 'Yes': -11.244523}
{' No': -0.019002462, ' ': -7.857667, 'No': -5.493476, ' Yes': -4.2581587, 'Yes': -9.32898}
{' No': -0.001584905, '\n': -12.858455, ' ': -9.789439, 'No': -6.5777826, ' Yes': -8.953425}
{' No': -0.0066643036, '\n': -10.628789, ' ': -7.9908133, 'No': -5.292385, ' Yes': -6.699243}
{' No': -0.021611897, '\n': -9.043137, ' ': -7.554388, 'No': -5.320194, ' Yes': -4.1536517}
{' No': -0.009914528, ' ': -9.56171, 'No': -4.659422, ' Yes': -8.211195, ' no': -10.573239}
{' No': -0.01493322, ' ': -10.78113, 'No': -4.469565, ' Yes': -5.711922, 'Yes': -10.136307}
{' No': -0.047211044, ' ': -8.514635, 'No': -3.7995567, ' Yes': -3.7744238, 'Yes': -7.5394173}
{' No': -0.01826847, ' ': -9.39999, 'No': -5.225675, ' Yes': -4.377853, 'Yes': -9.46541}
{' No': -0.033436477, ' ': -8.371459, 'No': -3.5742857, ' Yes': -5.41058, 'Yes': -9.228278}
{' No': -0.128694, ' ': -7.738417, 'No': -3.3733954, ' Yes': -2.4767127, 'Yes': -6.330247}
{' No': -0.0026096357, ' ': -7.9329543, 'No': -6.7152057, ' Yes': -7.054851, ' no': -8.85214}
{' No': -0.010588258, ' ': -7.976671, 'No': -4.7632947, ' Yes': -6.4485264, ' no': -10.529081}
{' No': -0.012116975, '\n': -9.294059, ' ': -7.2314734, 'No': -4.9444327, ' Yes': -5.513477}
{' No': -0.0066807442, ' ': -7.668423, 'No': -5.382484, ' Yes': -6.511554, ' no': -9.717189}
{' No': -0.007970143, '\n': -9.239747, ' ': -7.284919, 'No': -5.0389223, ' Yes': -7.345855}
{' No': -0.016821863, ' ': -6.5920506, 'No': -4.6356797, ' Yes': -5.3487616, ' no': -7.6984735}
{' No': -0.004692018, '\n': -11.499033, ' ': -8.676299, 'No': -7.6177397, ' Yes': -5.522272}
{' No': -0.004166361, '\n': -11.523493, ' ': -8.361307, 'No': -5.679367, ' Yes': -7.632513}
{' No': -0.015224999, '\n': -8.366169, ' ': -7.092731, 'No': -5.211056, ' Yes': -4.7671456}
{' No': -0.0066793635, '\n': -11.52463, ' ': -8.221723, 'No': -6.8765635, ' Yes': -5.2346644}
{' No': -0.025857106, '\n': -8.716786, ' ': -6.885512, 'No': -4.9679627, ' Yes': -4.0624094}
{' No': -0.006576883, '\n': -10.855604, ' ': -7.929062, 'No': -6.307867, ' Yes': -5.441868}
{' YES': -12.211544, ' ': -11.867839, ' Yes': -0.0034148796, ' yes': -10.437256, 'Yes': -5.694071}
{' YES': -11.4300165, ' ': -11.150201, ' Yes': -0.010026624, ' yes': -9.82119, 'Yes': -4.6160254}
{' YES': -11.19871, ' ': -10.898014, ' Yes': -0.012047959, ' yes': -9.728478, 'Yes': -4.433118}
{' YES': -12.296041, ' ': -12.086092, ' Yes': -0.005387166, ' yes': -10.384431, 'Yes': -5.234484}
{' ': -11.222277, ' Yes': -0.014578686, ' yes': -9.914663, 'Yes': -4.2409616, 'yes': -11.728101}
{' YES': -11.733427, ' ': -11.031984, ' Yes': -0.010470498, ' yes': -9.156096, 'Yes': -4.577636}
{' YES': -11.862387, ' ': -11.23201, ' Yes': -0.0005647438, ' yes': -9.796024, 'Yes': -7.6288795}
{' YES': -11.575843, ' ': -10.4475355, ' Yes': -0.006233394, ' yes': -9.5825615, 'Yes': -5.0999184}
{'\n': -10.317539, ' ': -9.621042, ' Yes': -0.004670159, ' yes': -9.202924, 'Yes': -5.4168134}
{' YES': -12.130647, ' ': -11.820134, ' Yes': -0.0014665852, ' yes': -9.997596, 'Yes': -6.567825}
{'\n': -10.453726, ' ': -9.099095, ' Yes': -0.0072652944, ' yes': -9.674971, 'Yes': -4.9596443}
{'\n': -10.068554, ' ': -9.267917, ' Yes': -0.006897203, ' yes': -7.975949, 'Yes': -5.0589275}
{' YES': -10.965598, ' Yes': -0.009561046, ' yes': -8.253638, 'Yes': -4.687776, 'yes': -11.142708}
{' YES': -12.970732, ' Yes': -0.0098235095, ' yes': -10.253742, 'Yes': -4.632342, 'yes': -12.383811}
{' YES': -10.530903, ' ': -10.308134, ' Yes': -0.028268592, ' yes': -8.272322, 'Yes': -3.5926337}
{' YES': -11.845676, ' ': -11.332407, ' Yes': -0.007061242, ' yes': -9.16703, 'Yes': -4.975476}
{' ': -10.382016, ' Yes': -0.01775086, ' yes': -8.87363, 'Yes': -4.0517015, 'yes': -10.998279}
{' ': -9.792976, ' Yes': -0.027108174, ' yes': -7.1502285, 'Yes': -3.6567943, 'yes': -9.745624}
{' YES': -10.819092, ' ': -9.556297, ' Yes': -0.0035538238, ' yes': -7.006478, 'Yes': -5.981371}
{' ': -9.125747, ' Yes': -0.015803678, ' yes': -7.30275, 'Yes': -4.212627, 'yes': -9.868455}
{'\n': -9.704748, ' ': -8.870956, ' Yes': -0.012356035, ' yes': -8.065656, 'Yes': -4.446158}
{' ': -9.630872, ' Yes': -0.0066758827, ' yes': -7.0108852, 'Yes': -5.18342, 'yes': -10.145687}
{'\n': -9.352846, ' ': -8.355741, ' Yes': -0.015410262, ' yes': -8.246352, 'Yes': -4.2230706}
{'\n': -8.200333, ' ': -7.837835, ' Yes': -0.024684764, ' yes': -5.190395, 'Yes': -4.0257144}
{' YES': -11.8212805, ' ': -10.669091, ' Yes': -0.00074844714, ' yes': -10.08523, 'Yes': -7.309006}
{'\n': -11.138027, ' ': -9.699638, ' Yes': -0.0059246146, ' yes': -9.563715, 'Yes': -5.159903}
{'\n': -8.855003, ' ': -8.774825, ' Yes': -0.007346111, ' yes': -9.300595, 'Yes': -4.9759626}
{' YES': -11.60191, ' ': -10.346565, ' Yes': -0.0012881234, ' yes': -10.157225, 'Yes': -6.7246137}
{'\n': -9.711186, ' ': -8.754544, ' Yes': -0.008451152, ' yes': -9.728942, 'Yes': -4.8135905}
{'\n': -11.868353, ' ': -10.337178, ' Yes': -0.001603233, ' yes': -9.800414, 'Yes': -6.5012045}
{' No': -11.022054, ' ': -11.069436, ' Yes': -0.0017809167, ' yes': -10.080329, 'Yes': -6.3757663}
{' No': -9.521063, ' ': -10.581427, ' Yes': -0.00527583, ' yes': -9.867453, 'Yes': -5.278013}
{' YES': -11.713693, ' ': -10.690735, ' Yes': -0.010612415, ' yes': -9.636496, 'Yes': -4.561035}
{' No': -10.898548, ' ': -11.726916, ' Yes': -0.0035399469, ' yes': -10.467768, 'Yes': -5.6620026}
