{' Yes': -0.021824969, ' No': -3.942994, 'Yes': -6.408141, ' The': -8.148902, ' yes': -9.244042}
{' Yes': -0.020966554, 'Yes': -4.4050546, ' No': -4.9785905, ' The': -7.156012, 'No': -8.213767}
{' Yes': -0.020211536, 'Yes': -4.552667, ' No': -4.9147806, ' The': -6.796838, ' yes': -8.216243}
{' No': -0.029902633, 'No': -4.092126, ' Yes': -4.4281054, ' Not': -7.8390474, ' The': -8.881145}
{' No': -0.035241123, ' Yes': -3.9837651, 'No': -4.1878057, '\n': -8.286213, ' The': -8.506279}
{' No': -0.18642394, ' Yes': -1.8622339, 'No': -4.35766, 'Yes': -6.8570356, ' The': -7.729409}
{' No': -0.11478807, ' Yes': -2.3385963, 'No': -4.6146336, ' The': -7.3133063, 'Yes': -7.3871346}
{' Yes': -0.029788474, ' No': -3.8890564, 'Yes': -5.336583, ' The': -6.2311773, '\n': -6.846616}
{' Yes': -0.13128936, ' No': -2.188626, 'Yes': -5.2658734, ' The': -6.0520577, 'No': -6.323828}
{' No': -0.20028666, ' Yes': -1.8231791, 'No': -4.1399875, 'Yes': -6.4404044, ' The': -7.301685}
{' Yes': -0.33243266, ' No': -1.3159398, 'Yes': -4.990365, 'No': -5.2357106, ' The': -6.9428415}
{' No': -0.25313336, ' Yes': -1.5885979, 'No': -4.2591796, 'Yes': -6.2004275, '\n': -6.5732417}
{' Yes': -0.29480222, ' No': -1.4127525, 'Yes': -5.140028, 'No': -5.55077, ' The': -6.710633}
{' Yes': -0.016315788, 'Yes': -4.4830136, ' No': -5.5366592, '\n': -8.275156, ' yes': -8.360472}
{' No': -0.4613547, ' Yes': -1.0580726, 'No': -4.201825, 'Yes': -5.567342, '\n': -6.5000186}
{' Yes': -0.009192948, 'Yes': -4.875747, ' No': -7.058736, ' yes': -8.336333, ' The': -8.597315}
{' Yes': -0.01125292, 'Yes': -5.0648627, ' No': -5.655666, '\n': -7.514861, ' The': -7.83945}
{' No': -0.06999056, ' Yes': -3.1488538, 'No': -3.8723528, ' The': -6.2394834, ' "': -7.4300523}
{' No': -0.049738094, 'No': -3.6015835, ' Yes': -3.9491596, '\n': -6.9448333, ' The': -7.950123}
{' Yes': -0.005203149, 'Yes': -5.3408985, ' The': -8.678843, ' yes': -9.215347, ' No': -9.274767}
{' Yes': -0.012347287, 'Yes': -5.143914, ' No': -5.1630125, '\n': -8.429594, ' The': -8.678741}
{' Yes': -0.0076317186, 'Yes': -4.9166417, ' No': -9.411642, ' yes': -9.469622, ' The': -9.946011}
{' Yes': -0.10592096, ' No': -2.5166435, 'Yes': -4.2856693, 'No': -5.8041625, '\n': -6.1868095}
{' Yes': -0.007613159, 'Yes': -5.7545686, ' No': -5.830857, ' The': -7.284817, '\n': -7.9774003}
{' Yes': -0.008591158, ' No': -5.4998174, 'Yes': -5.584393, ' The': -8.045853, ' yes': -8.37595}
{' Yes': -0.46341446, ' No': -1.021333, 'Yes': -5.562108, 'No': -5.567394, '\n': -6.6959577}
{' Yes': -0.021721289, ' No': -4.4365315, 'Yes': -4.801277, ' "': -7.612532, ' The': -7.913578}
{' Yes': -0.24379587, ' No': -1.5991234, 'Yes': -4.8739877, 'No': -5.3634663, ' The': -6.868391}
{' No': -0.09503883, ' Yes': -2.7444413, 'No': -3.778991, '\n': -6.641219, ' The': -6.9626303}
{' Yes': -0.029319253, ' No': -4.0604415, 'Yes': -4.6654983, '\n': -6.9168444, 'No': -8.0033045}
{' Yes': -0.08181375, ' No': -2.7180612, 'Yes': -4.673061, 'No': -6.6966834, ' The': -7.240718}
{' No': -0.027537698, 'No': -3.7892237, ' Yes': -5.8256826, ' The': -7.045696, ' "': -8.1254015}
{' No': -0.04417889, 'No': -3.5988605, ' Yes': -4.257651, ' The': -7.051941, ' "': -8.39535}
{' Yes': -0.015374188, 'Yes': -4.4756308, ' No': -5.999178, '\n': -6.930001, ' The': -8.895661}
{' Yes': -0.01652077, 'Yes': -4.9472284, ' No': -5.0356607, '\n': -6.5076737, ' The': -7.4767714}
{' Yes': -0.03910052, ' No': -3.5500293, 'Yes': -5.077789, '\n': -6.7720947, ' "': -7.2995276}
{' No': -0.034657948, 'No': -3.6960025, ' Yes': -4.85444, ' The': -7.690196, '\n': -7.8839717}
{' Yes': -0.0039667683, 'Yes': -5.6294737, ' yes': -9.022811, ' The': -9.070626, '\n': -9.968543}
{' Yes': -0.030863164, ' No': -3.9774745, 'Yes': -4.7330213, '\n': -6.5295033, 'No': -7.724238}
{' Yes': -0.01038485, 'Yes': -4.788402, ' No': -7.0028715, ' The': -7.297314, ' yes': -8.901284}
{' Yes': -0.021543074, 'Yes': -4.303506, ' No': -5.086566, ' The': -7.2165823, '\n': -8.047603}
{' Yes': -0.0050682877, 'Yes': -5.3751984, ' The': -8.559748, ' yes': -9.146477, ' No': -10.18961}
{' No': -0.50157696, ' Yes': -1.0003163, 'No': -4.0194335, 'Yes': -5.4914145, ' The': -6.274286}
{' Yes': -0.045718748, ' No': -3.3011239, 'Yes': -5.2106166, ' The': -7.045835, 'No': -7.4475513}
{' Yes': -0.018427404, 'Yes': -4.6525006, ' No': -4.8544602, ' The': -7.861641, 'No': -8.420839}
{' No': -0.05980319, ' Yes': -3.0844536, 'No': -4.461666, 'Yes': -8.096302, ' The': -9.067876}
{' Yes': -0.18576601, ' No': -1.8631208, 'Yes': -4.7893195, 'No': -5.6293387, ' The': -7.052764}
{' No': -0.3202543, ' Yes': -1.3442544, 'No': -4.7381425, 'Yes': -6.450091, ' The': -6.7113056}
{' Yes': -0.31574473, ' No': -1.367373, 'Yes': -5.1098785, 'No': -5.3503094, '\n': -6.3458066}
{' Yes': -0.007362201, 'Yes': -5.1145396, ' No': -6.880769, ' yes': -9.171583, '\n': -9.544064}
{' No': -0.40740368, ' Yes': -1.1273667, 'No': -5.0147586, ' The': -6.259954, 'Yes': -6.3475876}
{' Yes': -0.007858639, 'Yes': -4.986904, '\n': -7.719986, ' The': -8.689976, ' No': -8.899086}
{' Yes': -0.021019205, ' No': -4.306137, 'Yes': -5.092148, ' The': -7.9678783, 'No': -8.259369}
{' Yes': -0.010330466, 'Yes': -4.6986084, ' No': -7.5653763, '\n': -7.8383307, ' yes': -8.856977}
{' Yes': -0.0059357695, 'Yes': -5.2167873, ' No': -8.491766, ' yes': -9.033828, ' The': -9.3970375}
{' Yes': -0.07012673, ' No': -2.8083813, 'Yes': -5.297635, 'No': -6.9310822, ' The': -6.984916}
{' Yes': -0.1956203, ' No': -1.8210571, 'Yes': -4.823779, 'No': -5.637594, '\n': -5.9008756}
{' Yes': -0.01599323, 'Yes': -4.2853355, ' No': -6.8665085, '\n': -7.2890663, ' yes': -8.638033}
{' Yes': -0.052078504, ' No': -3.4237194, 'Yes': -4.1711845, 'No': -6.777458, '\n': -7.3445415}
{' Yes': -0.06734267, ' No': -2.835283, 'Yes': -5.7009583, '\n': -6.7460227, ' The': -6.943144}
{' No': -0.11030475, ' Yes': -2.543164, 'No': -3.8027315, ' The': -6.730273, 'Yes': -6.8524804}
{' No': -0.55275905, ' Yes': -0.8867683, 'No': -5.17086, ' The': -5.916191, 'Yes': -6.2635055}
{' Yes': -0.2965126, ' No': -1.4228534, 'Yes': -4.9927826, 'No': -5.2403393, ' The': -6.156025}
{' Yes': -0.11729353, ' No': -2.354997, 'Yes': -4.7500086, '\n': -5.8477163, 'No': -5.988955}
{' Yes': -0.020583102, ' No': -4.5513864, 'Yes': -4.720042, ' The': -7.951037, 'No': -8.344541}
{' No': -0.2648194, ' Yes': -1.5157521, 'No': -4.516448, 'Yes': -6.5302095, ' The': -8.023965}
{' Yes': -0.31251585, ' No': -1.3707129, 'Yes': -4.897955, 'No': -5.133288, '\n': -7.5848694}
{' Yes': -0.086599104, ' No': -2.8950305, 'Yes': -3.8732352, 'No': -5.915825, '\n': -6.3516893}
{' Yes': -0.6902944, ' No': -0.7397043, 'No': -4.371393, 'Yes': -5.1011596, ' The': -6.3719287}
{' No': -0.036855523, ' Yes': -3.793796, 'No': -4.406984, ' The': -7.5576363, '\n': -7.8999977}
{' No': -0.5152098, ' Yes': -0.9612776, 'No': -4.2028966, 'Yes': -5.3491406, ' The': -8.790422}
{' Yes': -0.31826812, ' No': -1.3371242, 'Yes': -5.510332, 'No': -5.9526353, ' The': -5.976795}
{' No': -0.054019388, ' Yes': -3.5111725, 'No': -3.8741448, ' The': -7.293252, '\n': -7.5245395}
{' Yes': -0.028338859, ' No': -3.7692788, 'Yes': -5.5542364, ' The': -8.074351, ' yes': -8.457824}
{' Yes': -0.0621213, ' No': -2.958598, 'Yes': -5.0112405, 'No': -7.256457, ' The': -7.5661607}
{' No': -0.16705912, ' Yes': -2.0725386, 'No': -3.7503374, ' The': -6.5810695, 'Yes': -6.6350403}
{' No': -0.074035056, 'No': -3.3343215, ' Yes': -3.3967125, ' The': -6.986381, 'Yes': -7.4599986}
{' No': -0.2896418, ' Yes': -1.4321017, 'No': -4.803306, ' The': -6.641731, 'Yes': -6.7131987}
{' No': -0.046629347, 'No': -3.7960742, ' Yes': -3.8630335, ' The': -7.2130966, '\n': -7.471023}
{' Yes': -0.41891864, ' No': -1.2010002, 'Yes': -4.244793, 'No': -4.4365845, '\n': -4.450235}
{' No': -0.03769013, ' Yes': -3.8755918, 'No': -4.176852, ' "': -8.371492, 'Yes': -8.52531}
{' Yes': -0.56150395, ' No': -0.88665545, 'No': -4.675506, 'Yes': -5.2581325, ' The': -6.4046397}
{' No': -0.14872628, ' Yes': -2.1344328, 'No': -4.196599, '\n': -6.273392, ' The': -6.7668824}
{' Yes': -0.37848088, ' No': -1.2108116, 'Yes': -4.90773, 'No': -5.3239174, '\n': -5.975539}
{' Yes': -0.094596684, ' No': -2.4932172, 'Yes': -5.282642, ' The': -6.9025164, 'No': -7.161632}
{' Yes': -0.013758675, ' No': -4.9070115, 'Yes': -5.4596696, '\n': -7.3406262, ' The': -7.5038915}
{' Yes': -0.30000126, ' No': -1.399771, 'Yes': -5.2550774, 'No': -5.562143, '\n': -6.4399567}
{' Yes': -0.0077039157, 'Yes': -5.0509753, ' No': -7.029527, ' yes': -9.011042, ' The': -9.176048}
{' Yes': -0.046570897, ' No': -3.2809267, 'Yes': -5.1249266, ' The': -7.3189154, '\n': -7.6294756}
{' No': -0.2903212, ' Yes': -1.4702014, 'No': -4.0362067, 'Yes': -5.976806, '\n': -6.880847}
{' Yes': -0.010474895, 'Yes': -5.236963, ' No': -5.523437, '\n': -7.745123, ' The': -8.424631}
{' Yes': -0.42416224, ' No': -1.1460176, 'No': -4.2936764, 'Yes': -4.461279, ' The': -6.9569993}
{' No': -0.19554535, ' Yes': -1.8961642, 'No': -4.257532, '\n': -5.0319176, ' The': -6.019734}
{' Yes': -0.008735572, 'Yes': -4.833357, ' No': -7.892587, '\n': -8.892705, ' yes': -8.985224}
{' Yes': -0.11045823, ' No': -2.412933, 'Yes': -4.5355396, 'No': -5.9102798, '\n': -7.1355834}
{' No': -0.056298133, 'No': -2.9220052, ' Yes': -8.162968, ' The': -8.311735, '\n': -8.91679}
{' No': -0.0795058, 'No': -2.6146886, ' Yes': -6.4354377, '\n': -7.2329555, ' The': -7.85074}
{' Yes': -0.5881159, ' No': -0.87212014, 'No': -4.2475414, 'Yes': -4.7636795, '\n': -6.319093}
{' No': -0.19308348, ' Yes': -1.8232237, 'No': -4.469126, 'Yes': -6.8567266, '\n': -7.5139227}
{' No': -0.09117436, ' Yes': -2.638944, 'No': -4.318486, ' The': -6.7333055, 'Yes': -7.5882883}
{' No': -0.02266217, 'No': -4.3116713, ' Yes': -4.865956, '\n': -7.219742, ' The': -8.27117}
{' Yes': -0.0056265467, 'Yes': -5.454731, ' No': -7.041709, ' The': -8.526148, ' yes': -8.90659}
{' No': -0.058855038, 'No': -3.265972, ' Yes': -4.056417, '\n': -7.2495403, ' The': -7.9683437}
{' Yes': -0.14250968, ' No': -2.1365778, 'Yes': -4.6990795, 'No': -5.7798443, ' The': -6.7770205}
{' No': -0.6495218, ' Yes': -0.8001223, 'No': -4.068654, 'Yes': -4.830762, '\n': -6.4648633}
{' Yes': -0.70985365, ' No': -0.75744396, 'No': -4.2274394, '\n': -4.2430797, 'Yes': -4.962238}
{' No': -0.2911392, ' Yes': -1.487453, 'No': -3.996776, '\n': -5.442659, 'Yes': -6.01485}
{' Yes': -0.19302145, ' No': -1.7808874, 'Yes': -5.379165, 'No': -6.4174056, ' The': -7.8787513}
{' Yes': -0.008473212, 'Yes': -4.945681, ' No': -6.9400144, ' yes': -8.608595, ' The': -9.835479}
{' Yes': -0.059449658, ' No': -2.929756, 'Yes': -5.669145, 'No': -8.132655, ' The': -8.185996}
{' Yes': -0.018305922, ' No': -4.6631384, 'Yes': -4.9021215, ' The': -7.404061, 'No': -8.674963}
{' No': -0.16806152, ' Yes': -2.1127465, 'No': -3.8006752, '\n': -4.874833, 'Yes': -6.5279455}
{' No': -0.2809372, ' Yes': -1.5494576, 'No': -4.005901, '\n': -4.895441, 'Yes': -5.925453}
{' No': -0.07987199, ' Yes': -3.1357439, 'No': -3.5137553, ' The': -6.596212, ' "': -7.304729}
{' No': -0.57244843, ' Yes': -0.8702008, 'No': -4.6493278, 'Yes': -5.674503, ' The': -6.2661247}
{' Yes': -0.010573981, 'Yes': -4.605518, '\n': -8.905855, ' yes': -8.923503, ' No': -9.2914915}
{' Yes': -0.0064524533, 'Yes': -5.1982055, ' No': -7.8840084, ' yes': -8.5895405, ' The': -8.850422}
{' Yes': -0.023032144, 'Yes': -4.480376, ' No': -4.6669683, '\n': -7.2323766, ' "': -7.536874}
{' Yes': -0.13717951, ' No': -2.1615498, 'Yes': -5.022212, ' The': -5.9910135, 'No': -6.3726735}
{' No': -0.0482007, ' Yes': -3.7464006, 'No': -3.923456, ' The': -6.4255996, ' "': -6.7261043}
{' No': -0.32035816, ' Yes': -1.4162786, 'No': -3.7089171, 'Yes': -5.627968, '\n': -6.5458126}
{' No': -0.28917602, ' Yes': -1.5074167, 'No': -3.9068036, 'Yes': -5.1687346, '\n': -5.885241}
{' No': -0.09283108, ' Yes': -2.599297, 'No': -4.4154496, 'Yes': -7.028614, ' The': -7.5067253}
{' Yes': -0.027060714, ' No': -4.212825, 'Yes': -4.5823565, '\n': -7.5734563, ' The': -7.6278806}
{' Yes': -0.18843457, ' No': -1.9213732, 'Yes': -4.194988, 'No': -5.275854, '\n': -6.0374126}
{' No': -0.033609983, 'No': -3.665215, ' Yes': -5.1497326, ' The': -7.6394196, '\n': -7.7652836}
{' No': -0.58938634, ' Yes': -0.8624404, 'No': -4.1876087, 'Yes': -5.2123165, ' The': -6.745499}
{' Yes': -0.008378663, 'Yes': -5.062223, '\n': -7.035667, ' No': -7.2783794, ' The': -8.700579}
{' No': -0.501548, ' Yes': -0.99526507, 'No': -4.1575427, 'Yes': -5.5188284, ' The': -6.109772}
{' No': -0.3215632, ' Yes': -1.5317796, 'No': -3.5879664, '\n': -3.7440789, 'Yes': -5.4052634}
{' Yes': -0.02812096, ' No': -4.2933416, 'Yes': -4.4973974, '\n': -6.861895, ' The': -7.3438325}
{' Yes': -0.023014396, ' No': -4.15527, 'Yes': -5.1525936, '\n': -7.568147, ' The': -8.267454}
{' Yes': -0.6069476, ' No': -0.8128192, 'No': -5.0637307, 'Yes': -5.745804, '\n': -7.2151513}
{' No': -0.5006554, ' Yes': -1.0132039, 'No': -4.109788, '\n': -4.960658, 'Yes': -5.5122004}
{' No': -0.07418994, 'No': -3.2757487, ' Yes': -3.5397353, '\n': -5.779006, 'Yes': -7.3870974}
{' Yes': -0.015011751, 'Yes': -4.8487654, ' No': -5.1167855, ' The': -7.949399, '\n': -8.284579}
{' Yes': -0.026955081, ' No': -3.9822257, 'Yes': -5.0119824, ' The': -7.642286, 'No': -7.895628}
{' Yes': -0.21505935, ' No': -1.7396165, 'Yes': -4.961891, '\n': -5.283346, 'No': -5.5947}
{' No': -0.024534056, 'No': -3.847967, ' Yes': -6.13598, ' The': -8.109013, '\n': -8.815148}
{' No': -0.087132536, ' Yes': -2.8443174, 'No': -3.8017972, 'Yes': -7.250006, ' The': -7.2864347}
{' Yes': -0.66300714, ' No': -0.7618937, 'No': -4.6097083, 'Yes': -5.204562, ' The': -6.5066943}
{' Yes': -0.018405668, 'Yes': -4.229263, '\n': -6.090398, ' No': -7.378452, ' "': -8.2992525}
{' Yes': -0.018844469, 'Yes': -4.1278186, ' No': -6.5917444, '\n': -7.201644, ' yes': -8.758664}
{' Yes': -0.011909518, 'Yes': -4.9108257, ' No': -5.535156, '\n': -8.949237, ' yes': -9.055349}
{' Yes': -0.04470619, ' No': -3.31113, 'Yes': -5.2284846, ' The': -7.0902057, 'No': -7.5902057}
{' No': -0.4764178, ' Yes': -0.99422294, 'No': -5.2709007, 'Yes': -6.436165, ' The': -6.5248914}
{' Yes': -0.31915125, ' No': -1.3324989, 'Yes': -5.49032, 'No': -5.65893, ' The': -6.720278}
{' Yes': -0.016509863, 'Yes': -4.1738505, ' No': -7.3614054, '\n': -8.913089, ' yes': -9.444798}
{' Yes': -0.17988671, ' No': -1.8797196, 'Yes': -4.9494004, 'No': -5.7061467, '\n': -7.232991}
{' No': -0.2647121, ' Yes': -1.553004, 'No': -4.4139447, ' The': -5.249295, 'Yes': -6.239334}
{' No': -0.24708524, ' Yes': -1.5691315, 'No': -4.9366293, ' The': -6.348745, 'Yes': -6.796422}
{' Yes': -0.42126444, ' No': -1.1081808, 'No': -5.270784, 'Yes': -5.3914337, '\n': -6.477741}
{' Yes': -0.12925546, ' No': -2.2487166, 'Yes': -4.488823, 'No': -5.654089, ' The': -7.9235873}
{' Yes': -0.43868327, ' No': -1.0938957, 'No': -4.7270913, 'Yes': -4.9838037, '\n': -6.054219}
{' No': -0.09671129, ' Yes': -2.7555914, 'No': -3.6093626, 'Yes': -7.0569983, ' The': -8.402732}
{' Yes': -0.38588086, ' No': -1.3326029, '\n': -3.5203145, 'Yes': -4.386359, 'No': -4.626001}
{' No': -0.14587574, ' Yes': -2.1586244, 'No': -4.055076, 'Yes': -6.730396, ' The': -7.297794}
{' Yes': -0.008913807, 'Yes': -4.7645383, '\n': -8.985157, ' yes': -9.539217, ' The': -9.576601}
{' Yes': -0.019062242, 'Yes': -4.477833, ' No': -5.3345237, '\n': -6.4131446, ' The': -7.8127437}
{' Yes': -0.098732404, ' No': -2.4871297, 'Yes': -4.7597165, 'No': -6.4203205, ' The': -8.582988}
{' Yes': -0.18457295, ' No': -1.8369626, 'Yes': -5.1695924, 'No': -5.9965615, ' The': -7.3973103}
{' Yes': -0.17225887, ' No': -1.8657727, 'Yes': -6.278811, ' The': -7.3632784, 'No': -7.3639245}
{' Yes': -0.0047378307, 'Yes': -5.6381397, ' No': -6.944917, ' The': -9.372411, ' yes': -9.666584}
{' Yes': -0.008066882, 'Yes': -5.5511055, ' No': -5.600987, ' The': -8.511436, ' yes': -9.5172}
{' No': -0.23036896, ' Yes': -1.639453, 'No': -4.6849775, 'Yes': -7.031108, ' The': -7.0644445}
{' No': -0.36370596, ' Yes': -1.219232, 'No': -5.2679415, ' The': -6.3177137, 'Yes': -6.8800974}
{' Yes': -0.0474157, ' No': -3.1981933, 'Yes': -5.367562, 'No': -7.6580243, ' The': -8.746193}
{' No': -0.039210115, ' Yes': -3.5824935, 'No': -4.5992785, 'Yes': -8.813954, ' The': -8.995603}
{' Yes': -0.040903125, ' No': -3.3525674, 'Yes': -5.4906406, ' The': -7.7615085, 'No': -7.9603133}
{' Yes': -0.0041667176, 'Yes': -5.8893685, ' No': -6.6711965, ' yes': -9.96275, ' The': -10.170232}
{' No': -0.19433369, ' Yes': -1.7874637, 'No': -4.907541, 'Yes': -7.12067, ' The': -7.4615207}
{' Yes': -0.0078010447, ' No': -5.299907, 'Yes': -5.9779105, ' yes': -9.468094, ' The': -9.599576}
{' Yes': -0.009130809, ' No': -5.3357487, 'Yes': -5.530318, ' The': -8.8804865, ' yes': -9.7128725}
{' Yes': -0.64611614, ' No': -0.76073444, 'No': -5.482914, 'Yes': -6.084196, ' Not': -7.0739336}
{' Yes': -0.009426438, 'Yes': -5.356524, ' No': -5.4619694, ' The': -8.784187, ' yes': -9.307829}
{' Yes': -0.020664942, ' No': -4.2139363, 'Yes': -5.3866315, ' The': -7.664734, 'No': -8.642684}
{' Yes': -0.0023011372, 'Yes': -6.1594934, ' No': -9.088005, ' yes': -10.187062, ' The': -10.812385}
{' Yes': -0.0151604265, ' No': -4.5540166, 'Yes': -5.4755464, ' The': -9.274359, 'No': -9.276332}
{' Yes': -0.13157512, ' No': -2.1602235, 'Yes': -5.223513, 'No': -6.479841, ' The': -7.4496064}
{' Yes': -0.018465351, ' No': -4.2263393, 'Yes': -5.7978797, '\n': -8.42191, ' The': -8.759659}
{' Yes': -0.02740022, ' No': -4.1341143, 'Yes': -4.5744314, 'No': -7.785159, ' The': -9.134078}
{' No': -0.01994736, ' Yes': -4.5652947, 'No': -4.702366, ' Not': -9.90289, 'Yes': -9.905688}
{' Yes': -0.015038799, ' No': -4.472377, 'Yes': -5.800071, ' The': -8.72557, ' yes': -9.066581}
{' No': -0.017227946, 'No': -4.3397145, ' Yes': -5.559172, ' The': -10.025399, ' ': -10.165655}
{' No': -0.05582825, ' Yes': -3.4665203, 'No': -3.8365784, ' Not': -7.2006526, 'Yes': -8.081627}
{' Yes': -0.0048863655, 'Yes': -5.8589473, ' No': -6.300372, ' The': -9.356272, ' yes': -9.8741665}
{' No': -0.05148617, ' Yes': -3.3165426, 'No': -4.3470373, ' The': -7.608064, 'Yes': -8.601068}
{' Yes': -0.003608857, 'Yes': -5.8275313, ' No': -7.7049117, ' The': -9.300289, ' yes': -9.655203}
{' Yes': -0.06435192, ' No': -2.8838654, 'Yes': -5.2720275, 'No': -7.074123, ' The': -8.310284}
{' Yes': -0.0062041846, 'Yes': -5.51979, ' No': -6.2534246, '\n': -9.085464, ' yes': -10.0213995}
{' No': -0.46549925, ' Yes': -1.0137494, 'No': -4.991849, 'Yes': -6.1517344, ' The': -8.216399}
{' No': -0.44033504, ' Yes': -1.054139, 'No': -5.3712983, 'Yes': -6.7531266, '\n': -6.967156}
{' Yes': -0.043171242, ' No': -3.3231983, 'Yes': -5.28031, 'No': -7.7477093, ' The': -7.9833736}
{' Yes': -0.0022708478, 'Yes': -6.2457514, ' No': -8.925157, ' The': -9.285077, ' yes': -9.503869}
{' Yes': -0.028314024, ' No': -3.688695, 'Yes': -6.004052, ' The': -8.727471, 'No': -8.871299}
{' Yes': -0.007823993, ' No': -5.494589, 'Yes': -5.7429843, ' The': -8.389426, ' yes': -9.117797}
{' No': -0.17079002, ' Yes': -2.114758, 'No': -3.3970318, 'Yes': -6.5699296, ' The': -7.2360387}
{' Yes': -0.007234554, 'Yes': -5.233526, ' No': -6.7776923, '\n': -8.216211, ' The': -8.599512}
{' Yes': -0.603411, ' No': -0.81049377, 'No': -5.3629284, 'Yes': -5.9161663, ' The': -7.3908114}
{' No': -0.0055267476, 'No': -5.4600935, ' Yes': -6.7700377, ' ': -9.771493, ' The': -10.618604}
{' No': -0.031539768, 'No': -3.6325548, ' Yes': -5.449539, ' The': -9.198199, ' ': -9.821102}
{' Yes': -0.009281862, ' No': -5.397517, 'Yes': -5.4636407, ' The': -8.158399, ' yes': -9.576963}
{' Yes': -0.010840753, 'Yes': -4.959428, ' No': -5.7041764, ' The': -8.604863, ' yes': -9.124099}
{' No': -0.014226454, 'No': -4.8540587, ' Yes': -5.118074, ' Not': -8.546216, ' The': -9.604432}
{' No': -0.016435087, 'No': -4.6000743, ' Yes': -5.1252913, ' The': -9.225661, ' Not': -9.689986}
{' No': -0.1343976, ' Yes': -2.1381207, 'No': -4.9629455, 'Yes': -7.8099136, ' The': -8.29546}
{' No': -0.4719804, ' Yes': -0.9897111, 'No': -5.8370786, 'Yes': -6.9901743, ' The': -7.6205964}
{' Yes': -0.045430038, ' No': -3.2181215, 'Yes': -5.959742, ' The': -6.887858, 'No': -8.255374}
{' Yes': -0.19784805, ' No': -1.7603099, 'Yes': -5.6310062, 'No': -6.2422523, ' The': -6.7252693}
{' No': -0.09911952, ' Yes': -2.4792235, 'No': -4.6858597, 'Yes': -7.760381, ' Not': -8.12652}
{' Yes': -0.26434013, ' No': -1.4907291, 'Yes': -5.6070275, 'No': -6.047644, ' The': -7.384743}
{' Yes': -0.66998667, ' No': -0.7344322, 'No': -5.386574, 'Yes': -6.0281005, ' The': -7.062612}
{' Yes': -0.16955107, ' No': -1.8997262, 'Yes': -5.523879, 'No': -6.5126615, ' The': -7.6686177}
{' Yes': -0.007940948, 'Yes': -5.272334, ' No': -5.9895363, ' yes': -9.051773, ' The': -9.624556}
{' Yes': -0.1709173, ' No': -1.890661, 'Yes': -5.6061435, 'No': -6.427881, ' The': -7.616836}
{' Yes': -0.004360306, 'Yes': -5.5549355, ' No': -8.18837, ' yes': -9.252493, ' The': -9.620375}
{' Yes': -0.010855997, ' No': -5.0531626, 'Yes': -5.575415, ' The': -8.180339, ' yes': -9.172381}
{' No': -0.13273297, ' Yes': -2.1991754, 'No': -4.542311, ' The': -6.4728947, 'Yes': -7.5068016}
{' No': -0.06660807, ' Yes': -3.0058362, 'No': -4.256889, 'Yes': -7.908273, ' The': -8.71249}
{' Yes': -0.0017354785, 'Yes': -6.447425, ' No': -9.905486, ' The': -9.955936, ' yes': -10.043577}
{' Yes': -0.0050221584, 'Yes': -5.8542914, ' No': -6.256424, ' yes': -9.355074, ' The': -9.388886}
{' Yes': -0.0051586926, 'Yes': -5.2941103, ' yes': -9.921992, ' No': -10.497384, ' The': -10.641577}
{' Yes': -0.09384246, ' No': -2.5030394, 'Yes': -5.1246443, 'No': -6.709908, ' The': -8.324999}
{' Yes': -0.011073965, ' No': -4.8209987, 'Yes': -6.1069117, ' The': -7.860027, ' yes': -8.976473}
{' Yes': -0.0032898851, 'Yes': -5.958717, ' No': -7.910342, ' The': -8.71568, ' yes': -8.966899}
{' Yes': -0.38590935, ' No': -1.1528809, 'Yes': -6.35049, 'No': -6.6192465, ' The': -7.081235}
{' Yes': -0.04714281, ' No': -3.1893125, 'Yes': -5.5384374, 'No': -7.9188066, ' The': -8.271446}
{' Yes': -0.121693596, ' No': -2.2232904, 'Yes': -5.4360743, 'No': -6.59632, ' The': -7.9151487}
{' No': -0.09180314, ' Yes': -2.5963178, 'No': -4.451613, ' The': -7.2822514, 'Yes': -7.6743417}
{' Yes': -0.014962441, ' No': -4.544595, 'Yes': -5.579306, ' The': -9.117469, ' yes': -9.157512}
{' Yes': -0.021432117, ' No': -4.07857, 'Yes': -5.5949244, ' The': -8.329456, 'No': -8.92245}
{' No': -0.01926584, 'No': -4.3102107, ' Yes': -5.3607693, ' The': -7.5702467, ' Not': -8.562165}
{' No': -0.06475232, ' Yes': -3.0481772, 'No': -4.277263, ' The': -7.1965423, 'Yes': -8.03229}
{' Yes': -0.006930691, 'Yes': -5.1720805, ' No': -6.911391, '\n': -9.234187, ' The': -9.993091}
{' Yes': -0.014774899, ' No': -4.6280637, 'Yes': -5.4452634, ' The': -8.660544, '\n': -9.091641}
{' Yes': -0.37389523, ' No': -1.1907611, 'No': -5.733684, 'Yes': -5.907853, ' The': -7.144933}
{' No': -0.019933132, 'No': -4.4181128, ' Yes': -4.944549, ' The': -8.256742, ' "': -9.181088}
{' Yes': -0.0019340293, 'Yes': -6.350887, ' yes': -9.454049, ' No': -10.070982, ' The': -10.078744}
{' Yes': -0.03287894, ' No': -3.5651052, 'Yes': -5.7008457, 'No': -8.38213, ' The': -8.5133705}
{' Yes': -0.006463433, 'Yes': -5.2933016, ' No': -7.0874777, ' The': -7.799914, ' yes': -9.426623}
