{' Yes': -0.00454453, 'Yes': -5.773289, ' Generally': -6.811503, ' yes': -8.638304, ' An': -10.67748}
{' No': -0.066191874, 'No': -3.2772763, '\n': -3.9384048, ' ': -5.59731, ' Wolves': -6.1791353}
{' Yes': -0.69472027, ' No': -0.8924933, '\n': -3.2323844, 'No': -3.9492939, ' ': -4.362267}
{' No': -0.47019178, ' Yes': -1.2812822, '\n': -3.2570038, 'No': -3.490202, ' ': -4.3876762}
{' No': -0.41698214, ' Yes': -1.4205202, '\n': -3.4091103, 'No': -3.5776665, ' Wolves': -3.9449167}
{' No': -0.06854075, 'No': -3.3874605, '\n': -3.8945484, ' ': -5.088396, ' Wolves': -5.584952}
{' No': -0.47767872, ' Yes': -1.0337281, ' ': -4.605587, '\n': -4.9147935, 'No': -5.38077}
{' No': -0.26809534, ' Yes': -1.5898309, ' ': -4.560013, '\n': -4.59709, 'No': -4.7388253}
{' No': -0.04870047, ' Yes': -3.9348776, 'No': -4.504605, '\n': -4.6096134, ' ': -5.232752}
{' No': -0.06432522, ' Yes': -3.6511705, 'No': -4.1579475, '\n': -4.330858, ' ': -5.271856}
{' No': -0.048489597, 'No': -3.2409544, ' ': -5.5754266, '\n': -5.6518807, ' Yes': -7.354639}
{' No': -0.05290751, 'No': -3.1798415, '\n': -5.3740916, ' ': -5.6017046, ' Yes': -6.776264}
{' No': -0.044631645, 'No': -3.4375663, ' ': -5.3828197, '\n': -5.6362333, ' Yes': -5.93234}
{' No': -0.040899273, 'No': -3.4772758, ' ': -5.4486766, '\n': -5.630329, ' Yes': -7.7159543}
{' Yes': -0.101046614, ' No': -2.8746593, ' ': -4.3978834, '\n': -4.489712, 'Yes': -4.7661595}
{' Yes': -0.50189406, ' No': -1.1022283, '\n': -3.9105585, ' ': -4.227936, 'No': -4.7525167}
{' No': -0.43141508, ' Yes': -1.1772572, 'No': -3.957151, '\n': -4.883485, ' ': -4.915418}
{' No': -0.16003065, ' Yes': -2.245499, 'No': -3.7516234, '\n': -5.2835975, ' ': -5.306526}
{' Yes': -0.035709247, ' No': -3.5378702, 'Yes': -5.4568863, ' A': -7.7571197, 'No': -7.963005}
{' Yes': -0.005471608, 'Yes': -5.3268595, ' yes': -8.75401, ' A': -8.90688, ' Absolutely': -9.396316}
{' Yes': -0.1027949, ' No': -2.4760973, 'Yes': -5.207817, ' Wolves': -5.5474358, 'No': -6.6377144}
{' Yes': -0.006887359, 'Yes': -5.3008647, ' Wolves': -7.2716427, ' Generally': -8.04086, ' No': -8.117222}
{' No': -0.061866425, 'No': -3.0522249, ' Yes': -4.714805, ' Generally': -6.403223, ' A': -6.9731755}
{' Yes': -0.021939505, 'Yes': -4.116641, ' No': -6.253873, ' Generally': -6.643317, ' A': -7.107539}
{' No': -0.14128773, ' Yes': -2.6983402, 'No': -2.9873836, ' Wolves': -4.6900034, 'Yes': -6.371981}
{' Yes': -0.08896633, ' No': -3.1286085, 'Yes': -3.9531212, ' Wolves': -4.322059, ' Generally': -5.7230835}
{' No': -0.18765604, ' Yes': -2.0962253, 'No': -3.2794452, 'Yes': -6.016408, '\n': -6.057597}
{' Yes': -0.05327936, ' No': -3.7037919, 'Yes': -3.9697318, ' ': -6.244403, '\n': -6.2807455}
{' No': -0.38250604, ' Yes': -1.484721, 'No': -3.034869, ' Wolves': -3.6317735, 'Yes': -5.0130105}
{' Yes': -0.1913217, ' No': -2.337289, ' Wolves': -3.4421628, 'Yes': -3.5995324, 'No': -4.8882055}
{' No': -0.03800875, ' Yes': -4.0177107, 'No': -4.0996943, ' A': -6.2797117, ' Generally': -8.176496}
{' Yes': -0.008067844, 'Yes': -5.004434, ' A': -7.7086267, ' No': -7.94848, ' yes': -8.653325}
{' No': -0.17162958, ' Yes': -2.6388576, ' Wolves': -2.8618855, 'No': -3.647929, 'Yes': -6.9523473}
{' Yes': -0.043136083, ' Wolves': -3.8181813, 'Yes': -4.512515, ' No': -4.9557676, ' Generally': -6.887449}
{' No': -0.12944588, 'No': -2.6116884, ' Yes': -3.8123243, '\n': -4.754534, ' Generally': -4.887939}
{' Yes': -0.14335434, ' No': -2.7549303, 'Yes': -3.635446, '\n': -4.27651, ' Generally': -4.9409866}
{' No': -0.3232564, ' Yes': -1.9910115, 'No': -2.8097198, ' Wolves': -3.0925624, '\n': -4.6401143}
{' Yes': -0.4000604, ' No': -1.4791695, 'Yes': -3.5158327, ' Wolves': -3.6212897, 'No': -3.8777845}
{' No': -0.5241948, ' Yes': -1.0973054, 'No': -3.3755054, ' Generally': -3.9968243, 'Yes': -5.068348}
{' Yes': -0.023894768, 'Yes': -4.130065, ' Generally': -6.051582, ' A': -6.5361414, ' ': -6.812314}
{' Yes': -0.74942046, ' No': -0.8390715, ' Wolves': -3.0610123, 'No': -3.593371, 'Yes': -4.5261083}
{' Yes': -0.058068726, 'Yes': -3.6660876, ' Wolves': -4.0433383, ' No': -5.1356287, ' yes': -6.452425}
{' No': -0.012888552, 'No': -4.8788686, ' Yes': -6.049902, ' ': -6.49975, '\n': -7.2722945}
{' Yes': -0.004428915, 'Yes': -5.865543, ' ': -7.346624, ' yes': -7.758177, '\n': -8.421637}
{' No': -0.53194195, ' Yes': -0.9231792, 'No': -5.4652247, ' ': -5.736354, '\n': -5.908267}
{' Yes': -0.0057255137, 'Yes': -5.5501585, ' No': -7.712629, ' ': -7.7320547, ' yes': -7.879306}
{' No': -0.06755551, 'No': -2.9491282, '\n': -4.9720697, ' ': -5.7898855, ' A': -6.290392}
{' No': -0.50416243, ' Yes': -1.2462488, ' A': -3.2931945, 'No': -3.6221566, '\n': -3.6942258}
{' No': -0.08694305, 'No': -2.9990883, ' Wolves': -4.382662, ' ': -4.9828854, '\n': -5.0025997}
{' No': -0.13200828, ' Yes': -2.9247382, 'No': -3.4669535, ' Wolves': -3.6940389, ' ': -5.21144}
{' No': -0.17792091, 'No': -2.586309, '\n': -2.6563125, ' ': -4.498853, ' A': -5.53424}
{' No': -0.51546794, '\n': -1.7952322, ' Yes': -2.1044438, 'No': -3.1556733, ' A': -3.3636696}
{' No': -0.43707728, '\n': -1.4628645, 'No': -2.7408607, ' ': -3.5370145, ' Yes': -4.311691}
{' No': -0.7209811, '\n': -1.3399158, ' Yes': -1.9211211, 'No': -3.3069358, ' ': -3.401956}
{' No': -0.012090008, 'No': -4.6849375, ' ': -6.4494233, ' Yes': -7.2900724, '\n': -8.4020815}
{' Yes': -0.13728747, ' No': -2.1610548, ' ': -5.346747, 'Yes': -5.3537617, 'No': -6.717745}
{' No': -0.01674367, 'No': -4.730763, ' Yes': -5.189534, ' ': -6.8433313, ' Wolves': -7.128663}
{' No': -0.40103817, ' Yes': -1.1531897, 'No': -4.9748335, ' Wolves': -5.802832, 'Yes': -6.130919}
{' No': -0.27565655, 'No': -1.6238124, '\n': -3.6323166, ' ': -4.438094, ' A': -6.2855477}
{' Yes': -0.8147152, ' No': -1.2464817, 'No': -2.5163772, 'Yes': -2.7372558, '\n': -3.0219734}
{' No': -0.2863695, 'No': -1.6760083, '\n': -3.399023, ' ': -4.13078, ' Wolves': -5.0342045}
{' No': -0.18667269, 'No': -2.020281, '\n': -3.99276, ' ': -4.5600796, ' Wolves': -5.4671984}
{' Yes': -0.7618291, ' No': -0.77021563, 'No': -3.9480634, ' A': -3.9811528, ' ': -4.336456}
{' Yes': -0.029112065, 'Yes': -4.389065, ' yes': -5.3686266, ' A': -5.453931, ' ': -5.603327}
{' No': -0.5253479, ' Yes': -1.1267254, 'No': -3.5927117, ' Wolves': -3.732293, ' ': -4.409348}
{' Yes': -0.04766122, 'Yes': -3.9728205, ' yes': -5.1109185, ' No': -5.112557, ' Wolves': -5.194418}
{' No': -0.14627285, 'No': -2.1367495, ' A': -5.0590367, ' Yes': -5.5722733, ' no': -6.1564293}
{' Yes': -0.05886616, 'Yes': -3.2811332, ' yes': -4.6898713, ' A': -5.416988, ' No': -6.075505}
{' No': -0.190906, 'No': -2.0719905, ' Yes': -3.9659321, ' Wolves': -4.45616, ' ': -5.6516066}
{' Yes': -0.11336287, 'Yes': -2.8740287, ' Wolves': -4.122043, ' yes': -4.2919784, ' No': -4.516146}
{' No': -0.0848103, 'No': -2.557531, ' Yes': -5.8949695, ' ': -7.5308437, 'Yes': -9.03306}
{' No': -0.45280483, ' Yes': -1.2435248, 'No': -2.8048875, 'Yes': -4.3765855, ' ': -6.6037326}
{' No': -0.4756589, ' Yes': -1.3471532, 'No': -2.3198133, 'Yes': -4.0523705, ' ': -6.8916154}
{' Yes': -0.12128082, 'Yes': -2.9714813, ' No': -3.0025997, 'No': -5.11849, ' Wolves': -5.2872467}
{' No': -0.16674809, 'No': -2.0434034, ' Yes': -3.8781812, 'Yes': -6.500818, ' ': -7.085961}
{' Yes': -0.08095448, 'Yes': -2.761384, ' No': -4.598525, 'No': -6.3110547, ' ': -6.8714476}
{' No': -0.3469383, ' Yes': -1.910041, 'No': -2.0621388, 'Yes': -4.3935614, ' ': -6.291534}
{' Yes': -0.5758007, ' No': -1.1973237, 'No': -2.809474, 'Yes': -2.895167, ' Wolves': -4.3205533}
{' No': -0.026812848, 'No': -3.782855, ' Yes': -5.9513917, ' ': -7.615274, ' A': -8.680097}
{' Yes': -0.0960062, ' No': -2.6358068, 'Yes': -4.23303, 'No': -6.052112, ' yes': -7.1051984}
{' No': -0.59543866, ' Yes': -0.8757312, 'No': -3.890614, 'Yes': -4.842145, ' Wolves': -6.2722287}
{' Yes': -0.03789756, 'Yes': -4.0390625, ' No': -4.26104, ' Wolves': -5.641407, 'No': -7.3504486}
{' No': -0.4477702, 'No': -1.0430231, '\n': -6.1948276, ' Generally': -6.3751616, ' Wolves': -6.394791}
{' No': -0.7079907, 'No': -1.0116464, ' Yes': -2.7534466, 'Yes': -4.0680594, ' Wolves': -4.1135197}
{' No': -0.6944385, 'No': -1.2301345, ' Wolves': -2.251367, ' Yes': -2.8549416, 'Yes': -4.0763583}
{' No': -0.91182256, 'No': -1.4337322, ' Wolves': -1.559396, ' Yes': -2.4033177, 'Yes': -3.546304}
{' No': -0.081740916, 'No': -2.6333902, ' Yes': -6.315217, ' ': -6.530448, ' Wolf': -6.980611}
{' No': -0.1311482, 'No': -2.453427, ' Yes': -3.870915, ' A': -5.8886304, ' Generally': -6.1163435}
{' No': -0.6462227, ' Yes': -1.2182156, 'No': -2.4857402, ' Wolves': -2.6799407, 'Yes': -3.944875}
{' No': -0.8438991, ' Yes': -1.0715965, ' Wolves': -2.0483534, 'No': -2.7804415, 'Yes': -3.727106}
{' No': -0.07198343, ' Yes': -3.197912, 'No': -4.372217, ' ': -4.728939, '\n': -5.961866}
{' Yes': -0.026643943, ' yes': -4.1943665, 'Yes': -4.7725964, ' ': -6.3382244, '\n': -7.6981387}
{' No': -0.23392867, ' Yes': -1.6644057, ' ': -5.0792313, 'No': -5.1676064, ' yes': -6.115408}
{' Yes': -0.02855386, ' yes': -4.282326, 'Yes': -4.7930303, ' No': -5.7460217, ' ': -6.4819207}
{' No': -0.10596364, 'No': -2.4336536, '\n': -5.235083, ' ': -5.706327, ' A': -6.3973813}
{' Yes': -0.07690243, 'Yes': -3.3229463, ' No': -4.391506, '\n': -4.948866, ' yes': -5.047373}
{' No': -0.39125842, ' Yes': -1.6029531, 'No': -2.7790587, '\n': -3.6515696, ' ': -4.3615}
{' Yes': -0.16494744, ' No': -2.5718267, 'Yes': -3.3566225, '\n': -4.2362056, ' ': -4.853946}
{' No': -0.23957682, 'No': -2.23667, '\n': -2.405249, ' ': -4.6039066, ' A': -5.8955674}
{' Yes': -0.44430307, '\n': -1.6148238, 'Yes': -2.9676318, ' No': -2.9806628, ' ': -3.7530377}
{' No': -0.48830605, '\n': -1.371685, 'No': -2.5388258, ' ': -3.8072872, ' Yes': -3.9770815}
{'\n': -0.8247254, ' No': -0.85685277, 'No': -2.7414086, ' Yes': -3.380687, ' ': -3.6732664}
{' No': -0.034570392, 'No': -3.5744605, ' Yes': -6.012342, ' ': -6.340148, '\n': -6.798013}
{' Yes': -0.019489173, 'Yes': -4.282224, ' yes': -6.2148466, ' ': -6.739784, ' No': -6.947656}
{' No': -0.04033141, 'No': -3.6104622, ' Yes': -4.78611, ' ': -6.4694695, '\n': -6.49227}
{' Yes': -0.012214235, 'Yes': -4.6369853, ' yes': -6.7511115, ' No': -7.7005377, ' ': -7.9421363}
{' No': -0.33458236, 'No': -1.5555067, '\n': -2.8428507, ' ': -4.732643, ' no': -5.9534454}
{' No': -0.32630756, 'No': -1.6987556, '\n': -2.7356932, ' Yes': -4.293763, ' ': -4.4954147}
{' No': -0.28187653, 'No': -1.7765952, '\n': -2.8653784, ' ': -4.574831, ' no': -5.767012}
{' No': -0.21834894, 'No': -1.90476, '\n': -3.2637858, ' ': -5.178011, ' no': -6.7620416}
{' No': -0.17642844, ' Yes': -2.717396, 'No': -2.966769, '\n': -4.0964084, ' ': -4.7952447}
{' Yes': -0.073834114, ' yes': -3.162766, 'Yes': -3.9537456, '\n': -5.307305, ' ': -5.919094}
{' Yes': -0.4219889, ' No': -1.5255253, ' yes': -3.249538, '\n': -3.6166034, 'Yes': -3.732099}
{' Yes': -0.10100368, ' yes': -2.8823297, 'Yes': -3.647255, '\n': -4.955207, ' ': -5.8544016}
{' No': -0.61589634, ' Yes': -0.84624493, '\n': -4.2158813, ' ': -4.8725433, 'No': -5.530939}
{' Yes': -0.00910717, 'Yes': -5.4292693, '\n': -6.306791, ' ': -6.70182, ' yes': -7.13762}
{' No': -0.15000938, ' Yes': -2.206631, '\n': -4.102173, 'No': -5.06851, ' ': -5.327791}
{' Yes': -0.031491175, ' No': -4.120732, '\n': -5.2189107, 'Yes': -5.474429, ' ': -5.9428263}
{' No': -0.066864476, 'No': -3.0739253, '\n': -4.2964344, ' ': -5.5326176, ' A': -7.6762743}
{' Yes': -0.6564396, ' No': -0.98821336, '\n': -3.1998374, ' A': -3.7889411, 'No': -4.014609}
{' No': -0.08853168, '\n': -3.253382, 'No': -3.4077451, ' ': -4.878298, ' Wolves': -5.896381}
{' No': -0.2296775, '\n': -2.4484332, ' Yes': -3.1273882, ' Wolves': -3.4601405, 'No': -3.5733855}
{' No': -0.080886036, 'No': -3.1866157, '\n': -3.5658047, ' ': -5.155938, ' A': -6.6559186}
{' Yes': -0.7248851, ' No': -1.0129101, '\n': -2.6972113, ' A': -3.5016072, ' ': -3.7268057}
{' No': -0.1567672, '\n': -2.932316, 'No': -3.3607676, ' Yes': -3.6650486, ' Wolves': -4.135859}
{' No': -0.16757503, '\n': -3.059819, ' Yes': -3.261899, 'No': -3.6242952, ' Wolves': -3.6710331}
{' No': -0.011661216, 'No': -4.9365344, ' ': -5.965501, '\n': -6.3973246, ' A': -9.15896}
{' Yes': -0.59886366, ' No': -0.9302656, ' ': -3.9236066, '\n': -3.982874, ' A': -4.644859}
{' No': -0.020089718, 'No': -4.6545177, '\n': -5.1697516, ' ': -5.5226817, ' Wolves': -8.066779}
{' No': -0.26448897, ' Yes': -1.7843138, '\n': -3.6103292, ' ': -4.3576474, 'No': -4.462567}
{' No': -0.037162375, 'No': -3.5899136, '\n': -5.3429446, ' ': -5.5644693, ' no': -9.447734}
{' No': -0.048991513, 'No': -3.3009999, '\n': -5.28289, ' ': -5.524604, ' Yes': -6.8694515}
{' No': -0.037356574, 'No': -3.697387, ' ': -5.2178583, '\n': -5.2381926, ' Yes': -7.29325}
{' No': -0.04055254, 'No': -3.6988358, ' ': -5.1859403, '\n': -5.380085, ' Yes': -5.975824}
{' No': -0.15487887, ' Yes': -2.4587862, 'No': -3.83346, '\n': -4.1105614, ' ': -4.2664375}
{' Yes': -0.030984519, 'Yes': -4.647899, '\n': -5.045814, ' ': -5.162539, ' yes': -5.325002}
{' Yes': -0.6100078, ' No': -0.8889633, ' ': -4.506479, 'No': -4.552583, '\n': -4.6711593}
{' Yes': -0.038565453, 'Yes': -4.30889, ' yes': -4.927077, '\n': -5.4877133, ' ': -5.534163}
{' Yes': -0.004848031, 'Yes': -5.520232, ' Generally': -8.5869875, ' yes': -8.599315, ' Absolutely': -8.802643}
{' Yes': -0.010286265, 'Yes': -4.7731147, ' Generally': -7.550044, ' An': -7.9215693, ' yes': -8.228364}
{' Yes': -0.007312066, 'Yes': -5.17155, ' Generally': -7.2553415, ' No': -7.938916, ' yes': -8.19782}
{' Yes': -0.012752528, 'Yes': -4.481689, ' Generally': -7.729921, ' yes': -7.766341, ' No': -8.986115}
{' Yes': -0.031204084, 'Yes': -3.5696027, ' Generally': -7.3313937, ' yes': -7.451274, ' No': -7.6737814}
{' Yes': -0.021231728, 'Yes': -4.009883, ' Generally': -6.724543, ' yes': -7.682465, ' An': -7.903628}
{' Yes': -0.02694663, 'Yes': -3.6795936, ' yes': -7.9312468, ' No': -7.9536204, ' Generally': -8.247179}
{' Yes': -0.019905647, 'Yes': -3.9658036, ' yes': -7.887722, ' Generally': -8.9325485, ' ': -9.026425}
{' Yes': -0.021183388, 'Yes': -4.019966, ' No': -7.269954, '\n': -7.4629054, ' ': -7.4784484}
{' Yes': -0.019281395, 'Yes': -4.1418533, '\n': -6.4918423, ' ': -7.2287955, ' yes': -7.6004157}
{' Yes': -0.030785715, 'Yes': -3.586669, ' No': -7.285696, ' ': -7.576663, '\n': -7.659429}
{' Yes': -0.027043382, 'Yes': -3.6710615, ' yes': -7.5962625, ' ': -8.072478, '\n': -8.756027}
{' Yes': -0.006431817, 'Yes': -5.242893, ' An': -8.340496, ' Absolutely': -8.486046, ' yes': -8.5513935}
{' Yes': -0.007401052, 'Yes': -5.123299, ' An': -7.3779926, ' yes': -8.109579, ' Generally': -8.6563635}
{' Yes': -0.009476136, 'Yes': -5.055502, ' No': -6.654301, ' Ant': -7.386254, ' Generally': -7.524281}
{' Yes': -0.0124936355, 'Yes': -4.485163, ' yes': -7.621636, ' Generally': -8.201289, ' Ant': -8.597421}
{' No': -0.45325947, ' Yes': -1.492528, 'No': -2.4518175, '\n': -4.3145227, 'Yes': -4.481144}
{' Yes': -0.18297681, ' No': -2.4315557, 'Yes': -3.3138704, 'No': -4.2904572, '\n': -4.357053}
{' Yes': -0.0630638, 'Yes': -3.2800038, ' No': -4.248332, 'No': -6.3168573, ' ': -6.37101}
{' Yes': -0.044290096, 'Yes': -3.3666053, ' No': -6.022403, '\n': -6.084861, ' ': -6.5691476}
{' Yes': -0.02016245, 'Yes': -4.2153335, ' Generally': -6.293583, ' No': -7.2191167, ' yes': -7.3512163}
{' Yes': -0.031959053, 'Yes': -3.6465697, ' Generally': -6.3671145, ' yes': -6.7045355, ' ': -7.405586}
{' Yes': -0.03347099, 'Yes': -3.679818, ' Ant': -6.1697416, ' Generally': -6.464733, ' yes': -6.682075}
{' Yes': -0.035498068, 'Yes': -3.466351, ' yes': -6.3153124, ' ': -7.6055446, ' Generally': -7.8389897}
{' Yes': -0.0052322084, 'Yes': -5.5906487, ' yes': -7.007359, ' ': -8.183729, ' YES': -8.699539}
{' Yes': -0.0055393334, 'Yes': -5.5149713, ' yes': -7.171711, '\n': -8.045427, ' ': -8.198391}
{' Yes': -0.0059990906, 'Yes': -5.3518753, ' yes': -7.143225, ' ': -8.768348, '\n': -8.841013}
{' Yes': -0.006974389, 'Yes': -5.206479, ' yes': -6.969933, ' ': -8.344895, '\n': -8.507676}
{' Yes': -0.48113245, ' No': -1.094076, 'No': -3.9539528, 'Yes': -4.050539, '\n': -5.419563}
{' No': -0.29893434, ' Yes': -1.7235674, 'No': -3.0921986, '\n': -4.5126624, ' An': -5.1806707}
{' Yes': -0.01975195, 'Yes': -4.1150103, ' No': -6.7275844, ' yes': -7.068858, ' ': -7.515283}
{' Yes': -0.02098804, 'Yes': -3.9718623, ' yes': -6.7850013, ' ': -7.847709, '\n': -8.511291}
{' Yes': -0.5170226, ' No': -1.4061351, '\n': -2.548795, 'Yes': -3.314426, 'No': -3.7848868}
{' Yes': -0.35648215, '\n': -1.9668356, ' No': -2.702519, 'Yes': -3.0321336, ' ': -3.8050964}
{' Yes': -0.8519493, ' No': -0.99121827, '\n': -2.169189, 'No': -3.347131, 'Yes': -3.5407672}
{' Yes': -0.13643546, 'Yes': -2.784293, '\n': -2.9888258, ' ': -4.75993, ' yes': -5.941525}
{' Yes': -0.0140677625, ' No': -4.839175, 'Yes': -5.363925, ' ': -7.398883, ' yes': -7.5785437}
{' Yes': -0.0060583344, 'Yes': -5.363018, ' No': -7.5022664, ' yes': -7.835844, ' ': -8.456196}
{' Yes': -0.0056712627, 'Yes': -5.859509, ' No': -6.1380925, ' yes': -8.004294, ' ': -8.477884}
{' Yes': -0.004907927, 'Yes': -5.4183965, ' yes': -8.052263, ' ': -9.403946, '\n': -10.478586}
{' No': -0.35336342, 'No': -1.4542146, ' Yes': -3.5873284, '\n': -4.2176437, ' ': -4.664807}
{' No': -0.41067666, 'No': -1.5222431, ' Yes': -2.86684, '\n': -3.495855, ' ': -4.4007792}
{' No': -0.6799786, ' Yes': -1.2244008, 'No': -2.1641724, 'Yes': -3.0678265, '\n': -4.0824966}
{' Yes': -0.4887451, ' No': -1.954159, 'Yes': -2.0666564, 'No': -2.876877, '\n': -3.562836}
{' Yes': -0.03219416, 'Yes': -4.052765, ' yes': -4.6719832, ' ': -6.3112397, ' YES': -6.342609}
{' Yes': -0.029187057, 'Yes': -4.0527678, ' yes': -4.8070154, ' ': -6.69975, ' An': -7.5667157}
{' Yes': -0.036666736, 'Yes': -3.8402822, ' yes': -4.5433598, ' YES': -6.5423636, ' ': -6.7017965}
{' Yes': -0.038802374, 'Yes': -3.7961986, ' yes': -4.47742, ' ': -6.403014, '\n': -6.9679384}
{' Yes': -0.052892048, 'Yes': -3.2415075, ' yes': -4.823697, ' YES': -6.9735384, ' Generally': -7.083593}
{' Yes': -0.076576576, 'Yes': -2.9646244, ' yes': -4.2546678, ' Generally': -6.5468845, ' An': -6.557439}
{' Yes': -0.088081144, 'Yes': -2.909736, ' yes': -3.707389, ' YES': -6.794076, 'yes': -6.828687}
{' Yes': -0.11448345, 'Yes': -2.6466222, ' yes': -3.4672053, 'yes': -6.482783, ' AN': -6.8251085}
{' Yes': -0.042635668, 'Yes': -3.577332, ' No': -4.5774846, ' yes': -6.2913575, 'No': -7.0484223}
{' Yes': -0.060329422, 'Yes': -3.4506967, ' No': -3.8785605, 'No': -5.9473286, ' yes': -6.24571}
{' Yes': -0.048733953, 'Yes': -3.090928, ' No': -7.2666903, ' yes': -7.3122225, ' Generally': -8.1590185}
{' Yes': -0.042450327, 'Yes': -3.2085936, ' yes': -7.4297924, ' No': -8.946755, ' Generally': -9.010782}
{' Yes': -0.050167747, 'Yes': -3.1642804, ' No': -5.8814282, ' yes': -6.2081985, ' YES': -7.5651646}
{' Yes': -0.047494575, 'Yes': -3.1804044, ' No': -6.296939, ' yes': -6.6665206, ' ': -7.55061}
{' Yes': -0.05929159, 'Yes': -2.9395237, ' yes': -6.4453106, ' No': -6.913644, ' Generally': -7.734456}
{' Yes': -0.061840743, 'Yes': -2.8599305, ' yes': -6.5103517, ' ': -8.06535, '\n': -8.687722}
{' Yes': -0.053803872, ' No': -3.3507607, 'Yes': -4.2616777, 'No': -6.701995, ' yes': -6.813143}
{' Yes': -0.019928085, 'Yes': -4.026911, ' yes': -7.152584, ' No': -7.330789, ' ': -8.736406}
{' Yes': -0.016873445, 'Yes': -4.266074, ' No': -6.561953, ' yes': -7.230519, ' ': -9.018593}
{' Yes': -0.021501418, 'Yes': -3.9117067, ' yes': -6.9912996, ' ': -9.122235, ' Generally': -9.839747}
{' No': -0.44607478, 'No': -1.3463032, ' Yes': -2.7960923, ' An': -4.59063, ' Generally': -4.67854}
{' No': -0.69928664, 'No': -1.0225155, ' Yes': -2.9064624, ' AN': -2.9801989, 'Yes': -4.4923086}
{' Yes': -0.16340679, 'Yes': -2.1327138, ' No': -4.697384, ' Ant': -5.0612125, ' Generally': -5.109132}
{' Yes': -0.893509, ' No': -1.323454, 'No': -1.7299652, 'Yes': -2.4523697, ' AN': -3.2369099}
{' Yes': -0.2876093, ' No': -1.6039736, 'Yes': -3.6877232, 'No': -4.0664024, ' yes': -5.5464725}
{' Yes': -0.15630208, ' No': -2.5984273, ' AN': -3.570645, 'Yes': -3.8258502, 'No': -4.890423}
{' Yes': -0.037697494, 'Yes': -3.4496214, ' yes': -5.788014, ' Generally': -7.495126, ' No': -7.644118}
{' Yes': -0.058845114, 'Yes': -2.942527, ' yes': -5.7350154, ' ': -8.239312, 'yes': -8.355512}
{' Yes': -0.110292576, ' yes': -2.3453944, 'Yes': -5.230915, ' YES': -6.6586165, 'yes': -6.8867693}
{' Yes': -0.09039329, ' yes': -2.5969276, 'Yes': -4.72303, ' ': -6.667002, 'yes': -7.0362616}
{' Yes': -0.06011843, ' yes': -2.9849327, 'Yes': -5.0906854, ' ': -7.5093594, 'yes': -7.589602}
{' Yes': -0.046506453, ' yes': -3.4017136, 'Yes': -4.58088, ' ': -7.1198816, 'yes': -7.5021343}
{' Yes': -0.042181887, 'Yes': -3.5799797, ' yes': -4.621897, ' ': -6.641106, '\n': -7.096148}
{' Yes': -0.042541873, 'Yes': -3.5580351, ' yes': -4.6468487, '\n': -6.4806986, ' ': -6.6393104}
{' Yes': -0.04494862, 'Yes': -3.3580227, ' yes': -4.931576, '\n': -7.4080944, ' ': -7.5471344}
{' Yes': -0.047438696, 'Yes': -3.3097467, ' yes': -4.8589315, '\n': -7.0837812, ' ': -7.4836855}
{' Yes': -0.18975973, 'Yes': -2.7113373, '\n': -3.1923497, ' No': -3.4006624, ' yes': -4.2315435}
{' Yes': -0.37199202, '\n': -2.0095918, 'Yes': -2.5447235, ' No': -2.9674528, ' ': -4.20803}
{' Yes': -0.10267395, 'Yes': -2.764995, '\n': -4.202001, ' yes': -4.440967, ' ': -5.99417}
{' Yes': -0.10638784, 'Yes': -2.6773374, '\n': -4.141287, ' yes': -4.365976, ' ': -6.2839465}
{' Yes': -0.01831084, 'Yes': -4.3758035, ' yes': -5.5817757, ' ': -7.3374195, ' No': -7.476509}
{' Yes': -0.017805772, 'Yes': -4.302178, ' yes': -5.69849, ' ': -8.048533, '\n': -8.529449}
{' Yes': -0.012339442, 'Yes': -4.6371675, ' yes': -6.1362705, ' ': -8.93285, 'yes': -9.256575}
{' Yes': -0.014224338, 'Yes': -4.4842596, ' yes': -5.968034, 'yes': -8.994824, ' ': -9.465133}
{' No': -0.4399306, 'No': -1.429793, ' Yes': -3.097056, '\n': -3.3973536, 'Yes': -4.4552197}
{' No': -0.42948413, 'No': -1.3569514, '\n': -3.179092, ' Yes': -3.4932506, ' ': -4.933705}
{' Yes': -0.64373946, ' No': -1.6921003, 'Yes': -2.1147115, 'No': -2.7228067, ' yes': -3.2333992}
{' Yes': -0.35918522, 'Yes': -1.9528588, ' No': -2.8195465, '\n': -3.4329574, ' yes': -3.5755625}
{' Yes': -0.20052968, ' yes': -1.87909, 'Yes': -3.9569688, ' YES': -5.6037016, 'yes': -5.7208123}
{' Yes': -0.1521464, ' yes': -2.193307, 'Yes': -3.7863398, 'yes': -6.069866, ' ': -6.243012}
{' Yes': -0.21839543, ' yes': -1.8497794, 'Yes': -3.5925503, 'yes': -5.224677, ' YES': -6.0512743}
{' Yes': -0.21179745, ' yes': -1.9039303, 'Yes': -3.461723, 'yes': -5.2025204, '\n': -5.9855514}
{' Yes': -0.008279251, 'Yes': -5.395734, '\n': -6.5533376, ' yes': -6.696563, ' ': -7.3346605}
{' Yes': -0.0054847957, 'Yes': -5.7049456, ' yes': -6.867196, '\n': -7.363532, ' ': -7.989793}
{' Yes': -0.009841087, 'Yes': -5.5389943, '\n': -5.6743855, ' yes': -6.9620366, ' ': -7.1885495}
