{'actual_primer': True, 'actual_word': True, 'primer': 'left', 'question': 'right', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ':'}
{'actual_primer': True, 'actual_word': True, 'primer': 'hue', 'question': 'color', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'hanger', 'question': 'color', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'minor', 'question': 'major', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'fury', 'question': 'major', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'best', 'question': 'worst', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'hydrogen', 'question': 'worst', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'ounce', 'question': 'pound', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'grief', 'question': 'pound', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'clean', 'question': 'dirty', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'gymnastics', 'question': 'dirty', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'astronaut', 'question': 'space', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'fighter', 'question': 'space', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'volcano', 'question': 'erupt', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'mediocre', 'question': 'erupt', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'marsh', 'question': 'swamp', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'drugs', 'question': 'swamp', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'knight', 'question': 'armor', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'week', 'question': 'armor', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'precise', 'question': 'exact', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'wear', 'question': 'exact', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'motionless', 'question': 'still', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'flow', 'question': 'still', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'goodbye', 'question': 'hello', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'male', 'question': 'hello', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'pocketbook', 'question': 'purse', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'grind', 'question': 'purse', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'actress', 'question': 'actor', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'coast', 'question': 'actor', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'cigar', 'question': 'smoke', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'lane', 'question': 'smoke', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'below', 'question': 'above', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'postage', 'question': 'above', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'untrue', 'question': 'false', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'rung', 'question': 'false', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'observe', 'question': 'watch', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'wasp', 'question': 'watch', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'oregano', 'question': 'spice', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'knock', 'question': 'spice', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'beneath', 'question': 'under', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'tricycle', 'question': 'under', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'crevice', 'question': 'crack', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'annoy', 'question': 'crack', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'debate', 'question': 'argue', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'treasure', 'question': 'argue', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'kid', 'question': 'child', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'ruler', 'question': 'child', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'late', 'question': 'early', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'core', 'question': 'early', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'gander', 'question': 'goose', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'crescent', 'question': 'goose', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'sea', 'question': 'ocean', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'salute', 'question': 'ocean', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'garbage', 'question': 'trash', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'chapter', 'question': 'trash', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'disgusting', 'question': 'gross', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'astrology', 'question': 'gross', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'dial', 'question': 'phone', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'husk', 'question': 'phone', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'sentry', 'question': 'guard', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'underground', 'question': 'guard', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'honey', 'question': 'sweet', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'physician', 'question': 'sweet', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'weed', 'question': 'grass', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'complain', 'question': 'grass', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'mustache', 'question': 'beard', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'weights', 'question': 'beard', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'guys', 'question': 'girls', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'reprimand', 'question': 'girls', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'dim', 'question': 'light', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'adjourn', 'question': 'light', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'fork', 'question': 'spoon', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'point', 'question': 'spoon', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'tight', 'question': 'loose', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'associate', 'question': 'loose', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'seed', 'question': 'plant', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'lightning', 'question': 'plant', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'six', 'question': 'seven', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'fade', 'question': 'seven', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'bleach', 'question': 'white', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'launch', 'question': 'white', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'sandpaper', 'question': 'rough', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'slander', 'question': 'rough', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'ballet', 'question': 'dance', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'merit', 'question': 'dance', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'dressing', 'question': 'salad', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'car', 'question': 'salad', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'appearance', 'question': 'looks', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'floor', 'question': 'looks', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'grocery', 'question': 'store', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'english', 'question': 'store', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'shatter', 'question': 'break', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'yearly', 'question': 'break', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'components', 'question': 'parts', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'fox', 'question': 'parts', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'push', 'question': 'shove', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'kleenex', 'question': 'shove', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'pancakes', 'question': 'syrup', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'tortoise', 'question': 'syrup', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'teach', 'question': 'learn', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'chop', 'question': 'learn', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'major', 'question': 'minor', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'trail', 'question': 'minor', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'when', 'question': 'where', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'gross', 'question': 'where', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'bow', 'question': 'arrow', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'parade', 'question': 'arrow', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'link', 'question': 'chain', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'elements', 'question': 'chain', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'reef', 'question': 'coral', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'snob', 'question': 'coral', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'transplant', 'question': 'heart', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'hostage', 'question': 'heart', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'trot', 'question': 'horse', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': False, 'actual_word': True, 'primer': 'eight', 'question': 'horse', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': ')'}
{'actual_primer': True, 'actual_word': True, 'primer': 'left', 'question': 'right', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': False, 'actual_word': True, 'primer': 'liquid', 'question': 'right', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': True, 'actual_word': True, 'primer': 'pepperoni', 'question': 'pizza', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': False, 'actual_word': True, 'primer': 'dangerous', 'question': 'pizza', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': True, 'actual_word': True, 'primer': 'cobra', 'question': 'snake', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': False, 'actual_word': True, 'primer': 'chimpanzee', 'question': 'snake', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': True, 'actual_word': True, 'primer': 'giggle', 'question': 'laugh', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': False, 'actual_word': True, 'primer': 'vocabulary', 'question': 'laugh', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': True, 'actual_word': True, 'primer': 'king', 'question': 'queen', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': False, 'actual_word': True, 'primer': 'breakfast', 'question': 'queen', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': True, 'actual_word': True, 'primer': 'north', 'question': 'south', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': False, 'actual_word': True, 'primer': 'cigar', 'question': 'south', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': True, 'actual_word': True, 'primer': 'airport', 'question': 'plane', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': False, 'actual_word': True, 'primer': 'inhale', 'question': 'plane', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': True, 'actual_word': True, 'primer': 'lost', 'question': 'found', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': False, 'actual_word': True, 'primer': 'pedal', 'question': 'found', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': True, 'actual_word': True, 'primer': 'aunt', 'question': 'uncle', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': False, 'actual_word': True, 'primer': 'cereal', 'question': 'uncle', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': True, 'actual_word': True, 'primer': 'postage', 'question': 'stamp', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': False, 'actual_word': True, 'primer': 'drunk', 'question': 'stamp', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': True, 'actual_word': True, 'primer': 'nap', 'question': 'sleep', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': False, 'actual_word': True, 'primer': 'farmer', 'question': 'sleep', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': True, 'actual_word': True, 'primer': 'open', 'question': 'close', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': False, 'actual_word': True, 'primer': 'information', 'question': 'close', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': True, 'actual_word': True, 'primer': 'gums', 'question': 'teeth', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': False, 'actual_word': True, 'primer': 'invent', 'question': 'teeth', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': True, 'actual_word': True, 'primer': 'tall', 'question': 'short', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': False, 'actual_word': True, 'primer': 'nickel', 'question': 'short', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': True, 'actual_word': True, 'primer': 'intoxicated', 'question': 'drunk', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': False, 'actual_word': True, 'primer': 'diminish', 'question': 'drunk', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': True, 'actual_word': True, 'primer': 'plus', 'question': 'minus', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': False, 'actual_word': True, 'primer': 'ancestor', 'question': 'minus', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': True, 'actual_word': True, 'primer': 'globe', 'question': 'world', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': False, 'actual_word': True, 'primer': 'softball', 'question': 'world', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': True, 'actual_word': True, 'primer': 'blackboard', 'question': 'chalk', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': False, 'actual_word': True, 'primer': 'orchid', 'question': 'chalk', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': True, 'actual_word': True, 'primer': 'man', 'question': 'woman', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': False, 'actual_word': True, 'primer': 'grade', 'question': 'woman', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': True, 'actual_word': True, 'primer': 'celebration', 'question': 'party', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': False, 'actual_word': True, 'primer': 'parsley', 'question': 'party', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': True, 'actual_word': True, 'primer': 'white', 'question': 'black', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': False, 'actual_word': True, 'primer': 'selection', 'question': 'black', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': True, 'actual_word': True, 'primer': 'socks', 'question': 'shoes', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': False, 'actual_word': True, 'primer': 'friar', 'question': 'shoes', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
{'actual_primer': True, 'actual_word': True, 'primer': 'ghoul', 'question': 'ghost', 'separator': ' ', 'separator_length': 5, 'q': 'Q', 'a': 'A', 'qa_separator': '.'}
