{' No': -0.016526647, ' Yes': -4.539882, 'No': -5.366693, ' Not': -7.1851287, ' Unfortunately': -9.273784}
{' No': -0.30639237, ' Yes': -1.361553, 'No': -5.117368, 'Yes': -6.5672064, ' The': -8.7713995}
{' Yes': -0.04933192, ' No': -3.3232613, 'Yes': -4.50276, 'No': -7.1905236, ' The': -9.502478}
{' No': -0.17216937, ' Yes': -1.8991342, 'No': -4.9415708, 'Yes': -7.0465107, ' Not': -8.986237}
{' No': -0.017061684, ' Yes': -4.3600736, 'No': -5.5575547, ' Unfortunately': -9.289921, ' The': -9.843691}
{' No': -0.014881308, ' Yes': -4.890671, 'No': -5.003584, ' Unfortunately': -8.629299, ' The': -9.034}
{' No': -0.44483075, ' Yes': -1.0499543, 'No': -5.17965, 'Yes': -5.735936, ' The': -9.088445}
{' No': -0.23548448, ' Yes': -1.6247113, 'No': -4.644845, 'Yes': -5.845359, ' The': -9.2523775}
{' No': -0.01402581, 'No': -4.4079847, ' Yes': -6.4489803, ' ': -9.961686, ' Not': -10.47076}
{' No': -0.015445552, 'No': -4.43593, ' Yes': -5.711122, ' The': -9.802884, ' Not': -10.2049055}
{' No': -0.29735819, ' Yes': -1.4000098, 'No': -4.8410134, 'Yes': -6.558289, ' Shirt': -6.860743}
{' Yes': -0.11995373, ' No': -2.223639, 'Yes': -5.5677094, 'No': -7.1759267, ' Not': -9.821927}
{' No': -0.009991344, 'No': -4.717297, ' Yes': -6.946383, 'Yes': -11.203152, ' ': -11.845329}
{' No': -0.04913068, ' Yes': -3.173911, 'No': -5.1803885, 'Yes': -8.001719, ' The': -9.7117195}
{' No': -0.09756803, ' Yes': -2.4528975, 'No': -5.124109, 'Yes': -7.7235403, ' The': -8.143296}
{' No': -0.025700169, 'No': -3.679646, ' Yes': -9.159798, ' ': -11.11061, '\n': -11.745505}
{' No': -0.20679483, ' Yes': -1.7608776, 'No': -4.4436073, 'Yes': -5.8517246, ' The': -8.8869705}
{' No': -0.020427292, ' Yes': -4.2996154, 'No': -5.06615, 'Yes': -9.240451, ' The': -9.4171915}
{' No': -0.28892794, ' Yes': -1.4648733, 'No': -4.1356897, 'Yes': -5.846062, ' The': -7.768014}
{' No': -0.08446915, ' Yes': -2.6044466, 'No': -5.1049404, 'Yes': -7.7137246, ' The': -8.615376}
{' No': -0.2416818, ' Yes': -1.5778635, 'No': -5.025432, 'Yes': -6.7337523, ' The': -8.160163}
{' No': -0.01111748, 'No': -4.5538077, ' Yes': -7.769014, ' The': -10.180053, ' ': -10.467761}
{' No': -0.40094188, ' Yes': -1.1279831, 'No': -5.3948746, 'Yes': -6.307777, ' The': -8.851639}
{' No': -0.4464814, ' Yes': -1.0510213, 'No': -4.8990626, 'Yes': -5.880468, ' ': -9.346539}
{' No': -0.016037261, 'No': -4.2897034, ' Yes': -6.173111, ' ': -9.806681, 'Yes': -10.621822}
{' No': -0.44001946, ' Yes': -1.0503519, 'No': -5.5311046, 'Yes': -6.5712748, ' The': -7.476217}
{' Yes': -0.09706112, ' No': -2.470377, 'Yes': -4.9959774, 'No': -6.829147, ' The': -10.3422985}
{' Yes': -0.047390137, ' Women': -3.8375375, ' No': -4.4028606, 'Yes': -4.471649, 'Women': -7.9269156}
{' No': -0.045471266, 'No': -3.182636, ' Yes': -6.1639495, '\n': -7.959475, ' ': -9.031469}
{' No': -0.1492542, ' Yes': -2.014868, 'No': -5.485111, 'Yes': -7.3165627, ' The': -8.502892}
{' No': -0.013569363, 'No': -4.8836694, ' Yes': -5.180186, ' Unfortunately': -9.102848, ' The': -10.001194}
{' No': -0.2814798, ' Yes': -1.4244031, 'No': -5.798144, 'Yes': -7.110993, ' The': -7.6744657}
{' No': -0.011091685, 'No': -4.69928, ' Yes': -6.2972608, ' ': -10.702354, '\n': -10.86331}
{' No': -0.015331697, 'No': -4.295698, ' Yes': -6.5213013, ' ': -10.405521, '\n': -10.691238}
{' No': -0.6794306, ' Yes': -0.724196, 'No': -5.3633122, 'Yes': -5.8822613, ' The': -7.46389}
{' Yes': -0.15941508, ' No': -1.957755, 'Yes': -5.395407, 'No': -6.8163114, ' The': -8.219459}
{' No': -0.13117974, ' Yes': -2.1744347, 'No': -4.7895503, 'Yes': -7.115989, '\n': -9.907198}
{' Yes': -0.59043705, ' No': -0.82165545, 'No': -5.693231, 'Yes': -6.0053635, ' The': -8.620846}
{' No': -0.0089242095, 'No': -4.794988, ' Yes': -8.218841, ' Not': -8.711349, ' Unfortunately': -9.390507}
{' No': -0.017144267, 'No': -4.10265, ' Yes': -8.237893, ' Unfortunately': -9.727725, ' ': -9.860356}
{' No': -0.22283125, ' Yes': -1.7166953, 'No': -4.0396113, 'Yes': -6.104653, ' ': -9.677571}
{' No': -0.09859308, ' Yes': -2.4447865, 'No': -5.0895042, 'Yes': -7.7205124, ' The': -8.485598}
{' No': -0.019602347, 'No': -4.338061, ' Yes': -5.088438, 'Yes': -9.589018, ' Not': -10.032459}
{' Yes': -0.26818573, ' No': -1.4735404, 'Yes': -5.537091, 'No': -6.3845315, ' The': -8.2982235}
{' No': -0.047550954, ' Yes': -3.2438514, 'No': -5.1081166, ' Unfortunately': -7.2614794, 'Yes': -8.076962}
{' No': -0.017045617, ' Yes': -4.749206, 'No': -4.9570785, ' Unfortunately': -7.1406155, ' Not': -9.162065}
{' No': -0.036751695, 'No': -3.3245533, ' Yes': -9.498149, ' ': -11.210588, 'Yes': -12.802329}
{' No': -0.010748507, 'No': -4.557532, ' Yes': -9.043503, ' ': -10.572455, ' Unfortunately': -10.915073}
{' Yes': -0.4262988, ' No': -1.0784518, 'Yes': -5.628548, 'No': -5.877648, ' The': -8.435846}
{' No': -0.05241248, ' Yes': -3.0251467, 'No': -6.250714, ' The': -9.058836, ' Unfortunately': -9.092266}
{' No': -0.0047934684, 'No': -5.7882004, ' Yes': -6.4363875, ' Not': -10.096117, ' The': -10.369066}
{' No': -0.39502504, ' Yes': -1.1293505, 'No': -6.219133, 'Yes': -7.292518, ' The': -8.472048}
{' No': -0.024374332, 'No': -4.1759796, ' Yes': -4.780382, 'Yes': -9.325263, ' ': -9.45885}
{' No': -0.035491027, ' Yes': -3.4862301, 'No': -5.562218, 'Yes': -8.963381, ' Not': -9.446993}
{' No': -0.30856547, ' Yes': -1.3774341, 'No': -4.6262856, 'Yes': -6.319674, ' Unfortunately': -6.73674}
{' No': -0.1021818, ' Yes': -2.5482285, 'No': -4.034385, 'Yes': -7.0919776, ' The': -8.920325}
{' No': -0.016207773, 'No': -4.685218, ' Yes': -5.0066767, 'Yes': -10.000098, ' The': -10.270655}
{' No': -0.08345043, ' Yes': -2.8391075, 'No': -4.0539474, ' Pound': -6.2205215, 'Yes': -7.322622}
{' No': -0.017434873, 'No': -4.259756, ' Yes': -5.9197154, ' Unfortunately': -8.434324, ' Not': -8.712935}
{' No': -0.023368761, 'No': -3.9298246, ' Yes': -5.721372, ' Not': -9.549695, 'Yes': -10.002772}
{' No': -0.20717648, ' Yes': -1.7145445, 'No': -5.206173, 'Yes': -6.741834, ' The': -8.760431}
{' No': -0.57370746, ' Yes': -0.8426855, 'No': -5.6600037, 'Yes': -6.2165136, ' The': -8.263827}
{' No': -0.03956661, ' Yes': -3.798712, 'No': -4.15308, 'Yes': -7.965019, '\n': -9.375867}
{' No': -0.13262375, 'No': -2.0873587, ' ': -9.878711, '\n': -9.974387, ' Nope': -10.385808}
{' No': -0.09835479, ' Yes': -2.4402165, 'No': -5.194922, 'Yes': -7.589752, ' The': -8.501997}
{' No': -0.045566276, ' Yes': -3.4817634, 'No': -4.333471, 'Yes': -7.814075, ' The': -8.827525}
{' No': -0.030658303, ' Yes': -3.8684876, 'No': -4.720762, 'Yes': -8.951648, ' Not': -9.345753}
{' No': -0.015830627, 'No': -4.728666, ' Yes': -5.032127, ' The': -9.219145, ' ': -9.723015}
{' No': -0.0076707588, 'No': -4.9322214, ' Yes': -7.8917704, ' ': -10.93831, ' Not': -11.148618}
{' No': -0.004982684, 'No': -5.374018, ' Yes': -8.34819, ' ': -10.569628, ' The': -10.728821}
{' No': -0.022834975, 'No': -3.8719118, ' Still': -6.5924554, ' Not': -9.108324, ' Yes': -9.392664}
{' No': -0.013485264, ' Yes': -4.7856746, 'No': -5.3842754, ' Unfortunately': -8.928091, ' Not': -9.185549}
{' No': -0.35597485, ' Yes': -1.3139635, 'No': -3.6695735, 'Yes': -5.366259, '\n': -8.661156}
{' No': -0.2871113, ' Yes': -1.4439181, 'No': -4.496828, 'Yes': -6.062376, ' ': -10.072292}
{' No': -0.70577157, ' Yes': -0.7136603, 'No': -4.9907966, 'Yes': -5.070573, ' Purs': -6.129044}
{' No': -0.040446095, ' Yes': -3.3964698, 'No': -5.200413, 'Yes': -8.383146, ' The': -8.8505535}
{' No': -0.009582888, 'No': -4.756304, ' Yes': -7.0783978, ' ': -10.3526745, ' Unfortunately': -10.461256}
{' No': -0.0094232485, 'No': -4.7163744, ' Yes': -8.079392, ' Not': -10.144146, ' ': -10.1457205}
{' No': -0.02294487, 'No': -4.4409876, ' Yes': -4.593267, ' Unfortunately': -8.178735, ' The': -8.725871}
{' No': -0.01990121, ' Yes': -4.2408867, 'No': -5.3112373, ' The': -8.790445, 'Yes': -9.582354}
{' No': -0.018451994, 'No': -4.150936, ' Yes': -6.1515536, ' ': -8.981497, ' The': -9.033726}
{' No': -0.016129088, 'No': -4.1861615, ' Yes': -7.702223, ' Unfortunately': -8.729507, ' ': -9.580471}
{' False': -1.2702825, ' No': -1.2843606, 'No': -1.52301, ' Un': -2.4044511, 'False': -2.9601495}
{' No': -0.010487846, 'No': -5.0636168, ' Yes': -5.5296144, ' Unfortunately': -10.273037, ' ': -10.348569}
{' No': -0.120875545, ' Yes': -2.3404152, 'No': -4.122941, 'Yes': -6.9624205, ' The': -8.68574}
{' No': -0.04838699, ' Yes': -3.1952565, 'No': -5.1593924, ' The': -8.413852, 'Yes': -8.634421}
{' No': -0.0067267097, 'No': -5.092151, ' Yes': -7.931112, ' ': -9.630481, ' Not': -9.83421}
{' No': -0.056145757, ' Yes': -3.2593658, 'No': -4.1963415, 'Yes': -7.4618297, ' Not': -8.033902}
{' Yes': -0.011222659, 'Yes': -4.5693583, ' No': -7.490957, ' ': -9.480442, ' yes': -9.719724}
{' No': -0.14751707, ' Yes': -2.1187618, 'No': -4.21341, 'Yes': -6.642062, ' ': -8.139652}
{' No': -0.08150454, ' Yes': -2.6417346, 'No': -5.2479663, ' Crack': -7.421254, 'Yes': -7.7622924}
{' No': -0.009267241, 'No': -5.0176635, ' Yes': -6.025619, ' ': -9.525783, ' Unfortunately': -9.922425}
{' Yes': -0.2507381, ' No': -1.6753196, 'Yes': -3.8101614, 'No': -4.7120075, ' The': -6.919461}
{' No': -0.14126782, ' Yes': -2.1450405, 'No': -4.3697834, 'Yes': -6.4316344, ' ': -9.013574}
{' No': -0.02488016, ' Yes': -4.334275, 'No': -4.497744, 'Yes': -9.336437, ' Not': -9.518359}
{' No': -0.097203776, ' Yes': -2.4398685, 'No': -5.329124, 'Yes': -8.058127, ' The': -9.143855}
{' No': -0.094106205, 'No': -2.8870978, ' Yes': -3.4373562, 'Yes': -6.5954676, ' Not': -8.203069}
{' No': -0.15939273, ' Yes': -2.0046666, 'No': -5.0747123, ' Unfortunately': -5.517411, ' Not': -6.89631}
{' No': -0.0627786, ' Yes': -2.8820322, 'No': -5.4482455, 'Yes': -7.9107447, '\n': -10.009348}
{' No': -0.19571432, ' Yes': -1.7605337, 'No': -5.4169207, 'Yes': -6.730582, '\n': -9.512228}
{' No': -0.007585714, 'No': -4.956999, ' Yes': -7.6525893, ' The': -10.876926, ' ': -11.712559}
{' No': -0.01495385, 'No': -4.233593, ' Yes': -8.512832, ' The': -10.21829, ' ': -10.238044}
{' No': -0.032105897, 'No': -3.463283, ' Yes': -8.852342, ' ': -9.892486, ' The': -10.887588}
{' No': -0.15886201, ' Yes': -1.9691458, 'No': -5.15014, 'Yes': -7.171433, ' The': -7.56988}
{' No': -0.043664385, 'No': -3.167701, ' Yes': -7.8242674, '\n': -9.641643, ' Not': -9.79894}
{' Yes': -0.34884635, ' No': -1.2432059, 'Yes': -5.6094146, 'No': -6.324394, '\n': -8.509911}
{' Yes': -0.09412867, ' No': -2.4638033, 'Yes': -5.5100694, 'No': -7.7637258, ' The': -8.869552}
{' Yes': -0.073680505, ' No': -2.8167167, 'Yes': -4.570613, 'No': -7.2084193, '\n': -10.263911}
{' No': -0.30379343, ' Yes': -1.3583875, 'No': -5.5898457, 'Yes': -7.05378, ' The': -8.623335}
{' No': -0.08883579, ' Yes': -2.5679235, 'No': -4.893527, 'Yes': -7.797465, ' The': -8.49351}
{' Yes': -0.12753794, ' No': -2.3062162, 'Yes': -4.058858, 'No': -5.9846787, ' The': -9.574918}
{' Yes': -0.033924036, ' No': -4.0217648, 'Yes': -4.1988177, 'No': -8.224053, ' yes': -10.087615}
{' No': -0.04158825, ' Yes': -3.5434802, 'No': -4.503016, 'Yes': -7.819105, ' Grass': -8.693584}
{' No': -0.024012351, 'No': -3.9996133, ' Yes': -5.2619405, 'Yes': -9.231092, ' ': -9.60786}
{' No': -0.35871282, ' Yes': -1.2201878, 'No': -5.418056, 'Yes': -6.6397624, ' The': -8.167765}
{' No': -0.01895909, ' Yes': -4.3742995, 'No': -5.1825614, ' Unfortunately': -8.479072, ' Not': -9.315382}
{' No': -0.017417891, 'No': -4.630119, ' Yes': -5.2827888, ' Unfortunately': -6.214557, ' Not': -8.312115}
{' No': -0.024445182, 'No': -3.8485703, ' Yes': -5.9290204, ' ': -9.748541, 'Yes': -9.849033}
{' No': -0.015144692, 'No': -4.2092133, ' Not': -10.10708, ' Yes': -10.317268, ' Unfortunately': -10.428728}
{' No': -0.013260852, 'No': -4.5976763, ' Yes': -5.833403, ' Not': -10.1120205, '\n': -10.340332}
{' No': -0.10107721, ' Yes': -2.4042253, 'No': -5.296653, 'Yes': -7.6020246, ' The': -8.648028}
{' No': -0.056259606, ' Yes': -2.9778159, 'No': -5.7040524, ' The': -8.610228, 'Yes': -8.687157}
{' No': -0.010179677, ' Yes': -5.027485, 'No': -5.6540065, 'Yes': -10.415268, ' ': -11.471126}
{' No': -0.49890172, ' Yes': -0.94860876, 'No': -5.8232784, 'Yes': -6.0523534, ' The': -9.697031}
{' No': -0.0065687224, 'No': -5.5821686, ' Yes': -6.0023394, ' The': -9.291744, ' Unfortunately': -9.374428}
{' No': -0.011005261, 'No': -5.144766, ' Yes': -5.3158607, ' The': -9.745085, 'Yes': -10.126225}
{' Yes': -0.6354577, ' No': -0.7778145, 'No': -5.142631, 'Yes': -5.3712726, ' The': -8.787393}
{' No': -0.22771735, ' Yes': -1.6062993, 'No': -6.2785096, ' The': -7.565928, 'Yes': -7.6760855}
{' Yes': -0.020298209, ' No': -4.489952, 'Yes': -4.791567, ' The': -8.202616, 'No': -8.87479}
{' No': -0.2927304, ' Yes': -1.391739, 'No': -5.8539577, ' The': -6.812843, 'Yes': -7.00654}
{' Yes': -0.30572554, ' No': -1.709145, ' Rough': -2.5585523, 'Yes': -5.721998, 'No': -6.7668996}
{' No': -0.06980691, 'No': -2.7134378, ' Yes': -7.064792, '\n': -9.495974, ' Rough': -9.589117}
{' No': -0.023049956, 'No': -3.9352813, ' Yes': -5.78161, 'Yes': -9.735356, '\n': -10.378314}
{' No': -0.032305703, ' Yes': -3.9800384, 'No': -4.3642716, 'Yes': -8.244733, ' The': -10.289622}
{' No': -0.5633364, ' Yes': -0.8623228, 'No': -5.3682566, 'Yes': -5.680119, ' The': -8.290088}
{' No': -0.015002254, ' Yes': -4.788226, 'No': -5.0617266, ' The': -9.258479, 'Yes': -9.876445}
{' No': -0.017445728, ' Yes': -4.2782736, 'No': -5.8142996, ' The': -8.50854, 'Yes': -9.481029}
{' No': -0.011462172, ' Yes': -4.8736906, 'No': -5.6701055, ' Unfortunately': -9.359908, ' The': -9.457136}
{' Yes': -0.05315904, ' No': -3.133138, 'Yes': -4.921508, 'No': -7.4974203, ' The': -8.42489}
{' Yes': -0.014721429, ' No': -4.8096848, 'Yes': -5.3558984, ' The': -6.501576, 'No': -9.848122}
{' No': -0.49735007, ' Yes': -0.9493289, 'No': -6.2584796, 'Yes': -6.7111173, ' The': -6.857143}
{' Yes': -0.29313305, ' No': -1.3980314, 'Yes': -5.407641, 'No': -6.1933284, ' The': -8.519121}
{' No': -0.010422855, ' Yes': -5.219142, 'No': -5.3608985, ' Unfortunately': -9.710732, ' Not': -9.723185}
{' No': -0.04946581, ' Yes': -3.1738496, 'No': -5.136502, 'Yes': -8.379532, ' Not': -9.154858}
{' No': -0.65281814, ' Yes': -0.7463928, 'Yes': -6.0088377, 'No': -6.310178, ' The': -7.1034327}
{' No': -0.028062783, 'No': -4.104841, ' Yes': -4.5545807, 'Yes': -8.482965, ' The': -8.538483}
{' No': -0.026526727, 'No': -3.7329857, ' Yes': -6.3809104, ' ': -8.308795, ' Nope': -9.382321}
{' No': -0.01640237, ' Yes': -4.6695566, 'No': -5.0512266, 'Yes': -9.163602, ' The': -9.208009}
{' Yes': -0.012586887, ' No': -4.749939, 'Yes': -5.600455, 'No': -9.770752, ' yes': -9.921297}
{' Yes': -0.050166614, ' No': -3.08019, 'Yes': -5.953428, 'No': -8.402225, ' yes': -9.493369}
{' No': -0.05714425, ' Yes': -3.09079, 'No': -4.647629, 'Yes': -7.997474, ' ': -10.160276}
{' No': -0.2082506, ' Yes': -1.7097515, 'No': -5.143822, 'Yes': -6.996784, ' The': -9.096849}
{' Yes': -0.6510145, ' No': -0.763836, 'No': -4.8868427, 'Yes': -5.3248615, ' Not': -9.959389}
{' No': -0.04609561, ' Yes': -3.6312282, 'No': -4.01578, 'Yes': -8.098045, ' Unfortunately': -9.528312}
{' No': -0.047999226, ' Yes': -3.7504814, 'No': -3.7744453, 'Yes': -8.219973, ' The': -10.167629}
{' No': -0.027992902, 'No': -3.8258348, ' Yes': -5.217959, '\n': -9.164271, ' ': -9.207469}
{' No': -0.30656773, ' Yes': -1.3505626, 'No': -5.557031, 'Yes': -7.1125216, ' The': -8.795032}
{' No': -0.11054758, ' Yes': -2.3312793, 'No': -5.009109, 'Yes': -7.785407, ' The': -8.432698}
{' No': -0.098001495, ' Yes': -2.409727, 'No': -5.832033, 'Yes': -8.312845, ' The': -9.008314}
{' No': -0.24000679, ' Yes': -1.5531019, 'No': -6.7920537, 'Yes': -8.372647, ' The': -9.045341}
{' Yes': -0.031787932, ' No': -3.9349725, 'Yes': -4.5490093, 'No': -7.6637707, ' The': -8.04314}
{' Yes': -0.05355023, ' No': -3.1873257, 'Yes': -4.813903, ' Heart': -6.8942614, ' The': -7.2718306}
{' No': -0.46977893, ' Yes': -1.0032243, 'No': -5.2046723, 'Yes': -6.103614, ' The': -8.3224535}
{' Yes': -0.026090357, ' No': -3.9555297, 'Yes': -5.0640407, 'No': -8.583222, ' The': -10.243033}
{' No': -0.0144893015, 'No': -4.9062033, ' Yes': -5.077941, ' Unfortunately': -8.205222, ' Not': -8.408137}
{' No': -0.028002711, ' Yes': -4.0407987, 'No': -4.7338114, ' Not': -7.79608, ' Unfortunately': -7.9174867}
{' No': -0.024882726, ' Yes': -4.306194, 'No': -4.555206, ' Not': -7.9304767, 'Yes': -8.989894}
{' No': -0.015679233, 'No': -4.1798844, ' Yes': -8.897098, ' Not': -9.365679, ' ': -11.357192}
{' Yes': -0.079603, ' No': -2.6447845, 'Yes': -5.486952, ' The': -7.0990214, 'No': -8.052185}
{' Yes': -0.115795344, ' No': -2.2673626, 'Yes': -5.305521, 'No': -7.486494, ' The': -8.90168}
{' No': -0.51540935, ' Yes': -0.92261493, 'No': -5.7041245, 'Yes': -6.4959216, ' ': -8.555909}
{' No': -0.07567649, ' Yes': -2.6749864, 'No': -5.618557, 'Yes': -8.3859005, ' ': -10.062473}
{' No': -0.36129722, ' Yes': -1.2087684, 'No': -5.768592, 'Yes': -6.947025, ' The': -8.548448}
{' No': -0.011969054, ' Yes': -5.0506215, 'No': -5.2223516, 'Yes': -10.534912, ' Not': -10.635495}
{' No': -0.018039037, 'No': -4.262725, ' Yes': -5.6734576, ' Unfortunately': -8.511178, ' The': -9.626621}
{' No': -0.109627984, ' Yes': -2.3220036, 'No': -5.3871164, 'Yes': -7.6985955, ' The': -8.074397}
{' Yes': -0.34223828, ' No': -1.2608231, 'Yes': -5.514712, 'No': -6.245331, ' The': -8.111802}
{' Yes': -0.09694783, ' No': -2.4257634, 'Yes': -5.688195, 'No': -7.927148, ' The': -8.782794}
{' Yes': -0.5349524, ' No': -0.89226925, 'No': -6.1757774, 'Yes': -6.177381, ' The': -8.4880495}
{' Yes': -0.04171862, ' No': -3.265885, 'Yes': -6.1044073, ' The': -8.451089, 'No': -8.815528}
{' Yes': -0.51178855, ' No': -1.2149289, ' Uncle': -2.33599, 'Yes': -6.253016, 'No': -6.300848}
{' No': -0.0072099403, ' Yes': -5.5711484, 'No': -5.7213287, ' ': -10.556149, ' Not': -10.652773}
{' No': -0.015053017, ' Yes': -4.778616, 'No': -5.070509, ' The': -8.894241, ' Not': -10.389388}
{' No': -0.022209326, 'No': -3.9570312, ' Yes': -5.9262347, ' Not': -9.269977, 'Yes': -10.180352}
{' Yes': -0.56029433, ' No': -0.86948705, 'No': -5.2587137, 'Yes': -5.4654055, ' The': -8.543538}
{' Yes': -0.006518746, ' No': -5.7367086, 'Yes': -5.752282, ' The': -10.107682, ' yes': -10.679873}
{' No': -0.011778875, 'No': -4.577456, ' Yes': -6.631712, ' Unfortunately': -9.854698, ' The': -10.962642}
{' No': -0.065419495, ' Yes': -2.8306859, 'No': -5.592128, ' The': -8.332879, 'Yes': -8.579119}
{' No': -0.16029412, ' Yes': -1.9915872, 'No': -4.643452, 'Yes': -6.542872, ' The': -8.176774}
{' Yes': -0.47883216, ' No': -0.9899043, 'Yes': -5.7359176, 'No': -5.8708286, ' The': -6.3409266}
{' No': -0.1440144, ' Yes': -2.0754092, 'No': -4.9165893, 'Yes': -7.274198, ' Not': -7.6865635}
{' Yes': -0.11283653, ' No': -2.2978113, 'Yes': -5.392862, 'No': -6.837438, ' Not': -8.073917}
{' No': -0.15201588, ' Yes': -2.0576992, 'No': -4.525419, 'Yes': -6.3727107, ' ': -7.6100235}
{' No': -0.277693, ' Yes': -1.462103, 'No': -4.858076, 'Yes': -5.9559383, ' The': -8.5138}
{' No': -0.25914803, ' Yes': -1.4894317, 'No': -6.275888, 'Yes': -7.4398856, ' The': -8.743959}
{' No': -0.05479811, ' Yes': -3.0490339, 'No': -5.35993, ' Unfortunately': -7.460159, 'Yes': -8.517515}
{' Yes': -0.0028118244, 'Yes': -6.2548847, ' No': -7.103121, ' yes': -10.40807, ' The': -10.830484}
{' Yes': -0.002918349, 'Yes': -5.854425, ' yes': -10.356141, ' No': -12.122648, ' The': -12.7162895}
{' No': -0.24977042, ' Yes': -1.5267708, 'No': -5.968322, 'Yes': -7.513665, ' Not': -8.400386}
{' No': -0.0044528036, 'No': -5.4723177, ' Yes': -9.364976, ' Not': -9.872279, ' Unfortunately': -10.168679}
{' Yes': -0.01919803, ' No': -4.1771092, 'Yes': -5.6752567, 'No': -9.165602, ' The': -9.7222395}
{' Yes': -0.075000525, ' No': -2.6946294, 'Yes': -5.5352836, 'No': -7.497199, ' The': -8.944213}
{' Yes': -0.024456237, ' No': -4.06304, 'Yes': -5.0262127, 'No': -8.46445, ' The': -9.225386}
{' Yes': -0.27439338, ' No': -1.4541094, 'Yes': -5.6337166, 'No': -6.128414, ' Not': -8.414297}
{' No': -0.1469724, ' Yes': -2.026941, 'No': -5.5225043, 'Yes': -7.7088604, ' The': -8.667307}
{' No': -0.077905215, ' Yes': -2.6845336, 'No': -5.220987, ' The': -7.994357, ' Unfortunately': -8.038219}
{' Yes': -0.4944149, ' No': -0.9576298, 'Yes': -5.6782885, 'No': -5.9736285, ' The': -8.871964}
{' Yes': -0.015854668, ' No': -4.3593836, 'Yes': -5.8840446, ' The': -9.99128, 'No': -10.201201}
{' No': -0.021040754, ' Yes': -4.5284677, 'No': -4.634524, ' Not': -8.812808, 'Yes': -9.518184}
{' No': -0.036821198, ' Yes': -3.5209403, 'No': -5.176742, ' Not': -7.751106, ' The': -8.535406}
{' Yes': -0.045214612, ' No': -3.1937435, 'Yes': -6.0082345, ' Shirt': -7.9143853, 'No': -8.316936}
{' Yes': -0.10308407, ' No': -2.3626971, 'Yes': -5.8025904, 'No': -7.572408, ' The': -9.386365}
{' No': -0.66464937, ' Yes': -0.72936, 'Yes': -6.4166, 'No': -6.4688334, ' The': -9.738124}
{' No': -0.098543935, ' Yes': -2.3971796, 'No': -6.0855737, 'Yes': -8.159218, ' The': -9.026478}
{' No': -0.3731518, ' Yes': -1.1824818, 'No': -5.7900405, 'Yes': -6.8969994, ' The': -7.8344717}
{' No': -0.012260032, 'No': -4.435188, ' Yes': -8.172057, ' Not': -10.418181, ' ': -12.198487}
{' No': -0.38123885, ' Yes': -1.1995163, 'No': -4.554718, 'Yes': -5.379253, ' The': -7.9312983}
{' Yes': -0.18512678, ' No': -1.8032143, 'Yes': -5.849344, 'No': -7.3648887, ' The': -7.5768275}
{' Yes': -0.5767485, ' No': -0.8538348, 'No': -5.01179, 'Yes': -5.2303624, ' The': -8.363373}
{' No': -0.31966972, ' Yes': -1.32617, 'No': -5.194261, 'Yes': -6.666868, ' The': -7.400438}
{' Yes': -0.16762958, ' No': -1.8888248, 'Yes': -6.1510487, 'No': -7.398499, ' The': -8.5944}
{' No': -0.013436147, ' Yes': -4.863667, 'No': -5.221085, ' The': -9.053565, ' Not': -10.287185}
{' Yes': -0.030887937, ' No': -3.5844214, 'Yes': -6.0284534, ' The': -9.119242, 'No': -9.203396}
{' No': -0.18988462, ' Yes': -1.7966598, 'No': -5.130322, 'Yes': -6.9868693, ' Not': -9.114207}
{' No': -0.013839593, ' Yes': -4.962562, 'No': -5.0136943, 'Yes': -10.109726, ' ': -10.136589}
{' Yes': -0.034954064, ' No': -3.4456213, 'Yes': -6.1895866, ' The': -8.366888, 'No': -9.092536}
{' Yes': -0.0064123822, 'Yes': -5.6783805, ' No': -5.8432746, ' The': -10.57307, 'No': -10.908117}
{' Yes': -0.009424092, 'Yes': -5.3587775, ' No': -5.522316, ' Women': -7.6719756, ' ': -9.06887}
{' No': -0.0822596, ' Yes': -3.2129204, 'No': -3.324714, 'Yes': -6.5736103, '\n': -7.842208}
{' No': -0.47811267, ' Yes': -0.98299927, 'No': -5.701934, 'Yes': -6.3389087, ' The': -7.713283}
{' No': -0.019889412, ' Yes': -4.3354144, 'No': -5.0984454, ' Unfortunately': -8.331968, ' Not': -9.314117}
{' Yes': -0.21818835, ' No': -1.6458902, 'Yes': -6.238665, 'No': -7.381503, ' The': -7.9179983}
{' No': -0.025728725, ' Yes': -3.8787005, 'No': -5.3939896, 'Yes': -9.396549, ' Not': -10.337906}
{' No': -0.025806032, ' Yes': -3.9425635, 'No': -5.1464744, 'Yes': -9.147994, ' Unfortunately': -9.940673}
{' Yes': -0.11389862, ' No': -2.2657428, 'Yes': -5.9066443, ' The': -7.5169883, 'No': -7.548711}
{' Yes': -0.004680158, 'Yes': -5.608127, ' No': -7.0439863, ' The': -9.816789, ' yes': -10.274573}
{' Yes': -0.17579044, ' No': -1.8495653, 'Yes': -5.8481207, 'No': -7.057807, ' The': -9.38832}
{' Yes': -0.10767506, ' No': -2.3090816, 'Yes': -6.182683, 'No': -7.686345, ' The': -9.050075}
{' No': -0.0055841072, 'No': -5.2546763, ' Not': -9.003121, ' Unfortunately': -9.210212, ' Yes': -9.76089}
{' No': -0.012682502, 'No': -4.4355035, ' Yes': -7.6326065, ' Unfortunately': -9.317789, ' The': -9.802319}
