{' No': -1.5779239, ' ': -9.414157, 'No': -6.8790917, ' Yes': -0.23486064, 'Yes': -6.3427877}
{'\n': -11.5376, ' ': -10.301704, ' Yes': -0.006553963, ' yes': -9.379494, 'Yes': -5.052984}
{'\n': -10.320131, ' ': -10.329597, ' Yes': -0.004331931, ' yes': -9.544407, 'Yes': -5.478388}
{' YES': -12.113718, ' ': -10.958281, ' Yes': -0.0014997778, ' yes': -9.814133, 'Yes': -6.559534}
{'\n': -10.3171835, ' ': -9.450586, ' Yes': -0.008505854, ' yes': -9.709052, 'Yes': -4.7931275}
{'\n': -12.015672, ' ': -10.837254, ' Yes': -0.0020743217, ' yes': -9.435201, 'Yes': -6.2336683}
{' No': -11.000147, ' ': -12.24246, ' Yes': -0.0022410983, ' yes': -9.848556, 'Yes': -6.137079}
{' YES': -11.762068, ' ': -11.433138, ' Yes': -0.009018813, ' yes': -9.185892, 'Yes': -4.728009}
{' No': -11.845234, ' ': -11.343561, ' Yes': -0.014403189, ' yes': -9.083622, 'Yes': -4.2577844}
{' No': -12.209219, ' ': -12.124129, ' Yes': -0.0032612404, ' yes': -9.972249, 'Yes': -5.7462173}
{' No': -11.097971, ' ': -10.756951, ' Yes': -0.012196918, ' yes': -9.229869, 'Yes': -4.4250364}
{' ': -10.8828945, ' Yes': -0.0076088957, ' yes': -8.302864, 'Yes': -4.9203744, 'yes': -11.808862}
{' YES': -12.966591, ' ': -11.749636, ' Yes': -0.00069685513, ' yes': -9.219923, 'Yes': -7.4437184}
{' ': -10.814923, ' Yes': -0.0047525037, ' yes': -8.993836, 'Yes': -5.3850055, 'yes': -12.152817}
{'\n': -11.685415, ' ': -9.956693, ' Yes': -0.005296743, ' yes': -8.942523, 'Yes': -5.2818847}
{' YES': -12.84624, ' ': -11.707101, ' Yes': -0.0012428861, ' yes': -9.549035, 'Yes': -6.761388}
{'\n': -11.094928, ' ': -9.056446, ' Yes': -0.006811742, ' yes': -9.220108, 'Yes': -5.029366}
{'\n': -10.51006, ' ': -9.595293, ' Yes': -0.005034979, ' yes': -7.4613523, 'Yes': -5.444249}
{' No': -9.781167, ' Yes': -0.011669175, ' yes': -6.952299, 'Yes': -4.5552006, 'yes': -10.213496}
{' YES': -13.074561, ' Yes': -0.012873273, ' yes': -8.849546, 'Yes': -4.371599, 'yes': -11.334146}
{' ': -10.800696, ' Yes': -0.02416224, ' yes': -7.2643614, 'Yes': -3.768444, 'yes': -10.009399}
{' ': -11.415124, ' Yes': -0.0071389196, ' yes': -7.795091, 'Yes': -5.011266, 'yes': -11.106553}
{' ': -10.436077, ' Yes': -0.02726313, ' yes': -7.5012126, 'Yes': -3.6403153, 'yes': -9.87351}
{' ': -10.218861, ' Yes': -0.02388665, ' yes': -5.9069815, 'Yes': -3.8770056, 'yes': -9.180087}
{' ': -10.534454, ' Yes': -0.0026328212, ' yes': -6.653572, 'Yes': -6.650612, 'yes': -11.2775}
{' ': -10.228287, ' Yes': -0.0076270346, ' yes': -7.225538, 'Yes': -4.991143, 'yes': -10.575185}
{' ': -9.440741, ' Yes': -0.008461428, ' yes': -7.9090657, 'Yes': -4.8348637, 'yes': -11.045393}
{' ': -9.901992, ' Yes': -0.0052279555, ' yes': -6.5800467, 'Yes': -5.5931735, 'yes': -10.12394}
{'\n': -10.062171, ' ': -8.360394, ' Yes': -0.009329027, ' yes': -7.5772185, 'Yes': -4.7723427}
{' ': -8.362561, ' Yes': -0.01697693, ' yes': -4.8931456, 'Yes': -4.728519, 'yes': -8.812335}
{'\n': -12.438173, ' ': -10.696445, ' Yes': -0.0007550112, ' yes': -9.393084, 'Yes': -7.3529315}
{' YES': -12.053861, ' ': -9.712296, ' Yes': -0.004628781, ' yes': -9.070039, 'Yes': -5.4202585}
{'\n': -10.160901, ' ': -9.108972, ' Yes': -0.005595616, ' yes': -9.237585, 'Yes': -5.2361574}
{' YES': -12.321677, ' ': -9.977406, ' Yes': -0.0014094636, ' yes': -9.33548, 'Yes': -6.674295}
{'\n': -9.49893, ' ': -8.181009, ' Yes': -0.00837205, ' yes': -9.348563, 'Yes': -4.84323}
{'\n': -11.32747, ' ': -9.938192, ' Yes': -0.0023066357, ' yes': -8.573429, 'Yes': -6.1909924}
{' No': -0.0070857955, ' ': -10.321575, 'No': -4.9586196, ' no': -13.290406, ' NO': -13.477837}
{' No': -0.022054298, ' ': -10.192592, 'No': -3.8274968, ' no': -12.754921, ' NO': -12.20974}
{' No': -0.036922622, ' ': -9.476379, 'No': -3.3198187, ' no': -12.676595, ' NO': -12.204223}
{' No': -0.0069048856, ' ': -10.6314125, 'No': -4.9831104, ' no': -13.23158, ' NO': -13.583125}
{' No': -0.037356265, '\n': -11.791017, ' ': -8.937051, 'No': -3.3102481, ' no': -12.059826}
{' No': -0.024623, ' x': -11.471373, ' ': -8.826068, 'No': -3.7246351, ' no': -11.105847}
{' No': -0.0013050736, '\n': -12.983462, ' ': -9.919666, 'No': -6.686846, ' no': -12.776479}
{' No': -0.009114869, '\n': -12.316974, ' ': -9.265218, 'No': -4.7144732, ' no': -12.603609}
{' No': -0.0074842195, '\n': -10.665101, ' ': -8.900379, 'No': -4.92193, ' no': -12.461988}
{' No': -0.0025618284, '\n': -13.014107, ' ': -10.052353, 'No': -5.9875503, ' no': -13.36051}
{' No': -0.010316675, '\n': -10.151498, ' ': -8.283586, 'No': -4.609308, ' no': -12.4123745}
{' No': -0.010299935, '\n': -9.542158, ' ': -8.496716, 'No': -4.611395, ' no': -10.828029}
{' No': -0.03588352, ' ': -9.403598, 'No': -3.3509278, ' no': -9.500196, ' NO': -11.358734}
{' No': -0.03285559, ' ': -10.772189, 'No': -3.4331813, 'no': -12.25443, ' no': -11.746192}
{' No': -0.07449734, ' ': -8.970668, 'No': -2.6371348, 'no': -10.8740225, ' no': -10.353978}
{' No': -0.01916613, ' ': -9.62963, 'No': -3.970193, ' no': -10.511348, ' NO': -11.705352}
{' No': -0.08016869, '\n': -10.849744, ' ': -8.508545, 'No': -2.567559, ' no': -10.230957}
{' No': -0.0737505, ' x': -8.95463, ' ': -8.283295, 'No': -2.6566706, ' no': -8.108}
{' No': -0.0020400377, '\n': -11.731275, ' ': -8.832864, 'No': -6.299159, ' no': -10.138385}
{' No': -0.0123939365, '\n': -11.609586, ' ': -8.617519, 'No': -4.415518, ' no': -10.546326}
{' No': -0.015695216, '\n': -9.975762, ' ': -8.11493, 'No': -4.1862674, ' no': -11.407106}
{' No': -0.0071842438, '\n': -10.770036, ' ': -8.121827, 'No': -4.9973745, ' no': -9.60393}
{' No': -0.014516815, '\n': -8.956631, ' ': -7.512683, 'No': -4.290838, ' no': -10.5628605}
{' No': -0.01655537, '\n': -8.666968, ' ': -7.575635, 'No': -4.179315, ' no': -7.866639}
{' No': -0.0016726077, '\n': -11.487143, ' ': -9.084707, 'No': -6.4751105, ' no': -12.715364}
{' No': -0.0087026255, '\n': -11.464796, ' ': -8.44382, 'No': -4.7762957, ' NO': -12.236409}
{' No': -0.0095238555, '\n': -9.147598, ' ': -8.035536, 'No': -4.7065682, ' no': -12.5206785}
{' No': -0.0030263735, '\n': -11.32471, ' ': -8.529981, 'No': -5.877061, ' NO': -12.500392}
{' No': -0.010952651, '\n': -9.419708, ' ': -7.77199, 'No': -4.5681043, ' no': -12.469957}
{' No': -0.0041321875, '\n': -10.90244, ' ': -8.705035, 'No': -5.539914, ' no': -11.766792}
{' No': -0.0376145, ' ': -10.493759, 'No': -5.7767954, ' Yes': -3.391267, 'Yes': -9.042731}
{' No': -1.0096381, ' ': -9.207382, 'No': -5.0667076, ' Yes': -0.47372648, 'Yes': -5.03668}
{' No': -0.84626716, ' ': -8.875601, 'No': -4.6266627, ' Yes': -0.5929769, 'Yes': -4.789661}
{' No': -0.070052505, ' ': -10.408927, 'No': -5.23796, ' Yes': -2.7802365, 'Yes': -8.169081}
{' No': -2.763379, ' ': -9.209945, 'No': -6.3083467, ' Yes': -0.079590864, 'Yes': -4.4726095}
{' No': -2.1273978, 'No': -6.1283054, ' Yes': -0.13671915, ' yes': -8.476896, 'Yes': -5.1059837}
{' No': -7.423052, ' ': -11.012471, ' Yes': -0.0015561897, ' yes': -8.749845, 'Yes': -7.1640964}
{' No': -4.6605344, 'No': -9.478657, ' Yes': -0.0153848985, ' yes': -9.089106, 'Yes': -5.194498}
{' No': -5.3224645, ' ': -9.2382145, ' Yes': -0.009588786, ' yes': -9.070181, 'Yes': -5.427544}
{' No': -4.641822, ' ': -10.460589, ' Yes': -0.01094548, ' yes': -9.811032, 'Yes': -6.774808}
{' No': -6.0938697, ' ': -8.636882, ' Yes': -0.007245781, ' yes': -9.325192, 'Yes': -5.3715873}
{' No': -7.5125337, ' ': -9.323757, ' Yes': -0.006095393, ' yes': -7.5210624, 'Yes': -5.3313785}
{' No': -1.6984223, 'No': -5.8978624, ' Yes': -0.21451835, ' yes': -7.72522, 'Yes': -4.991458}
{' No': -3.314054, 'No': -7.167974, ' Yes': -0.04824993, ' yes': -9.463302, 'Yes': -4.618913}
{' No': -4.72082, 'No': -8.08729, ' Yes': -0.030287277, ' yes': -7.754873, 'Yes': -3.9087164}
{' No': -6.903221, ' ': -11.363624, ' Yes': -0.0058104033, ' yes': -8.506086, 'Yes': -5.3924546}
{' No': -6.7517962, ' ': -9.858157, ' Yes': -0.020614376, ' yes': -7.8929386, 'Yes': -3.9786484}
{' No': -6.215162, 'No': -9.044208, ' Yes': -0.021942308, ' yes': -6.649505, 'Yes': -4.0090885}
{' No': -5.6947575, ' ': -9.177551, ' Yes': -0.006088858, ' yes': -6.655507, 'Yes': -6.6573186}
{' No': -3.7695928, 'No': -8.306957, ' Yes': -0.03243111, ' yes': -7.376402, 'Yes': -4.867029}
{' No': -7.067946, ' ': -8.705657, ' Yes': -0.0088206595, ' yes': -7.990275, 'Yes': -4.9094496}
{' No': -3.808646, ' ': -8.407954, ' Yes': -0.027615633, ' yes': -7.083554, 'Yes': -5.5633726}
{' No': -5.139918, ' ': -7.878529, ' Yes': -0.015198732, ' yes': -7.948432, 'Yes': -4.785317}
{' No': -3.7214494, ' ': -7.3541937, ' Yes': -0.040694013, ' yes': -5.076375, 'Yes': -4.807162}
{' No': -5.5834746, ' ': -9.829977, ' Yes': -0.0044705844, ' yes': -9.569974, 'Yes': -7.4855437}
{' No': -4.2203255, ' ': -8.70867, 'No': -9.328941, ' Yes': -0.01966514, 'Yes': -5.4215317}
{' No': -7.0832605, ' ': -8.825326, ' Yes': -0.006820264, ' yes': -9.414367, 'Yes': -5.174682}
{' No': -4.393702, ' ': -8.924681, ' Yes': -0.013759762, ' yes': -9.74734, 'Yes': -6.8236938}
{' No': -8.272364, ' ': -8.614737, ' Yes': -0.006982788, ' yes': -9.445913, 'Yes': -5.0520816}
{' No': -7.954904, ' ': -9.741808, ' Yes': -0.002801966, ' yes': -8.587324, 'Yes': -6.127603}
{' YES': -12.219422, ' ': -12.357936, ' Yes': -0.0050164703, ' yes': -10.238513, 'Yes': -5.3071136}
{' YES': -11.249084, ' ': -11.713883, ' Yes': -0.0135416305, ' yes': -9.503026, 'Yes': -4.3165827}
{' YES': -11.171524, ' ': -11.545773, ' Yes': -0.0161896, ' yes': -9.503219, 'Yes': -4.138191}
{' YES': -12.310926, ' ': -12.620134, ' Yes': -0.005514401, ' yes': -10.22357, 'Yes': -5.2116623}
{' ': -11.433736, ' Yes': -0.015268812, ' yes': -9.672651, 'Yes': -4.195692, 'yes': -11.412764}
{' YES': -11.4033785, ' ': -10.821759, ' Yes': -0.009469761, ' yes': -8.706655, 'Yes': -4.686598}
{' YES': -12.031047, ' ': -11.805886, ' Yes': -0.0011385729, ' yes': -9.591687, 'Yes': -6.855846}
{' YES': -11.7013235, ' ': -10.918828, ' Yes': -0.0073576374, ' yes': -9.309773, 'Yes': -4.9331427}
{'\n': -10.511678, ' ': -10.177661, ' Yes': -0.00548881, ' yes': -9.269498, 'Yes': -5.240388}
{' YES': -12.315174, ' ': -12.25164, ' Yes': -0.0013028058, ' yes': -10.141189, 'Yes': -6.683757}
{'\n': -10.760709, ' ': -9.556939, ' Yes': -0.0069387346, ' yes': -9.5531, 'Yes': -5.0004}
{'\n': -10.542257, ' ': -9.831617, ' Yes': -0.008291392, ' yes': -7.8636417, 'Yes': -4.860544}
{' YES': -10.984534, ' Yes': -0.015666094, ' yes': -7.5631433, 'Yes': -4.202956, 'yes': -10.095044}
{' YES': -13.101492, ' Yes': -0.016249208, ' yes': -9.903469, 'Yes': -4.131626, 'yes': -11.779695}
{' ': -10.522143, ' Yes': -0.028895594, ' yes': -7.722407, 'Yes': -3.5780592, 'yes': -9.902745}
{' YES': -11.442388, ' Yes': -0.009482035, ' yes': -8.392426, 'Yes': -4.6912484, 'yes': -11.051199}
{' ': -10.376753, ' Yes': -0.025624033, ' yes': -8.373868, 'Yes': -3.6896024, 'yes': -10.214951}
{' ': -10.263714, ' Yes': -0.02579674, ' yes': -6.91229, 'Yes': -3.715799, 'yes': -9.547602}
{' YES': -11.23703, ' ': -10.521036, ' Yes': -0.0028962297, ' yes': -7.2336106, 'Yes': -6.1594205}
{' ': -9.645233, ' Yes': -0.01425759, ' yes': -7.226852, 'Yes': -4.321226, 'yes': -9.914509}
{'\n': -10.449883, ' ': -9.403199, ' Yes': -0.010165287, ' yes': -8.140049, 'Yes': -4.638392}
{' ': -9.961375, ' Yes': -0.007924124, ' yes': -6.8496957, 'Yes': -5.0068674, 'yes': -9.775673}
{'\n': -10.097545, ' ': -8.90215, ' Yes': -0.014386739, ' yes': -8.185042, 'Yes': -4.284726}
{' ': -8.732706, ' Yes': -0.019257335, ' yes': -5.183381, 'Yes': -4.342871, 'yes': -8.679065}
{' YES': -11.935124, ' ': -11.216657, ' Yes': -0.0009161371, ' yes': -10.108625, 'Yes': -7.070963}
{'\n': -11.240073, ' ': -10.123124, ' Yes': -0.00711965, ' yes': -9.544532, 'Yes': -4.9685926}
{'\n': -9.690165, ' ': -9.670832, ' Yes': -0.0067468113, ' yes': -9.544664, 'Yes': -5.0341682}
{' YES': -11.932339, ' ': -10.788593, ' Yes': -0.0015360716, ' yes': -10.045294, 'Yes': -6.52977}
{'\n': -10.433192, ' ': -9.373841, ' Yes': -0.008305578, ' yes': -9.722274, 'Yes': -4.8176484}
{'\n': -12.046645, ' ': -10.93784, ' Yes': -0.0022554954, ' yes': -9.5239725, 'Yes': -6.141762}
{' No': -11.501299, ' ': -12.431236, ' Yes': -0.0020562245, ' yes': -9.994756, 'Yes': -6.2185493}
{' YES': -12.165466, ' ': -11.618771, ' Yes': -0.009533785, ' yes': -9.133154, 'Yes': -4.6717553}
{' ': -11.407774, ' Yes': -0.01565344, ' yes': -9.194897, 'Yes': -4.1732407, 'yes': -12.065304}
{' No': -12.473943, ' ': -12.553905, ' Yes': -0.003319188, ' yes': -10.026409, 'Yes': -5.7264676}
{' No': -10.698572, ' ': -10.922411, ' Yes': -0.011987513, ' yes': -9.280339, 'Yes': -4.442266}
{' ': -10.966168, ' Yes': -0.009080102, ' yes': -8.351151, 'Yes': -4.736373, 'yes': -11.74281}
{' YES': -13.243911, ' ': -12.29717, ' Yes': -0.0005530567, ' yes': -9.486009, 'Yes': -7.6645575}
{' ': -11.197394, ' Yes': -0.0042893672, ' yes': -9.289037, 'Yes': -5.4809203, 'yes': -12.481225}
{'\n': -12.134496, ' ': -10.445138, ' Yes': -0.005532441, ' yes': -9.177617, 'Yes': -5.2269373}
{' YES': -13.100306, ' ': -12.180591, ' Yes': -0.0011727642, ' yes': -9.708904, 'Yes': -6.810283}
{'\n': -11.527779, ' ': -9.485836, ' Yes': -0.006537465, ' yes': -9.345493, 'Yes': -5.062152}
{'\n': -10.607496, ' ': -9.835789, ' Yes': -0.00540958, ' yes': -7.5362816, 'Yes': -5.3485107}
{' ': -11.11753, ' Yes': -0.0107576065, ' yes': -6.7538257, 'Yes': -4.6609745, 'yes': -10.268882}
{' YES': -13.234865, ' Yes': -0.010895708, ' yes': -8.879444, 'Yes': -4.5388474, 'yes': -11.7256155}
{' ': -10.946576, ' Yes': -0.021230206, ' yes': -7.2529936, 'Yes': -3.9006894, 'yes': -10.19107}
{' ': -11.737824, ' Yes': -0.0059604133, ' yes': -8.04649, 'Yes': -5.1860423, 'yes': -11.435489}
{' ': -10.667, ' Yes': -0.034889687, ' yes': -7.630703, 'Yes': -3.3897746, 'yes': -9.919153}
{' ': -10.418427, ' Yes': -0.026269753, ' yes': -5.8950324, 'Yes': -3.7720447, 'yes': -9.0759325}
{' ': -10.669867, ' Yes': -0.0022665479, ' yes': -6.7325916, 'Yes': -6.8747864, 'yes': -11.608193}
{' ': -10.380848, ' Yes': -0.0068770954, ' yes': -7.329407, 'Yes': -5.0932245, 'yes': -10.763473}
{' ': -9.640548, ' Yes': -0.008006016, ' yes': -7.856892, 'Yes': -4.8936734, 'yes': -11.057081}
{' ': -10.117367, ' Yes': -0.004303137, ' yes': -6.6710887, 'Yes': -5.827802, 'yes': -10.378571}
{' ': -8.870939, ' Yes': -0.007834145, ' yes': -7.73066, 'Yes': -4.9359, 'yes': -10.892534}
{' ': -8.471947, ' Yes': -0.0171091, ' yes': -4.9020386, 'Yes': -4.700674, 'yes': -8.826178}
{'\n': -12.874551, ' ': -11.297803, ' Yes': -0.00054995355, ' yes': -9.770188, 'Yes': -7.6518235}
{' YES': -12.346528, ' ': -9.954137, ' Yes': -0.0037723018, ' yes': -9.313825, 'Yes': -5.622739}
{'\n': -10.813695, ' ': -9.710305, ' Yes': -0.005135688, ' yes': -9.393857, 'Yes': -5.3084135}
{' YES': -12.420737, ' ': -10.477691, ' Yes': -0.0012160913, ' yes': -9.5334, 'Yes': -6.806287}
{'\n': -10.125853, ' ': -8.6044655, ' Yes': -0.006687645, ' yes': -9.585426, 'Yes': -5.057097}
{'\n': -11.600919, ' ': -10.177045, ' Yes': -0.0019732038, ' yes': -8.558688, 'Yes': -6.3619814}
{' No': -0.007285769, ' ': -10.746888, 'No': -4.9289165, ' no': -13.520661, ' NO': -13.812367}
{' No': -0.020494211, ' ': -10.336811, 'No': -3.8997838, ' no': -13.089628, ' NO': -12.588403}
{' No': -0.03527885, ' ': -9.704915, 'No': -3.3640885, ' no': -13.08855, ' NO': -12.469959}
{' No': -0.007836789, ' ': -10.902396, 'No': -4.8556037, ' no': -13.509476, ' NO': -13.80228}
{' No': -0.040460434, '\n': -12.245688, ' ': -9.107093, 'No': -3.2308934, ' no': -12.15036}
{' No': -0.023958197, ' ': -9.177199, 'No': -3.7489965, ' no': -11.4249325, ' NO': -12.394874}
{' No': -0.001215852, '\n': -13.476589, ' ': -10.371096, 'No': -6.7429414, ' no': -13.195387}
{' No': -0.008185981, '\n': -12.9941, ' ': -9.741084, 'No': -4.8176227, ' no': -13.138634}
{' No': -0.00619027, '\n': -11.209429, ' ': -9.283501, 'No': -5.1063547, ' no': -13.031233}
{' No': -0.002548263, '\n': -13.471183, ' ': -10.473609, 'No': -5.986414, ' no': -13.627009}
{' No': -0.009073609, '\n': -10.328032, ' ': -8.416847, 'No': -4.7364902, ' no': -12.629948}
{' No': -0.009388892, '\n': -9.7944765, ' ': -8.7574415, 'No': -4.6987844, ' no': -11.070496}
{' No': -0.026549004, ' ': -9.827602, 'No': -3.6466794, ' no': -9.931756, ' NO': -11.742085}
{' No': -0.032919403, ' ': -11.173028, 'No': -3.4308474, 'no': -12.740715, ' no': -12.219763}
{' No': -0.07434485, ' ': -9.101658, 'No': -2.6385405, 'no': -11.04587, ' no': -10.463838}
{' No': -0.0140100345, ' ': -10.302268, 'No': -4.2792706, ' no': -11.053996, ' NO': -12.32999}
{' No': -0.08714502, ' ': -8.71005, 'No': -2.486502, 'no': -10.872486, ' no': -10.34804}
{' No': -0.071389385, ' x': -9.650592, ' ': -8.651183, 'No': -2.6843176, ' no': -8.2665}
{' No': -0.001849945, '\n': -11.9813, ' ': -9.014354, 'No': -6.3905826, ' no': -10.183255}
{' No': -0.009614904, '\n': -12.336258, ' ': -8.83305, 'No': -4.6681194, ' no': -10.787546}
{' No': -0.015666699, '\n': -10.178866, ' ': -8.2177, 'No': -4.185371, ' no': -11.537009}
{' No': -0.0057008746, '\n': -11.726584, ' ': -8.674486, 'No': -5.210378, ' no': -10.19621}
{' No': -0.013410111, '\n': -9.937259, ' ': -7.843293, 'No': -4.354633, ' no': -10.756278}
{' No': -0.01684508, '\n': -9.053888, ' ': -7.603455, 'No': -4.1520967, ' no': -8.042562}
{' No': -0.001148838, '\n': -12.46181, ' ': -9.873131, 'No': -6.8224783, ' no': -13.110473}
{' No': -0.0062160003, '\n': -12.1434355, ' ': -9.009935, 'No': -5.1057873, ' NO': -12.666421}
{' No': -0.008716573, '\n': -9.431931, ' ': -8.261183, 'No': -4.7877617, ' no': -12.809801}
{' No': -0.0027293426, '\n': -11.926165, ' ': -8.953702, 'No': -5.958997, ' NO': -12.543942}
{' No': -0.010145838, '\n': -9.793134, ' ': -7.9819093, 'No': -4.6369786, ' NO': -12.54146}
{' No': -0.003659349, '\n': -11.356431, ' ': -9.129822, 'No': -5.648543, ' no': -11.914937}
{' No': -0.00373413, ' ': -11.156272, 'No': -5.622056, ' Yes': -9.28461, ' no': -13.852219}
{' No': -0.022829609, ' ': -9.922244, 'No': -3.8275075, ' Yes': -7.213177, 'Yes': -11.195171}
{' No': -0.02480048, ' ': -9.557206, 'No': -3.829526, ' Yes': -5.934411, 'Yes': -9.898275}
{' No': -0.0059495005, ' ': -11.191614, 'No': -5.147101, ' Yes': -9.230461, ' no': -13.656723}
{' No': -0.040624358, ' ': -9.344054, 'No': -3.5040717, ' Yes': -4.6612678, 'Yes': -8.63235}
{' No': -0.045245547, ' ': -8.73022, 'No': -4.117709, ' Yes': -3.593318, 'Yes': -8.29168}
{' No': -0.02563033, ' ': -9.517066, 'No': -7.3640847, ' Yes': -3.7066278, 'Yes': -10.613694}
{' No': -0.016618699, ' ': -9.296041, 'No': -5.3365264, ' Yes': -4.4653296, 'Yes': -9.628204}
{' No': -0.017962934, ' ': -8.437461, 'No': -5.376018, ' Yes': -4.3554015, 'Yes': -9.355179}
{' No': -0.00299457, ' ': -10.128298, 'No': -6.582439, ' Yes': -6.464052, 'Yes': -12.496028}
{' No': -0.012425134, ' ': -7.9995446, 'No': -5.134875, ' Yes': -5.110648, 'Yes': -9.987505}
{' No': -0.069721654, ' ': -7.69973, 'No': -5.221283, ' Yes': -2.7969303, 'Yes': -8.003778}
{' No': -0.02170448, ' ': -9.660685, 'No': -4.112452, ' Yes': -5.3133683, 'Yes': -9.574294}
{' No': -0.022026632, ' ': -11.2576685, 'No': -4.15016, ' Yes': -5.1282806, 'Yes': -9.462435}
{' No': -0.528483, ' ': -8.396051, 'No': -3.94438, ' Yes': -0.9636025, 'Yes': -4.6956577}
{' No': -0.08347148, ' ': -9.764242, 'No': -5.0512676, ' Yes': -2.6152897, 'Yes': -7.719713}
{' No': -2.5831752, 'No': -5.4990287, ' Yes': -0.10989526, ' yes': -7.8851004, 'Yes': -3.7371285}
{' No': -0.920972, 'No': -3.6485472, ' Yes': -0.5787364, ' yes': -7.1430902, 'Yes': -4.280345}
{' No': -0.008308463, ' ': -8.195746, 'No': -6.895221, ' Yes': -4.9754004, ' no': -9.995236}
{' No': -0.01688363, ' ': -8.21661, 'No': -4.967533, ' Yes': -4.667606, 'Yes': -9.465544}
{' No': -0.037161384, ' ': -7.1237755, 'No': -4.8114095, ' Yes': -3.6065335, 'Yes': -8.147976}
{' No': -0.0072321515, ' ': -8.11794, 'No': -5.485332, ' Yes': -5.9168005, ' no': -10.52535}
{' No': -0.016812101, '\n': -8.995077, ' ': -7.045979, 'No': -4.63383, ' Yes': -5.1398873}
{' No': -0.014708786, ' ': -7.1164713, 'No': -4.876323, ' Yes': -5.183116, ' no': -8.130155}
{' No': -0.013525861, ' ': -8.976965, 'No': -7.730948, ' Yes': -4.354699, 'Yes': -11.536712}
{' No': -0.0160647, ' ': -8.528693, 'No': -5.5472703, ' Yes': -4.442502, 'Yes': -9.734975}
{' No': -0.036134697, ' ': -7.594003, 'No': -5.25576, ' Yes': -3.5261421, 'Yes': -8.466514}
{' No': -0.015124179, ' ': -8.585093, 'No': -6.889134, ' Yes': -4.285054, 'Yes': -10.75086}
{' No': -0.25332645, ' ': -6.506017, 'No': -5.1172085, ' Yes': -1.5396405, 'Yes': -6.4212704}
{' No': -0.030049358, ' ': -8.071065, 'No': -6.118159, ' Yes': -3.6125782, 'Yes': -9.71061}
{' YES': -12.404223, ' ': -12.726848, ' Yes': -0.0036330863, ' yes': -10.305596, 'Yes': -5.6312995}
{' YES': -11.336127, ' ': -11.477717, ' Yes': -0.0122819375, ' yes': -9.298435, 'Yes': -4.415951}
{' YES': -11.379996, ' ': -11.720954, ' Yes': -0.013631838, ' yes': -9.421786, 'Yes': -4.3102226}
{' YES': -12.12845, ' ': -12.512639, ' Yes': -0.0042513576, ' yes': -10.167107, 'Yes': -5.474504}
{' ': -11.662609, ' Yes': -0.016503317, ' yes': -9.640745, 'Yes': -4.118123, 'yes': -11.285941}
{' YES': -11.774845, ' ': -10.908624, ' Yes': -0.008767141, ' yes': -8.927381, 'Yes': -4.7605104}
{' YES': -12.097336, ' ': -12.260645, ' Yes': -0.00072924333, ' yes': -9.786692, 'Yes': -7.3224087}
{' YES': -11.730943, ' ': -11.113648, ' Yes': -0.0067976406, ' yes': -9.174007, 'Yes': -5.015018}
{'\n': -11.092227, ' ': -10.381397, ' Yes': -0.005248928, ' yes': -9.135089, 'Yes': -5.285452}
{' YES': -12.22346, ' ': -12.44764, ' Yes': -0.0015067022, ' yes': -9.984028, 'Yes': -6.5373054}
{'\n': -11.102969, ' ': -9.48973, ' Yes': -0.0067121284, ' yes': -9.614801, 'Yes': -5.033558}
{'\n': -10.476211, ' ': -9.760337, ' Yes': -0.007228369, ' yes': -7.89948, 'Yes': -5.005258}
{' YES': -11.17808, ' Yes': -0.012184549, ' yes': -7.693392, 'Yes': -4.4568715, 'yes': -10.360985}
{' YES': -12.678191, ' Yes': -0.015163271, ' yes': -9.368719, 'Yes': -4.2032847, 'yes': -11.312876}
{' ': -10.488444, ' Yes': -0.027430728, ' yes': -7.740502, 'Yes': -3.6299086, 'yes': -9.942447}
{' YES': -11.776256, ' Yes': -0.006249406, ' yes': -8.71424, 'Yes': -5.109013, 'yes': -11.558116}
{' ': -10.509216, ' Yes': -0.031803746, ' yes': -8.472828, 'Yes': -3.473469, 'yes': -10.068565}
{' ': -10.120312, ' Yes': -0.025100833, ' yes': -6.857162, 'Yes': -3.7470055, 'yes': -9.449477}
{' YES': -11.408701, ' ': -10.827841, ' Yes': -0.0022721027, ' yes': -7.6328874, 'Yes': -6.352116}
{' ': -9.9505005, ' Yes': -0.012289235, ' yes': -7.326376, 'Yes': -4.4703236, 'yes': -10.084573}
{'\n': -10.651262, ' ': -9.3268585, ' Yes': -0.010713987, ' yes': -8.180613, 'Yes': -4.582764}
{' ': -10.048792, ' Yes': -0.008028426, ' yes': -7.05949, 'Yes': -4.960512, 'yes': -9.830151}
{'\n': -9.745483, ' ': -8.568783, ' Yes': -0.016731974, ' yes': -8.133135, 'Yes': -4.1357217}
{' ': -8.5219965, ' Yes': -0.01910167, ' yes': -5.2388716, 'Yes': -4.337047, 'yes': -8.703572}
{' YES': -12.03847, ' ': -11.249378, ' Yes': -0.0008973453, ' yes': -10.221109, 'Yes': -7.0855722}
{' YES': -11.537023, ' ': -10.288012, ' Yes': -0.006324383, ' yes': -9.478333, 'Yes': -5.0881166}
{'\n': -10.533798, ' ': -10.006641, ' Yes': -0.004191441, ' yes': -9.786349, 'Yes': -5.5101748}
{' YES': -11.973623, ' ': -10.886279, ' Yes': -0.0014145962, ' yes': -10.045064, 'Yes': -6.613565}
