{' No': -0.07999569, ' Yes': -2.710546, 'No': -4.6041656, 'Yes': -8.152537, ' ': -9.752942}
{' Yes': -0.033631314, 'Yes': -4.09295, ' No': -4.183427, 'No': -7.4545135, ' yes': -7.70941}
{' Yes': -0.01204313, 'Yes': -4.71933, ' No': -6.2154045, ' yes': -6.9678607, 'No': -10.0969715}
{' Yes': -0.08307774, 'Yes': -2.5731003, ' No': -6.1425924, 'No': -7.597825, ' yes': -7.618981}
{' Yes': -0.059157956, 'Yes': -2.890199, ' yes': -7.1150756, ' No': -7.24435, 'No': -9.040343}
{' Yes': -0.04935327, 'Yes': -3.0995052, ' yes': -5.9892697, ' No': -8.357634, 'yes': -8.833986}
{' Yes': -0.043611214, 'Yes': -3.294952, ' yes': -5.3959765, ' No': -7.4964924, 'yes': -8.506249}
{' Yes': -0.0031897821, 'Yes': -6.102511, ' yes': -7.1103344, ' No': -9.895887, ' ': -10.053269}
{' Yes': -0.0044059237, 'Yes': -6.103494, ' yes': -6.342415, ' No': -8.235563, ' ': -9.247893}
{' Yes': -0.012663666, 'Yes': -4.5256467, ' No': -6.9619236, ' yes': -7.426314, ' ': -9.063971}
{' Yes': -0.014127246, 'Yes': -4.58669, ' No': -6.180488, ' yes': -6.551938, ' ': -8.397679}
{' Yes': -0.01391786, 'Yes': -4.4118233, ' No': -6.8160315, ' yes': -8.151998, ' ': -8.570363}
{' Yes': -0.01457203, 'Yes': -4.401397, ' No': -6.6019955, ' yes': -7.724344, ' ': -8.049348}
{' Yes': -0.004561475, 'Yes': -5.698134, ' No': -7.480698, ' yes': -7.533145, ' ': -9.753547}
{' Yes': -0.00990893, ' No': -5.3615804, 'Yes': -5.636774, ' yes': -6.709267, ' ': -8.135219}
{' Yes': -0.017106067, 'Yes': -4.350522, ' No': -5.827143, ' ': -7.4260507, ' yes': -8.059723}
{' Yes': -0.016951162, 'Yes': -4.2827344, ' No': -6.827349, ' ': -6.966637, ' yes': -7.15128}
{' Yes': -0.012531476, 'Yes': -4.7400074, ' yes': -5.887045, ' No': -7.9949474, ' ': -8.078571}
{' Yes': -0.022335973, 'Yes': -4.5173345, ' yes': -4.8565474, ' No': -6.318669, ' ': -6.8593144}
{' Yes': -0.0020832194, 'Yes': -6.3488445, ' yes': -8.855, ' No': -9.257179, ' ': -9.739321}
{' Yes': -0.0021228236, 'Yes': -6.4276695, ' No': -8.451849, ' yes': -8.74275, ' ': -9.217361}
{' Yes': -0.008956084, 'Yes': -4.890912, ' No': -6.8864717, ' ': -8.728663, ' yes': -8.811471}
{' Yes': -0.008121019, 'Yes': -5.11996, ' No': -6.532924, ' ': -7.9071474, ' yes': -8.425663}
{' Yes': -0.01115732, 'Yes': -5.0513372, ' No': -5.5453954, ' ': -7.6950154, '\n': -8.907876}
{' Yes': -0.0117505295, 'Yes': -4.7236757, ' No': -6.3017874, ' ': -7.4971757, '\n': -8.476091}
{' Yes': -0.01094771, ' No': -4.7086406, 'Yes': -6.5032663, ' ': -8.454333, ' yes': -9.212644}
{' Yes': -0.024746776, ' No': -3.8460011, 'Yes': -6.204367, ' ': -7.1395383, ' yes': -8.91558}
{' Yes': -0.019121293, 'Yes': -4.485214, ' No': -5.162676, ' ': -6.6688004, '\n': -7.951908}
{' Yes': -0.015314688, 'Yes': -4.733004, ' No': -5.4295583, ' ': -6.4908223, '\n': -8.241047}
{' Yes': -0.004219574, 'Yes': -5.572079, ' yes': -8.837759, ' ': -9.076834, ' No': -9.297462}
{' Yes': -0.0064129834, 'Yes': -5.681143, ' No': -6.1814575, ' ': -7.58404, ' yes': -8.116966}
{' No': -0.01407719, 'No': -4.271844, ' ': -11.356571, ' NO': -12.229909, ' no': -13.023653}
{' No': -0.011621837, 'No': -4.4632587, ' ': -10.793785, ' no': -12.571851, ' NO': -12.6722975}
{' No': -0.07749511, 'No': -2.5979283, ' NO': -9.745915, ' ': -9.762795, ' no': -11.510874}
{' No': -0.04508959, 'No': -3.1231077, ' ': -10.183304, ' NO': -11.318766, ' no': -11.347275}
{' No': -0.09055465, 'No': -2.448066, ' ': -9.731806, ' NO': -10.235111, ' no': -12.147982}
{' No': -0.05482216, 'No': -2.9330873, ' ': -9.467221, ' NO': -11.273048, ' no': -11.2893505}
{' No': -0.0151435435, 'No': -4.200042, ' ': -10.962536, ' NO': -11.441211, ' no': -12.686038}
{' No': -0.011951017, 'No': -4.435479, ' ': -10.782701, ' no': -12.198846, ' NO': -12.623586}
{' No': -0.10717316, 'No': -2.2887373, ' ': -8.8473425, ' NO': -10.34454, ' Yes': -10.856495}
{' No': -0.0668639, 'No': -2.7409685, ' ': -8.9303665, ' no': -11.36409, ' NO': -11.799535}
{' No': -0.048341323, 'No': -3.0575922, ' ': -9.1540575, ' NO': -10.397039, ' no': -10.980812}
{' No': -0.048031896, 'No': -3.0665693, ' ': -8.655262, ' no': -9.8890505, ' X': -10.073423}
{' No': -0.0014388321, 'No': -6.565596, ' ': -10.793291, ' NO': -12.28092, ' no': -12.953178}
{' No': -0.002668382, 'No': -5.9512415, ' ': -9.9423, ' no': -11.875479, ' NO': -12.556687}
{' No': -0.012667169, 'No': -4.3813615, ' ': -9.783382, ' NO': -11.344978, ' no': -12.500164}
{' No': -0.014692212, 'No': -4.235935, ' ': -9.299385, ' no': -11.514788, ' NO': -11.682289}
{' No': -0.011601577, 'No': -4.476758, ' ': -9.006101, '\n': -10.895045, ' NO': -11.070593}
{' No': -0.014192718, 'No': -4.275009, ' ': -8.859844, '\n': -10.9646015, ' no': -11.6779785}
{' No': -0.0030109487, 'No': -5.8157105, ' ': -11.053512, ' NO': -11.929915, ' no': -13.097578}
{' No': -0.002924805, 'No': -5.855431, ' ': -10.016592, ' no': -12.367884, ' NO': -12.496876}
{' No': -0.016700396, 'No': -4.1209364, ' ': -8.254607, '\n': -10.024028, ' NO': -10.950442}
{' No': -0.013478014, 'No': -4.3328137, ' ': -8.482171, '\n': -10.427367, ' no': -11.677052}
{' No': -0.009025429, 'No': -4.7343216, ' ': -9.122846, '\n': -9.769475, ' NO': -11.11819}
{' No': -0.010165287, 'No': -4.62873, ' ': -8.493126, '\n': -9.47451, ' no': -10.065626}
{' No': -0.04317709, 'No': -3.1677725, ' ': -9.744682, ' NO': -9.880522, ' no': -10.279752}
{' No': -0.046436958, 'No': -3.0996842, ' no': -8.618311, ' ': -9.707222, ' NO': -10.17259}
{' No': -0.11245001, 'No': -2.2428136, ' ': -9.486155, ' NO': -10.0433655, ' no': -10.496367}
{' No': -0.14991632, 'No': -1.9743048, ' no': -8.83497, 'no': -9.520445, ' ': -9.826821}
{' No': -0.23068307, 'No': -1.5843644, ' ': -8.022895, ' NO': -8.113085, '\n': -9.34149}
{' No': -0.16960546, 'No': -1.8624363, ' ': -8.244821, ' no': -8.734394, 'no': -9.396263}
{' No': -0.040814083, 'No': -3.2222524, ' ': -9.751479, ' NO': -10.241863, ' no': -10.696732}
{' No': -0.016657244, 'No': -4.1112523, ' no': -9.554729, ' ': -10.090218, ' NO': -11.437217}
{' No': -0.17629418, 'No': -1.8246858, ' ': -8.619743, ' NO': -9.741178, ' Yes': -10.340781}
{' No': -0.14748399, 'No': -1.9901067, ' ': -8.53653, ' no': -9.431164, ' Yes': -9.92058}
{' No': -0.13517779, 'No': -2.074406, ' ': -8.256558, ' no': -8.600927, ' NO': -8.95939}
{' No': -0.12344491, 'No': -2.168468, ' no': -7.2110906, ' ': -7.9733343, ' Yes': -8.59513}
{' No': -0.003107328, 'No': -5.8462143, ' ': -8.792925, ' no': -10.364743, ' NO': -11.0061245}
{' No': -0.0035999443, 'No': -5.735823, ' ': -8.574003, ' no': -8.778812, '\n': -11.477807}
{' No': -0.02389837, 'No': -3.7570465, ' ': -8.612237, ' NO': -10.161203, ' no': -10.676292}
{' No': -0.022337373, 'No': -3.8291798, ' ': -8.437584, ' no': -9.132921, ' NO': -10.92252}
{' No': -0.023100398, 'No': -3.793547, ' ': -8.377117, '\n': -9.910105, ' NO': -10.636702}
{' No': -0.025338558, 'No': -3.7036834, ' ': -8.086909, '\n': -10.3249235, ' no': -10.547376}
{' No': -0.0049461434, 'No': -5.3361683, ' ': -9.481016, ' no': -10.84071, ' NO': -11.080288}
{' No': -0.0065275053, 'No': -5.0835156, ' ': -8.633743, ' no': -9.239485, '\n': -11.071659}
{' No': -0.019370845, 'No': -3.9728217, ' ': -8.177455, '\n': -10.04939, ' NO': -10.803609}
{' No': -0.024746288, 'No': -3.7394967, ' ': -7.600532, '\n': -9.270445, ' no': -9.816366}
{' No': -0.016295314, 'No': -4.1758733, ' ': -8.03678, '\n': -8.392854, ' no': -8.705682}
{' No': -0.02493094, 'No': -3.786121, ' no': -7.0098796, ' ': -7.3421454, '\n': -8.164172}
{' No': -0.0030854444, 'No': -5.840049, ' ': -8.952342, '\n': -10.650333, ' NO': -11.416031}
{' No': -0.0033684068, 'No': -5.7565594, ' ': -8.756688, '\n': -10.55509, ' no': -11.700673}
{' No': -0.019261282, 'No': -3.974282, ' ': -8.408156, ' NO': -10.620984, '\n': -10.724496}
{' No': -0.014371444, 'No': -4.270704, ' ': -8.310857, '\n': -10.639565, ' NO': -11.372521}
{' No': -0.014795227, 'No': -4.252025, ' ': -8.071015, '\n': -9.097659, ' NO': -11.030891}
{' No': -0.018159876, 'No': -4.0548496, ' ': -7.6125293, '\n': -8.871427, ' no': -11.735305}
{' No': -0.0033504665, 'No': -5.750098, ' ': -8.950676, ' NO': -11.167445, '\n': -11.315145}
{' No': -0.0042902655, 'No': -5.5240254, ' ': -8.271951, '\n': -11.098872, ' NO': -11.607672}
{' No': -0.018209467, 'No': -4.064684, ' ': -7.385015, '\n': -8.4126425, ' NO': -10.876573}
{' No': -0.015613543, 'No': -4.2136207, ' ': -7.4812884, '\n': -9.087195, ' no': -11.680285}
{' No': -0.006952479, 'No': -5.004278, ' ': -8.705845, '\n': -10.287826, ' NO': -11.482806}
{' No': -0.0064314567, 'No': -5.109205, ' ': -8.137928, '\n': -10.252973, ' no': -10.469874}
{' Yes': -0.056995954, ' No': -3.0062375, 'Yes': -5.2740445, 'No': -7.2728696, ' yes': -9.337717}
{' No': -0.4334065, ' Yes': -1.0645559, 'No': -5.258138, 'Yes': -6.490491, ' ': -9.726012}
{' Yes': -0.14284074, ' No': -2.24163, 'Yes': -3.9040618, 'No': -5.0690455, ' yes': -8.185544}
{' No': -0.26548633, ' Yes': -1.6356074, 'No': -3.381125, 'Yes': -5.489981, ' ': -9.0127125}
{' Yes': -0.08219683, ' No': -3.0678265, 'Yes': -3.555551, 'No': -5.655307, ' yes': -8.463899}
{' Yes': -0.13264531, ' No': -2.3502774, 'Yes': -3.7807565, 'No': -5.158652, ' yes': -8.743221}
{' Yes': -0.069569565, ' No': -2.885432, 'Yes': -4.6428423, 'No': -6.482041, ' yes': -8.731024}
{' Yes': -0.6352979, ' No': -0.7750017, 'No': -5.095028, 'Yes': -5.7154293, ' ': -9.950813}
{' Yes': -0.037000865, 'Yes': -3.7343829, ' No': -4.4850335, 'No': -7.0470996, ' yes': -8.5265465}
{' Yes': -0.35575017, ' No': -1.317134, 'No': -4.148467, 'Yes': -4.18283, ' ': -8.238942}
{' Yes': -0.017006572, 'Yes': -4.258551, ' No': -6.2187753, ' yes': -7.566441, 'No': -9.074218}
{' Yes': -0.08915314, ' No': -2.616447, 'Yes': -4.730556, 'No': -5.9561706, ' yes': -7.770107}
{' Yes': -0.012406668, ' No': -4.5109706, 'Yes': -6.7568426, ' yes': -8.848409, 'No': -10.876281}
{' Yes': -0.018428009, ' No': -4.0632315, 'Yes': -6.9998765, ' yes': -9.172162, 'No': -10.576236}
{' Yes': -0.029498678, ' No': -3.8044505, 'Yes': -5.0667124, 'No': -8.231326, ' yes': -8.671502}
{' Yes': -0.14030933, ' No': -2.0798006, 'Yes': -5.3914385, 'No': -6.782683, ' ': -8.978247}
{' Yes': -0.027872095, ' No': -4.004461, 'Yes': -4.742399, 'No': -8.308037, ' yes': -8.740908}
{' Yes': -0.087293565, ' No': -2.589508, 'Yes': -4.940738, 'No': -7.003, ' ': -8.270641}
{' Yes': -0.02502163, ' No': -3.78394, 'Yes': -6.3189783, ' yes': -9.282073, 'No': -9.648756}
{' Yes': -0.11737979, ' No': -2.217998, 'Yes': -6.5064673, 'No': -8.159573, ' ': -9.591571}
{' Yes': -0.020704068, ' No': -4.5215945, 'Yes': -4.7056804, 'No': -8.637309, ' ': -8.762929}
{' Yes': -0.18796003, ' No': -1.8136677, 'Yes': -5.15338, 'No': -6.3692265, ' ': -7.4240856}
{' Yes': -0.01030156, ' No': -5.2849636, 'Yes': -5.393732, ' yes': -7.743393, ' ': -9.739704}
{' Yes': -0.017433295, ' No': -4.4134274, 'Yes': -5.4642944, ' yes': -7.5982094, ' ': -8.419041}
{' Yes': -0.075199895, ' No': -2.9704254, 'Yes': -4.0445943, 'No': -5.8177776, ' yes': -7.4680576}
{' Yes': -0.04257795, ' No': -3.5293598, 'Yes': -4.574562, 'No': -6.774999, ' yes': -7.1183815}
{' Yes': -0.30440727, ' No': -1.5059167, 'Yes': -3.752102, 'No': -4.086851, ' yes': -8.1817}
{' Yes': -0.1320557, ' No': -2.4005473, 'Yes': -3.6855223, 'No': -4.9218335, ' yes': -7.4897346}
{' Yes': -0.19267188, 'Yes': -2.4030964, ' No': -2.6827784, 'No': -4.209367, ' yes': -6.905179}
{' Yes': -0.07232078, 'Yes': -2.9790418, ' No': -4.1719913, 'No': -6.1490173, ' yes': -6.858114}
{' Yes': -0.13822691, ' No': -2.1563392, 'Yes': -4.5781145, 'No': -5.9430285, ' yes': -7.8740726}
{' Yes': -0.060817998, ' No': -2.9840047, 'Yes': -4.9417443, 'No': -7.072689, ' yes': -7.9597263}
{' Yes': -0.0661592, 'Yes': -2.9448287, ' No': -4.660413, 'No': -6.6698885, ' yes': -7.58482}
{' Yes': -0.044381376, 'Yes': -3.4861977, ' No': -4.488019, 'No': -6.980382, ' yes': -7.7578897}
{' Yes': -0.050082576, 'Yes': -3.2059147, ' No': -5.3016634, ' yes': -6.0480523, 'No': -7.252888}
{' Yes': -0.03292415, 'Yes': -3.7934983, ' No': -5.1204767, ' yes': -5.8153405, 'No': -7.4593167}
{' Yes': -0.016104799, ' No': -4.3932347, 'Yes': -6.0106535, ' yes': -6.9017854, ' ': -9.658842}
{' Yes': -0.009496958, ' No': -4.8494034, 'Yes': -6.930469, ' yes': -7.5325675, ' ': -9.488832}
{' Yes': -0.0278694, ' No': -4.1710653, 'Yes': -4.5233984, ' yes': -7.300006, 'No': -7.9006486}
{' Yes': -0.05987311, ' No': -3.0704436, 'Yes': -4.632442, 'No': -6.929126, ' yes': -7.3511767}
{' Yes': -0.015132105, 'Yes': -4.418254, ' No': -6.0768704, ' yes': -7.7929235, ' ': -9.141622}
{' Yes': -0.012363942, 'Yes': -4.9678216, ' No': -5.332514, ' yes': -8.388142, ' ': -8.691478}
{' Yes': -0.036949154, ' No': -3.4834366, 'Yes': -5.4093547, ' yes': -7.1606135, 'No': -8.420057}
{' Yes': -0.03845463, ' No': -3.3943658, 'Yes': -5.768313, ' yes': -7.4583783, ' ': -8.357076}
{' Yes': -0.0190606, 'Yes': -4.576996, ' No': -4.8731523, ' yes': -7.9078865, ' ': -8.147652}
{' Yes': -0.019133808, 'Yes': -4.616601, ' No': -4.8460608, ' ': -7.5067477, ' yes': -7.837636}
{' Yes': -0.01773739, 'Yes': -4.7604666, ' No': -5.3624773, ' yes': -5.649483, ' ': -8.052885}
{' Yes': -0.038094137, ' No': -3.8806574, 'Yes': -4.6520524, ' yes': -5.2604275, ' ': -6.925871}
{' Yes': -0.0044589695, ' No': -5.863866, 'Yes': -6.5391784, ' yes': -9.052308, ' ': -10.6675825}
{' Yes': -0.0136522595, ' No': -4.418905, 'Yes': -6.6628556, ' yes': -9.009505, ' ': -9.630027}
{' Yes': -0.012516148, 'Yes': -4.961361, ' No': -5.2859383, ' yes': -8.666153, ' ': -9.359716}
{' Yes': -0.12024414, ' No': -2.2447996, 'Yes': -5.221425, 'No': -6.7003026, ' ': -7.601548}
{' Yes': -0.01036034, 'Yes': -5.088609, ' No': -5.5826206, ' ': -8.917407, ' yes': -9.054786}
{' Yes': -0.14154905, ' No': -2.0993395, 'Yes': -4.975142, 'No': -6.5199375, ' ': -7.242297}
{' Yes': -0.04463096, ' No': -3.1696784, 'Yes': -6.593447, 'No': -9.373008, ' ': -9.380544}
{' Yes': -0.49758402, ' No': -0.9440486, 'Yes': -6.689796, 'No': -6.8763533, ' ': -7.5077233}
{' Yes': -0.013215068, 'Yes': -4.6208425, ' No': -6.0106015, ' ': -7.694789, '\n': -8.716943}
{' Yes': -0.15089682, ' No': -2.0358493, 'Yes': -5.076617, 'No': -6.5424414, ' ': -6.6372476}
{' Yes': -0.0030211732, 'Yes': -5.98603, ' No': -8.137089, ' yes': -8.968344, ' ': -9.822439}
{' Yes': -0.2948315, ' No': -1.385894, 'Yes': -5.965836, 'No': -6.4172044, ' ': -7.3668656}
{' Yes': -0.0061974064, 'Yes': -5.1071053, ' yes': -9.173332, ' YES': -11.479683, 'yes': -12.30492}
{' Yes': -0.0059878174, 'Yes': -5.134888, ' yes': -9.612987, ' YES': -11.9121685, ' ': -12.167916}
{' Yes': -0.022936026, 'Yes': -3.8062057, ' yes': -7.9481034, ' YES': -10.086479, 'yes': -10.509487}
{' Yes': -0.025487978, 'Yes': -3.6938686, ' yes': -8.396337, ' YES': -10.621111, 'yes': -10.730415}
{' Yes': -0.026708467, 'Yes': -3.6477942, ' yes': -8.388579, ' YES': -10.022466, 'yes': -11.016067}
{' Yes': -0.03358138, 'Yes': -3.418612, ' yes': -8.516854, ' YES': -10.655549, ' ': -10.779591}
{' Yes': -0.0077741942, 'Yes': -4.8812823, ' yes': -8.991862, ' YES': -10.944783, 'yes': -11.804801}
{' Yes': -0.009519462, 'Yes': -4.6686497, ' yes': -9.563632, ' YES': -11.6218605, ' ': -12.090129}
{' Yes': -0.028326659, 'Yes': -3.5879347, ' yes': -8.506399, ' YES': -10.541025, 'yes': -10.750705}
{' Yes': -0.026482228, 'Yes': -3.650059, ' yes': -9.197401, ' ': -10.963364, 'yes': -11.121735}
{' Yes': -0.01932691, 'Yes': -3.9903426, ' yes': -7.543206, ' YES': -9.96794, ' ': -10.357631}
{' Yes': -0.014494804, 'Yes': -4.2731576, ' yes': -7.953997, ' ': -9.907189, ' YES': -10.426792}
{' Yes': -0.000877659, 'Yes': -7.203657, ' yes': -9.0672245, ' YES': -11.553857, ' No': -12.475144}
{' Yes': -0.0009921473, 'Yes': -7.0408306, ' yes': -9.179651, ' YES': -11.757169, ' ': -12.818183}
{' Yes': -0.007018204, 'Yes': -5.0000978, ' yes': -8.509049, ' YES': -10.592856, ' ': -11.427515}
{' Yes': -0.006543165, 'Yes': -5.058453, ' yes': -8.949037, ' ': -11.204312, ' YES': -11.232045}
{' Yes': -0.00880274, 'Yes': -4.772333, ' yes': -8.497057, ' ': -10.358423, ' YES': -10.501196}
{' Yes': -0.008753072, 'Yes': -4.7681847, ' yes': -8.815199, ' ': -10.293594, ' YES': -11.034954}
{' Yes': -0.0017706478, 'Yes': -6.4067006, ' yes': -9.19124, ' YES': -11.5097, 'yes': -12.930614}
{' Yes': -0.0017080727, 'Yes': -6.4259863, ' yes': -9.539952, ' YES': -11.763567, ' ': -12.171987}
{' Yes': -0.01083039, 'Yes': -4.5661225, ' yes': -8.674698, ' ': -9.1567745, '\n': -9.80905}
{' Yes': -0.008208756, 'Yes': -4.832832, ' yes': -9.17436, ' ': -9.528118, '\n': -11.2154045}
{' Yes': -0.0056164754, 'Yes': -5.282777, ' yes': -7.829194, '\n': -9.999764, ' ': -10.263198}
{' Yes': -0.006895282, 'Yes': -5.0734143, ' yes': -7.604568, ' ': -9.970955, ' YES': -10.65451}
{' Yes': -0.025904508, 'Yes': -3.7004974, ' yes': -7.2191772, 'yes': -9.753894, ' YES': -10.032949}
{' Yes': -0.016459933, 'Yes': -4.19017, ' yes': -6.8306994, 'yes': -9.969329, ' YES': -10.244008}
{' Yes': -0.037899725, 'Yes': -3.3010662, ' yes': -8.163698, 'yes': -10.214706, ' YES': -10.920858}
{' Yes': -0.03330262, 'Yes': -3.4333365, ' yes': -7.8356023, 'yes': -9.859409, ' YES': -10.878431}
{' Yes': -0.09205119, 'Yes': -2.4482849, ' yes': -6.8636646, 'yes': -8.758081, ' YES': -8.808901}
{' Yes': -0.07491861, 'Yes': -2.6465528, ' yes': -6.921709, 'yes': -8.994595, ' YES': -9.461181}
{' Yes': -0.013481033, 'Yes': -4.348842, ' yes': -7.8133345, ' YES': -10.397153, 'yes': -10.751054}
{' Yes': -0.011684733, 'Yes': -4.497837, ' yes': -7.739855, 'yes': -10.775286, ' YES': -10.947044}
{' Yes': -0.06220699, 'Yes': -2.8179252, ' yes': -7.784775, 'yes': -9.479949, ' YES': -10.060092}
{' Yes': -0.047336206, 'Yes': -3.084659, ' yes': -7.9916105, ' ': -9.722132, 'yes': -9.849613}
{' Yes': -0.047490764, 'Yes': -3.116605, ' yes': -6.333647, 'yes': -8.728289, ' YES': -9.600913}
{' Yes': -0.042291198, 'Yes': -3.2700284, ' yes': -5.804992, 'yes': -8.507331, ' ': -9.36547}
{' Yes': -0.0037288067, 'Yes': -5.9968214, ' yes': -6.7868495, ' ': -10.106938, ' YES': -10.599044}
{' Yes': -0.0020443385, 'Yes': -6.540921, ' yes': -7.4949903, ' ': -10.749616, ' YES': -11.449893}
{' Yes': -0.012948145, 'Yes': -4.4253397, ' yes': -7.1732607, ' YES': -10.036578, 'yes': -10.245146}
{' Yes': -0.013176415, 'Yes': -4.401175, ' yes': -7.2299733, 'yes': -10.188672, ' ': -10.201843}
{' Yes': -0.016023392, 'Yes': -4.18094, ' yes': -7.76427, ' ': -9.529576, '\n': -9.890092}
{' Yes': -0.0100856265, 'Yes': -4.6329966, ' yes': -8.429788, ' ': -9.823228, 'yes': -11.232892}
{' Yes': -0.0049173315, 'Yes': -5.495289, ' yes': -7.220958, ' YES': -10.727049, 'yes': -10.735444}
{' Yes': -0.004651295, 'Yes': -5.566926, ' yes': -7.2147875, ' ': -10.2207365, 'yes': -10.692693}
{' Yes': -0.013482604, 'Yes': -4.3637843, ' yes': -7.8241415, ' ': -8.822566, '\n': -9.739844}
{' Yes': -0.014340181, 'Yes': -4.2851033, ' yes': -8.41375, ' ': -8.7078, '\n': -10.065484}
{' Yes': -0.018705327, 'Yes': -4.290064, ' yes': -5.4727306, '\n': -8.227432, ' ': -8.71832}
{' Yes': -0.023171708, 'Yes': -4.115468, ' yes': -5.1252203, '\n': -8.472991, ' ': -8.494157}
{' Yes': -0.0017908899, 'Yes': -6.4218497, ' yes': -9.071704, ' ': -10.814617, ' YES': -11.14711}
{' Yes': -0.001963887, 'Yes': -6.317741, ' yes': -9.122199, ' ': -10.684929, ' YES': -11.212905}
{' Yes': -0.0091551095, 'Yes': -4.734184, ' yes': -8.505073, ' ': -9.718583, ' YES': -10.519639}
{' Yes': -0.010456343, 'Yes': -4.5951886, ' yes': -8.560698, ' ': -9.780748, ' YES': -10.612696}
{' Yes': -0.0073500136, 'Yes': -4.960372, ' yes': -8.909536, ' ': -9.294007, '\n': -9.73942}
{' Yes': -0.012360501, 'Yes': -4.4283247, ' yes': -8.775625, ' ': -9.214952, '\n': -9.580253}
{' Yes': -0.001304118, 'Yes': -6.724852, ' yes': -9.554627, ' ': -11.0528345, ' YES': -11.571505}
{' Yes': -0.0022667854, 'Yes': -6.167945, ' yes': -9.135821, ' ': -10.217385, ' YES': -11.078074}
{' Yes': -0.0128160985, 'Yes': -4.4152837, ' ': -8.154781, '\n': -8.694132, ' yes': -8.752237}
{' Yes': -0.011312837, 'Yes': -4.5175323, ' ': -8.76004, ' yes': -9.197662, '\n': -9.760651}
{' Yes': -0.0030730073, 'Yes': -5.844007, ' yes': -9.033263, ' ': -10.555468, '\n': -11.123765}
{' Yes': -0.003492334, 'Yes': -5.7387843, ' yes': -8.538187, ' ': -10.123947, '\n': -10.980736}
{' Yes': -0.00641796, 'Yes': -5.463733, ' No': -6.192626, ' yes': -9.567446, 'No': -10.673936}
{' Yes': -0.09036662, ' No': -2.5265067, 'Yes': -5.2705708, 'No': -6.78318, ' ': -9.242195}
{' Yes': -0.024360223, 'Yes': -3.7485118, ' yes': -8.191182, ' No': -8.878133, ' YES': -10.114196}
{' Yes': -0.055512223, ' No': -3.3838143, 'Yes': -4.019505, 'No': -6.3425846, ' yes': -8.336275}
{' Yes': -0.03510888, 'Yes': -3.4076502, ' No': -6.89903, ' yes': -8.641613, 'No': -9.293359}
{' Yes': -0.033244763, 'Yes': -3.7137582, ' No': -4.8907485, 'No': -7.7248244, ' yes': -8.498498}
{' Yes': -0.008446886, 'Yes': -4.870864, ' No': -7.412852, ' yes': -9.224803, ' YES': -11.173331}
{' Yes': -0.07879899, ' No': -2.7152393, 'Yes': -4.8075757, 'No': -6.733664, ' ': -9.074403}
{' Yes': -0.0349111, 'Yes': -3.4270008, ' No': -6.5811167, ' yes': -8.644166, 'No': -8.803481}
{' Yes': -0.043736488, 'Yes': -3.7884526, ' No': -3.9804697, 'No': -6.774689, ' ': -8.698978}
{' Yes': -0.013979146, 'Yes': -4.321642, ' yes': -8.197485, ' No': -8.30868, ' ': -10.1926365}
{' Yes': -0.022738753, 'Yes': -4.324706, ' No': -4.8193884, ' yes': -7.516085, 'No': -7.908126}
{' Yes': -0.0012039772, 'Yes': -6.828903, ' yes': -9.284513, ' YES': -11.434842, ' No': -11.683585}
{' Yes': -0.0019365383, 'Yes': -6.489565, ' No': -8.339304, ' yes': -8.922501, ' ': -10.415449}
{' Yes': -0.008120599, 'Yes': -4.8566084, ' yes': -8.746898, ' No': -9.556276, ' ': -10.042496}
{' Yes': -0.010058594, 'Yes': -4.7278547, ' No': -7.097798, ' yes': -8.46457, ' ': -9.427226}
{' Yes': -0.010612898, 'Yes': -4.5963635, ' yes': -8.630119, ' ': -9.022023, ' No': -9.302861}
{' Yes': -0.012261601, 'Yes': -4.494357, ' No': -7.402036, ' yes': -8.587022, ' ': -8.750478}
{' Yes': -0.00184075, 'Yes': -6.3915286, ' yes': -9.466976, ' No': -9.653111, ' YES': -11.454761}
{' Yes': -0.004992747, ' No': -5.8374815, 'Yes': -6.2891965, ' yes': -9.23234, ' ': -9.372939}
{' Yes': -0.014525281, 'Yes': -4.4049573, ' No': -6.5702806, ' ': -7.641173, ' yes': -8.876954}
{' Yes': -0.012677672, 'Yes': -4.703899, ' No': -5.8821936, ' ': -7.6344924, ' yes': -8.932975}
{' Yes': -0.0051944014, 'Yes': -5.3605313, ' yes': -8.067131, ' ': -9.790587, ' No': -10.154042}
{' Yes': -0.007869635, 'Yes': -5.06192, ' yes': -7.3713083, ' No': -7.611022, ' ': -8.365238}
{' Yes': -0.018326746, 'Yes': -4.089198, ' No': -7.3387327, ' yes': -7.3679934, ' YES': -10.222778}
{' Yes': -0.022445628, 'Yes': -4.222606, ' No': -5.2226486, ' yes': -6.3372097, 'No': -8.326225}
{' Yes': -0.024888532, 'Yes': -3.7228386, ' yes': -8.070556, ' No': -9.992789, 'yes': -10.61193}
{' Yes': -0.042517617, 'Yes': -3.234227, ' yes': -6.6493382, ' No': -7.243481, 'yes': -9.395522}
{' Yes': -0.09157581, 'Yes': -2.462515, ' yes': -6.385681, ' YES': -8.262118, 'yes': -8.723658}
{' Yes': -0.062793456, 'Yes': -2.841493, ' yes': -6.244008, ' No': -8.355556, 'yes': -8.877564}
{' Yes': -0.01965961, 'Yes': -4.059111, ' No': -6.5871277, ' yes': -7.3085575, 'No': -9.843647}
