{' No': -7.8954477, ' ': -11.721575, ' Yes': -0.0019776858, ' yes': -10.208998, 'Yes': -6.4668174}
{' No': -12.06705, ' ': -10.5587015, ' Yes': -0.0042304657, ' yes': -9.02098, 'Yes': -5.50708}
{' No': -10.960115, ' ': -10.001551, ' Yes': -0.00473298, ' yes': -8.952864, 'Yes': -5.400286}
{' No': -10.501311, ' ': -11.08744, ' Yes': -0.00090718997, ' yes': -9.797727, 'Yes': -7.1251917}
{'\n': -10.597583, ' ': -8.983758, ' Yes': -0.005286556, ' yes': -8.992139, 'Yes': -5.302469}
{' ': -9.751529, ' Yes': -0.0036213004, ' yes': -7.7647257, 'Yes': -5.7777224, 'yes': -11.324929}
{' No': -8.99768, ' ': -10.149642, ' Yes': -0.011653436, ' yes': -7.08592, 'Yes': -4.5529323}
{' No': -10.1118965, ' Yes': -0.010387561, ' yes': -9.506491, 'Yes': -4.5845776, 'yes': -12.12674}
{' ': -10.698705, ' Yes': -0.016616216, ' yes': -7.8329763, 'Yes': -4.1336756, 'yes': -10.787444}
{' No': -9.856054, ' ': -11.608069, ' Yes': -0.0049654907, ' yes': -8.465633, 'Yes': -5.3666234}
{' ': -10.516818, ' Yes': -0.022386074, ' yes': -7.828489, 'Yes': -3.8322272, 'yes': -10.181544}
{' ': -10.001367, ' Yes': -0.018574523, ' yes': -6.603402, 'Yes': -4.078929, 'yes': -9.892726}
{' ': -9.702506, ' Yes': -0.002348755, ' yes': -6.9231057, 'Yes': -6.6625834, 'yes': -11.534785}
{' ': -9.294158, ' Yes': -0.007827657, ' yes': -7.1533923, 'Yes': -4.980034, 'yes': -10.415364}
{'\n': -11.702451, ' ': -9.162113, ' Yes': -0.005711305, ' yes': -8.654409, 'Yes': -5.222487}
{' No': -10.105337, ' ': -9.124225, ' Yes': -0.0033806686, ' yes': -7.2477503, 'Yes': -5.9974985}
{'\n': -8.973688, ' ': -7.797425, ' Yes': -0.008721444, ' yes': -7.4743123, 'Yes': -4.8892145}
{'\n': -9.092622, ' ': -7.85996, ' Yes': -0.0138738, ' yes': -5.191688, 'Yes': -4.8852806}
{'\n': -12.306747, ' ': -10.585873, ' Yes': -0.0005738103, ' yes': -9.641556, 'Yes': -7.657387}
{' No': -11.230118, ' ': -9.935266, ' Yes': -0.0028980235, ' yes': -9.474711, 'Yes': -5.897599}
{' No': -9.974772, ' ': -8.899758, ' Yes': -0.003893766, ' yes': -9.535384, 'Yes': -5.628014}
{' No': -8.323257, ' ': -9.796297, ' Yes': -0.0010361812, ' yes': -9.795937, 'Yes': -7.3014913}
{' No': -8.633967, ' ': -7.942452, ' Yes': -0.006544964, ' yes': -9.532491, 'Yes': -5.142602}
{'\n': -11.574329, ' ': -9.631883, ' Yes': -0.001243364, ' yes': -9.103436, 'Yes': -6.859311}
{' No': -0.005172593, ' ': -10.686863, 'No': -5.272112, ' no': -13.744264, ' NO': -13.726889}
{' No': -0.01967657, ' ': -10.070894, 'No': -3.9407713, ' no': -13.07966, ' NO': -12.229886}
{' No': -0.03909432, ' ': -9.185222, 'No': -3.2642488, ' no': -13.2273855, ' NO': -12.0690365}
{' No': -0.007716589, ' ': -10.7249, 'No': -4.8715067, ' no': -13.783422, ' NO': -13.67779}
{' No': -0.03439789, '\n': -12.559953, ' ': -9.158264, 'No': -3.3904366, ' NO': -12.6887455}
{' No': -0.020751107, ' ': -8.788242, 'No': -3.8940113, ' no': -12.01892, ' NO': -12.522779}
{' No': -0.0010739487, '\n': -12.952329, ' ': -10.078146, 'No': -6.882894, ' no': -13.162516}
{' No': -0.0060784225, '\n': -12.24176, ' ': -9.479587, 'No': -5.1204944, ' no': -13.059771}
{' No': -0.0062486865, '\n': -10.846958, ' ': -9.104623, 'No': -5.100853, ' NO': -13.092971}
{' No': -0.0015845473, '\n': -13.119485, ' ': -10.321796, 'No': -6.4720645, ' NO': -13.790733}
{' No': -0.0061263368, '\n': -10.291337, ' ': -8.720235, 'No': -5.1322684, ' no': -12.968572}
{' No': -0.0067393696, '\n': -10.178498, ' ': -8.680596, 'No': -5.0376706, ' no': -11.4251}
{' No': -0.01932296, ' ': -9.323146, 'No': -3.9632163, ' no': -10.563786, ' NO': -11.694274}
{' No': -0.013973465, ' ': -11.531425, 'No': -4.2785187, ' no': -13.454108, ' NO': -13.982648}
{' No': -0.03808336, ' ': -9.413053, 'No': -3.2898457, ' no': -11.676863, ' NO': -12.480524}
{' No': -0.009344007, ' ': -10.497721, 'No': -4.681869, ' no': -12.006069, ' NO': -12.847615}
{' No': -0.05098796, ' ': -9.145207, 'No': -3.004334, 'no': -12.182859, ' no': -11.545686}
{' No': -0.051510524, '\n': -10.609489, ' ': -8.435595, 'No': -2.9989378, ' no': -9.837767}
{' No': -0.0022545399, '\n': -10.690242, ' ': -8.128196, 'No': -6.266426, ' no': -10.505954}
{' No': -0.012564555, '\n': -11.337778, ' ': -7.991702, 'No': -4.4139256, ' no': -11.028243}
{' No': -0.011270883, '\n': -9.96847, ' ': -8.1772785, 'No': -4.5220413, ' no': -12.283366}
{' No': -0.0049906494, '\n': -11.329698, ' ': -8.482591, 'No': -5.3530054, ' no': -10.922964}
{' No': -0.012528281, '\n': -8.74134, ' ': -7.6864347, 'No': -4.4388585, ' no': -11.415779}
{' No': -0.013336474, '\n': -8.367834, ' ': -7.3387074, 'No': -4.4093957, ' no': -8.674597}
{' No': -0.0009411362, '\n': -11.717893, ' ': -9.497313, 'No': -7.065293, ' NO': -13.528324}
{' No': -0.0048724697, '\n': -11.781794, ' ': -8.889384, 'No': -5.358094, ' NO': -12.962186}
{' No': -0.0057955943, '\n': -9.909736, ' ': -8.52136, 'No': -5.1988397, ' NO': -13.109858}
{' No': -0.0015818009, '\n': -12.227915, ' ': -9.253975, 'No': -6.5193386, ' NO': -12.895686}
{' No': -0.007429213, '\n': -9.638246, ' ': -8.075671, 'No': -4.959364, ' NO': -13.033491}
{' No': -0.002129034, '\n': -11.416655, ' ': -9.137255, 'No': -6.212961, ' no': -12.91139}
{' No': -0.004165761, ' ': -11.233977, 'No': -5.487846, ' Yes': -12.261889, ' NO': -13.931889}
{' No': -0.020038145, ' ': -10.193248, 'No': -3.9230473, ' Yes': -11.228886, ' NO': -12.637622}
{' No': -0.039645243, ' ': -9.853961, 'No': -3.2493713, ' Yes': -11.651835, ' NO': -12.381868}
{' No': -0.006959921, ' ': -11.757489, 'No': -4.9733386, ' Yes': -12.084635, ' NO': -13.910972}
{' No': -0.03266627, '\n': -12.891296, ' ': -10.054669, 'No': -3.4408922, ' Yes': -9.945542}
{' No': -0.019217353, ' ': -9.143957, 'No': -3.9966288, ' Yes': -7.5586286, 'Yes': -11.959634}
{' No': -0.0008410892, ' ': -10.358722, 'No': -7.4260516, ' Yes': -8.476892, ' no': -13.208444}
{' No': -0.005238981, '\n': -13.024765, ' ': -9.8249445, 'No': -5.2989554, ' Yes': -8.704135}
{' No': -0.0048794765, '\n': -11.088425, ' ': -9.190475, 'No': -5.3768525, ' Yes': -9.013519}
{' No': -0.0012012316, ' ': -10.465421, 'No': -6.7953334, ' Yes': -9.917333, ' NO': -13.704895}
{' No': -0.0065050083, '\n': -10.820045, ' ': -8.863606, 'No': -5.073739, ' Yes': -9.748093}
{' No': -0.0067786775, '\n': -10.157518, ' ': -8.606656, 'No': -5.219417, ' Yes': -6.812881}
{' No': -0.014804117, ' ': -10.142741, 'No': -4.233321, ' Yes': -9.020232, ' no': -10.869484}
{' No': -0.014376886, ' ': -11.984648, 'No': -4.2512393, ' Yes': -10.986295, ' no': -13.12724}
{' No': -0.01644612, ' ': -10.218848, 'No': -4.1905317, ' Yes': -6.81099, 'Yes': -10.791783}
{' No': -0.0054529696, ' ': -11.236998, 'No': -5.2640014, ' Yes': -8.333122, ' no': -12.238275}
{' No': -0.041628946, ' ': -9.378659, 'No': -3.344197, ' Yes': -5.2511683, 'Yes': -8.935657}
{' No': -0.042456858, ' ': -8.973617, 'No': -3.5485659, ' Yes': -4.3961287, 'Yes': -8.462892}
{' No': -0.0014116121, ' ': -8.978308, 'No': -6.821447, ' Yes': -8.826634, ' no': -10.241167}
{' No': -0.0071481653, ' ': -9.108628, 'No': -4.970048, ' Yes': -10.014342, ' no': -11.083969}
{' No': -0.0069884914, '\n': -10.567032, ' ': -8.269001, 'No': -5.0210495, ' Yes': -9.517929}
{' No': -0.0027074674, ' ': -9.13932, 'No': -5.971989, ' Yes': -10.75077, ' no': -10.99748}
{' No': -0.008782053, '\n': -9.705251, ' ': -8.175992, 'No': -4.7824693, ' Yes': -11.257147}
{' No': -0.010314207, ' ': -7.532464, 'No': -4.6867495, ' Yes': -8.672725, ' no': -8.388207}
{' No': -0.00064740895, '\n': -11.966746, ' ': -9.684143, 'No': -7.531794, ' Yes': -10.1415205}
{' No': -0.0042145466, '\n': -12.250265, ' ': -9.234789, 'No': -5.509204, ' Yes': -9.9539995}
{' No': -0.00633884, '\n': -9.688523, ' ': -8.323556, 'No': -5.1313443, ' Yes': -9.242544}
{' No': -0.0009627327, '\n': -13.0477915, ' ': -9.690635, 'No': -7.0450926, ' Yes': -10.684331}
{' No': -0.007430414, '\n': -9.677485, ' ': -8.174134, 'No': -4.9691973, ' Yes': -9.178903}
{' No': -0.0021795707, '\n': -11.2265625, ' ': -8.781638, 'No': -6.296901, ' Yes': -8.71639}
{' YES': -11.827345, ' ': -12.000004, ' Yes': -0.0039980076, ' yes': -10.06805, 'Yes': -5.5387936}
{' YES': -11.026539, ' ': -11.228434, ' Yes': -0.014391457, ' yes': -9.161509, 'Yes': -4.258549}
{' YES': -10.921014, ' Yes': -0.02610755, ' yes': -9.158425, 'Yes': -3.6644816, 'yes': -11.135125}
{' YES': -12.087733, ' ': -12.64412, ' Yes': -0.005865261, ' yes': -10.207167, 'Yes': -5.1499424}
{' ': -11.267628, ' Yes': -0.018983629, ' yes': -9.52212, 'Yes': -3.9794877, 'yes': -11.216668}
{' YES': -11.564706, ' ': -10.7101555, ' Yes': -0.009991103, ' yes': -8.79652, 'Yes': -4.6306915}
{' YES': -11.628033, ' ': -11.4077215, ' Yes': -0.001122998, ' yes': -9.074407, 'Yes': -6.924338}
{' YES': -11.415355, ' ': -10.651534, ' Yes': -0.006762834, ' yes': -9.150275, 'Yes': -5.022559}
{'\n': -10.606685, ' ': -9.986609, ' Yes': -0.0059029716, ' yes': -9.060714, 'Yes': -5.170837}
{' YES': -11.930467, ' ': -11.777412, ' Yes': -0.0011575487, ' yes': -10.011288, 'Yes': -6.8169723}
{'\n': -10.237863, ' ': -9.313716, ' Yes': -0.007321433, ' yes': -9.319658, 'Yes': -4.9534807}
{'\n': -10.195848, ' ': -9.49013, ' Yes': -0.007041615, ' yes': -7.840076, 'Yes': -5.0412593}
{' YES': -11.132301, ' Yes': -0.011425634, ' yes': -7.7694435, 'Yes': -4.5205503, 'yes': -10.574558}
{' YES': -12.6064415, ' Yes': -0.014752218, ' yes': -9.318541, 'Yes': -4.2311215, 'yes': -11.273999}
{' YES': -11.044044, ' Yes': -0.02213589, ' yes': -8.157168, 'Yes': -3.8377104, 'yes': -10.343203}
{' YES': -11.794633, ' Yes': -0.0072892513, ' yes': -8.664763, 'Yes': -4.9521627, 'yes': -11.422203}
{' ': -10.989537, ' Yes': -0.024070533, ' yes': -8.557727, 'Yes': -3.7495189, 'yes': -10.283375}
{' ': -10.5519495, ' Yes': -0.019652376, ' yes': -6.6759076, 'Yes': -4.013259, 'yes': -9.544688}
{' YES': -10.98185, ' ': -10.000958, ' Yes': -0.0029421374, ' yes': -6.9988003, 'Yes': -6.2441087}
{' ': -9.558275, ' Yes': -0.010806648, ' yes': -7.171533, 'Yes': -4.6216826, 'yes': -9.9913845}
{'\n': -10.982085, ' ': -9.320054, ' Yes': -0.007958192, ' yes': -8.414107, 'Yes': -4.883639}
{' ': -10.107186, ' Yes': -0.004725974, ' yes': -7.375531, 'Yes': -5.5225616, 'yes': -10.50793}
{' ': -8.97011, ' Yes': -0.014026716, ' yes': -8.082947, 'Yes': -4.313162, 'yes': -9.979786}
{' ': -8.407208, ' Yes': -0.015948534, ' yes': -5.353772, 'Yes': -4.548782, 'yes': -8.927726}
{' YES': -11.32606, ' ': -10.654162, ' Yes': -0.00094149384, ' yes': -9.635692, 'Yes': -7.0919757}
{' YES': -11.285817, ' ': -9.981534, ' Yes': -0.0058057862, ' yes': -9.443259, 'Yes': -5.1789927}
{'\n': -10.001569, ' ': -9.7944975, ' Yes': -0.005176248, ' yes': -9.702985, 'Yes': -5.3005977}
{' YES': -11.725778, ' ': -10.871317, ' Yes': -0.0011321864, ' yes': -9.99814, 'Yes': -6.8547044}
{'\n': -10.087633, ' ': -9.178373, ' Yes': -0.008327934, ' yes': -9.717127, 'Yes': -4.818821}
{'\n': -11.400046, ' ': -10.284999, ' Yes': -0.0022971367, ' yes': -9.679596, 'Yes': -6.127852}
{' No': -10.2499, ' ': -12.024075, ' Yes': -0.002114161, ' yes': -9.999277, 'Yes': -6.2040887}
{' No': -9.671416, ' ': -11.146715, ' Yes': -0.009496838, ' yes': -8.97849, 'Yes': -4.6853046}
{' No': -9.451665, ' ': -10.512746, ' Yes': -0.019866493, ' yes': -9.025434, 'Yes': -3.9415848}
{' No': -12.922168, ' ': -12.548288, ' Yes': -0.0033360526, ' yes': -10.006647, 'Yes': -5.7215075}
{' No': -8.906615, ' ': -10.75686, ' Yes': -0.010888657, ' yes': -9.4172735, 'Yes': -4.5494895}
{' No': -10.760412, ' ': -10.724554, ' Yes': -0.0074872826, ' yes': -8.642145, 'Yes': -4.9302435}
{' YES': -12.536987, ' ': -11.450342, ' Yes': -0.00083112734, ' yes': -9.046468, 'Yes': -7.2719183}
{' No': -11.683133, ' ': -10.640204, ' Yes': -0.0058496124, ' yes': -9.169817, 'Yes': -5.170194}
{'\n': -11.480893, ' ': -10.0515175, ' Yes': -0.005110044, ' yes': -9.049444, 'Yes': -5.316565}
{' YES': -12.730722, ' ': -11.412593, ' Yes': -0.0012825159, ' yes': -9.587969, 'Yes': -6.729592}
{' No': -9.897324, ' ': -8.768843, ' Yes': -0.0060843597, ' yes': -9.326138, 'Yes': -5.1601634}
{'\n': -10.298042, ' ': -9.419634, ' Yes': -0.006769075, ' yes': -7.5788608, 'Yes': -5.1029067}
{' No': -8.372929, ' Yes': -0.011143097, ' yes': -7.4733005, 'Yes': -4.585421, 'yes': -10.188149}
{' No': -11.545865, ' Yes': -0.015707629, ' yes': -8.877776, 'Yes': -4.172293, 'yes': -11.144347}
{' ': -11.1712475, ' Yes': -0.018254446, ' yes': -7.7816963, 'Yes': -4.039069, 'yes': -10.343045}
{' ': -11.64649, ' Yes': -0.00689222, ' yes': -8.046184, 'Yes': -5.0342665, 'yes': -11.027381}
{' ': -10.478214, ' Yes': -0.020834055, ' yes': -7.757105, 'Yes': -3.9073544, 'yes': -9.930847}
{' ': -10.11831, ' Yes': -0.020535218, ' yes': -6.343577, 'Yes': -3.9950664, 'yes': -9.281676}
{' ': -10.392975, ' Yes': -0.0019594075, ' yes': -7.310221, 'Yes': -6.693423, 'yes': -11.493574}
{' ': -9.669428, ' Yes': -0.009327584, ' yes': -7.4108753, 'Yes': -4.760571, 'yes': -10.318127}
{' ': -9.243134, ' Yes': -0.008770447, ' yes': -8.328157, 'Yes': -4.7848377, 'yes': -11.067839}
{' ': -9.507817, ' Yes': -0.004799878, ' yes': -7.2093325, 'Yes': -5.543084, 'yes': -10.242288}
{'\n': -9.78811, ' ': -8.151147, ' Yes': -0.008383891, ' yes': -7.9915824, 'Yes': -4.8819456}
{' ': -8.119099, ' Yes': -0.015137551, ' yes': -5.327124, 'Yes': -4.6446524, 'yes': -8.852441}
{'\n': -12.270758, ' ': -10.65877, ' Yes': -0.0008246844, ' yes': -9.517927, 'Yes': -7.2407436}
{' No': -10.93315, ' ': -9.836629, ' Yes': -0.0049506356, ' yes': -9.487485, 'Yes': -5.343364}
{'\n': -9.922581, ' ': -9.068904, ' Yes': -0.0053524724, ' yes': -9.447015, 'Yes': -5.285418}
{' No': -10.584004, ' ': -9.908592, ' Yes': -0.0011856547, ' yes': -9.490743, 'Yes': -6.881953}
{' No': -8.381312, '\n': -9.44596, ' ': -7.9327936, ' Yes': -0.0067687146, 'Yes': -5.1166873}
{'\n': -10.751114, ' ': -9.585212, ' Yes': -0.0019165318, ' yes': -8.962111, 'Yes': -6.385261}
{' No': -0.0064870096, ' ': -10.539653, 'No': -5.0461574, ' no': -13.289409, ' NO': -13.467811}
{' No': -0.021904534, ' ': -10.375938, 'No': -3.8339944, ' no': -12.429313, ' NO': -12.252805}
{' No': -0.04010864, ' ': -9.482852, 'No': -3.2385051, ' no': -12.547292, ' NO': -12.040159}
{' No': -0.007908204, ' ': -11.197461, 'No': -4.84602, ' no': -13.4539175, ' NO': -13.79}
{' No': -0.036164235, '\n': -12.558664, ' ': -9.660281, 'No': -3.3400183, ' no': -12.511753}
{' No': -0.022890104, ' x': -12.390965, ' ': -9.311997, 'No': -3.7938728, ' no': -11.520248}
{' No': -0.0015206101, '\n': -12.340343, ' ': -9.864225, 'No': -6.532467, ' no': -12.294195}
{' No': -0.009492686, '\n': -12.045249, ' ': -9.374428, 'No': -4.6726146, ' no': -12.560164}
{' No': -0.008431136, '\n': -10.170445, ' ': -9.044957, 'No': -4.800291, ' no': -12.439848}
{' No': -0.0029020887, '\n': -12.429464, ' ': -10.187531, 'No': -5.859807, ' no': -13.297853}
{' No': -0.009539563, '\n': -9.973235, ' ': -8.49812, 'No': -4.6852026, ' no': -12.401909}
{' No': -0.013108049, '\n': -9.155496, ' ': -8.471123, 'No': -4.368203, ' no': -10.866245}
{' No': -0.026783824, ' ': -9.403949, 'No': -3.6390905, ' no': -10.104301, ' NO': -11.5176}
{' No': -0.03885182, ' ': -10.889359, 'No': -3.2683053, 'no': -12.393057, ' no': -11.703336}
{' No': -0.065714546, '\n': -11.1959, ' ': -9.108791, 'No': -2.757819, ' no': -10.8416395}
{' No': -0.012634936, ' ': -10.087461, 'No': -4.383368, ' no': -10.850817, ' NO': -12.359948}
{' No': -0.070291944, '\n': -10.845989, ' ': -8.906217, 'No': -2.6932433, ' no': -10.622663}
{' No': -0.059082836, ' x': -9.407303, ' ': -8.4130945, 'No': -2.8704975, ' no': -8.405522}
{' No': -0.0021664868, '\n': -10.866659, ' ': -8.628577, 'No': -6.249204, ' no': -10.502376}
{' No': -0.018308898, '\n': -11.085128, ' ': -8.348244, 'No': -4.026045, ' no': -10.394949}
{' No': -0.01807521, '\n': -9.4576845, ' ': -8.136682, 'No': -4.0444765, ' no': -11.537143}
{' No': -0.008844287, '\n': -10.464997, ' ': -8.20964, 'No': -4.7742724, ' no': -10.016714}
{' No': -0.014974421, '\n': -9.050613, ' ': -7.8907585, 'No': -4.2448387, ' no': -10.866057}
{' No': -0.019570073, '\n': -8.220311, ' ': -7.510478, 'No': -4.0051236, ' no': -8.103137}
{' No': -0.0012865708, '\n': -11.177478, ' ': -9.330895, 'No': -6.7443547, ' no': -12.820921}
{' No': -0.009048226, '\n': -11.481001, ' ': -8.877946, 'No': -4.7274585, ' NO': -12.660408}
{' No': -0.011258706, '\n': -8.8161745, ' ': -8.0635805, 'No': -4.5358295, ' NO': -12.4785185}
{' No': -0.002587524, '\n': -11.461591, ' ': -9.145614, 'No': -6.007703, ' no': -12.801245}
{' No': -0.009840605, '\n': -9.31851, ' ': -7.9881477, 'No': -4.6720185, ' no': -12.738117}
{' No': -0.0040440876, '\n': -10.240831, ' ': -8.616653, 'No': -5.571541, ' no': -11.622059}
{' No': -0.020377409, ' ': -10.383874, 'No': -5.3069754, ' Yes': -4.1917562, 'Yes': -9.722976}
{' No': -0.026163163, ' ': -9.975754, 'No': -3.7705023, ' Yes': -5.9205437, 'Yes': -10.0097065}
{' No': -0.03581933, ' ': -9.680079, 'No': -3.396804, ' Yes': -6.4425645, 'Yes': -10.077214}
{' No': -0.0080218185, ' ': -11.131056, 'No': -5.0300856, ' Yes': -6.552869, 'Yes': -11.66932}
{' No': -0.187845, ' ': -8.932687, 'No': -3.5968664, ' Yes': -1.9552476, 'Yes': -6.141912}
{' No': -0.58091754, ' ': -8.450014, 'No': -4.3304005, ' Yes': -0.85881263, 'Yes': -5.6637397}
{' No': -1.668665, ' ': -9.213053, 'No': -8.548332, ' Yes': -0.21024925, 'Yes': -7.2392163}
{' No': -0.68127733, ' ': -8.718989, 'No': -5.355031, ' Yes': -0.72146904, 'Yes': -5.798293}
{' No': -2.9117906, ' ': -8.724247, 'No': -7.782031, ' Yes': -0.061954245, 'Yes': -5.3019733}
{' No': -0.049636547, ' ': -9.611386, 'No': -6.597408, ' Yes': -3.0594976, 'Yes': -9.508595}
{' No': -0.99477017, ' ': -7.343769, 'No': -5.8846993, ' Yes': -0.47331443, 'Yes': -5.6144123}
{' No': -3.4504275, 'No': -7.9276614, ' Yes': -0.039165355, ' yes': -7.8088927, 'Yes': -5.1830688}
{' No': -0.05642015, ' ': -9.209601, 'No': -3.8818786, ' Yes': -3.391732, 'Yes': -7.7372656}
{' No': -0.04147573, ' ': -10.734552, 'No': -3.9292092, ' Yes': -3.8815844, 'Yes': -8.048826}
{' No': -0.6477264, 'No': -4.306038, ' Yes': -0.78784406, ' yes': -8.552616, 'Yes': -4.8178043}
{' No': -1.2754064, 'No': -5.900558, ' Yes': -0.33823064, ' yes': -8.63785, 'Yes': -5.3685074}
{' No': -4.4103293, 'No': -7.3325095, ' Yes': -0.03403281, ' yes': -7.7859263, 'Yes': -3.9081187}
{' No': -4.0163555, 'No': -7.097444, ' Yes': -0.034555458, ' yes': -6.7529273, 'Yes': -4.2868843}
{' No': -0.3460023, ' ': -7.6712527, 'No': -7.019641, ' Yes': -1.2361103, 'Yes': -7.9038744}
{' No': -0.14139785, ' ': -7.8543816, 'No': -4.3341217, ' Yes': -2.146317, 'Yes': -6.617501}
{' No': -0.31311363, ' ': -7.0451303, 'No': -5.0720134, ' Yes': -1.349006, 'Yes': -6.2065134}
{' No': -0.020090628, ' ': -8.105364, 'No': -5.268996, ' Yes': -4.2460866, 'Yes': -9.432409}
{' No': -0.04445914, ' ': -7.1872125, 'No': -4.5317254, ' Yes': -3.456288, 'Yes': -8.054949}
{' No': -0.37028548, ' ': -6.414615, 'No': -4.743777, ' Yes': -1.2188134, 'Yes': -6.032196}
{' No': -0.6721739, ' ': -8.197825, 'No': -7.7068434, ' Yes': -0.7170616, 'Yes': -7.793086}
{' No': -0.17078775, ' ': -8.245462, 'No': -5.2991333, ' Yes': -1.8908653, 'Yes': -7.172832}
{' No': -1.1467314, ' ': -6.9265122, 'No': -6.0042005, ' Yes': -0.39416984, 'Yes': -5.451167}
{' No': -0.013612744, ' ': -8.874643, 'No': -6.9046454, ' Yes': -4.3940754, 'Yes': -10.950533}
{' No': -1.3365679, ' ': -6.7195797, 'No': -6.0277276, ' Yes': -0.31734368, 'Yes': -5.2522}
{' No': -2.9974627, ' ': -7.974344, 'No': -8.759142, ' Yes': -0.053775378, 'Yes': -6.326104}
{' YES': -12.811584, ' ': -11.926251, ' Yes': -0.0034667943, ' yes': -10.017079, 'Yes': -5.682755}
{' ': -11.315352, ' Yes': -0.012732064, ' yes': -9.028519, 'Yes': -4.3820653, 'yes': -11.590075}
{' ': -11.296246, ' Yes': -0.016941646, ' yes': -9.027233, 'Yes': -4.095759, 'yes': -11.379064}
{' YES': -12.786056, ' ': -12.484698, ' Yes': -0.0043726997, ' yes': -10.33643, 'Yes': -5.444108}
{' ': -11.232909, ' Yes': -0.013210054, ' yes': -9.52564, 'Yes': -4.3414207, 'yes': -11.324826}
{' ': -10.73173, ' Yes': -0.0098778065, ' yes': -9.024173, 'Yes': -4.6386943, 'yes': -11.711079}
{' YES': -12.298069, ' ': -11.263302, ' Yes': -0.0012938529, ' yes': -9.425774, 'Yes': -6.733341}
{' ': -10.408645, ' Yes': -0.007992858, ' yes': -9.220506, 'Yes': -4.8521204, 'yes': -11.796452}
{'\n': -10.831408, ' ': -10.257656, ' Yes': -0.006180555, ' yes': -9.118776, 'Yes': -5.1187997}
{' YES': -12.660398, ' ': -11.83252, ' Yes': -0.0011171491, ' yes': -10.023487, 'Yes': -6.8504305}
{'\n': -10.064649, ' ': -9.427034, ' Yes': -0.0074439854, ' yes': -9.314115, 'Yes': -4.935617}
{'\n': -10.290763, ' ': -9.528491, ' Yes': -0.009252204, ' yes': -7.9596357, 'Yes': -4.7428546}
{' ': -10.752858, ' Yes': -0.013435786, ' yes': -7.921578, 'Yes': -4.349285, 'yes': -10.39274}
{' YES': -12.726605, ' Yes': -0.016835682, ' yes': -9.2924795, 'Yes': -4.09941, 'yes': -11.12103}
{' ': -10.847711, ' Yes': -0.027760554, ' yes': -7.8024797, 'Yes': -3.6165211, 'yes': -9.803581}
{' YES': -11.924215, ' Yes': -0.009710175, ' yes': -8.408304, 'Yes': -4.6659274, 'yes': -11.033567}
{' ': -10.485337, ' Yes': -0.027260803, ' yes': -8.243766, 'Yes': -3.6294122, 'yes': -9.825303}
{' ': -9.866415, ' Yes': -0.024205416, ' yes': -6.8348284, 'Yes': -3.7873867, 'yes': -9.284548}
{' ': -9.997467, ' Yes': -0.0026742993, ' yes': -7.549724, 'Yes': -6.178337, 'yes': -11.444768}
{' ': -9.348222, ' Yes': -0.015216102, ' yes': -7.4261026, 'Yes': -4.244336, 'yes': -9.976241}
{'\n': -10.476576, ' ': -9.439068, ' Yes': -0.009188076, ' yes': -8.492163, 'Yes': -4.7320485}
{' ': -9.766595, ' Yes': -0.0066757626, ' yes': -7.53529, 'Yes': -5.1149635, 'yes': -10.290367}
{'\n': -9.945845, ' ': -8.906204, ' Yes': -0.012850331, ' yes': -8.353596, 'Yes': -4.397661}
{'\n': -9.01963, ' ': -8.677732, ' Yes': -0.016422305, ' yes': -5.984144, 'Yes': -4.3160133}
{'\n': -11.552344, ' ': -10.561698, ' Yes': -0.0011269355, ' yes': -9.875199, 'Yes': -6.876151}
{' YES': -11.646225, ' ': -10.195392, ' Yes': -0.0064731524, ' yes': -9.514831, 'Yes': -5.0640993}
{'\n': -10.097855, ' ': -9.926289, ' Yes': -0.0059993905, ' yes': -9.406265, 'Yes': -5.1505094}
{' YES': -12.2958145, ' ': -10.572398, ' Yes': -0.001287288, ' yes': -9.960133, 'Yes': -6.7223964}
{'\n': -10.306223, ' ': -9.348719, ' Yes': -0.0086192945, ' yes': -9.683939, 'Yes': -4.7809234}
{'\n': -11.1826315, ' ': -10.215001, ' Yes': -0.0023612399, ' yes': -9.734064, 'Yes': -6.0995216}
{' No': -11.567403, ' ': -12.3128605, ' Yes': -0.0018982564, ' yes': -10.168999, 'Yes': -6.2976437}
{' No': -11.017335, ' ': -11.1126585, ' Yes': -0.008212306, ' yes': -9.114892, 'Yes': -4.825469}
{' No': -10.473179, ' ': -10.698463, ' Yes': -0.018623464, ' yes': -9.027073, 'Yes': -4.003025}
{' No': -12.193022, ' ': -12.093211, ' Yes': -0.0031216163, ' yes': -9.950059, 'Yes': -5.791278}
{' No': -10.577166, ' ': -10.936098, ' Yes': -0.00923584, ' yes': -9.290586, 'Yes': -4.705839}
{' No': -10.807736, ' ': -10.542487, ' Yes': -0.0067742956, ' yes': -8.4530325, 'Yes': -5.0397787}
{' YES': -12.598674, ' ': -11.365343, ' Yes': -0.0008863669, ' yes': -9.122296, 'Yes': -7.185115}
{' ': -10.618754, ' Yes': -0.005065353, ' yes': -9.173064, 'Yes': -5.316547, 'yes': -12.007813}
{'\n': -11.442247, ' ': -9.943652, ' Yes': -0.00495453, ' yes': -9.100888, 'Yes': -5.3474593}
{' YES': -12.841062, ' ': -11.501856, ' Yes': -0.0011142864, ' yes': -9.690325, 'Yes': -6.872127}
