{' Yes': -0.002734724, 'Yes': -5.9330664, ' yes': -10.151877, '\n': -11.201728, ' YES': -11.638396}
{' Yes': -0.62866354, ' No': -0.7822089, ' Lose': -5.8440013, 'Yes': -6.4140825, ' Nope': -6.4394007}
{' Yes': -0.0019038112, 'Yes': -6.68467, ' Here': -8.184233, ' Sure': -8.525719, ' Yep': -9.6462755}
{' Yes': -0.001645384, 'Yes': -6.8378954, ' Here': -7.846373, ' Sure': -8.938914, ' Yep': -11.140699}
{' Yes': -0.0016893861, 'Yes': -6.4091253, ' yes': -10.700686, ' YES': -11.374784, ' ': -13.118393}
{' Yes': -0.0075775464, 'Yes': -5.1306357, ' Sick': -6.9051757, ' yes': -8.590971, ' No': -8.793763}
{' Yes': -0.02217087, ' Dirt': -4.1735797, 'Yes': -5.2073555, ' Dirty': -7.9000955, ' yes': -8.915034}
{' Yes': -0.0056681456, ' No': -5.5871725, 'Yes': -6.313494, ' yes': -10.763775, 'No': -10.828522}
{' Yes': -0.0027740505, 'Yes': -6.166575, ' Tears': -7.8988004, ' yes': -9.628721, ' Sure': -9.794952}
{' Yes': -0.004485554, 'Yes': -6.0736704, ' Tears': -6.761705, ' yes': -8.572158, ' Te': -8.780423}
{' No': -0.0060878973, 'No': -5.1572204, ' Nope': -8.103255, ' NO': -13.010722, ' Yes': -13.142151}
{' Yes': -0.0016438306, 'Yes': -6.504781, ' No': -9.326692, ' Sure': -10.932385, ' yes': -11.337751}
{' Rain': -0.6092719, ' Yes': -0.9087371, ' Train': -4.055219, 'Rain': -4.166431, ' Brain': -4.686224}
{' Yes': -0.10503884, ' Rain': -2.7174635, ' No': -4.7015085, ' Brain': -5.1249, ' Sure': -5.2814016}
{' Yes': -0.0014118515, 'Yes': -6.8805885, ' No': -8.050625, ' Sure': -10.213907, ' yes': -11.239494}
{' Yes': -0.0032936549, ' No': -6.2915072, 'Yes': -6.7066283, ' Sure': -8.764949, ' Nope': -11.387486}
{' Yes': -0.010460983, ' Sure': -4.8048296, 'Yes': -6.6562147, ' Absolutely': -7.533706, ' Definitely': -8.480201}
{' Yes': -0.008674966, ' Sure': -5.1256204, 'Yes': -6.650839, ' No': -7.2584515, ' Absolutely': -8.796966}
{' Yes': -0.0016983417, 'Yes': -6.6337323, ' yes': -9.348249, ' Kill': -9.645093, ' No': -9.864436}
{' Yes': -0.009300993, ' No': -4.86831, 'Yes': -6.5265718, ' yes': -10.28596, 'No': -10.434666}
{' Yes': -0.06252172, ' No': -2.8243852, 'Yes': -6.878634, 'No': -8.770129, ' Nope': -9.944801}
{' Yes': -0.01876059, ' No': -4.4378185, ' Thin': -5.9358497, 'Yes': -5.974893, ' Nope': -7.141744}
{' No': -0.6609762, ' Yes': -0.7387293, 'No': -6.2113047, ' Tail': -6.3008113, 'Yes': -6.977733}
{' Yes': -0.110046014, ' No': -2.8725655, ' Tail': -3.1843674, 'Yes': -5.887244, ' Trail': -6.9348736}
{' Yes': -0.004207421, 'Yes': -5.761577, ' Land': -7.201621, ' yes': -8.791094, ' No': -10.792556}
{' Yes': -0.032176618, ' Land': -4.212253, 'Yes': -5.03153, ' Island': -5.722175, ' No': -6.2791457}
{' Yes': -0.031293068, ' Feel': -3.5602043, 'Yes': -6.5106235, ' yes': -8.657562, ' F': -8.883906}
{' Yes': -0.25716013, ' Feel': -1.5781039, ' F': -4.57672, 'Yes': -6.268146, ' Fee': -6.301898}
{' Yes': -0.0022562123, 'Yes': -6.229419, ' Loud': -9.723515, ' Yep': -9.879363, ' Yeah': -10.010822}
{' Yes': -0.042441063, ' Loud': -3.357352, ' No': -5.8942738, 'Yes': -5.963892, ' Yeah': -8.215787}
{' Yes': -0.00287973, 'Yes': -6.2834177, ' Sure': -6.9997954, ' Star': -9.906966, ' yes': -10.695024}
{' Yes': -0.0027389654, 'Yes': -6.2267737, ' Sure': -7.401525, ' Star': -9.609761, ' yes': -10.324547}
{' Yes': -0.0063005714, 'Yes': -5.3342633, ' Card': -6.740549, ' yes': -8.723749, ' YES': -10.165301}
{' Yes': -0.0016632335, 'Yes': -6.440983, ' yes': -10.052216, ' YES': -12.085545, ' Sure': -12.391185}
{' Yes': -0.34746125, ' Deer': -1.2437779, ' Dear': -6.275172, 'Yes': -6.2926545, ' De': -7.7691064}
{' Deer': -0.33563462, ' Yes': -1.2936863, ' De': -5.454315, ' Dear': -6.04755, ' deer': -6.596606}
{' Yes': -0.012092239, ' Look': -4.8079753, 'Yes': -5.879472, ' No': -7.162877, ' yes': -9.523606}
{' Yes': -0.003194444, 'Yes': -6.0133333, ' No': -8.108102, ' Look': -8.294736, ' Yep': -9.825446}
{' Yes': -0.01009249, ' No': -4.7709317, 'Yes': -6.5607605, ' Sure': -10.014288, ' yes': -10.309034}
{' Yes': -0.009918742, ' Gl': -5.118876, 'Yes': -6.1871715, ' No': -6.7874584, ' Sure': -8.716869}
{' Yes': -0.0013844551, 'Yes': -6.6143165, ' No': -11.270503, ' yes': -11.415422, ' Sure': -11.511042}
{' Yes': -0.022214932, ' Less': -4.0536785, 'Yes': -5.8416862, ' No': -7.00365, 'Less': -8.219808}
{' Yes': -0.0031458344, 'Yes': -5.8474708, ' No': -8.794077, ' Sure': -10.131787, ' yes': -10.43034}
{' Yes': -0.0034068052, 'Yes': -6.056635, ' Sure': -7.6410556, ' No': -7.993171, ' yes': -9.828842}
{' Yes': -0.0009584374, 'Yes': -7.151577, ' No': -9.040952, ' Sure': -9.949074, ' yes': -12.589788}
{' Yes': -0.0038135857, 'Yes': -6.2802, ' Sure': -6.3372083, ' Sh': -10.184622, ' Shoes': -10.20327}
{' Exit': -0.3806778, ' Yes': -1.1835096, ' No': -5.141296, 'Exit': -6.0366306, 'Yes': -6.5773983}
{' Yes': -0.2733258, ' Exit': -1.5906018, ' No': -3.437764, 'Yes': -6.184258, 'Exit': -7.354899}
{' Yes': -0.004915414, 'Yes': -5.9270062, ' Lion': -6.167827, ' No': -9.954443, ' yes': -10.104921}
{' Yes': -0.0029559494, 'Yes': -6.3027253, ' No': -7.0143805, ' Lion': -8.756692, ' yes': -10.507719}
{' Yes': -0.035012517, ' Roof': -3.51069, 'Yes': -5.497747, ' yes': -8.777285, ' No': -9.199581}
{' Roof': -0.1489825, ' Yes': -2.0131145, ' roof': -6.9307857, ' No': -7.2053432, ' Ro': -7.2433805}
{' Want': -0.09969313, ' Yes': -2.475557, 'Want': -5.223417, ' Wanted': -6.1308703, ' W': -7.0268073}
{' Want': -0.5026398, ' Yes': -0.967306, ' Wanted': -5.3833637, 'Want': -5.6369596, ' W': -6.361781}
{' Yes': -0.002030302, 'Yes': -6.4239087, ' Wind': -8.067468, ' yes': -10.130702, ' Yep': -11.141093}
{' Yes': -0.0034181685, 'Yes': -6.054953, ' Wind': -7.1915126, ' Window': -9.160849, ' No': -9.234539}
{' Yes': -0.0008567187, 'Yes': -7.1132703, ' No': -10.920602, ' yes': -11.191786, ' YES': -12.423111}
{' Yes': -0.003646726, 'Yes': -6.0047317, ' No': -7.703548, ' Foot': -8.4243355, ' yes': -9.008466}
{' Yes': -0.55935687, ' No': -1.5424806, ' Hate': -1.5605717, 'Yes': -6.438072, ' Nope': -6.955496}
{' No': -0.23349284, ' Yes': -1.6291685, ' Hate': -5.027901, 'No': -5.9458184, ' Nope': -6.147809}
{' No': -0.392993, ' Yes': -1.1315373, 'No': -6.335259, 'Yes': -7.5067315, ' Nope': -9.413053}
{' Yes': -0.0033490313, 'Yes': -5.8453364, ' Slow': -8.926422, ' yes': -9.178927, ' YES': -9.745247}
{' Yes': -0.011600974, ' Ring': -5.0222325, 'Yes': -5.8548203, ' No': -7.262353, ' Bing': -7.8738146}
{' Yes': -0.0033688855, 'Yes': -6.5019474, ' No': -7.0239053, ' Ring': -7.442693, ' yes': -9.428636}
{' Yes': -0.00096046674, 'Yes': -7.0500097, ' yes': -10.121412, ' Bear': -10.82488, ' Sure': -11.659238}
{' Yes': -0.054201283, ' Bear': -3.0281277, 'Yes': -6.0267525, ' Bears': -7.7055926, ' Beer': -8.148173}
{' Yes': -0.0019792365, 'Yes': -6.443507, ' Self': -8.776566, ' YES': -9.101482, ' yes': -10.561956}
{' Yes': -0.0032796594, ' No': -6.211667, 'Yes': -6.712151, ' YES': -10.882394, ' yes': -11.20482}
{' Yes': -0.0044923206, 'Yes': -5.521878, ' yes': -8.345279, ' YES': -9.495621, ' No': -10.5674095}
{' Yes': -0.0039281715, 'Yes': -5.599625, ' yes': -9.401734, ' No': -9.813373, ' YES': -10.517059}
{' Yes': -0.02042486, ' Skin': -4.664111, 'Yes': -4.957261, ' Ski': -6.5616283, ' Sk': -6.730647}
{' Yes': -0.023311896, ' No': -4.264946, 'Yes': -5.009674, ' Skin': -6.918622, ' Ski': -7.9656577}
{' Yes': -0.0041306294, 'Yes': -5.8897634, ' So': -7.2712145, ' No': -7.81981, ' Yep': -9.310672}
{' Yes': -0.0075270385, 'Yes': -5.259358, ' So': -6.6557236, ' Yep': -7.9900403, ' No': -8.598311}
{' Yes': -0.001346254, 'Yes': -6.640325, ' Sure': -10.833379, ' yes': -11.758449, ' Yep': -12.27238}
{' Yes': -0.003829143, 'Yes': -5.933039, ' Che': -7.11147, ' Sure': -9.138774, ' Yep': -9.611657}
{' Yes': -0.0366169, ' No': -3.4153094, 'Yes': -6.0633736, 'No': -8.450402, ' Male': -8.660748}
{' Yes': -0.25833225, ' Male': -1.7192794, ' No': -4.5362387, ' Mail': -5.1944447, ' Mal': -5.2748976}
{' Yes': -0.003370321, 'Yes': -6.319902, ' No': -6.607034, ' Sure': -8.942419, ' Absolutely': -10.972641}
{' Yes': -0.011871758, ' No': -4.7693563, 'Yes': -6.1077237, ' Done': -7.795786, ' Nope': -7.887167}
{' Yes': -0.0029988128, 'Yes': -5.989353, ' Bike': -8.224211, ' yes': -9.906641, ' Bicycle': -9.988471}
{' Yes': -0.007457859, ' No': -5.7381477, 'Yes': -6.174284, ' Bike': -6.5009365, ' Sure': -8.524868}
{' Yes': -0.15813796, ' Dead': -2.3506753, ' De': -3.9790566, ' No': -5.073934, ' Dread': -5.228661}
{' Yes': -0.018291539, ' No': -4.5890923, ' Dead': -5.539921, 'Yes': -6.0118237, ' De': -8.19062}
{' Yes': -0.0016586959, 'Yes': -6.4917517, ' yes': -9.804713, ' Sure': -10.005336, ' YES': -11.298809}
{' Yes': -0.013394707, ' Cave': -4.6507826, 'Yes': -5.829244, ' Sure': -8.597085, ' No': -8.959417}
{' Yes': -0.0054020286, 'Yes': -5.662077, ' Moon': -6.908764, ' No': -7.375412, ' yes': -8.975222}
{' Yes': -0.055976246, ' No': -3.042138, 'Yes': -5.5113463, ' Moon': -7.256367, 'No': -7.581135}
{' Yes': -0.20136057, ' Pain': -2.431854, ' Plain': -3.0241485, ' No': -3.9652612, ' Paint': -5.1216073}
{' Yes': -0.012849971, ' No': -4.659588, 'Yes': -5.9408646, ' Nope': -8.605044, 'No': -9.630165}
{' Yes': -0.0046922574, ' No': -5.8101954, 'Yes': -6.4212704, ' yes': -10.783718, ' Plus': -10.80245}
{' Yes': -0.031100415, ' Plus': -3.5713758, 'Yes': -6.17155, ' No': -8.431617, ' Pl': -9.670593}
{' Area': -0.66507757, ' Yes': -0.78352976, ' Arena': -4.0031133, ' Sure': -5.850008, 'Yes': -6.14616}
{' Yes': -0.31451416, ' Area': -1.4290562, ' Arena': -4.285629, ' Sure': -4.957437, 'Yes': -6.0470443}
{' Yes': -0.01696438, ' Dive': -4.393744, 'Yes': -5.5595703, ' yes': -8.963636, ' Sure': -9.050407}
{' Dive': -0.22824524, ' Yes': -1.6988416, ' Divide': -5.2750626, ' D': -5.334023, ' Diver': -5.6998854}
{' Yes': -0.00086053705, 'Yes': -7.196602, ' Sure': -9.937011, ' Hear': -10.103795, ' yes': -11.93794}
{' Yes': -0.09677656, ' Hear': -2.4266315, 'Yes': -6.2703676, ' Yeah': -7.5786543, ' Hearth': -8.203183}
{' Yes': -0.03956283, ' Bush': -3.3265023, 'Yes': -6.027584, ' Sure': -9.08382, 'Bush': -9.164438}
{' Bush': -0.0884902, ' Yes': -2.6400058, ' Brush': -5.182921, 'Bush': -5.297656, ' Bus': -7.321464}
{' Yes': -0.003560584, ' No': -6.3554373, 'Yes': -6.815879, ' Near': -7.879937, ' yes': -9.068396}
{' Yes': -0.024403894, ' No': -3.8669598, ' Near': -6.4842057, 'Yes': -7.0022383, ' Nope': -8.685775}
{' Mile': -0.64646596, ' Yes': -0.7943465, ' No': -4.5971875, ' Miles': -5.37995, ' M': -6.1601496}
{' Yes': -0.17329012, ' Mile': -2.0737913, ' No': -3.684921, 'Yes': -5.8948855, ' Miles': -6.239658}
{' Yes': -0.08264551, ' Navy': -2.771946, ' No': -4.550144, 'Yes': -5.554182, ' Nope': -7.254115}
{' Yes': -0.005810043, 'Yes': -5.472967, ' No': -7.2939167, ' Navy': -8.385184, ' yes': -8.476259}
{' No': -0.36206278, ' Yes': -1.2404865, ' Nope': -5.2031536, 'No': -5.273514, ' Sure': -6.25785}
{' No': -0.04936698, ' Yes': -3.6567926, ' Okay': -4.28534, 'No': -5.385953, ' Nope': -5.819506}
{' Yes': -0.0015263426, 'Yes': -6.8003335, ' No': -8.067474, ' Sure': -10.044015, ' yes': -11.306742}
{' Yes': -0.003737361, 'Yes': -6.5018177, ' No': -6.5202923, ' Math': -7.8201065, ' Maybe': -9.249241}
{' Yes': -0.029534591, ' Beef': -3.868251, ' No': -5.454629, 'Yes': -5.886834, ' Bee': -7.1420565}
{' Yes': -0.22281896, ' No': -1.6394467, ' Bee': -6.2633996, 'Yes': -6.5992208, ' Beef': -6.786158}
{' Yes': -0.0022431305, 'Yes': -6.1185336, ' yes': -10.594755, ' YES': -12.516103, 'yes': -12.999223}
{' Yes': -0.016379468, ' No': -4.364156, 'Yes': -5.791999, ' Milk': -8.161733, 'No': -9.341932}
{' Yes': -0.005926774, 'Yes': -5.254515, ' Bass': -7.652664, ' yes': -9.42532, ' YES': -10.189262}
{' Yes': -0.01611879, 'Yes': -4.7581706, ' Bass': -4.97714, ' yes': -8.940628, ' No': -8.943384}
{' Yes': -0.0052738534, 'Yes': -5.908802, ' Bird': -6.12743, ' yes': -9.0911875, ' Word': -10.037836}
{' Yes': -0.06995642, ' Bird': -2.8282628, 'Yes': -5.274754, ' No': -7.394947, ' B': -7.435222}
{' Yes': -0.0054272613, 'Yes': -5.5850797, ' YES': -7.9557652, ' Believe': -8.118545, ' Live': -8.420208}
{' Yes': -0.010537298, 'Yes': -5.2088785, ' Believe': -7.0478334, ' No': -7.163223, ' Live': -7.3825917}
{' Yes': -0.01446499, ' Indeed': -4.6778693, ' Need': -6.268918, 'Yes': -6.3919272, ' yes': -8.218803}
{' Yes': -0.012816763, ' Need': -5.661717, ' Indeed': -5.7529235, ' No': -5.7638907, 'Yes': -6.3259807}
{' Yes': -0.0015324297, 'Yes': -6.5095162, ' yes': -10.910082, ' No': -11.606895, ' YES': -12.167107}
{' Yes': -0.0040209284, 'Yes': -5.818313, ' Too': -7.329956, ' Tool': -8.873302, ' yes': -9.463792}
{' Yes': -0.010442006, ' Po': -5.2873015, 'Yes': -5.813285, ' No': -6.246772, ' Sure': -9.201942}
{' Yes': -0.015678324, ' No': -4.78758, ' Po': -5.391254, 'Yes': -6.065236, ' Nope': -9.486386}
{' Yes': -0.001225995, 'Yes': -6.8818083, ' yes': -9.57952, ' Sure': -9.673472, ' No': -11.0395975}
{' Yes': -0.39389476, ' Cro': -1.188191, ' Rock': -4.8664393, 'Yes': -5.42448, ' Rocket': -5.9961576}
{' Yes': -0.003728089, 'Yes': -5.6079965, ' No': -10.49229, ' yes': -11.261675, ' YES': -12.695231}
{' Yes': -0.06945871, ' Blast': -3.0633037, 'Yes': -4.470652, ' Last': -4.987925, 'blast': -7.290468}
{' Yes': -0.010007298, ' Door': -5.229123, 'Yes': -5.589814, ' Sure': -7.630581, ' yes': -8.924222}
{' Yes': -0.079613134, ' Door': -2.7144244, 'Yes': -5.348918, ' No': -5.7118735, ' yes': -7.5244436}
{' Yes': -0.102046475, ' To': -2.9564888, ' No': -3.4476578, 'Yes': -4.822545, ' St': -6.826084}
{' Yes': -0.16938826, ' No': -2.000893, 'Yes': -4.5552716, ' St': -5.8237295, ' To': -5.9762807}
{' Yes': -0.055079844, ' Maze': -3.0457525, 'Yes': -5.2340555, ' yes': -8.870903, ' Yep': -9.611216}
{' Yes': -0.004545728, 'Yes': -5.583706, ' Maze': -7.837675, ' No': -8.679031, ' Maybe': -9.52269}
{' Yes': -0.035300028, ' No': -4.6007066, ' Monk': -4.6066365, 'Yes': -5.1053724, ' Nope': -6.384785}
{' Yes': -0.02044737, ' No': -4.233998, 'Yes': -5.6470947, ' Mon': -7.0010533, ' Monkey': -7.9577246}
{' Yes': -0.0012029015, 'Yes': -6.855418, ' yes': -9.962508, ' Yep': -10.061263, ' Camp': -10.553174}
{' Yes': -0.004391079, 'Yes': -5.877542, ' Camp': -7.0607314, ' yes': -8.451513, ' Yep': -8.549966}
{' Yes': -0.16538975, ' Most': -1.9104059, 'Yes': -5.7795463, ' Mostly': -7.382364, 'Most': -7.835435}
{' Yes': -0.42649272, ' Most': -1.1159077, ' Mostly': -4.2762027, 'Yes': -6.4105287, ' Almost': -6.482931}
{' Yes': -0.0175261, ' Trip': -4.763503, ' Tri': -5.5284686, 'Yes': -5.869309, ' Triple': -7.132729}
{' Yes': -0.00703297, 'Yes': -5.533564, ' Trip': -6.6695843, ' Tri': -7.7925754, ' Yep': -7.918786}
{' Dusk': -0.63168657, ' Yes': -0.7937788, ' No': -4.9010158, 'Yes': -5.11935, ' D': -7.437663}
{' Yes': -0.059625395, ' No': -3.006517, 'Yes': -5.0359325, ' Dusk': -6.666837, 'No': -7.8417354}
{' Yes': -0.0008826695, 'Yes': -7.228919, ' yes': -9.682069, ' Hello': -10.3497, ' No': -10.828764}
{' Yes': -0.000696139, 'Yes': -7.380243, ' Hello': -10.43842, ' yes': -10.892891, ' Hell': -11.919691}
{' Yes': -0.0951841, ' No': -2.4257827, 'Yes': -6.415418, 'No': -7.665558, ' Nope': -8.727188}
{' Yes': -0.31792566, ' No': -1.6135075, ' Lawn': -2.8516037, ' Nope': -5.188428, 'Yes': -6.188379}
{' Yes': -0.011035816, ' Hill': -4.9554057, ' No': -6.026145, 'Yes': -6.6878176, ' yes': -9.464489}
{' Yes': -0.31881735, ' Hill': -1.3608401, ' No': -4.401074, 'Yes': -6.611788, 'Hill': -6.9883204}
{' Yes': -0.002811051, 'Yes': -6.098508, ' Sure': -8.123345, ' No': -8.562892, ' yes': -11.004519}
{' Yes': -0.040418413, ' Take': -3.400087, 'Yes': -5.427303, ' No': -8.0013075, ' yes': -8.513633}
{' Yes': -0.002933234, 'Yes': -5.9724803, ' No': -9.207956, ' Sure': -9.466596, ' Apart': -10.011789}
{' Yes': -0.026543558, 'Yes': -4.9862003, ' Party': -5.0395665, ' Part': -5.640398, ' Apart': -5.8278337}
{' Yes': -0.017566133, ' No': -4.138751, 'Yes': -6.692397, ' Sure': -8.865205, 'No': -10.472974}
{' Yes': -0.008818794, 'Yes': -5.518586, ' Pick': -6.117965, ' No': -6.3297925, ' Yep': -8.117025}
{' Yes': -0.0014342356, 'Yes': -6.656635, ' Sure': -9.41748, ' No': -10.746093, ' yes': -10.859889}
{' Yes': -0.0025815484, 'Yes': -6.494637, ' No': -7.0827093, ' Sure': -8.829319, ' yes': -10.703484}
{' No': -0.5430534, ' Yes': -0.8847129, 'No': -5.8845444, 'Yes': -6.4675603, ' Nope': -7.1231823}
{' No': -0.5336019, ' Yes': -1.0791321, ' De': -2.8164997, 'No': -5.6939206, ' Nope': -6.072762}
{' Yes': -0.0028749479, 'Yes': -5.895397, ' yes': -9.592907, ' No': -10.838787, ' YES': -11.434793}
{' Yes': -0.013848658, 'Yes': -4.7933893, ' Kiss': -6.039605, ' No': -6.3072133, ' yes': -7.4021497}
{' Yes': -0.0051038736, ' No': -6.045381, 'Yes': -6.220788, ' Soda': -7.4132934, ' Sure': -10.023109}
{' Yes': -0.038872454, ' No': -3.3229032, 'Yes': -6.283125, 'No': -9.099996, ' Soda': -10.494461}
{' Yes': -0.023771768, ' No': -3.9263823, 'Yes': -6.603199, ' Nope': -6.827385, ' Gone': -6.9454846}
{' Yes': -0.72162247, ' No': -0.7451917, ' Nope': -3.9407787, ' Gone': -4.141861, ' None': -6.505173}
{' Yes': -0.006555343, 'Yes': -5.826043, ' Fire': -6.4504733, ' Sure': -6.6718373, ' yes': -8.077118}
{' Yes': -0.009595889, ' Fire': -5.747044, 'Yes': -5.867932, ' Sure': -6.3108706, ' No': -7.345506}
{' Yes': -0.0011263395, 'Yes': -6.9506536, ' yes': -9.560915, ' Sure': -9.772824, ' YES': -11.23841}
{' Yes': -0.0017059242, 'Yes': -6.7079945, ' yes': -8.32777, ' Sure': -9.6417465, ' YES': -10.443759}
{' Yes': -0.001441219, 'Yes': -6.5950994, ' yes': -10.402143, ' No': -11.19817, ' Sure': -12.118636}
{' Yes': -0.0018004444, 'Yes': -6.3842807, ' yes': -10.1742325, '\n': -11.0743065, ' No': -11.241327}
{' Yes': -0.030630583, ' Stop': -3.6223986, 'Yes': -6.0622582, ' No': -7.427275, ' Yep': -8.400564}
{' Yes': -0.014960687, ' Stop': -4.413955, 'Yes': -6.1454635, ' No': -8.277368, ' Yep': -8.786742}
{' Yes': -0.015973909, ' Late': -4.304624, 'Yes': -6.2487326, ' YES': -9.389137, ' yes': -9.517073}
{' Yes': -0.0027883376, ' Late': -6.6042323, 'Yes': -6.829159, ' No': -8.793567, ' Sure': -9.346989}
{' Yes': -0.0033461608, 'Yes': -6.0072317, ' No': -7.53386, ' yes': -8.977806, ' Sure': -9.986}
{' Yes': -0.0024706414, 'Yes': -6.1274815, ' yes': -9.151161, ' No': -9.726101, ' YES': -10.2516}
{' Yes': -0.0021934882, 'Yes': -6.3967323, ' Wife': -7.9511104, ' YES': -10.020941, ' yes': -10.335801}
{' Yes': -0.010691213, ' Wife': -4.9153256, 'Yes': -6.317694, ' No': -6.8753705, ' W': -8.809505}
{' Yes': -0.0017450913, 'Yes': -6.72389, ' Frog': -8.01919, ' yes': -9.358574, ' Yep': -10.153986}
{' Yes': -0.0015544589, 'Yes': -6.6891003, ' Frog': -8.805969, ' yes': -9.644163, ' YES': -10.2107315}
{' Yes': -0.0028094966, 'Yes': -6.1834984, ' Duck': -7.582382, ' yes': -9.516836, ' Yep': -10.017046}
{' Yes': -0.0018330455, 'Yes': -6.415235, ' yes': -9.67814, ' Duck': -10.353931, ' Sure': -10.700426}
{' Yes': -0.0032652465, 'Yes': -6.2292857, ' Bank': -6.7659736, ' yes': -9.379329, ' YES': -10.81478}
{' Yes': -0.0013709049, 'Yes': -6.6561117, ' yes': -10.179902, ' YES': -10.561206, ' Sure': -12.018899}
{' Yes': -0.0014997778, 'Yes': -6.551094, ' yes': -10.712501, ' YES': -11.572622, ' Sure': -11.749895}
{' Yes': -0.0020256434, 'Yes': -6.480177, ' Test': -8.070314, ' yes': -9.942042, ' Sure': -10.693438}
{' Yes': -0.0069950945, ' Stay': -5.354468, 'Yes': -6.1990347, ' Sure': -9.350776, ' yes': -10.308689}
{' Yes': -0.02300531, ' Stay': -3.9036605, 'Yes': -6.12979, ' Sure': -8.815052, ' yes': -9.692363}
{' Yes': -0.009223628, 'Yes': -5.527982, ' No': -6.3802543, ' Ye': -6.579992, ' East': -7.1361914}
{' Yes': -0.015124603, ' Ye': -5.2458596, 'Yes': -5.4147816, ' East': -6.094187, ' Eas': -7.4673796}
{' Yes': -0.0013631459, 'Yes': -6.961549, ' No': -8.039403, ' Yeah': -10.622479, ' yes': -11.08693}
{' Yes': -0.06287374, ' High': -2.8592546, 'Yes': -6.3627634, ' Yeah': -7.4216595, ' No': -7.7304597}
{' Yes': -0.0035440752, ' Draw': -6.4873786, ' No': -6.8990974, 'Yes': -7.002527, ' yes': -10.027254}
{' Yes': -0.10519946, ' Draw': -2.366083, 'Yes': -6.0002055, ' Drawn': -7.229078, ' Drew': -7.5338063}
{' Yes': -0.28311956, ' King': -1.4353621, 'King': -5.9670105, 'Yes': -5.9809017, ' Kings': -6.151615}
{' Yes': -0.030587194, ' King': -3.61065, 'Yes': -6.235785, ' No': -7.484162, 'King': -8.479506}
{' Yes': -0.0048233555, ' No': -5.7721076, 'Yes': -6.511243, ' Lose': -9.6892805, ' Sure': -10.1039095}
{' Yes': -0.002559676, 'Yes': -6.281708, ' No': -7.8503513, ' Lose': -9.115959, ' Sure': -9.735079}
{' Yes': -0.0027760835, ' Sure': -6.3966894, 'Yes': -7.328301, ' Here': -8.970762, ' Yep': -9.033613}
{' Yes': -0.0020811872, ' Sure': -6.8067455, 'Yes': -7.2374916, ' Here': -8.765621, ' Yep': -10.417175}
{' Yes': -0.0015039567, 'Yes': -6.550166, ' yes': -10.346351, ' YES': -10.623136, ' Sure': -12.439097}
{' Yes': -0.0040276907, 'Yes': -5.6504316, ' Sick': -8.487543, ' yes': -9.01962, ' Sure': -9.700917}
{' Yes': -0.021903863, ' Dirt': -4.005651, 'Yes': -5.872686, ' Dirty': -8.213289, ' yes': -9.493793}
{' Yes': -0.004292661, ' Dirt': -6.0931344, 'Yes': -6.379502, ' No': -8.757016, ' yes': -10.106146}
{' Yes': -0.003608139, 'Yes': -6.574916, ' Tears': -6.641547, ' No': -8.474232, ' Te': -8.840736}
{' Yes': -0.002734843, 'Yes': -6.4027953, ' Tears': -7.615265, ' yes': -8.97991, ' YES': -9.341246}
{' No': -0.0024802606, 'No': -6.0163426, ' Nope': -10.653442, ' Yes': -12.207873, '\n': -12.313152}
{' Yes': -0.007378774, ' Sure': -5.686749, 'Yes': -6.4657106, ' No': -6.8536572, ' True': -7.0642986}
{' Yes': -0.15590397, ' Rain': -1.9886007, 'Rain': -5.922225, 'Yes': -5.9521666, ' Train': -7.623481}
{' Yes': -0.25592816, ' Rain': -1.567982, 'Rain': -5.2614293, ' No': -5.8485875, 'Yes': -5.9435434}
{' Yes': -0.0009125599, 'Yes': -7.157033, ' Sure': -9.280033, ' No': -11.544972, ' yes': -11.694328}
{' Yes': -0.0014873012, 'Yes': -6.8915815, ' Sure': -8.039178, ' No': -9.518585, ' Yep': -11.054365}
{' Yes': -0.011062455, ' Sure': -4.766323, 'Yes': -6.7208667, ' Absolutely': -7.1284633, ' Definitely': -8.328056}
{' Yes': -0.0035375552, ' Sure': -6.040271, 'Yes': -7.078166, ' Yep': -9.457861, ' No': -10.162246}
{' Yes': -0.0011950243, 'Yes': -7.033322, ' Kill': -9.313743, ' yes': -9.334912, ' YES': -10.015443}
{' Yes': -0.00096476206, 'Yes': -7.4392123, ' No': -8.137727, ' yes': -10.257657, ' Sure': -11.190974}
{' Yes': -0.0115254205, ' No': -4.5501223, 'Yes': -7.226302, ' Nope': -9.645579, ' Thin': -10.258647}
{' Yes': -0.012668738, ' No': -4.60634, 'Yes': -6.4615664, ' Nope': -7.726734, ' Thin': -8.1346}
{' Yes': -0.18747637, ' No': -1.8564311, ' Tail': -4.535802, 'Yes': -6.5401425, 'No': -7.632811}
{' Yes': -0.021488689, ' No': -4.601401, ' Tail': -4.790335, 'Yes': -6.291438, ' Trail': -8.657879}
{' Yes': -0.0016609647, 'Yes': -6.5409427, ' Land': -9.094193, ' yes': -9.623401, ' YES': -11.489523}
{' Yes': -0.0032901245, 'Yes': -6.087038, ' Land': -7.207884, ' yes': -8.960502, ' No': -10.306612}
{' Yes': -0.021115264, ' Feel': -3.9718273, 'Yes': -7.0123353, ' F': -8.196675, ' yes': -8.706968}
{' Yes': -0.16444622, ' Feel': -2.0358775, ' F': -4.390896, ' Fee': -6.1666036, 'Yes': -6.6936426}
