{' Right': -0.019237828, ' right': -3.9719508, 'Right': -9.226725, ' "': -9.861021, 'right': -10.116972}
{' left': -0.60454106, ' right': -1.5180714, ' Left': -2.0114262, ' Right': -2.321956, 'left': -6.4488664}
{' left': -0.2816824, ' Left': -1.6801542, ' right': -3.1388352, ' Right': -4.348176, 'left': -6.049247}
{' left': -0.6760887, ' Left': -0.7553658, 'left': -4.3745613, ' Right': -5.40493, ' right': -5.9903145}
{' Left': -0.41445643, ' left': -1.1500884, 'left': -4.5164824, ' Right': -5.0004206, 'Left': -5.81766}
{' Left': -0.56250376, ' left': -1.0261286, ' Right': -3.0709836, ' right': -4.4243236, 'left': -4.655092}
{' Left': -0.382675, ' left': -1.1774728, 'left': -5.148176, ' Right': -6.1073565, 'Left': -6.650232}
{' Left': -0.4821856, ' left': -1.1532958, ' Right': -2.9144783, ' right': -4.557705, 'left': -6.4556594}
{' Left': -0.29661325, ' left': -1.4097399, ' Right': -4.74674, 'left': -6.2455893, ' right': -6.656936}
{' Left': -0.49767777, ' left': -1.3010911, ' Right': -2.2832327, ' right': -4.1550717, 'left': -6.453305}
{' Left': -0.5475772, ' left': -1.0768932, ' Right': -2.759966, ' right': -4.13657, 'left': -6.7300167}
{' Left': -0.6024394, ' left': -0.9502235, ' Right': -3.488113, ' right': -4.09798, 'left': -4.357347}
{' Left': -0.27933878, ' left': -1.7111855, ' Right': -3.155228, ' right': -4.8862243, 'left': -4.980356}
{' Left': -0.7356497, ' left': -0.75686896, ' Right': -3.8095496, 'left': -4.3772974, ' right': -4.379086}
{' left': -0.7273464, ' Left': -0.78926665, ' Right': -3.704273, ' right': -3.9326267, 'left': -4.331487}
{' Right': -0.043149836, ' right': -3.181284, 'Right': -8.331324, ' Left': -8.470266, 'right': -8.579626}
{' Left': -0.28785574, ' left': -1.4323336, ' Right': -4.817471, ' right': -6.3956304, 'left': -6.6057653}
{' Right': -0.3840857, ' right': -1.1463825, 'right': -6.956414, 'Right': -8.693763, ' RIGHT': -11.1222725}
{' Left': -0.25100425, ' left': -1.5226353, ' Right': -6.046756, 'left': -7.120899, ' right': -7.6569834}
{' Right': -0.016881628, ' right': -4.180364, 'Right': -7.0128646, 'right': -8.139764, ' Left': -8.600975}
{' Left': -0.18430157, ' left': -1.8173714, 'left': -5.859937, ' Right': -6.166271, 'Left': -7.3376265}
{' Right': -0.13703363, ' right': -2.070305, 'right': -6.6907825, 'Right': -7.420994, ' Left': -10.250885}
{' Left': -0.14769746, ' left': -2.0129795, 'left': -6.3057747, ' Right': -6.6862926, 'Left': -7.603061}
{' Right': -0.011686422, ' right': -4.6309676, 'Right': -6.974687, ' Left': -7.591825, 'right': -8.123139}
{' Left': -0.09807013, ' left': -2.4007664, 'left': -6.3151855, 'Left': -7.1052437, ' Right': -9.087774}
{' Right': -0.08046024, ' right': -2.5940022, 'right': -6.595413, 'Right': -6.78221, ' Left': -10.514517}
{' Left': -0.08875299, ' left': -2.5249846, ' Right': -6.103212, 'left': -6.3808823, 'Left': -7.257673}
{' Right': -0.19313331, ' right': -1.7530373, 'right': -7.0730634, 'Right': -7.1448507, ' Left': -7.619511}
{' Left': -0.3799332, ' left': -1.2139634, ' Right': -4.4463315, ' right': -5.3404603, 'left': -6.222157}
{' right': -0.6411677, ' Right': -0.7539149, 'right': -6.056851, 'Right': -7.8566823, ' RIGHT': -10.4379015}
{' Left': -0.64323616, ' left': -0.7725123, ' Right': -5.228281, ' right': -5.437858, 'left': -6.0691733}
{' Right': -0.009920066, ' right': -4.8977623, 'Right': -6.562152, ' Left': -7.587728, 'right': -8.300773}
{' Left': -0.05924846, ' left': -2.9096723, 'Left': -6.4722514, 'left': -6.54681, ' Right': -10.4491005}
{' Right': -0.032740973, ' right': -3.5365727, 'Right': -6.1486464, 'right': -7.0672593, ' Left': -10.094775}
{' Left': -0.07513885, ' left': -2.7023606, 'left': -6.0218816, 'Left': -6.1726174, ' Right': -7.302272}
{' Right': -0.018126128, ' right': -4.0550003, 'Right': -8.073072, 'right': -8.94153, ' "': -9.190235}
{' Left': -0.085253015, ' left': -2.5265124, 'left': -7.2089176, ' Right': -7.2895126, 'Left': -8.185895}
{' Right': -0.06329009, ' right': -2.80304, 'right': -7.8489532, 'Right': -8.2188015, ' ': -11.031548}
{' Left': -0.13898025, ' left': -2.0668254, ' Right': -6.526752, 'left': -6.7263007, 'Left': -8.151261}
{' Right': -0.056632064, ' right': -3.1598558, 'Right': -4.71354, 'right': -5.7059846, ' Left': -8.376294}
{' Left': -0.37002537, ' left': -1.4595621, ' Right': -3.2142577, 'left': -4.0831695, ' right': -4.5553393}
{' Right': -0.3936384, ' right': -1.2252996, 'right': -3.9422948, 'Right': -4.407657, ' ': -9.185353}
{' Left': -0.5275558, ' left': -0.9586587, 'left': -4.1083817, 'Left': -5.1785283, ' Right': -5.9468536}
{' Left': -0.7505489, ' Right': -1.1582352, ' left': -1.8615946, ' right': -2.854152, 'left': -7.647062}
{' Left': -0.22592728, ' Right': -2.0122106, ' left': -2.7922916, ' right': -4.9831004, 'left': -8.261593}
{' Left': -0.28589287, ' Right': -2.113911, ' left': -2.1463645, ' right': -4.5568624, 'left': -8.011089}
{' Right': -0.27061003, ' Left': -1.93098, ' right': -2.6892996, ' left': -3.7431955, 'right': -8.300666}
{' Left': -0.1288618, ' left': -2.3367074, ' Right': -3.8546, 'left': -6.4010396, ' right': -7.0216775}
{' Left': -0.38626525, ' Right': -1.2399813, ' left': -3.6822207, ' right': -5.3094583, 'left': -7.8997912}
{' Left': -0.19220059, ' Right': -2.4697428, ' left': -2.4855907, ' right': -5.2273755, 'left': -6.8755956}
{' Left': -0.38262632, ' Right': -1.5096138, ' left': -2.5455081, ' right': -4.110947, 'left': -6.750519}
{' Left': -0.4751855, ' left': -1.6583117, ' Right': -1.8717841, ' right': -3.5341609, 'left': -5.836931}
{' Left': -0.17974272, ' Right': -2.2168138, ' left': -3.011768, ' right': -5.3610396, 'left': -6.996464}
{' Left': -0.101553306, ' left': -2.5983717, ' Right': -3.949671, 'left': -6.629326, ' right': -6.893957}
{' Right': -0.18057314, ' right': -2.4611232, ' Left': -2.7185428, ' left': -4.547707, 'right': -6.049782}
{' left': -0.7567371, ' Left': -0.87519115, ' Right': -2.760214, ' right': -3.001879, 'left': -7.2268257}
{' Right': -0.99222445, ' Left': -1.0907849, ' left': -1.8559426, ' right': -1.9941108, 'left': -8.114443}
{' Left': -1.1139412, ' left': -1.1756762, ' Right': -1.5522345, ' right': -1.8980445, 'left': -7.3199115}
{' left': -0.87671334, ' Left': -1.153048, ' right': -1.9366612, ' Right': -2.0988278, 'left': -7.1814327}
{' Left': -0.16474956, ' left': -2.1655753, ' Right': -3.4644663, 'left': -5.9300594, ' right': -6.3253593}
{' Left': -0.3320381, ' Right': -1.4892895, ' left': -3.074111, ' right': -5.072425, 'left': -6.3634577}
{' Left': -0.12128863, ' left': -2.4122775, ' Right': -4.0241666, 'left': -5.6607604, 'Left': -6.1285114}
{' Left': -0.4533575, ' Right': -1.1477278, ' left': -3.3539786, ' right': -4.747831, 'left': -6.857521}
{' Left': -0.3409171, ' left': -1.9439218, ' Right': -2.004978, ' right': -4.630012, 'left': -6.938024}
{' Right': -0.494604, ' Left': -1.0049819, ' left': -4.2721863, ' right': -4.646629, 'left': -8.580373}
{' Right': -0.20772612, ' Left': -1.9200845, ' right': -3.6562238, ' left': -4.2431874, 'right': -8.179361}
{' Left': -0.25947258, ' Right': -2.1662204, ' left': -2.261237, ' right': -4.7335496, 'left': -7.3552227}
{' Left': -0.51721543, ' left': -1.0197504, ' Right': -4.221988, 'left': -4.335603, 'Left': -4.867601}
{' Right': -0.22203943, ' right': -2.0184948, ' Left': -3.597064, 'right': -4.0925417, 'Right': -4.135667}
{' Right': -0.85023814, ' right': -1.4260782, ' Left': -1.6999068, ' left': -2.2112956, 'right': -3.7800384}
{' Left': -0.5585615, ' left': -1.2559263, ' Right': -2.5101414, ' right': -3.2743149, 'left': -4.6388874}
{' Right': -0.36681578, ' Left': -1.2212814, ' right': -5.045435, ' left': -5.2109013, 'Right': -8.727312}
{' Left': -0.72757834, ' Right': -0.74593097, ' left': -3.701806, ' right': -4.0503607, 'left': -8.672292}
{' Left': -0.18613282, ' Right': -1.9924223, ' left': -3.5549986, ' right': -5.3873277, 'left': -8.764893}
{' Right': -0.14082274, ' Left': -2.1612525, ' right': -4.400214, ' left': -5.6218348, 'Right': -8.671563}
{' Right': -0.15456453, ' Left': -2.020247, ' right': -5.0059376, ' left': -5.9261684, 'Right': -7.0913186}
{' Left': -0.11177718, ' left': -2.5198867, ' Right': -3.8661182, 'left': -6.1180387, ' right': -6.6989884}
{' Left': -0.069675386, ' left': -3.0396192, ' Right': -4.064287, 'left': -6.9650784, ' right': -7.245271}
{' Right': -0.17681155, ' Left': -1.9097617, ' right': -4.722954, ' left': -5.553889, 'Right': -7.2941346}
{' Right': -0.5680392, ' Left': -0.928738, ' left': -3.9703217, ' right': -4.2451305, 'Right': -5.8378844}
{' Left': -0.73557055, ' Right': -0.9140869, ' left': -2.593004, ' right': -3.2464635, 'Right': -6.276817}
{' Right': -0.2938652, ' Left': -2.0135345, ' right': -2.3611429, ' left': -3.786661, 'right': -6.2635975}
{' Left': -0.61356145, ' Right': -0.90074533, ' left': -3.408115, ' right': -4.1322894, 'Right': -6.8142996}
{' Right': -0.60020906, ' Left': -1.1214302, ' right': -2.5081832, ' left': -3.1527317, 'Right': -7.4724674}
{' Left': -0.61495596, ' left': -1.3885022, ' Right': -1.9749814, ' right': -2.6799946, 'left': -6.5995936}
{' Left': -0.3268287, ' left': -1.3622652, ' Right': -4.2137113, ' right': -5.059071, 'left': -6.7875543}
{' Right': -0.45773557, ' right': -1.5920569, ' Left': -2.1373296, ' left': -3.1198735, 'right': -7.279408}
{' Left': -0.56930906, ' Right': -0.94906026, ' left': -3.5197387, ' right': -4.5163646, 'Right': -5.876491}
{' Left': -0.37121415, ' Right': -1.5409356, ' left': -2.5907135, ' right': -4.260823, 'Left': -6.042076}
{' Left': -0.56007195, ' Right': -1.2404003, ' left': -2.337589, ' right': -3.3289697, 'Right': -6.161949}
{' Left': -0.3865466, ' Right': -1.6480212, ' left': -2.2656894, ' right': -4.1405864, 'left': -5.647159}
{' Right': -0.52076405, ' Left': -1.0749633, ' left': -3.3587158, ' right': -3.606385, 'Right': -6.7280855}
{' Left': -0.1837097, ' left': -2.1492896, ' Right': -3.0905068, ' right': -5.7094836, 'left': -6.4505725}
{' Left': -0.10655168, ' left': -2.3738358, ' Right': -5.1339927, 'left': -6.772826, 'Left': -7.6326475}
{' Right': -0.1298725, ' Left': -2.4593496, ' right': -3.5660982, ' left': -5.0643873, 'Right': -6.903088}
{' Left': -0.60926867, ' Right': -1.3387228, ' left': -2.0659795, ' right': -2.901051, 'left': -5.427338}
{' Left': -0.67415917, ' left': -1.2251998, ' Right': -2.1178446, ' right': -2.7637873, 'left': -4.9735627}
{' Left': -0.42151242, ' left': -1.2311246, ' Right': -3.5514562, ' right': -4.3384953, 'left': -5.049497}
{' Right': -0.6563684, ' Left': -1.4567375, ' right': -1.9280493, ' left': -2.4530582, 'Right': -5.1000957}
{' Right': -0.05766693, ' right': -2.8889484, 'Right': -8.337765, 'right': -8.869322, ' RIGHT': -11.241205}
{' Left': -0.18776907, ' left': -1.7990206, ' Right': -5.532009, 'left': -7.325187, 'Left': -7.3386054}
{' Right': -0.041286875, ' right': -3.2159863, 'Right': -8.441801, 'right': -9.846718, ' RIGHT': -10.468073}
{' Left': -0.21886945, ' left': -1.6321899, 'left': -7.3452578, 'Left': -7.7812743, ' Right': -11.88617}
{' Right': -0.058558904, ' right': -2.889688, 'Right': -7.1361938, 'right': -7.671998, ' RIGHT': -11.411969}
{' Left': -0.27376765, ' left': -1.4461671, 'left': -6.1408176, 'Left': -6.331658, ' Right': -9.596504}
{' Right': -0.018575676, ' right': -4.0324206, 'Right': -7.554668, 'right': -9.2390785, ' RIGHT': -10.679404}
{' Left': -0.07098176, ' left': -2.701902, 'Left': -7.192779, 'left': -7.2824645, ' "': -12.9808655}
{' Right': -0.055308167, ' right': -2.9610505, 'Right': -6.6358266, 'right': -7.312214, ' RIGHT': -10.40876}
{' Left': -0.24551715, ' left': -1.553283, 'Left': -5.871249, 'left': -5.876123, ' Right': -7.7449884}
{' Right': -0.028141128, ' right': -3.642473, 'Right': -6.7741013, 'right': -8.133137, ' RIGHT': -9.883135}
{' Left': -0.10055638, ' left': -2.3720179, 'Left': -6.683697, 'left': -6.804824, ' "': -11.854916}
{' right': -0.3787305, ' Right': -1.1583631, 'right': -7.018575, 'Right': -8.080507, ' ': -10.4157}
{' left': -0.39531216, ' Left': -1.1314571, 'left': -6.194441, 'Left': -7.1760316, ' right': -7.3908124}
{' right': -0.5637721, ' Right': -0.84486574, 'right': -7.2782416, 'Right': -7.608503, ' RIGHT': -9.921938}
{' left': -0.34736097, ' Left': -1.2328876, 'left': -6.440367, 'Left': -7.8350315, ' ': -12.617302}
{' Right': -0.153707, ' right': -1.9862798, 'Right': -5.6968207, 'right': -6.3304534, ' ': -9.5454}
{' Left': -0.43984124, ' left': -1.0683584, 'Left': -5.096133, 'left': -5.1225176, ' Right': -8.78752}
{' Right': -0.09532001, ' right': -2.4502547, 'Right': -5.6863194, 'right': -6.979107, ' ': -8.958593}
{' Left': -0.37409425, ' left': -1.1828787, 'left': -5.815186, 'Left': -5.9179006, ' ': -11.303001}
{' Right': -0.031164914, ' right': -3.4989882, 'Right': -8.112871, 'right': -8.931301, ' ': -11.41288}
{' Left': -0.11285923, ' left': -2.254043, 'Left': -7.013824, 'left': -7.150014, ' Right': -9.790832}
{' Right': -0.03129399, ' right': -3.5042455, 'Right': -7.672008, 'right': -8.864079, ' RIGHT': -9.580843}
{' Left': -0.059418276, ' left': -2.866917, 'Left': -7.779484, 'left': -7.867438, ' "': -11.978983}
{' Right': -0.304144, ' right': -1.4894142, 'Right': -3.9452744, 'right': -4.0598087, ' ': -9.139196}
{' Left': -0.70627105, ' left': -0.7347059, 'Left': -4.2572165, 'left': -4.368075, ' ': -10.542175}
{' Right': -0.4730729, ' right': -1.0632219, 'right': -4.152549, 'Right': -4.1598916, ' ': -9.011704}
{' left': -0.5435113, ' Left': -0.94925576, 'left': -3.8718057, 'Left': -4.474438, ' ': -10.266027}
{' Left': -0.6570353, ' left': -0.73496574, 'left': -6.4256525, 'Left': -8.338463, ' Right': -8.610025}
{' Right': -0.051126588, ' right': -3.0064182, 'Right': -8.366888, 'right': -9.136629, ' RIGHT': -11.350752}
{' Left': -0.4649557, ' left': -0.9931273, 'left': -6.9085417, 'Left': -8.063455, ' Right': -9.476369}
{' Right': -0.20715243, ' right': -1.6792592, 'right': -8.000903, 'Right': -8.361632, ' RIGHT': -11.212026}
{' Left': -0.37564623, ' left': -1.175369, 'left': -5.6290674, 'Left': -7.075225, ' Right': -12.131327}
{' Right': -0.05209558, ' right': -3.0081484, 'Right': -7.018726, 'right': -7.7597985, ' RIGHT': -10.707672}
{' Left': -0.31046036, ' left': -1.3362858, 'left': -5.8887777, 'Left': -6.675959, ' ': -10.915935}
{' Right': -0.09046545, ' right': -2.4631174, 'Right': -7.1801434, 'right': -7.5414734, ' RIGHT': -10.97899}
{' Left': -0.521482, ' left': -0.91174275, 'left': -5.5963106, 'Left': -7.1353946, ' Right': -11.294932}
{' Right': -0.054292534, ' right': -2.9710498, 'Right': -6.872125, 'right': -7.6514635, ' RIGHT': -10.265068}
{' Left': -0.40811965, ' left': -1.1063887, 'left': -5.8887043, 'Left': -6.4768777, ' ': -10.896248}
{' Right': -0.12536028, ' right': -2.1542947, 'Right': -6.9517417, 'right': -7.09079, ' RIGHT': -10.698584}
{' left': -0.18048789, ' Left': -1.8135465, 'left': -6.337161, 'Left': -8.670896, ' right': -9.509692}
{' Right': -0.4228578, ' right': -1.0698838, 'right': -6.87908, 'Right': -7.3495407, ' RIGHT': -10.3450985}
{' left': -0.13322778, ' Left': -2.1012912, 'left': -6.3187165, ' right': -8.105298, 'Left': -8.589917}
{' right': -0.32604113, ' Right': -1.2836293, 'right': -6.950307, 'Right': -8.539217, ' ': -11.00121}
{' left': -0.5952262, ' Left': -0.816288, 'left': -5.2772064, 'Left': -6.598659, ' ': -11.584739}
{' Right': -0.19530694, ' right': -1.7519093, 'Right': -6.024353, 'right': -6.5769763, ' ': -9.618264}
{' left': -0.6645799, ' Left': -0.7463004, 'left': -4.9224687, 'Left': -5.5137296, ' ': -9.923573}
{' Right': -0.20503768, ' right': -1.7072252, 'Right': -6.031982, 'right': -6.466256, ' ': -10.312755}
{' Left': -0.09831823, ' left': -2.3787673, 'left': -7.308689, 'Left': -8.127432, ' ': -12.405753}
{' Right': -0.01516902, ' right': -4.227773, 'Right': -8.009348, 'right': -9.3026905, ' RIGHT': -10.873089}
{' Left': -0.26408207, ' left': -1.4702855, 'left': -6.411735, 'Left': -7.5000587, ' ': -10.788999}
{' Right': -0.029085312, ' right': -3.5665493, 'Right': -8.413775, 'right': -8.732216, ' ': -11.006082}
{' left': -0.17915443, ' Left': -1.9403067, 'left': -4.0198355, 'Left': -6.1912904, ' right': -8.611213}
{' Right': -0.35206595, ' right': -1.2676313, 'right': -4.801891, 'Right': -4.9876385, ' ': -9.102418}
{' left': -0.3900657, ' Left': -1.1777434, 'left': -4.5399947, 'Left': -5.5004325, ' right': -9.267896}
{' Right': -0.57612467, ' right': -0.8660474, 'right': -4.52723, 'Right': -5.053524, ' ': -9.516625}
{' Left': -0.08034539, ' left': -2.5700936, ' Right': -8.24278, 'Left': -8.313852, 'left': -8.823039}
{' Right': -0.02580634, ' right': -3.6787906, 'Right': -8.803427, 'right': -9.957463, ' RIGHT': -10.919107}
{' Left': -0.09166491, ' left': -2.4404047, 'Left': -8.353406, 'left': -8.530253, ' Right': -10.525451}
{' Right': -0.016050406, ' right': -4.1889, ' Left': -8.086507, 'Right': -8.188827, 'right': -9.7028055}
{' Left': -0.11255346, ' left': -2.3132048, ' Right': -5.4760537, 'Left': -6.477116, 'left': -6.6528444}
{' Right': -0.11363008, ' right': -2.2556856, 'Right': -6.6064806, 'right': -6.8683105, ' Left': -9.16014}
{' Left': -0.17532833, ' left': -1.843026, 'left': -6.6668878, 'Left': -6.7599707, ' ': -10.300749}
{' Right': -0.04147343, ' right': -3.2782764, 'Right': -6.199724, 'right': -7.382496, ' "': -9.2140255}
{' Left': -0.100155264, ' left': -2.413174, ' Right': -6.020254, 'Left': -6.313185, 'left': -6.764311}
{' Right': -0.15058994, ' right': -2.0033827, 'Right': -5.9530435, 'right': -6.1831975, ' ': -9.04039}
{' Left': -0.14386523, ' left': -2.0292296, 'Left': -6.660039, 'left': -6.7192616, ' Right': -10.334716}
{' Right': -0.03961603, ' right': -3.3645976, 'Right': -5.9464993, 'right': -7.1013603, ' "': -7.8283253}
{' Left': -0.51654977, ' left': -1.0649717, ' Right': -3.2960737, ' right': -3.9634793, 'left': -6.5982757}
{' right': -0.4309367, ' Right': -1.0618571, 'right': -6.286649, ' left': -6.782028, ' Left': -7.461004}
{' left': -0.6336522, ' Left': -0.7609772, 'left': -6.585398, 'Left': -7.26667, ' Right': -10.860054}
{' Right': -0.46981153, ' right': -0.9956008, 'right': -5.9306893, 'Right': -6.2350836, ' "': -8.651457}
{' Left': -0.2147117, ' left': -1.6775869, 'Left': -5.647086, 'left': -5.919566, ' Right': -9.165515}
{' Right': -0.08236697, ' right': -2.6043568, 'Right': -5.7339835, 'right': -6.3947506, ' ': -8.920599}
{' Left': -0.11108408, ' left': -2.2891293, 'Left': -6.0463886, 'left': -6.6048336, ' ': -10.586355}
{' Right': -0.033315565, ' right': -3.6112056, 'Right': -5.482229, 'right': -6.8221416, ' ': -8.524849}
{' Left': -0.077059045, ' left': -2.6592982, ' Right': -6.04076, 'Left': -7.0834274, 'left': -7.165829}
{' Right': -0.04004238, ' right': -3.2570338, 'Right': -7.6619654, 'right': -8.401834, ' RIGHT': -10.561645}
{' Left': -0.029089792, ' left': -3.5753102, 'Left': -7.8140326, 'left': -8.363354, ' Right': -10.90494}
{' Right': -0.012833367, ' right': -4.4906106, 'Right': -6.994715, ' Left': -8.399386, 'right': -8.508332}
{' Left': -0.46254396, ' left': -1.3601956, ' Right': -3.245728, 'Left': -3.6137602, 'left': -3.7304177}
{' right': -0.7876134, ' Right': -0.98742914, 'right': -2.05942, 'Right': -3.2170854, ' left': -6.369868}
{' left': -0.64427024, ' Left': -0.8699554, 'left': -3.3379211, 'Left': -3.909319, ' ': -8.008248}
{' Right': -0.7387308, ' right': -0.8739084, 'right': -2.6586316, 'Right': -3.483932, ' left': -6.4899163}
{' Left': -0.67653704, ' left': -0.8233361, ' Right': -3.293055, ' right': -4.269921, 'left': -6.682157}
{' Left': -0.69643474, ' left': -1.1783664, ' Right': -1.9051731, ' right': -3.1298034, 'left': -7.0391183}
{' left': -0.33173874, ' Left': -1.6301798, ' right': -2.9353094, ' Right': -3.481742, 'left': -6.1099825}
{' left': -0.5058525, ' Left': -1.6602867, ' right': -1.9716537, ' Right': -2.727639, 'left': -6.395415}
{' Left': -0.19510674, ' left': -1.8943598, ' Right': -3.988634, 'left': -5.2381935, ' right': -6.2577896}
{' Left': -0.46045294, ' Right': -1.3152236, ' left': -2.5642376, ' right': -3.9140873, 'left': -6.131252}
{' Left': -0.59859157, ' Right': -1.3886802, ' left': -1.8355433, ' right': -3.3077798, 'left': -5.748873}
{' Left': -0.3270859, ' left': -1.4546132, ' Right': -3.3994353, ' right': -5.0497117, 'left': -5.359364}
{' Left': -0.33101264, ' Right': -1.7421244, ' left': -2.3845403, ' right': -4.5492935, 'left': -6.0392146}
{' Left': -0.116914794, ' left': -2.3820686, ' Right': -4.239609, 'left': -6.1804233, ' right': -7.085334}
{' Left': -0.13592894, ' left': -2.4443717, ' Right': -3.3200758, 'left': -6.372301, ' right': -6.410429}
{' Left': -0.2356638, ' left': -2.0843272, ' Right': -2.5750859, ' right': -5.071992, 'left': -6.1182947}
{' Left': -0.6851316, ' left': -0.95992905, ' Right': -2.619826, ' right': -3.2991662, 'left': -6.041819}
{' Left': -0.7584247, ' left': -1.1060219, ' Right': -1.9853953, ' right': -2.8145025, 'left': -6.119819}
{' left': -0.5481637, ' Left': -1.514209, ' right': -2.1618607, ' Right': -2.4875863, 'left': -5.9476194}
{' left': -0.48030937, ' Left': -1.3561792, ' right': -2.5568721, ' Right': -3.154145, 'left': -5.9532795}
{' Left': -0.3309753, ' left': -1.3266857, 'left': -4.7547536, ' Right': -5.3561463, 'Left': -6.1392827}
{' Left': -0.26191953, ' left': -1.5766015, ' Right': -4.3836503, 'left': -4.983778, 'Left': -6.04652}
{' Left': -0.46162003, ' left': -1.0747926, ' Right': -4.1224074, 'left': -5.002769, ' right': -5.6953406}
{' Left': -0.23190267, ' left': -1.640285, ' Right': -5.079717, 'left': -5.495584, 'Left': -6.3449645}
{' Left': -0.228728, ' left': -1.92199, ' Right': -2.9358678, ' right': -5.6722302, 'left': -6.8780026}
{' Left': -0.1948864, ' left': -1.9366008, ' Right': -3.5537212, ' right': -6.1959805, 'left': -6.428721}
{' Left': -0.40103525, ' left': -1.5404547, ' Right': -2.277485, ' right': -4.5009804, 'left': -6.3376822}
{' Left': -0.2678549, ' left': -1.5503579, ' Right': -3.9530792, ' right': -6.166367, 'left': -6.7948494}
{' Left': -0.43857652, ' left': -1.156745, ' Right': -4.0101876, 'left': -4.520333, ' right': -5.0617394}
{' Left': -0.22545707, ' left': -2.1084201, ' Right': -2.7561235, ' right': -5.035203, 'left': -5.3137784}
{' Left': -0.51115906, ' left': -1.1546049, ' Right': -2.9132833, ' right': -4.128545, 'left': -4.684191}
{' Left': -0.51518387, ' left': -1.0557703, ' Right': -3.5192008, ' right': -4.502021, 'left': -4.6930537}
{' Right': -0.06506728, ' right': -2.7792566, 'Right': -7.9417605, 'right': -8.138662, ' Left': -8.509283}
{' Left': -0.3517006, ' left': -1.3353012, ' Right': -3.6911151, ' right': -4.992293, 'left': -6.582907}
{' Right': -0.5084268, ' right': -0.9230328, 'right': -6.870609, 'Right': -8.617645, ' RIGHT': -10.919983}
{' Left': -0.38454753, ' left': -1.2120126, ' Right': -4.1907415, ' right': -5.3187385, 'left': -6.6090307}
{' Right': -0.032056473, ' right': -3.5307975, 'Right': -6.8579116, 'right': -7.4182315, ' Left': -7.5859504}
{' Left': -0.25471416, ' left': -1.5272895, 'left': -5.4383154, ' Right': -6.1058316, 'Left': -7.187018}
{' Right': -0.19372138, ' right': -1.7560345, 'right': -6.0639334, 'Right': -7.1553564, ' Left': -8.591313}
{' Left': -0.17391579, ' left': -1.9170035, ' Right': -4.7844925, 'left': -5.9355254, ' right': -6.9905486}
{' Right': -0.01547364, ' right': -4.349376, 'Right': -6.90606, ' Left': -7.0149145, 'right': -7.816858}
{' Left': -0.11842935, ' left': -2.2243998, 'left': -6.0308056, 'Left': -7.0353966, ' Right': -8.360481}
{' Right': -0.10947729, ' right': -2.2971563, 'right': -6.282103, 'Right': -6.7815256, ' Left': -9.589028}
{' Left': -0.1043369, ' left': -2.3853905, ' Right': -5.493037, 'left': -6.2887545, 'Left': -7.319997}
{' Right': -0.2220212, ' right': -1.6325359, ' Left': -6.6131153, 'right': -6.9073353, 'Right': -7.1118145}
{' Left': -0.5374445, ' left': -0.9993795, ' Right': -3.666082, ' right': -4.026336, 'left': -5.686761}
{' right': -0.60689116, ' Right': -0.79459333, 'right': -5.972123, 'Right': -7.58566, ' Left': -10.120532}
{' Left': -0.6534329, ' left': -0.8202707, ' Right': -3.9386902, ' right': -4.104353, 'left': -5.9228206}
{' Right': -0.012170913, ' right': -4.75568, 'Right': -6.203544, ' Left': -6.9686294, 'right': -7.9471984}
{' Left': -0.08273835, ' left': -2.5871234, 'left': -6.0868216, 'Left': -6.30087, ' Right': -10.151849}
{' Right': -0.04665133, ' right': -3.167667, 'Right': -6.1333327, 'right': -6.7238455, ' ': -10.131341}
{' Left': -0.09184078, ' left': -2.5200272, 'left': -5.6540623, 'Left': -6.1520534, ' Right': -6.5329413}
{' Right': -0.014061051, ' right': -4.3333244, ' Left': -8.042936, 'Right': -8.144484, 'right': -9.102758}
{' Left': -0.118954465, ' left': -2.207278, 'left': -6.910235, ' Right': -7.1657534, 'Left': -8.145938}
{' Right': -0.08845093, ' right': -2.4818244, 'right': -7.3078074, 'Right': -8.03375, ' Left': -10.368999}
{' Left': -0.14720242, ' left': -2.0452735, ' Right': -5.183501, 'left': -6.795943, ' right': -7.6573033}
{' Right': -0.14167774, ' right': -2.1839368, 'Right': -4.6262183, 'right': -4.699285, ' Left': -7.917217}
{' Left': -0.71294856, ' left': -0.7715765, 'left': -3.7761333, ' Right': -4.5197535, ' right': -4.7930875}
{' Right': -0.64778596, ' right': -0.8114001, 'right': -3.6952748, 'Right': -4.8825994, ' ': -9.18022}
{' Left': -0.55516815, ' left': -0.9305649, 'left': -4.104288, ' Right': -5.071285, 'Left': -5.387293}
{' Right': -0.037349336, ' right': -3.3163657, 'Right': -8.297744, 'right': -9.118309, ' RIGHT': -11.273474}
{' Left': -0.1782573, ' left': -1.8220009, 'Left': -7.428107, 'left': -7.5114636, ' Right': -7.8610764}
{' Right': -0.044938456, ' right': -3.1318274, 'Right': -8.498926, 'right': -9.886592, ' RIGHT': -10.330674}
{' Left': -0.24588141, ' left': -1.5276693, 'left': -7.4616594, 'Left': -7.913289, ' Right': -12.997229}
{' Right': -0.07758999, ' right': -2.6131067, 'Right': -7.0728426, 'right': -7.6471796, ' RIGHT': -11.290797}
{' Left': -0.17748186, ' left': -1.8429652, 'Left': -6.180488, 'left': -6.186801, ' Right': -8.93846}
