{' No': -0.22724734, ' Yes': -1.6289539, 'No': -5.0760174, 'Yes': -7.1854076, ' ': -9.172646}
{' Yes': -0.007834626, 'Yes': -4.975108, ' yes': -7.1327715, 'yes': -10.1889715, ' ': -10.432759}
{' Yes': -0.012787966, 'Yes': -4.411908, ' yes': -8.129535, ' ': -8.721656, '\n': -9.581435}
{' Yes': -0.023925414, 'Yes': -3.7732022, ' yes': -7.9558682, ' ': -8.693591, '\n': -9.48322}
{' Yes': -0.020894065, 'Yes': -4.166196, ' yes': -5.4087343, '\n': -8.273355, ' ': -8.553308}
{' Yes': -0.03610639, 'Yes': -3.6533241, ' yes': -4.745081, 'yes': -8.045914, ' ': -8.40166}
{' Yes': -0.0013905423, 'Yes': -6.7051864, ' yes': -9.161318, ' YES': -10.656396, ' ': -10.659024}
{' Yes': -0.002198984, 'Yes': -6.1994967, ' yes': -9.109256, ' ': -10.69925, ' YES': -10.710517}
{' Yes': -0.00955906, 'Yes': -4.6896963, ' yes': -8.544421, ' ': -9.8155985, ' YES': -9.98026}
{' Yes': -0.010534106, 'Yes': -4.5835376, ' yes': -8.838063, ' ': -9.689673, ' YES': -10.643598}
{' Yes': -0.007510584, 'Yes': -4.9338408, ' yes': -9.077077, ' ': -9.404546, '\n': -9.860126}
{' Yes': -0.011346055, 'Yes': -4.5121775, '\n': -9.181731, ' yes': -9.217063, ' ': -9.438785}
{' Yes': -0.001564907, 'Yes': -6.539279, ' yes': -9.484015, ' ': -10.949079, ' YES': -10.979655}
{' Yes': -0.003053279, 'Yes': -5.85227, ' yes': -9.127923, ' ': -10.2693615, ' YES': -10.885513}
{' Yes': -0.014947195, 'Yes': -4.249305, ' ': -8.392364, '\n': -8.705747, ' yes': -8.908334}
{' Yes': -0.016107947, 'Yes': -4.1669674, ' ': -8.49324, '\n': -8.871323, ' yes': -9.1333065}
{' Yes': -0.002551372, 'Yes': -6.0330853, ' yes': -9.234771, ' ': -10.565082, '\n': -11.227799}
{' Yes': -0.005092132, 'Yes': -5.341996, ' yes': -8.487255, ' ': -10.156919, ' YES': -10.754975}
{' Yes': -0.0052777478, 'Yes': -5.5474396, ' No': -6.7064934, ' yes': -9.202646, ' ': -11.012015}
{' Yes': -0.013633832, ' No': -4.7488112, 'Yes': -5.3749213, ' yes': -9.1831875, 'No': -9.366997}
{' Yes': -0.018984724, 'Yes': -4.0277414, ' No': -7.6137815, ' yes': -7.981837, ' YES': -9.689829}
{' Yes': -0.028445128, 'Yes': -4.183081, ' No': -4.432612, 'No': -7.7281156, ' yes': -7.985879}
{' Yes': -0.026249439, 'Yes': -3.6816754, ' No': -7.8766727, ' yes': -8.434849, ' YES': -9.737709}
{' Yes': -0.021412812, 'Yes': -3.911755, ' No': -7.1824, ' yes': -8.137028, ' ': -9.737362}
{' Yes': -0.007564093, 'Yes': -4.9954906, ' No': -7.447688, ' yes': -8.977107, ' YES': -10.761903}
{' Yes': -0.013692867, 'Yes': -5.0027614, ' No': -5.01791, 'No': -9.183477, ' yes': -9.303886}
{' Yes': -0.0349369, 'Yes': -3.43037, ' No': -6.5327754, ' yes': -8.393047, 'No': -8.890993}
{' Yes': -0.030127063, 'Yes': -3.5644631, ' No': -6.979521, ' yes': -8.304003, ' ': -9.393387}
{' Yes': -0.010493747, 'Yes': -4.610477, ' yes': -7.998994, ' No': -9.537726, ' ': -10.087684}
{' Yes': -0.014274155, 'Yes': -4.3835006, ' yes': -7.020265, ' No': -7.3616786, ' ': -9.328784}
{' Yes': -0.00082790584, 'Yes': -7.3127723, ' yes': -8.916195, ' YES': -11.442796, ' ': -11.587034}
{' Yes': -0.0012693232, 'Yes': -6.875277, ' yes': -8.584872, ' ': -10.655713, ' No': -11.159359}
{' Yes': -0.005920959, 'Yes': -5.1798673, ' yes': -8.759901, ' No': -9.95421, ' ': -10.237774}
{' Yes': -0.0065520457, 'Yes': -5.08733, ' yes': -8.373136, ' No': -9.801675, ' ': -10.052638}
{' Yes': -0.009316575, 'Yes': -4.7644706, ' No': -7.923562, ' yes': -8.605119, ' ': -8.910063}
{' Yes': -0.010113626, 'Yes': -4.6672635, ' yes': -8.311033, ' No': -8.351783, ' ': -8.938442}
{' Yes': -0.0013161149, 'Yes': -6.7762313, ' yes': -9.345816, ' No': -9.658806, ' YES': -11.424352}
{' Yes': -0.0018637412, 'Yes': -6.4973636, ' No': -8.680304, ' yes': -8.913773, ' ': -10.167433}
{' Yes': -0.011851789, 'Yes': -4.59992, ' No': -7.046403, ' ': -7.589681, ' yes': -8.670438}
{' Yes': -0.00807259, 'Yes': -4.932032, ' ': -8.005449, ' No': -8.384004, ' yes': -8.6261215}
{' Yes': -0.0043402533, 'Yes': -5.6123567, ' yes': -7.7513905, ' ': -9.089363, '\n': -9.671153}
{' Yes': -0.0066631036, 'Yes': -5.22926, ' yes': -6.9405994, ' ': -8.625177, '\n': -9.871666}
{' Yes': -0.014537741, 'Yes': -4.3542404, ' No': -7.176227, ' yes': -7.2824936, ' YES': -10.221935}
{' Yes': -0.021310637, 'Yes': -4.181539, ' yes': -5.803762, ' No': -5.991754, 'No': -9.1722555}
{' Yes': -0.03539012, 'Yes': -3.3897524, ' No': -7.605279, ' yes': -7.7550764, 'yes': -10.102551}
{' Yes': -0.03890697, 'Yes': -3.35163, ' yes': -6.285807, ' No': -6.8817163, 'yes': -9.288559}
{' Yes': -0.07611781, 'Yes': -2.6421673, ' yes': -6.520297, ' YES': -8.165936, 'yes': -8.778741}
{' Yes': -0.04821584, 'Yes': -3.1196802, ' yes': -5.9780116, 'yes': -8.89574, ' YES': -9.199082}
{' Yes': -0.015938902, 'Yes': -4.354306, ' No': -6.1414895, ' yes': -7.3924227, 'No': -9.706084}
{' Yes': -0.01485548, 'Yes': -4.821664, ' No': -5.1519423, ' yes': -7.25357, 'No': -9.362765}
{' Yes': -0.06291525, 'Yes': -2.816875, ' yes': -7.487584, ' No': -8.123998, 'yes': -9.276908}
{' Yes': -0.057945304, 'Yes': -2.905668, ' yes': -6.679371, 'yes': -8.931599, ' ': -9.328593}
{' Yes': -0.03435847, 'Yes': -3.48084, ' yes': -5.9438205, 'yes': -9.095351, ' No': -9.348767}
{' Yes': -0.04466243, 'Yes': -3.3592927, ' yes': -4.803308, 'yes': -8.061787, ' No': -8.924908}
{' Yes': -0.0027795502, ' yes': -6.6235027, 'Yes': -6.641842, ' ': -9.402498, ' YES': -10.556648}
{' Yes': -0.004540338, ' yes': -5.8628736, 'Yes': -6.472836, ' ': -9.343437, 'yes': -10.909161}
{' Yes': -0.0096742455, 'Yes': -4.748293, ' yes': -7.278082, ' ': -8.997124, ' No': -9.669323}
{' Yes': -0.01100032, 'Yes': -4.744763, ' yes': -6.2318616, ' ': -8.9390545, ' No': -9.543578}
{' Yes': -0.00988792, 'Yes': -4.690666, ' yes': -7.901476, ' ': -8.639854, ' YES': -10.162466}
{' Yes': -0.013865339, 'Yes': -4.372769, ' yes': -7.239039, ' ': -8.392756, ' No': -8.833431}
{' Yes': -0.0032748755, 'Yes': -6.018463, ' yes': -7.2598953, ' ': -9.864582, ' No': -10.222067}
{' Yes': -0.005425162, 'Yes': -5.8099637, ' yes': -6.4239755, ' No': -7.483143, ' ': -8.663093}
{' Yes': -0.009335707, 'Yes': -4.804063, ' ': -7.58329, ' yes': -8.050434, ' No': -9.001829}
{' Yes': -0.0144096585, 'Yes': -4.3408732, ' yes': -7.3892508, ' ': -7.7097445, ' No': -9.351949}
{' Yes': -0.011706083, 'Yes': -4.9575295, ' yes': -5.5675793, ' ': -7.909773, '\n': -8.400772}
{' Yes': -0.028878782, ' yes': -4.1875453, 'Yes': -4.456304, ' ': -7.131244, ' No': -8.025991}
{' Yes': -0.0013079975, 'Yes': -6.878785, ' yes': -8.626065, ' ': -9.783029, ' YES': -10.81273}
{' Yes': -0.0016959528, 'Yes': -6.631328, ' yes': -8.394375, ' ': -9.507692, ' No': -10.052441}
{' Yes': -0.0068070013, 'Yes': -5.0542655, ' yes': -8.717484, ' ': -8.850168, ' No': -10.162563}
{' Yes': -0.0061521274, 'Yes': -5.1953187, ' yes': -8.275251, ' ': -8.530478, ' No': -9.351231}
{' Yes': -0.007369707, 'Yes': -5.0144706, ' ': -8.2621565, ' No': -8.667186, ' yes': -8.908698}
{' Yes': -0.008609015, 'Yes': -4.855045, ' ': -8.000154, ' yes': -8.448289, '\n': -9.0250025}
{' Yes': -0.0013293058, 'Yes': -6.9549065, ' No': -8.724833, ' ': -9.293913, ' yes': -9.306839}
{' Yes': -0.0027576739, 'Yes': -6.338126, ' No': -7.531712, ' ': -8.318465, ' yes': -8.684756}
{' Yes': -0.01296928, 'Yes': -4.543895, ' ': -6.860257, '\n': -7.624078, ' No': -7.630646}
{' Yes': -0.011950655, 'Yes': -4.712804, ' ': -6.638575, ' No': -6.9200215, '\n': -7.899359}
{' Yes': -0.002083099, 'Yes': -6.315735, ' yes': -8.791376, ' ': -9.4770565, '\n': -10.898287}
{' Yes': -0.0041418807, 'Yes': -5.7757263, ' yes': -7.3722043, ' ': -8.471613, ' No': -8.988798}
{' No': -0.009635667, 'No': -4.649526, ' ': -11.161286, ' NO': -12.128883, ' no': -13.561637}
{' No': -0.010006454, 'No': -4.612841, ' ': -10.55644, ' NO': -13.003761, ' no': -13.023101}
{' No': -0.058405213, 'No': -2.871651, ' ': -9.751707, ' NO': -9.886238, ' no': -11.815504}
{' No': -0.03454565, 'No': -3.3854403, ' ': -9.687412, ' NO': -11.009305, ' no': -11.624193}
{' No': -0.06153276, 'No': -2.8213747, ' ': -9.3195095, ' NO': -9.96521, ' no': -12.249909}
{' No': -0.03857753, 'No': -3.2778428, ' ': -9.365769, ' NO': -10.486123, ' no': -11.661904}
{' No': -0.01384497, 'No': -4.289598, ' ': -10.717641, ' NO': -11.412063, ' no': -12.6262}
{' No': -0.01300098, 'No': -4.3526216, ' ': -10.278715, ' NO': -12.432762, ' no': -12.541792}
{' No': -0.09792229, 'No': -2.3742437, ' ': -8.9979515, ' NO': -10.317221, '\n': -11.513612}
{' No': -0.064343266, 'No': -2.7781818, ' ': -8.983807, ' NO': -11.32945, ' no': -11.704514}
{' No': -0.03902404, 'No': -3.2672858, ' ': -9.384929, ' NO': -10.526687, ' Yes': -10.948642}
{' No': -0.03495289, 'No': -3.3792098, ' ': -8.758054, ' X': -10.251477, ' no': -10.344318}
{' No': -0.000884698, 'No': -7.0542674, ' ': -11.187608, ' NO': -12.625114, ' no': -13.1791315}
{' No': -0.0016687864, 'No': -6.4358397, ' ': -9.928314, ' no': -12.138459, '\n': -12.364786}
{' No': -0.0067054075, 'No': -5.017125, ' ': -10.054108, ' NO': -11.594489, ' no': -12.605597}
{' No': -0.01049718, 'No': -4.574176, ' ': -9.25234, ' NO': -11.490567, ' no': -11.783459}
{' No': -0.009436725, 'No': -4.6830454, ' ': -9.214914, '\n': -10.638245, ' NO': -11.328799}
{' No': -0.011040156, 'No': -4.5288777, ' ': -8.897194, '\n': -10.425049, ' NO': -11.554244}
{' No': -0.002215768, 'No': -6.125652, ' ': -10.917748, ' NO': -12.178285, ' no': -13.201621}
{' No': -0.003165566, 'No': -5.7774076, ' ': -9.899023, ' NO': -12.273324, '\n': -12.342041}
{' No': -0.011421473, 'No': -4.505778, ' ': -8.444248, '\n': -9.574011, ' NO': -10.950111}
{' No': -0.009941677, 'No': -4.643416, ' ': -8.507772, '\n': -9.972603, ' NO': -11.617433}
{' No': -0.007042455, 'No': -4.988608, ' ': -9.202734, '\n': -9.550739, ' NO': -11.098853}
{' No': -0.009321806, 'No': -4.720051, ' ': -8.550804, '\n': -9.117922, ' no': -10.25901}
{' No': -0.027265213, 'No': -3.6205134, ' ': -9.700314, ' NO': -10.191458, ' no': -10.877291}
{' No': -0.042497158, 'No': -3.188596, ' no': -8.630815, ' ': -9.071761, ' NO': -9.958491}
{' No': -0.08706328, 'No': -2.4860346, ' ': -9.711679, ' NO': -10.327346, ' no': -11.005933}
{' No': -0.118314676, 'No': -2.1953678, ' no': -9.418186, ' ': -9.659118, 'no': -9.929336}
{' No': -0.21291836, 'No': -1.6561327, ' ': -7.8345456, '\n': -8.603106, ' NO': -8.624254}
{' No': -0.15709496, 'No': -1.9323369, ' ': -8.44322, ' NO': -9.250082, ' no': -9.257851}
{' No': -0.025039777, 'No': -3.705761, ' ': -9.648399, ' NO': -9.925053, ' no': -10.644104}
{' No': -0.015365896, 'No': -4.193148, ' ': -9.606924, ' no': -9.795702, ' NO': -11.151514}
{' No': -0.17753175, 'No': -1.8183569, ' ': -8.460576, '\n': -9.820066, ' NO': -10.050631}
{' No': -0.10953015, 'No': -2.2704072, ' ': -8.442574, ' Yes': -9.52811, ' no': -9.787134}
{' No': -0.13210678, 'No': -2.0936449, ' ': -8.448219, ' no': -9.311032, ' NO': -9.50923}
{' No': -0.10356451, 'No': -2.3349812, ' no': -7.415904, ' ': -7.979404, ' Yes': -8.593248}
{' No': -0.0019282378, 'No': -6.3637333, ' ': -8.934159, ' no': -10.14728, ' NO': -10.953525}
{' No': -0.00197201, 'No': -6.365192, ' ': -8.862692, ' no': -9.443909, '\n': -10.875444}
{' No': -0.011071855, 'No': -4.524133, ' ': -9.022852, ' NO': -10.745645, ' no': -11.174895}
{' No': -0.017051138, 'No': -4.1035666, ' ': -8.280082, ' no': -9.329675, ' NO': -10.685611}
{' No': -0.010973081, 'No': -4.5406265, ' ': -8.695008, '\n': -9.852746, ' NO': -11.003285}
{' No': -0.015836017, 'No': -4.172879, ' ': -8.3944845, '\n': -10.057519, ' no': -10.9298525}
{' No': -0.0038770111, 'No': -5.5936365, ' ': -9.200278, ' NO': -10.964488, ' no': -11.05907}
{' No': -0.006073325, 'No': -5.1687717, ' ': -8.316294, ' no': -9.560728, '\n': -10.373299}
{' No': -0.01069061, 'No': -4.5803447, ' ': -8.17191, '\n': -9.694326, ' NO': -10.73912}
{' No': -0.018252442, 'No': -4.055545, ' ': -7.516056, '\n': -8.712274, ' no': -10.448848}
{' No': -0.013682837, 'No': -4.380941, ' ': -7.63936, '\n': -7.7252765, ' no': -9.279434}
{' No': -0.022339324, 'No': -3.9116254, ' ': -7.1362844, ' no': -7.1811485, '\n': -7.751505}
{' No': -0.0021196557, 'No': -6.2159004, ' ': -9.361595, '\n': -10.882547, ' NO': -11.600002}
{' No': -0.0024978304, 'No': -6.063985, ' ': -8.993558, '\n': -10.535611, ' no': -11.738899}
{' No': -0.010251215, 'No': -4.6019278, ' ': -9.003207, '\n': -10.913432, ' NO': -10.987527}
{' No': -0.009100795, 'No': -4.7379327, ' ': -8.334657, '\n': -10.274437, ' NO': -11.223906}
{' No': -0.010860094, 'No': -4.5595202, ' ': -8.537545, '\n': -9.045503, ' NO': -11.277345}
{' No': -0.013017104, 'No': -4.3889823, ' ': -7.910135, '\n': -8.937236, ' NO': -11.660029}
{' No': -0.0023697852, 'No': -6.1152744, ' ': -8.9871855, ' NO': -11.102572, '\n': -11.314822}
{' No': -0.0032946102, 'No': -5.8043427, ' ': -8.37836, '\n': -10.55254, ' NO': -11.565977}
{' No': -0.016955102, 'No': -4.1685166, ' ': -7.097822, '\n': -7.6685205, ' NO': -10.748703}
{' No': -0.014282256, 'No': -4.317699, ' ': -7.421848, '\n': -8.390002, ' NO': -11.583177}
{' No': -0.0046343496, 'No': -5.412515, ' ': -9.081292, '\n': -10.206597, ' NO': -11.945775}
{' No': -0.0055299243, 'No': -5.268109, ' ': -8.247469, '\n': -9.668783, ' no': -10.727264}
{' No': -0.06668325, ' Yes': -2.8321786, 'No': -5.2354608, 'Yes': -8.198265, ' ': -11.005487}
{' No': -0.59620404, ' Yes': -0.81366473, 'No': -5.6452775, 'Yes': -6.122557, ' ': -9.185714}
{' No': -0.34586087, ' Yes': -1.3131727, 'No': -3.9597008, 'Yes': -5.480081, ' ': -9.258292}
{' No': -0.20176746, ' Yes': -1.8494953, 'No': -3.807566, 'Yes': -5.818828, ' ': -8.734016}
{' No': -0.7173233, ' Yes': -0.7277373, 'No': -4.026045, 'Yes': -4.5194626, ' ': -9.23575}
{' Yes': -0.01828662, 'Yes': -4.146516, ' No': -6.217135, ' yes': -8.6196785, 'No': -9.686882}
{' No': -0.04660624, ' Yes': -3.305378, 'No': -4.7615433, 'Yes': -8.301037, ' ': -10.197843}
{' No': -0.42700008, ' Yes': -1.0842074, 'No': -4.9619865, 'Yes': -6.111355, ' ': -9.114281}
{' No': -0.6677855, ' Yes': -0.80059606, 'No': -3.6461887, 'Yes': -4.451273, ' ': -8.509282}
{' Yes': -0.027179832, 'Yes': -3.8192654, ' No': -5.4453125, 'No': -8.343224, ' yes': -8.483814}
{' Yes': -0.06841756, ' No': -2.9555326, 'Yes': -4.436818, 'No': -6.2957907, ' yes': -8.184456}
{' Yes': -0.0146012455, 'Yes': -4.680943, ' No': -5.390631, ' yes': -7.774685, 'No': -8.991182}
{' Yes': -0.11079305, ' No': -2.2638884, 'Yes': -7.38534, ' yes': -8.683597, 'No': -9.501456}
{' Yes': -0.012966016, ' No': -4.424541, 'Yes': -7.203981, ' yes': -9.059699, ' ': -10.653319}
{' Yes': -0.6934991, ' No': -0.70525986, 'No': -5.81942, 'Yes': -5.822851, ' ': -8.84231}
{' Yes': -0.04870047, ' No': -3.1602917, 'Yes': -5.393112, 'No': -8.118748, ' yes': -8.805101}
{' No': -0.26130128, ' Yes': -1.5044596, 'No': -5.1952, 'Yes': -6.2463, ' ': -8.482647}
{' Yes': -0.034925174, ' No': -3.5504262, 'Yes': -5.277847, ' ': -8.631587, 'No': -8.684375}
{' No': -0.10356094, ' Yes': -2.3342488, 'No': -6.6703253, 'Yes': -8.625312, ' ': -10.407912}
{' Yes': -0.016759733, ' No': -4.1870418, 'Yes': -6.6641784, ' yes': -9.472762, ' ': -10.08501}
{' No': -0.39496568, ' Yes': -1.150928, 'No': -5.159402, 'Yes': -5.876628, ' ': -6.903753}
{' Yes': -0.024517197, ' No': -4.0599766, 'Yes': -5.0886154, ' ': -7.725809, 'No': -8.844028}
{' Yes': -0.34592524, ' No': -1.2487822, 'Yes': -5.778876, 'No': -6.4610796, ' yes': -7.8687406}
{' Yes': -0.018851152, ' No': -4.3757615, 'Yes': -5.3002076, ' yes': -7.384806, ' ': -8.275568}
{' No': -0.32769427, ' Yes': -1.3491328, 'No': -4.118374, 'Yes': -5.677683, ' yes': -8.925776}
{' Yes': -0.13377793, ' No': -2.163353, 'Yes': -4.880484, 'No': -6.3024564, ' yes': -7.2334213}
{' No': -0.117154, ' Yes': -2.756871, 'No': -3.10249, 'Yes': -6.1954346, ' ': -10.119222}
{' Yes': -0.29423007, ' No': -1.4937388, 'Yes': -3.917809, 'No': -4.6458325, ' yes': -7.300753}
{' Yes': -0.42245138, ' No': -1.3334546, 'Yes': -3.0312731, 'No': -3.462006, ' yes': -7.441956}
{' Yes': -0.038420565, 'Yes': -3.3420856, ' No': -6.6940045, ' yes': -7.0963917, 'No': -9.288916}
{' No': -0.04422811, ' Yes': -3.481419, 'No': -4.4163537, 'Yes': -7.991408, ' ': -9.775656}
{' Yes': -0.057522792, ' No': -2.995677, 'Yes': -5.2683973, 'No': -7.8260202, ' yes': -8.240428}
{' Yes': -0.6102754, ' No': -0.9553568, 'No': -3.2276957, 'Yes': -3.4473515, ' ': -8.2250395}
{' Yes': -0.030354433, 'Yes': -3.5733213, ' No': -6.966483, ' yes': -7.2920156, ' ': -9.455008}
{' Yes': -0.20750003, ' No': -1.9355081, 'Yes': -3.549852, 'No': -4.3953204, ' yes': -6.5728064}
{' Yes': -0.026209177, 'Yes': -3.7950118, ' yes': -6.040949, ' No': -7.1982174, 'yes': -9.3524275}
{' Yes': -0.21317999, ' No': -1.6649088, 'Yes': -6.7406893, ' yes': -7.096175, ' ': -7.6900816}
{' Yes': -0.008145779, ' No': -4.9972873, 'Yes': -7.303662, ' yes': -7.444665, ' ': -9.413566}
{' Yes': -0.36968678, ' No': -1.2038982, 'Yes': -5.277987, 'No': -5.871157, ' ': -7.4101186}
{' Yes': -0.09046604, ' No': -2.5289273, 'Yes': -5.2386556, 'No': -7.3285465, ' yes': -7.656732}
{' No': -0.54142076, ' Yes': -0.9022378, 'No': -5.0798306, 'Yes': -5.3670583, ' ': -6.7899313}
{' Yes': -0.008998485, 'Yes': -5.0980887, ' No': -6.077752, ' yes': -8.10543, ' ': -8.550256}
{' No': -0.21113807, ' Yes': -1.6744254, 'No': -6.2114177, 'Yes': -7.5548663, ' ': -8.358223}
{' Yes': -0.19046976, ' No': -1.7721214, 'Yes': -6.174838, ' yes': -7.62241, 'No': -7.6959667}
{' No': -0.56725824, ' Yes': -0.8647474, 'No': -5.289844, 'Yes': -5.530023, ' ': -6.1505847}
{' Yes': -0.015813246, ' No': -4.6394415, 'Yes': -5.291055, ' ': -7.4945474, ' yes': -8.136756}
{' No': -0.6533357, ' Yes': -0.76843464, 'No': -5.0616684, 'Yes': -5.3439617, ' yes': -6.160948}
{' Yes': -0.061344765, ' No': -3.1939301, 'Yes': -4.604693, ' yes': -5.1519113, ' ': -6.5816307}
{' Yes': -0.61908185, ' No': -0.77582765, 'Yes': -7.540579, 'No': -7.8175635, ' ': -8.427}
{' Yes': -0.060414515, ' No': -2.8555233, 'Yes': -7.1763616, ' ': -8.849551, ' yes': -9.039603}
{' Yes': -0.6003525, ' No': -0.81106687, 'No': -5.6897473, 'Yes': -5.7857676, ' ': -7.718413}
{' Yes': -0.12994757, ' No': -2.1544225, 'Yes': -5.411052, 'No': -7.1377807, ' ': -7.7641063}
{' No': -0.18386543, ' Yes': -1.8259094, 'No': -5.361382, 'Yes': -6.7980905, ' ': -7.030762}
{' Yes': -0.07994456, ' No': -2.6686516, 'Yes': -5.1279693, ' ': -7.3575134, 'No': -7.5385528}
{' No': -0.0792413, ' Yes': -2.590468, 'No': -7.0213337, ' ': -8.636726, 'Yes': -9.145735}
{' Yes': -0.14876342, ' No': -1.9925133, 'Yes': -6.751201, ' ': -7.853528, 'No': -8.52623}
{' No': -0.3325176, ' Yes': -1.3197421, 'No': -4.7500534, 'Yes': -5.770519, ' ': -5.7958293}
{' Yes': -0.032077707, ' No': -3.739786, 'Yes': -5.105161, ' ': -6.8100467, '\n': -8.1779375}
{' Yes': -0.41864502, ' No': -1.0812389, 'Yes': -6.6480985, 'No': -7.090073, ' ': -7.532327}
{' Yes': -0.3926576, ' No': -1.1400923, 'Yes': -6.1190305, 'No': -6.561257, ' ': -7.017972}
{' Yes': -0.005367754, 'Yes': -5.2457623, ' yes': -9.612595, ' YES': -11.656651, ' ': -12.691099}
{' Yes': -0.0056469236, 'Yes': -5.1939955, ' yes': -9.725247, ' YES': -11.608148, ' ': -11.918674}
{' Yes': -0.016487624, 'Yes': -4.1308575, ' yes': -8.444493, ' YES': -10.268156, 'yes': -11.009644}
{' Yes': -0.01981402, 'Yes': -3.945891, ' yes': -8.487267, ' YES': -10.209629, ' ': -10.765849}
{' Yes': -0.026868869, 'Yes': -3.6385765, ' yes': -8.727802, ' YES': -10.421083, 'yes': -11.141058}
{' Yes': -0.022022795, 'Yes': -3.8372045, ' yes': -8.670942, ' YES': -10.518929, ' ': -11.018135}
{' Yes': -0.007825315, 'Yes': -4.8722258, ' yes': -9.176761, ' YES': -10.862411, ' ': -11.816972}
{' Yes': -0.009230365, 'Yes': -4.703599, ' yes': -9.273138, ' YES': -11.164308, ' ': -11.437796}
{' Yes': -0.030055257, 'Yes': -3.5274343, ' yes': -8.722913, 'yes': -10.676342, ' YES': -10.8559885}
{' Yes': -0.029771587, 'Yes': -3.5355794, ' yes': -8.913905, ' ': -10.826356, 'yes': -10.836337}
{' Yes': -0.0139484415, 'Yes': -4.3028045, ' yes': -8.233701, ' YES': -10.702751, 'yes': -11.0628195}
{' Yes': -0.015055802, 'Yes': -4.2294397, ' yes': -8.121033, ' ': -10.227102, ' YES': -10.467729}
{' Yes': -0.0007163003, 'Yes': -7.3918886, ' yes': -9.376407, ' YES': -11.531145, ' ': -12.987054}
{' Yes': -0.0013158765, 'Yes': -6.7350626, ' yes': -9.14071, ' YES': -11.763776, ' ': -12.215444}
{' Yes': -0.0069596814, 'Yes': -5.0035834, ' yes': -8.685554, ' YES': -10.540187, ' ': -11.218841}
{' Yes': -0.0059311516, 'Yes': -5.1613193, ' yes': -8.902738, ' ': -11.019286, ' YES': -11.30225}
{' Yes': -0.009142839, 'Yes': -4.727998, ' yes': -8.679355, ' YES': -10.437293, ' ': -10.556206}
{' Yes': -0.0074006915, 'Yes': -4.9344635, ' yes': -9.185554, ' ': -10.180088, '\n': -11.144398}
{' Yes': -0.0016159489, 'Yes': -6.4981275, ' yes': -9.322435, ' YES': -11.321852, ' ': -12.772534}
{' Yes': -0.0019253711, 'Yes': -6.3027387, ' yes': -9.539846, ' YES': -11.679861, ' ': -11.731651}
{' Yes': -0.008770089, 'Yes': -4.7746353, ' yes': -9.032827, ' ': -9.331144, '\n': -9.822966}
{' Yes': -0.008149686, 'Yes': -4.8434005, ' yes': -9.229938, ' ': -9.275954, '\n': -10.698508}
{' Yes': -0.0055645686, 'Yes': -5.294865, ' yes': -7.9317193, '\n': -9.489597, ' ': -9.859797}
{' Yes': -0.008897267, 'Yes': -4.796506, ' yes': -7.703494, ' ': -9.63837, '\n': -10.221738}
{' Yes': -0.017061442, 'Yes': -4.1113777, ' yes': -7.6933727, 'yes': -10.438284, ' YES': -10.520668}
{' Yes': -0.013155697, 'Yes': -4.411156, ' yes': -7.089522, ' YES': -10.051153, 'yes': -10.363892}
{' Yes': -0.028997505, 'Yes': -3.564787, ' yes': -8.385966, 'yes': -10.392884, ' YES': -11.268867}
{' Yes': -0.035144687, 'Yes': -3.3815246, ' yes': -7.683244, 'yes': -10.143509, ' YES': -10.40848}
{' Yes': -0.07210411, 'Yes': -2.6782136, ' yes': -7.4092317, ' YES': -9.089983, 'yes': -9.383691}
{' Yes': -0.046960194, 'Yes': -3.0987654, ' yes': -7.418374, ' YES': -9.699145, 'yes': -9.702781}
{' Yes': -0.011964348, 'Yes': -4.4622717, ' yes': -8.084342, 'yes': -10.969678, ' YES': -11.044496}
{' Yes': -0.0092670005, 'Yes': -4.732011, ' yes': -7.897007, ' YES': -10.852013, 'yes': -11.109032}
{' Yes': -0.07434183, 'Yes': -2.6414595, ' yes': -8.305865, 'yes': -9.612451, ' ': -10.412957}
{' Yes': -0.034038793, 'Yes': -3.4109957, ' yes': -7.9506364, 'yes': -10.088558, ' ': -10.391428}
{' Yes': -0.037341785, 'Yes': -3.3409972, ' yes': -6.8644075, 'yes': -9.242057, ' ': -9.944003}
{' Yes': -0.04051971, 'Yes': -3.295492, ' yes': -6.0433955, 'yes': -8.831015, ' ': -9.655186}
{' Yes': -0.0029358014, 'Yes': -6.1837296, ' yes': -7.1509633, ' ': -10.315222, ' YES': -10.6098995}
{' Yes': -0.0018009221, 'Yes': -6.656252, ' yes': -7.6422863, ' ': -11.067661, ' YES': -11.693134}
{' Yes': -0.0119654955, 'Yes': -4.512179, ' yes': -7.174813, ' ': -9.756947, ' YES': -9.8501215}
{' Yes': -0.011372339, 'Yes': -4.547816, ' yes': -7.379423, ' ': -10.09569, 'yes': -10.5223255}
{' Yes': -0.011961151, 'Yes': -4.4728985, ' yes': -8.021732, ' ': -9.715895, '\n': -10.130289}
{' Yes': -0.007887598, 'Yes': -4.880095, ' yes': -8.674665, ' ': -9.848295, '\n': -11.085657}
{' Yes': -0.0045060907, 'Yes': -5.555216, ' yes': -7.4838867, ' YES': -10.566551, 'yes': -10.92952}
{' Yes': -0.005014672, 'Yes': -5.432247, ' yes': -7.482314, ' ': -10.518486, 'yes': -10.937792}
{' Yes': -0.012077158, 'Yes': -4.467359, ' yes': -8.498719, ' ': -8.671725, '\n': -9.069628}
