{' Yes': -0.0008259966, 'Yes': -7.33266, ' Spider': -9.466446, ' yes': -10.101548, ' The': -10.42057}
{' Yes': -0.033572197, ' No': -3.9481497, 'Yes': -4.947774, ' Ending': -5.152934, ' The': -8.386987}
{' Yes': -0.009322648, ' No': -4.944362, 'Yes': -6.2004404, ' The': -9.83789, 'No': -10.701163}
{' Yes': -0.19837658, ' Energy': -1.8405331, ' No': -4.5883565, 'Yes': -4.865161, 'Energy': -6.4570856}
{' Yes': -0.026112994, ' No': -4.2205863, 'Yes': -4.553746, 'No': -7.82595, ' yes': -10.019437}
{' Yes': -0.17686939, ' No': -1.8365489, 'Yes': -6.3194814, 'No': -7.337704, ' The': -8.888926}
{' No': -0.0603041, ' Yes': -2.919601, 'No': -5.5305514, ' The': -8.375499, 'Yes': -8.644717}
{' No': -0.018587518, 'No': -4.02536, ' Yes': -8.194216, ' Unfortunately': -9.224703, ' Nope': -9.5292635}
{' Yes': -0.25144896, ' No': -1.5335535, 'Yes': -5.5093584, 'No': -6.276885, ' The': -8.317759}
{' No': -0.043581765, 'No': -3.1671948, ' Unfortunately': -8.461729, ' The': -9.500727, ' ': -9.509454}
{' Yes': -0.0055619315, 'Yes': -5.200453, ' yes': -11.044259, ' YES': -12.384268, '\n': -12.523434}
{' Yes': -0.002460242, 'Yes': -6.1142607, ' No': -8.734637, ' yes': -10.084199, ' The': -10.608407}
{' Yes': -0.01747266, ' No': -4.241414, 'Yes': -5.9423614, ' The': -9.013602, 'No': -9.548194}
{' Yes': -0.011941485, ' No': -4.926948, 'Yes': -5.4667373, ' yes': -8.985055, ' The': -9.539609}
{' No': -0.07833244, ' Yes': -2.7035077, 'No': -4.941787, ' ': -7.6400714, 'Yes': -7.9557943}
{' No': -0.15508793, ' Yes': -1.976665, 'No': -5.574294, 'Yes': -7.389281, ' The': -8.536962}
{' No': -0.111043125, ' Yes': -2.3358068, 'No': -4.8669996, 'Yes': -7.6318784, ' The': -9.371379}
{' Yes': -0.03630311, ' No': -3.5635152, 'Yes': -5.0780015, 'No': -7.5435944, ' ': -8.576986}
{' Yes': -0.038855847, ' No': -3.3520842, 'Yes': -5.844262, 'No': -8.74233, ' yes': -10.946574}
{' No': -0.4392466, ' Yes': -1.0521636, 'No': -5.515474, 'Yes': -6.2520823, ' The': -8.574958}
{' Yes': -0.0022450425, 'Yes': -6.20817, ' No': -8.861654, ' The': -9.7837715, ' yes': -10.977154}
{' Yes': -0.013895193, 'Yes': -4.8193436, ' No': -5.201401, 'No': -9.746029, ' yes': -9.77693}
{' Yes': -0.005912564, 'Yes': -5.1930118, ' No': -8.225845, ' yes': -10.48922, ' ': -11.181567}
{' No': -0.1874466, ' Yes': -2.150053, 'No': -2.9915445, 'Yes': -5.549812, ' ': -8.656088}
{' No': -0.015398518, ' Yes': -4.468407, 'No': -5.694264, ' Not': -8.672493, ' The': -8.89097}
{' No': -0.009840605, ' Yes': -5.3067117, 'No': -5.3739686, ' Not': -9.3045025, ' ': -10.185381}
{' Yes': -0.5212829, ' No': -0.92246896, 'Yes': -5.3805246, 'No': -5.708725, ' The': -7.558627}
{' Yes': -0.029978175, 'Yes': -4.231596, ' No': -4.3091164, ' The': -7.3131332, ' Stars': -7.9152126}
{' Yes': -0.0089077335, 'Yes': -4.9571767, ' No': -6.4195447, ' yes': -9.403313, ' The': -9.636791}
{' Yes': -0.046066895, ' No': -3.3137705, 'Yes': -5.1506505, ' Doctor': -6.1970654, 'No': -7.554077}
{' No': -0.039847963, 'No': -3.276985, ' Yes': -6.86802, ' Not': -9.361221, 'Yes': -10.086809}
{' No': -0.40881276, ' Yes': -1.1144612, 'No': -5.395829, 'Yes': -6.1174827, ' The': -7.9801717}
{' No': -0.12855776, ' Yes': -2.1801991, 'No': -5.070557, 'Yes': -7.008848, ' The': -9.05204}
{' No': -0.115783565, ' Yes': -2.3085744, 'No': -4.782638, 'Yes': -6.912311, ' The': -8.633757}
{' No': -0.033393275, ' Yes': -3.8610492, 'No': -4.483941, 'Yes': -8.447413, ' ': -9.676493}
{' No': -0.03414345, ' Yes': -3.5661104, 'No': -5.371107, ' The': -8.941648, 'Yes': -9.011553}
{' Yes': -0.081659295, ' No': -2.6892145, 'Yes': -4.7123795, ' The': -7.2230473, 'No': -7.45688}
{' No': -0.6121496, ' Yes': -0.8085569, 'Yes': -5.1804194, 'No': -5.243306, ' The': -6.804988}
{' Yes': -0.05146308, ' No': -3.0899458, 'Yes': -5.4657774, 'No': -8.188827, ' ': -9.889506}
{' No': -0.15229805, ' Yes': -2.0220947, 'No': -4.9256973, 'Yes': -6.9037127, ' The': -8.384157}
{' No': -0.0071204314, 'No': -5.024084, ' Yes': -7.9125996, ' Unfortunately': -9.887461, ' Ex': -10.30981}
{' No': -0.12680934, ' Yes': -2.3059342, 'No': -4.193622, 'Yes': -6.639619, ' The': -6.736712}
{' Yes': -0.017598163, 'Yes': -4.2748117, ' Loving': -6.293317, ' No': -6.964677, '\n': -8.317096}
{' Yes': -0.09626021, ' No': -2.432293, 'Yes': -5.873705, 'No': -7.6185684, ' The': -8.176041}
{' No': -0.020557305, ' Yes': -4.276573, 'No': -5.075508, 'Yes': -9.350659, ' ': -9.759092}
{' No': -0.047146123, ' Yes': -3.1776202, 'No': -5.7398567, ' The': -7.563343, ' ': -8.817184}
{' No': -0.6770696, ' Yes': -0.74824613, 'No': -4.631602, 'Yes': -5.3615727, ' Butter': -5.9042115}
{' Yes': -0.072672024, ' No': -2.8106003, 'Yes': -4.740719, 'No': -6.8896103, ' The': -9.866129}
{' No': -0.029773181, 'No': -3.5449536, ' Yes': -7.850663, ' ': -9.75472, 'Yes': -11.919259}
{' Yes': -0.29229444, ' No': -1.3905916, 'Yes': -6.0708027, 'No': -6.5105767, ' The': -7.740662}
{' No': -0.16091965, ' Yes': -1.971251, 'No': -4.9134088, 'Yes': -6.6109505, ' The': -7.771927}
{' No': -0.04178301, ' Yes': -3.3636572, 'No': -5.1510625, 'Yes': -8.255209, ' ': -9.207303}
{' Yes': -0.2228197, ' No': -1.7657598, 'Yes': -3.9884696, ' She': -5.1764402, 'No': -5.984628}
{' Yes': -0.25747824, ' No': -1.5531821, 'Yes': -4.412738, 'No': -5.8810434, '\n': -8.399362}
{' Yes': -0.10086588, ' No': -2.407581, 'Yes': -5.368654, 'No': -7.2239833, ' The': -7.9487524}
{' Yes': -0.12119833, ' No': -2.235231, 'Yes': -5.25444, 'No': -7.0786734, ' The': -7.115611}
{' No': -0.03415566, ' Yes': -3.6304116, 'No': -5.0902414, 'Yes': -8.297133, ' Sunset': -8.323175}
{' Yes': -0.13554978, ' No': -2.1006892, 'Yes': -5.6098228, 'No': -7.6874275, ' The': -9.082529}
{' Yes': -0.42990676, ' No': -1.0632571, 'Yes': -6.2424107, 'No': -6.4073443, ' The': -8.20342}
{' No': -0.030538278, ' Yes': -3.736366, 'No': -5.1349826, 'Yes': -9.010701, ' ': -9.271768}
{' No': -0.018770065, 'No': -4.453909, ' Yes': -4.997789, 'Yes': -9.648911, ' Not': -9.856653}
{' No': -0.103196345, ' Yes': -2.4288533, 'No': -4.71251, 'Yes': -7.3095384, ' ': -9.342933}
{' Yes': -0.049447212, ' No': -3.099206, 'Yes': -6.21683, ' The': -7.15466, 'No': -8.681397}
{' Yes': -0.098225765, ' No': -2.4215555, 'Yes': -5.711459, ' The': -7.363692, 'No': -7.457673}
{' No': -0.15985203, ' Yes': -2.0760813, 'No': -3.9272926, 'Yes': -6.5033402, ' Not': -7.7846613}
{' No': -0.010859131, 'No': -4.6908727, ' Yes': -6.5880527, ' Not': -8.797738, ' ': -10.500071}
{' No': -0.011481704, ' Yes': -4.796043, 'No': -5.8686457, ' Not': -9.056214, ' The': -9.472747}
{' No': -0.083661154, ' Yes': -2.6196718, 'No': -5.2443876, ' Not': -6.4728613, 'Yes': -7.990405}
{' Yes': -0.0030998546, 'Yes': -5.8386936, ' The': -9.785299, ' yes': -9.880259, ' No': -10.100342}
{' Yes': -0.0041995808, 'Yes': -5.524799, ' No': -9.33455, ' yes': -9.867078, ' The': -10.6087675}
{' Yes': -0.011602541, 'Yes': -4.495802, ' No': -8.681149, ' yes': -9.421915, '\n': -9.851065}
{' Yes': -0.003290544, 'Yes': -5.7562423, ' yes': -10.094122, ' No': -10.599939, ' The': -10.670122}
{' No': -0.116877005, ' Yes': -2.2383368, 'No': -5.860813, 'Yes': -8.036633, ' The': -8.520441}
{' No': -0.1709243, ' Yes': -1.9239894, 'No': -4.8850527, 'Yes': -6.750888, ' Muscle': -7.251871}
{' No': -0.59880775, ' Yes': -0.8101821, 'No': -5.7145643, 'Yes': -6.372357, ' The': -7.78168}
{' No': -0.4991893, ' Yes': -0.95358455, 'No': -5.722118, ' Empire': -6.382076, 'Yes': -6.557901}
{' No': -0.012052059, 'No': -4.4556823, ' Yes': -8.111714, ' ': -10.339959, ' Not': -11.770961}
{' No': -0.014221495, 'No': -4.2836857, ' Yes': -8.585243, ' ': -9.941848, '\n': -10.503548}
{' Yes': -0.0234648, ' No': -4.054068, 'Yes': -5.259743, 'No': -8.26049, ' Hunger': -8.774332}
{' Yes': -0.003667724, 'Yes': -5.9758315, ' No': -6.877876, ' yes': -10.166298, ' The': -10.655814}
{' Yes': -0.008321082, ' No': -5.0774984, 'Yes': -6.233867, 'No': -10.474373, ' yes': -10.521985}
{' No': -0.40384573, ' Yes': -1.3916903, '\n': -2.7237098, 'No': -4.868096, ' ': -6.0782366}
{' Yes': -0.2621402, ' No': -1.491474, 'Yes': -5.697511, 'No': -6.8393836, ' The': -7.2481837}
{' No': -0.086149484, ' Yes': -2.6975653, 'No': -4.260391, 'Yes': -7.135956, ' Unfortunately': -9.567028}
{' No': -0.041920178, ' Yes': -3.3092883, 'No': -5.470318, 'Yes': -8.976326, ' Not': -9.70933}
{' No': -0.409391, ' Yes': -1.1151329, 'No': -5.222696, 'Yes': -6.1972284, ' ': -8.025641}
{' No': -0.42170924, ' Yes': -1.077015, 'No': -6.2852173, 'Yes': -6.9252276, ' The': -7.7752285}
{' Yes': -0.48851842, ' No': -0.96440953, 'Yes': -5.948998, 'No': -6.1450386, ' The': -8.303467}
{' No': -0.5512179, ' Yes': -0.884754, ' The': -5.361175, 'Yes': -6.0552287, 'No': -6.1352043}
{' No': -0.08041238, ' Yes': -2.6474957, 'No': -5.65769, ' ': -7.384461, ' The': -7.3853645}
{' No': -0.3259896, ' Yes': -1.3146657, 'No': -4.9514546, 'Yes': -6.244992, ' The': -8.390782}
{' No': -0.083443105, ' Yes': -2.6421628, 'No': -4.851181, 'Yes': -7.558687, ' ': -8.207861}
{' No': -0.21742816, ' Yes': -1.6461697, 'No': -6.514734, 'Yes': -7.573633, ' The': -7.8288383}
{' Yes': -0.37397072, ' No': -1.1892534, 'Yes': -5.394999, 'No': -6.3192964, ' The': -7.0008335}
{' No': -0.017659072, 'No': -4.5864396, ' Yes': -4.9763, 'Yes': -8.928933, ' The': -9.392719}
{' No': -0.22876194, ' Yes': -1.621649, 'No': -5.2211823, 'Yes': -6.6020164, ' ': -9.797249}
{' Yes': -0.22540016, ' No': -1.627248, 'Yes': -5.645428, 'No': -6.7503076, ' The': -8.178783}
{' No': -0.4231058, ' Yes': -1.0879467, 'No': -5.416882, 'Yes': -6.3651776, ' The': -6.87065}
{' No': -0.012619966, ' Yes': -4.708571, 'No': -5.72445, 'Yes': -9.296631, ' The': -9.422479}
{' No': -0.011336651, 'No': -5.1471853, ' Yes': -5.2487497, 'Yes': -9.566064, ' Unfortunately': -9.979422}
{' Yes': -0.1779076, ' No': -1.8835521, 'Yes': -4.8406596, ' The': -6.641736, 'No': -6.9326925}
{' No': -0.1857312, ' Yes': -1.8141224, 'No': -5.3720737, 'Yes': -6.519513, ' The': -8.261067}
{' No': -0.057932608, 'No': -2.8887982, ' Yes': -7.7173142, ' Unfortunately': -9.493156, ' Not': -9.968133}
{' Yes': -0.10707642, ' No': -2.4140108, 'Yes': -4.6322913, 'No': -6.519582, ' The': -7.6646547}
{' No': -0.08851286, ' Yes': -2.5552638, 'No': -5.036808, 'Yes': -7.7231445, ' ': -10.142946}
{' No': -0.02008236, ' Yes': -4.2189503, 'No': -5.3117404, 'Yes': -9.440037, ' ': -10.027343}
{' Yes': -0.008817713, ' No': -5.308019, 'Yes': -5.637907, ' The': -9.285711, ' yes': -9.730061}
{' Yes': -0.06343005, ' No': -2.9036343, 'Yes': -5.156558, 'No': -7.464284, ' The': -9.027661}
{' Yes': -0.0069258297, 'Yes': -5.27227, ' No': -6.5934105, ' The': -8.585243, ' yes': -9.317556}
{' Yes': -0.01606173, 'Yes': -4.8537116, ' No': -4.858999, ' yes': -9.1249, ' The': -9.28983}
{' Yes': -0.1481683, ' No': -2.0576608, 'Yes': -4.895582, 'No': -6.0420732, ' yes': -10.412249}
{' Yes': -0.046225812, ' No': -3.157243, 'Yes': -6.1213865, 'No': -8.56734, ' The': -9.511479}
{' Yes': -0.033146054, ' No': -3.5228558, 'Yes': -5.9114776, ' The': -9.039705, 'No': -9.136122}
{' Yes': -0.0035132095, 'Yes': -5.810104, ' No': -8.669763, ' yes': -9.134717, ' The': -9.312499}
{' Yes': -0.04724766, ' No': -3.4916234, 'Yes': -4.2612653, 'No': -7.3272576, ' Unfortunately': -8.418122}
{' Yes': -0.59213644, ' No': -0.83260924, 'No': -5.0515003, 'Yes': -5.2588177, ' The': -9.072986}
{' No': -0.060951848, ' Yes': -3.1542494, 'No': -4.1730814, 'Yes': -7.2965965, ' Dis': -9.447694}
{' No': -0.009882502, 'No': -5.2936654, ' Yes': -5.3795667, '\n': -9.824754, ' ': -9.852402}
{' Yes': -0.087625206, ' No': -2.5439641, 'Yes': -5.3586783, 'No': -7.6484447, ' yes': -9.939122}
{' Yes': -0.010127052, 'Yes': -5.1409445, ' No': -5.530871, ' The': -9.211411, ' yes': -9.561193}
{' Yes': -0.012178334, ' No': -4.886133, 'Yes': -5.4499493, ' yes': -9.458857, ' The': -9.492483}
{' Yes': -0.06518388, ' No': -2.8455145, 'Yes': -5.477785, 'No': -7.854212, ' The': -8.465393}
{' No': -0.07613814, ' Yes': -2.7127407, 'No': -5.1267877, ' The': -7.680924, 'Yes': -8.386245}
{' Yes': -0.0047447183, 'Yes': -5.7563405, ' No': -6.6857934, ' The': -8.493577, ' yes': -9.498566}
{' No': -0.018406337, ' Yes': -4.4838204, 'No': -5.025252, ' The': -8.701654, 'Yes': -9.451441}
{' No': -0.109221034, ' Yes': -2.342112, 'No': -5.053818, 'Yes': -7.3783994, ' The': -8.6837225}
{' Yes': -0.12996243, ' No': -2.1389706, 'Yes': -5.7495284, 'No': -7.4974318, ' The': -8.549433}
{' No': -0.0071771606, 'No': -5.214708, ' Yes': -6.484033, ' ': -9.577125, ' The': -10.059272}
{' Yes': -0.41401473, ' No': -1.0927256, 'No': -6.356495, 'Yes': -6.3968368, ' The': -9.067284}
{' Yes': -0.014386013, ' No': -4.7433457, 'Yes': -5.2879415, ' yes': -9.084341, ' The': -9.11772}
{' No': -0.033589147, 'No': -4.129027, ' Yes': -4.420281, ' Planet': -5.4829125, ' Not': -8.331369}
{' No': -0.20943932, ' Yes': -1.7741709, 'No': -4.1268435, 'Yes': -5.9781995, ' Planet': -8.224098}
{' Yes': -0.60198396, ' No': -0.8269481, 'No': -4.8966784, 'Yes': -4.95417, ' ': -8.884558}
{' Yes': -0.008974728, ' No': -5.1431146, 'Yes': -5.8368244, ' yes': -9.584705, ' ': -9.962391}
{' Yes': -0.008643762, 'Yes': -4.780153, ' No': -9.010493, ' yes': -10.491249, ' ': -10.678317}
{' No': -0.19240691, ' Yes': -2.0168314, 'No': -3.3506346, 'Yes': -5.0592337, '\n': -8.218545}
{' No': -0.012252973, ' Yes': -4.9512844, 'No': -5.328255, ' The': -9.785387, ' ': -9.871918}
{' No': -0.0075428924, ' Yes': -5.4127226, 'No': -5.871354, ' ': -9.763307, ' Unfortunately': -10.047763}
{' No': -0.15122098, ' Yes': -2.0397575, 'No': -4.7731557, 'Yes': -6.7343183, ' Not': -8.396172}
{' Yes': -0.011998733, 'Yes': -4.951465, ' No': -5.365911, ' yes': -9.922946, 'No': -9.944098}
{' No': -0.28014725, ' Yes': -1.4360539, 'No': -5.273372, 'Yes': -7.254464, ' Not': -8.538871}
{' Yes': -0.15848725, ' No': -1.9630221, 'Yes': -5.649122, 'No': -6.3756404, ' Finger': -7.6540484}
{' Yes': -0.010366362, 'Yes': -4.603002, ' No': -9.070721, ' yes': -9.571562, ' The': -9.949337}
{' Yes': -0.37269184, ' No': -1.2013031, 'Yes': -5.4654994, ' The': -6.069919, ' Not': -6.6133056}
{' Yes': -0.028738422, ' No': -3.7952101, 'Yes': -5.207407, 'No': -8.454821, ' ': -9.723314}
{' Yes': -0.004848869, 'Yes': -5.6521935, ' No': -6.9643083, ' The': -8.292299, ' yes': -9.637346}
{' No': -0.07285549, ' Yes': -3.0040917, 'No': -3.9243038, 'Yes': -7.4325814, ' ': -9.13717}
{' Yes': -0.5446246, ' No': -0.8786509, 'Yes': -6.1871543, 'No': -6.399404, ' The': -7.5430737}
{' Yes': -0.6655071, ' Sc': -0.8101967, 'Sc': -4.061833, 'Yes': -4.645926, ' No': -5.814059}
{' Yes': -0.021808095, 'Yes': -4.3554244, ' No': -5.434409, ' Sc': -5.8115983, ' yes': -7.7666764}
{' No': -0.025919005, 'No': -3.7021787, ' Yes': -7.271028, ' Unfortunately': -9.89384, ' Not': -9.905158}
{' No': -0.015452998, 'No': -4.2099223, ' Yes': -7.8926706, ' ': -9.499979, '\n': -11.439253}
{' No': -0.35059038, ' Yes': -1.26232, 'No': -4.6503396, 'Yes': -6.0320535, ' Unfortunately': -8.013716}
{' No': -0.20583203, ' Yes': -1.7038196, 'No': -5.803543, 'Yes': -7.165369, ' ': -9.449619}
{' No': -0.22433549, ' Yes': -1.6379707, 'No': -5.2423406, 'Yes': -6.9454503, ' The': -9.303499}
{' No': -0.11119273, ' Yes': -2.3311746, 'No': -4.9349117, 'Yes': -7.3443084, ' The': -9.831408}
{' Yes': -0.05409212, ' No': -2.9958777, 'Yes': -6.070308, 'No': -8.314218, ' Not': -10.126251}
{' No': -0.033079144, ' Yes': -3.7333179, 'No': -4.809658, 'Yes': -8.54524, ' ': -8.78936}
{' Yes': -0.012486574, 'Yes': -4.4672403, ' No': -7.2079096, ' The': -9.231486, ' yes': -10.016931}
{' No': -0.5162796, ' Yes': -0.92069477, 'No': -5.949389, 'Yes': -6.414976, ' The': -8.083374}
{' No': -0.049665548, ' Yes': -3.1722867, 'No': -5.1850643, ' Unfortunately': -8.187406, ' The': -8.418991}
{' No': -0.4478492, ' Yes': -1.0387707, 'No': -5.4089046, 'Yes': -6.314443, ' The': -8.222689}
{' Yes': -0.08604996, ' No': -2.555046, 'Yes': -5.692144, ' Repeat': -7.2585063, 'No': -7.5602474}
{' Yes': -0.015178642, ' No': -4.371858, 'Yes': -6.103078, ' The': -9.477272, 'No': -9.767126}
{' Yes': -0.0007332964, 'Yes': -7.280831, ' yes': -10.6894865, ' The': -11.465233, ' No': -12.303122}
{' Yes': -0.0016255016, 'Yes': -6.4402237, ' yes': -10.895712, ' The': -12.164029, ' YES': -13.690554}
{' Yes': -0.0012604914, 'Yes': -6.824779, ' No': -8.824446, ' yes': -11.454902, ' The': -11.660094}
{' Yes': -0.11217031, ' No': -2.2794087, 'Yes': -6.3968205, ' Candle': -6.533131, ' Cand': -8.238542}
{' Yes': -0.051335324, ' No': -3.040303, 'Yes': -6.366335, ' The': -8.292668, 'No': -8.832529}
{' Yes': -0.25003207, ' No': -1.5230308, 'Yes': -6.2396307, 'No': -7.1073637, ' The': -8.490289}
{' Yes': -0.026649637, ' No': -3.7617054, 'Yes': -5.8876505, 'No': -8.99028, ' The': -9.4718485}
{' Yes': -0.005227116, 'Yes': -5.3980927, ' No': -7.469914, ' The': -9.857228, ' yes': -10.03774}
{' Yes': -0.058360104, ' No': -2.9297187, 'Yes': -5.921, 'No': -8.139219, ' The': -8.720637}
{' Yes': -0.0018664877, 'Yes': -6.5383954, ' No': -8.074359, ' The': -9.655507, ' yes': -10.526744}
{' No': -0.018686986, ' Yes': -4.2756047, 'No': -5.5705614, ' Unfortunately': -7.389334, ' Not': -9.342913}
{' Yes': -0.03575916, ' No': -3.4506702, 'Yes': -5.8971214, ' The': -7.895765, 'No': -9.120096}
{' Yes': -0.45003253, ' No': -1.0233376, 'Yes': -6.850621, 'No': -6.8881965, ' The': -7.602491}
{' No': -0.048994582, ' Yes': -3.2125514, 'No': -4.9484863, 'Yes': -8.532581, ' The': -9.190467}
{' Yes': -0.0034213993, 'Yes': -6.3817105, ' No': -6.4059973, ' The': -10.546018, ' yes': -10.782205}
{' Yes': -0.0067028874, 'Yes': -5.5483437, ' No': -5.9175634, ' The': -10.286436, ' yes': -10.726357}
{' Yes': -0.6826927, ' No': -0.7387649, 'No': -4.5918036, 'Yes': -5.0384836, ' Not': -8.833899}
{' Yes': -0.038770523, ' No': -3.3104875, 'Yes': -6.6350346, 'No': -9.531485, ' The': -9.893038}
{' No': -0.0041391887, 'No': -5.6605415, ' Yes': -7.4215393, ' ': -10.707374, ' The': -11.542076}
{' No': -0.012552663, ' Yes': -4.870016, 'No': -5.371456, ' Not': -9.73955, 'Yes': -10.363514}
{' No': -0.14436255, ' Yes': -2.0247126, 'No': -6.4725943, ' The': -8.117379, ' Not': -8.526525}
{' No': -0.44625533, ' Yes': -1.0329539, 'No': -6.135224, 'Yes': -6.9485083, ' The': -8.266663}
{' Yes': -0.0038449394, 'Yes': -5.5682344, ' yes': -11.283066, ' ': -12.905616, ' The': -13.322532}
{' Yes': -0.002504523, 'Yes': -6.0086646, ' yes': -10.419366, ' The': -12.118931, ' ': -12.32125}
{' Yes': -0.102970496, ' No': -2.371752, 'Yes': -5.87339, ' The': -7.069971, 'No': -7.705462}
{' Yes': -0.097556464, ' No': -2.4344935, 'Yes': -5.557534, 'No': -7.294849, ' The': -7.531179}
{' Yes': -0.0072721997, ' No': -5.408349, 'Yes': -5.931228, ' ': -10.430137, ' The': -10.770791}
{' Yes': -0.0142309265, ' No': -4.628317, 'Yes': -5.5496783, ' The': -8.320164, 'No': -9.770706}
{' Yes': -0.28490543, ' No': -1.5397806, ' Nep': -3.8735917, 'Yes': -5.170579, 'No': -5.7508836}
{' Yes': -0.009716074, 'Yes': -5.2877655, ' No': -5.44877, ' The': -8.797867, ' ': -10.307208}
{' Yes': -0.45584765, ' No': -1.0120648, 'Yes': -6.657712, 'No': -6.9450727, ' The': -8.44983}
{' Yes': -0.1004077, ' No': -2.3760386, 'Yes': -6.196105, 'No': -8.153552, ' The': -8.897515}
{' Yes': -0.004512736, 'Yes': -5.655843, ' No': -6.97792, ' The': -10.6544485, ' yes': -10.907409}
{' Yes': -0.001036658, 'Yes': -7.0246434, ' No': -9.05918, ' yes': -10.981532, ' ': -11.880668}
{' Yes': -0.15846357, ' No': -1.9521037, 'Yes': -5.6151285, 'No': -7.635447, ' The': -8.065882}
{' Yes': -0.08528638, ' No': -2.5930567, 'Yes': -5.0525618, 'No': -7.8627887, ' The': -9.090632}
{' No': -0.016373893, 'No': -4.146447, ' Yes': -7.9476213, ' Unfortunately': -10.234483, ' ': -11.199537}
{' Yes': -0.24372141, ' No': -1.5543486, 'Yes': -5.9239917, 'No': -6.793234, ' The': -7.6646705}
{' Yes': -0.014269077, ' No': -4.4162827, 'Yes': -6.2366633, ' The': -9.897328, 'No': -10.17083}
{' Yes': -0.24865828, ' Energy': -1.5392239, 'Yes': -5.765275, 'Energy': -7.1410513, ' ': -7.6225095}
{' Yes': -0.005117653, 'Yes': -5.3050194, ' No': -9.281276, ' yes': -10.619659, ' ': -11.954517}
{' Yes': -0.051505875, ' No': -3.0283637, 'Yes': -6.504495, 'No': -8.758008, ' The': -9.57969}
{' Yes': -0.12871373, ' No': -2.1314452, 'Yes': -6.6980624, ' The': -7.6967955, 'No': -8.138207}
{' No': -0.007286609, 'No': -5.01244, ' Yes': -7.7875066, ' Nope': -9.596933, ' Not': -10.353195}
{' Yes': -0.0037078066, 'Yes': -5.964325, ' No': -6.9470496, ' The': -9.244303, ' yes': -10.136227}
{' No': -0.01441637, 'No': -4.435902, ' Yes': -6.1131077, ' The': -9.378521, ' ': -9.791849}
{' Yes': -0.0022844095, 'Yes': -6.0910425, ' yes': -11.477577, ' YES': -12.590435, ' Strong': -12.933573}
{' Yes': -0.00079217425, 'Yes': -7.1725163, ' yes': -11.223167, ' No': -11.862131, ' The': -13.664933}
{' Yes': -0.0014137616, 'Yes': -6.9895115, ' No': -7.729957, ' yes': -10.682856, ' The': -10.828087}
{' Yes': -0.0015758311, 'Yes': -6.6286864, ' No': -8.7875805, ' yes': -9.905279, ' The': -10.216455}
{' Yes': -0.46700975, ' No': -0.997018, 'Yes': -6.6764684, ' Bl': -6.749415, 'No': -6.8446283}
{' Yes': -0.2175778, ' No': -1.6476734, 'Yes': -6.17446, 'No': -7.3016286, ' The': -8.860911}
{' No': -0.60160637, ' Yes': -0.80245787, 'No': -5.9968867, 'Yes': -6.819265, ' The': -8.673912}
{' Yes': -0.003422356, 'Yes': -6.180571, ' No': -6.707318, ' The': -9.935301, ' yes': -10.073029}
{' Yes': -0.005702673, ' No': -5.631295, 'Yes': -6.1799417, 'No': -11.331214, ' yes': -11.688373}
{' Yes': -0.008227927, ' No': -5.193902, 'Yes': -6.04301, ' The': -8.48132, ' yes': -10.780332}
{' Yes': -0.0010364187, 'Yes': -6.925017, ' No': -10.773138, ' The': -11.007574, ' yes': -11.43299}
{' Yes': -0.0030911833, 'Yes': -5.8698015, ' No': -8.383958, ' yes': -10.920041, ' ': -12.005317}
{' Yes': -0.0026574458, 'Yes': -5.9475083, ' yes': -10.948833, ' No': -11.554108, ' The': -12.076801}
{' Yes': -0.042752866, ' No': -3.34386, 'Yes': -5.103801, 'No': -7.9302015, ' ': -9.600554}
{' No': -0.24045973, ' Yes': -1.5626814, 'No': -5.895588, 'Yes': -7.357748, ' The': -7.75165}
{' No': -0.09272645, ' Yes': -2.4612453, 'No': -5.904507, 'Yes': -8.438102, ' Not': -8.748583}
{' Yes': -0.07421639, ' No': -2.7066379, 'Yes': -5.5674086, 'No': -7.845586, ' The': -8.002034}
{' Yes': -0.0061929086, 'Yes': -5.1275477, ' No': -9.279059, ' The': -9.293702, ' yes': -10.244552}
{' Yes': -0.0036762774, 'Yes': -5.667563, ' No': -9.010881, ' The': -10.127009, ' yes': -10.158917}
{' Yes': -0.013688879, ' No': -4.5538, 'Yes': -5.987407, ' Doctor': -7.935196, ' yes': -9.670766}
{' No': -0.13534687, ' Yes': -2.1829045, 'No': -4.5221457, 'Yes': -6.630204, ' Rot': -7.4300203}
{' Yes': -0.020504128, ' No': -4.0680065, 'Yes': -5.934094, ' The': -7.947525, 'No': -9.652334}
{' Yes': -0.38464528, ' No': -1.1562728, 'Yes': -5.831062, 'No': -6.5800447, ' The': -8.957254}
{' Yes': -0.52746, ' No': -0.91833097, 'Yes': -5.225281, 'No': -5.441635, ' The': -7.4865184}
{' No': -0.559752, ' Yes': -0.8603596, 'No': -5.730517, 'Yes': -6.2829194, ' The': -8.672143}
{' No': -0.43480253, ' Yes': -1.0532355, 'No': -6.285096, 'Yes': -7.1408706, ' The': -7.5593534}
{' Yes': -0.008939787, 'Yes': -5.0767455, ' No': -6.0753436, ' The': -8.159081, ' yes': -10.548244}
{' Yes': -0.033350814, ' No': -3.5891101, 'Yes': -5.3958726, ' The': -7.78645, 'No': -8.898249}
{' Yes': -0.0072962143, ' No': -5.3088174, 'Yes': -6.094206, ' The': -10.841097, 'No': -10.950928}
