{'\n': -9.868756, ' ': -9.318076, ' Yes': -0.0024784687, ' yes': -8.480762, 'Yes': -6.177218}
{'\n': -7.2598968, ' ': -7.352266, ' Yes': -0.005411019, ' yes': -6.519363, 'Yes': -6.11959}
{'\n': -5.903653, ' ': -6.8586965, ' Yes': -0.014214422, ' yes': -6.3477407, 'Yes': -4.822606}
{'\n': -5.0526667, ' ': -5.885995, ' Yes': -0.022354987, ' yes': -6.052001, 'Yes': -4.6174073}
{'\n': -7.4754786, ' ': -6.8457637, ' Yes': -0.004512616, ' yes': -7.2086406, 'Yes': -6.219262}
{'\n': -4.8530626, ' ': -6.071289, ' Yes': -0.03217988, ' yes': -6.258161, 'Yes': -3.9967394}
{'\n': -5.315605, ' ': -5.684901, ' Yes': -0.049643002, ' yes': -3.598078, 'Yes': -4.6369305}
{' No': -0.007614, '\n': -8.505626, ' ': -7.734533, 'No': -4.976835, ' no': -10.843065}
{' No': -0.021396127, '\n': -9.010423, ' ': -6.8490725, 'No': -3.9205241, ' no': -10.06774}
{' No': -0.030941913, '\xa0': -9.654695, '\n': -7.282222, ' ': -6.9231296, 'No': -3.557614}
{' No': -0.009608766, '\n': -10.451545, ' ': -7.830938, 'No': -4.7033267, ' no': -10.488223}
{' No': -0.043076962, '\n': -6.331333, ' ': -6.278342, 'No': -3.2681305, ' Unfortunately': -9.93732}
{' No': -0.041918557, '\n': -7.25103, ' ': -7.0689745, 'No': -3.2421196, ' no': -8.571891}
{' No': -0.0049082856, '\n': -7.15282, ' ': -6.0079846, 'No': -6.5150685, ' no': -9.123527}
{' No': -0.022924744, '\n': -5.839667, ' ': -5.9148602, 'No': -4.0952396, ' no': -8.49908}
{' No': -0.06393196, '\n': -3.6674628, ' ': -4.6978955, 'No': -3.6522326, ' no': -7.622779}
{' No': -0.003433478, '\n': -8.8442135, ' ': -6.4656434, 'No': -6.4271035, ' no': -9.526781}
{' No': -0.14434327, '\n': -3.858058, ' ': -4.5587773, 'No': -2.307374, ' no': -6.6639214}
{' No': -0.02589301, '\n': -6.6740174, ' ': -5.649953, 'No': -4.011378, ' no': -6.0860467}
{' No': -0.073908426, '\n': -7.0968075, ' ': -6.0016127, 'No': -2.8184018, ' no': -4.9240785}
{' No': -0.07592025, '\n': -8.86546, ' ': -6.772135, 'No': -2.6466389, ' no': -7.602645}
{' No': -0.13371995, '\n': -7.9447875, ' ': -6.468017, 'No': -2.1031241, ' no': -7.652904}
{' No': -0.019251924, ' ': -7.087526, 'No': -4.0425444, 'no': -9.822341, ' no': -7.822033}
{' No': -0.24070142, '\n': -6.7328916, ' ': -6.417918, 'No': -1.559387, ' no': -8.086296}
{' No': -0.08062059, ' ': -7.629821, 'No': -2.57133, 'no': -9.077829, ' no': -8.162125}
{' No': -0.0803193, '\n': -6.071941, ' ': -5.030272, 'No': -4.828576, ' no': -2.8339813}
{' No': -0.06112063, '\n': -4.78385, ' ': -4.895266, 'No': -3.307428, ' no': -5.134269}
{' No': -0.11703619, '\n': -3.2822638, ' ': -4.633966, 'No': -2.9515316, ' no': -4.6952705}
{' No': -0.02137585, '\n': -6.351282, ' ': -5.6014533, 'No': -4.2952003, ' no': -6.3010235}
{' No': -0.21085165, '\n': -2.9358184, ' ': -4.529569, 'No': -2.185583, ' no': -4.5457206}
{' No': -0.17713568, '\n': -4.3173637, ' ': -4.964353, 'No': -3.89886, ' no': -2.1353266}
{' No': -0.010479713, '\n': -5.9316545, ' ': -5.832838, 'No': -5.423726, ' no': -8.097909}
{' No': -0.031179367, '\n': -5.1179695, ' ': -5.392017, 'No': -3.9406755, ' no': -7.8080573}
{' No': -0.053903382, '\n': -4.178018, ' ': -4.7971196, 'No': -3.598993, ' no': -7.2099915}
{' No': -0.016372679, '\n': -5.645038, ' ': -5.1567917, 'No': -5.026306, ' no': -8.451164}
{' No': -0.057772957, '\n': -4.0037565, ' ': -4.792464, 'No': -3.5859578, ' no': -6.8805304}
{' No': -0.048982374, '\n': -4.53573, ' ': -5.065431, 'No': -3.7995238, ' no': -4.9148583}
{' No': -0.016712395, ' ': -7.0781956, 'No': -4.3579216, ' Yes': -6.8009305, ' 8': -6.602333}
{' No': -0.059409674, ' ': -6.668239, 'No': -3.0690434, ' Yes': -4.694965, 'Yes': -8.29302}
{' No': -0.0575757, '\n': -7.0148344, ' ': -6.319281, 'No': -3.1167684, ' Yes': -4.8196373}
{' No': -0.014197193, ' ': -7.738446, 'No': -4.401385, ' Yes': -6.8229413, ' 8': -8.374698}
{' No': -0.07095144, '\n': -6.1422534, ' ': -5.5228243, 'No': -2.847082, ' Yes': -6.268437}
{' No': -0.06165859, ' ': -6.6753135, 'No': -3.442249, ' Yes': -3.6996725, ' 8': -7.571573}
{' No': -0.0055267476, '\n': -7.427708, ' ': -5.8039827, 'No': -6.909909, ' Yes': -7.7515283}
{' No': -0.027718337, '\n': -5.1649384, ' ': -5.2403436, 'No': -4.1865563, ' Yes': -7.553146}
{' No': -0.09341706, '\n': -3.1444728, ' ': -4.0167603, 'No': -3.6872833, ' Yes': -6.604783}
{' No': -0.0038715652, '\n': -8.85147, ' ': -6.4443393, 'No': -6.2194185, ' Yes': -10.158666}
{' No': -0.13771737, '\n': -3.8408022, ' ': -4.231763, 'No': -2.404878, ' no': -7.5960107}
{' No': -0.025092097, '\n': -6.6185536, ' ': -5.436511, 'No': -4.1553464, ' no': -6.7281337}
{' No': -0.0983365, ' ': -5.307597, 'No': -2.821536, ' Yes': -3.9341118, ' 8': -5.7134576}
{' No': -0.10809618, ' ': -6.42726, 'No': -2.324479, ' Yes': -6.264036, ' no': -7.9308615}
{' No': -0.33154586, ' ': -5.3403673, 'No': -2.590163, ' Yes': -1.6767834, 'Yes': -4.4935555}
{' No': -0.02550461, ' ': -6.7471046, 'No': -3.9672062, ' Yes': -5.433635, ' no': -7.9969845}
{' No': -0.29804692, '\n': -6.766696, ' ': -6.478122, 'No': -1.3723439, ' Yes': -7.194047}
{' No': -0.10852341, ' ': -7.7876306, 'No': -2.2847452, 'no': -8.597638, ' no': -8.156763}
{' No': -0.016829925, ' ': -5.028732, 'No': -5.8863053, ' Yes': -6.4655805, ' no': -5.445636}
{' No': -0.037346862, '\n': -5.3742795, ' ': -5.220086, 'No': -3.6953192, ' no': -6.756112}
{' No': -0.12760918, '\n': -2.8789003, ' ': -4.18149, 'No': -3.1621833, ' no': -5.976259}
{' No': -0.019020868, '\n': -6.2564607, ' ': -5.514792, 'No': -4.463593, ' no': -7.3334317}
{' No': -0.25405222, '\n': -2.38025, ' ': -4.393401, 'No': -2.1687555, ' no': -5.925391}
{' No': -0.1776393, '\n': -3.9097204, 'No': -4.1784554, ' Yes': -3.2137966, ' no': -2.8443215}
{' No': -0.0122657055, '\n': -5.7981925, ' ': -5.3308306, 'No': -5.8766875, ' Yes': -7.0113125}
{' No': -0.04254461, '\n': -4.435254, ' ': -4.953952, 'No': -3.8918393, ' Yes': -6.785895}
{' No': -0.0837104, '\n': -3.5323188, ' ': -4.152638, 'No': -3.5607152, ' 8': -5.755204}
{' No': -0.023004027, '\n': -5.8170485, ' ': -4.539743, 'No': -5.041032, ' Yes': -6.581773}
{' No': -0.06233437, '\n': -3.774918, ' ': -4.6045303, 'No': -3.6407738, ' no': -8.102207}
{' No': -0.21925291, '\n': -3.602784, ' ': -3.6957588, ' Yes': -2.3664677, ' 8': -3.5727246}
{'\n': -8.666918, ' ': -8.094172, ' Yes': -0.0062067625, ' yes': -8.413042, 'Yes': -5.2143006}
{'\n': -10.066986, ' ': -7.2172527, ' Yes': -0.014295983, ' yes': -7.5004883, 'Yes': -4.362995}
{'\n': -7.947515, ' ': -7.0806804, ' Yes': -0.02172665, ' yes': -7.2439075, 'Yes': -3.9468822}
{' ': -8.802364, ' Yes': -0.0029534367, ' yes': -8.532046, 'Yes': -5.9710464, ' 8': -11.141503}
{'\n': -7.5645676, ' ': -6.7912474, ' Yes': -0.026604157, ' yes': -7.799864, 'Yes': -3.7352605}
{'\n': -8.340238, ' ': -7.4927692, ' Yes': -0.018873805, ' yes': -7.1673374, 'Yes': -4.080775}
{'\n': -7.1935954, ' ': -6.433933, ' Yes': -0.005498879, ' yes': -7.057533, 'Yes': -6.1479583}
{'\n': -6.380302, ' ': -6.2534003, ' Yes': -0.020193107, ' yes': -6.586393, 'Yes': -4.223152}
{'\n': -3.9817681, ' ': -4.9774046, ' Yes': -0.06140428, ' yes': -6.190408, 'Yes': -3.4774177}
{'\n': -8.897633, ' ': -6.7154, ' Yes': -0.004436398, ' yes': -7.643957, 'Yes': -5.9798164}
{'\n': -5.1712723, ' ': -5.161022, ' Yes': -0.119349636, ' yes': -5.411825, 'Yes': -2.3564122}
{'\n': -6.9850707, ' ': -5.978282, ' Yes': -0.023700543, ' yes': -5.020132, 'Yes': -4.3922954}
{' ': -6.4626493, ' Yes': -0.046426345, ' yes': -4.2421565, 'Yes': -3.576324, 'yes': -7.618226}
{' ': -6.8843603, ' Yes': -0.037141465, ' yes': -5.992358, 'Yes': -3.4321837, 'yes': -8.48796}
{' ': -6.50422, ' Yes': -0.06461242, ' yes': -5.14256, 'Yes': -2.9241915, 'yes': -7.452388}
{' YES': -8.860923, ' ': -6.9409943, ' Yes': -0.01822707, ' yes': -5.922388, 'Yes': -4.274824}
{' ': -7.233371, ' Yes': -0.11836782, ' yes': -6.416509, 'Yes': -2.2209964, 'yes': -7.77863}
{' ': -7.9394736, ' Yes': -0.041865543, ' yes': -5.2369204, 'Yes': -3.358762, 'yes': -7.7879896}
{'\n': -6.5205045, ' ': -5.4551454, ' Yes': -0.08422175, ' yes': -2.7553396, 'Yes': -4.68933}
{'\n': -5.012233, ' ': -4.9790816, ' Yes': -0.06553016, ' yes': -4.3803244, 'Yes': -3.3286796}
{'\n': -3.362792, ' ': -4.5629807, ' Yes': -0.12605597, ' yes': -3.9271286, 'Yes': -2.99269}
{'\n': -6.7624645, ' ': -6.10215, ' Yes': -0.02309808, ' yes': -4.983614, 'Yes': -4.4124546}
{'\n': -3.243113, ' ': -4.8882976, ' Yes': -0.21387063, ' yes': -3.6958213, 'Yes': -2.1737342}
{'\n': -4.835426, ' ': -5.16544, ' Yes': -0.20885319, ' yes': -1.8780235, 'Yes': -4.1150537}
{'\n': -5.594562, ' ': -5.771503, ' Yes': -0.0143162375, ' yes': -6.330247, 'Yes': -5.2474017}
{'\n': -5.1677814, ' ': -5.669881, ' Yes': -0.03531244, ' yes': -6.093379, 'Yes': -3.7897162}
{'\n': -3.920077, ' ': -4.7799916, ' Yes': -0.064925045, ' yes': -5.6082134, 'Yes': -3.5321872}
{'\n': -5.484924, ' ': -5.1546907, ' Yes': -0.019271249, ' yes': -6.807769, 'Yes': -4.8544188}
{'\n': -4.303114, ' ': -5.2337847, ' Yes': -0.06578489, ' yes': -5.405501, 'Yes': -3.249077}
{'\n': -4.2333713, ' ': -4.602197, ' Yes': -0.066466965, ' yes': -3.936235, 'Yes': -4.0441337}
{'\n': -10.561919, ' ': -9.65495, ' Yes': -0.0018360324, ' yes': -9.00324, 'Yes': -6.441754}
{' No': -6.8076677, ' ': -8.47853, ' Yes': -0.008250646, ' yes': -7.9521, 'Yes': -5.076791}
{' No': -6.939753, ' Yes': -0.011254728, ' yes': -7.715422, 'Yes': -4.749528, ' 8': -7.7301774}
{' No': -10.677497, ' Yes': -0.0007618708, ' yes': -9.672717, 'Yes': -7.3820996, ' True': -10.969449}
{' No': -6.4060216, '\n': -8.291523, ' ': -7.532198, ' Yes': -0.010445139, 'Yes': -4.898274}
{' No': -8.048331, ' ': -8.191447, ' Yes': -0.010930475, ' yes': -6.6494823, 'Yes': -4.7905498}
{' ': -7.7972383, ' Yes': -0.0022768816, ' yes': -7.58838, 'Yes': -6.7897716, ' True': -9.268809}
{'\n': -7.05199, ' ': -7.243881, ' Yes': -0.009027656, ' yes': -6.918142, 'Yes': -5.1148033}
{'\n': -4.2298098, ' ': -5.342086, ' Yes': -0.039109323, ' yes': -6.1397595, 'Yes': -4.1829634}
{'\n': -10.532915, ' ': -8.452576, ' Yes': -0.0015629958, ' yes': -7.908398, 'Yes': -6.9899797}
{' No': -4.5778594, '\n': -4.360108, ' ': -5.2636256, ' Yes': -0.09163159, 'Yes': -2.9571462}
{' ': -7.2082763, ' Yes': -0.023087833, ' yes': -4.6636786, 'Yes': -4.6982436, ' 8': -6.026234}
{' ': -6.9721756, ' Yes': -0.05829559, ' yes': -3.3945496, 'Yes': -3.926278, ' True': -6.888792}
{' No': -3.045096, 'No': -6.5094934, ' Yes': -0.066462055, ' yes': -5.8132577, 'Yes': -4.5980687}
{' No': -3.2292936, 'No': -6.0639205, ' Yes': -0.07810975, ' yes': -4.883299, 'Yes': -3.7665043}
{' No': -6.729948, ' ': -8.41099, ' Yes': -0.0069889715, ' yes': -6.5571823, 'Yes': -5.5787945}
{' No': -3.2770214, 'No': -5.238104, ' Yes': -0.09783367, ' yes': -6.401004, 'Yes': -3.060459}
{' No': -3.2996862, 'No': -6.8211455, ' Yes': -0.05504407, ' yes': -5.537117, 'Yes': -4.5131392}
{'\n': -7.7455235, ' ': -6.495232, ' Yes': -0.08497511, ' yes': -2.5874317, 'Yes': -5.799811}
{'\n': -5.7457194, ' ': -6.2221947, ' Yes': -0.03812206, ' yes': -4.1088653, 'Yes': -4.218483}
{'\n': -3.101298, ' ': -4.8450975, ' Yes': -0.11811718, ' yes': -3.6478813, 'Yes': -3.5448825}
{'\n': -7.0347037, ' ': -7.3325896, ' Yes': -0.012656966, ' yes': -5.2652965, 'Yes': -5.1999717}
{'\n': -3.2045174, ' ': -5.3143377, ' Yes': -0.1596965, ' yes': -3.7682743, 'Yes': -2.6745698}
{'\n': -4.8274517, ' Yes': -0.27937883, ' yes': -1.5607986, 'Yes': -4.58192, ' 8': -5.052538}
{'\n': -7.5745773, ' ': -7.4942627, ' Yes': -0.0046464466, ' yes': -6.803712, 'Yes': -6.1311383}
{'\n': -6.21931, ' ': -6.88222, ' Yes': -0.013715043, ' yes': -6.614424, 'Yes': -4.7373304}
{'\n': -4.8736877, ' ': -5.7374406, ' Yes': -0.02626859, ' yes': -6.4189286, 'Yes': -4.358298}
{'\n': -6.736798, ' ': -6.305371, ' Yes': -0.006318144, ' yes': -7.1598706, 'Yes': -6.054921}
{' No': -4.777254, '\n': -4.4895973, ' ': -5.7098193, ' Yes': -0.04581097, 'Yes': -3.9362621}
{'\n': -5.808352, ' ': -6.0191283, ' Yes': -0.043975636, ' yes': -3.734365, 'Yes': -4.496925}
{' No': -0.0047398075, '\n': -8.753262, ' ': -8.110949, 'No': -5.4674335, ' no': -10.9386}
{' No': -0.023519414, '\n': -9.208148, ' ': -6.9126863, 'No': -3.8164232, ' no': -10.431919}
{' No': -0.030661803, '\xa0': -9.510178, '\n': -7.3510046, ' ': -6.8372583, 'No': -3.568229}
{' No': -0.008528396, '\n': -10.1330805, ' ': -7.7456455, 'No': -4.8358445, ' no': -10.582981}
{' No': -0.036195505, '\n': -6.787796, ' ': -6.3932724, 'No': -3.4308639, ' no': -9.912248}
{' No': -0.042650595, '\n': -7.7393064, ' ': -7.123293, 'No': -3.2156756, ' no': -8.684753}
{' No': -0.0048824116, '\n': -7.2100015, ' ': -6.1794195, 'No': -6.2827907, ' no': -9.062689}
{' No': -0.024497407, '\n': -5.8724093, ' ': -5.8657203, 'No': -4.009395, ' no': -8.605684}
{' No': -0.06572397, '\n': -3.7705977, ' ': -4.676005, 'No': -3.511738, ' no': -7.7982926}
{' No': -0.0037575238, '\n': -8.584234, ' ': -6.481733, 'No': -6.247297, ' no': -9.801858}
{' No': -0.12611264, '\n': -4.2766604, ' ': -4.775925, 'No': -2.3671422, ' no': -6.9058394}
{' No': -0.0279283, '\n': -6.680029, ' ': -5.6654663, 'No': -3.9000118, ' no': -6.1313033}
{' No': -0.074165806, '\n': -6.775273, ' ': -5.860145, 'No': -2.8265421, ' no': -4.930409}
{' No': -0.069982566, '\n': -8.992904, ' ': -6.7526097, 'No': -2.726732, ' no': -7.6723027}
{' No': -0.11680646, '\n': -7.449932, ' ': -6.3580317, 'No': -2.2385428, ' no': -7.496051}
{' No': -0.020042587, '\t': -9.7613125, ' ': -6.999735, 'No': -4.0013905, ' no': -7.981397}
{' No': -0.23377581, '\n': -7.1073794, ' ': -6.4757094, 'No': -1.5832821, ' no': -8.079978}
{' No': -0.07319428, ' ': -7.7935534, 'No': -2.6634538, 'no': -9.402149, ' no': -8.20768}
{' No': -0.080142856, '\n': -6.078436, ' ': -5.039107, 'No': -4.7695866, ' no': -2.8437097}
{' No': -0.059122168, '\n': -4.991102, ' ': -4.8764496, 'No': -3.2678967, ' no': -5.5065928}
{' No': -0.1270522, '\n': -3.311657, ' ': -4.463423, 'No': -2.7993736, ' no': -4.7619495}
{' No': -0.022239676, '\n': -6.335216, ' ': -5.6867366, 'No': -4.164007, ' no': -6.836708}
{' No': -0.19862367, '\n': -3.3514678, ' ': -4.5578127, 'No': -2.110262, ' no': -4.566311}
{' No': -0.17477018, '\n': -4.571869, ' ': -4.978834, 'No': -3.8460588, ' no': -2.1365736}
{' No': -0.010167636, '\n': -5.936134, ' ': -5.8812995, 'No': -5.451337, ' no': -8.242966}
{' No': -0.033409853, '\n': -5.2045465, ' ': -5.3434415, 'No': -3.8180737, ' no': -8.177224}
{' No': -0.060040955, '\n': -4.0704355, ' ': -4.745129, 'No': -3.4806187, ' no': -7.1752825}
{' No': -0.01690412, '\n': -5.4888983, ' ': -5.1647296, 'No': -5.022126, ' no': -8.737005}
{' No': -0.06557655, '\n': -4.0935526, ' ': -4.624238, 'No': -3.3658311, ' no': -6.7531686}
{' No': -0.05120645, '\n': -4.7120805, ' ': -5.0927243, 'No': -3.618236, ' no': -4.9901185}
{' No': -0.02182229, '\n': -7.159191, ' ': -6.855719, 'No': -4.5764985, ' Yes': -4.696768}
{' No': -0.058804527, ' ': -6.554158, 'No': -3.4231195, ' Yes': -3.8062925, 'Yes': -7.6714263}
{' No': -0.05592563, '\n': -7.104213, ' ': -6.2463875, 'No': -3.2686138, ' Yes': -4.3611717}
{' No': -0.01558993, ' ': -7.7528167, 'No': -4.5413523, ' Yes': -5.478192, ' 9': -9.638501}
{' No': -0.056310616, '\n': -6.257918, ' ': -5.5397053, 'No': -3.0782697, ' Yes': -6.3408866}
{' No': -0.061980247, '\n': -7.096855, ' ': -6.593871, 'No': -3.2954357, ' Yes': -3.930644}
{' No': -0.0071022417, '\n': -7.1912003, ' ': -5.8979673, 'No': -6.8820734, ' Yes': -6.045227}
{' No': -0.02121724, '\n': -5.6629114, ' ': -5.5565963, 'No': -4.3661036, ' Yes': -7.3456836}
{' No': -0.09430452, '\n': -3.2698488, ' ': -4.0037494, 'No': -3.6122067, ' Yes': -5.300507}
{' No': -0.0032097527, '\n': -8.9281645, ' ': -6.70042, 'No': -6.3595595, ' Yes': -9.763816}
{' No': -0.12851532, '\n': -3.927165, ' ': -4.3043265, 'No': -2.4623852, ' no': -7.61921}
{' No': -0.029339079, '\n': -6.376053, ' ': -5.4684544, 'No': -3.9187186, ' Yes': -6.571582}
{' No': -0.09500862, ' ': -5.7073503, 'No': -2.9050746, ' Yes': -3.6508803, ' no': -5.9960203}
{' No': -0.090209, ' ': -6.481536, 'No': -2.5223265, ' Yes': -5.6803746, ' no': -8.124255}
{' No': -2.2677357, 'No': -4.5930643, ' Yes': -0.18978235, ' yes': -4.811427, 'Yes': -3.1119435}
{' No': -0.030009314, ' ': -6.6936474, 'No': -4.044129, ' Yes': -4.600781, ' no': -8.193551}
{' No': -0.31041858, '\n': -6.953471, ' ': -6.2494874, 'No': -1.3410069, ' Yes': -6.5995426}
{' No': -0.07430723, ' ': -7.693381, 'No': -2.6515262, 'no': -8.89318, ' no': -8.073452}
{' No': -0.016600398, ' ': -5.094401, 'No': -5.853015, ' Yes': -6.210577, ' no': -5.4626775}
{' No': -0.034952212, '\n': -5.5511584, ' ': -5.261081, 'No': -3.7410011, ' no': -6.903856}
{' No': -0.14700058, '\n': -2.8441348, ' ': -3.9692929, 'No': -3.036344, ' Yes': -4.9604673}
{' No': -0.026848113, '\n': -5.7570953, ' ': -5.2201824, 'No': -4.2318306, ' Yes': -5.9425817}
{' No': -0.2135016, '\n': -2.8095288, ' ': -4.3100643, 'No': -2.1911283, ' no': -5.8401055}
{' No': -0.17952839, '\n': -3.999776, 'No': -3.9021702, ' Yes': -3.0425117, ' no': -2.9072762}
{' No': -0.013102009, '\n': -5.747225, ' ': -5.4272633, 'No': -5.6616745, ' Yes': -6.382839}
{' No': -0.04487636, '\n': -4.278593, ' ': -4.920059, 'No': -3.9029884, ' Yes': -6.184856}
{' No': -0.08132339, '\n': -3.6095788, ' ': -4.1226406, 'No': -3.598894, ' Yes': -5.142125}
{' No': -0.021076487, '\n': -5.9734044, ' ': -4.628237, 'No': -5.1978474, ' Yes': -5.9205875}
{' No': -0.062755056, '\n': -3.8109312, ' ': -4.7728605, 'No': -3.5325482, ' no': -8.327208}
{' No': -0.12032811, '\n': -3.8632097, ' ': -4.0850425, 'No': -3.8981028, ' Yes': -3.0436623}
{'\n': -9.24279, ' ': -8.486763, ' Yes': -0.0048008366, ' yes': -8.903126, 'Yes': -5.444137}
{'\n': -9.562136, ' ': -7.374, ' Yes': -0.014179296, ' yes': -7.63636, 'Yes': -4.3606033}
{'\n': -8.160615, ' ': -7.3529983, ' Yes': -0.01952552, ' yes': -7.7380667, 'Yes': -4.029604}
{' YES': -10.941315, ' ': -8.595217, ' Yes': -0.0030122646, ' yes': -8.745493, 'Yes': -5.952572}
{'\n': -8.0941, ' ': -7.0257673, ' Yes': -0.019309044, ' yes': -8.073182, 'Yes': -4.0517454}
{'\n': -8.078482, ' ': -7.5475044, ' Yes': -0.017755413, ' yes': -7.21636, 'Yes': -4.1474624}
{'\n': -7.2888384, ' ': -6.73665, ' Yes': -0.0042071817, ' yes': -7.683444, 'Yes': -6.340865}
{'\n': -6.5986967, ' ': -6.5700574, ' Yes': -0.015908442, ' yes': -7.1244416, 'Yes': -4.42764}
{'\n': -4.4429545, ' ': -5.3779407, ' Yes': -0.05071803, ' yes': -6.4843087, 'Yes': -3.4838731}
{'\n': -9.329046, ' ': -7.33324, ' Yes': -0.0035516096, ' yes': -8.124467, 'Yes': -6.009046}
{'\n': -5.138897, ' ': -5.219966, ' Yes': -0.09921569, ' yes': -5.852939, 'Yes': -2.5400498}
{'\n': -7.0103335, ' ': -6.0561614, ' Yes': -0.023414278, ' yes': -5.423658, 'Yes': -4.221828}
{' ': -6.674574, ' Yes': -0.043662768, ' yes': -4.7628536, 'Yes': -3.4555182, 'yes': -7.75516}
{' No': -8.118949, ' ': -6.912948, ' Yes': -0.03259822, ' yes': -6.1256, 'Yes': -3.5764403}
{'\n': -7.601747, ' ': -6.5774455, ' Yes': -0.061364602, ' yes': -5.245803, 'Yes': -2.9734087}
{' No': -8.825284, ' ': -7.1404757, ' Yes': -0.01431902, ' yes': -6.288418, 'Yes': -4.5098615}
{' ': -7.130297, ' Yes': -0.10551458, ' yes': -6.187825, 'Yes': -2.3401012, 'yes': -7.698895}
{' ': -8.187952, ' Yes': -0.035320837, ' yes': -5.482241, 'Yes': -3.5113263, 'yes': -8.11557}
{'\n': -6.558262, ' ': -5.6281013, ' Yes': -0.058219012, ' yes': -3.1855133, 'Yes': -4.7660418}
{'\n': -5.035016, ' ': -5.0580244, ' Yes': -0.06771393, ' yes': -4.385501, 'Yes': -3.2569282}
{'\n': -3.7702222, ' ': -4.869326, ' Yes': -0.106981955, ' yes': -4.117829, 'Yes': -2.9621701}
{'\n': -6.9153504, ' ': -6.2707047, ' Yes': -0.02081592, ' yes': -5.4220037, 'Yes': -4.348103}
{'\n': -3.2933686, ' ': -4.8374496, ' Yes': -0.19687983, ' yes': -3.8542724, 'Yes': -2.2497628}
{'\n': -5.341275, ' ': -5.2921667, ' Yes': -0.12815703, ' yes': -2.4018464, 'Yes': -4.1337337}
{'\n': -5.794531, ' ': -6.000334, ' Yes': -0.012066417, ' yes': -6.593822, 'Yes': -5.34479}
{'\n': -5.2237806, ' ': -5.9089875, ' Yes': -0.029066779, ' yes': -6.424448, 'Yes': -3.9965959}
{'\n': -3.910017, ' ': -4.9386506, ' Yes': -0.06340827, ' yes': -5.8003387, 'Yes': -3.514872}
{'\n': -5.6569066, ' ': -5.3579245, ' Yes': -0.015887307, ' yes': -7.06863, 'Yes': -5.0432806}
{'\n': -4.1420913, ' ': -5.1516576, ' Yes': -0.065013394, ' yes': -5.9654875, 'Yes': -3.2814877}
{'\n': -4.7911906, ' ': -5.0195904, ' Yes': -0.051738292, ' yes': -4.2188463, 'Yes': -3.9836953}
{'\n': -9.297208, ' ': -8.924254, ' Yes': -0.0037532754, ' yes': -8.705125, 'Yes': -5.714532}
{' No': -9.203749, ' ': -8.157729, ' Yes': -0.016688092, ' yes': -7.218491, 'Yes': -4.19019}
{'\n': -8.245434, ' ': -7.9746003, ' Yes': -0.02156908, ' yes': -7.2446256, 'Yes': -3.922692}
{' YES': -10.726974, ' ': -9.151223, ' Yes': -0.0031802736, ' yes': -8.854892, 'Yes': -5.86023}
{'\n': -7.5591135, ' ': -7.2877083, ' Yes': -0.023115525, ' yes': -7.695096, 'Yes': -3.866028}
{'\n': -8.070972, ' ': -7.758529, ' Yes': -0.023605457, ' yes': -6.697339, 'Yes': -3.8624382}
{'\n': -8.168478, ' ': -7.1850944, ' Yes': -0.003381686, ' yes': -7.776983, 'Yes': -6.323457}
{'\n': -7.116308, ' ': -6.7070084, ' Yes': -0.019543085, ' yes': -6.601479, 'Yes': -4.167946}
{'\n': -4.258444, ' ': -5.347643, ' Yes': -0.060188502, ' yes': -6.0579534, 'Yes': -3.3170645}
{'\n': -9.578183, ' ': -7.3374205, ' Yes': -0.0032855803, ' yes': -7.7653704, 'Yes': -6.1764536}
{'\n': -4.5165777, ' ': -5.1963487, ' Yes': -0.14998999, ' yes': -5.3274665, 'Yes': -2.1556396}
{'\n': -7.4933767, ' ': -6.3612456, ' Yes': -0.026636845, ' yes': -4.7447515, 'Yes': -4.24742}
{' ': -6.847458, ' Yes': -0.05034312, ' yes': -3.781666, 'Yes': -3.7803156, 'yes': -7.2016487}
{' No': -2.8074257, 'No': -5.6333265, ' Yes': -0.09758308, ' yes': -5.571643, 'Yes': -3.7793016}
{' ': -7.082005, ' Yes': -0.07402819, ' yes': -3.9647505, 'Yes': -3.0430465, 'yes': -6.538581}
{' No': -7.932247, ' ': -7.8358293, ' Yes': -0.010766222, ' yes': -6.4547224, 'Yes': -4.821813}
{' ': -7.2383556, ' Yes': -0.10555054, ' yes': -6.2495723, 'Yes': -2.337692, 'yes': -7.684614}
{' No': -7.225813, ' ': -8.164944, ' Yes': -0.02639006, ' yes': -5.8441787, 'Yes': -3.8252316}
{'\n': -6.2057014, ' ': -5.7244186, ' Yes': -0.04957754, ' yes': -3.3211417, 'Yes': -5.3288293}
{'\n': -4.9488697, ' ': -5.087595, ' Yes': -0.05715965, ' yes': -4.2969704, 'Yes': -3.6167872}
{'\n': -3.295404, ' ': -5.046448, ' Yes': -0.11820016, ' yes': -3.927236, 'Yes': -3.0840735}
{'\n': -7.114503, ' ': -6.598151, ' Yes': -0.016955588, ' yes': -5.320375, 'Yes': -4.6754007}
{'\n': -3.1753588, ' ': -5.247715, ' Yes': -0.19912717, ' yes': -4.055036, 'Yes': -2.2058125}
{'\n': -5.288839, ' ': -5.7377467, ' Yes': -0.20549062, ' yes': -1.8462662, 'Yes': -4.228974}
{'\n': -5.994398, ' ': -6.4392858, ' Yes': -0.010473569, ' yes': -6.8094254, 'Yes': -5.3480344}
{'\n': -5.9063063, ' ': -6.0498285, ' Yes': -0.022970177, ' yes': -6.5092425, 'Yes': -4.1734767}
