{' Up': -0.13971002, ' up': -2.0480924, ' "': -7.462845, ' UP': -7.8543925, 'Up': -8.495467}
{' Down': -0.4886736, ' Up': -1.3574442, ' down': -2.3522694, ' up': -3.969804, ' "': -4.268659}
{' Up': -0.12837808, ' Down': -2.5958023, ' up': -3.3296432, ' down': -4.804987, ' "': -6.6138535}
{' Down': -0.20108299, ' down': -1.7184227, ' "': -6.457314, 'Down': -7.383837, 'down': -7.9521794}
{' Up': -0.15631796, ' up': -2.0027173, ' "': -5.306579, ' Down': -6.211765, ' down': -6.6562223}
{' Down': -0.16679513, ' down': -1.8984388, ' "': -6.1327543, 'Down': -6.8852053, 'down': -7.795586}
{' Up': -0.29614595, ' up': -1.3906932, ' Down': -5.837552, ' down': -6.187091, ' "': -6.6561155}
{' Down': -0.3692503, ' down': -1.1956453, ' "': -5.570779, 'Down': -6.6639524, 'down': -7.031521}
{' Down': -0.28084818, ' down': -1.8549715, ' Up': -2.6512878, ' up': -4.8316827, ' "': -4.8618226}
{' Up': -0.10972855, ' up': -2.279061, ' UP': -7.4453354, ' "': -7.5061035, 'Up': -8.06041}
{' Down': -0.6997725, ' Up': -1.3718419, ' down': -1.8930289, ' up': -2.3749664, ' "': -5.513888}
{' Up': -0.066319756, ' up': -2.7958844, ' UP': -6.624596, ' "': -6.6417117, 'Up': -7.864394}
{' Down': -0.48617703, ' Up': -1.3588653, ' down': -2.4057326, ' up': -3.4468818, ' "': -5.4196696}
{' Up': -0.15696886, ' up': -1.9437464, ' "': -6.8848853, ' UP': -7.1833415, 'Up': -8.40488}
{' Down': -0.34066573, ' down': -1.6836852, ' Up': -2.5361326, ' up': -3.9068522, ' "': -6.5480647}
{' Up': -0.20134468, ' up': -1.7260123, ' UP': -6.204913, ' "': -6.422635, ' Down': -7.9432554}
{' Up': -0.23859003, ' up': -1.5897864, ' "': -5.5808616, ' Down': -6.344354, ' down': -6.568523}
{' Down': -0.36146218, ' down': -1.2381216, ' Up': -5.2636495, ' "': -5.4084744, ' up': -6.4593487}
{' up': -0.5751357, ' Up': -0.85025173, ' down': -5.1668353, ' Down': -6.2108665, 'up': -6.9208846}
{' Down': -0.37827614, ' down': -1.2024034, ' Up': -5.0610347, ' "': -5.4157076, 'down': -6.570594}
{' Up': -0.16526134, ' up': -2.0213785, ' Down': -4.953582, ' "': -5.0850415, ' down': -5.1210604}
{' down': -0.5439564, ' Down': -1.2919575, ' Up': -2.5737224, ' up': -2.8667789, ' "': -4.673942}
{' Up': -0.14547259, ' up': -2.029996, ' "': -6.553267, ' Down': -6.700007, ' down': -7.3408875}
{' down': -0.6110062, ' Down': -0.7903256, 'down': -6.618933, ' "': -6.6692815, 'Down': -7.1275616}
{' Up': -0.67240816, ' Down': -1.0710611, ' down': -2.368554, ' up': -3.3565493, ' "': -4.049266}
{' Down': -0.77276593, ' Up': -0.96475005, ' down': -2.3103426, ' up': -3.1107996, ' "': -4.39162}
{' Up': -0.0707641, ' up': -3.0762362, ' Down': -3.9719155, ' down': -6.038045, ' "': -7.469627}
{' Down': -0.22384351, ' down': -1.6223058, ' "': -6.3557425, 'Down': -7.3391786, 'down': -7.895993}
{' Up': -0.27771127, ' up': -1.4408315, ' "': -5.6852064, ' down': -7.4648595, ' Down': -7.4818845}
{' Down': -0.29560295, ' down': -1.3777543, ' "': -6.118501, 'Down': -7.024484, 'down': -7.466487}
{' Up': -0.38718265, ' up': -1.1449494, ' Down': -7.1530957, ' down': -7.207747, ' "': -7.875305}
{' Down': -0.6556049, ' down': -0.7399346, ' "': -6.4850383, 'down': -6.866651, 'Down': -6.909448}
{' Down': -0.4948825, ' Up': -1.6669768, ' down': -1.8067702, ' up': -3.5246277, ' "': -5.0769176}
{' Up': -0.10058123, ' up': -2.3602896, ' "': -7.5903606, ' UP': -7.934983, 'Up': -7.96637}
{' Up': -0.68200916, ' up': -1.4305177, ' Down': -1.7332196, ' down': -2.6091065, ' "': -5.645869}
{' Up': -0.09497329, ' up': -2.4330833, ' "': -6.634951, ' UP': -6.8242173, 'Up': -7.966267}
{' Down': -0.25559226, ' down': -2.0705738, ' Up': -2.4978237, ' up': -4.450981, ' "': -5.5788684}
{' Up': -0.16879012, ' up': -1.8741372, ' "': -7.229226, ' UP': -7.24175, 'Up': -8.184268}
{' Down': -0.45767182, ' down': -1.3489054, ' Up': -2.595476, ' up': -3.5686908, ' "': -6.009433}
{' Up': -0.2789838, ' up': -1.4320734, ' "': -6.0523105, ' UP': -6.327089, 'Up': -8.352433}
{' Up': -0.18579285, ' up': -1.8693103, ' "': -5.1630363, ' Down': -5.278532, ' down': -5.746522}
{' Down': -0.26605344, ' down': -1.4800292, ' "': -5.7505727, 'down': -6.8301535, 'Down': -6.8614225}
{' Up': -0.22597653, ' up': -1.8658957, ' Down': -3.5286896, ' down': -4.212243, ' "': -6.3031907}
{' Down': -0.19780876, ' down': -1.7418056, ' "': -6.147161, 'Down': -6.8459563, 'down': -7.0425487}
{' Up': -0.12557793, ' up': -2.495176, ' Down': -4.00107, ' "': -4.75469, ' down': -4.8290825}
{' down': -0.6863937, ' Down': -0.9554023, ' Up': -2.751278, ' up': -3.3878133, ' "': -4.4470425}
{' Up': -0.14163812, ' up': -2.2110486, ' Down': -4.3055058, ' down': -5.121773, ' "': -6.330513}
{' Down': -0.6079868, ' down': -0.7953094, 'down': -6.4785347, ' "': -6.558012, 'Down': -6.868719}
{' Down': -0.9485261, ' down': -1.0439662, ' Up': -1.629377, ' up': -3.3225682, ' "': -3.6171606}
{' Down': -0.61470664, ' down': -1.0589129, ' Up': -2.612908, ' up': -3.8412042, ' "': -4.1603}
{' Up': -0.13053317, ' Down': -2.3855226, ' up': -3.809759, ' down': -5.110618, ' "': -6.524654}
{' Down': -0.14777243, ' down': -2.0047061, ' "': -6.4681168, 'Down': -7.300703, 'down': -7.9929657}
{' Up': -0.15969789, ' up': -1.9797242, ' "': -5.2013483, ' Down': -6.391742, ' down': -6.7672033}
{' Down': -0.36321837, ' down': -1.205225, ' "': -5.8283095, 'Down': -6.894153, 'down': -7.0969305}
{' Up': -0.36108458, ' up': -1.2131373, ' Down': -6.1400604, ' down': -6.351047, ' "': -7.2503242}
{' Down': -0.25632167, ' down': -1.5022991, ' "': -6.538747, 'Down': -6.7265043, 'down': -7.277064}
{' Down': -0.59730697, ' Up': -1.2923906, ' down': -2.1210096, ' up': -3.264902, ' "': -4.1857867}
{' Up': -0.10989812, ' up': -2.2773023, ' "': -7.3286214, ' UP': -7.7026887, 'Up': -8.027622}
{' Down': -0.8049171, ' Up': -0.99052304, ' up': -2.337855, ' down': -2.527415, ' "': -5.686569}
{' Up': -0.038566507, ' up': -3.3575377, ' "': -6.602472, ' UP': -6.6991873, 'Up': -7.9233813}
{' Down': -0.58589506, ' Up': -1.359304, ' down': -1.9969668, ' up': -3.12194, ' "': -5.3563647}
{' Up': -0.5612844, ' up': -0.85910165, ' Down': -6.335426, ' "': -6.417678, ' down': -6.496206}
{' Down': -0.45260572, ' Up': -1.6331707, ' down': -2.003736, ' up': -3.525016, 'Down': -6.473411}
{' Up': -0.8421803, ' Down': -1.5160753, ' down': -1.7277241, ' up': -1.8064214, ' "': -5.286783}
{' Up': -0.18397087, ' up': -1.8393186, ' "': -5.272163, ' Down': -6.383237, ' down': -6.8340616}
{' Down': -0.3573876, ' down': -1.2277756, ' "': -5.4445953, 'down': -6.5380726, 'Down': -6.690162}
{' Up': -0.3521987, ' up': -1.2400637, ' Down': -6.022443, ' down': -6.0668116, ' "': -6.7112355}
{' Down': -0.39102417, ' down': -1.1584288, ' "': -5.379069, 'down': -6.3086834, ' Up': -6.406101}
{' Up': -0.17579514, ' up': -2.282599, ' Down': -3.7383142, ' "': -3.9775777, ' down': -4.156958}
{' down': -0.44594145, ' Down': -1.0916572, ' Up': -4.704955, ' "': -5.081668, ' up': -5.315973}
{' Up': -0.19636694, ' up': -1.849384, ' Down': -4.675653, ' down': -4.929052, ' "': -5.687799}
{' Down': -0.5106169, ' down': -0.9280345, ' "': -6.159331, 'down': -6.726511, 'Down': -6.786555}
{' Down': -0.4041351, ' Up': -1.731787, ' down': -2.2066958, ' "': -3.291979, ' up': -5.0257835}
{' Down': -0.44021514, ' down': -1.195962, ' Up': -3.7223368, ' "': -3.782685, ' up': -5.3032427}
{' Up': -0.19641292, ' Down': -2.085325, ' up': -3.3875806, ' down': -4.2113643, ' "': -5.3593044}
{' Down': -0.10756495, ' down': -2.3362005, ' "': -5.480375, 'Down': -7.3254657, 'down': -8.1826935}
{' Up': -0.2546235, ' up': -1.5482559, ' "': -4.791567, ' UP': -6.336523, ' Down': -7.399622}
{' Down': -0.30767453, ' down': -1.3484632, ' "': -5.7691283, 'Down': -6.887155, 'down': -7.303905}
{' Up': -0.45348477, ' up': -1.0238353, ' "': -6.5642595, ' down': -6.7015023, ' Down': -6.9993978}
{' Down': -0.38005304, ' down': -1.1687379, ' "': -5.744145, 'Down': -6.8350053, 'down': -7.168875}
{' Down': -0.1329408, ' down': -2.1237264, ' "': -5.9660306, 'Down': -6.6430416, ' DOWN': -7.8975925}
{' Up': -0.14504603, ' up': -2.0293424, ' UP': -6.268295, ' "': -6.7789607, 'Up': -7.791446}
{' Down': -0.058826014, ' down': -2.9189637, 'Down': -6.5714064, ' "': -6.8544936, 'down': -8.180772}
{' Up': -0.067525156, ' up': -2.8101456, ' UP': -5.9553194, ' "': -6.22539, 'Up': -7.8245554}
{' Down': -0.14218064, ' down': -2.1340363, ' Up': -4.790433, ' "': -5.825196, 'Down': -6.8222756}
{' Up': -0.23324414, ' up': -1.5844976, ' "': -6.6399846, ' UP': -6.6427917, 'Up': -8.272434}
{' Down': -0.30279884, ' down': -1.3881125, ' Up': -5.2754893, ' "': -6.2418947, ' up': -6.264884}
{' Up': -0.1960363, ' up': -1.7587764, ' UP': -5.892743, ' "': -6.1086545, ' Down': -7.999901}
{' Up': -0.3028074, ' up': -1.3717732, ' "': -5.575735, ' down': -6.681139, ' Down': -6.7006874}
{' Down': -0.3888323, ' down': -1.1572173, ' "': -5.558895, 'down': -6.6355324, 'Down': -6.7737584}
{' Up': -0.38596767, ' up': -1.1723809, ' down': -5.4898815, ' Down': -5.578064, ' "': -6.808895}
{' Down': -0.4972123, ' down': -1.0009832, ' Up': -4.3475084, ' "': -5.3878427, ' up': -5.5408373}
{' Up': -0.16728689, ' up': -2.3543863, ' Down': -3.441264, ' down': -4.161542, ' "': -4.53551}
{' Down': -0.6503834, ' down': -0.9509263, ' Up': -2.7585206, ' up': -3.9658532, ' "': -4.9776864}
{' Up': -0.101976834, ' up': -2.4731793, ' Down': -4.8774605, ' down': -5.889406, ' "': -6.5645165}
{' Down': -0.5821074, ' down': -0.8293399, ' "': -6.019296, 'down': -6.4953012, 'Down': -6.980233}
{' Down': -0.31702134, ' Up': -2.0126655, ' down': -2.1643403, ' "': -4.1086473, ' up': -5.23256}
{' Down': -0.599907, ' down': -1.5407106, ' Up': -1.7242318, ' up': -3.3966386, ' "': -3.753807}
{' Up': -0.12540251, ' Down': -2.678257, ' up': -3.2542799, ' down': -4.8001003, ' "': -6.355544}
{' Down': -0.12974498, ' down': -2.1405807, ' "': -5.8024054, 'Down': -7.4054437, 'down': -8.251876}
{' Up': -0.22286393, ' up': -1.6637954, ' "': -5.0747294, ' Down': -6.662645, ' down': -6.891277}
{' Down': -0.2757621, ' down': -1.4402424, ' "': -6.096584, 'Down': -6.8489275, 'down': -7.351312}
{' Up': -0.43885037, ' up': -1.048214, ' down': -6.54351, ' Down': -6.578518, ' "': -7.290109}
{' down': -0.53217393, ' Down': -0.8988769, ' "': -5.7754865, 'down': -6.569433, 'Down': -6.970606}
{' Down': -0.19004275, ' down': -1.7839453, ' "': -6.0484414, 'Down': -6.3926187, 'down': -7.6999383}
{' Up': -0.10229239, ' up': -2.3543465, ' UP': -6.6903358, ' "': -7.6365824, 'Up': -7.7208304}
{' Down': -0.09380246, ' down': -2.6445723, ' Up': -4.2659063, 'Down': -6.512309, ' up': -6.696791}
{' Up': -0.07452624, ' up': -2.68479, ' UP': -6.306912, ' "': -6.6977043, 'Up': -7.7872963}
{' Down': -0.2494823, ' Up': -2.2895918, ' down': -2.2954457, ' up': -4.29535, ' "': -5.6625757}
{' Up': -0.17944364, ' up': -1.8203548, ' UP': -6.792248, ' "': -7.0767937, 'Up': -8.350338}
{' Down': -0.26497456, ' down': -1.7387332, ' Up': -3.1254957, ' up': -4.616926, 'Down': -6.6474705}
{' Up': -0.16404246, ' up': -1.9239683, ' UP': -5.9161897, ' "': -6.1288, 'Up': -8.379087}
{' Up': -0.18296929, ' up': -1.8468561, ' "': -5.202001, ' Down': -6.344102, ' down': -6.829478}
{' Down': -0.28832617, ' down': -1.4182261, ' "': -5.2209682, 'Down': -6.8105636, 'down': -6.9112678}
{' Up': -0.33015913, ' up': -1.3579491, ' Down': -4.5386267, ' down': -4.6503477, ' "': -6.011086}
{' Down': -0.39252284, ' down': -1.1857643, ' Up': -4.8022895, ' "': -5.0365143, ' up': -6.3318973}
{' Up': -0.13479884, ' up': -2.7587516, ' Down': -3.245116, ' "': -4.471003, ' down': -4.4767046}
{' Down': -0.4096543, ' down': -1.2437874, ' Up': -3.4250062, ' "': -5.0441585, ' up': -5.1277423}
{' Up': -0.12131461, ' up': -2.3940349, ' Down': -4.193834, ' down': -5.1991725, ' "': -6.8565907}
{' Down': -0.25834477, ' down': -1.4974899, ' "': -6.398878, 'Down': -6.7409573, 'down': -7.0074787}
{' Down': -0.38081273, ' down': -1.9178, ' Up': -2.055423, ' "': -3.4175138, ' up': -4.86444}
{' Down': -0.21759626, ' down': -2.1723082, ' Up': -2.888971, ' "': -3.8809032, ' up': -5.4878407}
{' Up': -0.17595845, ' Down': -2.464235, ' up': -2.806091, ' down': -4.278955, ' "': -6.5809016}
{' Down': -0.30176476, ' down': -1.3740723, ' "': -5.5610356, ' Up': -6.116288, 'Down': -7.376487}
{' Up': -0.16321674, ' up': -2.036233, ' "': -4.389394, ' Down': -5.549353, ' down': -6.15504}
{' Down': -0.19098449, ' down': -1.7765499, ' "': -5.830945, 'Down': -6.8480697, 'down': -7.6841197}
{' Up': -0.55967766, ' up': -0.8642087, ' down': -5.995177, ' Down': -6.186024, ' "': -6.5299993}
{' down': -0.60252196, ' Down': -0.804865, ' "': -5.809057, 'down': -6.672493, 'Down': -6.9206924}
{' Down': -0.17095797, ' down': -1.896479, ' "': -5.6423836, 'Down': -6.590943, ' Up': -6.6079545}
{' Up': -0.10480072, ' up': -2.3264766, ' "': -7.1266685, ' UP': -7.544364, 'Up': -7.799693}
{' Down': -0.27647683, ' down': -1.5805215, ' Up': -3.7682884, ' up': -4.8314652, ' "': -6.001948}
{' Up': -0.06514877, ' up': -2.819087, ' UP': -6.4504976, ' "': -6.641191, 'Up': -7.7404394}
{' Down': -0.16206785, ' down': -2.2769666, ' Up': -3.31555, ' "': -5.268364, ' up': -5.5250683}
{' Up': -0.16241114, ' up': -1.9142766, ' "': -6.53302, ' UP': -7.388855, 'Up': -8.227789}
{' Down': -0.21079911, ' down': -2.1432655, ' Up': -2.8250854, ' up': -4.660445, ' "': -6.091625}
{' Up': -0.15031303, ' up': -2.0080495, ' "': -5.836531, ' UP': -6.302946, 'Up': -8.171997}
{' Up': -0.2514308, ' up': -1.5362324, ' "': -5.471657, ' Down': -6.9784946, ' down': -7.050375}
{' Down': -0.431617, ' down': -1.0727988, ' "': -5.312104, 'down': -6.6190786, 'Down': -6.9029493}
{' Up': -0.46254197, ' up': -1.0538524, ' down': -4.5461774, ' Down': -4.8727803, ' "': -6.1577134}
{' Down': -0.5495017, ' down': -0.89335865, ' "': -5.2756844, ' Up': -5.392523, 'down': -6.449005}
{' Up': -0.12858553, ' up': -2.2400565, ' "': -5.096273, ' Down': -5.4019237, ' down': -5.826549}
{' down': -0.34562084, ' Down': -1.2676026, ' "': -5.7452826, ' Up': -5.850255, 'down': -6.067418}
{' Up': -0.17095089, ' up': -1.9170676, ' Down': -5.406464, ' down': -5.794116, ' "': -6.4966893}
{' down': -0.47752565, ' Down': -0.9779815, 'down': -6.4770064, ' "': -6.5700264, 'Down': -7.417923}
{' Down': -0.8240249, ' Up': -0.9347884, ' down': -2.1016166, ' up': -3.671574, ' "': -3.9172215}
{' Down': -0.24134281, ' down': -1.9576837, ' Up': -2.8165133, ' "': -4.941445, ' up': -5.26055}
{' Up': -0.1395456, ' up': -2.6098766, ' Down': -3.0914516, ' down': -4.624464, ' "': -6.9672737}
{' Down': -0.25650182, ' down': -1.4985747, ' "': -6.439515, 'Down': -7.5563083, 'down': -8.033465}
{' Up': -0.25985655, ' up': -1.5191224, ' "': -5.105392, ' down': -6.766652, ' Down': -6.7677693}
{' Down': -0.3063752, ' down': -1.349592, ' "': -5.90534, 'Down': -6.931237, 'down': -7.388972}
{' Up': -0.6521823, ' up': -0.7593754, ' down': -5.2343106, ' Down': -5.742242, ' "': -6.621258}
{' Down': -0.4517209, ' down': -1.0259815, ' "': -5.757629, 'Down': -7.0232654, 'down': -7.1590667}
{' Down': -0.3481633, ' down': -1.8582588, ' Up': -2.2339473, ' "': -4.203092, ' up': -4.2754455}
{' Up': -0.14627616, ' up': -2.0101237, ' UP': -7.080545, ' "': -7.1786957, 'Up': -7.8917084}
{' Down': -0.104146905, ' down': -2.5978868, ' Up': -3.960558, ' "': -6.2519374, ' up': -6.3639007}
{' Up': -0.04676237, ' up': -3.1625707, ' "': -6.414081, ' UP': -6.6128435, 'Up': -8.071558}
{' Down': -0.8444071, ' Up': -0.89020634, ' down': -2.5913363, ' up': -2.5988684, ' "': -4.738164}
{' Up': -0.43909067, ' up': -1.040472, ' "': -6.849899, ' UP': -7.248901, 'Up': -8.598278}
{' Down': -0.62172544, ' Up': -1.3368936, ' down': -2.0687718, ' up': -2.6502137, ' "': -6.3788743}
{' Up': -0.27021527, ' up': -1.4634163, ' "': -6.1918235, ' UP': -6.301238, ' Down': -7.0626864}
{' Up': -0.21710473, ' up': -1.6651086, ' "': -6.232746, ' Down': -6.447842, ' down': -6.642222}
{' Down': -0.37896904, ' down': -1.1813754, ' Up': -5.694877, ' "': -6.262436, 'Down': -6.747118}
{' Up': -0.29726654, ' up': -1.4454218, ' Down': -4.5524373, ' down': -4.7867627, ' "': -6.9422283}
{' Down': -0.4667766, ' down': -1.1286952, ' Up': -3.3355145, ' up': -4.8550744, ' "': -5.6718373}
{' Up': -0.28782564, ' up': -1.4997187, ' down': -4.185693, ' Down': -4.81207, ' "': -5.8823347}
{' down': -0.61547035, ' up': -1.5361972, ' Up': -2.0741458, ' Down': -2.1987338, 'down': -5.890007}
{' Up': -0.25219387, ' up': -1.5895486, ' Down': -4.8078384, ' down': -4.8339386, ' "': -6.6962776}
{' down': -0.4181148, ' Down': -1.0828964, 'down': -6.3838143, 'Down': -7.248805, ' "': -7.466555}
{' Down': -0.6604288, ' Up': -1.0274562, ' down': -2.2735481, ' up': -4.2252007, ' "': -4.9718018}
{' Up': -0.32752696, ' Down': -1.8859279, ' up': -2.4507186, ' down': -3.2720115, ' "': -5.92368}
{' Up': -0.14375147, ' Down': -2.5007517, ' up': -3.2030985, ' down': -4.6250877, ' "': -7.0843544}
{' Down': -0.17317183, ' down': -1.855211, ' "': -6.8390446, 'Down': -7.3480678, ' Up': -7.781284}
{' Up': -0.1611944, ' up': -2.0034223, ' "': -5.332108, ' Down': -5.3365006, ' down': -5.760956}
{' Down': -0.40640795, ' down': -1.1066871, ' "': -6.549196, 'Down': -6.9601703, 'down': -7.1641355}
{' Up': -0.18281421, ' up': -1.8390032, ' Down': -5.4764028, ' down': -6.3087177, ' "': -6.963167}
{' Down': -0.53254575, ' down': -0.89350384, ' "': -6.6578875, 'Down': -6.7552495, 'down': -6.829531}
{' Up': -1.122012, ' down': -1.292325, ' Down': -1.4116392, ' up': -1.8947935, ' "': -5.6279187}
{' Up': -0.38753346, ' up': -1.1402686, ' UP': -7.2373085, ' "': -8.062071, 'Up': -8.085815}
{' Up': -0.87138224, ' up': -1.2859807, ' Down': -1.8168454, ' down': -1.9757427, ' "': -6.228743}
{' Up': -0.07213056, ' up': -2.6983569, ' UP': -6.9059124, ' "': -7.0386987, 'Up': -8.0862255}
{' Up': -0.8038549, ' Down': -0.871297, ' down': -2.7005777, ' up': -2.802411, ' "': -5.4069185}
{' Up': -0.18561645, ' up': -1.7849512, ' UP': -7.078204, ' "': -7.643668, 'Up': -8.561351}
{' Up': -0.76137227, ' Down': -0.9627254, ' up': -2.4293523, ' down': -2.8094392, ' "': -6.6074357}
{' Up': -0.2412033, ' up': -1.5636997, ' "': -6.0234065, ' UP': -6.226606, ' Down': -8.484185}
{' Up': -0.23795414, ' up': -1.5843037, ' "': -6.020301, ' down': -6.47643, ' Down': -6.508002}
{' Down': -0.50853044, ' down': -0.9575413, ' Up': -5.126763, ' "': -5.60306, ' up': -6.2358747}
{' Up': -0.4473574, ' up': -1.0652564, ' down': -4.9101505, ' Down': -5.303196, ' "': -6.2597256}
{' down': -0.5917702, ' Down': -0.83386993, ' "': -5.479814, ' Up': -5.5950427, 'down': -6.3345866}
{' Up': -0.2588416, ' up': -1.6101123, ' down': -4.237365, ' Down': -4.7251635, ' "': -5.5545034}
{' down': -0.26845974, ' Down': -1.7300991, ' up': -3.5680678, ' Up': -3.7336848, 'down': -5.64596}
{' Up': -0.3842337, ' up': -1.2212278, ' down': -4.387007, ' Down': -4.787674, ' "': -6.5874023}
{' down': -0.31358632, ' Down': -1.3246642, 'down': -6.3934045, ' "': -7.12229, 'Down': -7.259284}
{' Down': -0.5423334, ' Up': -1.5545596, ' down': -1.6791933, ' up': -4.326402, ' "': -5.0347743}
{' Up': -0.68339247, ' Down': -1.1431226, ' down': -2.2894373, ' up': -2.6899252, ' "': -5.1267705}
{' Up': -0.14360093, ' Down': -2.6218302, ' up': -3.0288448, ' down': -4.4710317, ' "': -7.2037754}
{' Down': -0.26201457, ' down': -1.479145, ' "': -6.5703945, 'Down': -7.3673916, 'down': -7.7455354}
{' Up': -0.14550684, ' up': -2.1220958, ' "': -5.211461, ' Down': -5.211821, ' down': -5.7454405}
{' Down': -0.13496909, ' down': -2.0958397, ' "': -6.5110254, 'Down': -6.7281218, 'down': -7.817399}
{' Up': -0.2513321, ' up': -1.5262649, ' Down': -6.3149805, ' down': -6.838439, ' "': -7.054803}
{' Down': -0.52553725, ' down': -0.9064366, ' "': -5.964034, 'Down': -6.8471136, 'down': -6.9978805}
{' Down': -0.74985176, ' Up': -0.97511715, ' down': -2.2464623, ' up': -3.2617784, ' "': -5.3981137}
{' Up': -0.15403233, ' up': -1.955752, ' UP': -7.676192, ' "': -7.8465924, 'Up': -8.015253}
{' Up': -0.6722608, ' up': -0.9841428, ' Down': -2.717005, ' down': -3.0697103, ' "': -6.25926}
{' Up': -0.072738886, ' up': -2.6829836, ' UP': -7.131908, ' "': -7.3490944, 'Up': -8.17108}
{' Down': -0.3759428, ' Up': -1.6401582, ' down': -2.367518, ' up': -3.8966603, ' "': -5.64416}
{' Up': -0.16988085, ' up': -1.8685977, ' UP': -7.0646234, ' "': -7.2660623, 'Up': -8.389751}
{' Down': -0.30826882, ' Up': -1.8611311, ' down': -2.4391205, ' up': -3.9261558, ' "': -6.645882}
{' Up': -0.19407846, ' up': -1.7596055, ' UP': -6.2209353, ' "': -6.452459, ' Down': -8.004093}
{' Up': -0.22900361, ' up': -1.6106219, ' "': -6.2287173, ' Down': -6.942186, ' down': -7.0805044}
{' Down': -0.61104816, ' down': -0.8115182, ' Up': -5.3711343, ' "': -5.7121773, ' up': -6.0864224}
{' up': -0.43615335, ' Up': -1.0710944, ' down': -4.9822464, ' Down': -6.444851, 'up': -6.7358723}
{' Down': -0.5790143, ' down': -0.84012645, ' Up': -6.0240006, ' "': -6.1452904, 'down': -6.4840393}
{' Up': -0.33448252, ' up': -1.3828415, ' down': -3.9532623, ' Down': -4.699187, ' "': -5.450829}
{' down': -0.5622349, ' up': -1.6270369, ' Down': -2.1637821, ' Up': -2.2057054, ' "': -5.162651}
{' Up': -0.22719663, ' up': -1.6192675, ' Down': -6.504016, ' down': -6.6481824, ' "': -6.8727937}
{' down': -0.31299537, ' Down': -1.3265128, 'down': -6.2946253, ' "': -7.24495, 'Down': -7.2728257}
{' Down': -0.76867896, ' Up': -1.0967791, ' down': -1.8170817, ' up': -3.6290305, ' "': -4.39803}
{' Up': -0.37422666, ' up': -1.7446395, ' Down': -2.401763, ' down': -3.211953, ' "': -5.1194925}
{' Up': -0.09237434, ' up': -2.7939124, ' Down': -3.7971413, ' down': -5.6079435, ' "': -7.6598673}
{' Down': -0.285047, ' down': -1.4082578, ' "': -6.3457103, 'Down': -7.2939234, ' Up': -7.678695}
{' Up': -0.23640832, ' up': -1.58663, ' "': -5.787051, ' Down': -7.136659, ' down': -7.253834}
{' Down': -0.3555449, ' down': -1.2197646, ' "': -6.2011275, 'Down': -6.884254, 'down': -7.2235866}
{' Up': -0.35172257, ' up': -1.2259178, ' Down': -7.1616416, ' down': -7.2657146, ' "': -7.525554}
{' Down': -0.5875596, ' down': -0.81960005, ' "': -6.574515, 'Down': -6.8103757, 'down': -6.843643}
{' Up': -0.4132144, ' Down': -1.7335042, ' up': -2.280772, ' down': -2.901984, ' "': -5.5855713}
{' Up': -0.16611415, ' up': -1.8834314, ' "': -7.860053, 'Up': -8.221618, ' UP': -8.330152}
{' Up': -0.71889293, ' up': -0.92600423, ' Down': -2.7875648, ' down': -2.9578493, ' "': -6.32356}
{' Up': -0.098580845, ' up': -2.3853965, ' UP': -7.2100005, ' "': -7.217892, 'Up': -8.151664}
{' Up': -0.75740975, ' Down': -1.0480477, ' up': -2.4075618, ' down': -2.4621272, ' "': -5.672605}
{' Up': -0.30258587, ' up': -1.349375, ' UP': -7.1446857, ' "': -7.5421925, 'Up': -8.363361}
{' Up': -1.1682101, ' up': -1.3568774, ' Down': -1.4004337, ' down': -1.705968, ' "': -6.410695}
{' Up': -0.342391, ' up': -1.2532454, ' UP': -6.2601132, ' "': -6.264664, 'Up': -8.346322}
{' Up': -0.32240328, ' up': -1.3555645, ' down': -4.9783916, ' Down': -5.1699224, ' "': -5.5455203}
{' Down': -0.4243613, ' down': -1.0800772, ' "': -5.8931246, 'down': -6.3693757, 'Down': -6.6852865}
{' Up': -0.44785908, ' up': -1.0965483, ' down': -4.3045235, ' Down': -4.676487, 'up': -6.4093}
{' Down': -0.59657305, ' down': -0.81243736, ' "': -6.0232506, 'down': -6.2915974, 'Down': -6.8739743}
{' Up': -0.2501778, ' up': -1.8424171, ' down': -3.5641234, ' Down': -3.590849, ' "': -5.09284}
{' down': -0.57730925, ' Down': -1.5369706, ' up': -2.125218, ' Up': -2.3296456, ' "': -5.727753}
{' Up': -0.3052755, ' up': -1.4970613, ' Down': -3.9546893, ' down': -4.0876813, 'up': -6.6484227}
{' down': -0.49605814, ' Down': -0.9490496, 'down': -6.1745725, 'Down': -6.8748918, ' "': -7.2052712}
{' Down': -0.5554104, ' down': -1.2451382, ' Up': -2.168863, ' up': -4.295395, ' "': -4.749176}
{' Down': -0.5640723, ' down': -1.4185188, ' Up': -1.8964773, ' up': -3.4962122, ' "': -4.9693894}
{' Up': -0.19319858, ' Down': -2.3463814, ' up': -2.8080857, ' down': -4.041068, ' "': -6.702277}
{' Down': -0.26799363, ' down': -1.4579961, ' "': -7.0112185, 'Down': -7.1617637, 'down': -7.4944015}
{' Up': -0.31896067, ' up': -1.4050564, ' "': -4.458689, ' down': -4.7924824, ' Down': -5.039112}
{' Down': -0.42761275, ' down': -1.0672382, ' "': -6.273726, 'Down': -6.9153676, 'down': -6.968897}
