{'sequences': ['!*!&!*&%#*&*#!*^&#!^&!*', '!&^#!^!^!%#*!#^*&%&^*!#%^#*^&^%!&#!*%!*'], 'large_anchor': False}
{'sequences': ['!^&%#*!^%&*&!&#^&#%&!#!*^!&#*&!^*^*&*!*%^#!#&*&#&%^&%!*!*^*&#*&#%!#&#%*^!%^%&', '^%#&!&%&*%*&#^%#^%#&^#*!^%!*!*&*^!&^&*!#&%'], 'large_anchor': True}
{'sequences': ['^#%#%^*^#!^*^#^!&%*%#&#%&', '!*%&^*^&*^#^!&%*%&*^#%*&^#%#%*!*!#^&%!*%#&'], 'large_anchor': False}
{'sequences': ['^!#&^%#!%&#%^*^#&#^&#*#%^&*^%*%^&!#^#^#%&^#!&*^&!&^%!#!#!#%#^!^%#^&%#!%&^#*%&^*&%', '&%#*%&%&!%^!%#^*&%^&^#&%^&^#%^!^%!*^#&*#^%'], 'large_anchor': True}
{'sequences': ['#!%#*!&*&^%&%^%*!#^', '#*%#&#&*!&!*#*%!*&%^*^*#&#!&#&%!&#*&!&%^%*'], 'large_anchor': False}
{'sequences': ['*!*!#!*#^*^*%!&#!*^%&^!%&#*&%#^*!^&!&*^%#%#!#*#&#&#^*&^!%&!^!*!%&!&%*^&#!#^!*^*!%&!&', '!&#*!#&!^#%!&%&*#*!*&!*&!*!%&^%*!%&#*!&#!%'], 'large_anchor': True}
{'sequences': ['#%&*^&*%!#&%!*', '^*&*&%*!&#^%&#&!*!^*%!^!*%^%&^%!&!^%*&#%*^'], 'large_anchor': False}
{'sequences': ['#&*&%#*%^%*!%*#%&%*^&*^#&%&^%*%!*#!#&%*!*&^%^%*^!*&%!&%!%^*%^!^#*^&%*%!^', '*#*#!%^#*%*#%*^#^!&*!^#*^%&*%^#%#*&#^!&%#%'], 'large_anchor': True}
{'sequences': ['!^#!#%*!&!%!#*^!^*%^%#!#&', '%^#^%&#%^&^#^!&*#*%&%&*#&%*%&*%!^&#%*!*#*#'], 'large_anchor': False}
{'sequences': ['%*%&^%^#*%!^*&#&%^%#!*!*#%&!#&!*#&!*^*^*#*&!*#^#&%^*^!&%^#%!*%!^#%&^*#!%*%*^#^&%^*&%^!^!', '*&!&%#!#*&!&*#^!^*^*&^&%&^&*#^!#&^!%^&!&*!'], 'large_anchor': True}
{'sequences': ['!&#!*!%^!#%^#%*^&%!^!&*!#*', '%^%^&!#%*!%!#^&*^#%!#&#&*!^!&^*^!#^*^%*%#&'], 'large_anchor': False}
{'sequences': ['!&%!#^%#&#*&%#&%&%!^*^!*&#%*^%&^&%*!#*#%#^!&*#&#%#^&%*%&#%*%&^%!&%^%^*!&!*!^#!#&*%^&*#*', '#!^#&#*&%*&^%#!^*&!*!%!^*^#%^&*&*&*%*!&#^!'], 'large_anchor': True}
{'sequences': ['&%!#&!%!^*', '!*&*&#^&!*#&^&^#*!#%!*!#^%*&%*%!^!^#^&!#^&'], 'large_anchor': False}
{'sequences': ['*#!^&^%&#&^!#^#*&%!&%^*%&*^!#^!%&^#%!#*#%*#*#*&^#&#^#%*!*!%#*#&%!#&^*#!^#%!&^*^#^%', '#%#*&*#^&%!%^*!&!%&*#!%&#*&#&^*%*&*%*#!^&^'], 'large_anchor': True}
{'sequences': ['!%!%!%*%&#*%^', '^*#!&*%^!^&!%*&%^%^&*%^*^%!*^*^!*!*&#*#^%#'], 'large_anchor': False}
{'sequences': ['^#*^&^%^!%*#^%!*!&^&!*#&#%!^!#*&*%*^#&^*&*!*#%#!%!#*%!%*!*^!#%!*%#!&!^&%&^%*%*#!*&%#!&%*', '&*&*!*%*!*&*%^!*&#*&#^#^%!#*%#*&^#*#&#^%&!'], 'large_anchor': True}
{'sequences': ['!*%^*&%*#&*&^&#!%#%&%!^%!', '&^%^#*&%#&!#*^!*#^%!%!*%#%^%^!^*%^%#&*&%#!'], 'large_anchor': False}
{'sequences': ['!*&^&!#^!#^*^!%#&*%!&%&#^!#!#%#%&#!*%!&#^*&*!^%*#^&#*%#^#%#*!#%#%^#^!#%!#*&*', '&#%^#!#%*^!^!&^&#!*!&!^#^&%^#&^&%*!^&#%^#^'], 'large_anchor': True}
{'sequences': ['*&^#^!#^%!#&!%!^', '!%#&#^#%#%^%&!*#&^#!*&!^%*%&^!%!&*%&%#^&!&'], 'large_anchor': False}
{'sequences': ['^!&*%*#%!#^#^*&^%*#*^&^&#*%^*%#&!^%!%&%!%^&%!^!*%*!&%^*#^!%^#!#%*^#&#&*^!#^*%#', '%^!#^&%&#&!^*!*#^#&!^*^#^#^*&%!%#*%^&^!*^%'], 'large_anchor': True}
{'sequences': ['!*^!&!^!%!*%!', '#%^#&#%*!%*!&%*#*%^%^*^*&^%!&^#*#%^*^*#*%^'], 'large_anchor': False}
{'sequences': ['*^%!&%!#&!*#%!^#&*#%!^!&!%&%!#!&*^#!^#^#*&^#!^#%*%!&^%*%#%*#!*%^*^&#%&#', '%*!%*!%*%*&#*#!&#&^&%#!&*!#!*%&!*^*&#&#*^*'], 'large_anchor': True}
{'sequences': ['*&^&!#*&#^*&*%*^*!', '^%*^#&#^!^!#!%*!^&!%^%#&^#!&*&!#&*!^#^!^%!'], 'large_anchor': False}
{'sequences': ['^!%^#&*#&#^%^&*^!%#!*&%!#!&#*%!*%#&%*#&!%&#!*&%!%&^!#*&!&*^&*%&%^&*^!%!&*!%!^%&*^#*%&', '^#*^#&%*#^&^&%!*&%#!#!&#!%#&*^!&#&%^%#*!#^'], 'large_anchor': True}
{'sequences': ['*#*#&!#%*', '%#^#!^%&!*#%^&#%*!*#^!%!%&#%*!#^%!#&*%*&*#'], 'large_anchor': False}
{'sequences': ['#&#&^&!&^#*^&^&!*^&*!#&^%#^%^&^!*#^!*&#*^*!%*%^&#*^!#&*!%#*&#*^%!&%#^*&!&%#&*#*#^&%*&*%*', '^*!%&!#&#&*!*^!*^*^#%*!#*&#&#*&#*&!#!#%*^%'], 'large_anchor': True}
{'sequences': ['!*#^*&%!%#%&*!#%*%*^&%&', '!#&%&%#*%#&!*^%!*^!%#*#!#&^!&*!%&*&#^*^*#*'], 'large_anchor': False}
{'sequences': ['%!&%&%^!%&*#%#&*&%#^%#^!&%!*^*^&^&^&%#!&%&%^#!&^*^&%*&^%#^#^*#%!*#%#&*&#*&#!%*%#*#', '^#^%!*#!^#!*^%^%^#&*!#^%*&^*!*%#^*&#*&*!*!'], 'large_anchor': True}
{'sequences': ['*#!^!^*^%^%', '^#*^#&^!#%#!#%*&^*^%!^*!%#%*!*!^!&*#^!%&*%'], 'large_anchor': False}
{'sequences': ['^*!%^!^!%!%&*%&!^*&%&#^*#&%#!^%#%&^*!^%&^*%&%#&!^!&*%#&*!&!%^*^&^!^!&*#%&*&', '!^&^!#^!%&!%!&%^!*%#&!*%^!&^!&^*%!%*&^&*^!'], 'large_anchor': True}
{'sequences': ['#%^*!*!^&!#^#!^&!&', '^*%^!#&#%!*&%&!#%^#*#*%^%&^&*%&*^&!^!*^&*!'], 'large_anchor': False}
{'sequences': ['#*!&%*#&!*&*!&#&#&*!#!^#^*^*#^&%&#^!^*%^%&*&^%*!&*%*#!#!#!*!&%#!#&*#^#&*%&%^%!', '!^*^!%*#*%&%!^&*!^!#!^*#&*^#!%#%*&^%&%^!#%'], 'large_anchor': True}
{'sequences': ['#*%!#^*%&', '#*!^%!^#!#!%*^&%!&*!&*!*%*%#^#%*&^*^*&^#*&'], 'large_anchor': False}
{'sequences': ['!%#%&*%&^&#!*!#%&!*!&#!#^!#*^%^%*#^#*#^#!#^&#%^#!&*^*&*&!#!^%&#^&#%*^*%!', '^#!%^&^!^#%^!&%*%^!*#^!&^!%&*%^*!*^&#*%^#*'], 'large_anchor': True}
{'sequences': ['*%&%^*&#&#^!^*', '&#^!#*!%&#*&^*#^%#%#!^&^#%&!%#%*!*^&!&^*&^'], 'large_anchor': False}
{'sequences': ['*^%#^*%*!^&%^!&^%#*%&!*%&%*#%*^%^*!^#&!&^!^!&!^!%!%&*%*%#%*%*!^#*^*^!*%&!&#!&*#&!%#&*&^%', '%#&^*&#*&*%#^&!&!%#*!#!*%&^%#&!^&^%^!%*#*^'], 'large_anchor': True}
{'sequences': ['&^!#%*^*^#%!%^*^!^*&', '#%#*%&*^&%&!^&^&#*!^&%#^#!&%*#*&#^*&^&!*#%'], 'large_anchor': False}
{'sequences': ['%#!%!#*&%!#%#&%*&!%&%^*^%#^%*&!&^*^!#*!%^#^*^!%!&#&^%!%!#%*&!*%^#^&!&*%!&^*%!#*&*', '^#*#&#^*^*^*%&#%#^#%#*&%#!*#&!^!#%&!#%&*&^'], 'large_anchor': True}
{'sequences': ['^%&*%!&!^&*&!^!&%!^%!#%', '#!%!^*!#&#%!*!*%&*#^*^#*&^&#%&%^%^*!&^&#&^#'], 'large_anchor': False}
{'sequences': ['*%!&%&*!%&%*&*%#%!#%#!#%*&%!^%*!#!&!&*!&#*%#^#%^*&#&#!^*%#^&^#^*!^#!%^', '*#%*#%!#%!&^#*^*#*&^%!#&^!#*&%*!%^#%*!%#*!*'], 'large_anchor': True}
{'sequences': ['%&#%#%*&#^!*^#!#^&^&#%*', '^&%*#%*!#%&%!^&*^!^#!*%&!*!^%#&^*^!^&%!%#%^'], 'large_anchor': False}
{'sequences': ['#*#&#*#^%!*^!&%*!&!#&*#^#*&%&!*!*%^&!#%#!*!%&!^*#&!#&%*&*#%^&!*^&#!*^&#&*#*!^%', '!%#*&!%^*#%#&^!^#%*!#%#!^%#%^*&#*^!^!*#&!&#'], 'large_anchor': True}
{'sequences': ['^!^&*&*^&*!^*&*%^!#*#*!#^', '!&*^&!#&*&*^&#&#*#&!^!%*%&*%&%&#^*^*&#%&^&%'], 'large_anchor': False}
{'sequences': ['%&#%^*&%!%#%^%!^#^*^*&!%#%!*!*&!%^&^%*#%^!#%!^&!*%&!%!#*#%^!%&^#!&#&%^*%!&^*', '&*^#*&^#^#%!*^%^*&*#%&*&#%&!&!%#%^&^%#&^*#%'], 'large_anchor': True}
{'sequences': ['*%#!*^%#%&%!*^%^&*^!%^#%', '^&!^#&^#%#*#%&#&*^%&%^*^!*&*!%!%*^#&#*^&#!^'], 'large_anchor': False}
{'sequences': ['&*#*%#*#^%!^%&#!*#^!*%*!%^&#%^#*&!%!%^*#&%#*&%*%&!*&*^*#^%*&%!*^*&!^#*^&#^#', '#*&%&%^%!#^!#*^!%*#%*!#%!#&*^%&*&!*%^&!*%!^'], 'large_anchor': True}
{'sequences': ['*^&^#!#^*&^&*&*', '*!^#^*%^!#%&^#!%&^%#&^!#^&^&^&%*%&*#^*^%!^!'], 'large_anchor': False}
{'sequences': ['^#^!&*#^&^!%*!^!%!^!%*^&#&!&%#&*^#%!%*#*^*!*^%^#&*!^%#*#*&%*%&%*#^!^&*%!^#&^', '#!&%*&*!#&^%!&^#%&!*!#%!&#&*#*&#%*&*&%#^!%#'], 'large_anchor': True}
{'sequences': ['&!*!%*%#&', '&#^!&%&!^!^&%*!#!#&*%#!&#%#%!&^%*#^*^#*#&%#'], 'large_anchor': False}
{'sequences': ['!*^*^!&#!&#^&^#%*!%!#*#!#!&%#%^*#^#%&!^*%^!%#!&%&#&#!#^*!%*#%^&#%^%!*!#*^&!&^*^#&%*&#', '^%#%*&%!^#!^*!&*%!%#%&!*%^!&#&^&%#%*%!&*!#&'], 'large_anchor': True}
{'sequences': ['&%*!#%^&^&', '#&#%#%*#%&*^&^#%*&*!*&%&%!%!%^!&^*^#&!%^&^&'], 'large_anchor': False}
{'sequences': ['*#%&!%^&!*&%*#!*!#*%&*!%&^&%#!%#&#*^!%*&^#*&#&^%^!%!&^&!^!*!^*%&!#!^&^%!#!*%!', '%!#&*&%*&!%!^#&#&!#%^#!&%^%*#^!^*%*^!%#*&*&'], 'large_anchor': True}
{'sequences': ['&#!#^&^!*%#!^!#^#^#^%&^&*#*^', '%&%^#!%!*^&%*#%#^!&^!*^%&^%*^#*#^#&*%^!*^!^'], 'large_anchor': False}
{'sequences': ['%^&^#!%^&^#%^%^&#%^%&^*!&^!*%#%!^#^!%!&*!&^%&%*&*^*#%*#%#^!&*#&%^!&^%#*!^*', '*!&#*#^*#*%&%^%*^#*#^%!^*&#%#*&!#%^&%!*#%&!'], 'large_anchor': True}
{'sequences': ['*&^*!#&!#^*%#%', '*%!*#&#%^%^%&^#*%&^*^!%!#%*&^%#&!&!%*!%&#*^'], 'large_anchor': False}
{'sequences': ['&#!*!*&*#%*^%*&#*!^*#!%&*^&*#*&%#^%!&*!*^#!&%^#*%!%&#*!&#&%&%#^*&*%!^&*', '&^*#*%!#!&^%*^%#!&*!&!&!%*#*#*#%#*&%^*#*^*%'], 'large_anchor': True}
{'sequences': ['&!&!#&^*%&*^#*&*^!^', '^!#!*^!%#*!&*%^!&!#%^*^!*#*^&#*&^#*%&^%&!&#'], 'large_anchor': False}
{'sequences': ['%^*&#%#^%#!*^!%#%#*^#!*^#^&%^*&%^&*!^#!%^!%^%!*!*#*%#!&!*!^&#*!&^&*!#*&^&%^!*#', '%*#^*^*!#!*%&#^*&#&*%#*!#&*!#%*&^&*%#!&^&!*'], 'large_anchor': True}
{'sequences': ['&^!%&%*&%*%*&*!*#&*#^&#', '!#&!%!*&%!%^!^%^#^!#*#!^*&!^&%#!#^*!*^#*!&#'], 'large_anchor': False}
{'sequences': ['#&^#*#!^#*#!#&*%&!#^&%#*%!%*%^*#%&*#!^!*&#*#!&%#^*&%^!^*!#%!&!*#*^%^&^&#%&#%', '!#^&^*!*^*#&^*#^&#%#^&*^!*#*%#&*^*%#%#*&^*&'], 'large_anchor': True}
{'sequences': ['*#!&#!%*^', '#&^&^*!&!^!^&^%&%^!*!&!*#^#%#&#!#%^%&^#%^&!'], 'large_anchor': False}
{'sequences': ['&#^!&*#&%&#^*^*#!#&%&^&^!&#*%&*%&^%&!#%#%&!^&#^&%^%*#*%!*#!*!%^&!&#^*%*#^#&!#&', '*!^*#*%!&*&^*!#&^&*&%!&#*#*#*%^%#^&*#%!#%^%'], 'large_anchor': True}
{'sequences': ['*#%&#!&#!*', '!&^%*^#^#%&%&^#&!^!%!*%#^*#!&!%!&*!%^!%&!*^'], 'large_anchor': False}
{'sequences': ['*#!*&*%&!%*^*^*^#!%&!&!#*&*%!*&%#^#!%*^*#^#^%#*#*&#!&*^*^!#^*^&!%!^!&%*^&^*&', '#^%!&*#&%#%#%^*^%#%!&%!*!#%^%!%*%&#^*^%*%^!'], 'large_anchor': True}
{'sequences': ['#%#^%*!^!&*!%*%#!*!#!', '%&#&^#^*&^#%!^*#^&#*%!*%^&^!^&%&%&%^!%#^#*&'], 'large_anchor': False}
{'sequences': ['^%#&!#%&%*^%&^&#!*^*&#%^!^%!&*!%!*#%&%&*%^&^#!^&%*%&%&#!^!&#!&#%!#!*&%#&#&', '#!&*&%&*!&*#!^*#*&%!#*^!&^!#&%*!#!&!*#&^&#%'], 'large_anchor': True}
{'sequences': ['^!%!*^&^&*#', '#%!%*&%&^&^!*#%#&%#%#^*%*!%!*#^!%&%^*^!%*^%'], 'large_anchor': False}
{'sequences': ['%&!%&^!%*&^&!&#^&^*!*^#%*^!%!*&*#^%*#!#%!%#&%#&#*&!*#!%!#&!&!&#*!#^%^#&#%*%*#!&#^&!%*#', '&#^!#&%^&!&#^&#!*#&#*%&!%!*#*&!^*&!^&%!#^*#'], 'large_anchor': True}
{'sequences': ['%#&*&^#*&^', '^%&%*%!&*&!%!^%^&#&#%&#^%^*^*&%&%!^!^&!#%!&'], 'large_anchor': False}
{'sequences': ['*%&^*#*!^#&!&*&#%&^*&#&%^#&%!%^!&#^%^!*#&*!^*!#%*%!*!#!#^#%&^#&*%&!&^&#!#!*', '*%&*!%^&#%*%*&%!#&!#%#%^!*#&#*%^&^&^!&#*%^!'], 'large_anchor': True}
{'sequences': ['%*!&#%^%&^%^!#!%*!%#', '*&#^!%&%#!#%&*^%!&!^&%^&%!%*!#*^*!^&#&#!#&*'], 'large_anchor': False}
{'sequences': ['^&#&%!^&#&%!&^%*!^&^*!*^&#&%^&#&!&#%&#*!*#!#%!%!%&*^%#&!^%#!%^*!*&%#%!#', '#^*&#*%!^#&*&^&^#&#*!%*%*#^&%*&^&*^#&^%#^!#'], 'large_anchor': True}
{'sequences': ['#*%*!%!*&*^%&*', '&#^!%&^#*&%^&%&%&#%#%^*&*&#%#%^&*^%*^!#^%#^'], 'large_anchor': False}
{'sequences': ['*%*^#%^#!^*!&*!#^#^!&%*^&#!*&%^&%*&^!*%^%&!%*!^!#^!&^%#!%#^&!#^#^%^&%&!*%^', '%!*&#%!^*%*#&^%*#&!&*%*^&!#!^%!^&%*%!&#&*^*'], 'large_anchor': True}
{'sequences': ['!&*%!%!#%&*#%*!&', '*!&^%!&*%*#%!*^#&%*^#^%!&%&*%!%^*&%*!&%&#&#'], 'large_anchor': False}
{'sequences': ['*!#%#!%^&%#&*#!*%!&#^%*^!%#*!%!*!%#^*%*!&%^%*^&%#&!%^*&%*^!^&^#&#*!%*!&*^*&!^!&^%!*!', '!&^*&*%#&!*^&^*^&#*%!#^#*^&%*%*^&!&%!^#%&!#'], 'large_anchor': True}
{'sequences': ['!*#^*&*&^%*#^!%&*&%#^&', '*%!^#*&#%!*%*&#&*^!&%*%!#%!&#%^%^!*#^%*&!^!'], 'large_anchor': False}
{'sequences': ['%#&#%*&#*#!#!^#!^&%#^&%!^*%#&^*^&^!%#!*!%^&!%*!&%*%#&#&#^*&*%!#&*&^#^!%#!^!', '^&^!%!^%&%!*&#*!^#!#!%^&!&!&!#^%!%!^*&!*#!^'], 'large_anchor': True}
{'sequences': ['^*&#^!%&%*', '!^*%^%!&*!^*&*!^&!#^!*#&!*^%&^#!^*!&*&#*#!&^'], 'large_anchor': False}
{'sequences': ['#^*&!*^%^#!#*#%^#!#!#&^&%^#^&!%!%*&#^*#&^!%*!*^&*%*!*!^*#*#^*#*&%!%*^*#&%^&#!*^!#*!*^#%!', '#^*^!#&#%^*&%*#&!%*%&#*#*%&*#%&%#*&#^!%&*^!#'], 'large_anchor': True}
{'sequences': ['#&^#!&^&#&^&#', '&!#^%^#%&^%&#&#&!&%&%^%!#*#*^%*^%*#&*!&^!%#*'], 'large_anchor': False}
{'sequences': ['&*#&%&*^*!#*%^*%#!*!%&#&!#*#!&^&!^#*&#!^*&*&^%*%*%#^#!^!^!%^*&!*!^#%*^#*&%^!^#&*#&#&', '#%#!*%^*%!*#!&*&!#*^*%^!*#*&!^*&*!#&*&^*^&!&'], 'large_anchor': True}
{'sequences': ['&^!*^*!*&*^#&%*^*%^', '!&!#&!&*^#^&!^%!^&!#%^!^#%!#^#%!&%!&^%#!#&^*'], 'large_anchor': False}
{'sequences': ['#!*!&#^&!#!#^%&^%!%!%*#&*#*#*%!*%^*&*#^&*!#&^%#*&*&!^#^*&%#^&!*&#&*&!^', '^%^&*!&#&%#!^%&^%&*!*!*^%*&#%&!&*%*^!^!&*^*%'], 'large_anchor': True}
{'sequences': ['^%*%*%&%#%*%!*', '#!^%*!&*&#%!*!&!*&^!&#!*%^!&!*!^*#^*%*&#!&*^'], 'large_anchor': False}
{'sequences': ['^#%*&%#^%#^!#^#&!^%&^*^*^!&%*^*!^#!^!&%*!&%^*^*!*#^&%#%&*%^%*^*!#%&%#^&#%&%*%&!&^!#%!', '*^&^*!#&*&%#!^%&!#*&^!*&*#*^&^#!^%&%*#&!%*%^'], 'large_anchor': True}
{'sequences': ['#%^&#%!#&!^#', '#&^!*#&#*^*%#!^&*%&^!*&*#^#&*%!^*!*&^&%*#*!^'], 'large_anchor': False}
{'sequences': ['%^!%^&*^%!*%&#%^&^#!&#^%#*#&%!*%#^*!&^#&%*^*#*!%^%*^#*!&^*^%^%#*!%*&^*%^!*&%#*#^%!%*', '#!%&#&^&*^#&!#^&*!^#!*&#^*&#!#%#!*!*^!*%#!#^'], 'large_anchor': True}
{'sequences': ['*#%!#^&!#%*&^!#&%*#!%!%*^!', '%#&#%!^#^&#%#%&%&^%#!^!^#*!#*#!%^&%!%#%!&%#^'], 'large_anchor': False}
{'sequences': ['^%*&#%&%&^&^&%#&*#!&^%#!*!^%&%!*&*%&*&#!*#%#^#!%&#*&^!^%^&!^&^&!#^%&^*!^%&!#*^%*&!&^', '*&^&#!&%*&#%^%*#^%#!*!&#&^*^%!^!%#*&!#%!&#%#'], 'large_anchor': True}
{'sequences': ['^#^*!*!^!&%*^%#', '^#%^#%*%*#^%!*!%&^#%^%!&#!^*!&%!^&!^!%!^#%^&'], 'large_anchor': False}
{'sequences': ['^#%*%*^&#%!^&!&*&%*%!^!&%!*#&*%*%*&#&#*&^#*!#%!^!^#!#&%^#^#*%&!%#%#!^*#!#%^#^!^#^!*^!', '#&^!*&#&%*!&!&%#!*#&!#*!&*#&!#!^&^&#&#&^#*&!'], 'large_anchor': True}
{'sequences': ['*#&*&*^#%', '#!&!%&*!#^*&%#^&!*%#&^#!^!#&*%#*!#%^*#%#^%#*'], 'large_anchor': False}
{'sequences': ['*^!&%#!%#*%#!*&!^#*^!%!*^!^!&^!#*#%*!%#*!&^*!^&^&#*^*%!&*^&*#&#^#^*!*^#^!#%#!*^&', '&^%#!^!*%^*!*^*^&%!^%&#%^#&%*^&^*%#&^%&^%#&#'], 'large_anchor': True}
{'sequences': ['*%#!*!#!&^#^*', '#^#%&#!%#*%!*!%&*!%*^#!^%&%^#*^*#^*!%&#&*&%*'], 'large_anchor': False}
{'sequences': ['!*#!^%*^*%&%*%^*&^!^*&#!*#&^#&%*%!^&#!^&!#%*%^&#^#*%#!#&#&%#*#!#!%&^*#*%#*#%^!#', '&%&%#&%#^!^#&^*#&!^*%^*%*^%*%!*%#%^&#^#&^#%*'], 'large_anchor': True}
{'sequences': ['*%!&!*!*&#*%', '*!#%*%!&*&%&^%^*&%#^!*!^&*&^#&%!&%#*%*#%&#%#'], 'large_anchor': False}
{'sequences': ['^!&^#&*#!%^!&%&%&*&!%#%#^*%^*%^!&%*%!^!*!#&!#!^%^*%#!#%#^%&!%&#^%#&*%&%', '!*!*&*#%!&#!*&*&*%#^#%!^!#^%#%#^&^&*^!^*#!#!'], 'large_anchor': True}
{'sequences': ['#^#%*&*^#^#&^&', '#!*&#%#*!&^#*!%*^#^!*&%&*&!&#&%&^&%&!%!%*!%*'], 'large_anchor': False}
{'sequences': ['#%!*!^#!*&#%#^%*&%#*!%#*!&*^%#!%!*%!*^&%^!#!&%!&!&^#*#*%!#!%^!^*^#&*^!^#&^&*%&^%^!^%&^%!', '#%&^#%^#*%^!^&*%*^&^*&*^&!&^*^%!#*#*#!&^!#^#'], 'large_anchor': True}
{'sequences': ['#%#^&%#!^', '^%#*#*!&!%&*^#*!%!*%&%#&*^*!^%#&*!&^&^*&#&*#'], 'large_anchor': False}
{'sequences': ['^#&#%!%&*!#!#^%^#!^&#%#!^!*&%*#!&^*#^&*&!%!^%#&^&!*&!*%*%!%^!&#^%!&%^*&^%&!^!&#%&#^!^*', '#!#*&^&%#&^*!%#%*%^#%*!&!%*!*#!^!&!&%^#&^%^!'], 'large_anchor': True}
{'sequences': ['&#^*^!%*#%^!*%', '^!#^&#*%!#^*#^!^!#*^&!%*&!%^&!*&^*&#&#&*^%!%'], 'large_anchor': False}
{'sequences': ['*%&%!#&!^&#&!%^!%!#%#%&*^#!*#^!&^*%#^&^*!&!#*#*#*&!^#!#%#&#!^&^&^#*^&!^%^', '!#%^#%^*^!#&*&%#*#!*^%&^*#*&^*^!^%&*^!^%!&!&'], 'large_anchor': True}
{'sequences': ['%^*#%^#^#*^#*!*!%^%^!^&^#^*', '&!#&*&!&*!*&#^#*&#&*^*!#%!^*!%*#^#^#^#&*#^#&'], 'large_anchor': False}
{'sequences': ['^%#^!*#&^#*%#%#!#%*!%*!#*^&%&^!%!^!#^!*&%*#!#^*^%#^#^%*%!#%#%#%#^%^#%&#^*#&#&^&^&^*!^#', '&#%!*%^&*#^&!*&#*#*^%!*%&!%*%!#^!^#%^#*%#^*^'], 'large_anchor': True}
{'sequences': ['%&#&*%#&#%^%!%*^%!', '*%!*^&^&*%^&^*%^%&!*&^%&!%*!%!&#^*#^&%*!%*&^'], 'large_anchor': False}
{'sequences': ['&#%^!^&*%!#^!*#*%#*&%*^#&^%&!*#*#&*%!*&%#^%*#%*%&#*#&%*!%#*%#^!&*&*^#!^#&', '^*&*!&!*#^&*!#%#!^!*!%*%^*%*!%*^!*&!%^&#^!%#'], 'large_anchor': True}
{'sequences': ['%*&%^*&#&*&!%^*&^&*', '!%!*#*!^%&#&!*^*!&!^!#&*%!*&#*#*^*%^&#&!^#&#'], 'large_anchor': False}
{'sequences': ['#^#^*!#&#*%#!%#&!*^#&%&%^&!#^#^#*&#&!#*#!*^%#!^*&^*!%^!^*^!#&%!^#%!^&!*^!&!#&#%!#!%#&!', '%*&*%&^*%&!#^&^*^*%^#^#&#%#*#%#&^#!^&^#%^#&!'], 'large_anchor': True}
{'sequences': ['&*&%!^!*#%*!#%#&!^*%', '#^%^#%^#^#*&!%&^&%&*%!%#^!%^&#^&#!&#%!%^#*#&'], 'large_anchor': False}
{'sequences': ['#*!*^&!^!&^%#^!%#%&!&!*&!#%&*%*#!&#%!^!%*%&%#^!%#&!&^!%!&!^#*!#%*^!*%#^&!#%^%!&!&*!&#&%#', '^%&^%!#^*!%#!%^#&!*%^#%^!^!^%&^&!*&^&%*&!%*#'], 'large_anchor': True}
{'sequences': ['%!&#!*!#&%#%&#', '#%*^*%&#!%^!%#!^&!#*&^*#*%*#^!&%!&*^*%!#^%^&'], 'large_anchor': False}
{'sequences': ['*&^&%^#^!*&%^%&*#%#*^!*%&!&*#*&^!#&^#^%#&#!%!*#*&!*!*#^%&%!^*#*#%&!#^!^!^%^%#*&!%&*%!*^#', '^&%*#%^!%#*^%!%^*!#^&%*&*#%!%#%!#^!%!&^*%&^*'], 'large_anchor': True}
{'sequences': ['&%*#&!#*&^*#&#!&*!^&#%*%&*#', '%&%!#%!#%!&#!%^!^#!#%!^%!&*%*&!*%^#*^%*%#%*%'], 'large_anchor': False}
{'sequences': ['#!^&^*&%*%#*&^!*&#*#%^%#^#^&*&^#!%!^%^#*^#%!#&!%#%!&!%#!*&!#^&%^%&!%&%*%&^!', '%#*%&*^!*#!#&*#!%!&!%#*&^%!^%#%^#!&#%#!#*!#&'], 'large_anchor': True}
{'sequences': ['*#!*&^%*!^&!^#&^', '^%!#*^&^!&^&*!#*^#^&*%!^&*!#^#%!%!#&*&!^&%&^'], 'large_anchor': False}
{'sequences': ['!*!%#*!*!*%^#&^*!%^*#%#*^*^&%!#%!*!*^!%!%#&^!&^!*^!%^!*^%#&^#*^%*&^&*#!%*^*!%#', '&#%#*#*!%!%&#&#%&*^&!&^#%#^&*#&^#^%*#&%&*%*#'], 'large_anchor': True}
{'sequences': ['^*^!^!#^*#^#^!^%!%#^&%&!^#', '*^!&^!^%*&*%!^!*&^&^*%^%#*#%!*!^#%*^%!#!#^&%*'], 'large_anchor': False}
{'sequences': ['^*!%!#^*&*%&*%&%*&*%!&^%#^*#&#*%*%^*!*%!%^!*#&%&!*&!^&*!%#!^#^%*!&^*&^&^*!%*^*&^#*#%!&#', '!&%#&*&!%!#^#%*%^&#&!*%^*%^*#^&*!&#!%#%^*&%*#'], 'large_anchor': True}
{'sequences': ['*^!*#^*&#%!#^', '&#!&#&%^%&%&#^!^#*^#%^#%^&^&^&!&*^%^&%^#&!*!^'], 'large_anchor': False}
{'sequences': ['#!&^&*&*#*%&^#!^*&!*#*!*!#%#%&*!&!^!&#&!^&!^!^&%&^&*^!#%&^!%!&%^&%#%*^!^%^', '^&*!^&*!#*%*!*^&%*%!%!^#&#^!&*^&#*#%&#!^!^!%!'], 'large_anchor': True}
