{' !': -8.781245e-05, '!': -9.38345, ' @': -12.985971, ' ': -13.820295, '!.': -15.134049}
{' @': -0.001790412, '@': -6.6363482, ' $': -7.8770304, ' ': -9.571574, '\n': -11.709829}
{' @': -0.0037892342, ' $': -5.7778215, '@': -7.4767313, ' ': -9.360229, '\n': -12.050986}
{' #': -0.0002915213, ' $': -8.545589, '#': -9.979767, ' ': -10.464313, ' \\': -11.502914}
{' #': -0.0009412545, ' $': -7.058812, '#': -10.326109, ' ': -10.464255, ' \\': -12.065024}
{' @': -0.022134002, ' !': -4.034381, '@': -5.492961, ' ': -9.643014, '  ': -12.775803}
{' !': -0.13029997, ' @': -2.1063588, '@': -8.166797, '!': -8.667607, ' ': -10.491416}
{' #': -0.010946084, ' !': -4.5752335, '#': -7.4955435, ' ': -10.817319, '!': -13.091695}
{' #': -0.100956805, ' !': -2.3477542, '#': -7.8335257, ' ': -10.54512, '!': -10.931551}
{' $': -0.011520356, '$': -5.1004252, ' !': -5.2575645, ' $\\': -9.396282, ' ': -10.301749}
{' $': -0.5126404, ' !': -0.9316315, '$': -4.9769936, '!': -9.008226, ' ': -9.447613}
{' !': -0.00547922, ' @': -5.2681265, '!': -8.186896, '@': -10.643537, ' ': -11.899692}
{' !': -0.15262759, ' @': -1.9601645, '@': -7.5853586, '!': -8.66454, ' ': -10.483975}
{' #': -0.033238724, ' @': -3.4348764, '#': -8.106042, '@': -9.265092, ' ': -10.166365}
{' #': -0.22322072, ' @': -1.6143514, '@': -7.2600355, '#': -8.620958, ' ': -9.260039}
{' $': -0.1187359, ' @': -2.2134225, '$': -6.381282, '@': -7.3615866, ' $\\': -9.154219}
{' @': -0.55573785, ' $': -0.8614382, '@': -5.9462695, '$': -7.102147, ' ': -8.968207}
{' !': -0.033488248, ' #': -3.4176836, '!': -8.937888, '#': -11.548261, ' ': -12.538646}
{' #': -0.49965158, ' !': -0.9338862, '#': -8.829424, '!': -9.538366, ' ': -11.241666}
{' @': -0.319855, ' #': -1.303471, '@': -6.247125, ' ': -9.295834, '#': -9.513456}
{' #': -0.091822155, ' @': -2.4371896, '@': -8.803753, '#': -9.088543, ' ': -10.061813}
{' $': -0.5441157, ' #': -0.870053, '$': -7.6804104, '#$': -9.493736, '#': -9.993748}
{' #': -0.03126127, ' $': -3.4857786, '#': -9.552379, '#$': -10.665157, '$': -10.907551}
{' !': -0.00094531226, ' $': -7.4810095, '!': -7.9040427, ' ': -11.977859, '!.': -12.910076}
{' !': -0.019699853, ' $': -3.9650044, '!': -7.69908, '$': -9.870141, ' ': -11.189061}
{' @': -0.011109221, ' $': -4.600577, '@': -7.140272, ' ': -8.94623, '$.': -11.18569}
{' @': -0.14709999, ' $': -1.9963812, '@': -7.5831137, ' ': -8.647399, '$.': -9.582997}
{' #': -0.004577762, ' $': -5.4276695, '#': -9.327013, ' ': -10.196953, ' \\': -11.123898}
{' #': -0.14985476, ' $': -1.9751359, ' ': -9.069787, '#': -9.466478, '$': -9.509579}
{' !': -0.002691808, ' @': -6.013354, '!': -8.77453, ' !!': -9.706647, ' ': -10.931754}
{' !': -0.0034560873, ' @': -5.7660007, '!': -8.820572, ' !!': -8.870301, ' ': -10.756583}
{' !': -0.20875242, ' #': -1.6707504, '#': -8.808132, '!': -9.507147, ' ': -10.080024}
{' !': -0.17446406, ' #': -1.8338917, '#': -9.124878, '!': -9.299161, ' ': -10.147675}
{' !': -0.046072137, ' $': -3.1221657, '$': -7.5210433, '!': -8.443552, ' ': -9.508407}
{' !': -0.02291157, ' $': -3.826611, ' !!': -8.374334, '$': -8.502516, '!': -8.569038}
{' @': -0.008255934, ' !': -4.9332204, '@': -7.0304685, ' ': -9.715003, ' @@': -9.919893}
{' @': -0.013318352, ' !': -4.4323893, '@': -6.9812245, ' @@': -8.374409, ' ': -9.047431}
{' @': -0.028759157, ' #': -3.592413, '@': -7.505075, ' @@': -9.279372, ' ': -9.426864}
{' @': -0.027093295, ' #': -3.6689026, '@': -7.4131846, ' @@': -8.212152, ' ': -8.872934}
{' @': -0.0051743304, ' $': -5.609046, '@': -7.087501, ' @@': -7.736829, ' $$': -9.118064}
{' @': -0.007776777, ' $': -5.332825, ' @@': -6.52816, '@': -6.9910374, ' $$': -7.963892}
{' #': -0.0026502735, ' !': -5.9778967, '#': -9.370276, ' ': -10.942266, ' ##': -12.539813}
{' #': -0.001797219, ' !': -6.402714, '#': -9.276598, ' ': -10.471557, ' ##': -11.757798}
{' #': -0.0015305196, ' @': -6.54226, '#': -10.449952, ' ': -10.515006, ' ##': -10.820252}
{' #': -0.0009265177, ' @': -7.1269007, ' ': -10.159749, ' ##': -10.25702, '#': -10.371743}
{' #': -0.0007253057, ' $': -7.3934326, ' ##': -10.1435, ' ': -10.70905, '#': -10.958064}
{' #': -0.0008108449, ' $': -7.298937, ' ##': -9.937164, ' ': -10.346026, '#': -10.871344}
{' $': -0.2877755, ' !': -1.3956838, '$.': -7.2100353, ' ': -7.2506638, '$': -8.295777}
{' $': -0.23349306, ' !': -1.580722, '$.': -7.157044, ' ': -7.3762965, '$': -8.122726}
{' $': -0.27149078, ' @': -1.4690197, ' $$': -5.383126, '$.': -6.454418, ' ': -7.1369796}
{' $': -0.22783029, ' @': -1.6680654, ' $$': -4.59053, '$.': -5.6450377, ' ': -7.5401683}
{' $': -0.1310753, ' #': -2.1249146, '$.': -6.314651, ' ': -7.201332, ' $$': -7.587136}
{' $': -0.15708533, ' #': -1.9580439, ' $$': -6.3755484, '$.': -6.7335997, ' ': -7.2291703}
{' !': -0.04769979, ' @': -3.0739448, '!': -8.673673, ' !!': -9.568816, '@': -9.854213}
{' !': -0.06122043, ' @': -2.8298702, ' !!': -8.902796, '!': -9.07419, '@': -9.870805}
{' #': -0.63197607, ' !': -0.75918674, '#': -8.370694, '!': -9.4413805, ' ': -9.63276}
{' !': -0.46759894, ' #': -0.98589617, '#': -8.6525, '!': -9.298419, ' ': -9.692953}
{' !': -0.120884635, ' $': -2.187838, '$': -6.7708116, '!': -8.217724, ' ': -9.1455345}
{' !': -0.06944465, ' $': -2.7292192, '$': -7.3882675, ' !!': -7.907173, ' $$': -8.028593}
{' @': -0.011145207, ' !': -4.6040063, '@': -7.0504956, ' ': -9.131956, ' @@': -9.677552}
{' @': -0.006687525, ' !': -5.215714, '@': -7.111387, ' @@': -8.371134, ' ': -8.874758}
{' @': -0.03289865, ' #': -3.4603677, '@': -7.4385495, ' @@': -8.922721, ' ': -9.253118}
{' @': -0.02480885, ' #': -3.7629318, '@': -7.299175, ' @@': -8.277095, ' ': -8.80079}
{' @': -0.007541631, ' $': -5.2031784, '@': -6.923225, ' @@': -7.243875, ' $$': -8.665019}
{' @': -0.0082585765, ' $': -5.3044066, ' @@': -6.4989505, '@': -6.71808, ' $$': -8.097228}
{' #': -0.0019606035, ' !': -6.295993, '#': -9.453657, ' ': -10.682923, ' ##': -12.263219}
{' #': -0.0012060065, ' !': -6.8117146, '#': -9.75068, ' ': -10.4306965, ' ##': -11.738564}
{' #': -0.0040471386, ' @': -5.544622, ' ': -10.104241, '#': -10.119683, ' ##': -10.584942}
{' #': -0.0041071074, ' @': -5.532084, ' ': -10.099948, ' ##': -10.110638, '#': -10.239532}
{' #': -0.0021289166, ' $': -6.223442, ' ##': -10.090542, ' ': -10.287241, ' $$': -11.018959}
{' #': -0.0016619202, ' $': -6.511139, ' ##': -9.791488, ' ': -10.057486, '#': -10.640839}
{' $': -0.3109757, ' !': -1.3267076, ' ': -7.310804, '$.': -7.397841, '$': -8.733347}
{' $': -0.17260101, ' !': -1.8622639, '$.': -6.798829, ' ': -6.971888, ' $$': -7.728932}
{' @': -0.4624815, ' $': -1.0091141, ' $$': -5.6754427, '$.': -7.2354827, ' ': -7.35257}
{' $': -0.18498744, ' @': -1.8812497, ' $$': -4.536683, '$.': -5.456079, ' ': -7.35079}
{' $': -0.228957, ' #': -1.6018301, '$.': -6.6296787, ' ': -6.958128, ' $$': -7.6123443}
{' $': -0.2777, ' #': -1.4345679, ' $$': -6.549672, '$.': -6.7136545, ' ': -6.9084864}
{' @': -0.00247536, '@': -6.1522207, ' !': -8.531331, ' @@': -9.424886, ' ': -10.102779}
{' @': -0.006018157, ' !': -5.4253545, '@': -6.5584645, ' @@': -9.372655, ' ': -9.637934}
{' #': -0.00034059118, ' !': -8.43291, '#': -9.19424, ' ': -11.2230425, '\n': -12.871693}
{' #': -0.00092854706, ' !': -7.1760345, '#': -8.919835, ' ': -10.841261, '\n': -12.529474}
{' $': -0.0044637006, '$': -5.615305, ' !': -7.571011, ' $(': -9.469608, '$.': -9.547605}
{' $': -0.005545808, '$': -5.5163984, ' !': -6.851916, ' $$': -8.929431, ' ': -9.107878}
{' !': -0.00858731, ' @': -4.8753915, '!': -7.1221275, ' ': -10.014431, ' !!': -10.03587}
{' !': -0.054125212, ' @': -2.956032, '!': -7.728468, '@': -9.4537945, ' ': -9.55456}
{' #': -0.0050457628, ' @': -5.318675, '#': -9.995565, ' ': -10.246333, '\n': -10.40702}
{' #': -0.03075123, ' @': -3.5050974, '#': -9.566334, ' ': -9.621356, '\n': -10.057115}
{' $': -0.041982334, ' @': -3.237941, '$': -6.991233, ' $$': -7.5660615, ' $(': -9.042993}
{' $': -0.1803202, ' @': -1.8201232, ' $$': -6.8008304, '$': -6.85201, '@': -8.132653}
{' !': -0.28590706, ' #': -1.3930829, '!': -8.248181, '#': -9.855828, ' ': -10.569335}
{' #': -0.16625014, ' !': -1.877609, '#': -9.189382, '!': -9.727123, ' ': -10.429919}
{' @': -0.07058441, ' #': -2.7042437, '@': -6.998273, ' @@': -8.914821, ' ': -9.384122}
{' @': -0.6459454, ' #': -0.7443227, '@': -7.718889, ' ': -9.278449, ' @@': -9.488774}
{' $': -0.1329024, ' #': -2.0911658, ' $$': -8.156965, '$': -8.51202, ' $(': -8.531605}
{' #': -0.30767405, ' $': -1.3313956, ' $$': -8.260856, ' ': -9.180369, '#$': -9.19056}
{' !': -0.0068631126, ' $': -5.0916843, '!': -7.5393486, ' ': -9.3814335, ' !!': -10.48052}
{' !': -0.052323923, ' $': -2.9900334, '!': -8.397943, ' ': -8.428721, ' !!': -9.471026}
{' @': -0.0020850103, ' $': -6.9452915, '@': -7.235029, ' @@': -8.161354, ' ': -9.65394}
{' @': -0.0055318414, ' $': -5.425072, '@': -7.6129174, ' @@': -7.8716855, ' ': -9.0088625}
{' #': -0.0010808703, ' $': -6.99821, ' ': -9.421969, ' ##': -10.57561, '\n': -10.589676}
{' #': -0.002602823, ' $': -6.0225496, ' ': -9.284394, ' ##': -10.292825, '#': -10.974318}
{' @': -0.0036978156, '@': -5.7191234, ' !': -8.412602, ' @@': -9.259127, ' ': -9.943844}
{' @': -0.0058887606, ' !': -5.608248, '@': -6.243958, ' @@': -8.818557, ' ': -9.599913}
{' #': -0.00049622235, '#': -8.304953, ' !': -8.416237, ' ': -10.994563, '\n': -12.529701}
{' #': -0.00081502006, ' !': -7.427046, '#': -8.599373, ' ': -10.703333, '\n': -12.439657}
{' $': -0.004024818, '$': -5.6418953, '$.': -9.136834, ' $(': -9.28377, ' !': -9.385134}
{' $': -0.0047120783, '$': -5.5946374, ' !': -7.648722, ' $$': -8.933423, '$.': -9.090702}
{' !': -0.0041279965, ' @': -5.92255, '!': -6.6413016, ' ': -9.51645, ' !!': -10.781624}
{' !': -0.0065275053, ' @': -5.195067, '!': -7.0714626, ' ': -9.957195, ' !!': -10.555168}
{' #': -0.0071012825, ' @': -4.9737854, '#': -9.245539, ' ': -10.541629, '\n': -10.825291}
{' #': -0.014385772, ' @': -4.2630296, '#': -9.056452, '\n': -10.40042, ' ': -10.437011}
{' $': -0.0111171175, ' @': -4.685008, '$': -6.7558126, ' $$': -8.179247, ' ': -9.093147}
{' $': -0.034995355, ' @': -3.441314, '$': -6.7473307, ' $$': -7.248298, ' ': -8.960251}
{' !': -0.6790462, ' #': -0.7080207, '!': -8.859871, '#': -9.171269, ' ': -10.854989}
{' #': -0.1540128, ' !': -1.948105, '#': -9.018457, '!': -10.151021, ' ': -10.839832}
{' @': -0.24889249, ' #': -1.517947, '@': -7.009476, ' @@': -9.415386, ' ': -9.572179}
{' #': -0.40669408, ' @': -1.097986, '@': -8.053243, ' ': -9.559131, ' @@': -9.714999}
{' $': -0.47652492, ' #': -0.9724414, '$': -8.291231, ' $$': -8.432558, ' $(': -8.672033}
{' #': -0.15823829, ' $': -1.9244603, ' $$': -9.186474, ' ': -9.615116, '$': -9.987931}
{' !': -0.002364527, ' $': -6.302078, '!': -7.788377, ' ': -9.677731, ' !!': -10.824222}
{' !': -0.006963824, ' $': -5.0604343, '!': -8.022465, ' ': -8.986303, ' !!': -9.865546}
{' @': -0.0032330754, ' $': -6.4948516, '@': -6.8052764, ' @@': -8.043355, ' ': -8.839616}
{' @': -0.0053905225, ' $': -5.5194974, '@': -7.149561, ' @@': -8.118383, ' ': -8.959291}
{' #': -0.0008154978, ' $': -7.308287, ' ': -9.66452, '\n': -10.358556, '#': -10.817929}
{' #': -0.0024328204, ' $': -6.106385, ' ': -9.487598, '\n': -10.2072315, ' ##': -10.392509}
{' !': -5.6818186e-05, '!': -9.808786, ' ': -13.406404, ' !!': -16.05296, '  ': -16.668995}
{' !': -5.6340414e-05, '!': -9.81392, ' ': -13.553295, ' !!': -16.025648, '  ': -17.047165}
{' !': -7.469949e-05, '!': -9.523132, ' ': -13.604737, ' !!': -15.742595, '  ': -17.12692}
{' !': -7.064452e-05, '!': -9.577511, ' ': -13.600538, ' !!': -15.971262, '  ': -17.253696}
{' !': -6.6593304e-05, '!': -9.638669, ' ': -13.962981, ' $': -14.74735, '\n': -17.198008}
{' !': -8.7932596e-05, '!': -9.365944, ' ': -13.592399, ' $': -14.057096, ' !!': -16.94847}
{' @': -0.002152091, '@': -6.795578, ' !': -6.951058, ' ': -9.651625, '\n': -12.943779}
{' @': -0.002904121, ' !': -6.5692034, '@': -6.5707946, ' ': -9.380424, '\n': -12.415436}
{' @': -0.0006622002, '@': -7.43828, ' #': -10.214066, ' ': -10.598875, ' @@': -11.748215}
{' @': -0.0026058108, ' #': -6.2831616, '@': -7.3500733, ' ': -9.840603, ' @@': -10.467684}
{' @': -0.00074749446, '@': -7.3331614, ' $': -10.292631, ' ': -10.517739, ' @@': -10.714362}
{' @': -0.0009081446, '@': -7.2906766, ' $': -8.985698, ' @@': -9.871207, ' ': -10.305143}
{' #': -0.00028078974, ' !': -8.371519, '#': -10.027468, ' ': -12.39191, ' "#': -14.638362}
{' #': -0.00022891893, ' !': -8.629295, '#': -10.080271, ' ': -11.927818, '\n': -14.263809}
{' #': -1.37819625e-05, '#': -11.934252, ' ': -12.286612, '\n': -13.899647, ' @': -14.120619}
{' #': -1.7236207e-05, ' ': -11.757826, '#': -12.062796, '\n': -13.540006, ' @': -13.847498}
{' #': -2.0575926e-05, '#': -11.5144615, ' $': -12.449263, ' ': -12.610188, '\n': -13.581333}
{' #': -0.0002121687, ' $': -8.719172, '#': -10.6424885, ' ': -11.367064, '\n': -12.735178}
{' $': -0.07222167, ' !': -2.6764886, '$': -7.416708, '$.': -9.343693, '!': -9.584158}
{' $': -0.120909244, ' !': -2.1819654, '$': -7.165985, '!': -9.175139, '$.': -9.726136}
{' $': -0.00043700845, ' $\\': -8.508032, '$.': -9.42459, '$': -9.785338, ' $$': -10.009584}
{' $': -0.00071415165, ' @': -8.130162, ' $$': -9.0252905, ' $\\': -9.32067, '$': -9.492951}
{' $': -0.0006451412, ' #': -7.794041, '$': -9.404462, '$.': -10.024213, ' $\\': -10.04783}
{' $': -0.03459803, ' #': -3.39082, ' $$': -9.311612, '$': -9.344074, ' ': -9.557344}
{' !': -6.7069195e-05, '!': -9.629095, ' ': -13.745879, ' !!': -15.830253, ' @': -17.09211}
{' !': -6.3492e-05, '!': -9.688411, ' ': -13.647139, ' !!': -15.421844, '  ': -17.224619}
{' !': -7.708367e-05, '!': -9.503403, ' ': -13.629207, ' #': -13.822863, ' !!': -15.697527}
{' !': -0.00010772499, '!': -9.156867, ' ': -13.342031, ' !!': -15.50817, ' #': -15.673533}
{' !': -7.827482e-05, '!': -9.492967, ' $': -13.207735, ' ': -14.171905, '  ': -17.148539}
{' !': -0.00014671094, '!': -8.904699, ' $': -11.667726, ' ': -13.306134, '$': -15.624692}
{' @': -0.008904246, ' !': -4.947985, '@': -6.401093, ' ': -9.281264, '\n': -12.209266}
{' @': -0.0052242414, ' !': -5.673052, '@': -6.3991375, ' ': -9.289356, '\n': -11.841223}
{' @': -0.001386127, ' #': -7.22681, '@': -7.4042096, ' ': -10.309715, ' @@': -11.431533}
{' @': -0.009532581, ' #': -4.742332, '@': -7.375787, ' ': -9.347819, ' @@': -10.254331}
{' @': -0.0011502695, '@': -7.097971, ' $': -8.32762, ' @@': -10.181349, ' ': -10.49877}
{' @': -0.0012690857, '@': -7.280747, ' $': -7.7915425, ' @@': -9.132519, ' ': -10.344289}
{' #': -0.00024322867, ' !': -8.639287, '#': -9.749846, ' ': -11.964978, ' "#': -14.599961}
{' #': -0.00048632707, ' !': -7.759736, '#': -9.915875, ' ': -11.751661, ' "#': -14.500971}
{' #': -1.9263687e-05, '#': -11.525462, ' ': -12.189599, ' @': -12.950176, '\n': -14.131079}
{' #': -0.00013788574, ' @': -9.162064, ' ': -11.006945, '#': -11.420399, '\n': -13.188332}
{' #': -2.6538237e-05, '#': -11.3340435, ' ': -12.012097, ' $': -12.343149, '\n': -13.381926}
{' #': -0.0006334503, ' $': -7.4813194, '#': -10.355196, ' ': -11.0447035, ' $$': -11.946546}
{' $': -0.22364469, ' !': -1.6102432, '$': -8.176624, '$.': -9.199456, '!': -9.532004}
{' $': -0.38603115, ' !': -1.1422607, '$': -7.2087216, '!': -8.478845, ' ': -9.548921}
{' $': -0.00047976777, ' $\\': -8.668553, '$.': -8.855345, ' $$': -9.861862, '$': -10.082444}
{' $': -0.000663274, ' $\\': -8.55243, ' $$': -8.983803, ' @': -9.226928, '$': -9.239619}
{' $': -0.005739182, ' #': -5.217495, '$.': -9.33478, '$': -9.590289, ' $\\': -9.904671}
{' $': -0.01833555, ' #': -4.025614, '$': -9.302307, ' $$': -9.399186, ' ': -9.928186}
{' @': -0.0025473074, '@': -6.0427575, ' !': -8.985501, ' ': -10.185763, '\n': -13.310506}
{' @': -0.016211411, ' !': -4.240477, '@': -6.443518, ' ': -9.466367, '!': -12.424837}
{' #': -9.985534e-05, '#': -9.485223, ' !': -10.961213, ' ': -12.185501, '\n': -14.702646}
{' #': -0.00045120085, ' !': -7.8736086, '#': -9.744383, ' ': -11.534182, '\xa0': -14.290346}
{' $': -0.0028934204, '$': -6.0601635, ' !': -7.8136253, ' $\\': -9.053909, ' ': -10.902645}
{' $': -0.011171001, ' !': -5.016294, '$': -5.44523, ' $\\': -9.304033, ' ': -10.44863}
{' !': -0.00041023534, '!': -7.846758, ' @': -11.128362, ' ': -12.605272, ' !!': -14.70717}
{' !': -0.0004944342, '!': -7.8279996, ' @': -9.327194, ' ': -12.119451, '@': -14.501734}
{' #': -0.00015577173, ' @': -9.145419, '#': -10.253949, ' ': -11.556998, '\n': -13.279394}
{' #': -0.001004496, ' @': -6.9634976, '#': -10.681029, ' ': -10.839274, ' ##': -11.9720545}
{' $': -0.0070327297, ' @': -5.175289, '$': -7.0214, ' $$': -7.9947777, ' $\\': -9.845873}
{' $': -0.01802453, ' @': -4.111492, ' $$': -7.2857146, '$': -7.3439846, ' ': -10.234492}
{' !': -0.00030153766, '!': -8.414825, ' #': -9.462912, ' ': -13.399294, ' !!': -15.015242}
{' !': -0.0012795901, ' #': -7.082118, '!': -7.745548, ' ': -12.334477, '#': -14.411678}
{' @': -0.0018197318, ' #': -6.8932204, '@': -7.232719, ' ': -10.002869, ' @@': -10.680009}
{' @': -0.06976166, ' #': -2.70669, '@': -7.7113266, ' ': -9.1816635, ' @@': -10.171352}
{' $': -0.004976752, ' #': -5.383681, '$': -8.273209, ' $\\': -9.868303, ' $$': -10.203852}
{' $': -0.103502035, ' #': -2.3239763, '$': -8.461717, ' $$': -9.204433, ' $\\': -9.875856}
{' !': -0.0008478906, '!': -7.098433, ' $': -10.922601, ' ': -13.187864, ' !!': -15.061931}
{' !': -0.00090396847, '!': -7.100692, ' $': -9.526438, ' ': -12.322513, '$': -14.594094}
{' @': -0.0006212253, '@': -7.701443, ' $': -9.047935, ' ': -10.520736, ' @@': -10.996018}
{' @': -0.0009117236, ' $': -7.485174, '@': -8.233313, ' ': -10.153072, ' @@': -10.49453}
{' #': -6.0276172e-05, ' $': -10.540036, '#': -10.882796, ' ': -11.618739, ' \\': -13.171454}
{' #': -8.376217e-05, ' $': -9.793784, ' ': -11.297446, '#': -11.603927, ' \\': -13.208972}
{' @': -0.0045977025, '@': -5.600142, ' !': -7.112401, ' ': -9.638003, '\n': -12.915802}
{' @': -0.19201638, ' !': -1.7529771, '@': -6.6383834, ' ': -9.234734, '!': -10.194325}
{' #': -0.0003440501, ' !': -8.537798, '#': -8.87488, ' ': -11.895727, '\n': -14.710251}
{' #': -0.0032469486, ' !': -5.7712307, '#': -9.1064825, ' ': -11.292299, '!': -14.416765}
{' $': -0.004951834, '$': -5.789231, ' !': -6.369923, ' $\\': -9.0027485, ' ': -10.683098}
{' $': -0.10585053, ' !': -2.3709757, '$': -4.9953065, ' $\\': -8.981501, ' ': -9.653511}
{' !': -0.00043605478, '!': -8.2856455, ' @': -8.63058, ' ': -12.578167, '@': -13.765397}
{' !': -0.001340884, ' @': -6.913006, '!': -8.008013, ' ': -11.96131, '@': -12.219267}
{' #': -0.0009874924, ' @': -7.0557547, '#': -9.210765, ' ': -11.0163355, '\n': -12.569261}
{' #': -0.015861025, ' @': -4.16036, '#': -9.657805, ' ': -10.466409, '@': -10.752765}
{' $': -0.0634164, ' @': -2.826766, '$': -6.559368, ' $$': -7.567599, '@': -8.849825}
{' $': -0.2877905, ' @': -1.3993762, '$': -6.625799, ' $$': -6.792673, '@': -7.4702225}
{' !': -0.0005943874, ' #': -7.745332, '!': -8.744809, ' ': -13.595674, ' !!': -14.895672}
{' !': -0.0038011402, ' #': -5.648294, '!': -8.241046, ' ': -12.308445, '#': -13.577445}
{' @': -0.009245164, ' #': -4.7677536, '@': -7.3371863, ' ': -10.361733, ' @@': -11.470206}
{' @': -0.59074426, ' #': -0.8080809, '@': -8.407782, ' ': -9.416941, '#': -10.76339}
{' $': -0.260103, ' #': -1.475868, '$': -8.403479, ' $$': -9.349107, ' $\\': -10.054194}
{' #': -0.21677078, ' $': -1.6373734, ' $$': -9.045843, '$': -9.274036, '#': -9.603361}
{' !': -0.0005827584, '!': -7.5515375, ' $': -9.849564, ' ': -12.738766, ' !!': -14.917567}
{' !': -0.00059319526, '!': -7.6383243, ' $': -9.171005, ' ': -12.106634, '$': -14.395491}
{' @': -0.00290992, ' $': -6.019428, '@': -7.8376627, ' ': -10.00501, ' $$': -11.11748}
{' @': -0.021767829, ' $': -3.8604212, '@': -8.587212, ' $$': -8.663938, ' ': -9.617133}
{' #': -0.00025062053, ' $': -8.550439, '#': -10.347699, ' ': -11.176569, ' \\': -12.670572}
{' #': -0.0011856547, ' $': -6.7915483, ' ': -10.734489, '#': -10.763307, ' $$': -12.211648}
{' !': -3.7386224e-05, '!': -10.2656145, ' ': -13.020494, '  ': -16.485466, '\n': -16.521036}
{' !': -3.2973632e-05, '!': -10.378174, ' ': -13.322385, ' !!': -16.565948, '\n': -16.679482}
{' !': -4.871012e-05, '!': -9.954383, ' ': -13.880631, ' !!': -16.323896, '\n': -16.87352}
{' !': -4.2631407e-05, '!': -10.090773, ' ': -13.79755, ' !!': -16.36554, '\n': -17.041641}
{' !': -3.8103353e-05, '!': -10.224088, ' ': -13.500409, ' $': -16.317822, '\n': -16.325394}
{' !': -3.0707724e-05, '!': -10.480633, ' ': -13.256339, ' $': -14.388392, '  ': -16.741436}
{' @': -0.0008301726, '@': -7.2452626, ' ': -9.297484, ' "@': -11.710024, '\n': -12.09956}
{' @': -0.0010578377, '@': -7.021397, ' ': -8.9236765, '\n': -11.65526, ' "@': -11.8411045}
{' @': -0.0007230407, '@': -7.325493, ' ': -10.020575, ' #': -12.225103, '\n': -12.343111}
{' @': -0.00086721935, '@': -7.175891, ' ': -9.699287, ' #': -10.904265, '\n': -11.830288}
{' @': -0.0007884759, '@': -7.273529, ' ': -9.724775, ' @@': -11.39036, '\n': -11.431781}
{' @': -0.001003899, '@': -7.047402, ' ': -9.693211, ' $': -10.714947, ' @@': -10.768347}
{' #': -2.4032974e-05, '#': -11.176227, ' ': -11.830825, ' "#': -13.862137, '\n': -13.977021}
{' #': -2.1889093e-05, '#': -11.464389, ' ': -11.7732, '\n': -13.540428, ' "#': -13.66794}
{' #': -1.6282536e-05, '#': -11.607288, ' ': -12.405784, '\n': -13.482309, ' "#': -14.280013}
{' #': -1.7236207e-05, '#': -11.731342, ' ': -12.165884, '\n': -13.391811, ' @': -14.127839}
{' #': -1.5214344e-05, '#': -11.926199, ' ': -12.359423, '\n': -12.996893, ' "#': -14.1118555}
{' #': -2.1889093e-05, '#': -11.618505, ' ': -12.113859, '\n': -12.51902, ' $': -13.306278}
{' $': -0.0008637576, '$': -7.9043894, ' $\\': -8.117934, ' ': -9.318952, '$.': -9.754779}
{' $': -0.00085600157, '$': -7.9554396, ' $\\': -8.052423, ' ': -9.227656, '$.': -10.096456}
{' $': -0.0005968926, ' $\\': -8.046732, '$': -9.297489, ' ': -9.415731, '$.': -10.114052}
{' $': -0.0007631849, ' $\\': -7.775991, '$': -8.8459635, ' ': -9.373236, '$.': -10.082365}
{' $': -0.0004999197, ' $\\': -8.401941, '$': -8.783274, ' ': -9.963045, ' $$': -10.251821}
{' $': -0.00057583966, ' $\\': -8.312365, '$': -8.562286, ' ': -9.807603, ' $$': -10.094375}
{' !': -5.0022347e-05, '!': -9.968105, ' ': -12.815092, '  ': -16.11807, ' @': -16.170246}
{' !': -4.2153635e-05, '!': -10.139844, ' ': -12.997724, ' @': -15.957536, ' !!': -16.271088}
{' !': -4.382537e-05, '!': -10.06666, ' ': -13.668675, ' !!': -16.491333, ' #': -16.596739}
{' !': -5.4432137e-05, '!': -9.855029, ' ': -13.412433, ' #': -15.179504, ' !!': -16.178366}
{' !': -3.6670972e-05, '!': -10.278324, ' ': -13.368851, ' $': -14.446355, '  ': -16.4459}
{' !': -5.991855e-05, '!': -10.042051, ' $': -11.221082, ' ': -12.893831, '  ': -16.117014}
{' @': -0.00088577176, '@': -7.178944, ' ': -9.198766, '\n': -12.26273, ' @@': -12.356124}
{' @': -0.0013185028, '@': -6.7330995, ' ': -9.203592, '\n': -11.796727, ' !': -12.318542}
{' @': -0.0011354707, '@': -6.924667, ' ': -9.586117, ' #': -9.612474, '\n': -12.028989}
{' @': -0.0014910015, '@': -6.732756, ' #': -8.466771, ' ': -9.616759, '\n': -11.517349}
{' @': -0.0012145388, '@': -6.821193, ' ': -9.611246, ' $': -10.744477, ' @@': -11.28704}
{' @': -0.0013817096, '@': -6.751822, ' $': -9.307163, ' ': -9.733831, ' @@': -10.388466}
{' #': -4.1080762e-05, '#': -10.4485445, ' ': -11.637813, '\n': -14.129131, ' "#': -14.15957}
{' #': -3.6311474e-05, '#': -10.803613, ' ': -11.3713045, ' !': -13.661423, '\n': -13.940095}
{' #': -2.3317722e-05, '#': -11.195247, ' ': -11.993179, '\n': -13.650783, ' @': -14.126021}
{' #': -2.8682118e-05, '#': -11.193777, ' ': -11.759859, ' @': -12.4255905, '\n': -13.503194}
{' #': -2.4272329e-05, '#': -11.281544, ' ': -11.8602, '\n': -13.064788, ' ##': -14.162243}
{' #': -3.7266083e-05, '#': -11.206183, ' ': -11.505171, ' $': -12.010079, '\n': -12.421332}
