{' ': -10.764524, ' Generally': -7.858884, ' Yes': -0.005441524, ' yes': -9.020902, 'Yes': -5.327934}
{' No': -0.043028984, '\n': -5.778702, ' ': -5.3553877, 'No': -3.4578063, ' Ant': -6.5220203}
{' An': -7.240545, ' No': -0.08430125, ' ': -7.279217, ' Generally': -7.2486987, 'No': -2.5596201}
{' No': -0.12483158, '\n': -6.8334746, ' Generally': -5.5827847, 'No': -2.3137753, ' Ant': -4.622339}
{' No': -0.17819048, '\n': -9.930196, ' ': -8.303593, 'No': -1.8156264, ' no': -9.583614}
{' No': -0.16401766, '\n': -8.037162, ' ': -8.134498, 'No': -1.9001874, ' Ant': -7.585834}
{' No': -0.13649948, '\n': -7.77553, ' ': -7.67975, 'No': -2.0676594, ' no': -9.609948}
{' No': -0.12902589, '\n': -7.3686285, ' ': -7.6594014, 'No': -2.1264317, ' Ant': -8.463338}
{' No': -0.035208896, '\n': -9.976858, ' ': -7.7677436, 'No': -3.3829622, ' no': -10.23164}
{' No': -0.039257783, ' ': -8.222987, ' Generally': -9.377129, 'No': -3.2771938, ' Ant': -8.528642}
{' No': -0.39346611, '\n': -5.8509927, ' ': -6.8052163, 'No': -1.1382858, ' Ant': -8.171275}
{' No': -0.44841012, '\n': -4.8507214, ' ': -6.389671, 'No': -1.0860349, ' Ant': -4.583988}
{' An': -7.541765, ' No': -0.14395547, '\n': -6.088146, ' ': -7.204893, 'No': -2.0411837}
{' No': -0.18352763, '\n': -5.089974, ' ': -6.858467, 'No': -1.9233671, ' Ant': -4.3907895}
{' No': -0.006066608, '\n': -7.299844, ' ': -6.3669767, 'No': -5.7482405, ' no': -7.829314}
{' No': -0.002823005, '\n': -8.888689, ' ': -8.020625, 'No': -6.42312, ' no': -7.415441}
{' No': -0.12295774, '\n': -4.3160424, ' ': -6.02697, 'No': -2.3144479, ' no': -7.2209225}
{' No': -0.07803564, '\n': -5.355826, ' ': -6.440775, 'No': -2.6984522, ' no': -6.977985}
{' No': -0.31697315, '\n': -1.8100017, ' ': -4.666302, 'No': -2.3271642, ' no': -8.138633}
{' No': -0.14968306, '\n': -2.688242, ' ': -5.2425785, 'No': -2.751259, ' no': -7.283107}
{' No': -0.036907595, '\n': -4.886194, ' ': -6.010912, 'No': -3.6685338, ' no': -8.418599}
{' No': -0.020607622, '\n': -6.678215, ' ': -7.5587406, 'No': -4.006388, ' no': -8.170178}
{' No': -0.3457956, '\n': -2.392142, ' ': -4.6859446, 'No': -1.6642103, ' no': -6.799165}
{' No': -0.2683729, '\n': -2.840757, ' ': -4.6831636, 'No': -1.821485, ' no': -6.043673}
{' No': -0.0626928, '\n': -4.74951, ' ': -5.3059072, 'No': -3.2411232, ' no': -4.9800587}
{' No': -0.043250408, '\n': -5.440568, ' ': -6.237153, 'No': -3.5748208, ' no': -4.920539}
{' An': -8.07043, ' No': -0.01928984, '\n': -4.692498, ' ': -6.0378766, 'No': -4.9839525}
{' No': -0.02100892, '\n': -4.7692327, ' ': -6.1123376, 'No': -4.7048635, ' Ant': -7.0574656}
{' No': -0.13256148, '\n': -2.6034725, ' ': -4.582768, ' Generally': -8.1805935, 'No': -3.2435443}
{' No': -0.29543057, '\n': -1.5612099, ' ': -4.152799, 'No': -3.5416293, ' Ant': -7.35083}
{' No': -0.17997763, '\n': -2.153494, ' ': -4.2355003, 'No': -3.411898, ' A': -7.95884}
{' No': -0.08949504, '\n': -2.8442957, ' ': -4.535225, 'No': -4.205551, ' Ant': -6.6364565}
{' An': -8.665952, ' No': -0.047173735, '\n': -3.7441206, ' ': -4.6309366, 'No': -4.4098063}
{' No': -0.022710888, '\n': -4.718483, ' ': -5.687692, 'No': -4.6403713, ' Ant': -7.9460826}
{' No': -0.1208109, '\n': -2.7960923, ' ': -4.4600496, 'No': -3.2195446, ' A': -7.73685}
{' No': -0.03895878, '\n': -4.3446665, ' ': -5.0577292, 'No': -4.029254, ' Ant': -7.2040954}
{' An': -6.999372, ' No': -0.06501607, '\n': -3.958273, ' ': -4.5414166, 'No': -3.489485}
{' No': -0.0330606, '\n': -5.0371385, ' ': -5.4518375, 'No': -3.9236128, ' Ant': -6.9407864}
{' No': -7.8368096, ' Generally': -6.5932965, ' Yes': -0.0071615526, ' yes': -8.683431, 'Yes': -5.332385}
{' No': -4.8043365, ' Generally': -3.928648, ' C': -4.8559914, ' Yes': -0.04706583, 'Yes': -5.3008823}
{' No': -4.2464128, ' Generally': -5.596398, 'No': -6.758176, ' Yes': -0.036480825, 'Yes': -4.2329855}
{' No': -1.3927478, ' Generally': -3.9957407, 'No': -3.7559085, ' C': -3.2720277, ' Yes': -0.42966446}
{' No': -2.8718884, ' ': -6.4788156, 'No': -5.4629564, ' Yes': -0.087573215, 'Yes': -4.060172}
{' No': -0.28406426, ' Generally': -5.2977457, 'No': -2.8036165, ' C': -3.2685192, ' Yes': -2.06359}
{' No': -6.6253076, ' Generally': -5.8624783, ' A': -6.8745713, ' Yes': -0.009876601, 'Yes': -5.5345693}
{' No': -2.3248262, ' Generally': -3.3008814, ' C': -2.3552046, ' Yes': -0.29385665, 'Yes': -4.9807634}
{' No': -0.5796483, '\n': -4.1609583, ' Generally': -4.6077166, 'No': -2.8460073, ' Yes': -1.11667}
{' No': -1.1923214, 'No': -3.3817, ' C': -3.6099238, ' Yes': -0.56423336, 'Yes': -4.0227103}
{' No': -4.6037097, ' Generally': -5.542259, ' A': -6.556479, ' Yes': -0.033895485, 'Yes': -4.2136455}
{' No': -2.3357296, 'No': -4.668913, ' C': -3.6249979, ' Yes': -0.18537335, 'Yes': -3.9841344}
{' No': -7.158111, ' ': -7.5850635, ' Yes': -0.0044671716, ' yes': -7.72817, 'Yes': -6.052476}
{' No': -3.455322, ' Generally': -6.044805, ' C': -5.445886, ' Yes': -0.04690522, 'Yes': -5.4861827}
{' No': -0.20844375, '\n': -5.380784, 'No': -3.0143843, ' A': -4.732785, ' Yes': -2.1510668}
{' No': -0.110724, ' ': -5.4485497, 'No': -3.0838838, ' C': -4.008736, ' Yes': -3.525969}
{' No': -0.23593709, '\n': -3.2145956, 'No': -2.5302658, ' A': -4.0082126, ' Yes': -2.947498}
{' No': -0.17069218, '\n': -2.7609782, ' ': -4.378732, 'No': -2.619394, ' C': -5.046276}
{' No': -2.2847817, ' ': -6.2568383, 'No': -6.634488, ' Yes': -0.116728954, 'Yes': -5.5162687}
{' No': -0.4300967, 'No': -4.3546343, ' C': -5.144492, ' Yes': -1.1249629, 'Yes': -5.939187}
{' No': -0.30601075, '\n': -3.977401, ' ': -4.3705745, 'No': -1.5618796, ' Yes': -4.327296}
{' No': -0.27022722, '\n': -4.23686, ' ': -4.508471, 'No': -1.5954148, ' Yes': -5.7414556}
{' No': -2.498579, ' ': -5.0565605, ' A': -4.8705616, ' Yes': -0.12694372, 'Yes': -4.5395164}
{' No': -1.8732381, ' C': -3.5310407, ' Yes': -0.2626749, ' yes': -4.681768, 'Yes': -4.201261}
{' No': -3.647734, ' A': -4.772029, ' Yes': -0.10677939, ' yes': -4.154669, 'Yes': -3.2208064}
{' No': -3.0233836, ' C': -3.3651786, ' Yes': -0.18922028, ' yes': -3.5975003, 'Yes': -3.3522124}
{' No': -0.47349524, ' Generally': -6.361906, 'No': -2.9271352, ' Yes': -1.1622655, 'Yes': -4.906599}
{' No': -0.48355773, ' Generally': -4.9337487, 'No': -2.1454077, ' Yes': -1.4275217, 'Yes': -4.3390646}
{' No': -3.1279826, ' Generally': -6.85063, 'No': -4.905208, ' Yes': -0.09456785, 'Yes': -3.3437612}
{' No': -0.50860834, 'No': -2.0315669, ' C': -5.338061, ' Yes': -1.4433198, 'Yes': -4.0397396}
{' No': -4.555314, 'No': -7.7992353, ' Yes': -0.023179393, ' yes': -7.2146773, 'Yes': -4.5332327}
{' No': -4.766783, ' Generally': -6.3284035, ' C': -6.475861, ' Yes': -0.030426808, 'Yes': -4.1247244}
{' No': -0.7682182, ' Generally': -3.647872, 'No': -0.9354603, ' Yes': -2.574561, 'Yes': -4.3625}
{' No': -1.0118836, ' Generally': -3.239577, 'No': -1.2339867, ' C': -2.9571369, ' Yes': -1.7954512}
{' No': -0.24967569, ' Generally': -5.0825653, 'No': -2.3769567, ' Yes': -2.1729279, 'Yes': -5.7509303}
{' No': -3.379106, ' Generally': -4.258247, ' C': -3.4755187, ' Yes': -0.14146762, 'Yes': -3.3520958}
{'\n': -7.1198483, ' ': -6.0606275, ' Yes': -0.055643033, ' yes': -3.183956, 'Yes': -4.800014}
{' No': -6.622972, ' ': -6.533573, ' Yes': -0.040229693, ' yes': -3.6453016, 'Yes': -4.783226}
{' No': -3.0667632, ' ': -5.2704563, ' Yes': -0.10166964, ' yes': -5.188383, 'Yes': -3.6959212}
{' No': -1.3865436, '\n': -4.5477753, 'No': -3.6317675, ' Yes': -0.41085076, 'Yes': -3.9192066}
{' No': -1.1688914, '\n': -2.2741313, 'No': -2.8038595, ' Yes': -0.8262039, 'Yes': -3.3094952}
{' No': -0.2966742, '\n': -2.195556, ' ': -4.2664175, 'No': -2.1685615, ' C': -4.697365}
{' No': -6.207486, ' ': -7.1485796, ' Yes': -0.017937385, ' yes': -5.9844484, 'Yes': -4.440825}
{' No': -4.3465743, ' C': -6.2075205, ' Yes': -0.035373323, ' yes': -5.750526, 'Yes': -4.249319}
{' No': -0.3630691, '\n': -3.2734427, ' ': -4.654205, 'No': -1.4430366, ' Yes': -4.1750293}
{' No': -0.3215244, '\n': -3.188004, ' ': -4.737987, 'No': -1.5286051, ' Yes': -5.582226}
{' No': -3.4328, ' ': -4.9785976, ' Yes': -0.13374345, ' yes': -2.840582, 'Yes': -4.308714}
{' No': -3.5290356, ' C': -4.575508, ' Yes': -0.19141401, ' yes': -2.3833275, 'Yes': -3.9512138}
{' No': -5.794279, '\n': -6.770725, ' ': -6.8720016, ' Yes': -0.011263227, 'Yes': -5.372612}
{' No': -1.4707227, '\n': -5.2217183, ' Generally': -5.3514543, ' C': -4.4835668, ' Yes': -0.30570078}
{' No': -0.6025091, '\n': -3.809687, ' ': -4.413029, 'No': -3.386969, ' Yes': -1.0020567}
{' No': -0.090978436, '\n': -3.6866987, ' ': -5.2212925, 'No': -3.0430617, ' C': -5.217727}
{' No': -0.8524436, '\n': -3.3640041, ' ': -4.157884, 'No': -3.8156376, ' Yes': -0.74099714}
{' No': -0.08806259, '\n': -4.1721635, ' ': -5.1082306, 'No': -2.9707737, ' C': -4.68713}
{' No': -3.0823178, '\n': -5.568087, ' ': -4.9947267, ' Yes': -0.06422682, 'Yes': -5.5107884}
{' No': -0.14730054, '\n': -4.2162685, 'No': -3.760942, ' C': -4.3006454, ' Yes': -2.6006715}
{' No': -0.09733748, '\n': -4.741298, ' ': -5.1287456, 'No': -3.0062556, ' Yes': -3.6345665}
{' No': -0.06678921, '\n': -5.0944095, ' ': -5.166467, 'No': -3.023847, ' Yes': -5.720948}
{' No': -5.019278, ' ': -5.057252, ' Yes': -0.03757192, ' yes': -5.1487703, 'Yes': -4.5474267}
{' No': -1.4993547, 'No': -4.649507, ' C': -4.606174, ' Yes': -0.3274589, 'Yes': -4.4944925}
{' Generally': -6.5587196, ' A': -8.489752, ' Yes': -0.0056917644, ' yes': -9.103304, 'Yes': -5.615326}
{' No': -0.7109879, ' Generally': -3.34714, 'No': -4.528439, ' C': -2.6508796, ' Yes': -0.966174}
{' No': -4.9676805, ' Generally': -4.649273, ' A': -6.5457444, ' Yes': -0.041445162, 'Yes': -3.9572852}
{' No': -0.95047945, ' Generally': -3.5978851, 'No': -3.3154085, ' C': -4.089655, ' Yes': -0.67214966}
{' No': -4.221981, '\n': -5.1615314, ' ': -5.547245, ' Yes': -0.038597483, 'Yes': -4.5627522}
{' No': -0.28866866, '\n': -3.9496317, 'No': -2.930541, ' C': -3.5133524, ' Yes': -2.0980787}
{' No': -6.4938955, ' Generally': -6.392646, ' A': -7.1378336, ' Yes': -0.011328873, 'Yes': -5.0046625}
{' No': -0.26779932, ' Generally': -4.6115837, 'No': -3.0908391, ' C': -3.397495, ' Yes': -1.9618127}
{' No': -0.2506162, '\n': -3.573349, ' Generally': -4.024206, 'No': -2.7508337, ' Yes': -2.4103606}
{' No': -1.3578398, '\n': -3.027729, ' Generally': -3.288431, ' C': -3.1325917, ' Yes': -0.57950807}
{' No': -2.804176, ' Generally': -4.616453, 'No': -5.2716403, ' Yes': -0.10740473, 'Yes': -4.076767}
{' No': -0.5652362, ' Generally': -3.7925122, 'No': -2.9095259, ' C': -3.388076, ' Yes': -1.2146826}
{' No': -7.382168, '\n': -7.788922, ' ': -7.4996614, ' Yes': -0.0041915607, 'Yes': -6.0970387}
{' No': -4.996868, '\n': -6.9144263, ' ': -8.103195, ' Yes': -0.010595669, 'Yes': -6.1849704}
{' No': -0.27146998, '\n': -3.087306, ' ': -4.329539, 'No': -2.8783808, ' Yes': -2.1684368}
{' No': -2.3123877, '\n': -4.7847238, 'No': -5.468291, ' Yes': -0.1418059, 'Yes': -4.336306}
{' No': -1.2142842, '\n': -1.2175955, ' ': -2.8299363, 'No': -4.0824633, ' Yes': -1.1696255}
{' No': -1.7684002, '\n': -0.46458995, ' ': -3.2970655, 'No': -4.524627, ' Yes': -1.9628198}
{' No': -2.6521928, '\n': -6.9375963, ' ': -6.0156646, ' Yes': -0.08228102, 'Yes': -5.5299034}
{' No': -1.5190016, 'No': -6.182291, ' C': -5.893114, ' Yes': -0.26040903, 'Yes': -5.724495}
{' No': -0.28939548, '\n': -3.0012214, ' ': -4.1943636, 'No': -2.1008196, ' Yes': -2.9056444}
{' No': -1.446263, '\n': -2.0523133, 'No': -3.2576375, ' Yes': -0.63705695, 'Yes': -3.1322045}
{' No': -5.1079264, '\n': -5.0843234, ' ': -4.677163, ' Yes': -0.039176267, 'Yes': -4.5625377}
{' No': -3.6567352, '\n': -5.4960313, ' ': -5.643433, ' Yes': -0.060324486, 'Yes': -3.9820676}
{' No': -5.3818808, ' A': -5.5826316, ' Yes': -0.039466467, ' yes': -6.3132715, 'Yes': -3.684017}
{' No': -2.3266501, 'No': -3.8129954, ' C': -3.2684207, ' Yes': -0.264997, 'Yes': -3.163129}
{' No': -0.25192735, ' ': -7.5365777, 'No': -2.3821764, ' Yes': -2.0825777, 'Yes': -5.438674}
{' No': -0.494415, ' Generally': -5.088285, 'No': -2.2295299, ' Yes': -1.3423115, 'Yes': -4.5014377}
{' No': -2.9838748, ' ': -7.407562, 'No': -5.3849635, ' Yes': -0.08363717, 'Yes': -3.7670264}
{' No': -0.41485128, ' Generally': -5.656243, 'No': -2.151763, ' Yes': -1.5759097, 'Yes': -4.651281}
{' No': -2.3270664, ' ': -7.618156, 'No': -6.343738, ' Yes': -0.1136246, 'Yes': -4.9699707}
{' No': -0.6452141, ' Generally': -5.8668137, 'No': -3.4675713, ' Yes': -0.8426304, 'Yes': -4.725073}
{' No': -0.32913038, '\n': -6.22612, ' Generally': -6.1001983, 'No': -1.3193858, ' Yes': -5.529585}
{' No': -0.69538724, ' Generally': -4.0329666, 'No': -1.1259693, ' C': -3.4516969, ' Yes': -2.4748597}
{' No': -0.1295032, ' ': -7.727306, 'No': -2.1213741, ' Yes': -7.5037055, ' no': -8.814734}
{' No': -0.26637292, ' Generally': -5.542023, 'No': -1.5203325, ' C': -5.4215755, ' Yes': -5.421421}
{'\n': -7.9535575, ' ': -7.0145316, ' Yes': -0.008934136, ' yes': -5.3787193, 'Yes': -5.844616}
{' No': -8.116156, ' ': -8.373625, ' Yes': -0.0060934746, ' yes': -5.6399164, 'Yes': -6.342643}
{' No': -3.7156293, '\n': -4.3831325, ' ': -5.1333175, ' Yes': -0.079379834, 'Yes': -3.6845257}
{' No': -4.815409, '\n': -5.7190957, ' Yes': -0.040465087, ' yes': -6.2721195, 'Yes': -3.7120824}
{' No': -1.0327088, '\n': -1.00641, ' ': -3.367824, 'No': -3.0063453, ' Yes': -1.7492194}
{' No': -2.8702414, '\n': -0.9716132, ' ': -4.29654, ' Yes': -0.6754288, 'Yes': -3.562937}
{'\n': -6.745467, ' ': -6.814542, ' Yes': -0.013822188, ' yes': -6.347085, 'Yes': -4.789209}
{' No': -3.9016235, '\n': -6.198457, ' Yes': -0.034739655, ' yes': -7.1568766, 'Yes': -4.710065}
{' No': -0.3527848, '\n': -2.3680208, ' ': -4.646669, 'No': -1.7556816, ' Yes': -4.05907}
{' No': -1.9568923, '\n': -1.5453953, 'No': -3.4709191, ' Yes': -0.6077693, 'Yes': -2.9577734}
{'\n': -5.1663237, ' ': -5.7550764, ' Yes': -0.047206167, ' yes': -3.7869425, 'Yes': -4.392766}
{' No': -4.8643084, '\n': -4.0075884, ' Yes': -0.076253146, ' yes': -3.8833263, 'Yes': -3.8255303}
{'\n': -6.218873, ' ': -6.591802, ' Yes': -0.0073887426, ' yes': -7.715421, 'Yes': -5.753225}
{' No': -3.7665186, '\n': -4.483861, ' ': -5.868981, ' Yes': -0.045529343, 'Yes': -5.4878016}
{' No': -2.898237, '\n': -2.1601675, ' ': -3.500177, ' Yes': -0.2517011, 'Yes': -4.2956634}
{' No': -1.1797445, '\n': -1.6026113, ' ': -4.000204, 'No': -4.0533104, ' Yes': -0.8421114}
{' No': -3.14491, '\n': -2.3466372, ' ': -3.6315033, ' Yes': -0.21357685, 'Yes': -4.137649}
{' No': -1.4905503, '\n': -1.1581948, ' ': -3.5320122, ' C': -4.1415644, ' Yes': -0.9284547}
{' No': -4.3219924, '\n': -3.7306433, ' ': -3.970048, ' Yes': -0.064286634, 'Yes': -5.2869215}
{' No': -1.0936829, '\n': -1.7561834, ' ': -3.5726142, 'No': -4.7639995, ' Yes': -0.8130548}
{' No': -0.39354575, '\n': -3.3971388, ' ': -4.494332, 'No': -3.771874, ' Yes': -1.3940377}
{' No': -0.60469466, '\n': -2.3961565, ' ': -4.1343994, 'No': -4.279471, ' Yes': -1.1289694}
{' No': -5.667509, '\n': -4.9773993, ' ': -5.0140777, ' Yes': -0.032396078, 'Yes': -4.5876694}
{' No': -4.4049773, '\n': -4.8306327, ' ': -5.447068, ' Yes': -0.042127177, 'Yes': -4.4454455}
{' Generally': -8.348459, ' A': -8.246048, ' Yes': -0.004064615, ' yes': -9.003372, 'Yes': -5.7331333}
{' Generally': -5.5904408, ' C': -5.4668903, ' Yes': -0.014221254, ' yes': -8.099906, 'Yes': -5.2840786}
{' No': -4.831133, ' Generally': -6.7490807, ' A': -6.1854305, ' Yes': -0.027641248, 'Yes': -4.2330875}
{' No': -2.187405, ' Generally': -4.3849893, ' C': -1.8998836, ' Yes': -0.36308923, 'Yes': -4.253941}
{' No': -4.527015, ' ': -6.163987, ' A': -5.634589, ' Yes': -0.034761067, 'Yes': -4.176719}
{' No': -1.2638644, 'No': -3.9094748, ' C': -1.3647821, ' Yes': -0.9011208, 'Yes': -4.4731784}
{' No': -5.3256774, ' Generally': -6.5388026, ' A': -5.37618, ' Yes': -0.016284954, 'Yes': -5.387228}
{' No': -4.422279, ' Generally': -4.9956126, ' C': -2.03047, ' Yes': -0.17482556, 'Yes': -4.9270244}
{' No': -0.94318825, 'No': -3.3278794, ' A': -4.5726056, ' Yes': -0.6441236, 'Yes': -4.316231}
{' No': -0.4904929, ' Generally': -3.8366919, 'No': -3.024039, ' C': -2.3251352, ' Yes': -1.6693277}
{' No': -7.1211, ' Generally': -6.015208, ' A': -6.1583734, ' Yes': -0.01946699, 'Yes': -4.4115396}
{' No': -3.8585825, ' Generally': -4.842907, ' C': -1.7947892, ' Yes': -0.26444152, 'Yes': -3.785285}
{' No': -3.0413451, ' ': -6.170829, ' A': -5.8141394, ' Yes': -0.058099173, 'Yes': -5.989555}
{' No': -2.9241984, ' ': -6.4079585, ' C': -4.452528, ' Yes': -0.0759852, 'Yes': -5.612787}
{' No': -0.2609978, '\n': -4.508539, 'No': -2.9655285, ' A': -3.5267944, ' Yes': -2.0798454}
{' No': -0.6966782, ' ': -4.4831715, 'No': -3.7586079, ' C': -1.2745953, ' Yes': -1.7785836}
{' No': -0.85027033, '\n': -2.0070446, ' ': -3.2533026, ' A': -2.9750662, ' Yes': -1.2166395}
{' No': -0.32595164, '\n': -2.078166, ' ': -3.7426577, 'No': -2.8998687, ' C': -2.8619106}
{' No': -1.151225, ' ': -5.1018515, 'No': -5.6906037, ' A': -5.6329255, ' Yes': -0.40540394}
{' No': -0.13185439, ' ': -6.3164816, 'No': -4.390239, ' C': -3.4105883, ' Yes': -2.5931313}
{' No': -0.7963274, '\n': -3.2313058, 'No': -1.9578912, ' A': -3.0402067, ' Yes': -1.3959615}
{' No': -0.29305163, '\n': -4.0912175, ' ': -4.203835, 'No': -1.8062238, ' C': -3.2372575}
{' ': -5.393258, ' A': -4.23367, ' Yes': -0.03965107, ' yes': -5.4539747, 'Yes': -4.583726}
{' No': -2.311639, ' ': -4.4573126, ' C': -1.6360084, ' Yes': -0.41758657, 'Yes': -4.3933287}
{' No': -0.50712913, 'No': -2.6342673, ' A': -2.533565, ' Yes': -1.493814, 'Yes': -4.7298007}
{' No': -0.45451564, 'No': -2.465172, ' C': -1.6681443, ' Yes': -2.8087616, 'C': -4.3821754}
{' No': -0.4342619, ' ': -6.4141903, 'No': -3.171284, ' Yes': -1.2025857, 'Yes': -4.979073}
{' No': -0.4377453, 'No': -2.4003325, ' C': -4.472654, ' Yes': -1.482404, 'Yes': -4.4404306}
{' No': -2.851027, ' ': -5.670928, 'No': -4.7551823, ' Yes': -0.11823893, 'Yes': -3.2679448}
{' No': -0.40543044, 'No': -2.2543359, ' C': -3.4180226, ' Yes': -1.7483202, 'Yes': -4.4559712}
{' No': -0.20170079, 'No': -3.760121, ' A': -6.687407, ' Yes': -1.8645998, 'Yes': -6.271577}
{' No': -1.5235188, 'No': -4.692521, ' C': -3.9060507, ' Yes': -0.30722556, 'Yes': -4.422118}
{' No': -0.61040497, ' Generally': -5.1724586, 'No': -0.83600247, ' A': -5.501646, ' Yes': -4.9722443}
{' No': -0.8626399, ' Generally': -2.9482417, 'No': -1.3732179, ' C': -1.6607776, ' Yes': -3.4731994}
{' No': -1.0173723, 'No': -3.2183628, ' A': -4.597151, ' Yes': -0.5829392, 'Yes': -4.1746883}
{' No': -2.6921926, ' Generally': -4.2824783, ' C': -1.7486366, ' Yes': -0.3832154, 'Yes': -3.295479}
{' No': -1.8226907, ' ': -4.263395, ' A': -4.777086, ' Yes': -0.2443751, ' yes': -4.079687}
{' No': -2.0931294, ' ': -4.675165, ' C': -3.0885897, ' Yes': -0.24032699, ' yes': -4.0021067}
{' No': -1.3312595, 'No': -3.3833797, ' A': -3.4591243, ' Yes': -0.4826439, 'Yes': -3.7614124}
{' No': -0.73207843, '\n': -3.6672761, 'No': -3.1092584, ' C': -2.2831438, ' Yes': -1.2118491}
{' No': -1.0456024, '\n': -1.3976057, 'No': -2.6265788, ' A': -3.1976202, ' Yes': -1.5061947}
{' No': -0.5096673, '\n': -1.5070008, ' ': -3.8484483, 'No': -2.4625978, ' C': -2.8999562}
{' No': -2.4135792, ' ': -5.535623, 'No': -5.6841993, ' Yes': -0.12178752, 'Yes': -4.288429}
{' No': -0.29867172, 'No': -3.6826227, ' C': -4.1309357, ' Yes': -1.5759238, 'Yes': -5.523489}
{' No': -0.42156076, '\n': -2.8331037, ' ': -4.262353, 'No': -1.3814303, ' Yes': -4.2813134}
{' No': -0.2990082, '\n': -2.935246, ' ': -4.527867, 'No': -1.6799057, ' Yes': -5.809336}
{'\n': -4.9585595, ' A': -5.0648165, ' Yes': -0.08481841, ' yes': -3.2825167, 'Yes': -3.8922963}
{' No': -3.7443244, ' C': -2.8129556, ' Yes': -0.2437589, ' yes': -2.6201036, 'Yes': -3.721451}
{' No': -3.879328, '\n': -5.6460376, ' ': -5.840658, ' Yes': -0.034996405, 'Yes': -5.419367}
{' No': -1.3400118, '\n': -4.2610435, ' ': -5.1956406, ' C': -3.157776, ' Yes': -0.40753597}
{' No': -0.6128049, '\n': -2.873034, 'No': -3.541569, ' A': -3.720099, ' Yes': -1.1447644}
{' No': -0.18968053, '\n': -3.2336733, 'No': -3.3347268, ' C': -2.6248994, ' Yes': -4.440924}
{' No': -1.6674252, '\n': -2.8172379, ' ': -3.673298, ' A': -3.2308652, ' Yes': -0.41212082}
{' No': -0.21675576, '\n': -3.1739738, ' ': -4.3671994, 'No': -3.2383964, ' C': -2.4296558}
{' No': -0.19428779, ' ': -4.2344847, 'No': -4.5116587, ' A': -4.923755, ' Yes': -1.9980044}
{' No': -0.26628873, '\n': -4.0334663, 'No': -4.094208, ' C': -2.007965, ' Yes': -3.0253675}
{' No': -0.094703615, '\n': -4.0807533, ' ': -4.7399693, 'No': -3.216869, ' Yes': -3.9355102}
{' No': -0.05976592, '\n': -4.726346, ' ': -5.0116014, 'No': -3.232537, ' Yes': -6.5870643}
{' ': -5.0575447, ' A': -5.3517838, ' Yes': -0.032728285, ' yes': -5.3768654, 'Yes': -4.6167164}
{' No': -3.1624024, ' ': -4.8879046, ' C': -3.4168656, ' Yes': -0.121041566, 'Yes': -4.2746115}
{' No': -4.869821, ' Generally': -6.3625746, ' A': -5.567762, ' Yes': -0.018411133, 'Yes': -5.4614286}
{' No': -3.1154222, ' Generally': -5.755467, ' C': -2.353597, ' Yes': -0.16382715, 'Yes': -5.1385336}
{' No': -1.5459102, ' Generally': -4.666764, 'No': -4.167271, ' Yes': -0.30783507, 'Yes': -4.20874}
{' No': -1.8039027, 'No': -4.344222, ' C': -3.1788168, ' Yes': -0.28496668, 'Yes': -4.239867}
{' No': -2.1900082, '\n': -4.4337654, ' ': -4.782303, ' Yes': -0.17038356, 'Yes': -4.429722}
{' No': -0.4162134, '\n': -4.0746164, 'No': -3.3251162, ' C': -2.0152066, ' Yes': -1.9990572}
{' No': -4.4196224, ' Generally': -7.1371856, ' A': -5.1508045, ' Yes': -0.028955597, 'Yes': -4.7558327}
{' No': -3.064309, 'No': -5.9944463, ' C': -1.9693363, ' Yes': -0.22970675, 'Yes': -4.3664503}
{' No': -0.123780385, '\n': -4.348452, ' Generally': -4.593381, 'No': -2.715335, ' Yes': -4.1476965}
{' No': -0.7486614, '\n': -3.0849688, ' Generally': -3.525366, ' C': -1.9412273, ' Yes': -1.3712715}
{' No': -0.61673075, ' Generally': -3.8880339, 'No': -3.1953897, ' A': -4.283414, ' Yes': -1.0041038}
{' No': -1.82049, 'No': -4.1402035, ' C': -2.4685802, ' Yes': -0.35749635, 'Yes': -3.9543266}
{' No': -1.9510247, '\n': -5.9838347, ' ': -5.5039396, ' A': -4.9757776, ' Yes': -0.1726336}
{' No': -4.6267476, '\n': -5.795189, ' C': -7.035189, ' Yes': -0.017847821, 'Yes': -5.8845577}
{' No': -0.11155285, '\n': -3.4707522, ' ': -4.6104083, 'No': -2.866794, ' A': -5.273439}
{' No': -0.69950414, '\n': -3.1578264, 'No': -4.0327444, ' C': -2.9919386, ' Yes': -0.9860336}
{' No': -0.41597646, '\n': -1.4433278, ' ': -3.2732973, 'No': -3.2687368, ' Yes': -4.149497}
{' No': -1.1968708, '\n': -0.481037, ' ': -3.3971019, 'No': -3.9629989, ' Yes': -4.207334}
{' No': -0.08111613, ' ': -5.5768895, 'No': -4.897946, ' A': -7.1460133, ' Yes': -2.7362978}
{' No': -0.13295604, ' ': -6.1517944, 'No': -4.742844, ' C': -3.3852332, ' Yes': -2.554688}
{' No': -0.2618047, '\n': -3.2744064, ' ': -4.1368847, 'No': -1.8225176, ' A': -5.0004425}
{' No': -0.26105145, '\n': -2.6447947, ' ': -4.101763, 'No': -2.0576365, ' C': -4.7066326}
{' No': -4.557177, ' ': -4.4889507, ' A': -4.1058197, ' Yes': -0.060890593, 'Yes': -4.491808}
{' No': -3.2687354, '\n': -4.317718, ' C': -3.1351373, ' Yes': -0.13789532, 'Yes': -4.041759}
