{' Generally': -9.161838, ' Yes': -0.0017084321, ' yes': -10.110803, 'Yes': -6.519433, ' In': -11.086627}
{' No': -0.49778396, 'No': -2.2713933, ' Yes': -1.323439, ' yes': -5.7068152, 'Yes': -4.184519}
{' No': -0.47706157, '\n': -5.8105154, 'No': -2.6856737, ' Yes': -1.2406133, 'Yes': -4.412819}
{' No': -3.3236039, '\n': -7.425746, ' Yes': -0.044875678, ' yes': -6.663171, 'Yes': -5.3004546}
{' No': -0.25629577, '\n': -6.2958703, 'No': -2.3328147, ' Yes': -2.1230695, 'Yes': -5.3272676}
{' No': -4.762779, 'No': -7.6556454, ' Yes': -0.028250318, ' yes': -6.0312715, 'Yes': -4.1884484}
{' No': -6.02909, ' ': -6.1713095, ' Yes': -0.19112541, ' yes': -1.8019116, 'Yes': -6.3769584}
{' No': -3.1684077, 'No': -6.1612544, ' Yes': -0.07704192, ' yes': -4.3808575, 'Yes': -4.287344}
{' No': -5.3507395, '\n': -4.5234413, ' Yes': -0.09279439, ' yes': -3.435608, 'Yes': -3.3540933}
{' No': -7.1015863, '\n': -6.3681593, ' Yes': -0.014560602, ' yes': -5.5256076, 'Yes': -4.923317}
{' No': -2.8124442, '\n': -3.4903426, ' Yes': -0.25910154, ' yes': -3.8983629, 'Yes': -2.457727}
{'\n': -5.987097, ' Yes': -0.031830877, ' yes': -3.8723993, 'Yes': -5.0570803, 'yes': -7.658542}
{' No': -5.4388347, ' ': -9.056765, ' Yes': -0.0072210464, ' yes': -6.5074096, 'Yes': -6.8718543}
{' No': -6.734777, '\n': -5.9925942, ' Yes': -0.013943184, ' yes': -6.861496, 'Yes': -4.76998}
{' No': -6.2680516, '\n': -5.0739555, ' ': -6.5163555, ' Yes': -0.025181027, 'Yes': -4.3158226}
{' No': -5.6789503, '\n': -7.4463453, ' ': -7.6551423, ' Yes': -0.0064649926, 'Yes': -6.487018}
{' No': -4.913135, '\n': -4.761165, ' Yes': -0.055063028, ' yes': -5.709626, 'Yes': -3.4637942}
{' No': -7.9890532, ' Yes': -0.01731909, ' yes': -4.974091, 'Yes': -4.7314873, 'yes': -8.064793}
{' No': -8.134337, '\n': -9.918069, ' Yes': -0.002577424, ' yes': -9.459184, 'Yes': -6.188206}
{' No': -4.4805636, 'No': -8.602156, ' Yes': -0.018310051, ' yes': -7.992931, 'Yes': -5.1850677}
{' No': -4.1986523, '\n': -7.325149, 'No': -7.5363646, ' Yes': -0.033204958, 'Yes': -4.1766853}
{' No': -6.0710897, ' Yes': -0.004565307, ' yes': -9.641875, 'Yes': -6.2037225, ' In': -10.390037}
{' No': -0.7078081, '\n': -6.12672, 'No': -3.2186646, ' Yes': -0.80069786, 'Yes': -4.365643}
{' No': -6.384243, '\n': -8.957096, ' Yes': -0.008934796, ' yes': -8.335148, 'Yes': -5.030612}
{' No': -6.5411916, '\n': -7.9193044, ' Yes': -0.0039302027, ' yes': -6.8775373, 'Yes': -7.0627394}
{' No': -6.13292, '\n': -8.776055, ' Yes': -0.007536766, ' yes': -7.3051915, 'Yes': -5.4568872}
{'\n': -5.543292, ' ': -6.877231, ' Yes': -0.02035849, ' yes': -6.6413198, 'Yes': -4.3318357}
{' No': -8.010285, ' ': -9.957475, ' Yes': -0.00139705, ' yes': -9.245251, 'Yes': -7.0140214}
{' No': -3.2191775, '\n': -4.9248157, ' ': -5.373674, ' Yes': -0.117115535, 'Yes': -3.0130792}
{' No': -8.223829, ' ': -9.724355, ' Yes': -0.0050792503, ' yes': -6.158965, 'Yes': -5.9808455}
{' No': -3.7175412, 'No': -7.477111, ' Yes': -0.03416923, ' yes': -7.1847157, 'Yes': -4.893964}
{' No': -2.9224825, 'No': -4.7963285, ' Yes': -0.1243698, ' yes': -5.2541246, 'Yes': -3.0392027}
{' No': -1.3757827, 'No': -3.971278, ' Yes': -0.35748562, ' yes': -6.080231, 'Yes': -3.7909665}
{' No': -1.3244041, ' ': -7.1146913, 'No': -5.0253754, ' Yes': -0.3331189, 'Yes': -4.793761}
{' No': -0.23564577, '\n': -5.889096, 'No': -1.941624, ' Yes': -2.8579752, 'Yes': -5.6230245}
{'\n': -7.552429, ' ': -7.725723, ' Yes': -0.03666964, ' yes': -6.531085, 'Yes': -3.4153256}
{' No': -6.9461246, ' ': -6.728596, ' Yes': -0.23198986, ' yes': -1.6012658, 'Yes': -6.358086}
{' No': -7.650133, '\n': -7.9912043, ' Yes': -0.026475374, ' yes': -4.665511, 'Yes': -4.1836867}
{' No': -5.5865545, '\n': -4.9454885, ' Yes': -0.080760024, ' yes': -3.5200279, 'Yes': -3.378678}
{' No': -8.24984, '\n': -6.776191, ' Yes': -0.01175083, ' yes': -5.758239, 'Yes': -4.997745}
{' No': -2.241935, '\n': -3.8878336, ' Yes': -0.28010285, ' yes': -3.7353618, 'Yes': -2.7253678}
{'\n': -7.3257723, ' ': -8.499981, ' Yes': -0.027165378, ' yes': -3.8645086, 'Yes': -5.4066834}
{' No': -4.5177164, ' ': -9.237101, ' Yes': -0.0140846865, ' yes': -6.580885, 'Yes': -6.559521}
{' No': -5.425874, '\n': -5.6594877, ' Yes': -0.019666295, ' yes': -7.07722, 'Yes': -4.602611}
{' No': -6.5377035, '\n': -5.139287, ' ': -6.726836, ' Yes': -0.024207247, 'Yes': -4.2634974}
{' No': -7.4825063, '\n': -7.576445, ' ': -7.923846, ' Yes': -0.0037088231, 'Yes': -6.280796}
{' No': -3.8471484, '\n': -5.0120234, ' Yes': -0.055247948, ' yes': -5.696599, 'Yes': -3.9115252}
{' No': -8.612813, ' ': -8.674709, ' Yes': -0.013526224, ' yes': -5.17271, 'Yes': -4.960189}
{' No': -3.5774226, ' Yes': -0.03385134, 'Yes': -6.026317, ' In': -7.865861, ' It': -6.6403704}
{' No': -0.5201397, 'No': -3.8744545, ' Yes': -1.0023404, 'Yes': -5.4748735, ' It': -4.838091}
{' No': -0.21379754, '\n': -6.47876, 'No': -2.9046354, ' Yes': -2.0441504, 'Yes': -5.5517573}
{' No': -0.22349277, 'No': -4.354551, ' Yes': -1.7654887, ' In': -5.972287, ' It': -5.1387815}
{' No': -0.15499169, '\n': -5.850871, 'No': -2.5040727, ' Yes': -2.965029, ' It': -6.2728243}
{' No': -0.74623924, '\n': -6.4729657, 'No': -3.874285, ' Yes': -0.7119069, 'Yes': -5.125736}
{' No': -2.6236658, '\n': -6.723437, ' Yes': -0.07939248, ' yes': -7.0461054, 'Yes': -6.8840876}
{' No': -1.1837463, ' ': -7.466378, 'No': -5.336405, ' Yes': -0.3829135, 'Yes': -5.4236946}
{' No': -4.8473625, '\n': -5.080195, ' Yes': -0.03459791, ' yes': -6.609982, 'Yes': -4.09623}
{' No': -0.20859632, ' ': -8.722806, 'No': -6.0046506, ' Yes': -1.6880425, 'Yes': -8.04247}
{' No': -0.21096684, '\n': -4.105618, ' ': -4.724885, 'No': -2.1692226, ' Yes': -3.1276152}
{' No': -2.6003695, 'No': -7.1754904, ' Yes': -0.086220756, ' yes': -6.1900506, 'Yes': -5.8119645}
{' No': -0.26352656, 'No': -3.5629191, ' Yes': -1.623264, ' yes': -6.8474817, 'Yes': -5.926238}
{' No': -0.24352756, 'No': -1.7029105, ' Yes': -3.6058836, 'Yes': -5.8113055, ' no': -6.724585}
{' No': -0.6268918, '\n': -5.550304, 'No': -2.7166345, ' Yes': -1.0072248, 'Yes': -3.71504}
{' No': -1.9326739, 'No': -6.274577, ' Yes': -0.17050695, ' yes': -6.6512747, 'Yes': -4.9768157}
{' No': -0.16708645, ' ': -7.6786113, 'No': -1.9736489, ' Yes': -4.3507085, 'Yes': -7.1392083}
{' No': -0.4225027, 'No': -1.2513449, ' Yes': -3.1265543, 'Yes': -5.1853256, ' In': -5.136526}
{' No': -1.5806881, ' Yes': -0.40295753, ' yes': -2.2331653, 'Yes': -6.330667, ' no': -4.43098}
{' No': -1.73818, 'No': -5.08946, ' Yes': -0.2288189, ' yes': -4.8850193, 'Yes': -4.4837685}
{' No': -2.6373787, '\n': -3.6835537, ' Yes': -0.20019913, ' yes': -3.6412027, 'Yes': -3.093023}
{' No': -0.3288318, '\n': -5.292001, 'No': -4.097472, ' Yes': -1.3761129, 'Yes': -5.9179597}
{' No': -0.60865206, '\n': -3.2230117, 'No': -1.9035435, ' Yes': -1.5364531, 'Yes': -3.550147}
{' No': -2.508555, '\n': -5.3231816, ' Yes': -0.11743577, ' yes': -4.2561326, 'Yes': -5.3177133}
{' No': -1.5804876, 'No': -7.522358, ' Yes': -0.2359786, ' yes': -6.470577, 'Yes': -6.5793996}
{' No': -2.399334, '\n': -5.3312893, 'No': -6.061399, ' Yes': -0.11841002, 'Yes': -4.5084586}
{' No': -2.4402, '\n': -4.8791227, 'No': -6.0317235, ' Yes': -0.124215245, 'Yes': -4.18583}
{' No': -1.2501528, '\n': -5.367674, ' ': -6.199103, ' Yes': -0.35297975, 'Yes': -6.2785645}
{' No': -0.5544517, '\n': -4.424872, 'No': -3.4794986, ' Yes': -1.0158203, 'Yes': -4.243296}
{' No': -4.8851104, '\n': -8.399129, ' Yes': -0.023183785, ' yes': -5.1941867, 'Yes': -4.742075}
{' No': -1.7545493, '\n': -8.450021, 'No': -6.108749, ' Yes': -0.1984503, 'Yes': -5.618469}
{' No': -0.6936976, 'No': -4.2634206, ' Yes': -0.7386424, 'Yes': -5.176268, ' It': -6.644991}
{' No': -0.09605744, '\n': -6.9585333, 'No': -3.0259678, ' Yes': -3.2338803, 'Yes': -6.7841883}
{' No': -0.20474073, 'No': -4.705229, ' Yes': -1.7473356, ' The': -8.496725, 'Yes': -7.1616344}
{' No': -0.10532006, '\n': -5.9571776, ' ': -7.188992, 'No': -2.4048214, ' Yes': -5.2491016}
{' No': -1.280513, '\n': -7.3305535, 'No': -4.4292026, ' Yes': -0.35808682, 'Yes': -4.7535353}
{' No': -1.6124388, '\n': -7.204015, ' Yes': -0.22551592, ' yes': -7.534302, 'Yes': -7.3709126}
{' No': -0.09153216, ' ': -7.3287587, 'No': -4.2733674, ' Yes': -2.6422696, 'Yes': -7.325102}
{' No': -0.18098027, '\n': -4.390451, ' ': -5.776593, 'No': -3.8270793, ' Yes': -2.0800872}
{' No': -0.003524036, ' ': -9.272323, 'No': -5.9466166, ' Yes': -7.1876764, ' no': -11.11783}
{' No': -0.09762297, '\n': -4.7332706, ' ': -5.237853, 'No': -2.5899363, ' Yes': -6.5658517}
{' No': -1.8103449, 'No': -6.3910966, ' Yes': -0.18775217, ' yes': -6.346103, 'Yes': -5.6948395}
{' No': -0.36895725, 'No': -3.4925382, ' Yes': -1.30463, ' yes': -7.0733347, 'Yes': -5.4074817}
{' No': -0.19836634, ' ': -7.3396373, 'No': -1.7590925, ' Yes': -5.250511, 'Yes': -7.4193554}
{' No': -0.14513084, '\n': -6.8620048, 'No': -2.2085464, ' Yes': -3.8843102, 'Yes': -6.474912}
{' No': -0.34592262, '\n': -6.2366905, 'No': -3.8032377, ' Yes': -1.3425294, 'Yes': -5.2326717}
{' No': -0.15848675, '\n': -8.375848, ' ': -7.555913, 'No': -1.9408944, ' Yes': -6.340394}
{' No': -2.180643, 'No': -3.188858, ' Yes': -0.31799513, ' yes': -5.2470665, 'Yes': -2.2674313}
{' No': -0.18491344, ' ': -5.819203, ' Yes': -2.6792333, ' yes': -4.124351, ' no': -2.5670469}
{' No': -0.38076988, 'No': -3.8588676, ' Yes': -1.2750952, ' yes': -5.1434517, 'Yes': -5.20027}
{' No': -0.47523642, '\n': -3.5501533, 'No': -2.8631966, ' Yes': -1.3602747, 'Yes': -4.304172}
{' No': -1.6014609, 'No': -5.511659, ' Yes': -0.254766, ' yes': -5.0096483, 'Yes': -4.863527}
{' No': -0.21910442, '\n': -3.8826518, ' ': -5.130381, 'No': -1.8912407, ' no': -4.425936}
{' No': -4.0138307, '\n': -5.973809, ' Yes': -0.044659317, ' yes': -4.134264, 'Yes': -5.181519}
{' No': -0.28148076, '\n': -7.3822803, 'No': -6.503498, ' Yes': -1.4215983, ' yes': -7.3582177}
{' No': -0.047043655, '\n': -4.998391, ' ': -6.8676724, 'No': -3.9999661, ' Yes': -3.955117}
{' No': -0.05378739, '\n': -4.4417553, ' ': -6.228364, 'No': -3.8027763, ' Yes': -4.1833572}
{' No': -0.44953847, '\n': -5.525172, ' ': -6.0293927, 'No': -5.9024916, ' Yes': -1.0454113}
{' No': -0.04093485, '\n': -5.159068, ' ': -6.1840687, 'No': -3.4969895, ' Yes': -6.876834}
{' No': -2.9365492, 'No': -7.2912583, ' Yes': -0.07132281, ' yes': -5.1562624, 'Yes': -4.82047}
{' Generally': -9.860473, ' Yes': -0.0023636906, ' yes': -9.950323, 'Yes': -6.1482677, ' In': -10.049983}
{' No': -7.3110385, ' Generally': -9.0156765, ' Yes': -0.0071486463, ' yes': -7.830097, 'Yes': -5.1963367}
{' No': -6.626289, '\n': -7.26252, ' Yes': -0.019979525, ' yes': -6.9347553, 'Yes': -4.1376476}
{' No': -9.180832, ' Yes': -0.0012151367, ' yes': -9.6417465, 'Yes': -7.0142746, ' In': -9.811841}
{' No': -4.6280274, '\n': -6.5083046, ' Generally': -5.425619, ' Yes': -0.03818937, 'Yes': -4.0174103}
{' No': -6.9929523, ' Generally': -7.069181, ' Yes': -0.011347261, ' yes': -7.921407, 'Yes': -4.8347096}
{' No': -8.780525, '\n': -8.924422, ' Yes': -0.0024459013, ' yes': -6.911731, 'Yes': -6.923552}
{' No': -8.627697, ' ': -8.303515, ' Yes': -0.008347828, ' yes': -6.7844687, 'Yes': -5.032197}
{'\n': -5.3863425, ' ': -6.214652, ' Yes': -0.026559472, ' yes': -6.371525, 'Yes': -4.0498004}
{' No': -9.404747, ' ': -10.11135, ' Yes': -0.0012940904, ' yes': -8.734028, 'Yes': -6.919228}
{'\n': -4.858528, ' ': -5.13754, ' Yes': -0.09585969, ' yes': -5.4828186, 'Yes': -2.6544857}
{' ': -8.89059, ' Yes': -0.007930313, ' yes': -5.976023, 'Yes': -5.3081064, 'yes': -9.2732525}
{' No': -6.0908937, ' Generally': -7.892455, ' Yes': -0.011731773, ' yes': -6.3466864, 'Yes': -5.0271697}
{' No': -6.1606216, ' Yes': -0.080068916, ' yes': -4.136736, 'Yes': -2.8907607, 'yes': -6.4524517}
{' No': -5.4272966, '\n': -6.334089, ' Yes': -0.05860049, ' yes': -4.9518933, 'Yes': -3.203584}
{' No': -8.01351, '\n': -6.7272987, ' Yes': -0.008436605, ' yes': -6.3192787, 'Yes': -5.3571153}
{' No': -3.5664964, '\n': -6.101221, 'No': -5.369288, ' Yes': -0.07446171, 'Yes': -3.410277}
{'\n': -6.835771, ' Yes': -0.032274738, ' yes': -4.665282, 'Yes': -3.9163785, 'yes': -7.2994986}
{' ': -7.0012794, ' Yes': -0.16282997, ' yes': -1.934383, 'Yes': -5.8057857, 'yes': -6.9767528}
{'\n': -7.512996, ' Yes': -0.04434555, ' yes': -3.8898673, 'Yes': -3.8768399, 'yes': -7.0644236}
{'\n': -4.471454, ' ': -6.0374913, ' Yes': -0.08883448, ' yes': -3.5197978, 'Yes': -3.2570758}
{'\n': -6.7009, ' Yes': -0.015834017, ' yes': -5.007859, 'Yes': -4.936478, 'yes': -8.057097}
{'\n': -4.036628, ' ': -5.2560024, ' Yes': -0.14962317, ' yes': -4.215247, 'Yes': -2.3569386}
{'\n': -6.3536077, ' Yes': -0.0432285, ' yes': -3.449408, 'Yes': -4.9065976, 'yes': -7.0403104}
{' No': -8.371225, ' ': -9.186659, ' Yes': -0.00419982, ' yes': -6.0933356, 'Yes': -6.552961}
{'\n': -6.0692425, ' ': -7.8423243, ' Yes': -0.017619213, ' yes': -6.6427317, 'Yes': -4.3298845}
{'\n': -4.6428947, ' ': -6.3839984, ' Yes': -0.03664596, ' yes': -6.263605, 'Yes': -3.8064442}
{'\n': -7.988366, ' ': -8.103749, ' Yes': -0.0031033212, ' yes': -7.750799, 'Yes': -6.2347717}
{'\n': -4.7896276, ' ': -6.441779, ' Yes': -0.051278036, ' yes': -5.6025686, 'Yes': -3.3437126}
{'\n': -8.389611, ' Yes': -0.020993276, ' yes': -4.721614, 'Yes': -4.518405, 'yes': -7.729952}
{' No': -1.9241847, 'No': -6.930992, ' Yes': -0.16302119, 'Yes': -6.1003704, ' In': -8.332744}
{' No': -1.642474, 'No': -5.576728, ' Yes': -0.22964369, 'Yes': -5.1819806, ' It': -7.8469667}
{' No': -1.9296111, '\n': -6.959601, 'No': -5.261503, ' Yes': -0.18186003, 'Yes': -4.3505435}
{' No': -2.4740753, 'No': -7.5571365, ' Yes': -0.09147639, ' The': -8.304844, 'Yes': -6.302803}
{' No': -0.19101162, '\n': -6.0512257, 'No': -2.7739165, ' Yes': -2.273514, 'Yes': -5.720508}
{' No': -2.9980998, '\n': -7.8155527, 'No': -6.4327936, ' Yes': -0.062387086, 'Yes': -4.9138637}
{' No': -0.81480485, '\n': -7.246587, 'No': -7.201809, ' Yes': -0.593539, ' yes': -6.494631}
{' No': -1.7983056, 'No': -6.2334747, ' Yes': -0.19238307, ' yes': -6.7447295, 'Yes': -5.377796}
{' No': -3.3119488, '\n': -5.047928, ' ': -6.128656, ' Yes': -0.06170278, 'Yes': -4.434786}
{' No': -1.9508431, 'No': -7.8464274, ' Yes': -0.15573637, ' yes': -8.226312, 'Yes': -6.8176756}
{' No': -0.19023557, '\n': -4.588255, ' ': -4.8895397, 'No': -2.5373728, ' Yes': -2.6773458}
{' No': -5.0184507, ' ': -8.893209, ' Yes': -0.015927581, ' yes': -5.311221, 'Yes': -5.5774446}
{' No': -2.5724347, 'No': -6.3955164, ' Yes': -0.090056695, ' yes': -6.9470835, 'Yes': -5.0217543}
{' No': -1.1337525, 'No': -2.7680738, ' Yes': -0.5716779, ' yes': -5.2152057, 'Yes': -3.1779077}
{' No': -1.0245816, 'No': -3.47813, ' Yes': -0.54559684, ' yes': -5.637424, 'Yes': -3.853809}
{' No': -1.0826033, '\n': -6.2469, 'No': -4.7519264, ' Yes': -0.44639972, 'Yes': -4.800293}
{' No': -0.29290733, '\n': -5.2365203, 'No': -1.781282, ' Yes': -2.63734, 'Yes': -5.2559648}
{' No': -5.4641213, '\n': -5.8523374, ' Yes': -0.03841177, ' yes': -5.884084, 'Yes': -3.6737344}
{' No': -1.6480266, ' ': -5.9414644, ' Yes': -0.5235338, ' yes': -1.6945219, ' no': -3.7893589}
{' No': -4.21424, '\n': -6.9799457, ' Yes': -0.05724845, ' yes': -3.7723782, 'Yes': -4.206613}
{' No': -2.445005, '\n': -4.1781707, ' Yes': -0.18833116, ' yes': -3.588735, 'Yes': -3.4892762}
{' No': -4.857411, '\n': -5.6919823, ' Yes': -0.028547728, ' yes': -5.0548286, 'Yes': -4.6558285}
{' No': -0.4351273, '\n': -3.6449184, 'No': -2.276289, ' Yes': -1.7046452, 'Yes': -4.101879}
{' No': -5.5324087, '\n': -6.558882, ' Yes': -0.04781864, ' yes': -3.3248208, 'Yes': -5.4523478}
{' No': -0.16186817, 'No': -5.944987, ' Yes': -1.9308786, ' yes': -7.729639, ' no': -7.615379}
{' No': -1.0656793, '\n': -4.4945216, 'No': -4.975776, ' Yes': -0.4663503, 'Yes': -4.904817}
{' No': -2.540002, '\n': -4.7506437, 'No': -6.2410965, ' Yes': -0.112843744, 'Yes': -4.3175745}
{' No': -3.3482144, '\n': -7.8644457, ' Yes': -0.039275512, ' yes': -7.21164, 'Yes': -6.415883}
{' No': -0.11397524, '\n': -4.9126153, ' ': -6.017176, 'No': -3.4066002, ' Yes': -2.7967505}
{' No': -4.0074368, ' ': -8.004842, ' Yes': -0.03749302, ' yes': -4.666365, 'Yes': -4.855118}
{' No': -1.4387329, 'No': -6.525282, ' Yes': -0.2793414, 'Yes': -6.41156, ' It': -6.5678825}
{' No': -0.15885572, 'No': -3.6269116, ' Yes': -2.173197, 'Yes': -6.6147714, ' It': -6.1196876}
{' No': -0.077732354, '\n': -6.7220235, 'No': -3.011837, ' Yes': -3.806738, 'Yes': -7.4586487}
{' No': -0.05950178, 'No': -4.3253956, ' Yes': -3.2826767, ' The': -6.297986, ' It': -6.4547343}
{' No': -0.07395348, '\n': -6.4866357, 'No': -2.7988315, ' Yes': -5.392656, ' It': -6.565171}
{' No': -0.065580375, '\n': -7.0963874, 'No': -3.1537282, ' Yes': -4.0567303, ' The': -7.6723347}
{' No': -0.015017622, '\n': -6.5017385, ' ': -7.9515505, 'No': -6.584128, ' Yes': -4.508434}
{' No': -0.026220676, '\n': -8.19094, ' ': -8.121901, 'No': -4.404078, ' Yes': -4.3990345}
{' No': -0.0305266, '\n': -5.7133784, ' ': -6.8010178, 'No': -3.902942, ' Yes': -5.404811}
{' No': -0.0069889715, ' ': -9.506279, 'No': -5.9677086, ' Yes': -5.5153847, ' The': -9.049551}
{' No': -0.11395052, '\n': -5.109678, ' ': -5.483627, 'No': -2.3874853, ' Yes': -5.84232}
{' No': -0.08388961, 'No': -4.6762967, ' Yes': -2.6878421, ' The': -7.365207, ' It': -7.7037168}
{' No': -0.04186119, '\n': -8.296251, 'No': -3.252852, ' Yes': -6.99438, ' no': -7.43108}
{' No': -0.24970745, 'No': -1.5549405, ' Yes': -5.323388, 'no': -7.3282137, ' no': -6.1021185}
{' No': -0.18083371, '\n': -5.6741366, 'No': -2.1933858, ' Yes': -3.1155584, 'Yes': -5.6931796}
{' No': -0.8502295, '\n': -6.512733, 'No': -4.962513, ' Yes': -0.58438134, 'Yes': -5.267309}
{' No': -0.1715552, '\n': -6.84461, 'No': -1.9424981, ' Yes': -4.5179677, 'Yes': -7.3314433}
{' No': -1.08648, 'No': -2.9179864, ' I': -3.300144, ' Yes': -1.958949, ' In': -1.01529}
{' No': -0.064405315, '\n': -6.320869, 'No': -5.81879, ' Yes': -4.781139, ' no': -3.0844588}
{' No': -0.057870273, '\n': -7.090705, 'No': -3.5291703, ' Yes': -3.7969694, ' no': -6.423806}
{' No': -0.113547005, '\n': -4.0692935, 'No': -2.8976235, ' Yes': -3.7162004, ' no': -5.2080245}
{' No': -0.08214435, '\n': -5.2677155, 'No': -4.165606, ' Yes': -2.8929603, ' no': -7.347437}
{' No': -0.1950022, '\n': -4.21901, 'No': -1.9222647, ' Yes': -5.3416486, ' no': -5.1818414}
{' No': -0.1409969, '\n': -5.675262, 'No': -4.342373, ' Yes': -2.245985, ' no': -5.715485}
{' No': -0.67840874, '\n': -6.565653, 'No': -6.610065, ' Yes': -0.7215091, ' yes': -6.4736404}
{' No': -0.054389637, '\n': -5.4344535, ' ': -7.224802, 'No': -4.0441146, ' Yes': -3.533971}
{' No': -0.07348188, '\n': -4.953513, ' ': -6.6251316, 'No': -3.6339371, ' Yes': -3.3837368}
{' No': -0.09439399, '\n': -4.8640547, ' ': -6.118006, 'No': -5.3842516, ' Yes': -2.5951416}
{' No': -0.143909, '\n': -4.8825336, 'No': -3.189361, ' Yes': -2.5447497, 'Yes': -5.9588947}
{' No': -0.26768583, 'No': -4.3921328, ' Yes': -1.530423, ' yes': -6.3186088, 'Yes': -6.2194533}
{' No': -3.6632867, 'No': -8.353851, ' Yes': -0.029795414, ' The': -8.796343, 'Yes': -5.908289}
{' No': -0.6000364, 'No': -4.560121, ' Yes': -0.8328568, 'Yes': -5.5782247, ' It': -7.060941}
{' No': -0.22828831, ' ': -7.6330404, 'No': -3.5697017, ' Yes': -1.7661186, 'Yes': -5.72323}
{' No': -0.030215092, 'No': -5.06861, ' Yes': -3.7783039, ' The': -8.94528, ' It': -9.366207}
{' No': -0.113282286, '\n': -5.6450872, ' ': -7.2641106, 'No': -2.436696, ' Yes': -4.275943}
{' No': -1.595315, 'No': -5.119542, ' Yes': -0.24649349, ' The': -6.820796, 'Yes': -5.0437803}
{' No': -0.1684404, '\n': -6.711579, ' ': -7.7978578, 'No': -6.9736123, ' Yes': -1.8849186}
{' No': -0.028602807, '\n': -7.892828, ' ': -7.820409, 'No': -4.5471783, ' Yes': -4.11787}
{' No': -0.06633919, '\n': -4.6414638, ' ': -6.0422373, 'No': -3.9627452, ' Yes': -3.4507384}
{' No': -0.004636986, ' ': -9.55488, 'No': -6.213159, ' Yes': -6.0006523, ' no': -10.549451}
{' No': -0.080537766, '\n': -4.9772873, ' ': -5.4900517, 'No': -2.8170774, ' Yes': -5.5374756}
{' No': -0.44912493, 'No': -5.294376, ' Yes': -1.0405042, ' yes': -6.809497, 'Yes': -6.595423}
{' No': -1.2269661, 'No': -4.518138, ' Yes': -0.3785889, ' yes': -6.5207744, 'Yes': -4.729633}
{' No': -0.28132027, 'No': -2.1479318, ' Yes': -2.1774821, ' yes': -6.308517, 'Yes': -4.768068}
{' No': -0.25950113, '\n': -6.3842325, 'No': -2.6035066, ' Yes': -1.9610106, 'Yes': -4.808254}
{' No': -0.84313625, '\n': -7.163194, 'No': -4.7654266, ' Yes': -0.59466964, 'Yes': -4.9415913}
{' No': -0.13900141, ' ': -7.859699, 'No': -2.1267924, ' Yes': -4.7361574, 'Yes': -7.5014863}
{' No': -4.595998, ' Yes': -0.03714678, ' yes': -4.7779436, 'Yes': -4.1874533, 'yes': -6.8544908}
{' No': -0.20581612, 'No': -6.0016165, ' Yes': -2.4028604, ' yes': -4.117458, ' no': -2.6235483}
{' No': -0.057524495, '\n': -7.106299, 'No': -3.866307, ' Yes': -3.5400033, ' no': -5.8104596}
{' No': -0.21344197, '\n': -3.8546886, 'No': -3.0248432, ' Yes': -2.2706587, ' no': -5.117426}
{' No': -1.41458, 'No': -5.574156, ' Yes': -0.30010843, ' yes': -5.616144, 'Yes': -5.245188}
{' No': -0.1397231, '\n': -4.3929696, ' ': -5.581951, 'No': -2.3307612, ' no': -4.341856}
{' No': -1.9932761, '\n': -6.3371596, ' Yes': -0.17319818, ' yes': -4.3331847, 'Yes': -5.5263457}
{' No': -0.94486094, 'No': -7.1952295, ' Yes': -0.5001818, ' yes': -6.2867417, 'Yes': -6.918617}
{' No': -0.09085675, '\n': -5.1448255, ' ': -7.0541644, 'No': -4.268841, ' Yes': -2.7384474}
{' No': -0.13803339, '\n': -4.0676446, ' ': -6.072815, 'No': -3.9929698, ' Yes': -2.424954}
{' No': -0.14686733, '\n': -6.9026465, ' ': -7.3298297, 'No': -6.0961237, ' Yes': -2.0234466}
{' No': -0.029339757, '\n': -5.235261, ' ': -6.4698205, 'No': -3.9240122, ' Yes': -6.693844}
{' No': -1.8270881, 'No': -6.3881254, ' Yes': -0.19513406, ' yes': -4.891574, 'Yes': -5.198832}
{' YES': -12.530132, ' ': -12.297672, ' Yes': -0.0010877347, ' yes': -10.480585, 'Yes': -6.866457}
{' No': -7.893764, ' ': -9.557297, ' Yes': -0.0077585755, ' yes': -8.152659, 'Yes': -4.976926}
{'\n': -8.982277, ' ': -8.50772, ' Yes': -0.015331152, ' yes': -7.483089, 'Yes': -4.257183}
{' No': -10.527756, ' Yes': -0.0012744566, ' yes': -9.867808, 'Yes': -6.767138, ' In': -11.544798}
{' No': -8.873114, '\n': -7.8754625, ' ': -8.138083, ' Yes': -0.023938235, 'Yes': -3.7912223}
{'\n': -10.758731, ' ': -9.657177, ' Yes': -0.006950499, ' yes': -8.431951, 'Yes': -5.028221}
{'\n': -9.964119, ' ': -9.366613, ' Yes': -0.001202068, ' yes': -8.024815, 'Yes': -7.23081}
{'\n': -9.144167, ' ': -8.408976, ' Yes': -0.008390863, ' yes': -7.273516, 'Yes': -4.9338803}
{'\n': -6.1488647, ' ': -6.7487407, ' Yes': -0.023899654, ' yes': -6.915201, 'Yes': -3.9641097}
{' No': -8.99953, ' ': -9.979074, ' Yes': -0.0013078774, ' yes': -8.973723, 'Yes': -6.9141417}
{'\n': -5.591856, ' ': -5.5616856, ' Yes': -0.082418494, ' yes': -5.977292, 'Yes': -2.6885567}
